category,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Large Malls / Complexes,Mid-Year Madness,2974675.90,1086,2739.11,501.32,4998.11
Clothing,Large Malls / Complexes,Midnight Madness,2942738.26,1070,2750.22,502.64,4997.93
Clothing,Large Malls / Complexes,Mystery Discount Days,2799893.32,1032,2713.07,500.93,4992.01
Clothing,Large Malls / Complexes,New Arrival Showcase,2897214.29,1056,2743.57,511.56,4998.00
Clothing,Large Malls / Complexes,New Product Launch Promo,2765232.83,1019,2713.67,500.83,4999.95
Clothing,Large Malls / Complexes,New Year Kickoff,2777340.57,1013,2741.70,502.81,4991.55
Clothing,Large Malls / Complexes,Price Drop Parade,2795722.09,1054,2652.49,506.30,4997.22
Clothing,Large Malls / Complexes,Red Tag Clearance,2913201.42,1058,2753.50,502.58,4999.45
Clothing,Large Malls / Complexes,Seasonal Surprise Box,2882712.04,1055,2732.43,500.11,4996.71
Clothing,Large Malls / Complexes,Shop & Save Spectacular,2884105.72,1026,2811.02,500.18,4999.91
Clothing,Large Malls / Complexes,Smart Shopper Week,2777440.52,1017,2731.01,504.15,4999.86
Clothing,Large Malls / Complexes,Spring Refresh Event,2899734.86,1030,2815.28,506.20,4996.53
Clothing,Large Malls / Complexes,Spring Splash Discounts,2787019.23,1018,2737.74,500.66,4993.20
Clothing,Large Malls / Complexes,Summer Sizzle Promo,2821789.68,1023,2758.35,506.00,4998.58
Clothing,Large Malls / Complexes,Super Savings Week,2873215.54,1021,2814.12,502.63,4993.53
Clothing,Large Malls / Complexes,Ultimate Value Event,2870789.63,1050,2734.09,504.23,4999.12
Clothing,Large Malls / Complexes,VIP Access Sale,2759750.70,1023,2697.70,501.68,4999.97
Clothing,Large Malls / Complexes,Weekend Warrior Specials,2934066.73,1086,2701.72,503.41,4998.79
Clothing,Large Malls / Complexes,Winter Clearance Carnival,2953441.13,1063,2778.40,504.78,4999.04
Clothing,Large Malls / Complexes,Winter Wonders Sale,2794665.93,1055,2648.97,508.14,4996.58
Clothing,Small Stores / Shops,12 Days of Deals,3101078.69,1116,2778.74,510.36,4999.40
Clothing,Small Stores / Shops,Autumn Deals Drive,3284823.81,1189,2762.68,514.37,4995.34
Clothing,Small Stores / Shops,BOGO Blitz,3181155.81,1152,2761.42,500.64,4999.45
Clothing,Small Stores / Shops,Back to School Boost,2783742.95,1021,2726.49,500.65,4994.39
Clothing,Small Stores / Shops,Birthday Bash Sale,3073868.34,1096,2804.62,500.58,4997.78
Clothing,Small Stores / Shops,Black Friday Blowout,3216193.30,1159,2774.97,500.74,4996.66
Clothing,Small Stores / Shops,Cart Crasher Campaign,2947336.56,1057,2788.40,508.66,4996.24
Clothing,Small Stores / Shops,Cashback Carnival,2964454.03,1081,2742.33,509.31,4998.40
Clothing,Small Stores / Shops,Clearance Countdown,3040203.18,1120,2714.47,511.56,4996.24
Clothing,Small Stores / Shops,Countdown to Savings,2949444.86,1087,2713.38,504.23,4995.55
Clothing,Small Stores / Shops,Customer Appreciation Week,3168580.39,1136,2789.24,503.51,4996.89
Clothing,Small Stores / Shops,Cyber Monday Mania,3027330.86,1105,2739.67,505.15,4993.46
Clothing,Small Stores / Shops,Deal of the Month,3007811.50,1113,2702.44,503.19,4999.41
Clothing,Small Stores / Shops,Double Points Bonanza,3230316.49,1166,2770.43,514.48,4996.75
Clothing,Small Stores / Shops,Early Bird Specials,3269414.00,1168,2799.16,504.72,4997.16
Clothing,Small Stores / Shops,End of Season Sale,3049441.26,1107,2754.69,504.46,4984.90
Clothing,Small Stores / Shops,Exclusive Insider Offers,3165575.24,1155,2740.76,500.07,4997.63
Clothing,Small Stores / Shops,Festive Fever Promo,3053366.77,1098,2780.84,503.50,4995.75
Clothing,Small Stores / Shops,Final Call Frenzy,3061759.04,1120,2733.71,506.19,4994.06
Clothing,Small Stores / Shops,Flash Frenzy Friday,3113527.08,1124,2770.04,506.08,4996.58
Clothing,Small Stores / Shops,"Gift More, Spend Less",3173595.77,1143,2776.55,505.29,4995.93
Clothing,Small Stores / Shops,Golden Hour Bargains,2993174.35,1096,2731.00,500.57,4998.56
Clothing,Small Stores / Shops,Green Weekend Deals,3124504.52,1147,2724.07,502.55,4996.15
Clothing,Small Stores / Shops,Happy Hour Discounts,3092044.46,1106,2795.70,507.84,4992.66
Clothing,Small Stores / Shops,Holiday Shopping Rush,3052637.80,1125,2713.46,503.85,4998.34
Clothing,Small Stores / Shops,Hot Picks Promo,2969535.31,1063,2793.54,504.12,4984.66
Clothing,Small Stores / Shops,Instant Gratification Sale,3015779.42,1072,2813.23,501.81,4998.85
Clothing,Small Stores / Shops,Limited Time Treasures,3007426.62,1111,2706.95,504.90,4999.81
Clothing,Small Stores / Shops,Loyalty Rewards Blast,3266782.34,1145,2853.09,503.40,4996.42
Clothing,Small Stores / Shops,Mega Weekend Bonanza,3108007.88,1106,2810.13,503.43,4996.59
Clothing,Small Stores / Shops,Mid-Year Madness,3138028.97,1130,2777.02,502.52,4997.99
Clothing,Small Stores / Shops,Midnight Madness,3082045.46,1130,2727.47,500.50,4998.11
Clothing,Small Stores / Shops,Mystery Discount Days,3002669.42,1100,2729.70,500.17,4995.70
Clothing,Small Stores / Shops,New Arrival Showcase,3129363.19,1113,2811.65,501.06,4996.20
Clothing,Small Stores / Shops,New Product Launch Promo,3041100.79,1106,2749.64,507.38,4988.38
Clothing,Small Stores / Shops,New Year Kickoff,3151527.00,1145,2752.43,503.46,4992.69
Clothing,Small Stores / Shops,Price Drop Parade,3027497.50,1128,2683.95,503.07,4999.68
Clothing,Small Stores / Shops,Red Tag Clearance,3225493.89,1158,2785.40,501.14,4997.50
Clothing,Small Stores / Shops,Seasonal Surprise Box,3135919.58,1144,2741.19,505.17,4990.98
Clothing,Small Stores / Shops,Shop & Save Spectacular,3282493.56,1170,2805.55,500.14,4999.95
Clothing,Small Stores / Shops,Smart Shopper Week,3037465.20,1114,2726.63,501.31,4999.73
Clothing,Small Stores / Shops,Spring Refresh Event,2958960.24,1093,2707.19,500.55,4995.99
Clothing,Small Stores / Shops,Spring Splash Discounts,3075657.19,1121,2743.67,503.97,4998.97
Clothing,Small Stores / Shops,Summer Sizzle Promo,3037043.13,1115,2723.81,507.53,4998.14
Clothing,Small Stores / Shops,Super Savings Week,3008004.42,1079,2787.77,506.81,4999.08
Clothing,Small Stores / Shops,Ultimate Value Event,3025965.74,1086,2786.34,500.17,4999.82
Clothing,Small Stores / Shops,VIP Access Sale,3264057.97,1154,2828.47,506.38,4983.73
Clothing,Small Stores / Shops,Weekend Warrior Specials,3061174.07,1142,2680.54,502.44,4995.02
Clothing,Small Stores / Shops,Winter Clearance Carnival,2964060.90,1063,2788.39,501.25,4998.41
Clothing,Small Stores / Shops,Winter Wonders Sale,3191606.36,1178,2709.34,502.80,4999.21
Clothing,Supermarkets ,12 Days of Deals,3186434.08,1163,2739.84,502.77,4998.46
Clothing,Supermarkets ,Autumn Deals Drive,3165973.33,1141,2774.74,500.77,4999.75
Clothing,Supermarkets ,BOGO Blitz,3196544.60,1179,2711.23,500.97,4997.55
Clothing,Supermarkets ,Back to School Boost,3158755.88,1163,2716.04,501.52,4999.86
Clothing,Supermarkets ,Birthday Bash Sale,3111291.39,1121,2775.46,502.19,4991.13
Clothing,Supermarkets ,Black Friday Blowout,3068614.18,1134,2706.01,503.18,4992.36
Clothing,Supermarkets ,Cart Crasher Campaign,3345561.44,1207,2771.80,501.15,4997.29
Clothing,Supermarkets ,Cashback Carnival,3135938.24,1134,2765.38,505.92,4997.64
Clothing,Supermarkets ,Clearance Countdown,3185736.39,1176,2708.96,500.53,4995.43
Clothing,Supermarkets ,Countdown to Savings,3212441.09,1177,2729.35,501.16,4998.86
Clothing,Supermarkets ,Customer Appreciation Week,3194964.05,1157,2761.42,508.47,4998.60
Clothing,Supermarkets ,Cyber Monday Mania,3104596.13,1127,2754.74,502.07,4995.44
Clothing,Supermarkets ,Deal of the Month,3330959.39,1206,2761.99,502.13,4994.87
Clothing,Supermarkets ,Double Points Bonanza,3096984.97,1125,2752.88,500.63,4989.35
Clothing,Supermarkets ,Early Bird Specials,3031122.15,1088,2785.96,501.24,4996.74
Clothing,Supermarkets ,End of Season Sale,3053245.67,1109,2753.15,509.09,4999.17
Clothing,Supermarkets ,Exclusive Insider Offers,3009221.82,1085,2773.48,504.62,4998.51
Clothing,Supermarkets ,Festive Fever Promo,3332624.30,1230,2709.45,501.90,4998.89
Clothing,Supermarkets ,Final Call Frenzy,3286338.27,1167,2816.06,503.34,4993.90
Clothing,Supermarkets ,Flash Frenzy Friday,3076369.41,1134,2712.85,501.20,4998.23
Clothing,Supermarkets ,"Gift More, Spend Less",2968508.03,1096,2708.49,501.94,4997.42
Clothing,Supermarkets ,Golden Hour Bargains,3271775.81,1183,2765.66,507.62,4999.85
Clothing,Supermarkets ,Green Weekend Deals,3216854.59,1172,2744.76,501.10,4999.98
Clothing,Supermarkets ,Happy Hour Discounts,3114250.77,1126,2765.76,503.04,4994.57
Clothing,Supermarkets ,Holiday Shopping Rush,3033526.85,1090,2783.05,506.38,4999.33
Clothing,Supermarkets ,Hot Picks Promo,3133866.15,1147,2732.23,500.12,4989.96
Clothing,Supermarkets ,Instant Gratification Sale,2889083.91,1059,2728.12,500.95,4998.40
Clothing,Supermarkets ,Limited Time Treasures,3187049.82,1133,2812.93,501.46,4999.38
Clothing,Supermarkets ,Loyalty Rewards Blast,2976186.58,1091,2727.94,507.26,4997.44
Clothing,Supermarkets ,Mega Weekend Bonanza,3321840.07,1215,2734.02,508.93,4996.67
Clothing,Supermarkets ,Mid-Year Madness,3143729.64,1175,2675.51,500.82,4994.34
Clothing,Supermarkets ,Midnight Madness,3229507.67,1162,2779.27,504.20,4981.54
Clothing,Supermarkets ,Mystery Discount Days,3123750.33,1142,2735.33,502.13,4999.85
Clothing,Supermarkets ,New Arrival Showcase,3103258.26,1156,2684.48,500.17,4996.95
Clothing,Supermarkets ,New Product Launch Promo,3113712.06,1123,2772.67,500.27,4988.99
Clothing,Supermarkets ,New Year Kickoff,3064554.48,1123,2728.90,500.45,4994.72
Clothing,Supermarkets ,Price Drop Parade,3178906.24,1143,2781.20,503.25,4998.25
Clothing,Supermarkets ,Red Tag Clearance,3089710.99,1126,2743.97,501.79,4985.45
Clothing,Supermarkets ,Seasonal Surprise Box,3282294.47,1162,2824.69,500.52,4988.87
Clothing,Supermarkets ,Shop & Save Spectacular,3259049.39,1170,2785.51,500.33,4997.38
Clothing,Supermarkets ,Smart Shopper Week,3118801.04,1102,2830.13,507.97,4996.33
Clothing,Supermarkets ,Spring Refresh Event,3293244.19,1196,2753.55,500.43,4997.20
Clothing,Supermarkets ,Spring Splash Discounts,3123533.67,1151,2713.76,500.46,4999.01
Clothing,Supermarkets ,Summer Sizzle Promo,3143415.24,1147,2740.55,502.32,4998.80
Clothing,Supermarkets ,Super Savings Week,3032369.97,1118,2712.32,501.26,4994.09
Clothing,Supermarkets ,Ultimate Value Event,3251516.65,1184,2746.21,500.07,4998.67
Clothing,Supermarkets ,VIP Access Sale,3341993.59,1216,2748.35,506.71,4996.65
Clothing,Supermarkets ,Weekend Warrior Specials,3202343.20,1178,2718.46,501.72,4998.52
Clothing,Supermarkets ,Winter Clearance Carnival,3072848.01,1116,2753.45,505.16,4997.27
Clothing,Supermarkets ,Winter Wonders Sale,3137516.52,1153,2721.18,502.39,4998.47
Electronics,Large Malls / Complexes,12 Days of Deals,2624153.88,974,2694.20,512.15,4992.13
Electronics,Large Malls / Complexes,Autumn Deals Drive,2952243.79,1040,2838.70,502.40,4996.51
Electronics,Large Malls / Complexes,BOGO Blitz,2822527.68,1003,2814.09,504.25,4997.65
Electronics,Large Malls / Complexes,Back to School Boost,2708979.12,1021,2653.26,506.31,4988.38
Electronics,Large Malls / Complexes,Birthday Bash Sale,2877166.12,1041,2763.85,502.96,4994.15
Electronics,Large Malls / Complexes,Black Friday Blowout,2956458.35,1076,2747.64,500.70,4997.94
Electronics,Large Malls / Complexes,Cart Crasher Campaign,2982296.18,1072,2781.99,502.87,4995.09
Electronics,Large Malls / Complexes,Cashback Carnival,2959710.83,1067,2773.86,510.86,4995.33
Electronics,Large Malls / Complexes,Clearance Countdown,2841140.75,1050,2705.85,502.39,4998.50
Electronics,Large Malls / Complexes,Countdown to Savings,2887968.58,1050,2750.45,500.60,4989.61
Electronics,Large Malls / Complexes,Customer Appreciation Week,2824626.67,1021,2766.53,504.71,4998.63
Electronics,Large Malls / Complexes,Cyber Monday Mania,2841196.03,1051,2703.33,503.56,4999.50
Electronics,Large Malls / Complexes,Deal of the Month,2902334.96,1059,2740.64,501.76,4995.33
Electronics,Large Malls / Complexes,Double Points Bonanza,2783767.26,1002,2778.21,502.33,4999.96
Electronics,Large Malls / Complexes,Early Bird Specials,2918202.46,1069,2729.84,502.05,4993.50
Electronics,Large Malls / Complexes,End of Season Sale,2775256.43,1021,2718.17,502.83,4998.76
Electronics,Large Malls / Complexes,Exclusive Insider Offers,3017008.92,1090,2767.90,503.43,4993.72
Electronics,Large Malls / Complexes,Festive Fever Promo,2829942.23,1038,2726.34,500.64,4998.89
Electronics,Large Malls / Complexes,Final Call Frenzy,2956565.10,1071,2760.56,500.25,4995.31
Electronics,Large Malls / Complexes,Flash Frenzy Friday,2916161.96,1079,2702.65,504.09,4999.95
Electronics,Large Malls / Complexes,"Gift More, Spend Less",2813503.83,1047,2687.21,502.74,4998.35
Electronics,Large Malls / Complexes,Golden Hour Bargains,2919286.52,1061,2751.45,502.34,4995.98
Electronics,Large Malls / Complexes,Green Weekend Deals,2752791.59,993,2772.20,505.65,4999.78
Electronics,Large Malls / Complexes,Happy Hour Discounts,3066081.13,1113,2754.79,515.98,4993.94
Electronics,Large Malls / Complexes,Holiday Shopping Rush,2871237.10,1025,2801.21,501.27,4999.40
Electronics,Large Malls / Complexes,Hot Picks Promo,2757395.11,1014,2719.32,502.73,4996.10
Electronics,Large Malls / Complexes,Instant Gratification Sale,2894909.15,1064,2720.78,502.13,4998.62
Electronics,Large Malls / Complexes,Limited Time Treasures,3118957.98,1112,2804.82,515.94,4987.13
Electronics,Large Malls / Complexes,Loyalty Rewards Blast,2808797.65,1030,2726.99,507.60,4992.76
Electronics,Large Malls / Complexes,Mega Weekend Bonanza,3045731.58,1109,2746.38,504.44,4994.32
Electronics,Large Malls / Complexes,Mid-Year Madness,2950745.71,1064,2773.26,502.59,4997.31
Electronics,Large Malls / Complexes,Midnight Madness,2784239.62,1023,2721.64,505.60,4999.83
Electronics,Large Malls / Complexes,Mystery Discount Days,3100080.52,1103,2810.59,500.77,4995.07
Electronics,Large Malls / Complexes,New Arrival Showcase,3158869.08,1098,2876.93,504.98,4999.20
Electronics,Large Malls / Complexes,New Product Launch Promo,3013069.00,1113,2707.16,515.51,4998.61
Electronics,Large Malls / Complexes,New Year Kickoff,3157421.36,1129,2796.65,501.48,4996.42
Electronics,Large Malls / Complexes,Price Drop Parade,2804827.73,1026,2733.75,500.55,4999.10
Electronics,Large Malls / Complexes,Red Tag Clearance,2906013.87,1074,2705.79,508.61,4990.05
Electronics,Large Malls / Complexes,Seasonal Surprise Box,2898778.55,1052,2755.49,504.53,4997.26
Electronics,Large Malls / Complexes,Shop & Save Spectacular,3087313.12,1109,2783.87,502.74,4992.95
Electronics,Large Malls / Complexes,Smart Shopper Week,2853515.89,1044,2733.25,509.76,4997.75
Electronics,Large Malls / Complexes,Spring Refresh Event,3003057.07,1079,2783.19,500.80,4999.83
Electronics,Large Malls / Complexes,Spring Splash Discounts,2714477.51,972,2792.67,504.23,4999.02
Electronics,Large Malls / Complexes,Summer Sizzle Promo,2884478.95,1036,2784.25,501.20,4995.40
Electronics,Large Malls / Complexes,Super Savings Week,2877936.37,1050,2740.89,508.42,4996.76
Electronics,Large Malls / Complexes,Ultimate Value Event,2970811.98,1064,2792.12,506.64,4998.93
Electronics,Large Malls / Complexes,VIP Access Sale,2998918.56,1081,2774.21,507.71,4995.20
Electronics,Large Malls / Complexes,Weekend Warrior Specials,2933550.68,1054,2783.25,503.52,4998.12
Electronics,Large Malls / Complexes,Winter Clearance Carnival,3044280.01,1084,2808.38,501.55,4993.31
Electronics,Large Malls / Complexes,Winter Wonders Sale,2770734.30,1027,2697.89,501.34,4996.43
Electronics,Small Stores / Shops,12 Days of Deals,2952748.72,1084,2723.94,502.99,4999.82
Electronics,Small Stores / Shops,Autumn Deals Drive,3068182.46,1098,2794.34,500.20,4984.76
Electronics,Small Stores / Shops,BOGO Blitz,2965078.05,1109,2673.65,501.56,4998.43
Electronics,Small Stores / Shops,Back to School Boost,3175712.75,1178,2695.85,500.14,4994.40
Electronics,Small Stores / Shops,Birthday Bash Sale,3178273.58,1152,2758.92,501.00,4993.29
Electronics,Small Stores / Shops,Black Friday Blowout,3056220.72,1113,2745.93,502.51,4989.77
Electronics,Small Stores / Shops,Cart Crasher Campaign,3136101.34,1130,2775.31,503.57,4996.42
Electronics,Small Stores / Shops,Cashback Carnival,2967490.11,1094,2712.51,500.55,4998.33
Electronics,Small Stores / Shops,Clearance Countdown,3175935.57,1161,2735.52,500.08,4991.96
Electronics,Small Stores / Shops,Countdown to Savings,3060187.87,1112,2751.97,500.75,4993.48
Electronics,Small Stores / Shops,Customer Appreciation Week,3096998.83,1130,2740.71,507.61,4997.50
Electronics,Small Stores / Shops,Cyber Monday Mania,3178245.63,1130,2812.61,511.34,4999.28
Electronics,Small Stores / Shops,Deal of the Month,3042352.41,1107,2748.29,507.33,4997.93
Electronics,Small Stores / Shops,Double Points Bonanza,3236396.47,1178,2747.37,500.59,4997.47
Electronics,Small Stores / Shops,Early Bird Specials,3158659.58,1153,2739.51,505.82,4999.11
Electronics,Small Stores / Shops,End of Season Sale,3225435.46,1154,2795.00,511.30,4996.48
Electronics,Small Stores / Shops,Exclusive Insider Offers,3155369.54,1140,2767.87,507.60,4999.96
Electronics,Small Stores / Shops,Festive Fever Promo,3061234.86,1094,2798.20,500.15,4996.28
Electronics,Small Stores / Shops,Final Call Frenzy,3176605.04,1155,2750.31,501.33,4996.78
Electronics,Small Stores / Shops,Flash Frenzy Friday,2993907.32,1081,2769.57,508.81,4996.92
Electronics,Small Stores / Shops,"Gift More, Spend Less",3135931.08,1134,2765.37,506.16,4997.81
Electronics,Small Stores / Shops,Golden Hour Bargains,2922456.63,1071,2728.72,506.47,4995.35
Electronics,Small Stores / Shops,Green Weekend Deals,3153441.04,1161,2716.14,502.12,4998.39
Electronics,Small Stores / Shops,Happy Hour Discounts,3061634.02,1101,2780.78,504.99,4987.73
Electronics,Small Stores / Shops,Holiday Shopping Rush,3031042.38,1087,2788.45,500.26,4988.74
Electronics,Small Stores / Shops,Hot Picks Promo,3073509.99,1106,2778.94,510.19,4996.56
Electronics,Small Stores / Shops,Instant Gratification Sale,3015131.15,1123,2684.89,509.81,4993.60
Electronics,Small Stores / Shops,Limited Time Treasures,3219982.32,1148,2804.86,501.60,4999.20
Electronics,Small Stores / Shops,Loyalty Rewards Blast,3159006.19,1148,2751.75,500.73,4996.70
Electronics,Small Stores / Shops,Mega Weekend Bonanza,3081908.01,1121,2749.25,503.47,4999.69
Electronics,Small Stores / Shops,Mid-Year Madness,3075364.52,1120,2745.86,500.34,4995.57
Electronics,Small Stores / Shops,Midnight Madness,3118090.37,1112,2804.04,510.89,4998.66
Electronics,Small Stores / Shops,Mystery Discount Days,3131466.46,1101,2844.20,501.23,4996.44
Electronics,Small Stores / Shops,New Arrival Showcase,3015809.48,1084,2782.11,502.12,4998.70
Electronics,Small Stores / Shops,New Product Launch Promo,3101400.46,1139,2722.92,501.09,4995.58
Electronics,Small Stores / Shops,New Year Kickoff,3117264.27,1123,2775.84,512.45,4998.59
Electronics,Small Stores / Shops,Price Drop Parade,2974705.38,1087,2736.62,501.39,4998.12
Electronics,Small Stores / Shops,Red Tag Clearance,3108107.86,1126,2760.31,501.05,4993.50
Electronics,Small Stores / Shops,Seasonal Surprise Box,3163761.35,1139,2777.67,501.42,4997.91
Electronics,Small Stores / Shops,Shop & Save Spectacular,3138356.96,1163,2698.50,500.49,4996.66
Electronics,Small Stores / Shops,Smart Shopper Week,3025324.19,1106,2735.37,504.91,4998.63
Electronics,Small Stores / Shops,Spring Refresh Event,2917094.40,1054,2767.64,509.43,4997.36
Electronics,Small Stores / Shops,Spring Splash Discounts,3222963.53,1153,2795.28,502.11,4998.48
Electronics,Small Stores / Shops,Summer Sizzle Promo,3046277.61,1127,2703.00,506.50,4995.77
Electronics,Small Stores / Shops,Super Savings Week,3054899.86,1107,2759.62,501.34,4998.99
Electronics,Small Stores / Shops,Ultimate Value Event,3117896.44,1131,2756.76,503.14,4999.80
Electronics,Small Stores / Shops,VIP Access Sale,3115834.67,1158,2690.70,503.41,4996.84
Electronics,Small Stores / Shops,Weekend Warrior Specials,3090910.51,1134,2725.67,501.99,4991.20
Electronics,Small Stores / Shops,Winter Clearance Carnival,3219439.75,1147,2806.84,501.06,4991.72
Electronics,Small Stores / Shops,Winter Wonders Sale,3105991.30,1142,2719.78,509.63,4997.71
Electronics,Supermarkets ,12 Days of Deals,3110456.91,1132,2747.75,507.68,4999.60
Electronics,Supermarkets ,Autumn Deals Drive,3130171.16,1123,2787.33,501.19,4999.09
Electronics,Supermarkets ,BOGO Blitz,3232412.17,1179,2741.66,506.14,4998.29
Electronics,Supermarkets ,Back to School Boost,3141156.66,1150,2731.44,503.72,4997.92
Electronics,Supermarkets ,Birthday Bash Sale,3071027.96,1109,2769.19,500.20,4999.90
Electronics,Supermarkets ,Black Friday Blowout,3121188.74,1145,2725.93,505.50,4999.87
Electronics,Supermarkets ,Cart Crasher Campaign,3333986.04,1193,2794.62,502.78,4998.84
Electronics,Supermarkets ,Cashback Carnival,3207766.90,1163,2758.18,500.13,4992.85
Electronics,Supermarkets ,Clearance Countdown,3304579.84,1205,2742.39,503.09,4998.92
Electronics,Supermarkets ,Countdown to Savings,3223258.35,1176,2740.87,514.69,4995.30
Electronics,Supermarkets ,Customer Appreciation Week,3322580.00,1216,2732.38,505.23,4996.51
Electronics,Supermarkets ,Cyber Monday Mania,3256493.83,1174,2773.84,504.44,4993.63
Electronics,Supermarkets ,Deal of the Month,3146671.29,1145,2748.18,504.69,4999.96
Electronics,Supermarkets ,Double Points Bonanza,3005225.77,1083,2774.91,500.48,4998.12
Electronics,Supermarkets ,Early Bird Specials,3077829.28,1132,2718.93,503.12,4992.90
Electronics,Supermarkets ,End of Season Sale,2940101.58,1084,2712.27,501.39,4998.09
Electronics,Supermarkets ,Exclusive Insider Offers,3255369.90,1191,2733.31,511.49,4999.75
Electronics,Supermarkets ,Festive Fever Promo,3215946.18,1190,2702.48,501.00,4995.38
Electronics,Supermarkets ,Final Call Frenzy,3090282.35,1129,2737.19,504.31,4999.96
Electronics,Supermarkets ,Flash Frenzy Friday,3048432.83,1105,2758.76,502.31,4989.37
Electronics,Supermarkets ,"Gift More, Spend Less",3107691.22,1131,2747.74,503.92,4993.14
Electronics,Supermarkets ,Golden Hour Bargains,3074073.55,1123,2737.38,504.46,4997.22
Electronics,Supermarkets ,Green Weekend Deals,3161318.68,1129,2800.11,508.81,4996.94
Electronics,Supermarkets ,Happy Hour Discounts,3070002.63,1098,2796.00,503.77,4998.47
Electronics,Supermarkets ,Holiday Shopping Rush,3185151.62,1177,2706.16,500.17,4999.67
Electronics,Supermarkets ,Hot Picks Promo,3092406.82,1131,2734.22,506.70,4995.24
Electronics,Supermarkets ,Instant Gratification Sale,3231226.16,1180,2738.33,501.85,4996.98
Electronics,Supermarkets ,Limited Time Treasures,3136617.37,1131,2773.31,502.69,4999.11
Electronics,Supermarkets ,Loyalty Rewards Blast,3350614.24,1222,2741.91,503.58,4991.91
Electronics,Supermarkets ,Mega Weekend Bonanza,3210569.84,1157,2774.91,502.17,4999.15
Electronics,Supermarkets ,Mid-Year Madness,3045257.81,1099,2770.94,503.80,4999.11
Electronics,Supermarkets ,Midnight Madness,3218889.03,1179,2730.19,500.93,4996.09
Electronics,Supermarkets ,Mystery Discount Days,3228415.98,1167,2766.42,503.05,4996.73
Electronics,Supermarkets ,New Arrival Showcase,3097422.78,1124,2755.71,503.69,4999.95
Electronics,Supermarkets ,New Product Launch Promo,3339653.22,1209,2762.33,500.19,4995.68
Electronics,Supermarkets ,New Year Kickoff,3384271.47,1202,2815.53,501.31,4999.63
Electronics,Supermarkets ,Price Drop Parade,3143337.59,1144,2747.67,505.19,4997.91
Electronics,Supermarkets ,Red Tag Clearance,3147105.11,1128,2789.99,501.03,4993.37
Electronics,Supermarkets ,Seasonal Surprise Box,2965188.23,1089,2722.85,500.70,4995.48
Electronics,Supermarkets ,Shop & Save Spectacular,3129130.49,1142,2740.04,500.09,4997.54
