category,brand,customer_segment,store_type,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Levi's,Deal Seeker,Small Stores / Shops,3132104.83,1128,2776.69,503.19,4998.97
Clothing,Levi's,Deal Seeker,Supermarkets ,3247883.19,1202,2702.07,501.70,4993.33
Clothing,Levi's,First-time Buyer,Large Malls / Complexes,3019450.97,1074,2811.41,500.37,4996.53
Clothing,Levi's,First-time Buyer,Small Stores / Shops,3019490.04,1095,2757.53,503.70,4996.15
Clothing,Levi's,First-time Buyer,Supermarkets ,3302516.02,1185,2786.93,500.27,4990.95
Clothing,Levi's,High Value,Large Malls / Complexes,2857309.75,1039,2750.06,506.74,4993.83
Clothing,Levi's,High Value,Small Stores / Shops,3270585.82,1178,2776.39,510.90,4999.26
Clothing,Levi's,High Value,Supermarkets ,2977532.66,1092,2726.68,501.71,4989.35
Clothing,Levi's,In-Store Regular,Large Malls / Complexes,2790231.63,1025,2722.18,500.60,4997.25
Clothing,Levi's,In-Store Regular,Small Stores / Shops,3231580.79,1179,2740.95,502.23,4999.49
Clothing,Levi's,In-Store Regular,Supermarkets ,3196573.61,1141,2801.55,501.02,4998.47
Clothing,Levi's,Loyal Customer,Large Malls / Complexes,3162731.02,1120,2823.87,502.97,4999.97
Clothing,Levi's,Loyal Customer,Small Stores / Shops,2936920.02,1078,2724.42,503.91,4997.63
Clothing,Levi's,Loyal Customer,Supermarkets ,3040954.03,1117,2722.43,501.94,4999.85
Clothing,Levi's,Occasional Shopper,Large Malls / Complexes,2775679.13,1036,2679.23,501.94,4991.55
Clothing,Levi's,Occasional Shopper,Small Stores / Shops,3148885.50,1145,2750.12,501.31,4992.74
Clothing,Levi's,Occasional Shopper,Supermarkets ,3134366.60,1158,2706.71,501.79,4994.57
Clothing,Levi's,Online Shopper,Large Malls / Complexes,2998208.60,1060,2828.50,507.81,4999.60
Clothing,Levi's,Online Shopper,Small Stores / Shops,3200030.90,1169,2737.41,501.14,4985.08
Clothing,Levi's,Online Shopper,Supermarkets ,3219106.60,1169,2753.73,500.12,4996.33
Clothing,Levi's,Premium Shopper,Large Malls / Complexes,2716169.39,1018,2668.14,501.18,4979.50
Clothing,Levi's,Premium Shopper,Small Stores / Shops,2949831.44,1081,2728.80,500.17,4998.56
Clothing,Levi's,Premium Shopper,Supermarkets ,3243882.40,1159,2798.86,504.42,4988.37
Clothing,Nike,Budget Shopper,Large Malls / Complexes,3040747.38,1109,2741.88,501.91,4999.12
Clothing,Nike,Budget Shopper,Small Stores / Shops,3208303.54,1157,2772.95,505.48,4999.08
Clothing,Nike,Budget Shopper,Supermarkets ,3257726.61,1157,2815.67,508.71,4993.22
Clothing,Nike,Churn Risk,Large Malls / Complexes,2687211.43,1017,2642.29,500.82,4999.04
Clothing,Nike,Churn Risk,Small Stores / Shops,3169428.58,1154,2746.47,510.00,4998.85
Clothing,Nike,Churn Risk,Supermarkets ,3297079.01,1189,2772.98,508.53,4998.67
Clothing,Nike,Deal Seeker,Large Malls / Complexes,2870357.33,1067,2690.12,501.97,4996.55
Clothing,Nike,Deal Seeker,Small Stores / Shops,3062011.65,1131,2707.35,500.14,4996.81
Clothing,Nike,Deal Seeker,Supermarkets ,3113901.19,1161,2682.09,500.89,4997.93
Clothing,Nike,First-time Buyer,Large Malls / Complexes,2981582.44,1080,2760.72,514.42,4998.79
Clothing,Nike,First-time Buyer,Small Stores / Shops,3117572.29,1140,2734.71,501.63,4998.40
Clothing,Nike,First-time Buyer,Supermarkets ,2989436.65,1073,2786.05,511.89,4998.86
Clothing,Nike,High Value,Large Malls / Complexes,2802536.74,1018,2752.98,501.48,4987.90
Clothing,Nike,High Value,Small Stores / Shops,3165347.26,1125,2813.64,502.52,4999.95
Clothing,Nike,High Value,Supermarkets ,3292872.60,1176,2800.06,500.77,4999.11
Clothing,Nike,In-Store Regular,Large Malls / Complexes,2831329.05,1040,2722.43,511.44,4998.76
Clothing,Nike,In-Store Regular,Small Stores / Shops,3129977.05,1130,2769.89,506.75,4998.73
Clothing,Nike,In-Store Regular,Supermarkets ,3235571.66,1182,2737.37,502.32,4999.33
Clothing,Nike,Loyal Customer,Large Malls / Complexes,3008429.27,1071,2808.99,501.58,4997.89
Clothing,Nike,Loyal Customer,Small Stores / Shops,3244005.26,1158,2801.39,508.62,4998.67
Clothing,Nike,Loyal Customer,Supermarkets ,3255749.69,1186,2745.15,502.19,4998.23
Clothing,Nike,Occasional Shopper,Large Malls / Complexes,3049777.05,1120,2723.02,501.20,4999.19
Clothing,Nike,Occasional Shopper,Small Stores / Shops,3124106.68,1128,2769.60,500.65,4995.34
Clothing,Nike,Occasional Shopper,Supermarkets ,3160358.85,1138,2777.12,510.06,4999.75
Clothing,Nike,Online Shopper,Large Malls / Complexes,2902406.27,1044,2780.08,500.29,4997.02
Clothing,Nike,Online Shopper,Small Stores / Shops,3126029.07,1102,2836.69,502.80,4998.41
Clothing,Nike,Online Shopper,Supermarkets ,3063830.72,1105,2772.70,500.43,4995.11
Clothing,Nike,Premium Shopper,Large Malls / Complexes,2752883.77,1028,2677.90,500.72,4997.81
Clothing,Nike,Premium Shopper,Small Stores / Shops,3223369.10,1162,2773.98,512.94,4996.89
Clothing,Nike,Premium Shopper,Supermarkets ,3173645.05,1114,2848.87,503.54,4997.44
Clothing,Puma,Budget Shopper,Large Malls / Complexes,2841716.58,1026,2769.70,502.32,4993.20
Clothing,Puma,Budget Shopper,Small Stores / Shops,3164017.93,1146,2760.92,504.90,4998.97
Clothing,Puma,Budget Shopper,Supermarkets ,2974122.73,1079,2756.37,508.47,4999.85
Clothing,Puma,Churn Risk,Large Malls / Complexes,2711595.83,1001,2708.89,503.81,4998.56
Clothing,Puma,Churn Risk,Small Stores / Shops,3088982.03,1130,2733.61,500.57,4997.16
Clothing,Puma,Churn Risk,Supermarkets ,2977437.53,1100,2706.76,503.04,4994.80
Clothing,Puma,Deal Seeker,Large Malls / Complexes,3054028.40,1102,2771.35,506.16,4998.00
Clothing,Puma,Deal Seeker,Small Stores / Shops,3232760.48,1174,2753.63,504.07,4996.19
Clothing,Puma,Deal Seeker,Supermarkets ,3129098.35,1127,2776.48,500.07,4999.01
Clothing,Puma,First-time Buyer,Large Malls / Complexes,2716821.32,996,2727.73,514.57,4999.23
Clothing,Puma,First-time Buyer,Small Stores / Shops,3101086.51,1103,2811.50,503.57,4999.40
Clothing,Puma,First-time Buyer,Supermarkets ,3091551.78,1136,2721.44,502.20,4999.98
Clothing,Puma,High Value,Large Malls / Complexes,2934900.98,1078,2722.54,504.64,4997.99
Clothing,Puma,High Value,Small Stores / Shops,3042765.48,1098,2771.19,503.43,4998.14
Clothing,Puma,High Value,Supermarkets ,3014059.85,1119,2693.53,500.45,4984.98
Clothing,Puma,In-Store Regular,Large Malls / Complexes,2811296.04,1008,2788.98,501.78,4998.12
Clothing,Puma,In-Store Regular,Small Stores / Shops,3017903.89,1111,2716.39,500.74,4995.61
Clothing,Puma,In-Store Regular,Supermarkets ,3216485.23,1151,2794.51,501.80,4998.89
Clothing,Puma,Loyal Customer,Large Malls / Complexes,2800016.00,1033,2710.57,500.18,4996.71
Clothing,Puma,Loyal Customer,Small Stores / Shops,3068102.98,1136,2700.79,516.12,4999.68
Clothing,Puma,Loyal Customer,Supermarkets ,3219768.31,1174,2742.56,502.12,4997.42
Clothing,Puma,Occasional Shopper,Large Malls / Complexes,2917158.31,1069,2728.87,505.58,4997.93
Clothing,Puma,Occasional Shopper,Small Stores / Shops,3208181.25,1130,2839.10,503.74,4997.50
Clothing,Puma,Occasional Shopper,Supermarkets ,3444593.31,1232,2795.94,502.57,4993.54
Clothing,Puma,Online Shopper,Large Malls / Complexes,2971516.05,1089,2728.66,500.66,4999.45
Clothing,Puma,Online Shopper,Small Stores / Shops,3021023.48,1092,2766.51,503.51,4993.01
Clothing,Puma,Online Shopper,Supermarkets ,3115695.08,1145,2721.13,503.61,4998.52
Clothing,Puma,Premium Shopper,Large Malls / Complexes,2811030.51,1037,2710.73,501.68,4993.14
Clothing,Puma,Premium Shopper,Small Stores / Shops,3095744.12,1079,2869.09,500.07,4997.57
Clothing,Puma,Premium Shopper,Supermarkets ,3248803.69,1179,2755.56,502.77,4998.60
Clothing,Zara,Budget Shopper,Large Malls / Complexes,3087049.55,1100,2806.41,502.21,4986.36
Clothing,Zara,Budget Shopper,Small Stores / Shops,3040217.28,1113,2731.55,507.40,4997.51
Clothing,Zara,Budget Shopper,Supermarkets ,3073486.91,1119,2746.64,502.76,4993.28
Clothing,Zara,Churn Risk,Large Malls / Complexes,2869646.17,1050,2733.00,505.77,4999.91
Clothing,Zara,Churn Risk,Small Stores / Shops,3140848.51,1136,2764.83,504.24,4999.45
Clothing,Zara,Churn Risk,Supermarkets ,3179490.08,1168,2722.17,502.44,4998.98
Clothing,Zara,Deal Seeker,Large Malls / Complexes,2862497.47,1054,2715.84,509.20,4996.18
Clothing,Zara,Deal Seeker,Small Stores / Shops,3043969.35,1121,2715.41,502.55,4999.81
Clothing,Zara,Deal Seeker,Supermarkets ,3081517.96,1123,2744.01,501.71,4995.44
Clothing,Zara,First-time Buyer,Large Malls / Complexes,2880758.17,1027,2805.02,500.46,4999.45
Clothing,Zara,First-time Buyer,Small Stores / Shops,3093072.65,1111,2784.04,501.24,4999.82
Clothing,Zara,First-time Buyer,Supermarkets ,3147968.46,1113,2828.36,509.54,4994.01
Clothing,Zara,High Value,Large Malls / Complexes,2833406.41,1009,2808.13,501.00,4999.71
Clothing,Zara,High Value,Small Stores / Shops,2937340.45,1076,2729.87,513.31,4999.73
Clothing,Zara,High Value,Supermarkets ,3228065.21,1204,2681.12,506.06,4997.38
Clothing,Zara,In-Store Regular,Large Malls / Complexes,2854800.31,1024,2787.89,506.92,4999.80
Clothing,Zara,In-Store Regular,Small Stores / Shops,2979158.56,1078,2763.60,504.23,4995.99
Clothing,Zara,In-Store Regular,Supermarkets ,2890171.50,1069,2703.62,503.25,4991.98
Clothing,Zara,Loyal Customer,Large Malls / Complexes,2947468.89,1088,2709.07,501.59,4996.42
Clothing,Zara,Loyal Customer,Small Stores / Shops,2963402.75,1074,2759.22,500.50,4998.42
Clothing,Zara,Loyal Customer,Supermarkets ,3188096.20,1148,2777.09,503.15,4993.23
Clothing,Zara,Occasional Shopper,Large Malls / Complexes,2841453.58,1024,2774.86,502.01,4995.74
Clothing,Zara,Occasional Shopper,Small Stores / Shops,3062425.52,1112,2753.98,510.43,4999.06
Clothing,Zara,Occasional Shopper,Supermarkets ,3215881.69,1161,2769.92,501.28,4997.44
Clothing,Zara,Online Shopper,Large Malls / Complexes,2976789.08,1068,2787.26,500.93,4995.75
Clothing,Zara,Online Shopper,Small Stores / Shops,3076219.81,1116,2756.47,504.12,4978.98
Clothing,Zara,Online Shopper,Supermarkets ,3400833.30,1221,2785.29,502.39,4994.87
Clothing,Zara,Premium Shopper,Large Malls / Complexes,2699339.17,999,2702.04,503.34,4999.44
Clothing,Zara,Premium Shopper,Small Stores / Shops,2955133.43,1074,2751.52,500.32,4997.25
Clothing,Zara,Premium Shopper,Supermarkets ,3031635.36,1113,2723.84,508.91,4989.52
Electronics,Apple,Budget Shopper,Large Malls / Complexes,2965573.37,1082,2740.83,504.78,4991.42
Electronics,Apple,Budget Shopper,Small Stores / Shops,3110438.01,1128,2757.48,501.68,4995.51
Electronics,Apple,Budget Shopper,Supermarkets ,3144804.49,1134,2773.20,514.94,4991.30
Electronics,Apple,Churn Risk,Large Malls / Complexes,2745125.78,1000,2745.13,500.60,4971.35
Electronics,Apple,Churn Risk,Small Stores / Shops,2941926.29,1085,2711.45,515.83,4989.77
Electronics,Apple,Churn Risk,Supermarkets ,3384740.79,1244,2720.85,502.32,4994.23
Electronics,Apple,Deal Seeker,Large Malls / Complexes,2917511.76,1059,2754.97,502.34,4999.77
Electronics,Apple,Deal Seeker,Small Stores / Shops,3161417.66,1148,2753.85,511.39,4998.11
Electronics,Apple,Deal Seeker,Supermarkets ,3100490.59,1138,2724.51,509.00,4983.25
Electronics,Apple,First-time Buyer,Large Malls / Complexes,2888969.00,1056,2735.77,505.51,4999.20
Electronics,Apple,First-time Buyer,Small Stores / Shops,2976567.65,1072,2776.65,505.11,4997.68
Electronics,Apple,First-time Buyer,Supermarkets ,3199478.35,1149,2784.58,506.54,4999.96
Electronics,Apple,High Value,Large Malls / Complexes,2704313.10,988,2737.16,500.64,4993.95
Electronics,Apple,High Value,Small Stores / Shops,3186056.40,1156,2756.10,505.44,4998.48
Electronics,Apple,High Value,Supermarkets ,3108726.58,1161,2677.63,503.12,4999.52
Electronics,Apple,In-Store Regular,Large Malls / Complexes,2770007.35,1003,2761.72,500.25,4999.96
Electronics,Apple,In-Store Regular,Small Stores / Shops,3174428.94,1158,2741.30,500.80,4995.70
Electronics,Apple,In-Store Regular,Supermarkets ,3153756.66,1149,2744.78,503.16,4997.96
Electronics,Apple,Loyal Customer,Large Malls / Complexes,2859384.83,1034,2765.36,505.53,4999.83
Electronics,Apple,Loyal Customer,Small Stores / Shops,2996191.26,1100,2723.81,504.97,4999.80
Electronics,Apple,Loyal Customer,Supermarkets ,3129866.08,1101,2842.75,508.55,4996.09
Electronics,Apple,Occasional Shopper,Large Malls / Complexes,3012518.63,1089,2766.32,505.17,4997.26
Electronics,Apple,Occasional Shopper,Small Stores / Shops,3251604.75,1149,2829.94,500.26,4997.93
Electronics,Apple,Occasional Shopper,Supermarkets ,3085307.91,1142,2701.67,510.55,4996.32
Electronics,Apple,Online Shopper,Large Malls / Complexes,2889315.71,1048,2756.98,500.77,4998.93
Electronics,Apple,Online Shopper,Small Stores / Shops,3076845.16,1127,2730.12,512.61,4995.06
Electronics,Apple,Online Shopper,Supermarkets ,3131742.37,1151,2720.89,500.70,4998.84
Electronics,Apple,Premium Shopper,Large Malls / Complexes,2822814.43,1033,2732.64,504.05,4996.76
Electronics,Apple,Premium Shopper,Small Stores / Shops,3141995.33,1135,2768.28,503.41,4993.39
Electronics,Apple,Premium Shopper,Supermarkets ,3076267.11,1139,2700.85,502.69,4985.88
Electronics,LG,Budget Shopper,Large Malls / Complexes,2852207.42,1048,2721.57,504.53,4996.41
Electronics,LG,Budget Shopper,Small Stores / Shops,3135959.21,1139,2753.26,520.15,4991.96
Electronics,LG,Budget Shopper,Supermarkets ,3048381.04,1116,2731.52,502.26,4997.22
Electronics,LG,Churn Risk,Large Malls / Complexes,3044014.11,1106,2752.27,502.94,4995.01
Electronics,LG,Churn Risk,Small Stores / Shops,3295293.33,1180,2792.62,501.23,4996.70
Electronics,LG,Churn Risk,Supermarkets ,3139394.49,1136,2763.55,500.17,4995.63
Electronics,LG,Deal Seeker,Large Malls / Complexes,2954091.56,1053,2805.41,503.52,4997.31
Electronics,LG,Deal Seeker,Small Stores / Shops,3073885.07,1106,2779.28,502.12,4998.59
Electronics,LG,Deal Seeker,Supermarkets ,3275486.40,1198,2734.13,504.17,4997.26
Electronics,LG,First-time Buyer,Large Malls / Complexes,3098770.44,1092,2837.70,504.53,4999.10
Electronics,LG,First-time Buyer,Small Stores / Shops,3042081.90,1123,2708.89,500.75,4999.20
Electronics,LG,First-time Buyer,Supermarkets ,3063369.21,1140,2687.17,508.23,4999.11
Electronics,LG,High Value,Large Malls / Complexes,2913738.01,1034,2817.93,500.70,4999.45
Electronics,LG,High Value,Small Stores / Shops,3049498.32,1095,2784.93,501.39,4992.82
Electronics,LG,High Value,Supermarkets ,3206291.01,1159,2766.43,504.82,4999.77
Electronics,LG,In-Store Regular,Large Malls / Complexes,2869589.15,1015,2827.18,503.81,4994.64
Electronics,LG,In-Store Regular,Small Stores / Shops,2907148.44,1080,2691.80,517.68,4998.70
Electronics,LG,In-Store Regular,Supermarkets ,3122434.46,1134,2753.47,501.76,4999.09
Electronics,LG,Loyal Customer,Large Malls / Complexes,2846539.19,1062,2680.36,502.74,4991.69
Electronics,LG,Loyal Customer,Small Stores / Shops,2997455.40,1095,2737.40,504.23,4995.58
Electronics,LG,Loyal Customer,Supermarkets ,3197873.74,1183,2703.19,514.69,4993.14
Electronics,LG,Occasional Shopper,Large Malls / Complexes,2951655.70,1054,2800.43,508.49,4998.42
Electronics,LG,Occasional Shopper,Small Stores / Shops,3060837.94,1119,2735.33,501.06,4996.56
Electronics,LG,Occasional Shopper,Supermarkets ,3058636.54,1131,2704.36,501.39,4997.14
Electronics,LG,Online Shopper,Large Malls / Complexes,2919748.46,1047,2788.68,502.74,4995.33
Electronics,LG,Online Shopper,Small Stores / Shops,3105527.37,1125,2760.47,502.18,4996.84
Electronics,LG,Online Shopper,Supermarkets ,3080595.10,1123,2743.18,503.23,4987.89
Electronics,LG,Premium Shopper,Large Malls / Complexes,3012494.01,1088,2768.84,505.99,4995.82
Electronics,LG,Premium Shopper,Small Stores / Shops,3118859.22,1127,2767.40,514.96,4996.89
Electronics,LG,Premium Shopper,Supermarkets ,3270389.67,1162,2814.45,504.90,4997.79
Electronics,Panasonic,Budget Shopper,Large Malls / Complexes,2798869.97,997,2807.29,500.80,4999.40
Electronics,Panasonic,Budget Shopper,Small Stores / Shops,3024397.26,1073,2818.64,500.59,4996.39
Electronics,Panasonic,Budget Shopper,Supermarkets ,3168008.35,1150,2754.79,501.31,4998.92
Electronics,Panasonic,Churn Risk,Large Malls / Complexes,2895366.01,1052,2752.25,501.57,4997.13
Electronics,Panasonic,Churn Risk,Small Stores / Shops,3134086.94,1150,2725.29,500.20,4998.99
Electronics,Panasonic,Churn Risk,Supermarkets ,3212915.16,1150,2793.84,502.31,4999.64
Electronics,Panasonic,Deal Seeker,Large Malls / Complexes,2835115.70,1038,2731.33,513.19,4994.86
Electronics,Panasonic,Deal Seeker,Small Stores / Shops,3360958.27,1205,2789.18,500.14,4997.91
Electronics,Panasonic,Deal Seeker,Supermarkets ,3132261.16,1137,2754.85,503.53,4999.75
Electronics,Panasonic,First-time Buyer,Large Malls / Complexes,2892307.24,1055,2741.52,503.56,4999.78
Electronics,Panasonic,First-time Buyer,Small Stores / Shops,3008972.05,1123,2679.41,511.07,4992.49
Electronics,Panasonic,First-time Buyer,Supermarkets ,3194509.54,1150,2777.83,507.16,4999.90
Electronics,Panasonic,High Value,Large Malls / Complexes,2966987.65,1074,2762.56,503.72,4990.51
Electronics,Panasonic,High Value,Small Stores / Shops,3222252.26,1161,2775.41,502.39,4996.64
Electronics,Panasonic,High Value,Supermarkets ,3070914.61,1128,2722.44,504.69,4998.89
Electronics,Panasonic,In-Store Regular,Large Malls / Complexes,2977177.67,1113,2674.91,501.86,4995.07
Electronics,Panasonic,In-Store Regular,Small Stores / Shops,3222684.14,1158,2782.97,508.37,4999.96
Electronics,Panasonic,In-Store Regular,Supermarkets ,3319310.56,1200,2766.09,507.19,4999.60
Electronics,Panasonic,Loyal Customer,Large Malls / Complexes,2989641.40,1073,2786.25,502.33,4992.01
Electronics,Panasonic,Loyal Customer,Small Stores / Shops,3042172.92,1118,2721.08,501.47,4997.36
Electronics,Panasonic,Loyal Customer,Supermarkets ,3064423.23,1116,2745.90,500.20,4997.54
Electronics,Panasonic,Occasional Shopper,Large Malls / Complexes,2966758.53,1064,2788.31,507.71,4998.19
Electronics,Panasonic,Occasional Shopper,Small Stores / Shops,3257322.21,1169,2786.42,500.15,4991.92
Electronics,Panasonic,Occasional Shopper,Supermarkets ,3269727.44,1172,2789.87,503.80,4995.38
Electronics,Panasonic,Online Shopper,Large Malls / Complexes,3056981.67,1096,2789.22,503.43,4999.83
Electronics,Panasonic,Online Shopper,Small Stores / Shops,3040086.74,1087,2796.77,506.53,4993.48
Electronics,Panasonic,Online Shopper,Supermarkets ,3281807.33,1178,2785.91,500.09,4998.72
Electronics,Panasonic,Premium Shopper,Large Malls / Complexes,2849353.07,1029,2769.05,501.34,4996.51
Electronics,Panasonic,Premium Shopper,Small Stores / Shops,2995602.83,1092,2743.23,500.34,4997.71
Electronics,Panasonic,Premium Shopper,Supermarkets ,3251855.21,1177,2762.83,500.51,4999.87
Electronics,Samsung,Budget Shopper,Large Malls / Complexes,2827749.47,1014,2788.71,501.48,4998.35
Electronics,Samsung,Budget Shopper,Small Stores / Shops,3049232.54,1084,2812.95,502.24,4999.28
Electronics,Samsung,Budget Shopper,Supermarkets ,3164791.30,1149,2754.39,503.78,4988.20
Electronics,Samsung,Churn Risk,Large Malls / Complexes,2892260.43,1053,2746.69,505.30,4991.94
Electronics,Samsung,Churn Risk,Small Stores / Shops,3108255.07,1155,2691.13,501.42,4999.69
Electronics,Samsung,Churn Risk,Supermarkets ,3195792.89,1151,2776.54,501.03,4994.08
Electronics,Samsung,Deal Seeker,Large Malls / Complexes,2797724.95,1014,2759.10,503.08,4986.14
Electronics,Samsung,Deal Seeker,Small Stores / Shops,3134761.53,1126,2783.98,501.85,4998.39
Electronics,Samsung,Deal Seeker,Supermarkets ,3244466.32,1206,2690.27,505.19,4998.01
Electronics,Samsung,First-time Buyer,Large Malls / Complexes,2917059.10,1080,2700.98,501.91,4997.02
Electronics,Samsung,First-time Buyer,Small Stores / Shops,3169692.73,1158,2737.21,506.47,4994.98
Electronics,Samsung,First-time Buyer,Supermarkets ,3255732.90,1157,2813.94,500.13,4999.71
Electronics,Samsung,High Value,Large Malls / Complexes,2903184.30,1026,2829.61,504.44,4992.51
Electronics,Samsung,High Value,Small Stores / Shops,3149826.18,1129,2789.93,513.42,4982.96
Electronics,Samsung,High Value,Supermarkets ,3052327.14,1130,2701.17,501.98,4993.37
Electronics,Samsung,In-Store Regular,Large Malls / Complexes,2890646.38,1063,2719.33,501.27,4995.33
Electronics,Samsung,In-Store Regular,Small Stores / Shops,3201634.25,1167,2743.47,503.76,4999.11
Electronics,Samsung,In-Store Regular,Supermarkets ,3205215.57,1181,2713.98,507.40,4995.10
Electronics,Samsung,Loyal Customer,Large Malls / Complexes,2926326.81,1052,2781.68,518.86,4999.50
Electronics,Samsung,Loyal Customer,Small Stores / Shops,3107149.10,1115,2786.68,510.19,4997.09
Electronics,Samsung,Loyal Customer,Supermarkets ,3212621.99,1163,2762.36,501.94,4998.97
Electronics,Samsung,Occasional Shopper,Large Malls / Complexes,2982157.25,1088,2740.95,501.55,4997.57
Electronics,Samsung,Occasional Shopper,Small Stores / Shops,3191035.50,1156,2760.41,527.70,4991.85
Electronics,Samsung,Occasional Shopper,Supermarkets ,3195495.90,1150,2778.69,503.77,4999.63
Electronics,Samsung,Online Shopper,Large Malls / Complexes,2719664.12,1006,2703.44,505.51,4998.12
Electronics,Samsung,Online Shopper,Small Stores / Shops,3255239.34,1164,2796.60,505.74,4998.33
Electronics,Samsung,Online Shopper,Supermarkets ,3413238.78,1195,2856.27,500.93,4997.91
Electronics,Samsung,Premium Shopper,Large Malls / Complexes,2937852.42,1063,2763.74,504.23,4995.60
Electronics,Samsung,Premium Shopper,Small Stores / Shops,3212030.76,1170,2745.33,504.67,4997.81
Electronics,Samsung,Premium Shopper,Supermarkets ,3183536.83,1157,2751.54,502.17,4995.69
Electronics,Sony,Budget Shopper,Large Malls / Complexes,2980313.47,1069,2787.95,500.55,4990.97
Electronics,Sony,Budget Shopper,Small Stores / Shops,3005525.63,1076,2793.24,505.65,4997.06
Electronics,Sony,Budget Shopper,Supermarkets ,3136717.89,1138,2756.34,505.51,4996.70
Electronics,Sony,Churn Risk,Large Malls / Complexes,2801583.55,1027,2727.93,504.98,4997.94
Electronics,Sony,Churn Risk,Small Stores / Shops,2835294.79,1045,2713.20,501.99,4997.03
Electronics,Sony,Churn Risk,Supermarkets ,3298869.78,1204,2739.93,500.37,4973.40
Electronics,Sony,Deal Seeker,Large Malls / Complexes,2890338.62,1073,2693.70,500.80,4984.20
Electronics,Sony,Deal Seeker,Small Stores / Shops,3000860.98,1103,2720.64,501.33,4999.82
Electronics,Sony,Deal Seeker,Supermarkets ,3127226.94,1157,2702.88,507.68,4999.95
Electronics,Sony,First-time Buyer,Large Malls / Complexes,2968900.60,1068,2779.87,504.33,4997.65
