brand,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Levi's,Sales Associate,24335450.37,8914,2730.03,500.12,4999.85
Levi's,Salesperson,23958960.12,8676,2761.52,501.79,4999.97
Levi's,Senior Salesperson,21077840.83,7633,2761.41,502.02,4999.60
Nestle,Manager,22726527.20,8204,2770.18,500.60,4999.70
Nestle,Sales Associate,24177807.82,8785,2752.17,501.31,4999.92
Nestle,Salesperson,23699198.68,8580,2762.14,500.36,4998.94
Nestle,Senior Salesperson,20572445.96,7558,2721.94,500.03,4999.88
Nike,Manager,46388125.69,16837,2755.13,500.14,4999.83
Nike,Sales Associate,48844663.96,17740,2753.36,500.14,4999.95
Nike,Salesperson,48077112.98,17433,2757.82,500.01,4999.33
Nike,Senior Salesperson,41957266.63,15165,2766.72,500.07,4999.44
Panasonic,Manager,22925590.33,8318,2756.14,500.20,4999.87
Panasonic,Sales Associate,24499916.70,8917,2747.55,501.34,4999.90
Panasonic,Salesperson,24225948.24,8729,2775.34,500.09,4999.67
Panasonic,Senior Salesperson,20851371.85,7521,2772.42,500.14,4999.96
Pepperfry,Manager,23303303.11,8445,2759.42,500.89,4998.77
Pepperfry,Sales Associate,23764580.73,8641,2750.21,500.56,4999.26
Pepperfry,Salesperson,23746778.85,8610,2758.05,501.63,4999.47
Pepperfry,Senior Salesperson,20841956.82,7563,2755.78,500.36,4998.96
Puma,Manager,45940364.11,16635,2761.67,500.04,4999.40
Puma,Sales Associate,48118248.54,17484,2752.13,500.10,4999.85
Puma,Salesperson,46931978.00,17174,2732.73,500.37,4999.89
Puma,Senior Salesperson,42458431.97,15402,2756.68,500.03,4999.98
Reebok,Manager,23076131.16,8416,2741.94,500.04,4999.34
Reebok,Sales Associate,24575830.44,8884,2766.30,500.37,4999.33
Reebok,Salesperson,24014504.85,8706,2758.39,500.30,4999.65
Reebok,Senior Salesperson,21021192.01,7642,2750.74,500.26,4999.53
Samsung,Manager,46719332.80,16943,2757.44,500.13,4998.97
Samsung,Sales Associate,48474070.42,17594,2755.15,500.21,4999.98
Samsung,Salesperson,47278608.43,17193,2749.88,500.09,4999.90
Samsung,Senior Salesperson,41959783.08,15220,2756.88,500.17,4999.94
Sony,Manager,22861987.91,8338,2741.90,500.05,4999.15
Sony,Sales Associate,24240690.86,8780,2760.90,500.19,4999.96
Sony,Salesperson,23354319.27,8543,2733.74,501.33,4998.62
Sony,Senior Salesperson,20458945.65,7488,2732.23,500.69,4998.40
Tata,Manager,23184914.87,8394,2762.08,500.83,4999.13
Tata,Sales Associate,24323220.03,8842,2750.87,500.01,4999.35
Tata,Salesperson,23424290.03,8512,2751.91,500.47,4999.97
Tata,Senior Salesperson,21083519.84,7632,2762.52,500.32,4999.90
Urban Ladder,Manager,22805010.32,8339,2734.74,500.07,4999.31
Urban Ladder,Sales Associate,24185330.35,8774,2756.48,501.28,4999.59
Urban Ladder,Salesperson,24250262.85,8696,2788.67,500.34,4999.62
Urban Ladder,Senior Salesperson,20567694.17,7469,2753.74,500.29,4999.88
Whirlpool,Manager,23361538.91,8477,2755.87,501.18,4999.93
Whirlpool,Sales Associate,24075341.28,8790,2738.95,501.35,4999.78
Whirlpool,Salesperson,23500244.38,8586,2737.04,500.61,4999.73
Whirlpool,Senior Salesperson,21032513.67,7630,2756.55,500.21,4999.12
Zara,Manager,22773770.80,8294,2745.81,500.32,4998.58
Zara,Sales Associate,24048122.68,8712,2760.34,501.59,4999.91
Zara,Salesperson,23265355.06,8487,2741.29,500.50,4999.82
Zara,Senior Salesperson,20494895.22,7400,2769.58,501.24,4999.81
