customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Sales Associate,Black Friday Blowout,1433174.81,503,2849.25,508.22,4993.47
Budget Shopper,Sales Associate,Cart Crasher Campaign,1595077.26,570,2798.38,557.26,4996.24
Budget Shopper,Sales Associate,Cashback Carnival,1553823.01,555,2799.68,500.42,4990.45
Budget Shopper,Sales Associate,Clearance Countdown,1470443.20,540,2723.04,507.62,4998.92
Budget Shopper,Sales Associate,Countdown to Savings,1387147.59,519,2672.73,517.81,4989.61
Budget Shopper,Sales Associate,Customer Appreciation Week,1404519.53,509,2759.37,504.71,4995.70
Budget Shopper,Sales Associate,Deal of the Month,1435712.34,510,2815.12,503.94,4991.80
Budget Shopper,Sales Associate,Double Points Bonanza,1418217.93,524,2706.52,502.69,4997.47
Budget Shopper,Sales Associate,Early Bird Specials,1446972.26,528,2740.48,505.34,4995.21
Budget Shopper,Sales Associate,Exclusive Insider Offers,1398309.36,520,2689.06,503.94,4996.14
Budget Shopper,Sales Associate,Festive Fever Promo,1384770.93,504,2747.56,506.57,4967.69
Budget Shopper,Sales Associate,Final Call Frenzy,1563501.23,552,2832.43,507.00,4997.52
Budget Shopper,Sales Associate,Flash Frenzy Friday,1405014.81,509,2760.34,507.52,4989.37
Budget Shopper,Sales Associate,Golden Hour Bargains,1344742.63,511,2631.59,506.68,4999.85
Budget Shopper,Sales Associate,Happy Hour Discounts,1507167.11,555,2715.62,500.42,4998.71
Budget Shopper,Sales Associate,Holiday Shopping Rush,1598137.00,573,2789.07,506.38,4989.87
Budget Shopper,Sales Associate,Hot Picks Promo,1504036.44,538,2795.61,510.10,4990.00
Budget Shopper,Sales Associate,Instant Gratification Sale,1443598.06,522,2765.51,501.38,4984.14
Budget Shopper,Sales Associate,Limited Time Treasures,1422678.01,528,2694.47,507.40,4997.38
Budget Shopper,Sales Associate,Loyalty Rewards Blast,1463770.72,536,2730.92,525.09,4995.73
Budget Shopper,Sales Associate,Mega Weekend Bonanza,1505513.11,537,2803.56,512.13,4995.42
Budget Shopper,Sales Associate,Mid-Year Madness,1428240.65,514,2778.68,536.81,4992.54
Budget Shopper,Sales Associate,Midnight Madness,1392310.73,529,2631.97,500.72,4999.95
Budget Shopper,Sales Associate,Mystery Discount Days,1382723.70,500,2765.45,511.16,4999.16
Budget Shopper,Sales Associate,New Arrival Showcase,1388111.78,504,2754.19,508.56,4995.28
Budget Shopper,Sales Associate,New Product Launch Promo,1513425.91,546,2771.84,502.18,4986.13
Budget Shopper,Sales Associate,New Year Kickoff,1509391.52,534,2826.58,500.10,4995.24
Budget Shopper,Sales Associate,Price Drop Parade,1421916.49,521,2729.21,507.21,4996.70
Budget Shopper,Sales Associate,Red Tag Clearance,1440778.73,523,2754.84,511.82,4993.50
Budget Shopper,Sales Associate,Seasonal Surprise Box,1523167.19,533,2857.72,504.53,4997.98
Budget Shopper,Sales Associate,Shop & Save Spectacular,1389863.85,509,2730.58,511.64,4995.39
Budget Shopper,Sales Associate,Smart Shopper Week,1353746.90,500,2707.49,502.36,4995.84
Budget Shopper,Sales Associate,Spring Refresh Event,1530705.61,556,2753.07,501.09,4993.59
Budget Shopper,Sales Associate,Spring Splash Discounts,1379444.49,510,2704.79,508.67,4994.40
Budget Shopper,Sales Associate,Summer Sizzle Promo,1420989.19,512,2775.37,510.83,4986.41
Budget Shopper,Sales Associate,Super Savings Week,1428943.72,509,2807.36,509.07,4995.51
Budget Shopper,Sales Associate,Ultimate Value Event,1429902.17,516,2771.13,526.43,4998.36
Budget Shopper,Sales Associate,VIP Access Sale,1506280.51,533,2826.04,516.56,4994.17
Budget Shopper,Sales Associate,Weekend Warrior Specials,1412870.53,532,2655.77,502.76,4994.74
Budget Shopper,Sales Associate,Winter Clearance Carnival,1470835.18,537,2738.99,526.61,4992.46
Budget Shopper,Sales Associate,Winter Wonders Sale,1388764.37,533,2605.56,505.33,4991.51
Budget Shopper,Salesperson,12 Days of Deals,1451606.40,526,2759.71,502.32,4998.61
Budget Shopper,Salesperson,BOGO Blitz,1356900.28,520,2609.42,505.45,4993.22
Budget Shopper,Salesperson,Black Friday Blowout,1455670.20,522,2788.64,500.99,4987.21
Budget Shopper,Salesperson,Cashback Carnival,1546747.58,538,2875.00,529.22,4988.47
Budget Shopper,Salesperson,Countdown to Savings,1429139.11,528,2706.70,506.50,4979.42
Budget Shopper,Salesperson,Cyber Monday Mania,1406271.70,515,2730.62,510.17,4993.46
Budget Shopper,Salesperson,Double Points Bonanza,1486740.65,524,2837.29,509.49,4998.12
Budget Shopper,Salesperson,End of Season Sale,1519762.53,553,2748.21,515.67,4999.17
Budget Shopper,Salesperson,Exclusive Insider Offers,1401670.56,519,2700.71,506.05,4999.90
Budget Shopper,Salesperson,Final Call Frenzy,1484485.20,528,2811.53,509.79,4995.87
Budget Shopper,Salesperson,Flash Frenzy Friday,1467907.92,514,2855.85,501.20,4998.41
Budget Shopper,Salesperson,"Gift More, Spend Less",1403979.41,513,2736.80,516.29,4982.73
Budget Shopper,Salesperson,Golden Hour Bargains,1388032.78,516,2689.99,506.49,4997.22
Budget Shopper,Salesperson,Green Weekend Deals,1507888.91,541,2787.23,504.78,4989.20
Budget Shopper,Salesperson,Happy Hour Discounts,1497998.78,534,2805.24,505.03,4986.24
Budget Shopper,Salesperson,Holiday Shopping Rush,1451344.15,511,2840.20,504.65,4999.40
Budget Shopper,Salesperson,Hot Picks Promo,1408603.64,510,2761.97,514.13,4989.53
Budget Shopper,Salesperson,Limited Time Treasures,1364098.58,520,2623.27,509.07,4997.33
Budget Shopper,Salesperson,Loyalty Rewards Blast,1535919.89,544,2823.38,523.08,4998.98
Budget Shopper,Salesperson,Mega Weekend Bonanza,1411508.69,504,2800.61,510.23,4987.19
Budget Shopper,Salesperson,Mid-Year Madness,1388655.88,516,2691.19,502.59,4992.45
Budget Shopper,Salesperson,Midnight Madness,1403645.73,513,2736.15,508.29,4986.24
Budget Shopper,Salesperson,Mystery Discount Days,1397710.79,510,2740.61,500.80,4999.42
Budget Shopper,Salesperson,New Product Launch Promo,1420311.67,535,2654.79,500.73,4999.95
Budget Shopper,Salesperson,New Year Kickoff,1500763.16,540,2779.19,501.31,4983.89
Budget Shopper,Salesperson,Price Drop Parade,1364026.00,501,2722.61,506.30,4992.73
Budget Shopper,Salesperson,Red Tag Clearance,1427745.30,530,2693.86,503.77,4983.87
Budget Shopper,Salesperson,Seasonal Surprise Box,1430315.15,517,2766.57,525.43,4973.56
Budget Shopper,Salesperson,Shop & Save Spectacular,1523814.92,559,2725.97,509.04,4985.88
Budget Shopper,Salesperson,Smart Shopper Week,1540220.86,551,2795.32,516.91,4999.66
Budget Shopper,Salesperson,Spring Refresh Event,1497588.10,532,2815.02,501.41,4989.96
Budget Shopper,Salesperson,Spring Splash Discounts,1476473.55,522,2828.49,504.57,4991.74
Budget Shopper,Salesperson,Summer Sizzle Promo,1458640.83,519,2810.48,510.56,4994.55
Budget Shopper,Salesperson,Super Savings Week,1463357.51,529,2766.27,532.71,4983.99
Budget Shopper,Salesperson,Ultimate Value Event,1399980.83,518,2702.67,506.99,4990.23
Budget Shopper,Salesperson,VIP Access Sale,1360989.12,501,2716.55,500.51,4991.26
Budget Shopper,Salesperson,Weekend Warrior Specials,1500648.49,541,2773.84,510.29,4956.07
Budget Shopper,Salesperson,Winter Wonders Sale,1491983.92,536,2783.55,502.26,4999.56
Churn Risk,Manager,Autumn Deals Drive,1477246.27,525,2813.80,501.18,4999.13
Churn Risk,Manager,BOGO Blitz,1393282.60,507,2748.09,519.12,4991.38
Churn Risk,Manager,Back to School Boost,1491010.04,553,2696.22,503.12,4995.60
Churn Risk,Manager,Birthday Bash Sale,1437845.59,516,2786.52,500.37,4983.87
Churn Risk,Manager,Black Friday Blowout,1364608.68,501,2723.77,503.75,4997.94
Churn Risk,Manager,Cart Crasher Campaign,1384786.08,500,2769.57,508.04,4998.46
Churn Risk,Manager,Cyber Monday Mania,1468941.98,520,2824.89,513.45,4990.19
Churn Risk,Manager,Deal of the Month,1405145.55,515,2728.44,510.85,4990.78
Churn Risk,Manager,End of Season Sale,1510581.66,555,2721.77,503.81,4985.42
Churn Risk,Manager,Flash Frenzy Friday,1454137.61,513,2834.58,522.32,4995.77
Churn Risk,Manager,"Gift More, Spend Less",1324825.76,505,2623.42,535.13,4988.75
Churn Risk,Manager,Golden Hour Bargains,1453628.69,513,2833.58,515.45,4992.88
Churn Risk,Manager,Green Weekend Deals,1460185.65,507,2880.05,504.20,4996.07
Churn Risk,Manager,Holiday Shopping Rush,1355157.27,511,2651.97,500.17,4979.26
Churn Risk,Manager,Hot Picks Promo,1495899.42,529,2827.79,506.70,4988.80
Churn Risk,Manager,Loyalty Rewards Blast,1420320.91,506,2806.96,509.96,4998.22
Churn Risk,Manager,Mega Weekend Bonanza,1398682.83,535,2614.36,503.48,4996.67
Churn Risk,Manager,Mystery Discount Days,1409438.57,526,2679.54,501.23,4995.76
Churn Risk,Manager,New Product Launch Promo,1463863.14,535,2736.19,509.60,4991.85
Churn Risk,Manager,New Year Kickoff,1402329.89,510,2749.67,560.75,4988.93
Churn Risk,Manager,Price Drop Parade,1389866.82,519,2677.97,530.33,4997.34
Churn Risk,Manager,Seasonal Surprise Box,1430340.84,511,2799.10,501.54,4996.49
Churn Risk,Manager,Smart Shopper Week,1398206.13,503,2779.73,523.85,4992.28
Churn Risk,Manager,Spring Refresh Event,1403138.77,514,2729.84,524.73,4980.06
Churn Risk,Manager,Spring Splash Discounts,1378554.98,503,2740.67,505.77,4995.14
Churn Risk,Manager,Super Savings Week,1360428.90,506,2688.59,500.70,4992.27
Churn Risk,Manager,Ultimate Value Event,1527699.34,551,2772.59,503.99,4997.13
Churn Risk,Manager,VIP Access Sale,1425200.42,517,2756.67,502.11,4999.15
Churn Risk,Manager,Winter Clearance Carnival,1446941.96,519,2787.94,503.94,4995.61
Churn Risk,Manager,Winter Wonders Sale,1414504.24,519,2725.44,510.86,4980.40
Churn Risk,Sales Associate,12 Days of Deals,1483861.75,532,2789.21,504.11,4996.82
Churn Risk,Sales Associate,Autumn Deals Drive,1442887.25,532,2712.19,501.19,4996.09
Churn Risk,Sales Associate,BOGO Blitz,1446487.77,518,2792.45,508.02,4992.34
Churn Risk,Sales Associate,Back to School Boost,1623431.56,574,2828.28,520.12,4987.32
Churn Risk,Sales Associate,Birthday Bash Sale,1529885.04,543,2817.47,509.57,4985.32
Churn Risk,Sales Associate,Cart Crasher Campaign,1370454.90,507,2703.07,502.87,4996.45
Churn Risk,Sales Associate,Cashback Carnival,1321922.19,502,2633.31,510.20,4986.49
Churn Risk,Sales Associate,Clearance Countdown,1470032.89,526,2794.74,526.48,4998.56
Churn Risk,Sales Associate,Countdown to Savings,1473225.11,529,2784.92,500.60,4996.16
Churn Risk,Sales Associate,Customer Appreciation Week,1303801.40,502,2597.21,502.48,4997.68
Churn Risk,Sales Associate,Cyber Monday Mania,1456773.80,519,2806.89,509.47,4998.93
Churn Risk,Sales Associate,Deal of the Month,1438364.61,539,2668.58,501.02,4978.58
Churn Risk,Sales Associate,Double Points Bonanza,1446201.71,539,2683.12,500.48,4991.43
Churn Risk,Sales Associate,Early Bird Specials,1501714.59,538,2791.29,508.69,4975.86
Churn Risk,Sales Associate,End of Season Sale,1493089.41,558,2675.79,520.33,4996.48
Churn Risk,Sales Associate,Final Call Frenzy,1423564.26,520,2737.62,501.57,4993.58
Churn Risk,Sales Associate,Flash Frenzy Friday,1399877.97,512,2734.14,507.64,4997.51
Churn Risk,Sales Associate,"Gift More, Spend Less",1474983.14,535,2756.98,509.81,4987.76
Churn Risk,Sales Associate,Green Weekend Deals,1717908.42,614,2797.90,517.77,4997.22
Churn Risk,Sales Associate,Happy Hour Discounts,1509244.17,546,2764.18,503.04,4993.28
Churn Risk,Sales Associate,Holiday Shopping Rush,1552033.45,552,2811.65,507.19,4993.89
Churn Risk,Sales Associate,Hot Picks Promo,1460558.28,531,2750.58,508.91,4985.45
Churn Risk,Sales Associate,Instant Gratification Sale,1436597.56,513,2800.39,546.73,4999.03
Churn Risk,Sales Associate,Limited Time Treasures,1465307.56,532,2754.34,513.33,4965.73
Churn Risk,Sales Associate,Mega Weekend Bonanza,1442127.54,518,2784.03,502.08,4998.00
Churn Risk,Sales Associate,Mid-Year Madness,1462214.44,508,2878.37,516.51,4993.47
Churn Risk,Sales Associate,Midnight Madness,1463280.06,543,2694.81,502.72,4990.79
Churn Risk,Sales Associate,Mystery Discount Days,1484930.07,548,2709.73,528.84,4958.82
Churn Risk,Sales Associate,New Arrival Showcase,1537343.39,561,2740.36,504.98,4999.20
Churn Risk,Sales Associate,New Product Launch Promo,1406682.97,519,2710.37,509.22,4999.22
Churn Risk,Sales Associate,Price Drop Parade,1407949.25,519,2712.81,508.52,4975.36
Churn Risk,Sales Associate,Seasonal Surprise Box,1444022.80,535,2699.11,505.59,4998.82
Churn Risk,Sales Associate,Shop & Save Spectacular,1482935.83,533,2782.24,500.21,4999.91
Churn Risk,Sales Associate,Smart Shopper Week,1503545.59,548,2743.70,509.77,4995.40
Churn Risk,Sales Associate,Spring Refresh Event,1412580.23,517,2732.26,500.56,4998.26
Churn Risk,Sales Associate,Spring Splash Discounts,1465541.56,554,2645.38,502.55,4943.31
Churn Risk,Sales Associate,Super Savings Week,1476373.27,539,2739.10,505.75,4997.19
Churn Risk,Sales Associate,Ultimate Value Event,1456300.16,530,2747.74,531.19,4991.35
Churn Risk,Sales Associate,VIP Access Sale,1466172.58,545,2690.22,521.06,4990.46
Churn Risk,Sales Associate,Weekend Warrior Specials,1417652.40,523,2710.62,503.77,4995.92
Churn Risk,Sales Associate,Winter Clearance Carnival,1599008.94,582,2747.44,501.40,4997.18
Churn Risk,Sales Associate,Winter Wonders Sale,1398744.95,512,2731.92,515.88,4991.74
Churn Risk,Salesperson,Autumn Deals Drive,1448981.75,511,2835.58,500.20,4996.15
Churn Risk,Salesperson,BOGO Blitz,1446406.26,511,2830.54,507.32,4999.45
Churn Risk,Salesperson,Back to School Boost,1390769.59,520,2674.56,518.77,4974.32
Churn Risk,Salesperson,Birthday Bash Sale,1434608.42,520,2758.86,501.83,4999.64
Churn Risk,Salesperson,Black Friday Blowout,1420462.31,511,2779.77,516.25,4994.07
Churn Risk,Salesperson,Cart Crasher Campaign,1384502.34,510,2714.71,511.88,4995.24
Churn Risk,Salesperson,Cashback Carnival,1394796.38,516,2703.09,502.35,4999.22
Churn Risk,Salesperson,Countdown to Savings,1386703.97,504,2751.40,500.39,4995.99
Churn Risk,Salesperson,Customer Appreciation Week,1484247.48,527,2816.41,502.07,4990.07
Churn Risk,Salesperson,Double Points Bonanza,1349237.32,509,2650.76,509.59,4996.21
Churn Risk,Salesperson,Early Bird Specials,1464102.20,536,2731.53,519.29,4997.07
Churn Risk,Salesperson,Exclusive Insider Offers,1453295.09,507,2866.46,508.78,4999.29
Churn Risk,Salesperson,Festive Fever Promo,1564364.52,570,2744.50,510.97,4995.75
Churn Risk,Salesperson,Final Call Frenzy,1367461.33,506,2702.49,501.06,4994.08
Churn Risk,Salesperson,Flash Frenzy Friday,1457204.71,537,2713.60,508.81,4983.73
Churn Risk,Salesperson,"Gift More, Spend Less",1580995.52,578,2735.29,500.71,4983.76
Churn Risk,Salesperson,Golden Hour Bargains,1426653.25,531,2686.73,506.95,4991.51
Churn Risk,Salesperson,Green Weekend Deals,1462825.55,527,2775.76,516.86,4999.33
Churn Risk,Salesperson,Happy Hour Discounts,1543125.29,550,2805.68,540.18,4984.58
Churn Risk,Salesperson,Holiday Shopping Rush,1470062.77,522,2816.21,521.30,4997.57
Churn Risk,Salesperson,Instant Gratification Sale,1402797.84,504,2783.33,519.16,4989.05
Churn Risk,Salesperson,Limited Time Treasures,1547712.33,552,2803.83,501.60,4998.70
Churn Risk,Salesperson,Mid-Year Madness,1495213.84,538,2779.21,500.47,4997.94
Churn Risk,Salesperson,Midnight Madness,1473636.35,531,2775.21,504.23,4974.49
Churn Risk,Salesperson,New Product Launch Promo,1513790.67,534,2834.81,514.75,4999.18
Churn Risk,Salesperson,New Year Kickoff,1459436.29,548,2663.20,515.89,4975.31
Churn Risk,Salesperson,Price Drop Parade,1438761.88,520,2766.85,508.61,4996.09
Churn Risk,Salesperson,Seasonal Surprise Box,1442020.17,522,2762.49,503.27,4993.44
Churn Risk,Salesperson,Shop & Save Spectacular,1465298.20,528,2775.19,506.29,4997.93
Churn Risk,Salesperson,Smart Shopper Week,1379329.69,502,2747.67,504.73,4999.64
Churn Risk,Salesperson,Spring Splash Discounts,1485518.28,532,2792.33,504.32,4984.68
Churn Risk,Salesperson,Summer Sizzle Promo,1462193.19,550,2658.53,505.55,4990.78
Churn Risk,Salesperson,Super Savings Week,1644036.51,583,2819.96,505.22,4998.99
Churn Risk,Salesperson,VIP Access Sale,1469404.98,530,2772.46,513.56,4989.78
Churn Risk,Salesperson,Weekend Warrior Specials,1445411.20,526,2747.93,506.11,4987.65
Churn Risk,Salesperson,Winter Clearance Carnival,1442344.65,511,2822.59,502.13,4999.04
Churn Risk,Salesperson,Winter Wonders Sale,1371024.31,506,2709.53,513.05,4999.85
Deal Seeker,Manager,12 Days of Deals,1365091.10,501,2724.73,502.44,4996.81
Deal Seeker,Manager,Autumn Deals Drive,1469503.15,537,2736.50,500.76,4985.98
Deal Seeker,Manager,Back to School Boost,1438927.72,518,2777.85,500.60,4997.76
Deal Seeker,Manager,Birthday Bash Sale,1326509.54,501,2647.72,511.78,4995.19
Deal Seeker,Manager,Cart Crasher Campaign,1452126.20,521,2787.19,503.66,4996.42
Deal Seeker,Manager,Clearance Countdown,1419542.57,505,2810.98,505.37,4986.41
Deal Seeker,Manager,Countdown to Savings,1420618.77,502,2829.92,509.56,4987.12
Deal Seeker,Manager,Cyber Monday Mania,1579814.66,569,2776.48,502.07,4990.88
Deal Seeker,Manager,Deal of the Month,1375317.41,509,2702.00,501.76,4989.02
Deal Seeker,Manager,Double Points Bonanza,1498107.76,526,2848.11,503.93,4996.88
Deal Seeker,Manager,Early Bird Specials,1405036.61,501,2804.46,501.96,4999.70
Deal Seeker,Manager,End of Season Sale,1458208.22,527,2767.00,512.45,4988.61
Deal Seeker,Manager,Final Call Frenzy,1383021.27,501,2760.52,521.13,4973.99
Deal Seeker,Manager,"Gift More, Spend Less",1402681.80,516,2718.38,510.97,4995.74
Deal Seeker,Manager,Golden Hour Bargains,1420655.72,509,2791.07,506.12,4997.10
Deal Seeker,Manager,Instant Gratification Sale,1355793.95,514,2637.73,506.16,4995.20
Deal Seeker,Manager,Loyalty Rewards Blast,1435808.71,517,2777.19,501.05,4996.70
Deal Seeker,Manager,Mid-Year Madness,1382317.53,503,2748.15,500.89,4998.69
Deal Seeker,Manager,Midnight Madness,1428638.25,509,2806.75,502.64,4998.11
Deal Seeker,Manager,Mystery Discount Days,1397903.75,518,2698.66,531.10,4995.72
Deal Seeker,Manager,New Arrival Showcase,1493481.78,525,2844.73,513.72,4998.00
Deal Seeker,Manager,New Year Kickoff,1440633.21,521,2765.13,501.02,4992.69
Deal Seeker,Manager,Price Drop Parade,1415959.42,522,2712.57,513.72,4991.46
Deal Seeker,Manager,Seasonal Surprise Box,1405000.09,504,2787.70,501.18,4997.91
Deal Seeker,Manager,Ultimate Value Event,1445806.05,530,2727.94,507.45,4986.31
Deal Seeker,Manager,VIP Access Sale,1449599.95,507,2859.17,541.45,4985.27
Deal Seeker,Manager,Weekend Warrior Specials,1412804.37,515,2743.31,511.76,4995.08
Deal Seeker,Manager,Winter Clearance Carnival,1488030.12,536,2776.18,509.53,4993.03
Deal Seeker,Manager,Winter Wonders Sale,1446088.73,523,2764.99,511.22,4991.55
Deal Seeker,Sales Associate,12 Days of Deals,1541708.47,549,2808.21,507.68,4999.82
Deal Seeker,Sales Associate,Autumn Deals Drive,1501597.13,539,2785.89,500.56,4996.48
Deal Seeker,Sales Associate,BOGO Blitz,1507441.70,538,2801.94,501.85,4997.66
Deal Seeker,Sales Associate,Back to School Boost,1440409.08,522,2759.40,503.95,4999.33
Deal Seeker,Sales Associate,Birthday Bash Sale,1394197.20,516,2701.93,501.20,4996.94
Deal Seeker,Sales Associate,Black Friday Blowout,1513510.19,549,2756.85,509.61,4991.37
Deal Seeker,Sales Associate,Cashback Carnival,1381580.47,505,2735.80,502.91,4997.15
Deal Seeker,Sales Associate,Clearance Countdown,1594494.19,582,2739.68,501.45,4998.01
Deal Seeker,Sales Associate,Countdown to Savings,1557483.21,571,2727.64,501.28,4979.96
Deal Seeker,Sales Associate,Customer Appreciation Week,1430517.22,519,2756.30,501.28,4985.39
Deal Seeker,Sales Associate,Deal of the Month,1363074.83,508,2683.22,501.29,4996.86
Deal Seeker,Sales Associate,Double Points Bonanza,1483958.48,510,2909.72,501.70,4998.55
Deal Seeker,Sales Associate,Early Bird Specials,1534466.89,548,2800.12,503.83,4997.80
Deal Seeker,Sales Associate,End of Season Sale,1390966.38,509,2732.74,504.46,4989.11
Deal Seeker,Sales Associate,Exclusive Insider Offers,1395501.51,515,2709.71,515.70,4980.74
Deal Seeker,Sales Associate,Festive Fever Promo,1414814.85,542,2610.36,514.16,4993.37
Deal Seeker,Sales Associate,Final Call Frenzy,1509267.69,541,2789.77,503.08,4997.60
Deal Seeker,Sales Associate,Flash Frenzy Friday,1504635.25,557,2701.32,501.88,4988.50
Deal Seeker,Sales Associate,"Gift More, Spend Less",1481296.98,532,2784.39,500.46,4984.91
Deal Seeker,Sales Associate,Golden Hour Bargains,1517166.54,547,2773.61,502.34,4998.10
Deal Seeker,Sales Associate,Green Weekend Deals,1491642.87,550,2712.08,502.55,4999.77
Deal Seeker,Sales Associate,Happy Hour Discounts,1456413.91,525,2774.12,517.21,4989.55
Deal Seeker,Sales Associate,Holiday Shopping Rush,1490914.81,536,2781.56,501.35,4969.91
Deal Seeker,Sales Associate,Hot Picks Promo,1526106.69,548,2784.87,502.43,4982.03
Deal Seeker,Sales Associate,Instant Gratification Sale,1451168.86,531,2732.90,501.53,4999.38
Deal Seeker,Sales Associate,Limited Time Treasures,1467860.95,547,2683.48,502.11,4983.86
Deal Seeker,Sales Associate,Loyalty Rewards Blast,1418413.77,528,2686.39,505.10,4992.96
Deal Seeker,Sales Associate,Mega Weekend Bonanza,1436617.25,500,2873.23,502.25,4992.05
Deal Seeker,Sales Associate,Midnight Madness,1567574.76,557,2814.32,505.68,4998.11
Deal Seeker,Sales Associate,Mystery Discount Days,1457871.09,542,2689.80,504.02,4982.44
Deal Seeker,Sales Associate,New Arrival Showcase,1505075.88,544,2766.68,503.53,4999.95
Deal Seeker,Sales Associate,New Product Launch Promo,1412247.96,514,2747.56,502.50,4996.27
Deal Seeker,Sales Associate,New Year Kickoff,1459329.66,533,2737.95,503.09,4996.37
Deal Seeker,Sales Associate,Price Drop Parade,1424024.25,526,2707.27,505.19,4988.21
Deal Seeker,Sales Associate,Red Tag Clearance,1499246.50,537,2791.89,508.61,4992.26
Deal Seeker,Sales Associate,Seasonal Surprise Box,1444590.01,527,2741.16,500.52,4989.26
Deal Seeker,Sales Associate,Shop & Save Spectacular,1472814.96,536,2747.79,500.14,4997.56
Deal Seeker,Sales Associate,Smart Shopper Week,1460508.76,524,2787.23,509.40,4997.75
Deal Seeker,Sales Associate,Spring Refresh Event,1492923.74,536,2785.31,521.71,4977.61
Deal Seeker,Sales Associate,Spring Splash Discounts,1459527.50,517,2823.07,525.52,4996.52
Deal Seeker,Sales Associate,Summer Sizzle Promo,1487850.50,546,2725.00,502.08,4991.16
Deal Seeker,Sales Associate,Super Savings Week,1406680.35,518,2715.60,509.50,4995.00
Deal Seeker,Sales Associate,Ultimate Value Event,1524073.04,541,2817.14,512.05,4996.78
Deal Seeker,Sales Associate,VIP Access Sale,1452936.11,532,2731.08,503.17,4985.88
Deal Seeker,Sales Associate,Weekend Warrior Specials,1506541.37,559,2695.07,503.19,4966.38
Deal Seeker,Sales Associate,Winter Clearance Carnival,1594243.25,572,2787.14,504.61,4993.14
Deal Seeker,Sales Associate,Winter Wonders Sale,1450527.00,515,2816.56,527.33,4997.89
Deal Seeker,Salesperson,12 Days of Deals,1633897.36,590,2769.32,513.34,4999.02
Deal Seeker,Salesperson,Autumn Deals Drive,1422006.43,534,2662.93,511.91,4995.61
Deal Seeker,Salesperson,BOGO Blitz,1484235.91,533,2784.68,513.67,4998.59
Deal Seeker,Salesperson,Back to School Boost,1463766.06,549,2666.24,505.03,4998.09
Deal Seeker,Salesperson,Birthday Bash Sale,1436326.62,547,2625.83,517.17,4991.81
Deal Seeker,Salesperson,Black Friday Blowout,1470868.04,537,2739.05,504.18,4998.59
Deal Seeker,Salesperson,Cart Crasher Campaign,1399947.07,518,2702.60,505.97,4995.45
Deal Seeker,Salesperson,Clearance Countdown,1429391.48,529,2702.06,504.91,4996.18
Deal Seeker,Salesperson,Countdown to Savings,1352988.14,510,2652.92,500.66,4986.67
Deal Seeker,Salesperson,Customer Appreciation Week,1400564.16,519,2698.58,505.16,4997.50
Deal Seeker,Salesperson,Cyber Monday Mania,1453638.49,526,2763.57,530.68,4998.54
Deal Seeker,Salesperson,Deal of the Month,1380912.59,508,2718.33,503.19,4996.68
Deal Seeker,Salesperson,Double Points Bonanza,1520819.06,552,2755.11,510.32,4995.73
Deal Seeker,Salesperson,Early Bird Specials,1422735.04,521,2730.78,500.92,4994.00
Deal Seeker,Salesperson,End of Season Sale,1423704.93,525,2711.82,506.45,4974.69
