brand,customer_segment,sum_amount,count,avg_amount,min_amount,max_amount
Sony,Online Shopper,9131855.81,3346,2729.19,501.02,4999.95
Sony,Premium Shopper,9098805.77,3316,2743.91,500.73,4999.13
Tata,Budget Shopper,8968582.69,3289,2726.84,505.58,4999.97
Tata,Churn Risk,9102258.24,3293,2764.12,500.47,4999.13
Tata,Deal Seeker,9517146.45,3422,2781.16,500.33,4994.79
Tata,First-time Buyer,9344249.96,3364,2777.72,500.01,4999.90
Tata,High Value,9258079.67,3356,2758.66,500.83,4999.34
Tata,In-Store Regular,9012218.76,3319,2715.34,502.61,4997.81
Tata,Loyal Customer,9231966.95,3312,2787.43,500.32,4996.71
Tata,Occasional Shopper,9273199.44,3392,2733.84,500.91,4999.06
Tata,Online Shopper,9238108.88,3317,2785.08,501.36,4999.83
Tata,Premium Shopper,9070133.75,3316,2735.26,500.97,4999.35
Urban Ladder,Budget Shopper,9429017.66,3391,2780.60,502.36,4999.11
Urban Ladder,Churn Risk,9225435.07,3365,2741.59,500.70,4999.22
Urban Ladder,Deal Seeker,9147017.60,3316,2758.45,501.28,4997.58
Urban Ladder,First-time Buyer,9150432.27,3287,2783.82,502.44,4999.59
Urban Ladder,High Value,9540529.04,3468,2751.02,501.29,4999.64
Urban Ladder,In-Store Regular,9087336.15,3286,2765.47,500.07,4998.82
Urban Ladder,Loyal Customer,9218405.15,3325,2772.45,500.56,4997.81
Urban Ladder,Occasional Shopper,8834580.18,3205,2756.50,500.57,4999.31
Urban Ladder,Online Shopper,9135864.76,3344,2732.02,500.34,4999.88
Urban Ladder,Premium Shopper,9039679.80,3291,2746.79,500.29,4999.14
Whirlpool,Budget Shopper,9181722.62,3343,2746.55,500.61,4999.93
Whirlpool,Churn Risk,8962469.82,3254,2754.29,501.49,4999.29
Whirlpool,Deal Seeker,9345239.83,3395,2752.65,501.18,4999.38
Whirlpool,First-time Buyer,8955881.44,3271,2737.96,502.03,4997.98
Whirlpool,High Value,9192889.98,3358,2737.61,500.21,4999.73
Whirlpool,In-Store Regular,9386876.77,3457,2715.32,502.61,4997.74
Whirlpool,Loyal Customer,9213973.20,3368,2735.74,502.22,4999.75
Whirlpool,Occasional Shopper,9447967.09,3419,2763.37,500.44,4999.48
Whirlpool,Online Shopper,9356898.31,3368,2778.18,504.40,4995.37
Whirlpool,Premium Shopper,8925719.19,3250,2746.38,501.55,4997.57
Zara,Budget Shopper,9200753.74,3332,2761.33,502.21,4997.51
Zara,Churn Risk,9189984.76,3354,2740.01,502.44,4999.91
Zara,Deal Seeker,8987984.78,3298,2725.28,501.71,4999.81
Zara,First-time Buyer,9121799.29,3251,2805.84,500.46,4999.82
Zara,High Value,8998812.08,3289,2736.03,501.00,4999.73
Zara,In-Store Regular,8724130.36,3171,2751.22,503.25,4999.80
Zara,Loyal Customer,9098967.84,3310,2748.93,500.50,4998.42
Zara,Occasional Shopper,9119760.79,3297,2766.08,501.28,4999.06
Zara,Online Shopper,9453842.19,3405,2776.46,500.93,4995.75
Zara,Premium Shopper,8686107.96,3186,2726.34,500.32,4999.44
