customer_segment,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Large Malls / Complexes,Sales Associate,Back to School Boost,490906.77,181,2712.19,508.79,4989.51
Budget Shopper,Large Malls / Complexes,Sales Associate,Birthday Bash Sale,487370.44,182,2677.86,528.08,4978.05
Budget Shopper,Large Malls / Complexes,Sales Associate,Black Friday Blowout,494920.53,168,2945.96,508.22,4993.47
Budget Shopper,Large Malls / Complexes,Sales Associate,Cart Crasher Campaign,515732.51,184,2802.89,565.15,4975.27
Budget Shopper,Large Malls / Complexes,Sales Associate,Cashback Carnival,561896.92,191,2941.87,500.42,4990.45
Budget Shopper,Large Malls / Complexes,Sales Associate,Clearance Countdown,443625.29,170,2609.56,527.99,4955.33
Budget Shopper,Large Malls / Complexes,Sales Associate,Countdown to Savings,420942.54,162,2598.41,518.31,4989.61
Budget Shopper,Large Malls / Complexes,Sales Associate,Customer Appreciation Week,416502.03,153,2722.24,504.71,4965.21
Budget Shopper,Large Malls / Complexes,Sales Associate,Cyber Monday Mania,426245.81,166,2567.75,504.93,4969.51
Budget Shopper,Large Malls / Complexes,Sales Associate,Deal of the Month,514343.45,178,2889.57,511.83,4975.20
Budget Shopper,Large Malls / Complexes,Sales Associate,Double Points Bonanza,460355.84,171,2692.14,502.69,4983.61
Budget Shopper,Large Malls / Complexes,Sales Associate,Early Bird Specials,446844.73,161,2775.43,505.34,4969.73
Budget Shopper,Large Malls / Complexes,Sales Associate,End of Season Sale,416191.96,143,2910.43,522.30,4840.50
Budget Shopper,Large Malls / Complexes,Sales Associate,Exclusive Insider Offers,439740.48,160,2748.38,514.44,4976.68
Budget Shopper,Large Malls / Complexes,Sales Associate,Festive Fever Promo,413970.20,153,2705.69,523.00,4967.69
Budget Shopper,Large Malls / Complexes,Sales Associate,Final Call Frenzy,468408.90,165,2838.84,513.15,4997.52
Budget Shopper,Large Malls / Complexes,Sales Associate,Flash Frenzy Friday,423882.05,159,2665.92,507.52,4885.88
Budget Shopper,Large Malls / Complexes,Sales Associate,"Gift More, Spend Less",397002.40,141,2815.62,517.32,4988.81
Budget Shopper,Large Malls / Complexes,Sales Associate,Golden Hour Bargains,425749.94,163,2611.96,506.68,4997.28
Budget Shopper,Large Malls / Complexes,Sales Associate,Green Weekend Deals,407636.99,155,2629.92,506.53,4984.86
Budget Shopper,Large Malls / Complexes,Sales Associate,Happy Hour Discounts,504276.20,191,2640.19,512.26,4979.21
Budget Shopper,Large Malls / Complexes,Sales Associate,Holiday Shopping Rush,533131.12,189,2820.80,511.58,4989.87
Budget Shopper,Large Malls / Complexes,Sales Associate,Hot Picks Promo,434562.63,163,2666.03,511.15,4950.51
Budget Shopper,Large Malls / Complexes,Sales Associate,Instant Gratification Sale,463960.94,162,2863.96,514.04,4984.14
Budget Shopper,Large Malls / Complexes,Sales Associate,Limited Time Treasures,453669.46,172,2637.61,534.47,4959.99
Budget Shopper,Large Malls / Complexes,Sales Associate,Loyalty Rewards Blast,520600.59,184,2829.35,529.29,4995.73
Budget Shopper,Large Malls / Complexes,Sales Associate,Mega Weekend Bonanza,477069.73,170,2806.29,534.90,4980.39
Budget Shopper,Large Malls / Complexes,Sales Associate,Mid-Year Madness,399636.44,153,2612.00,672.03,4992.54
Budget Shopper,Large Malls / Complexes,Sales Associate,Midnight Madness,423405.95,162,2613.62,510.68,4999.95
Budget Shopper,Large Malls / Complexes,Sales Associate,Mystery Discount Days,429138.17,155,2768.63,511.16,4956.16
Budget Shopper,Large Malls / Complexes,Sales Associate,New Arrival Showcase,412566.72,148,2787.61,588.98,4986.33
Budget Shopper,Large Malls / Complexes,Sales Associate,New Product Launch Promo,533374.36,189,2822.09,502.18,4969.36
Budget Shopper,Large Malls / Complexes,Sales Associate,New Year Kickoff,468266.56,171,2738.40,524.44,4990.71
Budget Shopper,Large Malls / Complexes,Sales Associate,Price Drop Parade,486829.71,175,2781.88,511.56,4994.92
Budget Shopper,Large Malls / Complexes,Sales Associate,Red Tag Clearance,496191.55,176,2819.27,535.29,4958.13
Budget Shopper,Large Malls / Complexes,Sales Associate,Seasonal Surprise Box,480673.69,166,2895.62,504.53,4970.28
Budget Shopper,Large Malls / Complexes,Sales Associate,Shop & Save Spectacular,458466.22,165,2778.58,541.86,4995.39
Budget Shopper,Large Malls / Complexes,Sales Associate,Smart Shopper Week,430680.04,155,2778.58,502.36,4972.33
Budget Shopper,Large Malls / Complexes,Sales Associate,Spring Refresh Event,469440.10,170,2761.41,524.90,4993.59
Budget Shopper,Large Malls / Complexes,Sales Associate,Spring Splash Discounts,407532.81,165,2469.90,529.02,4973.26
Budget Shopper,Large Malls / Complexes,Sales Associate,Summer Sizzle Promo,429140.75,152,2823.29,524.16,4982.52
Budget Shopper,Large Malls / Complexes,Sales Associate,Super Savings Week,441383.82,160,2758.65,533.02,4985.76
Budget Shopper,Large Malls / Complexes,Sales Associate,Ultimate Value Event,463068.80,162,2858.45,547.02,4972.81
Budget Shopper,Large Malls / Complexes,Sales Associate,VIP Access Sale,439377.53,162,2712.21,536.18,4947.40
Budget Shopper,Large Malls / Complexes,Sales Associate,Weekend Warrior Specials,423034.43,161,2627.54,529.00,4994.74
Budget Shopper,Large Malls / Complexes,Sales Associate,Winter Clearance Carnival,528136.71,185,2854.79,540.53,4992.46
Budget Shopper,Large Malls / Complexes,Sales Associate,Winter Wonders Sale,413669.18,164,2522.37,514.31,4991.51
Budget Shopper,Large Malls / Complexes,Salesperson,12 Days of Deals,485509.76,182,2667.64,502.32,4991.30
Budget Shopper,Large Malls / Complexes,Salesperson,Autumn Deals Drive,411374.87,154,2671.27,524.24,4936.45
Budget Shopper,Large Malls / Complexes,Salesperson,BOGO Blitz,430974.66,162,2660.34,537.93,4984.79
Budget Shopper,Large Malls / Complexes,Salesperson,Back to School Boost,349851.43,134,2610.83,550.37,4966.55
Budget Shopper,Large Malls / Complexes,Salesperson,Birthday Bash Sale,436460.42,156,2797.82,524.79,4934.70
Budget Shopper,Large Malls / Complexes,Salesperson,Black Friday Blowout,537297.10,185,2904.31,503.37,4987.21
Budget Shopper,Large Malls / Complexes,Salesperson,Cart Crasher Campaign,400411.67,154,2600.08,540.58,4969.76
Budget Shopper,Large Malls / Complexes,Salesperson,Cashback Carnival,489934.93,170,2881.97,554.91,4975.62
Budget Shopper,Large Malls / Complexes,Salesperson,Clearance Countdown,438815.69,162,2708.74,515.41,4957.34
Budget Shopper,Large Malls / Complexes,Salesperson,Countdown to Savings,459544.13,169,2719.20,506.50,4969.94
Budget Shopper,Large Malls / Complexes,Salesperson,Customer Appreciation Week,403606.14,153,2637.95,530.75,4992.48
Budget Shopper,Large Malls / Complexes,Salesperson,Cyber Monday Mania,483563.40,170,2844.49,511.89,4988.32
Budget Shopper,Large Malls / Complexes,Salesperson,Deal of the Month,411192.42,153,2687.53,502.25,4997.58
Budget Shopper,Large Malls / Complexes,Salesperson,Double Points Bonanza,449668.88,170,2645.11,518.64,4953.09
Budget Shopper,Large Malls / Complexes,Salesperson,Early Bird Specials,441518.24,152,2904.73,518.44,4977.24
Budget Shopper,Large Malls / Complexes,Salesperson,End of Season Sale,535690.32,189,2834.34,515.67,4977.70
Budget Shopper,Large Malls / Complexes,Salesperson,Exclusive Insider Offers,473457.92,167,2835.08,516.09,4999.90
Budget Shopper,Large Malls / Complexes,Salesperson,Festive Fever Promo,431547.14,158,2731.31,508.66,4953.62
Budget Shopper,Large Malls / Complexes,Salesperson,Final Call Frenzy,432562.24,156,2772.83,509.79,4991.35
Budget Shopper,Large Malls / Complexes,Salesperson,Flash Frenzy Friday,519863.23,175,2970.65,550.92,4972.51
Budget Shopper,Large Malls / Complexes,Salesperson,"Gift More, Spend Less",441578.99,154,2867.40,518.98,4977.40
Budget Shopper,Large Malls / Complexes,Salesperson,Golden Hour Bargains,452672.48,171,2647.21,552.35,4960.80
Budget Shopper,Large Malls / Complexes,Salesperson,Green Weekend Deals,526821.88,183,2878.81,504.78,4989.20
Budget Shopper,Large Malls / Complexes,Salesperson,Happy Hour Discounts,466317.59,170,2743.04,534.50,4986.24
Budget Shopper,Large Malls / Complexes,Salesperson,Holiday Shopping Rush,488624.84,173,2824.42,547.73,4999.40
Budget Shopper,Large Malls / Complexes,Salesperson,Hot Picks Promo,416044.18,157,2649.96,574.02,4989.53
Budget Shopper,Large Malls / Complexes,Salesperson,Instant Gratification Sale,466331.96,165,2826.25,504.58,4983.48
Budget Shopper,Large Malls / Complexes,Salesperson,Limited Time Treasures,471245.73,176,2677.53,533.33,4985.37
Budget Shopper,Large Malls / Complexes,Salesperson,Loyalty Rewards Blast,503045.85,172,2924.69,523.08,4998.98
Budget Shopper,Large Malls / Complexes,Salesperson,Mega Weekend Bonanza,414175.18,147,2817.52,510.23,4915.82
Budget Shopper,Large Malls / Complexes,Salesperson,Mid-Year Madness,455810.22,169,2697.10,502.59,4964.05
Budget Shopper,Large Malls / Complexes,Salesperson,Midnight Madness,432507.24,157,2754.82,516.66,4842.91
Budget Shopper,Large Malls / Complexes,Salesperson,Mystery Discount Days,466652.80,170,2745.02,500.80,4999.42
Budget Shopper,Large Malls / Complexes,Salesperson,New Arrival Showcase,467386.95,156,2996.07,565.45,4982.55
Budget Shopper,Large Malls / Complexes,Salesperson,New Product Launch Promo,521301.71,200,2606.51,500.73,4999.95
Budget Shopper,Large Malls / Complexes,Salesperson,New Year Kickoff,457435.71,158,2895.16,536.28,4959.47
Budget Shopper,Large Malls / Complexes,Salesperson,Price Drop Parade,469447.04,173,2713.57,506.30,4992.73
Budget Shopper,Large Malls / Complexes,Salesperson,Red Tag Clearance,456460.81,169,2700.95,649.19,4943.42
Budget Shopper,Large Malls / Complexes,Salesperson,Seasonal Surprise Box,429567.46,158,2718.78,607.51,4966.81
Budget Shopper,Large Malls / Complexes,Salesperson,Shop & Save Spectacular,534309.71,191,2797.43,529.40,4985.88
Budget Shopper,Large Malls / Complexes,Salesperson,Smart Shopper Week,479525.11,174,2755.89,622.93,4911.46
Budget Shopper,Large Malls / Complexes,Salesperson,Spring Refresh Event,474395.65,169,2807.07,501.41,4989.96
Budget Shopper,Large Malls / Complexes,Salesperson,Spring Splash Discounts,464998.66,162,2870.36,504.57,4991.74
Budget Shopper,Large Malls / Complexes,Salesperson,Summer Sizzle Promo,501332.33,170,2949.01,536.20,4994.55
Budget Shopper,Large Malls / Complexes,Salesperson,Super Savings Week,413640.40,157,2634.65,532.71,4983.99
Budget Shopper,Large Malls / Complexes,Salesperson,Ultimate Value Event,386454.19,136,2841.57,583.51,4988.95
Budget Shopper,Large Malls / Complexes,Salesperson,VIP Access Sale,448927.30,163,2754.16,500.61,4991.26
Budget Shopper,Large Malls / Complexes,Salesperson,Weekend Warrior Specials,437481.56,154,2840.79,510.29,4951.04
Budget Shopper,Large Malls / Complexes,Salesperson,Winter Clearance Carnival,529017.56,180,2938.99,569.71,4999.97
Budget Shopper,Large Malls / Complexes,Salesperson,Winter Wonders Sale,370165.85,136,2721.81,601.03,4999.56
Budget Shopper,Large Malls / Complexes,Senior Salesperson,12 Days of Deals,374494.68,140,2674.96,536.52,4986.27
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Autumn Deals Drive,358489.06,133,2695.41,647.95,4959.88
Budget Shopper,Large Malls / Complexes,Senior Salesperson,BOGO Blitz,369483.58,132,2799.12,536.40,4996.27
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Back to School Boost,407161.26,148,2751.09,556.45,4972.30
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Birthday Bash Sale,394195.23,148,2663.48,565.46,4992.29
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Black Friday Blowout,394472.87,145,2720.50,508.66,4960.60
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cart Crasher Campaign,465426.74,168,2770.40,510.88,4972.80
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cashback Carnival,407433.94,147,2771.66,509.18,4992.15
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Clearance Countdown,396716.14,143,2774.24,543.96,4969.40
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Countdown to Savings,367265.71,144,2550.46,504.78,4912.01
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Customer Appreciation Week,334927.46,126,2658.15,644.72,4902.82
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cyber Monday Mania,364966.58,138,2644.69,529.10,4970.50
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Deal of the Month,420464.20,150,2803.09,507.09,4887.93
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Double Points Bonanza,484504.19,178,2721.93,527.17,4962.57
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Early Bird Specials,369798.89,144,2568.05,510.85,4974.01
Budget Shopper,Large Malls / Complexes,Senior Salesperson,End of Season Sale,422036.19,149,2832.46,510.44,4940.53
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Exclusive Insider Offers,381672.25,149,2561.56,516.07,4892.85
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Festive Fever Promo,341257.75,136,2509.25,513.45,4964.15
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Final Call Frenzy,413245.66,142,2910.18,521.75,4995.76
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Flash Frenzy Friday,401718.76,145,2770.47,529.64,4975.09
Budget Shopper,Large Malls / Complexes,Senior Salesperson,"Gift More, Spend Less",392247.94,140,2801.77,536.78,4998.35
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Golden Hour Bargains,354957.22,127,2794.94,500.71,4983.42
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Green Weekend Deals,447735.15,167,2681.05,500.26,4999.01
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Happy Hour Discounts,417431.02,147,2839.67,511.76,4961.76
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Holiday Shopping Rush,442691.30,153,2893.41,519.96,4999.39
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Hot Picks Promo,351595.70,135,2604.41,505.64,4968.49
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Instant Gratification Sale,394897.24,143,2761.52,514.21,4975.38
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Limited Time Treasures,465344.47,167,2786.49,545.66,4971.23
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Loyalty Rewards Blast,395012.69,145,2724.23,554.62,4963.63
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mega Weekend Bonanza,374003.40,138,2710.17,508.38,4972.66
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mid-Year Madness,374222.85,137,2731.55,509.13,4999.77
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Midnight Madness,443278.79,152,2916.31,574.32,4949.28
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mystery Discount Days,445404.32,157,2836.97,661.53,4970.10
Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Arrival Showcase,349222.32,127,2749.78,521.99,4984.20
Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Product Launch Promo,362411.27,131,2766.50,536.90,4974.65
Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Year Kickoff,370512.87,136,2724.36,501.48,4989.85
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Price Drop Parade,336612.59,127,2650.49,521.85,4963.26
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Red Tag Clearance,302166.13,117,2582.62,504.16,4937.56
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Seasonal Surprise Box,436327.76,153,2851.82,542.44,4973.71
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Shop & Save Spectacular,381211.75,141,2703.63,518.11,4941.57
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Smart Shopper Week,352007.87,129,2728.74,539.99,4965.97
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Spring Refresh Event,311995.35,107,2915.84,570.19,4991.42
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Spring Splash Discounts,458083.47,143,3203.38,517.54,4998.53
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Summer Sizzle Promo,277295.03,106,2615.99,515.15,4975.12
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Super Savings Week,431335.16,151,2856.52,531.54,4995.54
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Ultimate Value Event,377847.34,143,2642.29,531.00,4959.08
Budget Shopper,Large Malls / Complexes,Senior Salesperson,VIP Access Sale,381422.91,139,2744.05,507.99,4964.54
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Weekend Warrior Specials,418936.44,150,2792.91,545.44,4900.71
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Winter Clearance Carnival,454837.53,163,2790.41,544.43,4899.53
Budget Shopper,Large Malls / Complexes,Senior Salesperson,Winter Wonders Sale,419553.43,154,2724.37,559.93,4969.49
Budget Shopper,Small Stores / Shops,Manager,12 Days of Deals,427631.75,157,2723.77,553.64,4985.32
Budget Shopper,Small Stores / Shops,Manager,Autumn Deals Drive,459412.50,170,2702.43,511.08,4974.49
Budget Shopper,Small Stores / Shops,Manager,BOGO Blitz,503510.98,178,2828.71,519.41,4964.10
Budget Shopper,Small Stores / Shops,Manager,Back to School Boost,458603.27,176,2605.70,587.95,4979.01
Budget Shopper,Small Stores / Shops,Manager,Birthday Bash Sale,452093.72,169,2675.11,504.89,4990.77
Budget Shopper,Small Stores / Shops,Manager,Black Friday Blowout,551823.39,194,2844.45,540.65,4950.03
Budget Shopper,Small Stores / Shops,Manager,Cart Crasher Campaign,409661.51,143,2864.77,574.02,4978.19
Budget Shopper,Small Stores / Shops,Manager,Cashback Carnival,447426.81,162,2761.89,538.21,4982.95
Budget Shopper,Small Stores / Shops,Manager,Clearance Countdown,452990.92,162,2796.24,500.93,4984.04
Budget Shopper,Small Stores / Shops,Manager,Countdown to Savings,482112.66,174,2770.76,529.42,4997.53
Budget Shopper,Small Stores / Shops,Manager,Customer Appreciation Week,419132.40,148,2831.98,512.29,4977.09
Budget Shopper,Small Stores / Shops,Manager,Cyber Monday Mania,530180.83,179,2961.90,544.13,4983.99
Budget Shopper,Small Stores / Shops,Manager,Deal of the Month,429695.26,159,2702.49,516.16,4988.69
Budget Shopper,Small Stores / Shops,Manager,Double Points Bonanza,399571.96,158,2528.94,503.85,4922.42
Budget Shopper,Small Stores / Shops,Manager,Early Bird Specials,444335.10,160,2777.09,514.49,4981.93
Budget Shopper,Small Stores / Shops,Manager,End of Season Sale,431868.79,158,2733.35,511.30,4973.27
Budget Shopper,Small Stores / Shops,Manager,Exclusive Insider Offers,466838.46,174,2682.98,530.18,4924.37
Budget Shopper,Small Stores / Shops,Manager,Festive Fever Promo,480521.19,179,2684.48,554.75,4960.53
Budget Shopper,Small Stores / Shops,Manager,Final Call Frenzy,456596.68,168,2717.84,530.47,4974.31
Budget Shopper,Small Stores / Shops,Manager,Flash Frenzy Friday,432201.85,162,2667.91,520.12,4981.02
Budget Shopper,Small Stores / Shops,Manager,"Gift More, Spend Less",485091.29,174,2787.88,538.45,4998.23
Budget Shopper,Small Stores / Shops,Manager,Golden Hour Bargains,372224.79,137,2716.97,503.86,4890.70
Budget Shopper,Small Stores / Shops,Manager,Green Weekend Deals,481557.78,168,2866.42,503.08,4987.56
Budget Shopper,Small Stores / Shops,Manager,Happy Hour Discounts,503830.41,181,2783.59,592.45,4978.75
Budget Shopper,Small Stores / Shops,Manager,Holiday Shopping Rush,465080.30,160,2906.75,561.94,4975.37
Budget Shopper,Small Stores / Shops,Manager,Hot Picks Promo,459167.48,168,2733.14,503.76,4986.36
Budget Shopper,Small Stores / Shops,Manager,Instant Gratification Sale,453622.88,173,2622.10,553.67,4967.12
Budget Shopper,Small Stores / Shops,Manager,Limited Time Treasures,537354.82,186,2889.00,504.90,4992.37
Budget Shopper,Small Stores / Shops,Manager,Loyalty Rewards Blast,384772.81,149,2582.37,530.61,4946.41
Budget Shopper,Small Stores / Shops,Manager,Mega Weekend Bonanza,506587.81,185,2738.31,511.55,4996.39
Budget Shopper,Small Stores / Shops,Manager,Mid-Year Madness,493213.38,179,2755.38,525.19,4993.34
Budget Shopper,Small Stores / Shops,Manager,Midnight Madness,474877.13,166,2860.71,509.57,4980.61
Budget Shopper,Small Stores / Shops,Manager,Mystery Discount Days,509749.78,181,2816.30,519.06,4987.15
Budget Shopper,Small Stores / Shops,Manager,New Arrival Showcase,439183.31,161,2727.85,543.97,4982.30
Budget Shopper,Small Stores / Shops,Manager,New Product Launch Promo,521397.24,188,2773.39,507.38,4979.03
Budget Shopper,Small Stores / Shops,Manager,New Year Kickoff,432126.38,153,2824.36,581.05,4987.36
Budget Shopper,Small Stores / Shops,Manager,Price Drop Parade,404937.32,157,2579.22,505.58,4983.61
Budget Shopper,Small Stores / Shops,Manager,Red Tag Clearance,498565.22,180,2769.81,501.68,4976.91
Budget Shopper,Small Stores / Shops,Manager,Seasonal Surprise Box,512332.89,186,2754.48,581.12,4968.64
Budget Shopper,Small Stores / Shops,Manager,Shop & Save Spectacular,496800.48,175,2838.86,503.57,4997.51
Budget Shopper,Small Stores / Shops,Manager,Smart Shopper Week,466334.19,166,2809.24,500.78,4925.48
Budget Shopper,Small Stores / Shops,Manager,Spring Refresh Event,455577.21,167,2728.01,516.01,4900.40
Budget Shopper,Small Stores / Shops,Manager,Spring Splash Discounts,458486.64,168,2729.09,500.68,4974.85
Budget Shopper,Small Stores / Shops,Manager,Summer Sizzle Promo,501418.63,186,2695.80,500.92,4959.06
Budget Shopper,Small Stores / Shops,Manager,Super Savings Week,444540.16,169,2630.42,507.88,4954.25
Budget Shopper,Small Stores / Shops,Manager,Ultimate Value Event,459379.79,169,2718.22,543.71,4994.52
Budget Shopper,Small Stores / Shops,Manager,VIP Access Sale,501834.89,182,2757.33,512.80,4991.92
