category,brand,customer_segment,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Premium Shopper,Large Malls / Complexes,Manager,727819.61,263,2767.37,533.05,4929.61
Clothing,Adidas,Premium Shopper,Large Malls / Complexes,Sales Associate,775992.79,277,2801.42,500.83,4999.76
Clothing,Adidas,Premium Shopper,Large Malls / Complexes,Salesperson,830823.76,311,2671.46,513.68,4985.65
Clothing,Adidas,Premium Shopper,Large Malls / Complexes,Senior Salesperson,608702.92,221,2754.31,502.29,4989.39
Clothing,Adidas,Premium Shopper,Small Stores / Shops,Manager,702501.13,251,2798.81,518.72,4987.39
Clothing,Adidas,Premium Shopper,Small Stores / Shops,Sales Associate,787233.48,270,2915.68,506.24,4987.71
Clothing,Adidas,Premium Shopper,Small Stores / Shops,Salesperson,813034.14,291,2793.93,511.13,4980.59
Clothing,Adidas,Premium Shopper,Small Stores / Shops,Senior Salesperson,582041.04,227,2564.06,508.98,4974.51
Clothing,Adidas,Premium Shopper,Supermarkets ,Manager,791555.72,288,2748.46,506.98,4980.89
Clothing,Adidas,Premium Shopper,Supermarkets ,Sales Associate,770834.49,299,2578.04,509.03,4965.62
Clothing,Adidas,Premium Shopper,Supermarkets ,Salesperson,824972.30,296,2787.07,517.38,4976.65
Clothing,Adidas,Premium Shopper,Supermarkets ,Senior Salesperson,628310.74,233,2696.61,559.31,4933.02
Clothing,Levi's,Budget Shopper,Large Malls / Complexes,Manager,634123.69,229,2769.10,528.76,4991.32
Clothing,Levi's,Budget Shopper,Large Malls / Complexes,Sales Associate,737598.97,273,2701.83,578.27,4984.14
Clothing,Levi's,Budget Shopper,Large Malls / Complexes,Salesperson,653171.96,249,2623.18,519.61,4992.48
Clothing,Levi's,Budget Shopper,Large Malls / Complexes,Senior Salesperson,690055.39,250,2760.22,507.99,4970.10
Clothing,Levi's,Budget Shopper,Small Stores / Shops,Manager,835043.78,300,2783.48,530.47,4987.56
Clothing,Levi's,Budget Shopper,Small Stores / Shops,Sales Associate,811460.78,298,2723.02,521.65,4996.69
Clothing,Levi's,Budget Shopper,Small Stores / Shops,Salesperson,764691.28,281,2721.32,516.12,4963.80
Clothing,Levi's,Budget Shopper,Small Stores / Shops,Senior Salesperson,756747.35,265,2855.65,505.15,4996.92
Clothing,Levi's,Budget Shopper,Supermarkets ,Manager,801060.76,284,2820.64,504.62,4989.93
Clothing,Levi's,Budget Shopper,Supermarkets ,Sales Associate,883821.29,344,2569.25,501.09,4972.13
Clothing,Levi's,Budget Shopper,Supermarkets ,Salesperson,745281.00,271,2750.11,600.78,4974.48
Clothing,Levi's,Budget Shopper,Supermarkets ,Senior Salesperson,830360.55,288,2883.20,547.52,4983.91
Clothing,Levi's,Churn Risk,Large Malls / Complexes,Manager,812689.92,290,2802.38,513.43,4994.40
Clothing,Levi's,Churn Risk,Large Malls / Complexes,Sales Associate,812752.30,295,2755.09,501.38,4973.57
Clothing,Levi's,Churn Risk,Large Malls / Complexes,Salesperson,787189.12,287,2742.82,516.03,4965.78
Clothing,Levi's,Churn Risk,Large Malls / Complexes,Senior Salesperson,631372.12,236,2675.31,504.15,4991.50
Clothing,Levi's,Churn Risk,Small Stores / Shops,Manager,880116.39,320,2750.36,508.22,4989.85
Clothing,Levi's,Churn Risk,Small Stores / Shops,Sales Associate,827554.03,326,2538.51,506.94,4987.56
Clothing,Levi's,Churn Risk,Small Stores / Shops,Salesperson,880279.66,313,2812.40,517.69,4974.99
Clothing,Levi's,Churn Risk,Small Stores / Shops,Senior Salesperson,829053.06,291,2848.98,513.55,4997.36
Clothing,Levi's,Churn Risk,Supermarkets ,Manager,765848.52,277,2764.80,500.17,4995.43
Clothing,Levi's,Churn Risk,Supermarkets ,Sales Associate,868014.62,299,2903.06,502.65,4972.66
Clothing,Levi's,Churn Risk,Supermarkets ,Salesperson,711974.94,257,2770.33,506.96,4996.75
Clothing,Levi's,Churn Risk,Supermarkets ,Senior Salesperson,760715.43,285,2669.18,543.41,4974.45
Clothing,Levi's,Deal Seeker,Large Malls / Complexes,Manager,768577.76,275,2794.83,527.50,4969.29
Clothing,Levi's,Deal Seeker,Large Malls / Complexes,Sales Associate,795913.39,292,2725.73,504.03,4974.76
Clothing,Levi's,Deal Seeker,Large Malls / Complexes,Salesperson,859921.17,298,2885.64,502.63,4973.88
Clothing,Levi's,Deal Seeker,Large Malls / Complexes,Senior Salesperson,639442.80,245,2609.97,502.02,4942.36
Clothing,Levi's,Deal Seeker,Small Stores / Shops,Manager,753103.57,268,2810.09,530.38,4998.11
Clothing,Levi's,Deal Seeker,Small Stores / Shops,Sales Associate,809292.48,298,2715.75,558.71,4988.14
Clothing,Levi's,Deal Seeker,Small Stores / Shops,Salesperson,869684.71,312,2787.45,503.19,4998.97
Clothing,Levi's,Deal Seeker,Small Stores / Shops,Senior Salesperson,700024.07,250,2800.10,535.07,4960.57
Clothing,Levi's,Deal Seeker,Supermarkets ,Manager,861090.76,316,2724.97,514.47,4993.33
Clothing,Levi's,Deal Seeker,Supermarkets ,Sales Associate,829444.14,316,2624.82,501.70,4974.06
Clothing,Levi's,Deal Seeker,Supermarkets ,Salesperson,836048.86,315,2654.12,524.93,4992.16
Clothing,Levi's,Deal Seeker,Supermarkets ,Senior Salesperson,721299.43,255,2828.63,507.38,4934.59
Clothing,Levi's,First-time Buyer,Large Malls / Complexes,Manager,828441.87,292,2837.13,500.37,4996.53
Clothing,Levi's,First-time Buyer,Large Malls / Complexes,Sales Associate,739043.75,274,2697.24,503.41,4985.03
Clothing,Levi's,First-time Buyer,Large Malls / Complexes,Salesperson,757596.31,265,2858.85,542.62,4991.99
Clothing,Levi's,First-time Buyer,Large Malls / Complexes,Senior Salesperson,694369.04,243,2857.49,509.56,4993.74
Clothing,Levi's,First-time Buyer,Small Stores / Shops,Manager,692459.31,257,2694.39,532.34,4995.21
Clothing,Levi's,First-time Buyer,Small Stores / Shops,Sales Associate,765882.68,275,2785.03,504.95,4985.92
Clothing,Levi's,First-time Buyer,Small Stores / Shops,Salesperson,788532.68,287,2747.50,503.70,4996.15
Clothing,Levi's,First-time Buyer,Small Stores / Shops,Senior Salesperson,772615.37,276,2799.33,538.27,4991.26
Clothing,Levi's,First-time Buyer,Supermarkets ,Manager,787663.21,290,2716.08,500.63,4968.81
Clothing,Levi's,First-time Buyer,Supermarkets ,Sales Associate,864885.02,306,2826.42,500.27,4987.49
Clothing,Levi's,First-time Buyer,Supermarkets ,Salesperson,888165.02,328,2707.82,502.13,4990.95
Clothing,Levi's,First-time Buyer,Supermarkets ,Senior Salesperson,761802.77,261,2918.78,525.25,4988.69
Clothing,Levi's,High Value,Large Malls / Complexes,Manager,752489.54,277,2716.57,517.32,4990.21
Clothing,Levi's,High Value,Large Malls / Complexes,Sales Associate,731995.25,264,2772.71,506.74,4991.07
Clothing,Levi's,High Value,Large Malls / Complexes,Salesperson,760262.08,274,2774.68,513.20,4976.47
Clothing,Levi's,High Value,Large Malls / Complexes,Senior Salesperson,612562.88,224,2734.66,514.01,4993.83
Clothing,Levi's,High Value,Small Stores / Shops,Manager,787234.66,285,2762.23,510.90,4981.02
Clothing,Levi's,High Value,Small Stores / Shops,Sales Associate,850386.10,313,2716.89,516.34,4999.26
Clothing,Levi's,High Value,Small Stores / Shops,Salesperson,931305.32,325,2865.55,525.81,4975.30
Clothing,Levi's,High Value,Small Stores / Shops,Senior Salesperson,701659.74,255,2751.61,519.78,4992.67
Clothing,Levi's,High Value,Supermarkets ,Manager,772771.93,282,2740.33,582.35,4976.30
Clothing,Levi's,High Value,Supermarkets ,Sales Associate,881272.95,310,2842.82,501.71,4989.35
Clothing,Levi's,High Value,Supermarkets ,Salesperson,715946.36,265,2701.68,513.09,4958.71
Clothing,Levi's,High Value,Supermarkets ,Senior Salesperson,607541.42,235,2585.28,533.30,4989.26
Clothing,Levi's,In-Store Regular,Large Malls / Complexes,Manager,720674.14,266,2709.30,514.92,4996.58
Clothing,Levi's,In-Store Regular,Large Malls / Complexes,Sales Associate,769500.70,280,2748.22,500.60,4997.07
Clothing,Levi's,In-Store Regular,Large Malls / Complexes,Salesperson,682010.70,256,2664.10,504.55,4997.25
Clothing,Levi's,In-Store Regular,Large Malls / Complexes,Senior Salesperson,618046.09,223,2771.51,568.62,4982.67
Clothing,Levi's,In-Store Regular,Small Stores / Shops,Manager,718899.08,265,2712.83,516.81,4999.21
Clothing,Levi's,In-Store Regular,Small Stores / Shops,Sales Associate,889994.36,323,2755.40,516.82,4999.49
Clothing,Levi's,In-Store Regular,Small Stores / Shops,Salesperson,813508.90,296,2748.34,545.96,4984.90
Clothing,Levi's,In-Store Regular,Small Stores / Shops,Senior Salesperson,809178.46,295,2742.98,502.23,4989.84
Clothing,Levi's,In-Store Regular,Supermarkets ,Manager,817016.85,291,2807.62,501.02,4998.47
Clothing,Levi's,In-Store Regular,Supermarkets ,Sales Associate,919670.44,325,2829.76,529.64,4992.45
Clothing,Levi's,In-Store Regular,Supermarkets ,Salesperson,751664.80,275,2733.33,557.52,4942.95
Clothing,Levi's,In-Store Regular,Supermarkets ,Senior Salesperson,708221.52,250,2832.89,513.88,4956.33
Clothing,Levi's,Loyal Customer,Large Malls / Complexes,Manager,813898.19,293,2777.81,502.97,4982.90
Clothing,Levi's,Loyal Customer,Large Malls / Complexes,Sales Associate,749195.92,268,2795.51,508.09,4963.11
Clothing,Levi's,Loyal Customer,Large Malls / Complexes,Salesperson,835612.58,291,2871.52,522.15,4999.97
Clothing,Levi's,Loyal Customer,Large Malls / Complexes,Senior Salesperson,764024.33,268,2850.84,519.80,4989.26
Clothing,Levi's,Loyal Customer,Small Stores / Shops,Manager,709418.40,262,2707.70,518.61,4962.10
Clothing,Levi's,Loyal Customer,Small Stores / Shops,Sales Associate,791954.67,290,2730.88,508.91,4997.63
Clothing,Levi's,Loyal Customer,Small Stores / Shops,Salesperson,763990.49,279,2738.32,512.43,4978.63
Clothing,Levi's,Loyal Customer,Small Stores / Shops,Senior Salesperson,671556.46,247,2718.85,503.91,4996.66
Clothing,Levi's,Loyal Customer,Supermarkets ,Manager,730215.71,262,2787.08,549.20,4973.33
Clothing,Levi's,Loyal Customer,Supermarkets ,Sales Associate,874983.66,318,2751.52,540.79,4999.85
Clothing,Levi's,Loyal Customer,Supermarkets ,Salesperson,800910.98,302,2652.02,501.94,4976.42
Clothing,Levi's,Loyal Customer,Supermarkets ,Senior Salesperson,634843.68,235,2701.46,506.33,4988.46
Clothing,Levi's,Occasional Shopper,Large Malls / Complexes,Manager,684131.94,259,2641.44,521.34,4958.75
Clothing,Levi's,Occasional Shopper,Large Malls / Complexes,Sales Associate,740266.07,281,2634.40,501.94,4973.12
Clothing,Levi's,Occasional Shopper,Large Malls / Complexes,Salesperson,756980.25,276,2742.68,520.46,4991.55
Clothing,Levi's,Occasional Shopper,Large Malls / Complexes,Senior Salesperson,594300.87,220,2701.37,546.12,4983.20
Clothing,Levi's,Occasional Shopper,Small Stores / Shops,Manager,767199.24,283,2710.95,521.39,4978.14
Clothing,Levi's,Occasional Shopper,Small Stores / Shops,Sales Associate,888239.15,319,2784.45,501.31,4991.37
Clothing,Levi's,Occasional Shopper,Small Stores / Shops,Salesperson,838164.14,306,2739.10,509.78,4992.74
Clothing,Levi's,Occasional Shopper,Small Stores / Shops,Senior Salesperson,655282.97,237,2764.91,523.96,4989.27
Clothing,Levi's,Occasional Shopper,Supermarkets ,Manager,743264.57,275,2702.78,522.23,4971.97
Clothing,Levi's,Occasional Shopper,Supermarkets ,Sales Associate,837263.37,316,2649.57,512.13,4979.76
Clothing,Levi's,Occasional Shopper,Supermarkets ,Salesperson,773127.69,281,2751.34,501.79,4928.12
Clothing,Levi's,Occasional Shopper,Supermarkets ,Senior Salesperson,780710.97,286,2729.76,509.30,4994.57
Clothing,Levi's,Online Shopper,Large Malls / Complexes,Manager,704922.05,262,2690.54,507.90,4960.18
Clothing,Levi's,Online Shopper,Large Malls / Complexes,Sales Associate,832595.16,286,2911.17,508.74,4992.50
Clothing,Levi's,Online Shopper,Large Malls / Complexes,Salesperson,806212.99,282,2858.91,510.92,4983.18
Clothing,Levi's,Online Shopper,Large Malls / Complexes,Senior Salesperson,654478.40,230,2845.56,507.81,4999.60
Clothing,Levi's,Online Shopper,Small Stores / Shops,Manager,724608.80,265,2734.37,501.14,4970.06
Clothing,Levi's,Online Shopper,Small Stores / Shops,Sales Associate,784957.71,294,2669.92,501.81,4903.87
Clothing,Levi's,Online Shopper,Small Stores / Shops,Salesperson,894719.05,321,2787.29,518.46,4985.08
Clothing,Levi's,Online Shopper,Small Stores / Shops,Senior Salesperson,795745.34,289,2753.44,507.39,4976.93
Clothing,Levi's,Online Shopper,Supermarkets ,Manager,870130.17,317,2744.89,509.47,4996.33
Clothing,Levi's,Online Shopper,Supermarkets ,Sales Associate,773352.74,286,2704.03,500.12,4953.72
Clothing,Levi's,Online Shopper,Supermarkets ,Salesperson,820135.96,293,2799.10,535.78,4985.08
Clothing,Levi's,Online Shopper,Supermarkets ,Senior Salesperson,755487.73,273,2767.35,519.21,4973.33
Clothing,Levi's,Premium Shopper,Large Malls / Complexes,Manager,704604.74,251,2807.19,508.75,4948.95
Clothing,Levi's,Premium Shopper,Large Malls / Complexes,Sales Associate,705798.64,271,2604.42,501.18,4972.47
Clothing,Levi's,Premium Shopper,Large Malls / Complexes,Salesperson,771813.74,286,2698.65,507.09,4969.05
Clothing,Levi's,Premium Shopper,Large Malls / Complexes,Senior Salesperson,533952.27,210,2542.63,531.40,4979.50
Clothing,Levi's,Premium Shopper,Small Stores / Shops,Manager,720056.65,260,2769.45,500.17,4960.70
Clothing,Levi's,Premium Shopper,Small Stores / Shops,Sales Associate,747211.35,278,2687.81,510.84,4981.25
Clothing,Levi's,Premium Shopper,Small Stores / Shops,Salesperson,775517.20,285,2721.11,532.13,4998.56
Clothing,Levi's,Premium Shopper,Small Stores / Shops,Senior Salesperson,707046.24,258,2740.49,507.23,4996.42
Clothing,Levi's,Premium Shopper,Supermarkets ,Manager,812849.45,290,2802.93,504.42,4946.69
Clothing,Levi's,Premium Shopper,Supermarkets ,Sales Associate,821148.68,296,2774.15,533.54,4987.96
Clothing,Levi's,Premium Shopper,Supermarkets ,Salesperson,924540.17,320,2889.19,530.89,4988.37
Clothing,Levi's,Premium Shopper,Supermarkets ,Senior Salesperson,685344.09,253,2708.87,521.68,4985.74
Clothing,Nike,Budget Shopper,Large Malls / Complexes,Manager,721951.78,264,2734.67,501.91,4999.12
Clothing,Nike,Budget Shopper,Large Malls / Complexes,Sales Associate,854025.84,314,2719.83,502.91,4984.47
Clothing,Nike,Budget Shopper,Large Malls / Complexes,Salesperson,753212.67,272,2769.16,506.30,4971.29
Clothing,Nike,Budget Shopper,Large Malls / Complexes,Senior Salesperson,711557.09,259,2747.32,523.17,4999.01
Clothing,Nike,Budget Shopper,Small Stores / Shops,Manager,817271.07,295,2770.41,507.38,4968.40
Clothing,Nike,Budget Shopper,Small Stores / Shops,Sales Associate,796397.08,292,2727.39,511.64,4991.80
Clothing,Nike,Budget Shopper,Small Stores / Shops,Salesperson,841694.21,306,2750.63,505.48,4975.27
Clothing,Nike,Budget Shopper,Small Stores / Shops,Senior Salesperson,752941.19,264,2852.05,522.84,4999.08
Clothing,Nike,Budget Shopper,Supermarkets ,Manager,781375.81,278,2810.70,512.09,4973.36
Clothing,Nike,Budget Shopper,Supermarkets ,Sales Associate,927545.56,320,2898.58,511.82,4979.71
Clothing,Nike,Budget Shopper,Supermarkets ,Salesperson,833887.62,301,2770.39,508.71,4993.22
Clothing,Nike,Budget Shopper,Supermarkets ,Senior Salesperson,714917.62,258,2771.00,520.90,4985.99
Clothing,Nike,Churn Risk,Large Malls / Complexes,Manager,608060.76,234,2598.55,524.45,4998.22
Clothing,Nike,Churn Risk,Large Malls / Complexes,Sales Associate,694144.21,256,2711.50,518.08,4969.79
