category,brand,customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,Sales Associate,Instant Gratification Sale,40122.62,14,2865.90,891.43,4719.00
Clothing,Adidas,Budget Shopper,Sales Associate,Limited Time Treasures,67322.56,22,3060.12,1016.79,4651.05
Clothing,Adidas,Budget Shopper,Sales Associate,Loyalty Rewards Blast,53561.81,19,2819.04,672.31,4589.69
Clothing,Adidas,Budget Shopper,Sales Associate,Mega Weekend Bonanza,42057.13,15,2803.81,574.73,4980.14
Clothing,Adidas,Budget Shopper,Sales Associate,Mid-Year Madness,37672.75,16,2354.55,770.03,4664.03
Clothing,Adidas,Budget Shopper,Sales Associate,Midnight Madness,35173.58,14,2512.40,691.14,4151.51
Clothing,Adidas,Budget Shopper,Sales Associate,Mystery Discount Days,52581.30,17,3093.02,635.57,4943.34
Clothing,Adidas,Budget Shopper,Sales Associate,New Arrival Showcase,49012.95,18,2722.94,955.46,4688.55
Clothing,Adidas,Budget Shopper,Sales Associate,New Product Launch Promo,51711.62,21,2462.46,726.36,4925.61
Clothing,Adidas,Budget Shopper,Sales Associate,New Year Kickoff,33624.93,15,2241.66,560.26,4545.36
Clothing,Adidas,Budget Shopper,Sales Associate,Price Drop Parade,32142.30,15,2142.82,537.35,3402.65
Clothing,Adidas,Budget Shopper,Sales Associate,Red Tag Clearance,30730.80,13,2363.91,537.21,4869.59
Clothing,Adidas,Budget Shopper,Sales Associate,Seasonal Surprise Box,51570.01,20,2578.50,530.59,4699.88
Clothing,Adidas,Budget Shopper,Sales Associate,Shop & Save Spectacular,44568.61,18,2476.03,783.02,4992.75
Clothing,Adidas,Budget Shopper,Sales Associate,Smart Shopper Week,48714.98,18,2706.39,744.43,4157.65
Clothing,Adidas,Budget Shopper,Sales Associate,Spring Refresh Event,54395.07,17,3199.71,1417.41,4987.97
Clothing,Adidas,Budget Shopper,Sales Associate,Spring Splash Discounts,64918.80,25,2596.75,566.81,4990.13
Clothing,Adidas,Budget Shopper,Sales Associate,Summer Sizzle Promo,58931.90,20,2946.59,1244.28,4982.52
Clothing,Adidas,Budget Shopper,Sales Associate,Super Savings Week,30648.45,13,2357.57,774.73,4731.13
Clothing,Adidas,Budget Shopper,Sales Associate,Ultimate Value Event,45895.80,16,2868.49,1031.63,4998.36
Clothing,Adidas,Budget Shopper,Sales Associate,VIP Access Sale,86611.08,30,2887.04,693.40,4829.97
Clothing,Adidas,Budget Shopper,Sales Associate,Weekend Warrior Specials,39054.40,15,2603.63,675.90,4815.36
Clothing,Adidas,Budget Shopper,Sales Associate,Winter Clearance Carnival,45819.64,18,2545.54,871.46,4253.60
Clothing,Adidas,Budget Shopper,Sales Associate,Winter Wonders Sale,55672.54,21,2651.07,623.34,4699.12
Clothing,Adidas,Budget Shopper,Salesperson,12 Days of Deals,72552.36,26,2790.48,675.90,4954.87
Clothing,Adidas,Budget Shopper,Salesperson,Autumn Deals Drive,26953.21,12,2246.10,671.46,4717.92
Clothing,Adidas,Budget Shopper,Salesperson,BOGO Blitz,57163.97,21,2722.09,664.51,4409.49
Clothing,Adidas,Budget Shopper,Salesperson,Back to School Boost,30742.11,15,2049.47,510.39,4910.61
Clothing,Adidas,Budget Shopper,Salesperson,Birthday Bash Sale,51157.69,18,2842.09,783.05,4845.41
Clothing,Adidas,Budget Shopper,Salesperson,Black Friday Blowout,73342.53,27,2716.39,628.88,4880.99
Clothing,Adidas,Budget Shopper,Salesperson,Cart Crasher Campaign,39855.35,15,2657.02,571.88,4931.02
Clothing,Adidas,Budget Shopper,Salesperson,Cashback Carnival,53623.86,19,2822.31,566.74,4951.70
Clothing,Adidas,Budget Shopper,Salesperson,Clearance Countdown,31053.33,12,2587.78,511.56,4859.84
Clothing,Adidas,Budget Shopper,Salesperson,Countdown to Savings,47764.66,16,2985.29,516.38,4966.52
Clothing,Adidas,Budget Shopper,Salesperson,Customer Appreciation Week,13763.43,8,1720.43,523.17,3684.61
Clothing,Adidas,Budget Shopper,Salesperson,Cyber Monday Mania,40585.56,16,2536.60,674.20,4993.46
Clothing,Adidas,Budget Shopper,Salesperson,Deal of the Month,53628.50,18,2979.36,647.46,4832.34
Clothing,Adidas,Budget Shopper,Salesperson,Double Points Bonanza,38858.83,17,2285.81,846.26,4935.43
Clothing,Adidas,Budget Shopper,Salesperson,Early Bird Specials,68969.55,23,2998.68,753.22,4820.54
Clothing,Adidas,Budget Shopper,Salesperson,End of Season Sale,61445.74,22,2792.99,597.99,4898.24
Clothing,Adidas,Budget Shopper,Salesperson,Exclusive Insider Offers,31072.44,13,2390.19,545.22,4399.23
Clothing,Adidas,Budget Shopper,Salesperson,Festive Fever Promo,43900.74,17,2582.40,900.20,4252.29
Clothing,Adidas,Budget Shopper,Salesperson,Final Call Frenzy,56461.01,19,2971.63,724.11,4838.87
Clothing,Adidas,Budget Shopper,Salesperson,Flash Frenzy Friday,59165.10,19,3113.95,501.20,4942.19
Clothing,Adidas,Budget Shopper,Salesperson,"Gift More, Spend Less",38275.98,11,3479.63,899.68,4932.16
Clothing,Adidas,Budget Shopper,Salesperson,Golden Hour Bargains,26885.77,10,2688.58,888.90,4575.85
Clothing,Adidas,Budget Shopper,Salesperson,Green Weekend Deals,35063.69,13,2697.21,647.53,4926.07
Clothing,Adidas,Budget Shopper,Salesperson,Happy Hour Discounts,40667.25,16,2541.70,602.38,4842.63
Clothing,Adidas,Budget Shopper,Salesperson,Holiday Shopping Rush,30530.31,10,3053.03,644.27,4906.00
Clothing,Adidas,Budget Shopper,Salesperson,Hot Picks Promo,65810.21,23,2861.31,975.38,4942.51
Clothing,Adidas,Budget Shopper,Salesperson,Instant Gratification Sale,38222.98,15,2548.20,563.61,4973.14
Clothing,Adidas,Budget Shopper,Salesperson,Limited Time Treasures,31662.69,10,3166.27,618.48,4793.04
Clothing,Adidas,Budget Shopper,Salesperson,Loyalty Rewards Blast,34829.69,15,2321.98,813.91,3843.06
Clothing,Adidas,Budget Shopper,Salesperson,Mega Weekend Bonanza,63009.50,21,3000.45,996.69,4915.82
Clothing,Adidas,Budget Shopper,Salesperson,Mid-Year Madness,34438.54,13,2649.12,995.19,4587.97
Clothing,Adidas,Budget Shopper,Salesperson,Midnight Madness,41995.80,17,2470.34,895.55,4737.68
Clothing,Adidas,Budget Shopper,Salesperson,Mystery Discount Days,57999.57,21,2761.88,613.27,4046.53
Clothing,Adidas,Budget Shopper,Salesperson,New Arrival Showcase,45205.78,18,2511.43,605.41,4720.63
Clothing,Adidas,Budget Shopper,Salesperson,New Product Launch Promo,37271.61,14,2662.26,655.62,4999.95
Clothing,Adidas,Budget Shopper,Salesperson,New Year Kickoff,46437.82,21,2211.32,519.85,4333.93
Clothing,Adidas,Budget Shopper,Salesperson,Price Drop Parade,34294.64,15,2286.31,511.21,3961.77
Clothing,Adidas,Budget Shopper,Salesperson,Red Tag Clearance,46459.62,17,2732.92,649.19,4964.81
Clothing,Adidas,Budget Shopper,Salesperson,Seasonal Surprise Box,24897.85,10,2489.78,527.98,3972.72
Clothing,Adidas,Budget Shopper,Salesperson,Shop & Save Spectacular,68009.53,24,2833.73,516.93,4843.28
Clothing,Adidas,Budget Shopper,Salesperson,Smart Shopper Week,40332.35,18,2240.69,684.11,4875.62
Clothing,Adidas,Budget Shopper,Salesperson,Spring Refresh Event,72210.81,25,2888.43,541.03,4919.53
Clothing,Adidas,Budget Shopper,Salesperson,Spring Splash Discounts,60129.34,20,3006.47,755.47,4963.37
Clothing,Adidas,Budget Shopper,Salesperson,Summer Sizzle Promo,58483.39,20,2924.17,663.88,4930.56
Clothing,Adidas,Budget Shopper,Salesperson,Super Savings Week,48088.12,18,2671.56,936.80,4859.11
Clothing,Adidas,Budget Shopper,Salesperson,Ultimate Value Event,53326.66,18,2962.59,1029.05,4878.14
Clothing,Adidas,Budget Shopper,Salesperson,VIP Access Sale,48461.92,16,3028.87,534.21,4779.95
Clothing,Adidas,Budget Shopper,Salesperson,Weekend Warrior Specials,56573.94,20,2828.70,640.28,4819.97
Clothing,Adidas,Budget Shopper,Salesperson,Winter Clearance Carnival,52657.70,20,2632.89,823.59,4971.08
Clothing,Adidas,Budget Shopper,Salesperson,Winter Wonders Sale,46894.22,16,2930.89,1192.19,4582.07
Clothing,Adidas,Budget Shopper,Senior Salesperson,12 Days of Deals,58452.17,26,2248.16,567.07,4784.68
Clothing,Adidas,Budget Shopper,Senior Salesperson,Autumn Deals Drive,49911.49,20,2495.57,526.60,4846.31
Clothing,Adidas,Budget Shopper,Senior Salesperson,BOGO Blitz,57634.78,20,2881.74,635.44,4973.52
Clothing,Adidas,Budget Shopper,Senior Salesperson,Back to School Boost,35344.22,13,2718.79,685.34,4514.09
Clothing,Adidas,Budget Shopper,Senior Salesperson,Birthday Bash Sale,26105.04,13,2008.08,518.24,4494.52
Clothing,Adidas,Budget Shopper,Senior Salesperson,Black Friday Blowout,41146.82,15,2743.12,743.96,4939.70
Clothing,Adidas,Budget Shopper,Senior Salesperson,Cart Crasher Campaign,62429.49,17,3672.32,896.50,4738.79
Clothing,Adidas,Budget Shopper,Senior Salesperson,Cashback Carnival,36048.14,16,2253.01,534.21,4757.18
Clothing,Adidas,Budget Shopper,Senior Salesperson,Clearance Countdown,32846.90,13,2526.68,632.15,4598.08
Clothing,Adidas,Budget Shopper,Senior Salesperson,Countdown to Savings,37396.14,13,2876.63,635.54,4674.28
Clothing,Adidas,Budget Shopper,Senior Salesperson,Customer Appreciation Week,56586.83,21,2694.61,625.03,4801.35
Clothing,Adidas,Budget Shopper,Senior Salesperson,Cyber Monday Mania,26464.82,14,1890.34,551.31,4596.57
Clothing,Adidas,Budget Shopper,Senior Salesperson,Deal of the Month,51285.08,18,2849.17,907.88,4897.43
Clothing,Adidas,Budget Shopper,Senior Salesperson,Double Points Bonanza,44363.82,17,2609.64,544.68,4737.65
Clothing,Adidas,Budget Shopper,Senior Salesperson,Early Bird Specials,33846.00,12,2820.50,790.93,4930.21
Clothing,Adidas,Budget Shopper,Senior Salesperson,End of Season Sale,46417.25,15,3094.48,938.73,4724.07
Clothing,Adidas,Budget Shopper,Senior Salesperson,Exclusive Insider Offers,31463.63,14,2247.40,731.97,4452.56
Clothing,Adidas,Budget Shopper,Senior Salesperson,Festive Fever Promo,59507.40,18,3305.97,735.97,4892.93
Clothing,Adidas,Budget Shopper,Senior Salesperson,Final Call Frenzy,48734.48,15,3248.97,673.62,4832.59
Clothing,Adidas,Budget Shopper,Senior Salesperson,Flash Frenzy Friday,37311.53,12,3109.29,599.80,4809.39
Clothing,Adidas,Budget Shopper,Senior Salesperson,"Gift More, Spend Less",31037.21,9,3448.58,608.25,4761.09
Clothing,Adidas,Budget Shopper,Senior Salesperson,Golden Hour Bargains,16532.18,8,2066.52,523.61,3749.59
Clothing,Adidas,Budget Shopper,Senior Salesperson,Green Weekend Deals,35853.41,14,2560.96,539.17,4686.22
Clothing,Adidas,Budget Shopper,Senior Salesperson,Happy Hour Discounts,11978.77,7,1711.25,689.78,2981.24
Clothing,Adidas,Budget Shopper,Senior Salesperson,Holiday Shopping Rush,47662.00,17,2803.65,948.16,4867.73
Clothing,Adidas,Budget Shopper,Senior Salesperson,Hot Picks Promo,35828.29,13,2756.02,699.60,4980.54
Clothing,Adidas,Budget Shopper,Senior Salesperson,Instant Gratification Sale,43459.61,16,2716.23,522.75,4994.90
Clothing,Adidas,Budget Shopper,Senior Salesperson,Limited Time Treasures,34527.22,14,2466.23,1059.94,4520.33
Clothing,Adidas,Budget Shopper,Senior Salesperson,Loyalty Rewards Blast,26484.91,10,2648.49,805.27,4971.65
Clothing,Adidas,Budget Shopper,Senior Salesperson,Mega Weekend Bonanza,37576.58,13,2890.51,747.11,4316.44
Clothing,Adidas,Budget Shopper,Senior Salesperson,Mid-Year Madness,26669.72,13,2051.52,509.13,4110.58
Clothing,Adidas,Budget Shopper,Senior Salesperson,Midnight Madness,31502.59,12,2625.22,518.16,4204.79
Clothing,Adidas,Budget Shopper,Senior Salesperson,Mystery Discount Days,20999.60,8,2624.95,1188.82,4720.94
Clothing,Adidas,Budget Shopper,Senior Salesperson,New Arrival Showcase,49209.21,16,3075.58,1157.24,4927.48
Clothing,Adidas,Budget Shopper,Senior Salesperson,New Product Launch Promo,36063.34,12,3005.28,1104.19,4890.45
Clothing,Adidas,Budget Shopper,Senior Salesperson,New Year Kickoff,47725.10,20,2386.26,560.55,4438.49
Clothing,Adidas,Budget Shopper,Senior Salesperson,Price Drop Parade,43704.92,17,2570.88,747.47,4963.26
Clothing,Adidas,Budget Shopper,Senior Salesperson,Red Tag Clearance,41423.80,12,3451.98,908.35,4920.77
Clothing,Adidas,Budget Shopper,Senior Salesperson,Seasonal Surprise Box,57525.89,19,3027.68,578.21,4885.48
Clothing,Adidas,Budget Shopper,Senior Salesperson,Shop & Save Spectacular,38811.55,14,2772.25,605.32,4642.70
Clothing,Adidas,Budget Shopper,Senior Salesperson,Smart Shopper Week,17551.27,9,1950.14,1052.06,3108.88
Clothing,Adidas,Budget Shopper,Senior Salesperson,Spring Refresh Event,14717.89,7,2102.56,615.10,3294.93
Clothing,Adidas,Budget Shopper,Senior Salesperson,Spring Splash Discounts,43458.35,20,2172.92,534.86,4698.96
Clothing,Adidas,Budget Shopper,Senior Salesperson,Summer Sizzle Promo,37902.61,15,2526.84,761.15,4975.12
Clothing,Adidas,Budget Shopper,Senior Salesperson,Super Savings Week,38833.38,15,2588.89,624.26,4849.86
Clothing,Adidas,Budget Shopper,Senior Salesperson,Ultimate Value Event,32287.37,11,2935.22,631.79,4526.91
Clothing,Adidas,Budget Shopper,Senior Salesperson,VIP Access Sale,43412.44,17,2553.67,723.61,4797.32
Clothing,Adidas,Budget Shopper,Senior Salesperson,Weekend Warrior Specials,65164.33,23,2833.23,825.66,4701.91
Clothing,Adidas,Budget Shopper,Senior Salesperson,Winter Clearance Carnival,59736.27,19,3144.01,655.90,4585.63
Clothing,Adidas,Budget Shopper,Senior Salesperson,Winter Wonders Sale,53318.99,17,3136.41,851.56,4969.49
Clothing,Adidas,Churn Risk,Manager,12 Days of Deals,66891.33,23,2908.32,814.66,4976.56
Clothing,Adidas,Churn Risk,Manager,Autumn Deals Drive,47104.50,17,2770.85,981.00,4992.48
Clothing,Adidas,Churn Risk,Manager,BOGO Blitz,57687.82,19,3036.20,682.76,4991.38
Clothing,Adidas,Churn Risk,Manager,Back to School Boost,58343.56,22,2651.98,605.49,4835.44
Clothing,Adidas,Churn Risk,Manager,Birthday Bash Sale,33220.26,14,2372.88,573.64,4771.96
Clothing,Adidas,Churn Risk,Manager,Black Friday Blowout,61009.51,25,2440.38,609.77,4863.25
Clothing,Adidas,Churn Risk,Manager,Cart Crasher Campaign,58842.39,21,2802.02,908.62,4950.61
Clothing,Adidas,Churn Risk,Manager,Cashback Carnival,29371.94,12,2447.66,638.86,4779.27
Clothing,Adidas,Churn Risk,Manager,Clearance Countdown,16894.03,8,2111.75,563.58,3966.26
Clothing,Adidas,Churn Risk,Manager,Countdown to Savings,31598.53,12,2633.21,780.30,4533.25
Clothing,Adidas,Churn Risk,Manager,Customer Appreciation Week,41458.47,15,2763.90,690.07,4937.49
Clothing,Adidas,Churn Risk,Manager,Cyber Monday Mania,40265.95,13,3097.38,949.93,4397.13
Clothing,Adidas,Churn Risk,Manager,Deal of the Month,45429.05,15,3028.60,540.95,4982.42
Clothing,Adidas,Churn Risk,Manager,Double Points Bonanza,24491.41,14,1749.39,659.86,3832.13
Clothing,Adidas,Churn Risk,Manager,Early Bird Specials,41652.30,14,2975.16,628.80,4995.32
Clothing,Adidas,Churn Risk,Manager,End of Season Sale,65856.65,24,2744.03,943.49,4983.53
Clothing,Adidas,Churn Risk,Manager,Exclusive Insider Offers,31108.18,13,2392.94,727.40,4685.33
Clothing,Adidas,Churn Risk,Manager,Festive Fever Promo,57056.91,22,2593.50,701.96,4915.21
Clothing,Adidas,Churn Risk,Manager,Final Call Frenzy,50619.62,16,3163.73,837.14,4887.64
Clothing,Adidas,Churn Risk,Manager,Flash Frenzy Friday,29385.88,12,2448.82,1116.79,4422.23
Clothing,Adidas,Churn Risk,Manager,"Gift More, Spend Less",60284.22,24,2511.84,647.25,4945.55
Clothing,Adidas,Churn Risk,Manager,Golden Hour Bargains,59575.74,23,2590.25,586.01,4818.88
Clothing,Adidas,Churn Risk,Manager,Green Weekend Deals,33159.33,10,3315.93,825.75,4636.14
Clothing,Adidas,Churn Risk,Manager,Happy Hour Discounts,23035.56,13,1771.97,505.67,4302.18
Clothing,Adidas,Churn Risk,Manager,Holiday Shopping Rush,45041.28,18,2502.29,682.24,4749.64
Clothing,Adidas,Churn Risk,Manager,Hot Picks Promo,59733.46,22,2715.16,736.42,4132.65
Clothing,Adidas,Churn Risk,Manager,Instant Gratification Sale,31900.23,11,2900.02,745.26,4727.47
Clothing,Adidas,Churn Risk,Manager,Limited Time Treasures,53013.66,18,2945.20,767.19,4681.69
Clothing,Adidas,Churn Risk,Manager,Loyalty Rewards Blast,34755.81,11,3159.62,587.61,4832.79
Clothing,Adidas,Churn Risk,Manager,Mega Weekend Bonanza,49185.77,17,2893.28,537.81,4927.17
Clothing,Adidas,Churn Risk,Manager,Mid-Year Madness,55531.41,19,2922.71,716.57,4878.50
Clothing,Adidas,Churn Risk,Manager,Midnight Madness,34632.38,12,2886.03,571.70,4865.84
Clothing,Adidas,Churn Risk,Manager,Mystery Discount Days,47413.79,18,2634.10,758.48,4979.18
Clothing,Adidas,Churn Risk,Manager,New Arrival Showcase,26835.46,13,2064.27,541.17,4212.29
Clothing,Adidas,Churn Risk,Manager,New Product Launch Promo,48553.54,18,2697.42,583.59,4660.28
Clothing,Adidas,Churn Risk,Manager,New Year Kickoff,46125.56,19,2427.66,619.16,4988.93
Clothing,Adidas,Churn Risk,Manager,Price Drop Parade,60720.80,21,2891.47,882.59,4689.21
Clothing,Adidas,Churn Risk,Manager,Red Tag Clearance,33096.21,14,2364.01,809.23,4679.46
Clothing,Adidas,Churn Risk,Manager,Seasonal Surprise Box,57471.29,21,2736.73,678.42,4904.13
Clothing,Adidas,Churn Risk,Manager,Shop & Save Spectacular,35922.57,17,2113.09,511.32,4022.61
Clothing,Adidas,Churn Risk,Manager,Smart Shopper Week,51771.93,20,2588.60,928.21,4888.17
Clothing,Adidas,Churn Risk,Manager,Spring Refresh Event,32209.34,13,2477.64,534.63,4881.13
Clothing,Adidas,Churn Risk,Manager,Spring Splash Discounts,42361.59,15,2824.11,577.56,4956.96
Clothing,Adidas,Churn Risk,Manager,Summer Sizzle Promo,44430.22,19,2338.43,548.06,4583.85
Clothing,Adidas,Churn Risk,Manager,Super Savings Week,57256.67,18,3180.93,1071.01,4837.76
Clothing,Adidas,Churn Risk,Manager,Ultimate Value Event,35694.90,17,2099.70,522.48,3754.60
Clothing,Adidas,Churn Risk,Manager,VIP Access Sale,49283.14,16,3080.20,1132.82,4894.06
Clothing,Adidas,Churn Risk,Manager,Weekend Warrior Specials,41313.85,13,3177.99,534.87,4993.94
Clothing,Adidas,Churn Risk,Manager,Winter Clearance Carnival,55523.17,21,2643.96,535.31,4414.09
Clothing,Adidas,Churn Risk,Manager,Winter Wonders Sale,40605.03,16,2537.81,705.17,4929.83
Clothing,Adidas,Churn Risk,Sales Associate,12 Days of Deals,28055.25,12,2337.94,966.98,3831.96
