category,brand,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Manager,Loyalty Rewards Blast,449755.01,157,2864.68,534.09,4954.60
Clothing,Adidas,Manager,Mega Weekend Bonanza,427531.87,162,2639.09,517.03,4996.59
Clothing,Adidas,Manager,Mid-Year Madness,481835.54,180,2676.86,501.32,4981.55
Clothing,Adidas,Manager,Midnight Madness,423583.30,153,2768.52,571.70,4880.97
Clothing,Adidas,Manager,Mystery Discount Days,401554.00,149,2694.99,500.17,4979.18
Clothing,Adidas,Manager,New Arrival Showcase,436825.72,164,2663.57,501.06,4978.03
Clothing,Adidas,Manager,New Product Launch Promo,488123.11,175,2789.27,541.28,4979.03
Clothing,Adidas,Manager,New Year Kickoff,395469.72,153,2584.77,502.81,4988.93
Clothing,Adidas,Manager,Price Drop Parade,508313.58,185,2747.64,507.14,4970.18
Clothing,Adidas,Manager,Red Tag Clearance,471966.80,173,2728.13,520.14,4995.28
Clothing,Adidas,Manager,Seasonal Surprise Box,407420.51,146,2790.55,607.40,4990.98
Clothing,Adidas,Manager,Shop & Save Spectacular,452435.00,158,2863.51,511.32,4920.35
Clothing,Adidas,Manager,Smart Shopper Week,416924.79,161,2589.59,518.72,4985.85
Clothing,Adidas,Manager,Spring Refresh Event,428372.65,156,2745.98,529.10,4995.47
Clothing,Adidas,Manager,Spring Splash Discounts,493580.68,176,2804.44,503.97,4993.32
Clothing,Adidas,Manager,Summer Sizzle Promo,515338.22,186,2770.64,513.93,4975.17
Clothing,Adidas,Manager,Super Savings Week,481277.48,178,2703.81,501.26,4959.27
Clothing,Adidas,Manager,Ultimate Value Event,454527.40,159,2858.66,513.09,4989.43
Clothing,Adidas,Manager,VIP Access Sale,429821.74,154,2791.05,506.38,4991.78
Clothing,Adidas,Manager,Weekend Warrior Specials,485936.74,179,2714.73,501.72,4993.94
Clothing,Adidas,Manager,Winter Clearance Carnival,469437.00,166,2827.93,524.08,4912.57
Clothing,Adidas,Manager,Winter Wonders Sale,432862.65,169,2561.32,586.36,4929.83
Clothing,Adidas,Sales Associate,12 Days of Deals,449787.88,155,2901.86,512.27,4970.14
Clothing,Adidas,Sales Associate,Autumn Deals Drive,519591.26,186,2793.50,566.12,4991.85
Clothing,Adidas,Sales Associate,BOGO Blitz,482652.77,176,2742.35,509.20,4998.71
Clothing,Adidas,Sales Associate,Back to School Boost,459021.96,179,2564.37,501.04,4994.39
Clothing,Adidas,Sales Associate,Birthday Bash Sale,476570.59,166,2870.91,500.58,4996.78
Clothing,Adidas,Sales Associate,Black Friday Blowout,490885.58,172,2853.99,503.18,4964.85
Clothing,Adidas,Sales Associate,Cart Crasher Campaign,473272.67,170,2783.96,541.70,4994.25
Clothing,Adidas,Sales Associate,Cashback Carnival,503290.71,189,2662.91,515.77,4982.89
Clothing,Adidas,Sales Associate,Clearance Countdown,500844.43,191,2622.22,503.83,4996.24
Clothing,Adidas,Sales Associate,Countdown to Savings,479017.95,176,2721.69,510.74,4955.79
Clothing,Adidas,Sales Associate,Customer Appreciation Week,434854.61,165,2635.48,510.44,4977.50
Clothing,Adidas,Sales Associate,Cyber Monday Mania,464385.28,170,2731.68,609.90,4952.15
Clothing,Adidas,Sales Associate,Deal of the Month,460120.11,170,2706.59,520.13,4999.41
Clothing,Adidas,Sales Associate,Double Points Bonanza,450529.06,168,2681.72,506.41,4995.71
Clothing,Adidas,Sales Associate,Early Bird Specials,459872.49,168,2737.34,504.93,4993.12
Clothing,Adidas,Sales Associate,End of Season Sale,445792.51,161,2768.90,515.55,4840.92
Clothing,Adidas,Sales Associate,Exclusive Insider Offers,498708.01,182,2740.15,532.79,4975.61
Clothing,Adidas,Sales Associate,Festive Fever Promo,449229.30,162,2773.02,504.43,4951.48
Clothing,Adidas,Sales Associate,Final Call Frenzy,462550.02,156,2965.06,541.76,4989.90
Clothing,Adidas,Sales Associate,Flash Frenzy Friday,460796.07,167,2759.26,509.03,4941.27
Clothing,Adidas,Sales Associate,"Gift More, Spend Less",487757.75,178,2740.21,530.30,4972.49
Clothing,Adidas,Sales Associate,Golden Hour Bargains,456879.83,166,2752.29,506.24,4999.76
Clothing,Adidas,Sales Associate,Green Weekend Deals,438717.27,163,2691.52,513.09,4999.76
Clothing,Adidas,Sales Associate,Happy Hour Discounts,416270.89,156,2668.40,536.61,4965.62
Clothing,Adidas,Sales Associate,Holiday Shopping Rush,526311.76,185,2844.93,507.47,4942.38
Clothing,Adidas,Sales Associate,Hot Picks Promo,473500.45,162,2922.84,593.47,4968.97
Clothing,Adidas,Sales Associate,Instant Gratification Sale,488429.43,178,2743.99,500.95,4998.40
Clothing,Adidas,Sales Associate,Limited Time Treasures,415839.65,160,2599.00,556.42,4952.45
Clothing,Adidas,Sales Associate,Loyalty Rewards Blast,363706.45,138,2635.55,505.10,4896.46
Clothing,Adidas,Sales Associate,Mega Weekend Bonanza,431919.84,163,2649.81,518.73,4992.14
Clothing,Adidas,Sales Associate,Mid-Year Madness,456826.96,167,2735.49,550.59,4991.43
Clothing,Adidas,Sales Associate,Midnight Madness,458108.08,164,2793.34,512.27,4913.45
Clothing,Adidas,Sales Associate,Mystery Discount Days,542711.50,182,2981.93,529.02,4976.22
Clothing,Adidas,Sales Associate,New Arrival Showcase,500682.72,179,2797.11,533.03,4988.89
Clothing,Adidas,Sales Associate,New Product Launch Promo,510644.51,180,2836.91,500.83,4984.79
Clothing,Adidas,Sales Associate,New Year Kickoff,436577.54,169,2583.30,503.72,4991.46
Clothing,Adidas,Sales Associate,Price Drop Parade,494108.71,184,2685.37,537.35,4987.71
Clothing,Adidas,Sales Associate,Red Tag Clearance,461959.48,163,2834.11,536.59,4982.81
Clothing,Adidas,Sales Associate,Seasonal Surprise Box,485358.84,181,2681.54,500.52,4978.73
Clothing,Adidas,Sales Associate,Shop & Save Spectacular,499806.45,186,2687.13,513.48,4992.75
Clothing,Adidas,Sales Associate,Smart Shopper Week,508643.23,182,2794.74,520.02,4983.10
Clothing,Adidas,Sales Associate,Spring Refresh Event,469992.62,168,2797.58,557.69,4987.97
Clothing,Adidas,Sales Associate,Spring Splash Discounts,446030.73,175,2548.75,535.63,4990.13
Clothing,Adidas,Sales Associate,Summer Sizzle Promo,542862.15,192,2827.41,506.00,4982.52
Clothing,Adidas,Sales Associate,Super Savings Week,437337.77,162,2699.62,515.33,4998.86
Clothing,Adidas,Sales Associate,Ultimate Value Event,469011.07,170,2758.89,604.40,4998.36
Clothing,Adidas,Sales Associate,VIP Access Sale,522758.76,190,2751.36,506.71,4996.65
Clothing,Adidas,Sales Associate,Weekend Warrior Specials,512521.39,188,2726.18,511.44,4974.91
Clothing,Adidas,Sales Associate,Winter Clearance Carnival,458873.42,168,2731.39,510.29,4958.83
Clothing,Adidas,Sales Associate,Winter Wonders Sale,420979.62,160,2631.12,554.10,4996.30
Clothing,Adidas,Salesperson,12 Days of Deals,505931.41,188,2691.12,524.97,4974.07
Clothing,Adidas,Salesperson,Autumn Deals Drive,424340.03,153,2773.46,538.66,4981.81
Clothing,Adidas,Salesperson,BOGO Blitz,512768.51,185,2771.72,518.34,4976.65
Clothing,Adidas,Salesperson,Back to School Boost,475429.82,171,2780.29,501.52,4978.26
Clothing,Adidas,Salesperson,Birthday Bash Sale,490191.33,180,2723.29,502.17,4963.09
Clothing,Adidas,Salesperson,Black Friday Blowout,485183.20,176,2756.72,567.65,4994.34
Clothing,Adidas,Salesperson,Cart Crasher Campaign,422126.56,156,2705.94,525.18,4942.50
Clothing,Adidas,Salesperson,Cashback Carnival,486902.70,179,2720.13,531.84,4961.14
Clothing,Adidas,Salesperson,Clearance Countdown,446430.03,167,2673.23,505.52,4995.33
Clothing,Adidas,Salesperson,Countdown to Savings,476662.05,174,2739.44,509.94,4966.52
Clothing,Adidas,Salesperson,Customer Appreciation Week,462800.00,179,2585.47,523.17,4980.59
Clothing,Adidas,Salesperson,Cyber Monday Mania,502541.49,177,2839.22,576.58,4993.46
Clothing,Adidas,Salesperson,Deal of the Month,482851.54,179,2697.49,567.68,4942.38
Clothing,Adidas,Salesperson,Double Points Bonanza,471242.91,165,2856.02,510.59,4986.54
Clothing,Adidas,Salesperson,Early Bird Specials,570741.00,194,2941.96,567.13,4934.17
Clothing,Adidas,Salesperson,End of Season Sale,453210.65,161,2814.97,553.90,4997.48
Clothing,Adidas,Salesperson,Exclusive Insider Offers,523375.29,188,2783.91,508.78,4931.91
Clothing,Adidas,Salesperson,Festive Fever Promo,484469.07,184,2632.98,510.97,4977.68
Clothing,Adidas,Salesperson,Final Call Frenzy,460165.69,175,2629.52,509.40,4992.84
Clothing,Adidas,Salesperson,Flash Frenzy Friday,478108.15,169,2829.04,501.20,4948.26
Clothing,Adidas,Salesperson,"Gift More, Spend Less",428560.73,158,2712.41,510.65,4963.20
Clothing,Adidas,Salesperson,Golden Hour Bargains,473225.25,176,2688.78,531.04,4991.51
Clothing,Adidas,Salesperson,Green Weekend Deals,438532.03,163,2690.38,560.33,4926.07
Clothing,Adidas,Salesperson,Happy Hour Discounts,426148.01,153,2785.28,510.62,4929.09
Clothing,Adidas,Salesperson,Holiday Shopping Rush,427623.38,149,2869.96,548.15,4998.34
Clothing,Adidas,Salesperson,Hot Picks Promo,511901.76,186,2752.16,520.65,4987.14
Clothing,Adidas,Salesperson,Instant Gratification Sale,453661.96,163,2783.20,528.04,4985.30
Clothing,Adidas,Salesperson,Limited Time Treasures,390554.31,138,2830.10,501.46,4916.16
Clothing,Adidas,Salesperson,Loyalty Rewards Blast,490571.73,182,2695.45,503.40,4989.59
Clothing,Adidas,Salesperson,Mega Weekend Bonanza,436049.22,160,2725.31,508.93,4931.29
Clothing,Adidas,Salesperson,Mid-Year Madness,425958.66,160,2662.24,524.32,4989.23
Clothing,Adidas,Salesperson,Midnight Madness,591978.86,211,2805.59,504.20,4986.14
Clothing,Adidas,Salesperson,Mystery Discount Days,463036.68,178,2601.33,508.03,4954.34
Clothing,Adidas,Salesperson,New Arrival Showcase,482655.76,181,2666.61,513.68,4992.69
Clothing,Adidas,Salesperson,New Product Launch Promo,448627.15,167,2686.39,526.80,4999.95
Clothing,Adidas,Salesperson,New Year Kickoff,505837.08,189,2676.39,519.85,4955.51
Clothing,Adidas,Salesperson,Price Drop Parade,403872.29,155,2605.63,506.80,4952.76
Clothing,Adidas,Salesperson,Red Tag Clearance,509084.57,182,2797.17,517.61,4965.93
Clothing,Adidas,Salesperson,Seasonal Surprise Box,471875.60,167,2825.60,527.98,4970.50
Clothing,Adidas,Salesperson,Shop & Save Spectacular,462775.35,177,2614.55,516.93,4949.92
Clothing,Adidas,Salesperson,Smart Shopper Week,489591.00,177,2766.05,545.17,4998.23
Clothing,Adidas,Salesperson,Spring Refresh Event,557262.87,187,2980.02,515.97,4997.20
Clothing,Adidas,Salesperson,Spring Splash Discounts,446137.13,166,2687.57,548.00,4963.37
Clothing,Adidas,Salesperson,Summer Sizzle Promo,461334.62,170,2713.73,508.62,4998.80
Clothing,Adidas,Salesperson,Super Savings Week,451690.55,163,2771.11,513.59,4949.70
Clothing,Adidas,Salesperson,Ultimate Value Event,548362.59,191,2871.01,593.54,4995.70
Clothing,Adidas,Salesperson,VIP Access Sale,481707.26,176,2736.97,513.12,4915.80
Clothing,Adidas,Salesperson,Weekend Warrior Specials,478080.73,183,2612.46,533.71,4986.59
Clothing,Adidas,Salesperson,Winter Clearance Carnival,435639.07,158,2757.21,517.38,4971.08
Clothing,Adidas,Salesperson,Winter Wonders Sale,472219.41,172,2745.46,558.76,4993.56
Clothing,Adidas,Senior Salesperson,12 Days of Deals,448317.66,168,2668.56,501.08,4972.86
Clothing,Adidas,Senior Salesperson,Autumn Deals Drive,395718.15,146,2710.40,518.70,4973.92
Clothing,Adidas,Senior Salesperson,BOGO Blitz,456561.92,161,2835.79,523.98,4973.52
Clothing,Adidas,Senior Salesperson,Back to School Boost,470308.66,161,2921.17,518.87,4999.86
Clothing,Adidas,Senior Salesperson,Birthday Bash Sale,414422.69,146,2838.51,518.24,4933.99
Clothing,Adidas,Senior Salesperson,Black Friday Blowout,451490.92,172,2624.95,557.08,4987.67
Clothing,Adidas,Senior Salesperson,Cart Crasher Campaign,447528.37,153,2925.02,520.56,4894.25
Clothing,Adidas,Senior Salesperson,Cashback Carnival,347381.34,139,2499.15,502.29,4972.53
Clothing,Adidas,Senior Salesperson,Clearance Countdown,354621.95,130,2727.86,567.76,4993.56
Clothing,Adidas,Senior Salesperson,Countdown to Savings,370650.99,133,2786.85,519.60,4876.08
Clothing,Adidas,Senior Salesperson,Customer Appreciation Week,461929.13,154,2999.54,503.78,4994.47
Clothing,Adidas,Senior Salesperson,Cyber Monday Mania,359460.92,144,2496.26,508.76,4974.49
Clothing,Adidas,Senior Salesperson,Deal of the Month,408062.78,148,2757.18,559.31,4989.69
Clothing,Adidas,Senior Salesperson,Double Points Bonanza,447904.73,163,2747.88,530.48,4979.37
Clothing,Adidas,Senior Salesperson,Early Bird Specials,465958.87,164,2841.21,624.43,4994.73
Clothing,Adidas,Senior Salesperson,End of Season Sale,439694.80,156,2818.56,511.79,4972.03
Clothing,Adidas,Senior Salesperson,Exclusive Insider Offers,424672.07,152,2793.90,632.86,4984.33
Clothing,Adidas,Senior Salesperson,Festive Fever Promo,497872.53,166,2999.23,522.18,4909.62
Clothing,Adidas,Senior Salesperson,Final Call Frenzy,357221.36,131,2726.88,527.10,4951.75
Clothing,Adidas,Senior Salesperson,Flash Frenzy Friday,299780.78,125,2398.25,519.52,4957.05
Clothing,Adidas,Senior Salesperson,"Gift More, Spend Less",316377.70,115,2751.11,554.53,4887.62
Clothing,Adidas,Senior Salesperson,Golden Hour Bargains,375180.98,140,2679.86,523.61,4987.66
Clothing,Adidas,Senior Salesperson,Green Weekend Deals,364435.09,142,2566.44,501.10,4990.27
Clothing,Adidas,Senior Salesperson,Happy Hour Discounts,417677.14,148,2822.14,535.53,4994.51
Clothing,Adidas,Senior Salesperson,Holiday Shopping Rush,436158.74,157,2778.08,553.86,4973.96
Clothing,Adidas,Senior Salesperson,Hot Picks Promo,415023.95,142,2922.70,673.26,4989.96
Clothing,Adidas,Senior Salesperson,Instant Gratification Sale,431418.77,148,2914.99,522.75,4994.90
Clothing,Adidas,Senior Salesperson,Limited Time Treasures,409043.42,151,2708.90,528.37,4987.77
Clothing,Adidas,Senior Salesperson,Loyalty Rewards Blast,433750.12,156,2780.45,507.26,4976.27
Clothing,Adidas,Senior Salesperson,Mega Weekend Bonanza,421300.21,154,2735.72,537.88,4966.53
Clothing,Adidas,Senior Salesperson,Mid-Year Madness,397387.91,151,2631.71,502.00,4935.87
Clothing,Adidas,Senior Salesperson,Midnight Madness,312954.31,113,2769.51,518.16,4895.08
Clothing,Adidas,Senior Salesperson,Mystery Discount Days,385923.46,138,2796.55,549.38,4974.81
Clothing,Adidas,Senior Salesperson,New Arrival Showcase,429604.91,146,2942.50,518.13,4996.95
Clothing,Adidas,Senior Salesperson,New Product Launch Promo,328888.63,128,2569.44,579.48,4951.78
Clothing,Adidas,Senior Salesperson,New Year Kickoff,333406.56,127,2625.25,560.55,4879.97
Clothing,Adidas,Senior Salesperson,Price Drop Parade,363862.42,135,2695.28,503.07,4989.39
Clothing,Adidas,Senior Salesperson,Red Tag Clearance,424863.75,154,2758.86,518.26,4955.62
Clothing,Adidas,Senior Salesperson,Seasonal Surprise Box,431442.62,163,2646.89,500.11,4959.59
Clothing,Adidas,Senior Salesperson,Shop & Save Spectacular,397545.91,145,2741.70,555.05,4992.80
Clothing,Adidas,Senior Salesperson,Smart Shopper Week,375228.24,144,2605.75,507.97,4999.86
Clothing,Adidas,Senior Salesperson,Spring Refresh Event,431194.44,167,2582.00,533.04,4979.80
Clothing,Adidas,Senior Salesperson,Spring Splash Discounts,403523.05,149,2708.21,500.46,4996.95
Clothing,Adidas,Senior Salesperson,Summer Sizzle Promo,345516.24,134,2578.48,567.66,4984.71
Clothing,Adidas,Senior Salesperson,Super Savings Week,397553.51,145,2741.75,511.09,4986.46
Clothing,Adidas,Senior Salesperson,Ultimate Value Event,367024.15,144,2548.78,517.57,4974.76
Clothing,Adidas,Senior Salesperson,VIP Access Sale,440556.53,151,2917.59,560.93,4974.51
Clothing,Adidas,Senior Salesperson,Weekend Warrior Specials,406074.77,151,2689.24,503.46,4964.14
Clothing,Adidas,Senior Salesperson,Winter Clearance Carnival,463859.00,161,2881.11,526.27,4963.58
Clothing,Adidas,Senior Salesperson,Winter Wonders Sale,374289.69,142,2635.84,520.80,4969.49
Clothing,Levi's,Manager,12 Days of Deals,438596.69,163,2690.78,500.37,4991.32
Clothing,Levi's,Manager,Autumn Deals Drive,459026.84,172,2668.76,509.47,4974.69
Clothing,Levi's,Manager,BOGO Blitz,533735.72,193,2765.47,508.84,4969.29
Clothing,Levi's,Manager,Back to School Boost,363023.39,142,2556.50,514.47,4933.80
Clothing,Levi's,Manager,Birthday Bash Sale,485946.97,176,2761.06,524.96,4939.02
Clothing,Levi's,Manager,Black Friday Blowout,453733.01,168,2700.79,529.54,4915.92
Clothing,Levi's,Manager,Cart Crasher Campaign,462560.40,161,2873.05,591.76,4950.99
Clothing,Levi's,Manager,Cashback Carnival,498072.28,172,2895.77,508.75,4994.40
Clothing,Levi's,Manager,Clearance Countdown,432817.18,159,2722.12,533.04,4995.43
Clothing,Levi's,Manager,Countdown to Savings,434201.30,158,2748.11,518.08,4985.41
Clothing,Levi's,Manager,Customer Appreciation Week,467379.37,172,2717.32,527.86,4965.75
Clothing,Levi's,Manager,Cyber Monday Mania,490530.66,169,2902.55,504.42,4981.82
Clothing,Levi's,Manager,Deal of the Month,418759.76,157,2667.26,510.85,4960.79
Clothing,Levi's,Manager,Double Points Bonanza,456656.68,158,2890.23,500.63,4973.85
Clothing,Levi's,Manager,Early Bird Specials,452863.81,168,2695.62,502.97,4969.72
Clothing,Levi's,Manager,End of Season Sale,464355.16,168,2764.02,522.44,4957.20
Clothing,Levi's,Manager,Exclusive Insider Offers,400767.20,153,2619.39,504.62,4988.97
Clothing,Levi's,Manager,Festive Fever Promo,430016.57,161,2670.91,513.43,4961.84
Clothing,Levi's,Manager,Final Call Frenzy,521908.66,188,2776.11,530.47,4960.83
Clothing,Levi's,Manager,Flash Frenzy Friday,460929.88,168,2743.63,518.61,4981.02
Clothing,Levi's,Manager,"Gift More, Spend Less",445434.78,166,2683.34,534.08,4919.56
Clothing,Levi's,Manager,Golden Hour Bargains,482363.46,179,2694.77,521.34,4965.00
Clothing,Levi's,Manager,Green Weekend Deals,469224.58,169,2776.48,576.00,4987.56
Clothing,Levi's,Manager,Happy Hour Discounts,430575.42,147,2929.08,559.43,4993.33
Clothing,Levi's,Manager,Holiday Shopping Rush,441097.76,158,2791.76,517.84,4946.33
Clothing,Levi's,Manager,Hot Picks Promo,455714.76,158,2884.27,520.35,4958.46
Clothing,Levi's,Manager,Instant Gratification Sale,438062.36,165,2654.92,507.90,4969.15
Clothing,Levi's,Manager,Limited Time Treasures,464570.94,169,2748.94,536.70,4987.04
Clothing,Levi's,Manager,Loyalty Rewards Blast,490056.77,175,2800.32,524.75,4982.90
Clothing,Levi's,Manager,Mega Weekend Bonanza,410874.52,159,2584.12,520.09,4923.73
Clothing,Levi's,Manager,Mid-Year Madness,544860.27,193,2823.11,510.73,4989.93
Clothing,Levi's,Manager,Midnight Madness,430518.84,166,2593.49,508.22,4998.11
Clothing,Levi's,Manager,Mystery Discount Days,427901.20,157,2725.49,512.99,4966.87
Clothing,Levi's,Manager,New Arrival Showcase,436154.97,168,2596.16,500.17,4976.30
Clothing,Levi's,Manager,New Product Launch Promo,427909.71,159,2691.26,521.39,4975.69
Clothing,Levi's,Manager,New Year Kickoff,451490.50,166,2719.82,549.63,4915.40
Clothing,Levi's,Manager,Price Drop Parade,426518.19,155,2751.73,510.90,4963.49
Clothing,Levi's,Manager,Red Tag Clearance,557535.55,190,2934.40,501.14,4974.08
Clothing,Levi's,Manager,Seasonal Surprise Box,425488.07,158,2692.96,539.71,4985.30
Clothing,Levi's,Manager,Shop & Save Spectacular,471313.96,161,2927.42,641.62,4995.64
Clothing,Levi's,Manager,Smart Shopper Week,405023.13,151,2682.27,526.55,4996.33
Clothing,Levi's,Manager,Spring Refresh Event,442027.82,161,2745.51,501.02,4996.53
Clothing,Levi's,Manager,Spring Splash Discounts,469972.08,156,3012.64,600.46,4982.93
Clothing,Levi's,Manager,Summer Sizzle Promo,480155.62,177,2712.74,558.77,4924.18
Clothing,Levi's,Manager,Super Savings Week,495643.35,171,2898.50,513.72,4965.52
Clothing,Levi's,Manager,Ultimate Value Event,490888.07,176,2789.14,500.17,4940.86
Clothing,Levi's,Manager,VIP Access Sale,479747.25,171,2805.54,578.28,4949.43
Clothing,Levi's,Manager,Weekend Warrior Specials,469600.96,171,2746.20,547.85,4953.54
Clothing,Levi's,Manager,Winter Clearance Carnival,501883.72,179,2803.82,547.96,4989.85
Clothing,Levi's,Manager,Winter Wonders Sale,486115.51,186,2613.52,521.06,4999.21
Clothing,Levi's,Sales Associate,12 Days of Deals,538035.43,193,2787.75,529.81,4999.26
Clothing,Levi's,Sales Associate,Autumn Deals Drive,524875.75,193,2719.56,540.02,4992.45
Clothing,Levi's,Sales Associate,BOGO Blitz,514349.56,179,2873.46,510.84,4964.63
Clothing,Levi's,Sales Associate,Back to School Boost,433325.01,170,2548.97,572.15,4968.38
Clothing,Levi's,Sales Associate,Birthday Bash Sale,542133.21,199,2724.29,529.73,4972.66
Clothing,Levi's,Sales Associate,Black Friday Blowout,490154.32,173,2833.26,513.13,4997.07
Clothing,Levi's,Sales Associate,Cart Crasher Campaign,496881.93,182,2730.12,521.75,4996.24
Clothing,Levi's,Sales Associate,Cashback Carnival,476775.32,176,2708.95,533.54,4969.53
Clothing,Levi's,Sales Associate,Clearance Countdown,513747.05,191,2689.78,511.93,4961.18
Clothing,Levi's,Sales Associate,Countdown to Savings,474995.86,182,2609.87,504.03,4995.55
Clothing,Levi's,Sales Associate,Customer Appreciation Week,518590.16,175,2963.37,519.88,4984.88
Clothing,Levi's,Sales Associate,Cyber Monday Mania,542063.48,191,2838.03,524.05,4987.56
Clothing,Levi's,Sales Associate,Deal of the Month,513913.79,188,2733.58,502.13,4973.22
Clothing,Levi's,Sales Associate,Double Points Bonanza,524831.92,190,2762.27,501.38,4989.35
Clothing,Levi's,Sales Associate,Early Bird Specials,521497.12,187,2788.75,501.24,4988.14
Clothing,Levi's,Sales Associate,End of Season Sale,483668.12,179,2702.06,517.03,4958.77
Clothing,Levi's,Sales Associate,Exclusive Insider Offers,421598.80,156,2702.56,501.18,4997.63
Clothing,Levi's,Sales Associate,Festive Fever Promo,459815.40,174,2642.62,505.36,4973.57
Clothing,Levi's,Sales Associate,Final Call Frenzy,439016.90,160,2743.86,573.65,4936.49
Clothing,Levi's,Sales Associate,Flash Frenzy Friday,498524.44,184,2709.37,516.34,4989.81
Clothing,Levi's,Sales Associate,"Gift More, Spend Less",480535.93,171,2810.15,506.74,4985.89
Clothing,Levi's,Sales Associate,Golden Hour Bargains,425710.18,151,2819.27,508.91,4996.69
Clothing,Levi's,Sales Associate,Green Weekend Deals,406375.99,165,2462.88,528.50,4982.11
Clothing,Levi's,Sales Associate,Happy Hour Discounts,506993.63,180,2816.63,553.82,4977.27
Clothing,Levi's,Sales Associate,Holiday Shopping Rush,482011.52,182,2648.41,506.38,4992.50
Clothing,Levi's,Sales Associate,Hot Picks Promo,492068.17,187,2631.38,500.12,4909.67
Clothing,Levi's,Sales Associate,Instant Gratification Sale,534286.46,190,2812.03,501.81,4993.22
Clothing,Levi's,Sales Associate,Limited Time Treasures,432870.78,165,2623.46,509.27,4885.75
Clothing,Levi's,Sales Associate,Loyalty Rewards Blast,561230.07,194,2892.94,533.70,4916.86
Clothing,Levi's,Sales Associate,Mega Weekend Bonanza,429088.61,161,2665.15,500.60,4984.20
Clothing,Levi's,Sales Associate,Mid-Year Madness,419912.81,152,2762.58,520.80,4908.10
Clothing,Levi's,Sales Associate,Midnight Madness,503991.84,190,2652.59,511.19,4943.81
Clothing,Levi's,Sales Associate,Mystery Discount Days,428406.28,165,2596.40,541.42,4999.85
Clothing,Levi's,Sales Associate,New Arrival Showcase,516199.62,193,2674.61,515.54,4963.46
Clothing,Levi's,Sales Associate,New Product Launch Promo,473917.29,177,2677.50,500.27,4991.07
Clothing,Levi's,Sales Associate,New Year Kickoff,443715.83,165,2689.19,519.75,4913.11
Clothing,Levi's,Sales Associate,Price Drop Parade,427584.89,160,2672.41,508.09,4999.49
Clothing,Levi's,Sales Associate,Red Tag Clearance,540070.52,193,2798.29,518.05,4985.03
Clothing,Levi's,Sales Associate,Seasonal Surprise Box,535378.32,186,2878.38,508.05,4979.76
Clothing,Levi's,Sales Associate,Shop & Save Spectacular,477752.67,171,2793.88,500.33,4985.92
Clothing,Levi's,Sales Associate,Smart Shopper Week,461705.61,172,2684.33,501.31,4978.12
Clothing,Levi's,Sales Associate,Spring Refresh Event,513210.10,187,2744.44,501.09,4972.47
Clothing,Levi's,Sales Associate,Spring Splash Discounts,493765.57,192,2571.70,540.73,4969.75
