salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Salesperson,Price Drop Parade,14241830.72,5138,2771.86,503.25,4999.50
Salesperson,Red Tag Clearance,13961137.33,5085,2745.55,501.79,4997.86
Salesperson,Seasonal Surprise Box,14453245.01,5255,2750.38,501.08,4998.61
Salesperson,Shop & Save Spectacular,14637884.91,5296,2763.95,500.09,4998.75
Salesperson,Smart Shopper Week,14290409.56,5205,2745.52,502.77,4999.73
Salesperson,Spring Refresh Event,14162556.08,5070,2793.40,500.43,4998.88
Salesperson,Spring Splash Discounts,14355899.22,5179,2771.94,500.35,4998.97
Salesperson,Summer Sizzle Promo,14555757.63,5289,2752.08,501.06,4998.80
Salesperson,Super Savings Week,14439848.03,5227,2762.55,501.50,4999.25
Salesperson,Ultimate Value Event,14128889.31,5084,2779.09,502.13,4999.82
Salesperson,VIP Access Sale,14268475.00,5199,2744.47,500.23,4999.97
Salesperson,Weekend Warrior Specials,14352807.39,5217,2751.16,500.62,4999.71
Salesperson,Winter Clearance Carnival,13964572.09,4999,2793.47,502.13,4999.97
Salesperson,Winter Wonders Sale,14509980.31,5260,2758.55,500.27,4999.85
Senior Salesperson,12 Days of Deals,12460147.75,4566,2728.90,501.08,4998.58
Senior Salesperson,Autumn Deals Drive,12290393.71,4488,2738.50,501.28,4999.80
Senior Salesperson,BOGO Blitz,12266357.57,4462,2749.07,502.46,4999.06
Senior Salesperson,Back to School Boost,12622572.49,4600,2744.04,500.14,4999.86
Senior Salesperson,Birthday Bash Sale,12570788.91,4531,2774.40,501.00,4997.36
Senior Salesperson,Black Friday Blowout,12616358.54,4558,2767.96,500.74,4999.88
Senior Salesperson,Cart Crasher Campaign,12676662.50,4569,2774.49,501.15,4999.82
Senior Salesperson,Cashback Carnival,12192027.85,4467,2729.35,500.51,4999.12
Senior Salesperson,Clearance Countdown,12010007.65,4432,2709.84,501.13,4999.80
Senior Salesperson,Countdown to Savings,12493509.53,4573,2732.02,502.00,4999.61
Senior Salesperson,Customer Appreciation Week,12586732.61,4565,2757.23,502.24,4998.61
Senior Salesperson,Cyber Monday Mania,12064273.20,4417,2731.33,500.56,4999.28
Senior Salesperson,Deal of the Month,12395736.22,4495,2757.67,502.44,4999.41
Senior Salesperson,Double Points Bonanza,12639729.61,4549,2778.57,500.59,4999.96
Senior Salesperson,Early Bird Specials,12489858.24,4548,2746.23,503.12,4999.11
Senior Salesperson,End of Season Sale,12488438.71,4497,2777.06,501.06,4998.37
Senior Salesperson,Exclusive Insider Offers,12283614.18,4467,2749.86,500.07,4999.96
Senior Salesperson,Festive Fever Promo,12708065.58,4623,2748.88,500.15,4999.21
Senior Salesperson,Final Call Frenzy,12641708.97,4579,2760.80,500.03,4998.23
Senior Salesperson,Flash Frenzy Friday,12677534.57,4610,2750.01,502.31,4999.30
Senior Salesperson,"Gift More, Spend Less",12612988.11,4610,2736.01,501.75,4998.35
Senior Salesperson,Golden Hour Bargains,12386159.82,4488,2759.84,500.65,4999.90
Senior Salesperson,Green Weekend Deals,12754039.41,4660,2736.92,500.21,4999.98
Senior Salesperson,Happy Hour Discounts,12379319.97,4466,2771.90,500.75,4997.56
Senior Salesperson,Holiday Shopping Rush,12411174.18,4528,2740.98,500.26,4999.39
Senior Salesperson,Hot Picks Promo,12757279.80,4596,2775.74,500.05,4999.96
Senior Salesperson,Instant Gratification Sale,12376522.81,4467,2770.66,500.03,4998.85
Senior Salesperson,Limited Time Treasures,12622494.71,4585,2753.00,500.36,4999.81
Senior Salesperson,Loyalty Rewards Blast,12359035.46,4493,2750.73,500.58,4998.29
Senior Salesperson,Mega Weekend Bonanza,12469073.99,4511,2764.15,501.33,4999.69
Senior Salesperson,Mid-Year Madness,12564936.98,4578,2744.63,500.32,4999.77
Senior Salesperson,Midnight Madness,12092344.80,4393,2752.64,500.23,4998.12
Senior Salesperson,Mystery Discount Days,12587345.99,4529,2779.28,502.33,4998.21
Senior Salesperson,New Arrival Showcase,12640100.96,4582,2758.64,500.17,4998.89
Senior Salesperson,New Product Launch Promo,12209255.07,4458,2738.73,500.59,4999.40
Senior Salesperson,New Year Kickoff,12617911.16,4574,2758.62,500.45,4998.67
Senior Salesperson,Price Drop Parade,12370730.29,4499,2749.66,500.06,4999.83
Senior Salesperson,Red Tag Clearance,12511389.79,4534,2759.46,501.29,4999.64
Senior Salesperson,Seasonal Surprise Box,12637248.06,4575,2762.24,500.11,4998.54
Senior Salesperson,Shop & Save Spectacular,12288843.77,4441,2767.13,501.24,4996.66
Senior Salesperson,Smart Shopper Week,12617406.85,4595,2745.90,500.54,4999.94
Senior Salesperson,Spring Refresh Event,12695175.67,4623,2746.09,500.36,4999.45
Senior Salesperson,Spring Splash Discounts,12535381.57,4545,2758.06,500.46,4999.02
Senior Salesperson,Summer Sizzle Promo,12184668.02,4472,2724.66,500.81,4999.26
Senior Salesperson,Super Savings Week,12537601.46,4484,2796.08,501.03,4999.88
Senior Salesperson,Ultimate Value Event,12163543.88,4453,2731.54,500.07,4999.84
Senior Salesperson,VIP Access Sale,12542660.60,4592,2731.42,500.66,4999.89
Senior Salesperson,Weekend Warrior Specials,12356530.59,4582,2696.75,501.39,4999.39
Senior Salesperson,Winter Clearance Carnival,12626037.64,4595,2747.78,501.06,4998.41
Senior Salesperson,Winter Wonders Sale,12462195.42,4578,2722.19,500.29,4996.00
