customer_segment,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
High Value,Supermarkets ,Manager,24051766.86,8819,2727.27,500.53,4999.38
High Value,Supermarkets ,Sales Associate,24849981.72,9092,2733.17,500.15,4999.96
High Value,Supermarkets ,Salesperson,24322470.08,8889,2736.24,500.13,4999.52
High Value,Supermarkets ,Senior Salesperson,21612721.73,7863,2748.66,500.45,4998.89
In-Store Regular,Large Malls / Complexes,Manager,21636397.70,7836,2761.15,500.68,4998.89
In-Store Regular,Large Malls / Complexes,Sales Associate,22989705.29,8315,2764.85,500.60,4999.92
In-Store Regular,Large Malls / Complexes,Salesperson,22238984.38,8062,2758.49,500.25,4999.80
In-Store Regular,Large Malls / Complexes,Senior Salesperson,19734731.74,7133,2766.68,501.08,4999.96
In-Store Regular,Small Stores / Shops,Manager,23174114.08,8364,2770.70,500.07,4999.21
In-Store Regular,Small Stores / Shops,Sales Associate,24442323.27,8883,2751.58,500.31,4999.49
In-Store Regular,Small Stores / Shops,Salesperson,24007844.02,8743,2745.95,500.80,4997.58
In-Store Regular,Small Stores / Shops,Senior Salesperson,21083448.67,7695,2739.89,500.06,4999.96
In-Store Regular,Supermarkets ,Manager,23313389.05,8499,2743.07,500.05,4999.58
In-Store Regular,Supermarkets ,Sales Associate,25077460.63,9168,2735.33,502.32,4999.60
In-Store Regular,Supermarkets ,Salesperson,24006952.22,8776,2735.52,500.16,4999.89
In-Store Regular,Supermarkets ,Senior Salesperson,21743217.60,7865,2764.55,500.03,4999.53
Loyal Customer,Large Malls / Complexes,Manager,21466706.18,7874,2726.28,500.56,4999.40
Loyal Customer,Large Malls / Complexes,Sales Associate,22658576.96,8256,2744.50,500.18,4999.69
Loyal Customer,Large Malls / Complexes,Salesperson,22566674.25,8152,2768.24,500.27,4999.97
Loyal Customer,Large Malls / Complexes,Senior Salesperson,19949849.18,7259,2748.29,500.32,4999.96
Loyal Customer,Small Stores / Shops,Manager,23396133.45,8567,2730.96,500.08,4999.83
Loyal Customer,Small Stores / Shops,Sales Associate,24404786.30,8812,2769.49,500.38,4998.97
Loyal Customer,Small Stores / Shops,Salesperson,24064246.48,8735,2754.92,500.50,4999.20
Loyal Customer,Small Stores / Shops,Senior Salesperson,20966658.17,7576,2767.51,500.17,4999.89
Loyal Customer,Supermarkets ,Manager,23961328.29,8705,2752.59,500.20,4999.75
Loyal Customer,Supermarkets ,Sales Associate,25538746.91,9267,2755.88,500.68,4999.85
Loyal Customer,Supermarkets ,Salesperson,25097396.86,9103,2757.05,501.94,4999.91
Loyal Customer,Supermarkets ,Senior Salesperson,21375897.71,7738,2762.46,500.84,4997.26
Occasional Shopper,Large Malls / Complexes,Manager,21461525.49,7875,2725.27,500.07,4999.60
Occasional Shopper,Large Malls / Complexes,Sales Associate,23528980.64,8560,2748.71,501.55,4998.47
Occasional Shopper,Large Malls / Complexes,Salesperson,22836537.50,8290,2754.71,500.92,4999.19
Occasional Shopper,Large Malls / Complexes,Senior Salesperson,19783144.51,7210,2743.85,500.36,4999.80
Occasional Shopper,Small Stores / Shops,Manager,23415503.51,8510,2751.53,500.57,4999.31
Occasional Shopper,Small Stores / Shops,Sales Associate,24849385.39,8913,2787.99,500.39,4999.44
Occasional Shopper,Small Stores / Shops,Salesperson,23840952.71,8687,2744.44,500.09,4999.65
Occasional Shopper,Small Stores / Shops,Senior Salesperson,20987633.37,7595,2763.35,500.15,4999.06
Occasional Shopper,Supermarkets ,Manager,23881591.88,8788,2717.52,500.33,4999.75
Occasional Shopper,Supermarkets ,Sales Associate,25323195.26,9218,2747.15,501.39,4999.63
Occasional Shopper,Supermarkets ,Salesperson,24640612.99,8948,2753.76,500.69,4999.48
Occasional Shopper,Supermarkets ,Senior Salesperson,21891839.29,7964,2748.85,500.65,4998.21
Online Shopper,Large Malls / Complexes,Manager,22165159.10,8099,2736.78,501.32,4998.93
Online Shopper,Large Malls / Complexes,Sales Associate,23139316.95,8374,2763.23,500.23,4999.95
Online Shopper,Large Malls / Complexes,Salesperson,22926840.95,8262,2774.97,500.35,4999.62
Online Shopper,Large Malls / Complexes,Senior Salesperson,20001640.48,7238,2763.42,500.11,4999.94
Online Shopper,Small Stores / Shops,Manager,23619584.03,8502,2778.12,501.14,4998.77
Online Shopper,Small Stores / Shops,Sales Associate,23931609.02,8739,2738.48,501.02,4999.41
Online Shopper,Small Stores / Shops,Salesperson,24169968.26,8883,2720.92,500.15,4999.87
Online Shopper,Small Stores / Shops,Senior Salesperson,21260916.98,7697,2762.23,503.50,4999.26
Online Shopper,Supermarkets ,Manager,24320497.91,8785,2768.41,500.04,4999.97
Online Shopper,Supermarkets ,Sales Associate,25418422.30,9241,2750.61,500.12,4999.14
Online Shopper,Supermarkets ,Salesperson,24786930.95,9029,2745.26,500.09,4998.84
Online Shopper,Supermarkets ,Senior Salesperson,21912931.14,7970,2749.43,502.15,4999.82
Premium Shopper,Large Malls / Complexes,Manager,21143667.66,7737,2732.80,501.66,4998.94
Premium Shopper,Large Malls / Complexes,Sales Associate,22562049.28,8242,2737.45,500.72,4999.76
Premium Shopper,Large Malls / Complexes,Salesperson,22762836.55,8282,2748.47,500.30,4999.86
Premium Shopper,Large Malls / Complexes,Senior Salesperson,19549182.47,7052,2772.15,500.29,4998.79
Premium Shopper,Small Stores / Shops,Manager,22846581.81,8290,2755.92,500.17,4999.67
Premium Shopper,Small Stores / Shops,Sales Associate,23782969.95,8666,2744.40,500.23,4999.35
Premium Shopper,Small Stores / Shops,Salesperson,23808982.41,8591,2771.39,500.34,4998.56
Premium Shopper,Small Stores / Shops,Senior Salesperson,20841479.45,7561,2756.44,500.07,4998.61
Premium Shopper,Supermarkets ,Manager,23431737.24,8493,2758.95,500.97,4999.87
Premium Shopper,Supermarkets ,Sales Associate,24874402.94,9071,2742.19,500.98,4999.13
Premium Shopper,Supermarkets ,Salesperson,24380068.56,8884,2744.27,500.23,4999.55
Premium Shopper,Supermarkets ,Senior Salesperson,21619815.02,7856,2752.01,500.31,4998.23
