brand,customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,Manager,Mega Weekend Bonanza,81708.29,32,2553.38,582.79,4698.16
Adidas,Budget Shopper,Manager,Mid-Year Madness,66779.77,26,2568.45,548.03,4741.75
Adidas,Budget Shopper,Manager,Midnight Madness,107955.93,36,2998.78,937.07,4512.05
Adidas,Budget Shopper,Manager,Mystery Discount Days,87553.42,33,2653.13,603.30,4876.22
Adidas,Budget Shopper,Manager,New Arrival Showcase,88090.44,31,2841.63,550.60,4893.79
Adidas,Budget Shopper,Manager,New Product Launch Promo,102775.78,36,2854.88,541.28,4896.78
Adidas,Budget Shopper,Manager,New Year Kickoff,61170.11,23,2659.57,718.27,4527.70
Adidas,Budget Shopper,Manager,Price Drop Parade,87853.78,32,2745.43,555.57,4946.19
Adidas,Budget Shopper,Manager,Red Tag Clearance,82680.15,30,2756.01,520.14,4889.45
Adidas,Budget Shopper,Manager,Seasonal Surprise Box,85476.60,27,3165.80,581.28,4836.04
Adidas,Budget Shopper,Manager,Shop & Save Spectacular,112327.46,37,3035.88,572.84,4960.40
Adidas,Budget Shopper,Manager,Smart Shopper Week,106995.72,37,2891.78,554.36,4985.85
Adidas,Budget Shopper,Manager,Spring Refresh Event,88089.30,33,2669.37,608.36,4937.30
Adidas,Budget Shopper,Manager,Spring Splash Discounts,71305.89,25,2852.24,732.23,4973.74
Adidas,Budget Shopper,Manager,Summer Sizzle Promo,69841.49,28,2494.34,651.49,4974.26
Adidas,Budget Shopper,Manager,Super Savings Week,63685.41,25,2547.42,892.93,4607.13
Adidas,Budget Shopper,Manager,Ultimate Value Event,73120.75,27,2708.18,618.43,4493.62
Adidas,Budget Shopper,Manager,VIP Access Sale,100930.40,36,2803.62,570.09,4991.92
Adidas,Budget Shopper,Manager,Weekend Warrior Specials,100155.08,35,2861.57,561.75,4818.29
Adidas,Budget Shopper,Manager,Winter Clearance Carnival,81534.40,30,2717.81,668.33,4956.75
Adidas,Budget Shopper,Manager,Winter Wonders Sale,88575.94,30,2952.53,506.23,4878.42
Adidas,Budget Shopper,Sales Associate,12 Days of Deals,88614.92,33,2685.30,512.05,4779.65
Adidas,Budget Shopper,Sales Associate,Autumn Deals Drive,85164.18,30,2838.81,518.04,4982.16
Adidas,Budget Shopper,Sales Associate,BOGO Blitz,95539.89,31,3081.93,556.73,4863.46
Adidas,Budget Shopper,Sales Associate,Back to School Boost,65561.31,26,2521.59,508.79,4811.57
Adidas,Budget Shopper,Sales Associate,Birthday Bash Sale,100936.02,39,2588.10,590.96,4895.49
Adidas,Budget Shopper,Sales Associate,Black Friday Blowout,57790.36,21,2751.92,576.66,4514.81
Adidas,Budget Shopper,Sales Associate,Cart Crasher Campaign,98182.86,32,3068.21,701.33,4917.92
Adidas,Budget Shopper,Sales Associate,Cashback Carnival,109784.48,43,2553.13,633.88,4936.68
Adidas,Budget Shopper,Sales Associate,Clearance Countdown,84002.96,36,2333.42,628.97,4949.25
Adidas,Budget Shopper,Sales Associate,Countdown to Savings,83940.93,33,2543.66,531.85,4819.36
Adidas,Budget Shopper,Sales Associate,Customer Appreciation Week,101252.22,35,2892.92,540.47,4901.59
Adidas,Budget Shopper,Sales Associate,Cyber Monday Mania,97455.02,35,2784.43,608.00,4899.92
Adidas,Budget Shopper,Sales Associate,Deal of the Month,84485.58,26,3249.45,599.21,4907.31
Adidas,Budget Shopper,Sales Associate,Double Points Bonanza,104698.30,37,2829.68,902.92,4882.02
Adidas,Budget Shopper,Sales Associate,Early Bird Specials,104070.46,33,3153.65,505.34,4859.11
Adidas,Budget Shopper,Sales Associate,End of Season Sale,84875.89,27,3143.55,549.70,4971.31
Adidas,Budget Shopper,Sales Associate,Exclusive Insider Offers,98175.04,37,2653.38,598.29,4884.21
Adidas,Budget Shopper,Sales Associate,Festive Fever Promo,80265.34,28,2866.62,778.25,4887.69
Adidas,Budget Shopper,Sales Associate,Final Call Frenzy,144387.42,45,3208.61,838.94,4989.90
Adidas,Budget Shopper,Sales Associate,Flash Frenzy Friday,59955.23,24,2498.13,583.09,4781.40
Adidas,Budget Shopper,Sales Associate,"Gift More, Spend Less",69511.94,27,2574.52,524.46,4740.79
Adidas,Budget Shopper,Sales Associate,Golden Hour Bargains,91064.05,34,2678.35,510.81,4994.32
Adidas,Budget Shopper,Sales Associate,Green Weekend Deals,106476.84,41,2597.00,698.96,4833.78
Adidas,Budget Shopper,Sales Associate,Happy Hour Discounts,120186.46,43,2795.03,673.47,4796.34
Adidas,Budget Shopper,Sales Associate,Holiday Shopping Rush,124437.63,46,2705.17,540.22,4981.68
Adidas,Budget Shopper,Sales Associate,Hot Picks Promo,111246.71,36,3090.19,904.58,4990.00
Adidas,Budget Shopper,Sales Associate,Instant Gratification Sale,81825.61,29,2821.57,891.43,4843.14
Adidas,Budget Shopper,Sales Associate,Limited Time Treasures,111780.85,38,2941.60,773.92,4699.59
Adidas,Budget Shopper,Sales Associate,Loyalty Rewards Blast,118246.69,42,2815.40,659.08,4690.57
Adidas,Budget Shopper,Sales Associate,Mega Weekend Bonanza,92232.83,33,2794.93,574.73,4980.14
Adidas,Budget Shopper,Sales Associate,Mid-Year Madness,129464.20,43,3010.80,689.92,4949.66
Adidas,Budget Shopper,Sales Associate,Midnight Madness,77073.78,29,2657.72,691.14,4990.39
Adidas,Budget Shopper,Sales Associate,Mystery Discount Days,103109.77,38,2713.42,635.57,4943.34
Adidas,Budget Shopper,Sales Associate,New Arrival Showcase,93050.08,31,3001.62,955.46,4986.33
Adidas,Budget Shopper,Sales Associate,New Product Launch Promo,116317.04,43,2705.05,631.00,4925.61
Adidas,Budget Shopper,Sales Associate,New Year Kickoff,90309.28,32,2822.16,560.26,4995.24
Adidas,Budget Shopper,Sales Associate,Price Drop Parade,62252.18,27,2305.64,537.35,4467.78
Adidas,Budget Shopper,Sales Associate,Red Tag Clearance,65630.24,27,2430.75,537.21,4954.02
Adidas,Budget Shopper,Sales Associate,Seasonal Surprise Box,115114.30,38,3029.32,530.59,4982.93
Adidas,Budget Shopper,Sales Associate,Shop & Save Spectacular,89345.94,34,2627.82,783.02,4992.75
Adidas,Budget Shopper,Sales Associate,Smart Shopper Week,92530.72,34,2721.49,744.43,4946.40
Adidas,Budget Shopper,Sales Associate,Spring Refresh Event,101119.70,34,2974.11,887.19,4987.97
Adidas,Budget Shopper,Sales Associate,Spring Splash Discounts,134481.53,47,2861.31,566.81,4990.13
Adidas,Budget Shopper,Sales Associate,Summer Sizzle Promo,94263.92,34,2772.47,1093.79,4982.52
Adidas,Budget Shopper,Sales Associate,Super Savings Week,66154.89,26,2544.42,670.47,4734.18
Adidas,Budget Shopper,Sales Associate,Ultimate Value Event,85394.94,30,2846.50,1026.35,4998.36
Adidas,Budget Shopper,Sales Associate,VIP Access Sale,150268.34,50,3005.37,576.87,4829.97
Adidas,Budget Shopper,Sales Associate,Weekend Warrior Specials,81667.37,32,2552.11,675.90,4815.36
Adidas,Budget Shopper,Sales Associate,Winter Clearance Carnival,121194.15,45,2693.20,610.80,4906.87
Adidas,Budget Shopper,Sales Associate,Winter Wonders Sale,128458.32,48,2676.21,612.38,4803.49
Adidas,Budget Shopper,Salesperson,12 Days of Deals,137129.96,45,3047.33,577.26,4954.87
Adidas,Budget Shopper,Salesperson,Autumn Deals Drive,67670.94,29,2333.48,671.46,4717.92
Adidas,Budget Shopper,Salesperson,BOGO Blitz,85650.24,32,2676.57,550.36,4969.91
Adidas,Budget Shopper,Salesperson,Back to School Boost,77595.13,35,2217.00,510.39,4910.61
Adidas,Budget Shopper,Salesperson,Birthday Bash Sale,97989.99,36,2721.94,783.05,4845.41
Adidas,Budget Shopper,Salesperson,Black Friday Blowout,114466.49,40,2861.66,628.88,4880.99
Adidas,Budget Shopper,Salesperson,Cart Crasher Campaign,77864.66,30,2595.49,571.88,4931.02
Adidas,Budget Shopper,Salesperson,Cashback Carnival,103369.11,38,2720.24,566.74,4951.70
Adidas,Budget Shopper,Salesperson,Clearance Countdown,75718.75,28,2704.24,511.56,4964.25
Adidas,Budget Shopper,Salesperson,Countdown to Savings,81699.54,28,2917.84,516.38,4966.52
Adidas,Budget Shopper,Salesperson,Customer Appreciation Week,52976.34,21,2522.68,523.17,4914.74
Adidas,Budget Shopper,Salesperson,Cyber Monday Mania,91844.16,34,2701.30,674.20,4993.46
Adidas,Budget Shopper,Salesperson,Deal of the Month,81332.57,30,2711.09,647.46,4832.34
Adidas,Budget Shopper,Salesperson,Double Points Bonanza,75442.61,30,2514.75,703.09,4935.43
Adidas,Budget Shopper,Salesperson,Early Bird Specials,116497.36,41,2841.40,753.22,4911.81
Adidas,Budget Shopper,Salesperson,End of Season Sale,107103.98,38,2818.53,597.99,4959.83
Adidas,Budget Shopper,Salesperson,Exclusive Insider Offers,73657.90,32,2301.81,545.22,4399.23
Adidas,Budget Shopper,Salesperson,Festive Fever Promo,101671.20,39,2606.95,568.92,4813.09
Adidas,Budget Shopper,Salesperson,Final Call Frenzy,95968.44,34,2822.60,575.48,4995.87
Adidas,Budget Shopper,Salesperson,Flash Frenzy Friday,92307.73,34,2714.93,501.20,4942.19
Adidas,Budget Shopper,Salesperson,"Gift More, Spend Less",67903.04,22,3086.50,899.68,4932.16
Adidas,Budget Shopper,Salesperson,Golden Hour Bargains,115119.37,39,2951.78,581.20,4979.97
Adidas,Budget Shopper,Salesperson,Green Weekend Deals,71045.14,24,2960.21,647.53,4926.07
Adidas,Budget Shopper,Salesperson,Happy Hour Discounts,121012.05,43,2814.23,505.03,4842.63
Adidas,Budget Shopper,Salesperson,Holiday Shopping Rush,81487.86,29,2809.93,644.27,4906.00
Adidas,Budget Shopper,Salesperson,Hot Picks Promo,125456.94,46,2727.32,631.23,4942.51
Adidas,Budget Shopper,Salesperson,Instant Gratification Sale,91012.10,34,2676.83,563.61,4973.14
Adidas,Budget Shopper,Salesperson,Limited Time Treasures,89290.48,32,2790.33,532.31,4804.00
Adidas,Budget Shopper,Salesperson,Loyalty Rewards Blast,67835.99,29,2339.17,545.47,4344.55
Adidas,Budget Shopper,Salesperson,Mega Weekend Bonanza,96181.10,33,2914.58,655.82,4915.82
Adidas,Budget Shopper,Salesperson,Mid-Year Madness,67518.21,24,2813.26,898.62,4587.97
Adidas,Budget Shopper,Salesperson,Midnight Madness,66517.69,29,2293.71,548.00,4737.68
Adidas,Budget Shopper,Salesperson,Mystery Discount Days,106593.17,40,2664.83,528.21,4370.57
Adidas,Budget Shopper,Salesperson,New Arrival Showcase,83984.91,32,2624.53,605.41,4974.28
Adidas,Budget Shopper,Salesperson,New Product Launch Promo,82135.32,29,2832.25,501.61,4999.95
Adidas,Budget Shopper,Salesperson,New Year Kickoff,117615.56,44,2673.08,519.85,4944.12
Adidas,Budget Shopper,Salesperson,Price Drop Parade,68036.25,28,2429.87,511.21,4443.77
Adidas,Budget Shopper,Salesperson,Red Tag Clearance,86367.17,29,2978.18,649.19,4964.81
Adidas,Budget Shopper,Salesperson,Seasonal Surprise Box,55692.55,22,2531.48,527.98,4468.94
Adidas,Budget Shopper,Salesperson,Shop & Save Spectacular,129901.00,47,2763.85,516.93,4843.28
Adidas,Budget Shopper,Salesperson,Smart Shopper Week,106175.17,41,2589.64,684.11,4875.62
Adidas,Budget Shopper,Salesperson,Spring Refresh Event,136113.48,50,2722.27,541.03,4919.53
Adidas,Budget Shopper,Salesperson,Spring Splash Discounts,108506.15,38,2855.43,711.05,4963.37
Adidas,Budget Shopper,Salesperson,Summer Sizzle Promo,106897.68,36,2969.38,581.51,4983.81
Adidas,Budget Shopper,Salesperson,Super Savings Week,77873.02,29,2685.28,640.66,4859.11
Adidas,Budget Shopper,Salesperson,Ultimate Value Event,113399.10,39,2907.67,548.08,4878.14
Adidas,Budget Shopper,Salesperson,VIP Access Sale,106086.65,36,2946.85,534.21,4779.95
Adidas,Budget Shopper,Salesperson,Weekend Warrior Specials,105012.85,40,2625.32,564.24,4935.09
Adidas,Budget Shopper,Salesperson,Winter Clearance Carnival,108369.22,37,2928.90,823.59,4993.51
Adidas,Budget Shopper,Salesperson,Winter Wonders Sale,95962.78,33,2907.96,882.69,4596.58
Adidas,Budget Shopper,Senior Salesperson,12 Days of Deals,106343.46,44,2416.90,567.07,4784.68
Adidas,Budget Shopper,Senior Salesperson,Autumn Deals Drive,78358.59,29,2702.02,526.60,4846.31
Adidas,Budget Shopper,Senior Salesperson,BOGO Blitz,95233.80,33,2885.87,635.44,4973.52
Adidas,Budget Shopper,Senior Salesperson,Back to School Boost,75896.58,26,2919.10,584.23,4939.84
Adidas,Budget Shopper,Senior Salesperson,Birthday Bash Sale,55586.09,26,2137.93,518.24,4494.52
Adidas,Budget Shopper,Senior Salesperson,Black Friday Blowout,80743.82,27,2990.51,743.96,4965.74
Adidas,Budget Shopper,Senior Salesperson,Cart Crasher Campaign,97476.07,28,3481.29,635.49,4895.14
Adidas,Budget Shopper,Senior Salesperson,Cashback Carnival,81093.98,32,2534.19,534.21,4757.18
Adidas,Budget Shopper,Senior Salesperson,Clearance Countdown,60166.99,26,2314.11,615.86,4598.08
Adidas,Budget Shopper,Senior Salesperson,Countdown to Savings,70667.45,25,2826.70,635.54,4674.28
Adidas,Budget Shopper,Senior Salesperson,Customer Appreciation Week,96458.86,36,2679.41,625.03,4902.82
Adidas,Budget Shopper,Senior Salesperson,Cyber Monday Mania,54924.00,24,2288.50,551.31,4596.57
Adidas,Budget Shopper,Senior Salesperson,Deal of the Month,82097.24,29,2830.94,838.91,4897.43
Adidas,Budget Shopper,Senior Salesperson,Double Points Bonanza,103688.91,40,2592.22,502.14,4859.34
Adidas,Budget Shopper,Senior Salesperson,Early Bird Specials,86199.97,29,2972.41,790.93,4930.21
Adidas,Budget Shopper,Senior Salesperson,End of Season Sale,92035.78,30,3067.86,611.80,4940.53
Adidas,Budget Shopper,Senior Salesperson,Exclusive Insider Offers,69010.17,29,2379.66,507.80,4881.15
Adidas,Budget Shopper,Senior Salesperson,Festive Fever Promo,90299.34,28,3224.98,642.52,4924.03
Adidas,Budget Shopper,Senior Salesperson,Final Call Frenzy,88692.97,31,2861.06,615.74,4897.60
Adidas,Budget Shopper,Senior Salesperson,Flash Frenzy Friday,84048.83,31,2711.25,599.80,4809.39
Adidas,Budget Shopper,Senior Salesperson,"Gift More, Spend Less",71693.03,26,2757.42,608.25,4971.08
Adidas,Budget Shopper,Senior Salesperson,Golden Hour Bargains,62752.72,25,2510.11,523.61,4853.56
Adidas,Budget Shopper,Senior Salesperson,Green Weekend Deals,74176.82,29,2557.82,539.17,4864.28
Adidas,Budget Shopper,Senior Salesperson,Happy Hour Discounts,54119.78,22,2459.99,570.89,4897.98
Adidas,Budget Shopper,Senior Salesperson,Holiday Shopping Rush,96982.33,38,2552.17,599.68,4867.73
Adidas,Budget Shopper,Senior Salesperson,Hot Picks Promo,68710.64,24,2862.94,610.78,4980.54
Adidas,Budget Shopper,Senior Salesperson,Instant Gratification Sale,78237.17,27,2897.67,522.75,4994.90
Adidas,Budget Shopper,Senior Salesperson,Limited Time Treasures,87761.53,31,2831.02,1012.36,4614.21
Adidas,Budget Shopper,Senior Salesperson,Loyalty Rewards Blast,80441.12,30,2681.37,805.27,4971.65
Adidas,Budget Shopper,Senior Salesperson,Mega Weekend Bonanza,79843.80,30,2661.46,648.70,4528.20
Adidas,Budget Shopper,Senior Salesperson,Mid-Year Madness,77497.10,31,2499.91,509.13,4846.39
Adidas,Budget Shopper,Senior Salesperson,Midnight Madness,73217.88,27,2711.77,518.16,4917.42
Adidas,Budget Shopper,Senior Salesperson,Mystery Discount Days,49886.80,17,2934.52,1130.79,4913.05
Adidas,Budget Shopper,Senior Salesperson,New Arrival Showcase,76301.88,24,3179.24,1157.24,4927.48
Adidas,Budget Shopper,Senior Salesperson,New Product Launch Promo,67504.27,27,2500.16,546.91,4890.45
Adidas,Budget Shopper,Senior Salesperson,New Year Kickoff,78359.37,30,2611.98,553.61,4872.47
Adidas,Budget Shopper,Senior Salesperson,Price Drop Parade,64851.96,27,2401.92,596.32,4976.80
Adidas,Budget Shopper,Senior Salesperson,Red Tag Clearance,99616.06,32,3113.00,627.52,4920.77
Adidas,Budget Shopper,Senior Salesperson,Seasonal Surprise Box,92850.33,33,2813.65,578.21,4963.96
Adidas,Budget Shopper,Senior Salesperson,Shop & Save Spectacular,74769.30,26,2875.74,573.32,4966.83
Adidas,Budget Shopper,Senior Salesperson,Smart Shopper Week,63728.94,25,2549.16,1052.06,4796.72
Adidas,Budget Shopper,Senior Salesperson,Spring Refresh Event,40050.07,15,2670.00,615.10,4864.83
Adidas,Budget Shopper,Senior Salesperson,Spring Splash Discounts,86843.01,36,2412.31,534.86,4964.69
Adidas,Budget Shopper,Senior Salesperson,Summer Sizzle Promo,70477.62,26,2710.68,761.15,4975.12
Adidas,Budget Shopper,Senior Salesperson,Super Savings Week,90194.68,34,2652.78,622.39,4849.86
Adidas,Budget Shopper,Senior Salesperson,Ultimate Value Event,85637.78,29,2953.03,577.95,4635.03
Adidas,Budget Shopper,Senior Salesperson,VIP Access Sale,96972.47,34,2852.13,723.61,4797.32
Adidas,Budget Shopper,Senior Salesperson,Weekend Warrior Specials,106738.53,37,2884.83,825.66,4772.28
Adidas,Budget Shopper,Senior Salesperson,Winter Clearance Carnival,103779.30,37,2804.85,542.82,4893.53
Adidas,Budget Shopper,Senior Salesperson,Winter Wonders Sale,91992.06,31,2967.49,851.56,4969.49
Adidas,Churn Risk,Manager,12 Days of Deals,107025.73,35,3057.88,814.66,4976.56
Adidas,Churn Risk,Manager,Autumn Deals Drive,98830.49,35,2823.73,942.20,4998.38
Adidas,Churn Risk,Manager,BOGO Blitz,113785.41,37,3075.28,587.18,4991.38
Adidas,Churn Risk,Manager,Back to School Boost,99376.78,36,2760.47,605.49,4839.65
Adidas,Churn Risk,Manager,Birthday Bash Sale,68834.64,33,2085.90,530.82,4771.96
Adidas,Churn Risk,Manager,Black Friday Blowout,106893.42,42,2545.08,574.45,4863.25
Adidas,Churn Risk,Manager,Cart Crasher Campaign,111748.24,40,2793.71,601.34,4979.31
Adidas,Churn Risk,Manager,Cashback Carnival,66559.47,24,2773.31,638.86,4994.16
Adidas,Churn Risk,Manager,Clearance Countdown,88181.06,33,2672.15,563.58,4935.32
Adidas,Churn Risk,Manager,Countdown to Savings,85530.84,30,2851.03,633.90,4801.52
Adidas,Churn Risk,Manager,Customer Appreciation Week,81292.72,29,2803.20,690.07,4937.49
Adidas,Churn Risk,Manager,Cyber Monday Mania,83095.42,28,2967.69,949.93,4397.13
Adidas,Churn Risk,Manager,Deal of the Month,76340.32,27,2827.42,518.06,4982.42
Adidas,Churn Risk,Manager,Double Points Bonanza,52345.75,24,2181.07,659.86,4538.55
Adidas,Churn Risk,Manager,Early Bird Specials,104447.96,35,2984.23,615.84,4995.32
Adidas,Churn Risk,Manager,End of Season Sale,118331.41,44,2689.35,582.27,4983.53
Adidas,Churn Risk,Manager,Exclusive Insider Offers,72124.69,27,2671.28,591.59,4820.63
Adidas,Churn Risk,Manager,Festive Fever Promo,75145.35,31,2424.04,701.96,4915.21
Adidas,Churn Risk,Manager,Final Call Frenzy,95174.50,29,3281.88,837.14,4887.64
Adidas,Churn Risk,Manager,Flash Frenzy Friday,82499.47,29,2844.81,580.40,4905.88
Adidas,Churn Risk,Manager,"Gift More, Spend Less",109650.14,43,2550.00,647.25,4945.55
Adidas,Churn Risk,Manager,Golden Hour Bargains,126494.16,49,2581.51,538.85,4818.88
Adidas,Churn Risk,Manager,Green Weekend Deals,90846.41,33,2752.92,602.01,4636.14
Adidas,Churn Risk,Manager,Happy Hour Discounts,58697.81,29,2024.06,505.67,4635.03
Adidas,Churn Risk,Manager,Holiday Shopping Rush,79295.43,31,2557.92,578.57,4931.20
Adidas,Churn Risk,Manager,Hot Picks Promo,131904.79,45,2931.22,569.35,4847.46
Adidas,Churn Risk,Manager,Instant Gratification Sale,90571.41,33,2744.59,745.26,4882.76
Adidas,Churn Risk,Manager,Limited Time Treasures,75628.08,26,2908.77,762.07,4831.16
Adidas,Churn Risk,Manager,Loyalty Rewards Blast,74333.79,25,2973.35,587.61,4832.79
Adidas,Churn Risk,Manager,Mega Weekend Bonanza,83741.10,32,2616.91,537.81,4927.17
Adidas,Churn Risk,Manager,Mid-Year Madness,98897.42,34,2908.75,611.60,4991.08
Adidas,Churn Risk,Manager,Midnight Madness,93630.01,35,2675.14,558.77,4982.18
Adidas,Churn Risk,Manager,Mystery Discount Days,74948.09,28,2676.72,664.94,4979.18
Adidas,Churn Risk,Manager,New Arrival Showcase,64484.77,26,2480.18,541.17,4212.29
Adidas,Churn Risk,Manager,New Product Launch Promo,104781.95,38,2757.42,583.59,4660.28
Adidas,Churn Risk,Manager,New Year Kickoff,84370.06,34,2481.47,611.19,4988.93
Adidas,Churn Risk,Manager,Price Drop Parade,128048.92,41,3123.14,610.48,4761.12
Adidas,Churn Risk,Manager,Red Tag Clearance,77561.04,32,2423.78,690.23,4679.46
Adidas,Churn Risk,Manager,Seasonal Surprise Box,132816.33,46,2887.31,515.20,4992.17
Adidas,Churn Risk,Manager,Shop & Save Spectacular,95326.72,36,2647.96,511.32,4812.62
Adidas,Churn Risk,Manager,Smart Shopper Week,107450.49,40,2686.26,928.21,4893.78
Adidas,Churn Risk,Manager,Spring Refresh Event,64883.84,26,2495.53,534.63,4881.13
Adidas,Churn Risk,Manager,Spring Splash Discounts,82042.06,31,2646.52,577.56,4995.14
Adidas,Churn Risk,Manager,Summer Sizzle Promo,94800.56,36,2633.35,548.06,4973.02
Adidas,Churn Risk,Manager,Super Savings Week,85422.47,31,2755.56,506.36,4962.64
Adidas,Churn Risk,Manager,Ultimate Value Event,53770.87,25,2150.83,522.48,4453.41
Adidas,Churn Risk,Manager,VIP Access Sale,107795.56,36,2994.32,831.17,4976.34
Adidas,Churn Risk,Manager,Weekend Warrior Specials,73041.67,25,2921.67,534.87,4993.94
Adidas,Churn Risk,Manager,Winter Clearance Carnival,106649.27,40,2666.23,535.31,4693.72
Adidas,Churn Risk,Manager,Winter Wonders Sale,91458.52,36,2540.51,511.60,4929.83
Adidas,Churn Risk,Sales Associate,12 Days of Deals,59683.26,23,2594.92,966.98,4140.39
Adidas,Churn Risk,Sales Associate,Autumn Deals Drive,95432.50,37,2579.26,592.30,4580.58
Adidas,Churn Risk,Sales Associate,BOGO Blitz,78674.53,29,2712.91,603.08,4598.01
Adidas,Churn Risk,Sales Associate,Back to School Boost,99194.61,39,2543.45,714.74,4987.32
Adidas,Churn Risk,Sales Associate,Birthday Bash Sale,95121.81,34,2797.70,702.73,4866.15
Adidas,Churn Risk,Sales Associate,Black Friday Blowout,126212.31,39,3236.21,503.18,4964.85
Adidas,Churn Risk,Sales Associate,Cart Crasher Campaign,73492.07,26,2826.62,608.86,4606.26
Adidas,Churn Risk,Sales Associate,Cashback Carnival,110050.48,41,2684.16,548.04,4877.37
Adidas,Churn Risk,Sales Associate,Clearance Countdown,95003.60,31,3064.63,575.39,4998.56
Adidas,Churn Risk,Sales Associate,Countdown to Savings,119244.83,42,2839.16,529.00,4651.14
Adidas,Churn Risk,Sales Associate,Customer Appreciation Week,94134.04,40,2353.35,520.41,4552.16
Adidas,Churn Risk,Sales Associate,Cyber Monday Mania,93478.17,30,3115.94,726.55,4923.88
Adidas,Churn Risk,Sales Associate,Deal of the Month,102167.78,33,3095.99,626.82,4885.72
Adidas,Churn Risk,Sales Associate,Double Points Bonanza,94012.96,36,2611.47,504.72,4601.31
Adidas,Churn Risk,Sales Associate,Early Bird Specials,81150.73,30,2705.02,977.52,4637.18
Adidas,Churn Risk,Sales Associate,End of Season Sale,80365.37,30,2678.85,560.40,4753.36
Adidas,Churn Risk,Sales Associate,Exclusive Insider Offers,98427.81,36,2734.11,590.62,4873.74
Adidas,Churn Risk,Sales Associate,Festive Fever Promo,77129.89,27,2856.66,547.68,4843.21
Adidas,Churn Risk,Sales Associate,Final Call Frenzy,71249.04,27,2638.85,541.76,4776.74
Adidas,Churn Risk,Sales Associate,Flash Frenzy Friday,75779.07,28,2706.40,511.20,4997.00
Adidas,Churn Risk,Sales Associate,"Gift More, Spend Less",103634.34,40,2590.86,548.68,4958.60
Adidas,Churn Risk,Sales Associate,Golden Hour Bargains,95921.46,30,3197.38,722.97,4971.94
Adidas,Churn Risk,Sales Associate,Green Weekend Deals,99691.52,40,2492.29,726.73,4904.86
Adidas,Churn Risk,Sales Associate,Happy Hour Discounts,96371.91,34,2834.47,973.85,4551.38
Adidas,Churn Risk,Sales Associate,Holiday Shopping Rush,133059.72,46,2892.60,593.19,4940.32
Adidas,Churn Risk,Sales Associate,Hot Picks Promo,86098.41,35,2459.95,523.60,4927.71
Adidas,Churn Risk,Sales Associate,Instant Gratification Sale,98676.47,37,2666.93,568.56,4998.40
