category,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Manager,Mystery Discount Days,2086414.78,785,2657.85,500.17,4993.54
Clothing,Manager,New Arrival Showcase,2199040.40,824,2668.74,500.17,4998.00
Clothing,Manager,New Product Launch Promo,2320040.79,832,2788.51,501.71,4992.60
Clothing,Manager,New Year Kickoff,2162373.31,797,2713.14,502.81,4992.69
Clothing,Manager,Price Drop Parade,2227956.32,829,2687.52,505.80,4996.80
Clothing,Manager,Red Tag Clearance,2377454.45,861,2761.27,501.14,4995.28
Clothing,Manager,Seasonal Surprise Box,2311257.93,830,2784.65,506.76,4990.98
Clothing,Manager,Shop & Save Spectacular,2413543.40,834,2893.94,503.87,4998.56
Clothing,Manager,Smart Shopper Week,2127561.81,781,2724.15,509.54,4997.75
Clothing,Manager,Spring Refresh Event,2225423.91,800,2781.78,500.55,4996.53
Clothing,Manager,Spring Splash Discounts,2255278.00,830,2717.20,503.97,4993.32
Clothing,Manager,Summer Sizzle Promo,2249285.93,813,2766.65,506.24,4998.58
Clothing,Manager,Super Savings Week,2197278.51,799,2750.04,501.26,4993.53
Clothing,Manager,Ultimate Value Event,2248431.12,807,2786.16,500.17,4999.12
Clothing,Manager,VIP Access Sale,2308869.53,827,2791.86,505.32,4991.78
Clothing,Manager,Weekend Warrior Specials,2415040.65,887,2722.71,501.72,4993.94
Clothing,Manager,Winter Clearance Carnival,2389481.23,831,2875.43,504.78,4989.85
Clothing,Manager,Winter Wonders Sale,2374999.26,889,2671.54,502.39,4999.21
Clothing,Sales Associate,12 Days of Deals,2346789.80,856,2741.58,512.27,4999.26
Clothing,Sales Associate,Autumn Deals Drive,2664243.96,960,2775.25,500.77,4992.45
Clothing,Sales Associate,BOGO Blitz,2444391.01,883,2768.28,509.20,4998.71
Clothing,Sales Associate,Back to School Boost,2261436.58,841,2688.99,501.04,4994.39
Clothing,Sales Associate,Birthday Bash Sale,2358828.62,834,2828.33,500.58,4996.78
Clothing,Sales Associate,Black Friday Blowout,2419594.05,872,2774.76,503.18,4997.07
Clothing,Sales Associate,Cart Crasher Campaign,2343690.98,860,2725.22,512.62,4996.24
Clothing,Sales Associate,Cashback Carnival,2366240.63,873,2710.47,500.72,4984.29
Clothing,Sales Associate,Clearance Countdown,2550603.90,940,2713.41,503.83,4996.24
Clothing,Sales Associate,Countdown to Savings,2328833.72,863,2698.53,504.03,4995.55
Clothing,Sales Associate,Customer Appreciation Week,2391742.60,856,2794.09,505.57,4996.89
Clothing,Sales Associate,Cyber Monday Mania,2460371.89,878,2802.25,509.47,4987.56
Clothing,Sales Associate,Deal of the Month,2453572.25,899,2729.22,502.13,4999.45
Clothing,Sales Associate,Double Points Bonanza,2462722.17,900,2736.36,501.38,4995.86
Clothing,Sales Associate,Early Bird Specials,2596817.37,930,2792.28,501.24,4993.12
Clothing,Sales Associate,End of Season Sale,2317655.21,845,2742.79,504.46,4997.08
Clothing,Sales Associate,Exclusive Insider Offers,2419960.38,877,2759.36,501.18,4997.63
Clothing,Sales Associate,Festive Fever Promo,2423372.83,864,2804.83,504.43,4990.63
Clothing,Sales Associate,Final Call Frenzy,2534392.56,896,2828.56,503.34,4996.06
Clothing,Sales Associate,Flash Frenzy Friday,2438642.06,888,2746.22,509.03,4993.42
Clothing,Sales Associate,"Gift More, Spend Less",2425364.93,875,2771.85,506.74,4986.56
Clothing,Sales Associate,Golden Hour Bargains,2337661.78,842,2776.32,500.57,4999.85
Clothing,Sales Associate,Green Weekend Deals,2327376.71,863,2696.84,502.55,4999.76
Clothing,Sales Associate,Happy Hour Discounts,2444984.86,884,2765.82,503.04,4990.90
Clothing,Sales Associate,Holiday Shopping Rush,2452443.25,888,2761.76,505.46,4992.50
Clothing,Sales Associate,Hot Picks Promo,2337275.92,846,2762.74,500.12,4988.19
Clothing,Sales Associate,Instant Gratification Sale,2335873.21,853,2738.42,500.95,4998.40
Clothing,Sales Associate,Limited Time Treasures,2368875.55,873,2713.49,506.89,4997.38
Clothing,Sales Associate,Loyalty Rewards Blast,2393922.70,868,2757.98,505.10,4992.46
Clothing,Sales Associate,Mega Weekend Bonanza,2305086.90,830,2777.21,500.60,4995.44
Clothing,Sales Associate,Mid-Year Madness,2479245.19,892,2779.42,511.04,4997.54
Clothing,Sales Associate,Midnight Madness,2421189.23,871,2779.78,511.19,4972.50
Clothing,Sales Associate,Mystery Discount Days,2324005.28,858,2708.63,504.07,4999.85
Clothing,Sales Associate,New Arrival Showcase,2549067.92,914,2788.91,510.69,4988.89
Clothing,Sales Associate,New Product Launch Promo,2329533.48,857,2718.24,500.27,4997.47
Clothing,Sales Associate,New Year Kickoff,2306776.92,853,2704.31,503.72,4994.72
Clothing,Sales Associate,Price Drop Parade,2323497.79,853,2723.91,508.09,4999.49
Clothing,Sales Associate,Red Tag Clearance,2458806.04,883,2784.60,502.58,4998.76
Clothing,Sales Associate,Seasonal Surprise Box,2479497.97,898,2761.13,500.52,4988.87
Clothing,Sales Associate,Shop & Save Spectacular,2453938.24,889,2760.34,500.14,4999.95
Clothing,Sales Associate,Smart Shopper Week,2440721.39,884,2761.00,501.31,4997.07
Clothing,Sales Associate,Spring Refresh Event,2478015.07,910,2723.09,501.09,4995.99
Clothing,Sales Associate,Spring Splash Discounts,2328911.31,880,2646.49,507.73,4990.13
Clothing,Sales Associate,Summer Sizzle Promo,2470108.12,894,2762.98,502.32,4995.49
Clothing,Sales Associate,Super Savings Week,2304468.21,838,2749.96,505.75,4998.86
Clothing,Sales Associate,Ultimate Value Event,2490641.38,893,2789.07,506.31,4998.36
Clothing,Sales Associate,VIP Access Sale,2515495.51,918,2740.19,501.68,4996.77
Clothing,Sales Associate,Weekend Warrior Specials,2362430.59,881,2681.53,502.76,4995.92
Clothing,Sales Associate,Winter Clearance Carnival,2311278.24,861,2684.41,501.25,4991.29
Clothing,Sales Associate,Winter Wonders Sale,2330245.25,856,2722.25,502.80,4996.30
Clothing,Salesperson,12 Days of Deals,2261552.70,834,2711.69,502.32,4993.99
Clothing,Salesperson,Autumn Deals Drive,2328888.58,842,2765.90,504.68,4996.26
Clothing,Salesperson,BOGO Blitz,2475044.33,904,2737.88,502.29,4999.45
Clothing,Salesperson,Back to School Boost,2383105.04,875,2723.55,501.52,4998.12
Clothing,Salesperson,Birthday Bash Sale,2333261.21,844,2764.53,501.83,4997.95
Clothing,Salesperson,Black Friday Blowout,2289866.18,815,2809.65,516.57,4994.34
Clothing,Salesperson,Cart Crasher Campaign,2313568.67,830,2787.43,505.97,4981.35
Clothing,Salesperson,Cashback Carnival,2434737.68,869,2801.77,505.92,4997.64
Clothing,Salesperson,Clearance Countdown,2382433.69,869,2741.58,504.91,4999.80
Clothing,Salesperson,Countdown to Savings,2347863.29,865,2714.29,504.23,4998.86
Clothing,Salesperson,Customer Appreciation Week,2426483.51,885,2741.79,510.73,4998.60
Clothing,Salesperson,Cyber Monday Mania,2492126.59,904,2756.78,506.75,4995.44
Clothing,Salesperson,Deal of the Month,2308196.72,836,2761.00,503.19,4994.87
Clothing,Salesperson,Double Points Bonanza,2425678.75,884,2743.98,510.59,4999.44
Clothing,Salesperson,Early Bird Specials,2507448.83,890,2817.36,519.84,4999.19
Clothing,Salesperson,End of Season Sale,2398815.64,888,2701.37,505.48,4999.17
Clothing,Salesperson,Exclusive Insider Offers,2319872.00,846,2742.17,508.78,4989.69
Clothing,Salesperson,Festive Fever Promo,2237424.70,852,2626.09,506.40,4995.75
Clothing,Salesperson,Final Call Frenzy,2319936.47,849,2732.55,501.00,4994.06
Clothing,Salesperson,Flash Frenzy Friday,2428497.46,870,2791.38,501.20,4998.23
Clothing,Salesperson,"Gift More, Spend Less",2312752.67,831,2783.10,501.94,4989.04
Clothing,Salesperson,Golden Hour Bargains,2371269.73,880,2694.62,504.67,4998.56
Clothing,Salesperson,Green Weekend Deals,2383273.95,867,2748.87,519.01,4996.15
Clothing,Salesperson,Happy Hour Discounts,2308108.81,843,2737.97,510.62,4964.85
Clothing,Salesperson,Holiday Shopping Rush,2338378.81,849,2754.27,503.85,4999.33
Clothing,Salesperson,Hot Picks Promo,2389926.46,871,2743.89,502.01,4997.81
Clothing,Salesperson,Instant Gratification Sale,2289238.22,847,2702.76,503.83,4992.16
Clothing,Salesperson,Limited Time Treasures,2285216.76,837,2730.25,501.46,4982.15
Clothing,Salesperson,Loyalty Rewards Blast,2389760.26,845,2828.12,500.82,4990.18
Clothing,Salesperson,Mega Weekend Bonanza,2489853.69,891,2794.45,508.93,4997.25
Clothing,Salesperson,Mid-Year Madness,2293417.95,848,2704.50,505.48,4998.11
Clothing,Salesperson,Midnight Madness,2536612.63,909,2790.55,500.50,4986.57
Clothing,Salesperson,Mystery Discount Days,2379923.34,877,2713.71,500.93,4998.98
Clothing,Salesperson,New Arrival Showcase,2341846.45,854,2742.21,506.85,4996.20
Clothing,Salesperson,New Product Launch Promo,2336541.57,861,2713.75,519.61,4999.95
Clothing,Salesperson,New Year Kickoff,2460423.90,886,2777.00,519.85,4991.55
Clothing,Salesperson,Price Drop Parade,2325696.88,868,2679.37,503.25,4996.09
Clothing,Salesperson,Red Tag Clearance,2395690.33,871,2750.51,501.79,4997.50
Clothing,Salesperson,Seasonal Surprise Box,2421120.43,880,2751.27,505.17,4996.71
Clothing,Salesperson,Shop & Save Spectacular,2367774.63,864,2740.48,506.29,4998.75
Clothing,Salesperson,Smart Shopper Week,2454584.42,864,2840.95,526.32,4999.73
Clothing,Salesperson,Spring Refresh Event,2286308.49,819,2791.59,500.43,4997.20
Clothing,Salesperson,Spring Splash Discounts,2397471.31,858,2794.26,500.66,4998.97
Clothing,Salesperson,Summer Sizzle Promo,2359615.01,859,2746.93,507.53,4998.80
Clothing,Salesperson,Super Savings Week,2341163.61,844,2773.89,502.63,4992.52
Clothing,Salesperson,Ultimate Value Event,2358800.18,854,2762.06,502.13,4999.82
Clothing,Salesperson,VIP Access Sale,2352637.67,861,2732.45,513.12,4999.97
Clothing,Salesperson,Weekend Warrior Specials,2384936.51,891,2676.70,515.36,4998.79
Clothing,Salesperson,Winter Clearance Carnival,2211938.21,796,2778.82,505.16,4999.04
Clothing,Salesperson,Winter Wonders Sale,2430349.38,911,2667.78,513.88,4993.56
Clothing,Senior Salesperson,12 Days of Deals,2114144.33,772,2738.53,501.08,4994.45
Clothing,Senior Salesperson,Autumn Deals Drive,2074571.00,734,2826.39,501.28,4994.53
Clothing,Senior Salesperson,BOGO Blitz,2229789.71,793,2811.84,503.91,4999.06
Clothing,Senior Salesperson,Back to School Boost,2089469.33,753,2774.86,500.65,4999.86
Clothing,Senior Salesperson,Birthday Bash Sale,2148179.27,775,2771.84,509.63,4997.36
Clothing,Senior Salesperson,Black Friday Blowout,2060309.60,763,2700.27,500.74,4996.66
Clothing,Senior Salesperson,Cart Crasher Campaign,2200520.61,781,2817.57,501.15,4997.29
Clothing,Senior Salesperson,Cashback Carnival,1951593.96,725,2691.85,502.29,4998.40
Clothing,Senior Salesperson,Clearance Countdown,1831393.16,685,2673.57,507.81,4993.56
Clothing,Senior Salesperson,Countdown to Savings,2133372.69,780,2735.09,503.90,4991.40
Clothing,Senior Salesperson,Customer Appreciation Week,2197941.48,786,2796.36,503.78,4994.47
Clothing,Senior Salesperson,Cyber Monday Mania,1883613.19,704,2675.59,502.02,4992.60
Clothing,Senior Salesperson,Deal of the Month,2116137.10,773,2737.56,502.57,4992.66
Clothing,Senior Salesperson,Double Points Bonanza,2096498.95,744,2817.87,504.72,4990.29
Clothing,Senior Salesperson,Early Bird Specials,2127096.99,785,2709.68,504.72,4997.16
Clothing,Senior Salesperson,End of Season Sale,1972906.33,713,2767.05,509.34,4995.12
Clothing,Senior Salesperson,Exclusive Insider Offers,2125305.60,763,2785.46,500.07,4989.88
Clothing,Senior Salesperson,Festive Fever Promo,2216725.96,798,2777.85,503.23,4998.89
Clothing,Senior Salesperson,Final Call Frenzy,2004138.45,727,2756.72,505.45,4968.41
Clothing,Senior Salesperson,Flash Frenzy Friday,1954411.13,727,2688.32,519.52,4996.44
Clothing,Senior Salesperson,"Gift More, Spend Less",2047148.80,735,2785.24,504.71,4977.65
Clothing,Senior Salesperson,Golden Hour Bargains,2131716.69,755,2823.47,506.14,4994.31
Clothing,Senior Salesperson,Green Weekend Deals,2159114.15,782,2761.02,501.10,4999.98
Clothing,Senior Salesperson,Happy Hour Discounts,2024875.71,739,2740.02,507.81,4997.02
Clothing,Senior Salesperson,Holiday Shopping Rush,2083520.55,751,2774.33,503.29,4996.42
Clothing,Senior Salesperson,Hot Picks Promo,2111189.52,747,2826.22,525.98,4999.60
Clothing,Senior Salesperson,Instant Gratification Sale,2058296.06,703,2927.87,506.92,4998.85
Clothing,Senior Salesperson,Limited Time Treasures,2103508.37,778,2703.74,509.30,4999.81
Clothing,Senior Salesperson,Loyalty Rewards Blast,2117342.14,766,2764.15,507.26,4996.42
Clothing,Senior Salesperson,Mega Weekend Bonanza,1993316.00,725,2749.40,518.98,4975.54
Clothing,Senior Salesperson,Mid-Year Madness,2082945.01,768,2712.17,502.00,4991.48
Clothing,Senior Salesperson,Midnight Madness,2024810.03,738,2743.65,511.51,4997.93
Clothing,Senior Salesperson,Mystery Discount Days,2135969.67,754,2832.85,503.54,4993.88
Clothing,Senior Salesperson,New Arrival Showcase,2039880.97,733,2782.92,506.65,4996.95
Clothing,Senior Salesperson,New Product Launch Promo,1933929.84,698,2770.67,513.88,4988.38
Clothing,Senior Salesperson,New Year Kickoff,2063847.92,745,2770.27,500.45,4982.88
Clothing,Senior Salesperson,Price Drop Parade,2124974.84,775,2741.90,503.07,4999.68
Clothing,Senior Salesperson,Red Tag Clearance,1996455.48,727,2746.16,513.56,4999.45
Clothing,Senior Salesperson,Seasonal Surprise Box,2089049.76,753,2774.30,500.11,4996.55
Clothing,Senior Salesperson,Shop & Save Spectacular,2190392.40,779,2811.80,501.24,4992.80
Clothing,Senior Salesperson,Smart Shopper Week,1910839.14,704,2714.26,504.15,4999.86
Clothing,Senior Salesperson,Spring Refresh Event,2162191.82,790,2736.95,515.89,4996.02
Clothing,Senior Salesperson,Spring Splash Discounts,2004549.48,722,2776.38,500.46,4999.01
Clothing,Senior Salesperson,Summer Sizzle Promo,1923238.99,719,2674.88,504.25,4997.93
Clothing,Senior Salesperson,Super Savings Week,2070679.60,737,2809.61,510.99,4999.08
Clothing,Senior Salesperson,Ultimate Value Event,2050399.34,766,2676.76,500.07,4998.73
Clothing,Senior Salesperson,VIP Access Sale,2188799.56,787,2781.19,505.21,4999.71
Clothing,Senior Salesperson,Weekend Warrior Specials,2035176.25,747,2724.47,503.46,4998.52
Clothing,Senior Salesperson,Winter Clearance Carnival,2077652.36,754,2755.51,521.68,4998.41
Clothing,Senior Salesperson,Winter Wonders Sale,1988194.92,730,2723.55,520.80,4976.93
Electronics,Manager,12 Days of Deals,2099809.65,766,2741.27,512.48,4995.63
Electronics,Manager,Autumn Deals Drive,2245789.53,786,2857.24,511.25,4996.51
Electronics,Manager,BOGO Blitz,2263073.63,816,2773.37,501.56,4998.43
Electronics,Manager,Back to School Boost,2271548.24,856,2653.68,503.72,4994.40
Electronics,Manager,Birthday Bash Sale,2338817.82,844,2771.11,500.20,4993.29
Electronics,Manager,Black Friday Blowout,2307996.50,822,2807.78,501.86,4999.87
Electronics,Manager,Cart Crasher Campaign,2286937.20,811,2819.90,508.39,4996.42
Electronics,Manager,Cashback Carnival,2295801.13,855,2685.15,500.13,4998.33
Electronics,Manager,Clearance Countdown,2352999.78,861,2732.87,500.08,4991.97
Electronics,Manager,Countdown to Savings,2431139.62,855,2843.44,506.44,4995.30
Electronics,Manager,Customer Appreciation Week,2338248.67,846,2763.89,515.73,4996.51
Electronics,Manager,Cyber Monday Mania,2326000.03,841,2765.76,503.56,4990.57
Electronics,Manager,Deal of the Month,2195289.17,796,2757.90,501.76,4998.97
Electronics,Manager,Double Points Bonanza,2258266.72,803,2812.29,509.10,4978.35
Electronics,Manager,Early Bird Specials,2224246.53,811,2742.60,510.97,4976.66
Electronics,Manager,End of Season Sale,2278774.63,816,2792.62,504.05,4998.76
Electronics,Manager,Exclusive Insider Offers,2382790.27,867,2748.32,503.43,4999.75
Electronics,Manager,Festive Fever Promo,2278375.65,834,2731.87,500.64,4998.89
Electronics,Manager,Final Call Frenzy,2329338.27,853,2730.76,501.47,4992.32
Electronics,Manager,Flash Frenzy Friday,2219847.08,816,2720.40,508.02,4996.92
Electronics,Manager,"Gift More, Spend Less",2166818.88,799,2711.91,505.10,4992.20
Electronics,Manager,Golden Hour Bargains,2303565.22,854,2697.38,512.23,4995.98
Electronics,Manager,Green Weekend Deals,2210040.48,795,2779.93,503.08,4999.78
Electronics,Manager,Happy Hour Discounts,2244372.89,812,2764.01,503.77,4985.69
Electronics,Manager,Holiday Shopping Rush,2230946.12,805,2771.36,500.17,4989.60
Electronics,Manager,Hot Picks Promo,2263932.20,829,2730.92,506.70,4986.36
Electronics,Manager,Instant Gratification Sale,2426790.58,914,2655.13,508.08,4993.60
Electronics,Manager,Limited Time Treasures,2361944.11,846,2791.90,508.76,4999.11
Electronics,Manager,Loyalty Rewards Blast,2240097.31,832,2692.42,500.73,4996.70
Electronics,Manager,Mega Weekend Bonanza,2396666.75,884,2711.16,502.17,4999.15
Electronics,Manager,Mid-Year Madness,2187832.93,795,2751.99,501.40,4995.57
Electronics,Manager,Midnight Madness,2395214.95,867,2762.65,505.60,4998.66
Electronics,Manager,Mystery Discount Days,2359106.13,848,2781.96,501.23,4987.89
Electronics,Manager,New Arrival Showcase,2363449.45,845,2796.98,507.24,4999.20
Electronics,Manager,New Product Launch Promo,2317087.24,844,2745.36,501.76,4998.61
Electronics,Manager,New Year Kickoff,2393566.23,866,2763.93,504.17,4996.42
Electronics,Manager,Price Drop Parade,2117319.66,779,2718.00,500.55,4996.99
Electronics,Manager,Red Tag Clearance,2436745.12,878,2775.34,501.05,4977.15
Electronics,Manager,Seasonal Surprise Box,2239116.03,817,2740.66,525.64,4997.91
Electronics,Manager,Shop & Save Spectacular,2552460.56,923,2765.40,513.44,4997.54
Electronics,Manager,Smart Shopper Week,2203464.14,809,2723.69,509.76,4987.18
Electronics,Manager,Spring Refresh Event,2227825.25,807,2760.63,500.05,4997.36
Electronics,Manager,Spring Splash Discounts,2202752.59,804,2739.74,508.68,4994.80
Electronics,Manager,Summer Sizzle Promo,2121201.45,771,2751.23,501.20,4969.25
Electronics,Manager,Super Savings Week,2297372.64,827,2777.96,504.67,4983.91
Electronics,Manager,Ultimate Value Event,2361326.84,845,2794.47,509.32,4999.80
Electronics,Manager,VIP Access Sale,2359063.64,883,2671.65,525.24,4985.32
Electronics,Manager,Weekend Warrior Specials,2276954.50,817,2786.97,516.17,4979.11
Electronics,Manager,Winter Clearance Carnival,2444794.19,883,2768.74,502.18,4995.61
Electronics,Manager,Winter Wonders Sale,2277018.98,828,2750.02,503.19,4997.71
Electronics,Sales Associate,12 Days of Deals,2330984.70,836,2788.26,502.99,4999.82
Electronics,Sales Associate,Autumn Deals Drive,2539939.79,902,2815.90,501.19,4995.33
Electronics,Sales Associate,BOGO Blitz,2402158.14,893,2689.99,501.85,4997.66
Electronics,Sales Associate,Back to School Boost,2375826.42,877,2709.04,501.01,4994.30
Electronics,Sales Associate,Birthday Bash Sale,2365803.44,860,2750.93,501.02,4999.90
Electronics,Sales Associate,Black Friday Blowout,2284073.06,849,2690.31,500.70,4990.87
Electronics,Sales Associate,Cart Crasher Campaign,2326934.56,849,2740.79,502.87,4995.09
Electronics,Sales Associate,Cashback Carnival,2434855.83,875,2782.69,500.55,4994.18
Electronics,Sales Associate,Clearance Countdown,2488414.67,910,2734.52,502.39,4998.92
Electronics,Sales Associate,Countdown to Savings,2357102.47,869,2712.43,500.60,4989.61
Electronics,Sales Associate,Customer Appreciation Week,2456014.08,904,2716.83,504.71,4991.30
Electronics,Sales Associate,Cyber Monday Mania,2464540.10,877,2810.19,508.49,4984.62
Electronics,Sales Associate,Deal of the Month,2419335.50,890,2718.35,504.69,4997.93
Electronics,Sales Associate,Double Points Bonanza,2340070.69,850,2753.02,500.48,4997.47
Electronics,Sales Associate,Early Bird Specials,2483665.69,912,2723.32,505.82,4977.50
Electronics,Sales Associate,End of Season Sale,2328516.93,871,2673.38,501.39,4998.09
Electronics,Sales Associate,Exclusive Insider Offers,2430899.91,899,2704.00,514.36,4993.72
Electronics,Sales Associate,Festive Fever Promo,2561568.34,940,2725.07,503.82,4994.70
Electronics,Sales Associate,Final Call Frenzy,2391424.27,855,2796.99,501.57,4999.96
Electronics,Sales Associate,Flash Frenzy Friday,2253245.57,840,2682.44,504.09,4999.95
Electronics,Sales Associate,"Gift More, Spend Less",2531114.04,908,2787.57,506.16,4993.33
Electronics,Sales Associate,Golden Hour Bargains,2319172.43,852,2722.03,502.34,4977.35
Electronics,Sales Associate,Green Weekend Deals,2464222.87,898,2744.12,506.72,4999.77
Electronics,Sales Associate,Happy Hour Discounts,2362326.50,857,2756.51,515.98,4992.74
Electronics,Sales Associate,Holiday Shopping Rush,2332927.28,848,2751.09,509.01,4992.01
Electronics,Sales Associate,Hot Picks Promo,2399273.57,884,2714.11,502.73,4995.49
Electronics,Sales Associate,Instant Gratification Sale,2369285.26,863,2745.41,508.23,4998.49
Electronics,Sales Associate,Limited Time Treasures,2504448.41,890,2813.99,502.69,4985.29
Electronics,Sales Associate,Loyalty Rewards Blast,2489983.92,913,2727.26,515.91,4992.76
Electronics,Sales Associate,Mega Weekend Bonanza,2537329.05,906,2800.58,504.06,4993.46
Electronics,Sales Associate,Mid-Year Madness,2345096.13,851,2755.69,500.72,4999.11
Electronics,Sales Associate,Midnight Madness,2461548.09,900,2735.05,505.99,4998.11
Electronics,Sales Associate,Mystery Discount Days,2655153.26,924,2873.54,500.77,4995.07
Electronics,Sales Associate,New Arrival Showcase,2451037.25,872,2810.82,504.98,4999.95
Electronics,Sales Associate,New Product Launch Promo,2513982.80,932,2697.41,500.19,4995.68
Electronics,Sales Associate,New Year Kickoff,2567683.58,935,2746.19,503.50,4999.63
Electronics,Sales Associate,Price Drop Parade,2232792.82,837,2667.61,505.19,4998.12
Electronics,Sales Associate,Red Tag Clearance,2194577.87,817,2686.14,501.03,4993.50
Electronics,Sales Associate,Seasonal Surprise Box,2294275.78,830,2764.19,500.70,4989.80
Electronics,Sales Associate,Shop & Save Spectacular,2226734.66,818,2722.17,502.39,4992.95
Electronics,Sales Associate,Smart Shopper Week,2486240.42,895,2777.92,512.23,4999.77
Electronics,Sales Associate,Spring Refresh Event,2311693.74,854,2706.90,514.26,4999.83
Electronics,Sales Associate,Spring Splash Discounts,2457235.04,877,2801.86,504.23,4999.08
Electronics,Sales Associate,Summer Sizzle Promo,2331747.62,849,2746.46,501.26,4995.70
Electronics,Sales Associate,Super Savings Week,2489202.38,882,2822.22,505.74,4995.51
Electronics,Sales Associate,Ultimate Value Event,2637079.06,949,2778.80,506.64,4999.13
Electronics,Sales Associate,VIP Access Sale,2532121.22,899,2816.60,502.59,4996.84
Electronics,Sales Associate,Weekend Warrior Specials,2508621.04,913,2747.67,510.23,4991.20
Electronics,Sales Associate,Winter Clearance Carnival,2511664.94,904,2778.39,501.55,4991.72
Electronics,Sales Associate,Winter Wonders Sale,2217444.44,844,2627.30,501.34,4996.43
Electronics,Salesperson,12 Days of Deals,2330815.60,866,2691.47,513.28,4990.97
Electronics,Salesperson,Autumn Deals Drive,2351449.44,844,2786.08,500.20,4991.64
Electronics,Salesperson,BOGO Blitz,2397164.12,864,2774.50,505.45,4998.29
Electronics,Salesperson,Back to School Boost,2346442.35,865,2712.65,507.63,4982.40
Electronics,Salesperson,Birthday Bash Sale,2276560.61,819,2779.68,502.96,4999.64
Electronics,Salesperson,Black Friday Blowout,2397903.17,881,2721.80,502.51,4998.59
Electronics,Salesperson,Cart Crasher Campaign,2608488.99,937,2783.87,503.57,4998.84
Electronics,Salesperson,Cashback Carnival,2318768.64,848,2734.40,509.79,4995.33
Electronics,Salesperson,Clearance Countdown,2367689.39,877,2699.76,503.09,4994.64
Electronics,Salesperson,Countdown to Savings,2394163.95,882,2714.47,501.91,4985.72
Electronics,Salesperson,Customer Appreciation Week,2407097.56,877,2744.70,508.00,4998.63
Electronics,Salesperson,Cyber Monday Mania,2444655.86,892,2740.65,504.82,4999.50
Electronics,Salesperson,Deal of the Month,2332392.94,862,2705.79,502.25,4999.96
Electronics,Salesperson,Double Points Bonanza,2384943.68,890,2679.71,500.80,4998.12
Electronics,Salesperson,Early Bird Specials,2377110.97,876,2713.60,502.05,4995.63
Electronics,Salesperson,End of Season Sale,2322222.08,840,2764.55,504.36,4997.26
Electronics,Salesperson,Exclusive Insider Offers,2563210.39,914,2804.39,507.60,4991.10
Electronics,Salesperson,Festive Fever Promo,2266774.96,833,2721.22,501.00,4995.38
Electronics,Salesperson,Final Call Frenzy,2327528.95,851,2735.05,500.25,4998.53
Electronics,Salesperson,Flash Frenzy Friday,2326187.88,839,2772.57,505.51,4996.64
