category,brand,customer_segment,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Online Shopper,Senior Salesperson,2030850.49,758,2679.22,500.11,4990.27
Clothing,Adidas,Premium Shopper,Manager,2221876.46,802,2770.42,506.98,4987.39
Clothing,Adidas,Premium Shopper,Sales Associate,2334060.77,846,2758.94,500.83,4999.76
Clothing,Adidas,Premium Shopper,Salesperson,2468830.20,898,2749.25,511.13,4985.65
Clothing,Adidas,Premium Shopper,Senior Salesperson,1819054.70,681,2671.15,502.29,4989.39
Clothing,Levi's,Budget Shopper,Manager,2270228.23,813,2792.41,504.62,4991.32
Clothing,Levi's,Budget Shopper,Sales Associate,2432881.04,915,2658.89,501.09,4996.69
Clothing,Levi's,Budget Shopper,Salesperson,2163144.24,801,2700.55,516.12,4992.48
Clothing,Levi's,Budget Shopper,Senior Salesperson,2277163.28,803,2835.82,505.15,4996.92
Clothing,Levi's,Churn Risk,Manager,2458654.83,887,2771.88,500.17,4995.43
Clothing,Levi's,Churn Risk,Sales Associate,2508320.95,920,2726.44,501.38,4987.56
Clothing,Levi's,Churn Risk,Salesperson,2379443.72,857,2776.48,506.96,4996.75
Clothing,Levi's,Churn Risk,Senior Salesperson,2221140.61,812,2735.39,504.15,4997.36
Clothing,Levi's,Deal Seeker,Manager,2382772.09,859,2773.89,514.47,4998.11
Clothing,Levi's,Deal Seeker,Sales Associate,2434650.02,906,2687.25,501.70,4988.14
Clothing,Levi's,Deal Seeker,Salesperson,2565654.74,925,2773.68,502.63,4998.97
Clothing,Levi's,Deal Seeker,Senior Salesperson,2060766.29,750,2747.69,502.02,4960.57
Clothing,Levi's,First-time Buyer,Manager,2308564.39,839,2751.57,500.37,4996.53
Clothing,Levi's,First-time Buyer,Sales Associate,2369811.45,855,2771.71,500.27,4987.49
Clothing,Levi's,First-time Buyer,Salesperson,2434294.01,880,2766.24,502.13,4996.15
Clothing,Levi's,First-time Buyer,Senior Salesperson,2228787.18,780,2857.42,509.56,4993.74
Clothing,Levi's,High Value,Manager,2312496.13,844,2739.92,510.90,4990.21
Clothing,Levi's,High Value,Sales Associate,2463654.30,887,2777.51,501.71,4999.26
Clothing,Levi's,High Value,Salesperson,2407513.77,864,2786.47,513.09,4976.47
Clothing,Levi's,High Value,Senior Salesperson,1921764.04,714,2691.55,514.01,4993.83
Clothing,Levi's,In-Store Regular,Manager,2256590.06,822,2745.24,501.02,4999.21
Clothing,Levi's,In-Store Regular,Sales Associate,2579165.50,928,2779.27,500.60,4999.49
Clothing,Levi's,In-Store Regular,Salesperson,2247184.40,827,2717.27,504.55,4997.25
Clothing,Levi's,In-Store Regular,Senior Salesperson,2135446.06,768,2780.53,502.23,4989.84
Clothing,Levi's,Loyal Customer,Manager,2253532.30,817,2758.30,502.97,4982.90
Clothing,Levi's,Loyal Customer,Sales Associate,2416134.25,876,2758.14,508.09,4999.85
Clothing,Levi's,Loyal Customer,Salesperson,2400514.05,872,2752.88,501.94,4999.97
Clothing,Levi's,Loyal Customer,Senior Salesperson,2070424.47,750,2760.57,503.91,4996.66
Clothing,Levi's,Occasional Shopper,Manager,2194595.75,817,2686.16,521.34,4978.14
Clothing,Levi's,Occasional Shopper,Sales Associate,2465768.59,916,2691.89,501.31,4991.37
Clothing,Levi's,Occasional Shopper,Salesperson,2368272.08,863,2744.23,501.79,4992.74
Clothing,Levi's,Occasional Shopper,Senior Salesperson,2030294.81,743,2732.56,509.30,4994.57
Clothing,Levi's,Online Shopper,Manager,2299661.02,844,2724.72,501.14,4996.33
Clothing,Levi's,Online Shopper,Sales Associate,2390905.61,866,2760.86,500.12,4992.50
Clothing,Levi's,Online Shopper,Salesperson,2521068.00,896,2813.69,510.92,4985.08
Clothing,Levi's,Online Shopper,Senior Salesperson,2205711.47,792,2784.99,507.39,4999.60
Clothing,Levi's,Premium Shopper,Manager,2237510.84,801,2793.40,500.17,4960.70
Clothing,Levi's,Premium Shopper,Sales Associate,2274158.67,845,2691.31,501.18,4987.96
Clothing,Levi's,Premium Shopper,Salesperson,2471871.11,891,2774.27,507.09,4998.56
Clothing,Levi's,Premium Shopper,Senior Salesperson,1926342.60,721,2671.77,507.23,4996.42
Clothing,Nike,Budget Shopper,Manager,2320598.66,837,2772.52,501.91,4999.12
Clothing,Nike,Budget Shopper,Sales Associate,2577968.48,926,2783.98,502.91,4991.80
Clothing,Nike,Budget Shopper,Salesperson,2428794.50,879,2763.13,505.48,4993.22
Clothing,Nike,Budget Shopper,Senior Salesperson,2179415.90,781,2790.55,520.90,4999.08
Clothing,Nike,Churn Risk,Manager,2329193.68,844,2759.71,508.53,4998.22
Clothing,Nike,Churn Risk,Sales Associate,2283888.86,852,2680.62,509.47,4990.46
Clothing,Nike,Churn Risk,Salesperson,2544024.01,922,2759.25,500.82,4999.04
Clothing,Nike,Churn Risk,Senior Salesperson,1996612.47,742,2690.85,501.92,4998.85
Clothing,Nike,Deal Seeker,Manager,2287699.23,849,2694.58,500.55,4997.10
Clothing,Nike,Deal Seeker,Sales Associate,2516848.52,911,2762.73,500.14,4996.06
Clothing,Nike,Deal Seeker,Salesperson,2237367.21,869,2574.65,503.83,4996.75
Clothing,Nike,Deal Seeker,Senior Salesperson,2004355.21,730,2745.69,501.15,4997.93
Clothing,Nike,First-time Buyer,Manager,2210449.97,811,2725.59,501.63,4992.45
Clothing,Nike,First-time Buyer,Sales Associate,2386275.47,875,2727.17,518.90,4997.09
Clothing,Nike,First-time Buyer,Salesperson,2407111.80,869,2769.98,504.14,4998.86
Clothing,Nike,First-time Buyer,Senior Salesperson,2084754.14,738,2824.87,504.72,4998.40
Clothing,Nike,High Value,Manager,2307275.01,825,2796.70,501.90,4999.11
Clothing,Nike,High Value,Sales Associate,2417850.78,865,2795.20,500.77,4999.95
Clothing,Nike,High Value,Salesperson,2370987.21,844,2809.23,501.48,4988.91
Clothing,Nike,High Value,Senior Salesperson,2164643.59,785,2757.51,502.52,4997.27
Clothing,Nike,In-Store Regular,Manager,2428159.71,867,2800.65,505.91,4993.71
Clothing,Nike,In-Store Regular,Sales Associate,2360434.66,864,2731.98,502.32,4998.76
Clothing,Nike,In-Store Regular,Salesperson,2508618.66,904,2775.02,506.75,4999.33
Clothing,Nike,In-Store Regular,Senior Salesperson,1899664.74,717,2649.46,503.23,4998.73
Clothing,Nike,Loyal Customer,Manager,2300332.74,813,2829.44,506.69,4997.89
Clothing,Nike,Loyal Customer,Sales Associate,2525297.84,904,2793.47,504.07,4997.47
Clothing,Nike,Loyal Customer,Salesperson,2532238.89,916,2764.45,502.19,4998.67
Clothing,Nike,Loyal Customer,Senior Salesperson,2150314.76,782,2749.76,501.58,4993.88
Clothing,Nike,Occasional Shopper,Manager,2330376.32,861,2706.59,501.20,4999.75
Clothing,Nike,Occasional Shopper,Sales Associate,2591654.52,907,2857.39,501.25,4992.01
Clothing,Nike,Occasional Shopper,Salesperson,2331945.04,858,2717.88,502.13,4999.19
Clothing,Nike,Occasional Shopper,Senior Salesperson,2080266.70,760,2737.19,500.65,4990.29
Clothing,Nike,Online Shopper,Manager,2056792.67,751,2738.74,501.71,4993.54
Clothing,Nike,Online Shopper,Sales Associate,2551937.60,915,2789.00,502.80,4992.25
Clothing,Nike,Online Shopper,Salesperson,2335583.43,830,2813.96,500.43,4996.67
Clothing,Nike,Online Shopper,Senior Salesperson,2147952.36,755,2844.97,500.29,4998.41
Clothing,Nike,Premium Shopper,Manager,2360149.13,841,2806.36,504.47,4993.48
Clothing,Nike,Premium Shopper,Sales Associate,2421780.87,882,2745.78,500.72,4996.89
Clothing,Nike,Premium Shopper,Salesperson,2320953.61,846,2743.44,506.18,4997.81
Clothing,Nike,Premium Shopper,Senior Salesperson,2047014.31,735,2785.05,503.54,4993.60
Clothing,Puma,Budget Shopper,Manager,2212317.12,796,2779.29,504.90,4993.20
Clothing,Puma,Budget Shopper,Sales Associate,2348180.03,858,2736.81,514.18,4999.85
Clothing,Puma,Budget Shopper,Salesperson,2415929.83,854,2828.96,502.32,4999.17
Clothing,Puma,Budget Shopper,Senior Salesperson,2003430.26,743,2696.41,521.85,4998.97
Clothing,Puma,Churn Risk,Manager,2190536.26,816,2684.48,503.81,4998.56
Clothing,Puma,Churn Risk,Sales Associate,2303193.62,849,2712.83,500.57,4995.99
Clothing,Puma,Churn Risk,Salesperson,2177026.86,816,2667.93,506.85,4990.32
Clothing,Puma,Churn Risk,Senior Salesperson,2107258.65,750,2809.68,513.39,4997.16
Clothing,Puma,Deal Seeker,Manager,2423099.50,855,2834.03,500.97,4998.00
Clothing,Puma,Deal Seeker,Sales Associate,2342469.38,854,2742.94,504.07,4978.78
Clothing,Puma,Deal Seeker,Salesperson,2478743.34,906,2735.92,506.16,4997.64
Clothing,Puma,Deal Seeker,Senior Salesperson,2171575.01,788,2755.81,500.07,4999.01
Clothing,Puma,First-time Buyer,Manager,2044061.67,762,2682.50,503.57,4999.40
Clothing,Puma,First-time Buyer,Sales Associate,2480252.07,893,2777.44,502.20,4999.23
Clothing,Puma,First-time Buyer,Salesperson,2273622.56,839,2709.92,504.68,4998.11
Clothing,Puma,First-time Buyer,Senior Salesperson,2111523.31,741,2849.56,506.01,4999.98
Clothing,Puma,High Value,Manager,2368294.85,870,2722.18,500.82,4992.59
Clothing,Puma,High Value,Sales Associate,2367257.31,863,2743.06,503.43,4997.99
Clothing,Puma,High Value,Salesperson,2301277.93,844,2726.63,506.40,4998.14
Clothing,Puma,High Value,Senior Salesperson,1954896.22,718,2722.70,500.45,4983.63
Clothing,Puma,In-Store Regular,Manager,2121333.68,778,2726.65,511.59,4998.51
Clothing,Puma,In-Store Regular,Sales Associate,2435241.05,888,2742.39,501.78,4985.05
Clothing,Puma,In-Store Regular,Salesperson,2311728.80,831,2781.86,501.80,4998.12
Clothing,Puma,In-Store Regular,Senior Salesperson,2177381.63,773,2816.79,500.74,4998.89
Clothing,Puma,Loyal Customer,Manager,2271615.23,828,2743.50,507.32,4997.42
Clothing,Puma,Loyal Customer,Sales Associate,2401740.89,898,2674.54,500.18,4995.44
Clothing,Puma,Loyal Customer,Salesperson,2298749.13,847,2713.99,502.12,4996.71
Clothing,Puma,Loyal Customer,Senior Salesperson,2115782.04,770,2747.77,513.18,4999.68
Clothing,Puma,Occasional Shopper,Manager,2378158.50,844,2817.72,503.87,4994.72
Clothing,Puma,Occasional Shopper,Sales Associate,2483526.30,901,2756.41,503.74,4994.01
Clothing,Puma,Occasional Shopper,Salesperson,2647713.56,938,2822.72,506.19,4997.50
Clothing,Puma,Occasional Shopper,Senior Salesperson,2060534.51,748,2754.73,502.57,4997.93
Clothing,Puma,Online Shopper,Manager,2342510.34,854,2742.99,503.51,4988.81
Clothing,Puma,Online Shopper,Sales Associate,2348797.05,858,2737.53,503.61,4999.45
Clothing,Puma,Online Shopper,Salesperson,2293560.93,838,2736.95,500.66,4995.81
Clothing,Puma,Online Shopper,Senior Salesperson,2123366.28,776,2736.30,505.21,4998.52
Clothing,Puma,Premium Shopper,Manager,2332873.31,846,2757.53,502.77,4997.57
Clothing,Puma,Premium Shopper,Sales Associate,2385571.02,843,2829.86,501.68,4997.08
Clothing,Puma,Premium Shopper,Salesperson,2289114.79,836,2738.18,505.48,4998.60
Clothing,Puma,Premium Shopper,Senior Salesperson,2148019.21,770,2789.64,500.07,4991.40
Clothing,Zara,Budget Shopper,Manager,2307171.34,843,2736.86,502.21,4997.51
Clothing,Zara,Budget Shopper,Sales Associate,2418599.48,874,2767.28,502.76,4995.86
Clothing,Zara,Budget Shopper,Salesperson,2434102.01,877,2775.49,507.94,4978.73
Clothing,Zara,Budget Shopper,Senior Salesperson,2040880.91,738,2765.42,503.90,4989.56
Clothing,Zara,Churn Risk,Manager,2242193.48,806,2781.88,505.77,4998.58
Clothing,Zara,Churn Risk,Sales Associate,2548772.00,930,2740.62,506.20,4999.91
Clothing,Zara,Churn Risk,Salesperson,2393977.92,865,2767.60,504.24,4999.45
Clothing,Zara,Churn Risk,Senior Salesperson,2005041.36,753,2662.74,502.44,4997.29
Clothing,Zara,Deal Seeker,Manager,2293354.48,832,2756.44,501.71,4997.09
Clothing,Zara,Deal Seeker,Sales Associate,2339553.53,860,2720.41,502.48,4987.56
Clothing,Zara,Deal Seeker,Salesperson,2327765.07,860,2706.70,508.35,4996.18
Clothing,Zara,Deal Seeker,Senior Salesperson,2027311.70,746,2717.58,505.75,4999.81
Clothing,Zara,First-time Buyer,Manager,2170674.11,788,2754.66,500.46,4997.75
Clothing,Zara,First-time Buyer,Sales Associate,2377166.91,858,2770.59,502.03,4991.65
Clothing,Zara,First-time Buyer,Salesperson,2387240.94,848,2815.14,503.85,4999.82
Clothing,Zara,First-time Buyer,Senior Salesperson,2186717.32,757,2888.66,501.24,4999.45
Clothing,Zara,High Value,Manager,2249080.82,818,2749.49,508.62,4990.41
Clothing,Zara,High Value,Sales Associate,2421975.25,892,2715.22,506.06,4997.54
Clothing,Zara,High Value,Salesperson,2256498.36,825,2735.15,501.00,4999.73
Clothing,Zara,High Value,Senior Salesperson,2071257.64,754,2747.03,507.81,4999.71
Clothing,Zara,In-Store Regular,Manager,2245728.88,820,2738.69,507.31,4989.78
Clothing,Zara,In-Store Regular,Sales Associate,2268035.55,822,2759.17,506.82,4995.99
Clothing,Zara,In-Store Regular,Salesperson,2154842.17,803,2683.49,503.25,4999.80
Clothing,Zara,In-Store Regular,Senior Salesperson,2055523.76,726,2831.30,506.92,4992.47
Clothing,Zara,Loyal Customer,Manager,2301922.47,840,2740.38,503.15,4993.23
Clothing,Zara,Loyal Customer,Sales Associate,2423233.26,873,2775.75,501.59,4989.71
Clothing,Zara,Loyal Customer,Salesperson,2344972.33,859,2729.89,500.50,4971.67
Clothing,Zara,Loyal Customer,Senior Salesperson,2028839.78,738,2749.11,504.72,4998.42
Clothing,Zara,Occasional Shopper,Manager,2194538.73,807,2719.38,525.36,4985.44
Clothing,Zara,Occasional Shopper,Sales Associate,2518237.59,891,2826.30,502.82,4993.90
Clothing,Zara,Occasional Shopper,Salesperson,2367755.36,849,2788.88,502.01,4990.92
Clothing,Zara,Occasional Shopper,Senior Salesperson,2039229.11,750,2718.97,501.28,4999.06
Clothing,Zara,Online Shopper,Manager,2517665.14,910,2766.66,502.39,4980.41
Clothing,Zara,Online Shopper,Sales Associate,2477436.69,891,2780.51,503.34,4995.75
Clothing,Zara,Online Shopper,Salesperson,2448605.47,887,2760.55,500.93,4994.87
Clothing,Zara,Online Shopper,Senior Salesperson,2010134.89,717,2803.54,510.34,4981.56
Clothing,Zara,Premium Shopper,Manager,2251441.36,830,2712.58,500.32,4997.25
Clothing,Zara,Premium Shopper,Sales Associate,2255112.42,821,2746.79,505.57,4995.02
Clothing,Zara,Premium Shopper,Salesperson,2149595.43,814,2640.78,509.09,4999.44
Clothing,Zara,Premium Shopper,Senior Salesperson,2029958.75,721,2815.48,504.23,4993.08
Electronics,Apple,Budget Shopper,Manager,2324314.18,843,2757.19,501.68,4986.36
Electronics,Apple,Budget Shopper,Sales Associate,2467194.52,885,2787.79,504.53,4995.51
Electronics,Apple,Budget Shopper,Salesperson,2436361.26,888,2743.65,518.31,4979.75
Electronics,Apple,Budget Shopper,Senior Salesperson,1992945.91,728,2737.56,504.78,4991.42
Electronics,Apple,Churn Risk,Manager,2315586.85,838,2763.23,514.59,4994.08
Electronics,Apple,Churn Risk,Sales Associate,2374940.56,861,2758.35,500.60,4991.11
Electronics,Apple,Churn Risk,Salesperson,2436739.42,897,2716.54,511.88,4980.20
Electronics,Apple,Churn Risk,Senior Salesperson,1944526.03,733,2652.83,502.32,4994.23
Electronics,Apple,Deal Seeker,Manager,2411470.97,843,2860.58,511.39,4997.32
Electronics,Apple,Deal Seeker,Sales Associate,2351560.63,883,2663.15,502.34,4999.77
Electronics,Apple,Deal Seeker,Salesperson,2431591.62,880,2763.17,509.00,4997.50
Electronics,Apple,Deal Seeker,Senior Salesperson,1984796.79,739,2685.79,513.31,4994.22
Electronics,Apple,First-time Buyer,Manager,2386638.09,844,2827.77,506.67,4999.20
Electronics,Apple,First-time Buyer,Sales Associate,2381053.89,878,2711.91,511.37,4997.68
Electronics,Apple,First-time Buyer,Salesperson,2405712.59,869,2768.37,505.11,4999.96
Electronics,Apple,First-time Buyer,Senior Salesperson,1891610.42,686,2757.45,509.94,4991.91
Electronics,Apple,High Value,Manager,2153116.52,796,2704.92,500.64,4989.38
Electronics,Apple,High Value,Sales Associate,2343066.82,857,2734.03,501.26,4989.79
Electronics,Apple,High Value,Salesperson,2352344.09,859,2738.47,505.64,4999.52
Electronics,Apple,High Value,Senior Salesperson,2150568.64,793,2711.94,503.12,4998.48
Electronics,Apple,In-Store Regular,Manager,2227309.69,805,2766.84,501.20,4996.42
Electronics,Apple,In-Store Regular,Sales Associate,2356034.09,855,2755.60,501.01,4997.96
Electronics,Apple,In-Store Regular,Salesperson,2376306.86,860,2763.15,500.25,4998.63
Electronics,Apple,In-Store Regular,Senior Salesperson,2138542.31,790,2707.02,526.19,4999.96
Electronics,Apple,Loyal Customer,Manager,2245046.64,815,2754.66,509.43,4999.80
Electronics,Apple,Loyal Customer,Sales Associate,2317313.35,834,2778.55,508.55,4991.67
Electronics,Apple,Loyal Customer,Salesperson,2459965.46,880,2795.42,504.97,4999.83
Electronics,Apple,Loyal Customer,Senior Salesperson,1963116.72,706,2780.62,508.20,4995.40
Electronics,Apple,Occasional Shopper,Manager,2298079.27,853,2694.11,512.06,4989.20
Electronics,Apple,Occasional Shopper,Sales Associate,2492891.03,898,2776.05,500.55,4997.93
Electronics,Apple,Occasional Shopper,Salesperson,2484585.47,887,2801.11,509.83,4996.32
Electronics,Apple,Occasional Shopper,Senior Salesperson,2073875.52,742,2794.98,500.26,4997.26
Electronics,Apple,Online Shopper,Manager,2314886.36,838,2762.39,512.23,4998.93
Electronics,Apple,Online Shopper,Sales Associate,2305873.31,842,2738.57,500.70,4996.98
Electronics,Apple,Online Shopper,Salesperson,2429289.29,902,2693.23,501.00,4998.84
Electronics,Apple,Online Shopper,Senior Salesperson,2047854.28,744,2752.49,511.01,4997.20
Electronics,Apple,Premium Shopper,Manager,2237989.37,819,2732.59,504.05,4995.98
Electronics,Apple,Premium Shopper,Sales Associate,2312603.13,853,2711.14,502.69,4995.38
Electronics,Apple,Premium Shopper,Salesperson,2453008.94,893,2746.93,503.41,4991.96
Electronics,Apple,Premium Shopper,Senior Salesperson,2037475.43,742,2745.92,510.56,4996.76
Electronics,LG,Budget Shopper,Manager,2021636.68,757,2670.59,518.24,4996.41
Electronics,LG,Budget Shopper,Sales Associate,2511779.21,925,2715.44,504.53,4989.82
Electronics,LG,Budget Shopper,Salesperson,2409798.49,872,2763.53,502.26,4997.22
Electronics,LG,Budget Shopper,Senior Salesperson,2093333.29,749,2794.84,510.44,4994.95
Electronics,LG,Churn Risk,Manager,2351141.96,846,2779.13,500.17,4995.63
Electronics,LG,Churn Risk,Sales Associate,2563135.74,922,2779.97,510.29,4996.70
Electronics,LG,Churn Risk,Salesperson,2455180.36,881,2786.81,504.33,4994.07
Electronics,LG,Churn Risk,Senior Salesperson,2109243.87,773,2728.65,501.34,4993.63
Electronics,LG,Deal Seeker,Manager,2341871.84,845,2771.45,504.17,4994.40
Electronics,LG,Deal Seeker,Sales Associate,2342935.41,873,2683.77,506.14,4997.66
Electronics,LG,Deal Seeker,Salesperson,2467625.88,880,2804.12,502.12,4991.97
Electronics,LG,Deal Seeker,Senior Salesperson,2151029.90,759,2834.03,515.47,4998.59
Electronics,LG,First-time Buyer,Manager,2332252.52,855,2727.78,501.40,4994.32
Electronics,LG,First-time Buyer,Sales Associate,2389590.01,857,2788.32,500.75,4999.11
Electronics,LG,First-time Buyer,Salesperson,2478235.85,904,2741.41,520.47,4999.20
Electronics,LG,First-time Buyer,Senior Salesperson,2004143.17,739,2711.97,504.53,4999.02
Electronics,LG,High Value,Manager,2304198.13,832,2769.47,501.39,4996.53
Electronics,LG,High Value,Sales Associate,2307240.18,834,2766.48,500.70,4999.77
Electronics,LG,High Value,Salesperson,2432257.85,879,2767.07,502.05,4997.26
Electronics,LG,High Value,Senior Salesperson,2125831.19,743,2861.15,504.82,4999.45
Electronics,LG,In-Store Regular,Manager,2119104.30,764,2773.70,501.76,4998.70
Electronics,LG,In-Store Regular,Sales Associate,2499858.82,899,2780.71,506.54,4990.49
Electronics,LG,In-Store Regular,Salesperson,2315070.82,841,2752.76,504.72,4994.64
Electronics,LG,In-Store Regular,Senior Salesperson,1965138.11,725,2710.54,519.44,4999.09
Electronics,LG,Loyal Customer,Manager,2326943.87,868,2680.81,503.19,4995.58
Electronics,LG,Loyal Customer,Sales Associate,2297475.72,847,2712.49,504.23,4967.51
Electronics,LG,Loyal Customer,Salesperson,2440278.75,905,2696.44,502.74,4993.14
Electronics,LG,Loyal Customer,Senior Salesperson,1977169.99,720,2746.07,504.25,4989.80
Electronics,LG,Occasional Shopper,Manager,2291494.88,837,2737.75,512.70,4998.42
Electronics,LG,Occasional Shopper,Sales Associate,2391238.20,878,2723.51,501.39,4994.18
Electronics,LG,Occasional Shopper,Salesperson,2312326.65,832,2779.24,529.86,4993.30
Electronics,LG,Occasional Shopper,Senior Salesperson,2076070.45,757,2742.50,501.06,4997.14
Electronics,LG,Online Shopper,Manager,2285787.01,823,2777.38,502.18,4990.57
Electronics,LG,Online Shopper,Sales Associate,2356180.19,855,2755.77,527.82,4996.84
Electronics,LG,Online Shopper,Salesperson,2290988.75,826,2773.59,502.51,4990.57
Electronics,LG,Online Shopper,Senior Salesperson,2172914.98,791,2747.05,503.23,4996.28
Electronics,LG,Premium Shopper,Manager,2328743.38,848,2746.16,527.38,4985.32
Electronics,LG,Premium Shopper,Sales Associate,2612035.35,947,2758.22,505.99,4997.79
Electronics,LG,Premium Shopper,Salesperson,2455871.33,881,2787.60,519.96,4996.89
Electronics,LG,Premium Shopper,Senior Salesperson,2005092.84,701,2860.33,504.90,4995.82
Electronics,Panasonic,Budget Shopper,Manager,2334215.54,831,2808.92,503.08,4998.61
Electronics,Panasonic,Budget Shopper,Sales Associate,2307978.33,827,2790.78,505.86,4998.92
Electronics,Panasonic,Budget Shopper,Salesperson,2330234.50,834,2794.05,500.80,4999.40
Electronics,Panasonic,Budget Shopper,Senior Salesperson,2018847.21,728,2773.14,500.59,4995.54
Electronics,Panasonic,Churn Risk,Manager,2366693.33,852,2777.81,501.05,4997.13
Electronics,Panasonic,Churn Risk,Sales Associate,2411450.13,878,2746.53,501.57,4996.82
Electronics,Panasonic,Churn Risk,Salesperson,2428631.96,878,2766.10,500.20,4999.64
Electronics,Panasonic,Churn Risk,Senior Salesperson,2035592.69,744,2736.01,502.31,4987.21
Electronics,Panasonic,Deal Seeker,Manager,2403916.18,871,2759.95,508.52,4999.75
Electronics,Panasonic,Deal Seeker,Sales Associate,2408139.80,878,2742.76,504.48,4987.95
Electronics,Panasonic,Deal Seeker,Salesperson,2464038.39,867,2842.03,500.49,4998.59
Electronics,Panasonic,Deal Seeker,Senior Salesperson,2052240.76,764,2686.18,500.14,4996.66
Electronics,Panasonic,First-time Buyer,Manager,2177903.77,786,2770.87,503.56,4999.78
Electronics,Panasonic,First-time Buyer,Sales Associate,2407550.44,898,2681.01,510.13,4999.90
Electronics,Panasonic,First-time Buyer,Salesperson,2372389.97,873,2717.51,507.16,4999.67
Electronics,Panasonic,First-time Buyer,Senior Salesperson,2137944.65,771,2772.95,504.47,4996.10
Electronics,Panasonic,High Value,Manager,2263227.52,821,2756.67,503.72,4990.51
Electronics,Panasonic,High Value,Sales Associate,2549912.98,935,2727.18,502.39,4993.18
Electronics,Panasonic,High Value,Salesperson,2378244.17,872,2727.34,505.63,4996.64
Electronics,Panasonic,High Value,Senior Salesperson,2068769.86,735,2814.65,518.76,4998.89
Electronics,Panasonic,In-Store Regular,Manager,2201340.80,815,2701.03,501.86,4994.22
Electronics,Panasonic,In-Store Regular,Sales Associate,2504497.34,913,2743.15,514.36,4999.60
Electronics,Panasonic,In-Store Regular,Salesperson,2500071.59,915,2732.32,507.31,4994.43
Electronics,Panasonic,In-Store Regular,Senior Salesperson,2313262.64,828,2793.80,502.83,4999.96
Electronics,Panasonic,Loyal Customer,Manager,2300314.21,829,2774.81,500.20,4997.54
Electronics,Panasonic,Loyal Customer,Sales Associate,2419133.15,896,2699.93,523.11,4992.01
Electronics,Panasonic,Loyal Customer,Salesperson,2409392.79,871,2766.24,502.12,4990.97
