category,customer_segment,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Deal Seeker,Limited Time Treasures,906919.87,333,2723.48,501.46,4999.81
Clothing,Deal Seeker,Loyalty Rewards Blast,1007132.33,363,2774.47,505.10,4985.45
Clothing,Deal Seeker,Mega Weekend Bonanza,898204.32,322,2789.45,520.09,4987.76
Clothing,Deal Seeker,Mid-Year Madness,892269.10,331,2695.68,500.89,4997.09
Clothing,Deal Seeker,Midnight Madness,929137.99,339,2740.82,502.64,4998.11
Clothing,Deal Seeker,Mystery Discount Days,954332.81,340,2806.86,504.07,4976.22
Clothing,Deal Seeker,New Arrival Showcase,942472.24,331,2847.35,506.65,4998.00
Clothing,Deal Seeker,New Product Launch Promo,853886.11,317,2693.65,501.71,4988.38
Clothing,Deal Seeker,New Year Kickoff,933200.40,344,2712.79,516.64,4992.69
Clothing,Deal Seeker,Price Drop Parade,991667.89,360,2754.63,504.45,4975.50
Clothing,Deal Seeker,Red Tag Clearance,908840.97,330,2754.06,516.38,4994.15
Clothing,Deal Seeker,Seasonal Surprise Box,997842.54,360,2771.78,500.52,4996.55
Clothing,Deal Seeker,Shop & Save Spectacular,868925.77,320,2715.39,500.14,4995.64
Clothing,Deal Seeker,Smart Shopper Week,934381.47,327,2857.44,505.75,4983.10
Clothing,Deal Seeker,Spring Refresh Event,892525.84,325,2746.23,500.55,4987.17
Clothing,Deal Seeker,Spring Splash Discounts,810136.62,301,2691.48,500.46,4999.01
Clothing,Deal Seeker,Summer Sizzle Promo,929602.59,342,2718.14,513.93,4997.93
Clothing,Deal Seeker,Super Savings Week,887499.20,318,2790.88,502.63,4983.09
Clothing,Deal Seeker,Ultimate Value Event,933035.89,341,2736.18,500.07,4992.22
Clothing,Deal Seeker,VIP Access Sale,935127.12,340,2750.37,507.92,4992.69
Clothing,Deal Seeker,Weekend Warrior Specials,951741.55,347,2742.77,533.56,4988.31
Clothing,Deal Seeker,Winter Clearance Carnival,860379.46,321,2680.31,506.16,4941.51
Clothing,Deal Seeker,Winter Wonders Sale,951969.60,357,2666.58,521.06,4996.30
Clothing,First-time Buyer,12 Days of Deals,994455.31,357,2785.59,500.37,4999.40
Clothing,First-time Buyer,Autumn Deals Drive,1025336.00,373,2748.89,504.68,4994.53
Clothing,First-time Buyer,BOGO Blitz,998284.57,348,2868.63,511.49,4983.88
Clothing,First-time Buyer,Back to School Boost,876761.41,321,2731.34,522.26,4999.86
Clothing,First-time Buyer,Birthday Bash Sale,909337.90,329,2763.94,503.70,4990.75
Clothing,First-time Buyer,Black Friday Blowout,953468.56,352,2708.72,537.43,4987.67
Clothing,First-time Buyer,Cart Crasher Campaign,897401.99,325,2761.24,512.62,4994.01
Clothing,First-time Buyer,Cashback Carnival,850687.93,308,2761.97,519.82,4998.40
Clothing,First-time Buyer,Clearance Countdown,905139.49,317,2855.33,500.46,4995.21
Clothing,First-time Buyer,Countdown to Savings,924135.85,346,2670.91,504.95,4998.86
Clothing,First-time Buyer,Customer Appreciation Week,974966.31,360,2708.24,510.44,4984.95
Clothing,First-time Buyer,Cyber Monday Mania,860865.88,311,2768.06,551.80,4987.49
Clothing,First-time Buyer,Deal of the Month,865276.91,307,2818.49,509.10,4989.69
Clothing,First-time Buyer,Double Points Bonanza,883868.87,317,2788.23,500.63,4962.25
Clothing,First-time Buyer,Early Bird Specials,959862.97,340,2823.13,504.72,4978.03
Clothing,First-time Buyer,End of Season Sale,921720.98,343,2687.23,508.79,4962.55
Clothing,First-time Buyer,Exclusive Insider Offers,997195.89,348,2865.51,512.76,4989.69
Clothing,First-time Buyer,Festive Fever Promo,973514.07,347,2805.52,504.43,4977.01
Clothing,First-time Buyer,Final Call Frenzy,886242.76,323,2743.79,516.31,4994.06
Clothing,First-time Buyer,Flash Frenzy Friday,852985.38,307,2778.45,517.07,4993.42
Clothing,First-time Buyer,"Gift More, Spend Less",842895.82,304,2772.68,514.57,4986.56
Clothing,First-time Buyer,Golden Hour Bargains,992809.57,345,2877.71,504.67,4993.74
Clothing,First-time Buyer,Green Weekend Deals,886704.37,330,2686.98,519.98,4999.98
Clothing,First-time Buyer,Happy Hour Discounts,918748.46,330,2784.09,510.62,4996.12
Clothing,First-time Buyer,Holiday Shopping Rush,851740.29,314,2712.55,503.85,4963.43
Clothing,First-time Buyer,Hot Picks Promo,836801.39,306,2734.65,521.54,4968.97
Clothing,First-time Buyer,Instant Gratification Sale,882219.21,328,2689.69,501.99,4997.63
Clothing,First-time Buyer,Limited Time Treasures,898989.54,333,2699.67,509.56,4924.81
Clothing,First-time Buyer,Loyalty Rewards Blast,949838.45,334,2843.83,540.50,4995.86
Clothing,First-time Buyer,Mega Weekend Bonanza,946143.93,334,2832.77,518.73,4993.88
Clothing,First-time Buyer,Mid-Year Madness,851858.35,314,2712.92,511.04,4998.11
Clothing,First-time Buyer,Midnight Madness,993281.63,351,2829.86,501.63,4972.30
Clothing,First-time Buyer,Mystery Discount Days,863401.62,323,2673.07,502.13,4995.70
Clothing,First-time Buyer,New Arrival Showcase,905201.81,334,2710.19,501.06,4996.95
Clothing,First-time Buyer,New Product Launch Promo,865832.99,319,2714.21,500.27,4992.60
Clothing,First-time Buyer,New Year Kickoff,790726.12,285,2774.48,506.01,4981.51
Clothing,First-time Buyer,Price Drop Parade,862479.99,323,2670.22,506.95,4998.25
Clothing,First-time Buyer,Red Tag Clearance,911770.07,330,2762.94,518.05,4999.45
Clothing,First-time Buyer,Seasonal Surprise Box,955133.06,331,2885.60,510.40,4971.33
Clothing,First-time Buyer,Shop & Save Spectacular,874983.77,310,2822.53,501.24,4997.09
Clothing,First-time Buyer,Smart Shopper Week,866338.91,317,2732.93,509.54,4997.75
Clothing,First-time Buyer,Spring Refresh Event,929251.40,330,2815.91,516.40,4996.53
Clothing,First-time Buyer,Spring Splash Discounts,895264.21,323,2771.72,510.99,4982.93
Clothing,First-time Buyer,Summer Sizzle Promo,886803.15,325,2728.63,527.09,4978.19
Clothing,First-time Buyer,Super Savings Week,844992.42,303,2788.75,506.81,4991.65
Clothing,First-time Buyer,Ultimate Value Event,953129.80,333,2862.25,557.16,4999.82
Clothing,First-time Buyer,VIP Access Sale,946665.16,336,2817.46,524.65,4996.77
Clothing,First-time Buyer,Weekend Warrior Specials,944771.13,356,2653.85,503.41,4998.79
Clothing,First-time Buyer,Winter Clearance Carnival,912101.87,333,2739.04,502.03,4958.23
Clothing,First-time Buyer,Winter Wonders Sale,872322.69,312,2795.91,520.96,4988.48
Clothing,High Value,12 Days of Deals,901755.29,330,2732.59,510.36,4999.26
Clothing,High Value,Autumn Deals Drive,1027559.91,362,2838.56,500.77,4999.11
Clothing,High Value,BOGO Blitz,969538.24,337,2876.97,523.22,4969.00
Clothing,High Value,Back to School Boost,779909.44,294,2652.75,501.04,4989.26
Clothing,High Value,Birthday Bash Sale,922192.88,330,2794.52,502.17,4993.83
Clothing,High Value,Black Friday Blowout,901917.60,332,2716.62,540.25,4988.23
Clothing,High Value,Cart Crasher Campaign,990486.16,353,2805.91,546.19,4950.99
Clothing,High Value,Cashback Carnival,924000.55,340,2717.65,514.20,4984.98
Clothing,High Value,Clearance Countdown,940753.56,348,2703.31,500.53,4995.95
Clothing,High Value,Countdown to Savings,1028364.12,364,2825.18,504.64,4985.56
Clothing,High Value,Customer Appreciation Week,845877.14,316,2676.83,504.64,4955.92
Clothing,High Value,Cyber Monday Mania,996450.09,371,2685.85,508.76,4991.94
Clothing,High Value,Deal of the Month,833480.95,315,2645.97,502.13,4954.14
Clothing,High Value,Double Points Bonanza,1003922.51,370,2713.30,514.48,4992.59
Clothing,High Value,Early Bird Specials,995599.88,357,2788.80,504.93,4993.12
Clothing,High Value,End of Season Sale,815219.51,309,2638.25,511.79,4980.78
Clothing,High Value,Exclusive Insider Offers,936618.92,346,2706.99,507.69,4987.30
Clothing,High Value,Festive Fever Promo,893813.10,320,2793.17,501.90,4988.91
Clothing,High Value,Final Call Frenzy,828397.48,312,2655.12,501.00,4977.52
Clothing,High Value,Flash Frenzy Friday,932229.70,346,2694.31,509.25,4986.49
Clothing,High Value,"Gift More, Spend Less",885184.91,322,2749.02,504.71,4977.49
Clothing,High Value,Golden Hour Bargains,872416.72,329,2651.72,507.62,4987.66
Clothing,High Value,Green Weekend Deals,817704.42,300,2725.68,513.01,4997.99
Clothing,High Value,Happy Hour Discounts,969350.56,334,2902.25,532.60,4992.66
Clothing,High Value,Holiday Shopping Rush,859285.87,308,2789.89,506.77,4998.34
Clothing,High Value,Hot Picks Promo,834047.67,311,2681.83,520.35,4953.49
Clothing,High Value,Instant Gratification Sale,880610.22,327,2693.00,500.95,4993.28
Clothing,High Value,Limited Time Treasures,959676.33,348,2757.69,506.89,4999.38
Clothing,High Value,Loyalty Rewards Blast,885607.19,325,2724.95,508.40,4925.51
Clothing,High Value,Mega Weekend Bonanza,841026.10,310,2712.99,503.43,4996.59
Clothing,High Value,Mid-Year Madness,911596.04,332,2745.77,500.82,4997.99
Clothing,High Value,Midnight Madness,883203.89,339,2605.32,504.65,4972.35
Clothing,High Value,Mystery Discount Days,856939.46,318,2694.78,500.17,4975.99
Clothing,High Value,New Arrival Showcase,991163.07,356,2784.17,533.03,4976.30
Clothing,High Value,New Product Launch Promo,885735.45,327,2708.67,501.71,4991.07
Clothing,High Value,New Year Kickoff,900742.94,328,2746.17,500.45,4927.59
Clothing,High Value,Price Drop Parade,939843.94,349,2692.96,503.07,4970.18
Clothing,High Value,Red Tag Clearance,957446.83,339,2824.33,518.03,4974.08
Clothing,High Value,Seasonal Surprise Box,806301.84,291,2770.80,558.77,4963.60
Clothing,High Value,Shop & Save Spectacular,961703.54,335,2870.76,514.88,4999.95
Clothing,High Value,Smart Shopper Week,834036.08,293,2846.54,507.97,4999.73
Clothing,High Value,Spring Refresh Event,840332.47,315,2667.72,515.89,4994.74
Clothing,High Value,Spring Splash Discounts,952198.39,352,2705.11,505.94,4985.19
Clothing,High Value,Summer Sizzle Promo,932092.53,329,2833.11,504.25,4998.80
Clothing,High Value,Super Savings Week,898189.96,315,2851.40,515.26,4965.52
Clothing,High Value,Ultimate Value Event,941505.31,341,2761.01,532.59,4974.76
Clothing,High Value,VIP Access Sale,895437.86,331,2705.25,505.32,4999.71
Clothing,High Value,Weekend Warrior Specials,970044.69,353,2748.00,508.77,4973.65
Clothing,High Value,Winter Clearance Carnival,891589.42,317,2812.58,509.87,4997.27
Clothing,High Value,Winter Wonders Sale,876046.15,314,2789.96,526.45,4971.63
Clothing,In-Store Regular,12 Days of Deals,906237.70,328,2762.92,501.08,4981.75
Clothing,In-Store Regular,Autumn Deals Drive,851438.09,318,2677.48,517.38,4992.45
Clothing,In-Store Regular,BOGO Blitz,1000879.72,358,2795.75,500.64,4991.71
Clothing,In-Store Regular,Back to School Boost,829573.38,313,2650.39,506.82,4998.12
Clothing,In-Store Regular,Birthday Bash Sale,871021.38,299,2913.11,504.16,4997.95
Clothing,In-Store Regular,Black Friday Blowout,827608.08,307,2695.79,500.74,4997.07
Clothing,In-Store Regular,Cart Crasher Campaign,945042.02,340,2779.54,515.65,4977.13
Clothing,In-Store Regular,Cashback Carnival,793374.30,284,2793.57,527.18,4982.94
Clothing,In-Store Regular,Clearance Countdown,867088.40,335,2588.32,532.69,4999.80
Clothing,In-Store Regular,Countdown to Savings,791447.02,302,2620.69,501.16,4996.97
Clothing,In-Store Regular,Customer Appreciation Week,932833.74,344,2711.73,527.58,4995.61
Clothing,In-Store Regular,Cyber Monday Mania,828653.68,307,2699.20,506.75,4990.14
Clothing,In-Store Regular,Deal of the Month,866283.16,316,2741.40,516.81,4994.30
Clothing,In-Store Regular,Double Points Bonanza,766081.26,286,2678.61,510.59,4992.87
Clothing,In-Store Regular,Early Bird Specials,846048.17,307,2755.86,505.07,4956.17
Clothing,In-Store Regular,End of Season Sale,905149.04,327,2768.04,518.66,4997.48
Clothing,In-Store Regular,Exclusive Insider Offers,935551.11,342,2735.53,524.93,4998.51
Clothing,In-Store Regular,Festive Fever Promo,966168.12,349,2768.39,503.23,4998.89
Clothing,In-Store Regular,Final Call Frenzy,875689.72,316,2771.17,508.37,4974.53
Clothing,In-Store Regular,Flash Frenzy Friday,859005.66,322,2667.72,535.49,4982.34
Clothing,In-Store Regular,"Gift More, Spend Less",908737.25,318,2857.66,518.87,4989.04
Clothing,In-Store Regular,Golden Hour Bargains,898583.76,331,2714.75,501.78,4999.76
Clothing,In-Store Regular,Green Weekend Deals,965005.01,342,2821.65,528.50,4993.73
Clothing,In-Store Regular,Happy Hour Discounts,870515.13,320,2720.36,507.84,4977.27
Clothing,In-Store Regular,Holiday Shopping Rush,853198.00,304,2806.57,517.58,4999.33
Clothing,In-Store Regular,Hot Picks Promo,966422.50,351,2753.34,519.39,4989.96
Clothing,In-Store Regular,Instant Gratification Sale,970251.19,332,2922.44,506.92,4993.22
Clothing,In-Store Regular,Limited Time Treasures,865813.02,317,2731.27,504.55,4982.15
Clothing,In-Store Regular,Loyalty Rewards Blast,841954.16,321,2622.91,507.26,4992.46
Clothing,In-Store Regular,Mega Weekend Bonanza,941981.87,338,2786.93,500.60,4997.25
Clothing,In-Store Regular,Mid-Year Madness,920609.99,335,2748.09,505.91,4990.14
Clothing,In-Store Regular,Midnight Madness,903648.26,319,2832.75,524.30,4982.68
Clothing,In-Store Regular,Mystery Discount Days,875227.11,322,2718.10,513.37,4970.75
Clothing,In-Store Regular,New Arrival Showcase,879098.41,305,2882.29,518.13,4989.84
Clothing,In-Store Regular,New Product Launch Promo,1008301.62,365,2762.47,513.88,4988.99
Clothing,In-Store Regular,New Year Kickoff,921357.02,333,2766.84,502.81,4977.86
Clothing,In-Store Regular,Price Drop Parade,950805.52,335,2838.23,503.25,4999.49
Clothing,In-Store Regular,Red Tag Clearance,940812.29,350,2688.04,509.39,4998.76
Clothing,In-Store Regular,Seasonal Surprise Box,893385.39,316,2827.17,505.81,4962.93
Clothing,In-Store Regular,Shop & Save Spectacular,880507.24,328,2684.47,502.23,4970.27
Clothing,In-Store Regular,Smart Shopper Week,961516.49,342,2811.45,511.44,4986.27
Clothing,In-Store Regular,Spring Refresh Event,996026.55,355,2805.71,501.02,4995.99
Clothing,In-Store Regular,Spring Splash Discounts,949614.89,343,2768.56,501.80,4984.88
Clothing,In-Store Regular,Summer Sizzle Promo,835523.43,304,2748.43,502.32,4995.49
Clothing,In-Store Regular,Super Savings Week,948340.21,348,2725.12,507.31,4977.41
Clothing,In-Store Regular,Ultimate Value Event,932806.04,343,2719.55,506.31,4998.73
Clothing,In-Store Regular,VIP Access Sale,901191.56,338,2666.25,520.45,4976.29
Clothing,In-Store Regular,Weekend Warrior Specials,882155.80,324,2722.70,502.44,4992.92
Clothing,In-Store Regular,Winter Clearance Carnival,921952.07,333,2768.62,545.96,4994.53
Clothing,In-Store Regular,Winter Wonders Sale,910963.48,346,2632.84,520.80,4999.21
Clothing,Loyal Customer,12 Days of Deals,832304.99,306,2719.95,519.67,4978.63
Clothing,Loyal Customer,Autumn Deals Drive,913154.72,328,2784.01,514.57,4994.06
Clothing,Loyal Customer,BOGO Blitz,908033.52,322,2819.98,503.91,4998.71
Clothing,Loyal Customer,Back to School Boost,837944.53,322,2602.31,522.55,4980.54
Clothing,Loyal Customer,Birthday Bash Sale,838313.07,294,2851.41,500.58,4996.78
Clothing,Loyal Customer,Black Friday Blowout,940171.02,338,2781.57,505.39,4996.66
Clothing,Loyal Customer,Cart Crasher Campaign,918576.11,332,2766.80,508.66,4994.25
Clothing,Loyal Customer,Cashback Carnival,924148.73,337,2742.28,520.46,4982.89
Clothing,Loyal Customer,Clearance Countdown,935320.11,365,2562.52,513.98,4990.06
Clothing,Loyal Customer,Countdown to Savings,930143.72,332,2801.64,507.32,4979.44
Clothing,Loyal Customer,Customer Appreciation Week,957692.29,340,2816.74,503.78,4977.34
Clothing,Loyal Customer,Cyber Monday Mania,899201.29,326,2758.29,513.42,4994.22
Clothing,Loyal Customer,Deal of the Month,977505.09,354,2761.31,508.62,4946.48
Clothing,Loyal Customer,Double Points Bonanza,963760.37,345,2793.51,504.72,4973.34
Clothing,Loyal Customer,Early Bird Specials,961294.92,354,2715.52,502.97,4986.96
Clothing,Loyal Customer,End of Season Sale,878494.66,315,2788.87,512.03,4987.68
Clothing,Loyal Customer,Exclusive Insider Offers,969726.93,339,2860.55,537.01,4997.63
Clothing,Loyal Customer,Festive Fever Promo,885985.98,330,2684.81,510.80,4980.87
Clothing,Loyal Customer,Final Call Frenzy,888230.55,328,2708.02,514.60,4959.33
