brand,customer_segment,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Amul,In-Store Regular,Salesperson,2338456.28,838,2790.52,506.38,4996.36
Amul,In-Store Regular,Senior Salesperson,2155386.44,784,2749.22,505.81,4996.48
Amul,Loyal Customer,Manager,2281128.04,845,2699.56,501.52,4994.91
Amul,Loyal Customer,Sales Associate,2383610.02,868,2746.09,501.41,4998.75
Amul,Loyal Customer,Salesperson,2276109.51,862,2640.50,523.61,4986.30
Amul,Loyal Customer,Senior Salesperson,2118590.63,765,2769.40,500.84,4988.04
Amul,Occasional Shopper,Manager,2280932.24,844,2702.53,504.64,4998.84
Amul,Occasional Shopper,Sales Associate,2465492.36,909,2712.31,503.17,4990.00
Amul,Occasional Shopper,Salesperson,2295190.48,835,2748.73,504.23,4996.97
Amul,Occasional Shopper,Senior Salesperson,2101600.90,744,2824.73,510.36,4999.80
Amul,Online Shopper,Manager,2330162.82,857,2718.98,501.42,4991.21
Amul,Online Shopper,Sales Associate,2365111.19,844,2802.26,500.74,4996.71
Amul,Online Shopper,Salesperson,2597996.53,936,2775.64,500.62,4993.64
Amul,Online Shopper,Senior Salesperson,2109637.68,768,2746.92,506.04,4990.08
Amul,Premium Shopper,Manager,2123468.35,756,2808.82,513.13,4976.08
Amul,Premium Shopper,Sales Associate,2354653.65,859,2741.16,504.65,4997.29
Amul,Premium Shopper,Salesperson,2250651.17,834,2698.62,501.25,4995.23
Amul,Premium Shopper,Senior Salesperson,2044800.18,742,2755.80,504.10,4996.88
Apple,Budget Shopper,Manager,2324314.18,843,2757.19,501.68,4986.36
Apple,Budget Shopper,Sales Associate,2467194.52,885,2787.79,504.53,4995.51
Apple,Budget Shopper,Salesperson,2436361.26,888,2743.65,518.31,4979.75
Apple,Budget Shopper,Senior Salesperson,1992945.91,728,2737.56,504.78,4991.42
Apple,Churn Risk,Manager,2315586.85,838,2763.23,514.59,4994.08
Apple,Churn Risk,Sales Associate,2374940.56,861,2758.35,500.60,4991.11
Apple,Churn Risk,Salesperson,2436739.42,897,2716.54,511.88,4980.20
Apple,Churn Risk,Senior Salesperson,1944526.03,733,2652.83,502.32,4994.23
Apple,Deal Seeker,Manager,2411470.97,843,2860.58,511.39,4997.32
Apple,Deal Seeker,Sales Associate,2351560.63,883,2663.15,502.34,4999.77
Apple,Deal Seeker,Salesperson,2431591.62,880,2763.17,509.00,4997.50
Apple,Deal Seeker,Senior Salesperson,1984796.79,739,2685.79,513.31,4994.22
Apple,First-time Buyer,Manager,2386638.09,844,2827.77,506.67,4999.20
Apple,First-time Buyer,Sales Associate,2381053.89,878,2711.91,511.37,4997.68
Apple,First-time Buyer,Salesperson,2405712.59,869,2768.37,505.11,4999.96
Apple,First-time Buyer,Senior Salesperson,1891610.42,686,2757.45,509.94,4991.91
Apple,High Value,Manager,2153116.52,796,2704.92,500.64,4989.38
Apple,High Value,Sales Associate,2343066.82,857,2734.03,501.26,4989.79
Apple,High Value,Salesperson,2352344.09,859,2738.47,505.64,4999.52
Apple,High Value,Senior Salesperson,2150568.64,793,2711.94,503.12,4998.48
Apple,In-Store Regular,Manager,2227309.69,805,2766.84,501.20,4996.42
Apple,In-Store Regular,Sales Associate,2356034.09,855,2755.60,501.01,4997.96
Apple,In-Store Regular,Salesperson,2376306.86,860,2763.15,500.25,4998.63
Apple,In-Store Regular,Senior Salesperson,2138542.31,790,2707.02,526.19,4999.96
Apple,Loyal Customer,Manager,2245046.64,815,2754.66,509.43,4999.80
Apple,Loyal Customer,Sales Associate,2317313.35,834,2778.55,508.55,4991.67
Apple,Loyal Customer,Salesperson,2459965.46,880,2795.42,504.97,4999.83
Apple,Loyal Customer,Senior Salesperson,1963116.72,706,2780.62,508.20,4995.40
Apple,Occasional Shopper,Manager,2298079.27,853,2694.11,512.06,4989.20
Apple,Occasional Shopper,Sales Associate,2492891.03,898,2776.05,500.55,4997.93
Apple,Occasional Shopper,Salesperson,2484585.47,887,2801.11,509.83,4996.32
Apple,Occasional Shopper,Senior Salesperson,2073875.52,742,2794.98,500.26,4997.26
Apple,Online Shopper,Manager,2314886.36,838,2762.39,512.23,4998.93
Apple,Online Shopper,Sales Associate,2305873.31,842,2738.57,500.70,4996.98
Apple,Online Shopper,Salesperson,2429289.29,902,2693.23,501.00,4998.84
Apple,Online Shopper,Senior Salesperson,2047854.28,744,2752.49,511.01,4997.20
Apple,Premium Shopper,Manager,2237989.37,819,2732.59,504.05,4995.98
Apple,Premium Shopper,Sales Associate,2312603.13,853,2711.14,502.69,4995.38
Apple,Premium Shopper,Salesperson,2453008.94,893,2746.93,503.41,4991.96
Apple,Premium Shopper,Senior Salesperson,2037475.43,742,2745.92,510.56,4996.76
Bosch,Budget Shopper,Manager,2429742.99,895,2714.80,502.91,4999.80
Bosch,Budget Shopper,Sales Associate,2464684.64,889,2772.42,500.10,4994.19
Bosch,Budget Shopper,Salesperson,2409168.36,863,2791.62,506.50,4998.98
Bosch,Budget Shopper,Senior Salesperson,2074451.71,745,2784.50,500.71,4998.56
Bosch,Churn Risk,Manager,2373117.84,842,2818.43,517.11,4992.97
Bosch,Churn Risk,Sales Associate,2326380.36,854,2724.10,504.11,4995.95
Bosch,Churn Risk,Salesperson,2509221.51,901,2784.93,502.07,4990.07
Bosch,Churn Risk,Senior Salesperson,1981926.34,730,2714.97,502.75,4989.15
Bosch,Deal Seeker,Manager,2241650.71,827,2710.58,500.88,4998.91
Bosch,Deal Seeker,Sales Associate,2393776.08,889,2692.66,501.45,4997.54
Bosch,Deal Seeker,Salesperson,2406235.10,885,2718.91,500.80,4998.61
Bosch,Deal Seeker,Senior Salesperson,2009469.22,758,2651.01,502.22,4999.30
Bosch,First-time Buyer,Manager,2275527.15,836,2721.92,509.99,4988.13
Bosch,First-time Buyer,Sales Associate,2392160.97,878,2724.56,510.30,4986.75
Bosch,First-time Buyer,Salesperson,2374362.21,864,2748.10,502.14,4998.36
Bosch,First-time Buyer,Senior Salesperson,1996484.03,736,2712.61,507.03,4995.52
Bosch,High Value,Manager,2301246.98,818,2813.26,501.99,4997.76
Bosch,High Value,Sales Associate,2300484.20,855,2690.62,507.44,4997.47
Bosch,High Value,Salesperson,2307143.68,858,2688.98,500.13,4979.06
Bosch,High Value,Senior Salesperson,1926440.89,730,2638.96,504.23,4994.48
Bosch,In-Store Regular,Manager,2260688.81,850,2659.63,509.54,4988.41
Bosch,In-Store Regular,Sales Associate,2314819.32,850,2723.32,503.66,4998.96
Bosch,In-Store Regular,Salesperson,2257781.37,828,2726.79,503.97,4990.91
Bosch,In-Store Regular,Senior Salesperson,2171527.20,766,2834.89,501.78,4995.95
Bosch,Loyal Customer,Manager,2172340.17,828,2623.60,504.44,4999.32
Bosch,Loyal Customer,Sales Associate,2173831.97,808,2690.39,504.89,4998.58
Bosch,Loyal Customer,Salesperson,2374030.10,866,2741.37,502.78,4995.11
Bosch,Loyal Customer,Senior Salesperson,1962768.48,711,2760.57,514.58,4996.68
Bosch,Occasional Shopper,Manager,2243724.03,832,2696.78,505.55,4995.57
Bosch,Occasional Shopper,Sales Associate,2493744.24,896,2783.20,508.21,4998.02
Bosch,Occasional Shopper,Salesperson,2203040.88,815,2703.12,502.76,4994.65
Bosch,Occasional Shopper,Senior Salesperson,2114915.23,773,2735.98,500.65,4986.36
Bosch,Online Shopper,Manager,2428521.85,897,2707.38,519.67,4996.64
Bosch,Online Shopper,Sales Associate,2459168.05,919,2675.92,501.02,4977.45
Bosch,Online Shopper,Salesperson,2387742.59,872,2738.24,507.80,4991.75
Bosch,Online Shopper,Senior Salesperson,2164451.64,794,2726.01,503.05,4993.68
Bosch,Premium Shopper,Manager,2158449.12,780,2767.24,502.49,4998.02
Bosch,Premium Shopper,Sales Associate,2385614.13,876,2723.30,501.60,4999.74
Bosch,Premium Shopper,Salesperson,2336831.89,845,2765.48,502.95,4991.40
Bosch,Premium Shopper,Senior Salesperson,2056823.26,767,2681.65,507.39,4994.08
Britannia,Budget Shopper,Manager,2044256.79,748,2732.96,516.01,4979.96
Britannia,Budget Shopper,Sales Associate,2437189.08,914,2666.51,502.18,4999.95
Britannia,Budget Shopper,Salesperson,2368181.56,861,2750.50,506.50,4999.56
Britannia,Budget Shopper,Senior Salesperson,2068213.64,756,2735.73,503.39,4995.11
Britannia,Churn Risk,Manager,2378639.56,863,2756.25,501.54,4986.11
Britannia,Churn Risk,Sales Associate,2160245.95,807,2676.88,502.48,4984.48
Britannia,Churn Risk,Salesperson,2410578.37,875,2754.95,503.77,4996.21
Britannia,Churn Risk,Senior Salesperson,2049433.19,752,2725.31,500.75,4994.43
Britannia,Deal Seeker,Manager,2182862.97,810,2694.89,506.32,4994.32
Britannia,Deal Seeker,Sales Associate,2418087.76,880,2747.83,501.28,4978.21
Britannia,Deal Seeker,Salesperson,2224546.34,823,2702.97,510.84,4991.55
Britannia,Deal Seeker,Senior Salesperson,2024865.87,736,2751.18,513.46,4987.18
Britannia,First-time Buyer,Manager,2209990.51,798,2769.41,500.94,4999.83
Britannia,First-time Buyer,Sales Associate,2419565.59,876,2762.06,503.27,4993.03
Britannia,First-time Buyer,Salesperson,2243734.29,814,2756.43,509.73,4995.88
Britannia,First-time Buyer,Senior Salesperson,2122207.08,760,2792.38,503.19,4998.54
Britannia,High Value,Manager,2371128.81,859,2760.34,504.57,4998.87
Britannia,High Value,Sales Associate,2565913.04,943,2721.01,504.09,4994.27
Britannia,High Value,Salesperson,2368925.77,870,2722.90,513.20,4992.77
Britannia,High Value,Senior Salesperson,2199790.61,780,2820.24,507.42,4998.29
Britannia,In-Store Regular,Manager,2356113.41,853,2762.15,514.09,4994.55
Britannia,In-Store Regular,Sales Associate,2324897.96,865,2687.74,504.42,4976.10
Britannia,In-Store Regular,Salesperson,2386980.94,871,2740.51,508.98,4999.35
Britannia,In-Store Regular,Senior Salesperson,2101567.62,768,2736.42,504.64,4998.24
Britannia,Loyal Customer,Manager,2241365.15,804,2787.77,514.82,4999.40
Britannia,Loyal Customer,Sales Associate,2359990.38,854,2763.45,503.85,4995.73
Britannia,Loyal Customer,Salesperson,2500124.80,883,2831.40,503.24,4993.48
Britannia,Loyal Customer,Senior Salesperson,1958507.53,708,2766.25,505.29,4994.46
Britannia,Occasional Shopper,Manager,2248906.37,831,2706.27,500.56,4999.21
Britannia,Occasional Shopper,Sales Associate,2522048.12,903,2792.97,503.43,4995.96
Britannia,Occasional Shopper,Salesperson,2191396.73,796,2753.01,500.43,4994.04
Britannia,Occasional Shopper,Senior Salesperson,2007174.79,747,2686.98,504.60,4996.41
Britannia,Online Shopper,Manager,2368058.49,864,2740.81,503.33,4986.06
Britannia,Online Shopper,Sales Associate,2278920.61,843,2703.35,502.57,4997.84
Britannia,Online Shopper,Salesperson,2350986.02,861,2730.53,500.65,4996.06
Britannia,Online Shopper,Senior Salesperson,2039652.48,733,2782.61,512.39,4986.10
Britannia,Premium Shopper,Manager,2170554.60,787,2758.01,500.31,4998.94
Britannia,Premium Shopper,Sales Associate,2411045.53,888,2715.14,502.12,4996.19
Britannia,Premium Shopper,Salesperson,2334713.60,872,2677.42,505.45,4997.76
Britannia,Premium Shopper,Senior Salesperson,1964032.82,730,2690.46,500.98,4985.97
Decathlon,Budget Shopper,Manager,2298912.15,842,2730.30,506.66,4995.72
Decathlon,Budget Shopper,Sales Associate,2432611.88,881,2761.19,500.42,4995.42
Decathlon,Budget Shopper,Salesperson,2406167.15,885,2718.83,500.51,4995.51
Decathlon,Budget Shopper,Senior Salesperson,1961758.01,738,2658.21,505.64,4991.41
Decathlon,Churn Risk,Manager,2337569.34,832,2809.58,517.78,4974.34
Decathlon,Churn Risk,Sales Associate,2507218.76,903,2776.54,500.56,4984.46
Decathlon,Churn Risk,Salesperson,2340133.09,852,2746.64,504.21,4997.07
Decathlon,Churn Risk,Senior Salesperson,2043370.35,739,2765.05,503.63,4995.47
Decathlon,Deal Seeker,Manager,2189959.42,802,2730.62,501.01,4995.74
Decathlon,Deal Seeker,Sales Associate,2350201.40,847,2774.74,500.46,4996.78
Decathlon,Deal Seeker,Salesperson,2439292.96,894,2728.52,502.58,4990.60
Decathlon,Deal Seeker,Senior Salesperson,1932180.82,727,2657.75,506.71,4999.49
Decathlon,First-time Buyer,Manager,2280962.91,820,2781.66,505.25,4996.23
Decathlon,First-time Buyer,Sales Associate,2360965.52,860,2745.31,500.09,4986.97
Decathlon,First-time Buyer,Salesperson,2390623.41,877,2725.91,502.57,4999.25
Decathlon,First-time Buyer,Senior Salesperson,2024220.78,737,2746.57,501.68,4990.97
Decathlon,High Value,Manager,2240376.33,815,2748.93,500.22,4980.83
Decathlon,High Value,Sales Associate,2612587.97,946,2761.72,500.15,4998.94
Decathlon,High Value,Salesperson,2562270.70,919,2788.11,501.31,4999.05
Decathlon,High Value,Senior Salesperson,2064382.25,746,2767.27,516.27,4994.72
Decathlon,In-Store Regular,Manager,2403652.12,865,2778.79,508.18,4992.34
Decathlon,In-Store Regular,Sales Associate,2291962.48,830,2761.40,526.70,4999.17
Decathlon,In-Store Regular,Salesperson,2344246.54,843,2780.84,501.50,4999.77
Decathlon,In-Store Regular,Senior Salesperson,2112695.22,739,2858.86,509.56,4997.59
Decathlon,Loyal Customer,Manager,2201279.16,801,2748.16,507.87,4989.93
Decathlon,Loyal Customer,Sales Associate,2520569.98,916,2751.71,504.68,4979.33
Decathlon,Loyal Customer,Salesperson,2393525.54,869,2754.34,503.70,4993.65
Decathlon,Loyal Customer,Senior Salesperson,2035789.26,735,2769.78,501.43,4996.95
Decathlon,Occasional Shopper,Manager,2262542.19,854,2649.35,500.07,4989.89
Decathlon,Occasional Shopper,Sales Associate,2481921.95,885,2804.43,500.39,4989.97
Decathlon,Occasional Shopper,Salesperson,2352848.53,864,2723.20,508.28,4987.28
Decathlon,Occasional Shopper,Senior Salesperson,2193579.52,793,2766.18,515.06,4997.17
Decathlon,Online Shopper,Manager,2251941.07,808,2787.06,505.40,4999.97
Decathlon,Online Shopper,Sales Associate,2369775.47,885,2677.71,510.72,4998.97
Decathlon,Online Shopper,Salesperson,2393308.97,851,2812.35,500.15,4997.16
Decathlon,Online Shopper,Senior Salesperson,2262823.57,831,2723.01,509.74,4994.89
Decathlon,Premium Shopper,Manager,2315077.31,859,2695.08,508.38,4997.72
Decathlon,Premium Shopper,Sales Associate,2258543.00,842,2682.36,500.23,4985.18
Decathlon,Premium Shopper,Salesperson,2424385.62,884,2742.52,500.60,4994.09
Decathlon,Premium Shopper,Senior Salesperson,2005186.33,733,2735.59,521.60,4994.28
Godrej Interio,Budget Shopper,Manager,2340031.87,844,2772.55,501.67,4997.69
Godrej Interio,Budget Shopper,Sales Associate,2352503.78,859,2738.65,513.03,4994.26
Godrej Interio,Budget Shopper,Salesperson,2429146.17,896,2711.10,503.77,4984.81
Godrej Interio,Budget Shopper,Senior Salesperson,1989175.55,738,2695.36,502.47,4999.77
Godrej Interio,Churn Risk,Manager,2260328.82,851,2656.09,503.48,4997.34
Godrej Interio,Churn Risk,Sales Associate,2389073.81,882,2708.70,513.01,4999.20
Godrej Interio,Churn Risk,Salesperson,2234493.15,822,2718.36,504.82,4986.49
Godrej Interio,Churn Risk,Senior Salesperson,2132691.66,775,2751.86,516.68,4994.87
Godrej Interio,Deal Seeker,Manager,2320899.08,853,2720.87,501.02,4993.17
Godrej Interio,Deal Seeker,Sales Associate,2313354.45,857,2699.36,503.19,4995.00
Godrej Interio,Deal Seeker,Salesperson,2439224.62,888,2746.87,502.61,4998.30
Godrej Interio,Deal Seeker,Senior Salesperson,2098881.10,774,2711.73,505.77,4999.40
Godrej Interio,First-time Buyer,Manager,2272502.26,827,2747.89,513.73,4999.65
Godrej Interio,First-time Buyer,Sales Associate,2479594.65,888,2792.34,504.88,4997.71
Godrej Interio,First-time Buyer,Salesperson,2312619.36,863,2679.74,500.38,4999.17
Godrej Interio,First-time Buyer,Senior Salesperson,2060988.78,759,2715.40,503.30,4992.57
Godrej Interio,High Value,Manager,2320363.50,851,2726.63,504.51,4985.74
Godrej Interio,High Value,Sales Associate,2255144.91,833,2707.26,509.62,4998.80
Godrej Interio,High Value,Salesperson,2410724.75,876,2751.97,505.18,4996.56
Godrej Interio,High Value,Senior Salesperson,2175415.36,777,2799.76,511.05,4996.39
Godrej Interio,In-Store Regular,Manager,2317463.95,844,2745.81,500.68,4970.77
Godrej Interio,In-Store Regular,Sales Associate,2342137.89,863,2713.95,500.57,4994.01
Godrej Interio,In-Store Regular,Salesperson,2324779.21,845,2751.22,501.91,4989.70
Godrej Interio,In-Store Regular,Senior Salesperson,2083731.30,772,2699.13,504.49,4995.77
Godrej Interio,Loyal Customer,Manager,2225959.35,816,2727.89,502.50,4996.61
Godrej Interio,Loyal Customer,Sales Associate,2433931.97,899,2707.38,504.76,4997.34
Godrej Interio,Loyal Customer,Salesperson,2419805.09,852,2840.15,519.75,4994.15
Godrej Interio,Loyal Customer,Senior Salesperson,2154930.13,771,2794.98,503.81,4984.38
Godrej Interio,Occasional Shopper,Manager,2158833.63,799,2701.92,507.16,4997.96
Godrej Interio,Occasional Shopper,Sales Associate,2345911.24,859,2730.98,503.68,4999.44
Godrej Interio,Occasional Shopper,Salesperson,2320883.65,849,2733.67,501.14,4990.48
Godrej Interio,Occasional Shopper,Senior Salesperson,2117217.01,775,2731.89,504.42,4989.40
Godrej Interio,Online Shopper,Manager,2354874.61,852,2763.94,501.32,4992.74
Godrej Interio,Online Shopper,Sales Associate,2474597.02,880,2812.04,500.23,4994.27
Godrej Interio,Online Shopper,Salesperson,2576784.65,942,2735.44,503.85,4997.06
Godrej Interio,Online Shopper,Senior Salesperson,2115096.82,774,2732.68,502.59,4998.57
Godrej Interio,Premium Shopper,Manager,2211451.14,809,2733.56,517.81,4998.58
Godrej Interio,Premium Shopper,Sales Associate,2327756.26,833,2794.43,501.02,4992.08
Godrej Interio,Premium Shopper,Salesperson,2288876.61,830,2757.68,502.26,4999.01
Godrej Interio,Premium Shopper,Senior Salesperson,2093767.35,753,2780.57,501.18,4994.23
Haier,Budget Shopper,Manager,2289296.66,829,2761.52,500.92,4979.51
Haier,Budget Shopper,Sales Associate,2426330.71,874,2776.12,504.93,4997.98
Haier,Budget Shopper,Salesperson,2401904.89,883,2720.16,504.57,4998.49
Haier,Budget Shopper,Senior Salesperson,1952031.11,703,2776.72,512.52,4974.01
Haier,Churn Risk,Manager,2453304.34,896,2738.06,501.18,4998.05
Haier,Churn Risk,Sales Associate,2492344.89,888,2806.69,500.36,4998.82
Haier,Churn Risk,Salesperson,2235237.69,826,2706.10,500.39,4989.39
Haier,Churn Risk,Senior Salesperson,1970442.37,722,2729.14,521.22,4991.85
Haier,Deal Seeker,Manager,2317962.33,849,2730.23,502.92,4996.75
Haier,Deal Seeker,Sales Associate,2416281.70,887,2724.11,510.03,4991.37
Haier,Deal Seeker,Salesperson,2356106.08,879,2680.44,503.14,4992.11
Haier,Deal Seeker,Senior Salesperson,2116766.31,780,2713.80,500.05,4999.84
Haier,First-time Buyer,Manager,2202066.71,795,2769.90,500.00,4997.95
Haier,First-time Buyer,Sales Associate,2516826.11,910,2765.74,501.74,4996.92
Haier,First-time Buyer,Salesperson,2228873.65,804,2772.23,508.15,4994.80
Haier,First-time Buyer,Senior Salesperson,2119578.39,769,2756.28,501.03,4997.06
Haier,High Value,Manager,2372367.00,878,2702.01,515.41,4981.44
Haier,High Value,Sales Associate,2402823.53,878,2736.70,501.47,4990.35
Haier,High Value,Salesperson,2428281.42,891,2725.34,505.71,4997.95
Haier,High Value,Senior Salesperson,1993129.90,743,2682.54,500.33,4995.52
Haier,In-Store Regular,Manager,2311637.57,834,2771.75,503.85,4999.06
Haier,In-Store Regular,Sales Associate,2426692.54,856,2834.92,502.05,4997.98
Haier,In-Store Regular,Salesperson,2330265.71,842,2767.54,501.45,4992.18
Haier,In-Store Regular,Senior Salesperson,2057229.07,756,2721.20,521.62,4994.72
Haier,Loyal Customer,Manager,2329483.39,847,2750.28,510.76,4990.51
Haier,Loyal Customer,Sales Associate,2496689.92,891,2802.12,503.37,4998.93
Haier,Loyal Customer,Salesperson,2371262.57,868,2731.87,500.27,4999.91
Haier,Loyal Customer,Senior Salesperson,2093900.18,759,2758.76,521.41,4998.01
Haier,Occasional Shopper,Manager,2316848.19,827,2801.51,507.20,4994.82
Haier,Occasional Shopper,Sales Associate,2343487.47,870,2693.66,523.99,4992.76
Haier,Occasional Shopper,Salesperson,2418596.07,897,2696.32,500.66,4993.38
Haier,Occasional Shopper,Senior Salesperson,2192194.79,791,2771.42,505.24,4981.00
Haier,Online Shopper,Manager,2346777.06,850,2760.91,509.06,4996.85
Haier,Online Shopper,Sales Associate,2388338.61,885,2698.69,503.46,4992.43
Haier,Online Shopper,Salesperson,2454690.79,893,2748.81,508.10,4982.97
Haier,Online Shopper,Senior Salesperson,2106923.09,778,2708.13,501.55,4995.14
Haier,Premium Shopper,Manager,2163123.42,803,2693.80,501.91,4998.92
Haier,Premium Shopper,Sales Associate,2415238.13,879,2747.71,518.30,4997.27
Haier,Premium Shopper,Salesperson,2363074.95,852,2773.56,503.22,4998.06
Haier,Premium Shopper,Senior Salesperson,2100750.01,754,2786.14,501.43,4996.14
Home Centre,Budget Shopper,Manager,2245008.07,818,2744.51,500.93,4999.90
Home Centre,Budget Shopper,Sales Associate,2514443.62,909,2766.16,504.75,4993.59
Home Centre,Budget Shopper,Salesperson,2319439.59,850,2728.75,501.41,4995.52
Home Centre,Budget Shopper,Senior Salesperson,2015722.33,759,2655.76,502.75,4973.71
Home Centre,Churn Risk,Manager,2265398.43,831,2726.11,507.15,4979.25
Home Centre,Churn Risk,Sales Associate,2421995.51,872,2777.52,501.40,4998.65
Home Centre,Churn Risk,Salesperson,2550602.64,910,2802.86,503.27,4999.64
Home Centre,Churn Risk,Senior Salesperson,2013405.90,736,2735.61,502.72,4987.50
Home Centre,Deal Seeker,Manager,2131784.02,783,2722.58,504.79,4995.19
Home Centre,Deal Seeker,Sales Associate,2622216.13,948,2766.05,502.25,4998.90
Home Centre,Deal Seeker,Salesperson,2337984.44,855,2734.48,521.44,4995.45
Home Centre,Deal Seeker,Senior Salesperson,2145546.37,783,2740.16,504.95,4999.30
Home Centre,First-time Buyer,Manager,2234309.29,822,2718.14,502.09,4999.10
Home Centre,First-time Buyer,Sales Associate,2453762.93,900,2726.40,502.68,4995.46
Home Centre,First-time Buyer,Salesperson,2410217.55,851,2832.22,503.77,4998.93
Home Centre,First-time Buyer,Senior Salesperson,1973391.46,715,2759.99,500.56,4996.51
Home Centre,High Value,Manager,2340479.27,849,2756.75,504.04,4999.89
