category,brand,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Furniture,IKEA,Manager,22988407.87,8374,2745.21,501.84,4999.21
Furniture,IKEA,Sales Associate,24694382.54,8904,2773.40,500.31,4999.69
Furniture,IKEA,Salesperson,24099951.28,8758,2751.76,500.31,4999.12
Furniture,IKEA,Senior Salesperson,20455132.15,7525,2718.29,500.06,4998.66
Furniture,Pepperfry,Manager,23303303.11,8445,2759.42,500.89,4998.77
Furniture,Pepperfry,Sales Associate,23764580.73,8641,2750.21,500.56,4999.26
Furniture,Pepperfry,Salesperson,23746778.85,8610,2758.05,501.63,4999.47
Furniture,Pepperfry,Senior Salesperson,20841956.82,7563,2755.78,500.36,4998.96
Furniture,Urban Ladder,Manager,22805010.32,8339,2734.74,500.07,4999.31
Furniture,Urban Ladder,Sales Associate,24185330.35,8774,2756.48,501.28,4999.59
Furniture,Urban Ladder,Salesperson,24250262.85,8696,2788.67,500.34,4999.62
Furniture,Urban Ladder,Senior Salesperson,20567694.17,7469,2753.74,500.29,4999.88
Groceries,Amul,Manager,22854728.49,8362,2733.17,500.47,4998.98
Groceries,Amul,Sales Associate,24069881.48,8764,2746.45,500.74,4998.75
Groceries,Amul,Salesperson,23682938.98,8653,2736.96,500.26,4998.30
Groceries,Amul,Senior Salesperson,20879238.27,7589,2751.25,500.84,4999.80
Groceries,Britannia,Manager,22571876.65,8217,2746.97,500.31,4999.83
Groceries,Britannia,Sales Associate,23897904.02,8773,2724.03,501.28,4999.95
Groceries,Britannia,Salesperson,23380168.42,8526,2742.22,500.43,4999.56
Groceries,Britannia,Senior Salesperson,20535445.63,7470,2749.06,500.75,4998.54
Groceries,Kellogg's,Manager,22433298.82,8166,2747.16,500.12,4999.58
Groceries,Kellogg's,Sales Associate,24151944.28,8790,2747.66,500.98,4999.73
Groceries,Kellogg's,Salesperson,24327728.27,8820,2758.25,500.16,4999.86
Groceries,Kellogg's,Senior Salesperson,20638104.81,7447,2771.33,500.54,4999.96
Groceries,Nestle,Manager,22726527.20,8204,2770.18,500.60,4999.70
Groceries,Nestle,Sales Associate,24177807.82,8785,2752.17,501.31,4999.92
Groceries,Nestle,Salesperson,23699198.68,8580,2762.14,500.36,4998.94
Groceries,Nestle,Senior Salesperson,20572445.96,7558,2721.94,500.03,4999.88
Groceries,Tata,Manager,23184914.87,8394,2762.08,500.83,4999.13
Groceries,Tata,Sales Associate,24323220.03,8842,2750.87,500.01,4999.35
Groceries,Tata,Salesperson,23424290.03,8512,2751.91,500.47,4999.97
Groceries,Tata,Senior Salesperson,21083519.84,7632,2762.52,500.32,4999.90
Home Appliances,Bosch,Manager,22885009.64,8405,2722.79,500.88,4999.80
Home Appliances,Bosch,Sales Associate,23704663.97,8714,2720.30,500.10,4999.74
Home Appliances,Bosch,Salesperson,23565557.69,8597,2741.14,500.13,4998.98
Home Appliances,Bosch,Senior Salesperson,20459258.01,7510,2724.27,500.65,4999.30
Home Appliances,Haier,Manager,23102866.67,8408,2747.72,500.00,4999.06
Home Appliances,Haier,Sales Associate,24325053.60,8818,2758.57,500.36,4998.93
Home Appliances,Haier,Salesperson,23588293.82,8635,2731.71,500.27,4999.91
Home Appliances,Haier,Senior Salesperson,20702945.22,7555,2740.30,500.05,4999.84
Home Appliances,LG,Manager,23022727.15,8382,2746.69,500.28,4999.91
Home Appliances,LG,Sales Associate,24003236.52,8713,2754.88,500.36,4999.48
Home Appliances,LG,Salesperson,23962066.65,8722,2747.31,500.92,4999.75
Home Appliances,LG,Senior Salesperson,20754464.69,7559,2745.66,501.38,4999.46
Home Appliances,Samsung,Manager,23420586.36,8507,2753.10,500.13,4998.26
Home Appliances,Samsung,Sales Associate,24417288.54,8815,2769.97,500.21,4999.98
Home Appliances,Samsung,Salesperson,23451090.34,8560,2739.61,500.09,4999.90
Home Appliances,Samsung,Senior Salesperson,20646127.63,7546,2736.04,500.17,4999.94
Home Appliances,Whirlpool,Manager,23361538.91,8477,2755.87,501.18,4999.93
Home Appliances,Whirlpool,Sales Associate,24075341.28,8790,2738.95,501.35,4999.78
Home Appliances,Whirlpool,Salesperson,23500244.38,8586,2737.04,500.61,4999.73
Home Appliances,Whirlpool,Senior Salesperson,21032513.67,7630,2756.55,500.21,4999.12
Sports & Outdoors,Adidas,Manager,22947569.80,8232,2787.61,500.33,4999.05
Sports & Outdoors,Adidas,Sales Associate,24189509.36,8752,2763.88,502.59,4999.78
Sports & Outdoors,Adidas,Salesperson,23605563.00,8563,2756.69,500.89,4997.05
Sports & Outdoors,Adidas,Senior Salesperson,21285338.59,7770,2739.43,500.23,4998.24
Sports & Outdoors,Decathlon,Manager,22782272.00,8298,2745.51,500.07,4999.97
Sports & Outdoors,Decathlon,Sales Associate,24186358.41,8795,2750.01,500.09,4999.17
Sports & Outdoors,Decathlon,Salesperson,24046802.51,8738,2751.98,500.15,4999.77
Sports & Outdoors,Decathlon,Senior Salesperson,20635986.11,7518,2744.88,501.43,4999.49
Sports & Outdoors,Nike,Manager,23457098.56,8538,2747.38,500.14,4999.83
Sports & Outdoors,Nike,Sales Associate,24210726.36,8839,2739.08,501.50,4999.19
Sports & Outdoors,Nike,Salesperson,24059488.63,8696,2766.73,500.01,4999.02
Sports & Outdoors,Nike,Senior Salesperson,21202272.45,7640,2775.17,500.07,4999.44
Sports & Outdoors,Puma,Manager,23255563.64,8386,2773.14,500.04,4998.69
Sports & Outdoors,Puma,Sales Associate,24222019.82,8779,2759.09,500.10,4999.78
Sports & Outdoors,Puma,Salesperson,23444510.27,8625,2718.20,500.37,4999.89
Sports & Outdoors,Puma,Senior Salesperson,21484664.86,7825,2745.64,500.03,4999.61
Sports & Outdoors,Reebok,Manager,23076131.16,8416,2741.94,500.04,4999.34
Sports & Outdoors,Reebok,Sales Associate,24575830.44,8884,2766.30,500.37,4999.33
Sports & Outdoors,Reebok,Salesperson,24014504.85,8706,2758.39,500.30,4999.65
Sports & Outdoors,Reebok,Senior Salesperson,21021192.01,7642,2750.74,500.26,4999.53
