category,customer_segment,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Small Stores / Shops,Deal of the Month,312894.27,119,2629.36,598.75,4991.80
Clothing,Budget Shopper,Small Stores / Shops,Double Points Bonanza,375576.61,136,2761.59,624.32,4995.86
Clothing,Budget Shopper,Small Stores / Shops,Final Call Frenzy,347062.02,123,2821.64,530.47,4989.90
Clothing,Budget Shopper,Small Stores / Shops,"Gift More, Spend Less",312921.31,107,2924.50,714.20,4988.68
Clothing,Budget Shopper,Small Stores / Shops,Green Weekend Deals,301632.96,108,2792.90,559.58,4987.56
Clothing,Budget Shopper,Small Stores / Shops,Happy Hour Discounts,310763.20,117,2656.10,540.55,4870.97
Clothing,Budget Shopper,Small Stores / Shops,Holiday Shopping Rush,354655.09,121,2931.03,507.94,4967.70
Clothing,Budget Shopper,Small Stores / Shops,Hot Picks Promo,302923.35,108,2804.85,526.96,4984.66
Clothing,Budget Shopper,Small Stores / Shops,Limited Time Treasures,335960.45,124,2709.36,504.90,4997.38
Clothing,Budget Shopper,Small Stores / Shops,Mega Weekend Bonanza,333904.66,121,2759.54,512.13,4901.48
Clothing,Budget Shopper,Small Stores / Shops,Mid-Year Madness,313103.94,112,2795.57,505.48,4964.76
Clothing,Budget Shopper,Small Stores / Shops,Midnight Madness,315940.34,125,2527.52,509.57,4920.45
Clothing,Budget Shopper,Small Stores / Shops,New Product Launch Promo,311023.50,110,2827.49,507.38,4942.23
Clothing,Budget Shopper,Small Stores / Shops,New Year Kickoff,356816.90,128,2787.63,560.55,4973.48
Clothing,Budget Shopper,Small Stores / Shops,Red Tag Clearance,312845.52,110,2844.05,521.54,4996.92
Clothing,Budget Shopper,Small Stores / Shops,Seasonal Surprise Box,364628.71,135,2700.95,578.21,4961.02
Clothing,Budget Shopper,Small Stores / Shops,Shop & Save Spectacular,338587.62,119,2845.27,511.64,4997.51
Clothing,Budget Shopper,Small Stores / Shops,Smart Shopper Week,345698.34,126,2743.64,554.36,4965.91
Clothing,Budget Shopper,Small Stores / Shops,Spring Splash Discounts,322592.88,125,2580.74,509.24,4989.56
Clothing,Budget Shopper,Small Stores / Shops,Summer Sizzle Promo,304570.19,117,2603.16,563.97,4923.98
Clothing,Budget Shopper,Small Stores / Shops,Ultimate Value Event,316798.45,112,2828.56,526.43,4998.36
Clothing,Budget Shopper,Small Stores / Shops,Weekend Warrior Specials,348014.73,130,2677.04,535.23,4938.99
Clothing,Budget Shopper,Small Stores / Shops,Winter Wonders Sale,304411.64,110,2767.38,582.89,4935.10
Clothing,Budget Shopper,Supermarkets ,12 Days of Deals,347200.26,125,2777.60,505.04,4979.14
Clothing,Budget Shopper,Supermarkets ,Autumn Deals Drive,313167.02,105,2982.54,614.55,4985.71
Clothing,Budget Shopper,Supermarkets ,Back to School Boost,316121.24,116,2725.18,510.39,4969.60
Clothing,Budget Shopper,Supermarkets ,Birthday Bash Sale,306829.92,112,2739.55,518.24,4972.14
Clothing,Budget Shopper,Supermarkets ,Cart Crasher Campaign,336194.18,114,2949.07,571.88,4948.89
Clothing,Budget Shopper,Supermarkets ,Cashback Carnival,370426.97,131,2827.69,572.99,4978.36
Clothing,Budget Shopper,Supermarkets ,Countdown to Savings,368479.70,125,2947.84,503.90,4985.41
Clothing,Budget Shopper,Supermarkets ,Customer Appreciation Week,306130.97,105,2915.53,508.47,4983.91
Clothing,Budget Shopper,Supermarkets ,Cyber Monday Mania,352689.19,124,2844.27,524.05,4983.51
Clothing,Budget Shopper,Supermarkets ,Double Points Bonanza,336825.24,122,2760.86,521.69,4973.85
Clothing,Budget Shopper,Supermarkets ,Early Bird Specials,310548.21,113,2748.21,506.63,4996.74
Clothing,Budget Shopper,Supermarkets ,End of Season Sale,348454.61,122,2856.19,707.85,4999.17
Clothing,Budget Shopper,Supermarkets ,Festive Fever Promo,321870.86,123,2616.84,530.10,4892.93
Clothing,Budget Shopper,Supermarkets ,Final Call Frenzy,381804.08,125,3054.43,538.68,4976.65
Clothing,Budget Shopper,Supermarkets ,Flash Frenzy Friday,317529.41,118,2690.93,501.20,4843.13
Clothing,Budget Shopper,Supermarkets ,"Gift More, Spend Less",312829.30,116,2696.80,549.40,4852.46
Clothing,Budget Shopper,Supermarkets ,Green Weekend Deals,309811.53,113,2741.69,512.49,4948.44
Clothing,Budget Shopper,Supermarkets ,Happy Hour Discounts,303219.23,110,2756.54,596.11,4952.41
Clothing,Budget Shopper,Supermarkets ,Holiday Shopping Rush,330238.64,116,2846.88,506.38,4978.35
Clothing,Budget Shopper,Supermarkets ,Hot Picks Promo,331351.24,125,2650.81,512.09,4980.54
Clothing,Budget Shopper,Supermarkets ,Mega Weekend Bonanza,318843.36,121,2635.07,542.91,4980.14
Clothing,Budget Shopper,Supermarkets ,Mid-Year Madness,320515.14,119,2693.40,552.39,4989.93
Clothing,Budget Shopper,Supermarkets ,Midnight Madness,330447.06,123,2686.56,511.19,4973.36
Clothing,Budget Shopper,Supermarkets ,Mystery Discount Days,306517.41,117,2619.81,588.02,4876.09
Clothing,Budget Shopper,Supermarkets ,New Arrival Showcase,333332.22,122,2732.23,515.54,4991.08
Clothing,Budget Shopper,Supermarkets ,New Year Kickoff,305088.30,111,2748.54,519.85,4960.48
Clothing,Budget Shopper,Supermarkets ,Price Drop Parade,334520.13,120,2787.67,590.97,4977.32
Clothing,Budget Shopper,Supermarkets ,Red Tag Clearance,335393.33,131,2560.25,511.82,4969.17
Clothing,Budget Shopper,Supermarkets ,Shop & Save Spectacular,314493.21,113,2783.13,516.93,4959.39
Clothing,Budget Shopper,Supermarkets ,Spring Refresh Event,340339.51,126,2701.11,501.09,4987.97
Clothing,Budget Shopper,Supermarkets ,Spring Splash Discounts,324363.39,114,2845.29,524.51,4990.13
Clothing,Budget Shopper,Supermarkets ,Ultimate Value Event,340662.15,122,2792.31,534.20,4897.61
Clothing,Budget Shopper,Supermarkets ,VIP Access Sale,329199.24,116,2837.92,570.09,4952.49
Clothing,Budget Shopper,Supermarkets ,Weekend Warrior Specials,317213.10,115,2758.37,502.76,4953.54
Clothing,Budget Shopper,Supermarkets ,Winter Clearance Carnival,311542.69,107,2911.61,609.37,4985.99
Clothing,Budget Shopper,Supermarkets ,Winter Wonders Sale,348949.26,118,2957.20,577.90,4957.14
Clothing,Churn Risk,Large Malls / Complexes,Autumn Deals Drive,313611.96,111,2825.33,599.17,4948.43
Clothing,Churn Risk,Large Malls / Complexes,BOGO Blitz,310061.57,112,2768.41,556.04,4958.62
Clothing,Churn Risk,Large Malls / Complexes,Back to School Boost,316680.71,117,2706.67,501.92,4991.50
Clothing,Churn Risk,Large Malls / Complexes,Birthday Bash Sale,310598.22,109,2849.52,501.83,4957.03
Clothing,Churn Risk,Large Malls / Complexes,Cashback Carnival,304744.78,116,2627.11,516.03,4994.40
Clothing,Churn Risk,Large Malls / Complexes,Early Bird Specials,320874.52,117,2742.52,519.84,4991.60
Clothing,Churn Risk,Large Malls / Complexes,End of Season Sale,347029.99,121,2868.02,503.81,4983.53
Clothing,Churn Risk,Large Malls / Complexes,Golden Hour Bargains,361660.96,132,2739.86,515.33,4984.06
Clothing,Churn Risk,Large Malls / Complexes,Happy Hour Discounts,332463.75,123,2702.96,505.67,4994.51
Clothing,Churn Risk,Large Malls / Complexes,Holiday Shopping Rush,303668.00,109,2785.94,526.90,4942.69
Clothing,Churn Risk,Large Malls / Complexes,Mid-Year Madness,341578.11,117,2919.47,566.94,4969.79
Clothing,Churn Risk,Large Malls / Complexes,Midnight Madness,304901.78,106,2876.43,689.07,4976.33
Clothing,Churn Risk,Large Malls / Complexes,Smart Shopper Week,308922.51,114,2709.85,504.15,4999.86
Clothing,Churn Risk,Large Malls / Complexes,Spring Splash Discounts,322759.97,112,2881.79,505.77,4956.96
Clothing,Churn Risk,Large Malls / Complexes,Super Savings Week,332309.87,113,2940.80,518.08,4992.52
Clothing,Churn Risk,Small Stores / Shops,12 Days of Deals,301149.24,106,2841.03,557.51,4977.32
Clothing,Churn Risk,Small Stores / Shops,Autumn Deals Drive,339490.73,127,2673.16,518.98,4992.48
Clothing,Churn Risk,Small Stores / Shops,Birthday Bash Sale,413311.15,143,2890.29,510.00,4997.78
Clothing,Churn Risk,Small Stores / Shops,Countdown to Savings,327074.71,118,2771.82,520.50,4990.06
Clothing,Churn Risk,Small Stores / Shops,Customer Appreciation Week,302501.23,107,2827.11,525.36,4981.97
Clothing,Churn Risk,Small Stores / Shops,Cyber Monday Mania,324708.39,113,2873.53,511.64,4992.60
Clothing,Churn Risk,Small Stores / Shops,Exclusive Insider Offers,303864.16,115,2642.30,555.37,4989.88
Clothing,Churn Risk,Small Stores / Shops,Festive Fever Promo,316490.45,106,2985.76,599.50,4995.75
Clothing,Churn Risk,Small Stores / Shops,Flash Frenzy Friday,320184.78,112,2858.79,537.39,4895.32
Clothing,Churn Risk,Small Stores / Shops,"Gift More, Spend Less",341062.61,126,2706.85,510.65,4958.60
Clothing,Churn Risk,Small Stores / Shops,Golden Hour Bargains,333491.14,115,2899.92,500.57,4994.31
Clothing,Churn Risk,Small Stores / Shops,Happy Hour Discounts,327694.29,112,2925.84,542.50,4990.80
Clothing,Churn Risk,Small Stores / Shops,Holiday Shopping Rush,334649.97,123,2720.73,528.18,4974.99
Clothing,Churn Risk,Small Stores / Shops,Instant Gratification Sale,329176.71,125,2633.41,556.76,4998.85
Clothing,Churn Risk,Small Stores / Shops,Limited Time Treasures,316634.57,115,2753.34,556.91,4989.05
Clothing,Churn Risk,Small Stores / Shops,Loyalty Rewards Blast,318987.61,118,2703.28,528.24,4991.43
Clothing,Churn Risk,Small Stores / Shops,Mega Weekend Bonanza,384287.32,134,2867.82,503.55,4992.14
Clothing,Churn Risk,Small Stores / Shops,Mid-Year Madness,334710.66,117,2860.77,524.32,4962.31
Clothing,Churn Risk,Small Stores / Shops,Midnight Madness,318831.09,114,2796.76,508.22,4884.44
Clothing,Churn Risk,Small Stores / Shops,Mystery Discount Days,336626.57,122,2759.23,529.69,4971.47
Clothing,Churn Risk,Small Stores / Shops,New Arrival Showcase,317751.69,110,2888.65,557.24,4992.69
Clothing,Churn Risk,Small Stores / Shops,New Year Kickoff,347631.25,127,2737.25,518.02,4954.51
Clothing,Churn Risk,Small Stores / Shops,Red Tag Clearance,343051.56,128,2680.09,550.63,4982.81
Clothing,Churn Risk,Small Stores / Shops,Seasonal Surprise Box,377300.61,139,2714.39,529.30,4943.21
Clothing,Churn Risk,Small Stores / Shops,Shop & Save Spectacular,348331.25,120,2902.76,506.94,4997.93
Clothing,Churn Risk,Small Stores / Shops,Summer Sizzle Promo,313521.39,115,2726.27,627.05,4995.97
Clothing,Churn Risk,Small Stores / Shops,Super Savings Week,364799.53,126,2895.23,513.59,4837.76
Clothing,Churn Risk,Small Stores / Shops,VIP Access Sale,339259.08,117,2899.65,513.77,4934.01
Clothing,Churn Risk,Small Stores / Shops,Weekend Warrior Specials,308045.56,122,2524.96,517.69,4989.77
Clothing,Churn Risk,Small Stores / Shops,Winter Wonders Sale,338886.95,131,2586.92,565.04,4977.17
Clothing,Churn Risk,Supermarkets ,12 Days of Deals,364639.32,139,2623.30,607.65,4977.84
Clothing,Churn Risk,Supermarkets ,BOGO Blitz,347482.92,125,2779.86,626.00,4996.75
Clothing,Churn Risk,Supermarkets ,Back to School Boost,353899.78,126,2808.73,588.07,4974.32
Clothing,Churn Risk,Supermarkets ,Birthday Bash Sale,350468.90,125,2803.75,574.63,4972.66
Clothing,Churn Risk,Supermarkets ,Cart Crasher Campaign,332967.60,121,2751.80,596.81,4997.29
Clothing,Churn Risk,Supermarkets ,Cashback Carnival,322859.17,119,2713.10,505.92,4947.84
Clothing,Churn Risk,Supermarkets ,Countdown to Savings,319274.24,119,2682.98,525.74,4916.26
Clothing,Churn Risk,Supermarkets ,Cyber Monday Mania,317647.81,109,2914.20,509.47,4981.82
Clothing,Churn Risk,Supermarkets ,Deal of the Month,331889.50,121,2742.89,502.65,4982.42
Clothing,Churn Risk,Supermarkets ,End of Season Sale,357120.55,121,2951.41,537.27,4995.12
Clothing,Churn Risk,Supermarkets ,Festive Fever Promo,315678.66,124,2545.80,510.97,4965.81
Clothing,Churn Risk,Supermarkets ,Final Call Frenzy,384723.10,130,2959.41,592.02,4993.58
Clothing,Churn Risk,Supermarkets ,Flash Frenzy Friday,348461.14,131,2660.01,511.20,4863.16
Clothing,Churn Risk,Supermarkets ,"Gift More, Spend Less",311459.76,118,2639.49,585.94,4977.65
Clothing,Churn Risk,Supermarkets ,Green Weekend Deals,329787.17,124,2659.57,631.26,4968.92
Clothing,Churn Risk,Supermarkets ,Hot Picks Promo,320731.78,124,2586.55,574.15,4976.01
Clothing,Churn Risk,Supermarkets ,Limited Time Treasures,329574.29,113,2916.59,520.25,4989.54
Clothing,Churn Risk,Supermarkets ,Loyalty Rewards Blast,302817.11,101,2998.19,620.87,4997.44
Clothing,Churn Risk,Supermarkets ,Mega Weekend Bonanza,309624.66,121,2558.88,526.35,4996.67
Clothing,Churn Risk,Supermarkets ,Mid-Year Madness,327756.57,123,2664.69,502.44,4935.87
Clothing,Churn Risk,Supermarkets ,Mystery Discount Days,364950.82,129,2829.08,549.84,4998.98
Clothing,Churn Risk,Supermarkets ,New Arrival Showcase,358759.10,131,2738.62,500.17,4887.41
Clothing,Churn Risk,Supermarkets ,New Product Launch Promo,338218.68,122,2772.28,520.13,4973.89
Clothing,Churn Risk,Supermarkets ,Seasonal Surprise Box,302372.80,107,2825.91,631.36,4988.87
Clothing,Churn Risk,Supermarkets ,Shop & Save Spectacular,348634.26,122,2857.66,531.76,4962.54
Clothing,Churn Risk,Supermarkets ,Smart Shopper Week,328259.16,116,2829.82,541.56,4889.47
Clothing,Churn Risk,Supermarkets ,Spring Refresh Event,330505.93,118,2800.90,517.43,4997.20
Clothing,Churn Risk,Supermarkets ,Summer Sizzle Promo,302539.36,117,2585.81,580.01,4990.32
Clothing,Churn Risk,Supermarkets ,Super Savings Week,310465.66,117,2653.55,505.22,4994.09
Clothing,Churn Risk,Supermarkets ,Ultimate Value Event,308960.51,119,2596.31,622.43,4998.67
Clothing,Churn Risk,Supermarkets ,VIP Access Sale,320594.57,109,2941.23,530.38,4990.46
Clothing,Churn Risk,Supermarkets ,Winter Clearance Carnival,333169.30,118,2823.47,510.18,4994.24
Clothing,Churn Risk,Supermarkets ,Winter Wonders Sale,306810.00,108,2840.83,510.86,4960.21
Clothing,Deal Seeker,Large Malls / Complexes,12 Days of Deals,332609.35,122,2726.31,540.17,4941.01
Clothing,Deal Seeker,Large Malls / Complexes,Autumn Deals Drive,327469.29,110,2976.99,527.50,4916.09
Clothing,Deal Seeker,Large Malls / Complexes,Back to School Boost,330595.44,118,2801.66,518.87,4970.33
Clothing,Deal Seeker,Large Malls / Complexes,Birthday Bash Sale,308821.64,118,2617.13,509.63,4994.20
Clothing,Deal Seeker,Large Malls / Complexes,Clearance Countdown,326761.05,118,2769.16,504.91,4996.18
Clothing,Deal Seeker,Large Malls / Complexes,Customer Appreciation Week,301791.98,112,2694.57,510.73,4938.01
Clothing,Deal Seeker,Large Malls / Complexes,Cyber Monday Mania,300500.80,113,2659.30,502.02,4977.22
Clothing,Deal Seeker,Large Malls / Complexes,Deal of the Month,351622.92,120,2930.19,577.97,4958.53
Clothing,Deal Seeker,Large Malls / Complexes,Early Bird Specials,304064.65,112,2714.86,567.13,4955.68
Clothing,Deal Seeker,Large Malls / Complexes,Final Call Frenzy,372082.57,132,2818.81,511.35,4996.06
Clothing,Deal Seeker,Large Malls / Complexes,Happy Hour Discounts,304703.42,113,2696.49,591.28,4919.57
Clothing,Deal Seeker,Large Malls / Complexes,Instant Gratification Sale,301152.19,117,2573.95,509.42,4956.20
Clothing,Deal Seeker,Large Malls / Complexes,Limited Time Treasures,311297.84,115,2706.94,509.27,4863.98
Clothing,Deal Seeker,Large Malls / Complexes,Loyalty Rewards Blast,338162.80,122,2771.83,505.10,4953.74
Clothing,Deal Seeker,Large Malls / Complexes,Mid-Year Madness,312964.68,117,2674.91,501.32,4991.52
Clothing,Deal Seeker,Large Malls / Complexes,Mystery Discount Days,325923.34,112,2910.03,561.44,4976.22
Clothing,Deal Seeker,Large Malls / Complexes,New Arrival Showcase,331306.92,110,3011.88,614.97,4998.00
Clothing,Deal Seeker,Large Malls / Complexes,Price Drop Parade,310774.10,111,2799.77,528.48,4887.16
Clothing,Deal Seeker,Large Malls / Complexes,Red Tag Clearance,307151.55,109,2817.90,517.61,4905.92
Clothing,Deal Seeker,Large Malls / Complexes,Seasonal Surprise Box,340402.17,122,2790.18,626.49,4996.55
Clothing,Deal Seeker,Large Malls / Complexes,Smart Shopper Week,325138.55,112,2903.02,533.56,4951.75
Clothing,Deal Seeker,Large Malls / Complexes,Super Savings Week,328352.19,112,2931.72,502.63,4964.89
Clothing,Deal Seeker,Large Malls / Complexes,Ultimate Value Event,360398.35,123,2930.07,593.54,4992.22
Clothing,Deal Seeker,Large Malls / Complexes,VIP Access Sale,305189.20,109,2799.90,552.95,4931.18
Clothing,Deal Seeker,Large Malls / Complexes,Winter Wonders Sale,320538.74,119,2693.60,528.79,4991.55
Clothing,Deal Seeker,Small Stores / Shops,12 Days of Deals,378480.63,132,2867.28,513.34,4996.81
Clothing,Deal Seeker,Small Stores / Shops,Autumn Deals Drive,366101.32,133,2752.64,514.37,4977.30
Clothing,Deal Seeker,Small Stores / Shops,BOGO Blitz,357822.24,137,2611.84,518.34,4964.63
Clothing,Deal Seeker,Small Stores / Shops,Back to School Boost,323962.97,119,2722.38,530.38,4851.62
Clothing,Deal Seeker,Small Stores / Shops,Birthday Bash Sale,308868.16,109,2833.65,501.20,4893.86
Clothing,Deal Seeker,Small Stores / Shops,Black Friday Blowout,371215.11,138,2689.96,514.06,4996.19
Clothing,Deal Seeker,Small Stores / Shops,Clearance Countdown,316479.44,116,2728.27,603.16,4940.31
Clothing,Deal Seeker,Small Stores / Shops,Early Bird Specials,353390.85,122,2896.65,553.35,4988.14
Clothing,Deal Seeker,Small Stores / Shops,Exclusive Insider Offers,327536.84,115,2848.15,513.28,4934.79
Clothing,Deal Seeker,Small Stores / Shops,Festive Fever Promo,339422.08,123,2759.53,509.13,4909.62
Clothing,Deal Seeker,Small Stores / Shops,Flash Frenzy Friday,303449.63,118,2571.61,535.55,4976.58
Clothing,Deal Seeker,Small Stores / Shops,"Gift More, Spend Less",341477.01,124,2753.85,514.52,4841.81
Clothing,Deal Seeker,Small Stores / Shops,Green Weekend Deals,361331.67,137,2637.46,502.55,4987.69
Clothing,Deal Seeker,Small Stores / Shops,Instant Gratification Sale,314712.11,113,2785.06,508.35,4969.22
Clothing,Deal Seeker,Small Stores / Shops,Loyalty Rewards Blast,346444.75,122,2839.71,543.79,4985.45
Clothing,Deal Seeker,Small Stores / Shops,Mega Weekend Bonanza,311692.09,109,2859.56,706.49,4957.09
Clothing,Deal Seeker,Small Stores / Shops,Midnight Madness,333159.32,112,2974.64,532.28,4998.11
Clothing,Deal Seeker,Small Stores / Shops,New Arrival Showcase,333202.90,122,2731.17,506.65,4978.03
Clothing,Deal Seeker,Small Stores / Shops,New Product Launch Promo,320276.22,111,2885.37,656.14,4988.38
Clothing,Deal Seeker,Small Stores / Shops,New Year Kickoff,331157.00,120,2759.64,529.24,4992.69
Clothing,Deal Seeker,Small Stores / Shops,Price Drop Parade,341393.24,127,2688.14,631.93,4975.50
Clothing,Deal Seeker,Small Stores / Shops,Red Tag Clearance,314374.37,115,2733.69,518.26,4994.15
Clothing,Deal Seeker,Small Stores / Shops,Seasonal Surprise Box,306811.54,118,2600.10,515.96,4978.73
Clothing,Deal Seeker,Small Stores / Shops,Shop & Save Spectacular,316223.05,119,2657.34,500.14,4995.64
Clothing,Deal Seeker,Small Stores / Shops,Smart Shopper Week,328849.33,117,2810.68,505.75,4968.11
Clothing,Deal Seeker,Small Stores / Shops,Summer Sizzle Promo,308502.16,113,2730.11,513.93,4975.17
Clothing,Deal Seeker,Small Stores / Shops,Weekend Warrior Specials,328296.62,120,2735.81,584.39,4884.25
Clothing,Deal Seeker,Small Stores / Shops,Winter Clearance Carnival,317492.71,108,2939.75,524.22,4941.51
Clothing,Deal Seeker,Small Stores / Shops,Winter Wonders Sale,310565.66,115,2700.57,527.33,4958.44
Clothing,Deal Seeker,Supermarkets ,Autumn Deals Drive,359918.68,132,2726.66,511.91,4991.85
Clothing,Deal Seeker,Supermarkets ,Back to School Boost,406826.81,140,2905.91,514.47,4989.82
Clothing,Deal Seeker,Supermarkets ,Birthday Bash Sale,305404.47,129,2367.48,529.73,4972.85
Clothing,Deal Seeker,Supermarkets ,Black Friday Blowout,307400.67,109,2820.19,516.57,4967.33
Clothing,Deal Seeker,Supermarkets ,Cart Crasher Campaign,319510.15,116,2754.40,501.15,4989.90
Clothing,Deal Seeker,Supermarkets ,Cashback Carnival,300949.02,108,2786.56,517.57,4997.64
Clothing,Deal Seeker,Supermarkets ,Customer Appreciation Week,310848.58,108,2878.23,523.40,4934.98
Clothing,Deal Seeker,Supermarkets ,Deal of the Month,363488.98,127,2862.12,507.38,4992.66
Clothing,Deal Seeker,Supermarkets ,Double Points Bonanza,338670.67,120,2822.26,501.70,4974.49
Clothing,Deal Seeker,Supermarkets ,Early Bird Specials,338354.93,116,2916.85,646.45,4969.72
Clothing,Deal Seeker,Supermarkets ,Festive Fever Promo,338910.52,128,2647.74,524.93,4966.75
Clothing,Deal Seeker,Supermarkets ,Flash Frenzy Friday,384877.22,134,2872.22,563.79,4994.26
Clothing,Deal Seeker,Supermarkets ,"Gift More, Spend Less",317679.86,113,2811.33,510.97,4898.22
Clothing,Deal Seeker,Supermarkets ,Golden Hour Bargains,342342.46,123,2783.27,517.13,4997.10
Clothing,Deal Seeker,Supermarkets ,Green Weekend Deals,319168.47,115,2775.38,501.10,4989.62
Clothing,Deal Seeker,Supermarkets ,Happy Hour Discounts,313670.09,114,2751.49,546.58,4993.33
Clothing,Deal Seeker,Supermarkets ,Hot Picks Promo,340723.51,119,2863.22,502.48,4958.46
Clothing,Deal Seeker,Supermarkets ,Limited Time Treasures,327025.81,118,2771.41,501.46,4886.81
Clothing,Deal Seeker,Supermarkets ,Loyalty Rewards Blast,322524.78,119,2710.29,571.99,4965.78
Clothing,Deal Seeker,Supermarkets ,Mega Weekend Bonanza,308578.58,107,2883.91,520.09,4938.98
Clothing,Deal Seeker,Supermarkets ,Midnight Madness,341971.24,125,2735.77,550.32,4971.85
Clothing,Deal Seeker,Supermarkets ,Mystery Discount Days,341440.00,117,2918.29,541.42,4957.45
Clothing,Deal Seeker,Supermarkets ,New Year Kickoff,321343.80,121,2655.73,516.64,4928.21
Clothing,Deal Seeker,Supermarkets ,Price Drop Parade,339500.55,122,2782.79,504.45,4974.06
Clothing,Deal Seeker,Supermarkets ,Seasonal Surprise Box,350628.83,120,2921.91,500.52,4957.04
Clothing,Deal Seeker,Supermarkets ,Spring Refresh Event,312146.99,113,2762.36,606.06,4987.17
Clothing,Deal Seeker,Supermarkets ,Summer Sizzle Promo,364486.28,130,2803.74,523.67,4997.93
Clothing,Deal Seeker,Supermarkets ,VIP Access Sale,330775.89,128,2584.19,507.92,4992.69
Clothing,Deal Seeker,Supermarkets ,Weekend Warrior Specials,337710.03,124,2723.47,533.56,4906.69
Clothing,Deal Seeker,Supermarkets ,Winter Wonders Sale,320865.20,123,2608.66,521.06,4996.30
Clothing,First-time Buyer,Large Malls / Complexes,12 Days of Deals,365793.98,128,2857.77,500.37,4951.22
Clothing,First-time Buyer,Large Malls / Complexes,BOGO Blitz,355794.56,120,2964.95,523.98,4950.27
Clothing,First-time Buyer,Large Malls / Complexes,Back to School Boost,317310.35,113,2808.06,575.54,4987.30
Clothing,First-time Buyer,Large Malls / Complexes,Birthday Bash Sale,321062.82,117,2744.13,526.11,4990.75
Clothing,First-time Buyer,Large Malls / Complexes,Cart Crasher Campaign,317160.61,118,2687.80,514.42,4992.50
Clothing,First-time Buyer,Large Malls / Complexes,Customer Appreciation Week,352783.44,130,2713.72,510.44,4923.75
Clothing,First-time Buyer,Large Malls / Complexes,Double Points Bonanza,313687.10,113,2775.99,511.19,4962.25
Clothing,First-time Buyer,Large Malls / Complexes,Early Bird Specials,328813.23,118,2786.55,536.49,4953.71
Clothing,First-time Buyer,Large Malls / Complexes,Exclusive Insider Offers,313892.11,110,2853.56,580.47,4984.23
Clothing,First-time Buyer,Large Malls / Complexes,Flash Frenzy Friday,307618.49,108,2848.32,598.91,4955.85
