brand,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Bosch,Small Stores / Shops,Manager,7537170.51,2764,2726.91,503.76,4998.02
Bosch,Small Stores / Shops,Sales Associate,7839231.71,2864,2737.16,504.11,4997.54
Bosch,Small Stores / Shops,Salesperson,7953704.37,2913,2730.42,502.07,4998.12
Bosch,Small Stores / Shops,Senior Salesperson,6864886.62,2537,2705.91,500.98,4998.56
Bosch,Supermarkets ,Manager,8100707.18,2962,2734.88,502.91,4999.80
Bosch,Supermarkets ,Sales Associate,8413469.76,3106,2708.78,500.10,4998.09
Bosch,Supermarkets ,Salesperson,8262612.02,2993,2760.65,500.13,4998.61
Bosch,Supermarkets ,Senior Salesperson,7095464.57,2595,2734.28,500.65,4994.48
Britannia,Large Malls / Complexes,Manager,6924016.88,2543,2722.78,502.96,4999.40
Britannia,Large Malls / Complexes,Sales Associate,7356275.05,2735,2689.68,502.18,4999.95
Britannia,Large Malls / Complexes,Salesperson,7442400.92,2682,2774.94,506.50,4999.56
Britannia,Large Malls / Complexes,Senior Salesperson,6424879.80,2339,2746.85,500.98,4998.24
Britannia,Small Stores / Shops,Manager,7811179.91,2802,2787.72,500.31,4999.83
Britannia,Small Stores / Shops,Sales Associate,8186634.08,2983,2744.43,501.28,4997.84
Britannia,Small Stores / Shops,Salesperson,7836615.83,2862,2738.16,500.43,4996.15
Britannia,Small Stores / Shops,Senior Salesperson,6801835.69,2491,2730.56,500.75,4998.54
Britannia,Supermarkets ,Manager,7836679.86,2872,2728.65,500.56,4994.55
Britannia,Supermarkets ,Sales Associate,8354994.89,3055,2734.86,504.60,4999.16
Britannia,Supermarkets ,Salesperson,8101151.68,2982,2716.68,503.77,4996.82
Britannia,Supermarkets ,Senior Salesperson,7308730.14,2640,2768.46,504.64,4997.17
Decathlon,Large Malls / Complexes,Manager,7167887.03,2581,2777.17,500.07,4995.74
Decathlon,Large Malls / Complexes,Sales Associate,7441385.13,2693,2763.23,500.42,4998.97
Decathlon,Large Malls / Complexes,Salesperson,7670659.68,2779,2760.22,501.50,4997.18
Decathlon,Large Malls / Complexes,Senior Salesperson,6313464.01,2349,2687.72,501.43,4997.59
Decathlon,Small Stores / Shops,Manager,7702601.14,2810,2741.14,500.22,4996.23
Decathlon,Small Stores / Shops,Sales Associate,8303826.81,3019,2750.52,500.23,4998.94
Decathlon,Small Stores / Shops,Salesperson,8193782.53,2967,2761.64,500.15,4999.25
Decathlon,Small Stores / Shops,Senior Salesperson,6995320.09,2511,2785.87,502.80,4997.17
Decathlon,Supermarkets ,Manager,7911783.82,2907,2721.63,505.25,4999.97
Decathlon,Supermarkets ,Sales Associate,8441146.47,3083,2737.97,500.09,4999.17
Decathlon,Supermarkets ,Salesperson,8182360.30,2992,2734.75,500.60,4999.77
Decathlon,Supermarkets ,Senior Salesperson,7327202.01,2658,2756.66,502.21,4999.49
Godrej Interio,Large Malls / Complexes,Manager,7083203.48,2573,2752.90,500.68,4999.65
Godrej Interio,Large Malls / Complexes,Sales Associate,7536241.05,2754,2736.47,500.23,4998.10
Godrej Interio,Large Malls / Complexes,Salesperson,7555518.48,2730,2767.59,500.38,4999.01
Godrej Interio,Large Malls / Complexes,Senior Salesperson,6628371.73,2391,2772.22,503.27,4999.77
Godrej Interio,Small Stores / Shops,Manager,7883174.43,2892,2725.86,501.02,4997.34
Godrej Interio,Small Stores / Shops,Sales Associate,7846443.67,2858,2745.43,500.57,4999.44
Godrej Interio,Small Stores / Shops,Salesperson,7942764.67,2893,2745.51,501.91,4998.30
Godrej Interio,Small Stores / Shops,Senior Salesperson,7063256.63,2634,2681.57,501.18,4999.40
Godrej Interio,Supermarkets ,Manager,7816330.29,2881,2713.06,501.67,4997.96
Godrej Interio,Supermarkets ,Sales Associate,8331321.27,3041,2739.67,502.89,4998.80
Godrej Interio,Supermarkets ,Salesperson,8259054.11,3040,2716.79,503.47,4999.17
Godrej Interio,Supermarkets ,Senior Salesperson,7330266.70,2643,2773.46,502.59,4999.39
Haier,Large Malls / Complexes,Manager,7218534.06,2627,2747.82,501.18,4998.92
Haier,Large Malls / Complexes,Sales Associate,7532179.66,2729,2760.05,500.36,4997.27
Haier,Large Malls / Complexes,Salesperson,7530405.69,2729,2759.40,500.27,4997.58
Haier,Large Malls / Complexes,Senior Salesperson,6523780.82,2370,2752.65,500.33,4998.01
Haier,Small Stores / Shops,Manager,7923085.56,2911,2721.77,500.92,4999.06
Haier,Small Stores / Shops,Sales Associate,8318922.20,2975,2796.28,500.57,4997.98
Haier,Small Stores / Shops,Salesperson,7868190.14,2943,2673.53,500.66,4997.95
Haier,Small Stores / Shops,Senior Salesperson,6975076.27,2549,2736.40,500.05,4990.66
Haier,Supermarkets ,Manager,7961247.04,2870,2773.95,500.00,4997.36
Haier,Supermarkets ,Sales Associate,8473951.74,3114,2721.24,501.47,4998.93
Haier,Supermarkets ,Salesperson,8189697.99,2963,2763.99,500.39,4999.91
Haier,Supermarkets ,Senior Salesperson,7204088.13,2636,2732.96,501.43,4999.84
Home Centre,Large Malls / Complexes,Manager,7259371.02,2673,2715.81,501.07,4999.60
Home Centre,Large Malls / Complexes,Sales Associate,7765563.25,2812,2761.58,503.37,4998.34
Home Centre,Large Malls / Complexes,Salesperson,7678507.40,2737,2805.45,500.35,4999.33
Home Centre,Large Malls / Complexes,Senior Salesperson,6687204.41,2421,2762.17,500.56,4997.41
Home Centre,Small Stores / Shops,Manager,7914633.11,2824,2802.63,500.93,4999.89
Home Centre,Small Stores / Shops,Sales Associate,8548902.05,3070,2784.66,501.40,4998.90
Home Centre,Small Stores / Shops,Salesperson,7986378.00,2868,2784.65,503.77,4999.64
Home Centre,Small Stores / Shops,Senior Salesperson,7059030.04,2541,2778.05,502.75,4999.30
Home Centre,Supermarkets ,Manager,7941785.32,2889,2748.97,501.93,4999.90
Home Centre,Supermarkets ,Sales Associate,8476928.37,3096,2738.03,502.08,4999.68
Home Centre,Supermarkets ,Salesperson,8176254.65,2974,2749.25,500.23,4997.23
Home Centre,Supermarkets ,Senior Salesperson,6996107.87,2573,2719.05,500.58,4998.45
IKEA,Large Malls / Complexes,Manager,7011921.32,2547,2753.01,502.21,4996.31
IKEA,Large Malls / Complexes,Sales Associate,7995142.25,2910,2747.47,504.41,4999.69
IKEA,Large Malls / Complexes,Salesperson,7591449.72,2762,2748.53,505.20,4997.00
IKEA,Large Malls / Complexes,Senior Salesperson,6388711.87,2337,2733.72,501.95,4996.11
IKEA,Small Stores / Shops,Manager,7950500.91,2892,2749.14,504.36,4999.21
IKEA,Small Stores / Shops,Sales Associate,8080048.36,2890,2795.86,500.31,4998.88
IKEA,Small Stores / Shops,Salesperson,7976838.10,2877,2772.62,501.83,4998.02
IKEA,Small Stores / Shops,Senior Salesperson,6944222.60,2569,2703.08,500.06,4998.66
IKEA,Supermarkets ,Manager,8025985.64,2935,2734.58,501.84,4992.85
IKEA,Supermarkets ,Sales Associate,8619191.93,3104,2776.80,501.50,4998.49
IKEA,Supermarkets ,Salesperson,8531663.46,3119,2735.38,500.31,4999.12
IKEA,Supermarkets ,Senior Salesperson,7122197.68,2619,2719.43,501.39,4996.87
Kellogg's,Large Malls / Complexes,Manager,7188786.04,2634,2729.23,513.24,4998.78
Kellogg's,Large Malls / Complexes,Sales Associate,7791097.74,2831,2752.07,501.42,4999.51
Kellogg's,Large Malls / Complexes,Salesperson,7759743.82,2804,2767.38,500.73,4999.86
Kellogg's,Large Malls / Complexes,Senior Salesperson,6563731.34,2357,2784.78,500.54,4999.96
Kellogg's,Small Stores / Shops,Manager,7519123.53,2735,2749.22,500.37,4998.35
Kellogg's,Small Stores / Shops,Sales Associate,8055967.47,2928,2751.36,503.77,4998.79
Kellogg's,Small Stores / Shops,Salesperson,8192207.35,3005,2726.19,500.64,4999.20
Kellogg's,Small Stores / Shops,Senior Salesperson,7073672.21,2541,2783.81,500.73,4999.89
Kellogg's,Supermarkets ,Manager,7725389.25,2797,2762.03,500.12,4999.58
Kellogg's,Supermarkets ,Sales Associate,8304879.08,3031,2739.98,500.98,4999.73
Kellogg's,Supermarkets ,Salesperson,8375777.10,3011,2781.73,500.16,4999.85
Kellogg's,Supermarkets ,Senior Salesperson,7000701.25,2549,2746.45,503.39,4999.82
LG,Large Malls / Complexes,Manager,14520533.61,5292,2743.87,500.28,4999.91
LG,Large Malls / Complexes,Sales Associate,15406074.17,5596,2753.05,500.70,4999.48
LG,Large Malls / Complexes,Salesperson,15740076.39,5643,2789.31,500.92,4999.75
LG,Large Malls / Complexes,Senior Salesperson,13510989.63,4851,2785.20,501.49,4999.46
LG,Small Stores / Shops,Manager,15430371.05,5622,2744.64,501.23,4999.15
LG,Small Stores / Shops,Sales Associate,16342059.17,5971,2736.90,500.75,4998.01
LG,Small Stores / Shops,Salesperson,15925246.62,5817,2737.71,502.12,4999.20
LG,Small Stores / Shops,Senior Salesperson,13712040.51,4975,2756.19,501.06,4998.59
LG,Supermarkets ,Manager,15774997.06,5743,2746.82,500.17,4997.34
LG,Supermarkets ,Sales Associate,16526572.01,5983,2762.26,500.36,4999.77
LG,Supermarkets ,Salesperson,16354378.37,5963,2742.64,502.26,4999.43
LG,Supermarkets ,Senior Salesperson,14211402.34,5190,2738.23,501.38,4999.09
Levi's,Large Malls / Complexes,Manager,7424553.84,2694,2755.96,500.37,4996.58
Levi's,Large Malls / Complexes,Sales Associate,7614660.14,2784,2735.15,500.60,4997.07
Levi's,Large Malls / Complexes,Salesperson,7670770.90,2764,2775.24,502.63,4999.97
Levi's,Large Malls / Complexes,Senior Salesperson,6432604.19,2349,2738.44,502.02,4999.60
Levi's,Small Stores / Shops,Manager,7588139.88,2765,2744.35,500.17,4999.21
Levi's,Small Stores / Shops,Sales Associate,8166933.32,3014,2709.67,501.31,4999.49
Levi's,Small Stores / Shops,Salesperson,8320393.44,3005,2768.85,503.19,4998.97
Levi's,Small Stores / Shops,Senior Salesperson,7398909.06,2663,2778.41,502.23,4997.36
Levi's,Supermarkets ,Manager,7961911.93,2884,2760.72,500.17,4998.47
Levi's,Supermarkets ,Sales Associate,8553856.91,3116,2745.14,500.12,4999.85
Levi's,Supermarkets ,Salesperson,7967795.78,2907,2740.90,501.79,4996.75
Levi's,Supermarkets ,Senior Salesperson,7246327.58,2621,2764.72,506.33,4994.57
Nestle,Large Malls / Complexes,Manager,6876827.96,2533,2714.89,501.89,4997.02
Nestle,Large Malls / Complexes,Sales Associate,7542658.15,2723,2769.98,501.31,4999.92
Nestle,Large Malls / Complexes,Salesperson,7339337.11,2630,2790.62,500.36,4998.49
Nestle,Large Malls / Complexes,Senior Salesperson,6497100.73,2395,2712.78,502.89,4999.39
Nestle,Small Stores / Shops,Manager,7794045.85,2754,2830.08,500.60,4999.70
Nestle,Small Stores / Shops,Sales Associate,8161420.29,2978,2740.57,501.53,4998.48
Nestle,Small Stores / Shops,Salesperson,8094389.08,2941,2752.26,504.13,4996.98
Nestle,Small Stores / Shops,Senior Salesperson,6847773.47,2508,2730.37,501.97,4998.37
Nestle,Supermarkets ,Manager,8055653.38,2917,2761.62,501.65,4996.80
Nestle,Supermarkets ,Sales Associate,8473729.38,3084,2747.64,505.33,4998.90
Nestle,Supermarkets ,Salesperson,8265472.49,3009,2746.92,502.13,4998.94
Nestle,Supermarkets ,Senior Salesperson,7227571.76,2655,2722.25,500.03,4999.88
Nike,Large Malls / Complexes,Manager,14560395.24,5328,2732.81,501.20,4999.12
Nike,Large Malls / Complexes,Sales Associate,15359515.56,5579,2753.09,500.72,4999.19
Nike,Large Malls / Complexes,Salesperson,14996922.57,5456,2748.70,500.82,4999.19
Nike,Large Malls / Complexes,Senior Salesperson,13081343.81,4790,2730.97,500.29,4999.01
Nike,Small Stores / Shops,Manager,15875387.91,5717,2776.87,500.14,4999.83
Nike,Small Stores / Shops,Sales Associate,16377383.06,5907,2772.54,500.14,4999.95
Nike,Small Stores / Shops,Salesperson,16485230.46,5958,2766.91,500.01,4998.67
Nike,Small Stores / Shops,Senior Salesperson,14288045.72,5136,2781.94,500.07,4999.44
Nike,Supermarkets ,Manager,15952342.53,5792,2754.20,500.89,4999.75
Nike,Supermarkets ,Sales Associate,17107765.34,6254,2735.49,500.77,4999.02
Nike,Supermarkets ,Salesperson,16594959.95,6019,2757.10,500.43,4999.33
Nike,Supermarkets ,Senior Salesperson,14587877.11,5239,2784.48,500.31,4999.05
Panasonic,Large Malls / Complexes,Manager,7359451.61,2649,2778.20,501.86,4999.78
Panasonic,Large Malls / Complexes,Sales Associate,7703338.83,2826,2725.88,501.34,4999.83
Panasonic,Large Malls / Complexes,Salesperson,7459630.99,2698,2764.87,500.80,4999.40
Panasonic,Large Malls / Complexes,Senior Salesperson,6706137.48,2418,2773.42,502.33,4996.10
Panasonic,Small Stores / Shops,Manager,7747734.06,2827,2740.62,501.05,4997.91
Panasonic,Small Stores / Shops,Sales Associate,8172224.07,2972,2749.74,502.39,4996.82
Panasonic,Small Stores / Shops,Salesperson,8317971.56,2988,2783.79,500.20,4998.99
Panasonic,Small Stores / Shops,Senior Salesperson,7070605.94,2549,2773.87,500.14,4999.96
Panasonic,Supermarkets ,Manager,7818404.66,2842,2751.02,500.20,4999.87
Panasonic,Supermarkets ,Sales Associate,8624353.81,3119,2765.10,504.69,4999.90
Panasonic,Supermarkets ,Salesperson,8448345.69,3043,2776.32,500.09,4999.67
Panasonic,Supermarkets ,Senior Salesperson,7074628.43,2554,2770.02,500.51,4998.89
Pepperfry,Large Malls / Complexes,Manager,7361527.19,2676,2750.94,503.79,4996.52
Pepperfry,Large Malls / Complexes,Sales Associate,7587068.07,2755,2753.93,500.56,4999.16
Pepperfry,Large Malls / Complexes,Salesperson,7437031.50,2692,2762.64,501.63,4998.48
Pepperfry,Large Malls / Complexes,Senior Salesperson,6647464.68,2410,2758.28,500.36,4998.32
Pepperfry,Small Stores / Shops,Manager,7652833.46,2742,2790.97,501.05,4998.77
Pepperfry,Small Stores / Shops,Sales Associate,7972332.60,2894,2754.78,502.71,4999.03
Pepperfry,Small Stores / Shops,Salesperson,8152533.57,2939,2773.91,502.41,4999.47
Pepperfry,Small Stores / Shops,Senior Salesperson,7082102.49,2572,2753.54,501.27,4998.96
Pepperfry,Supermarkets ,Manager,8288942.46,3027,2738.34,500.89,4995.95
Pepperfry,Supermarkets ,Sales Associate,8205180.06,2992,2742.37,501.84,4999.26
Pepperfry,Supermarkets ,Salesperson,8157213.78,2979,2738.24,505.59,4998.80
Pepperfry,Supermarkets ,Senior Salesperson,7112389.65,2581,2755.67,503.92,4998.58
Puma,Large Malls / Complexes,Manager,14738009.91,5358,2750.66,501.96,4998.69
Puma,Large Malls / Complexes,Sales Associate,15365697.83,5555,2766.10,500.10,4999.78
Puma,Large Malls / Complexes,Salesperson,14538774.10,5336,2724.66,500.37,4998.12
Puma,Large Malls / Complexes,Senior Salesperson,13019814.36,4763,2733.53,501.93,4999.61
Puma,Small Stores / Shops,Manager,15500176.63,5575,2780.30,500.04,4999.40
Puma,Small Stores / Shops,Sales Associate,16176899.58,5872,2754.92,500.57,4997.38
Puma,Small Stores / Shops,Salesperson,16070820.01,5896,2725.72,500.41,4998.46
Puma,Small Stores / Shops,Senior Salesperson,14806137.54,5363,2760.79,500.03,4999.68
Puma,Supermarkets ,Manager,15702177.56,5702,2753.80,500.04,4998.51
Puma,Supermarkets ,Sales Associate,16575651.13,6057,2736.61,502.20,4999.85
Puma,Supermarkets ,Salesperson,16322383.88,5942,2746.95,500.66,4999.89
Puma,Supermarkets ,Senior Salesperson,14632480.07,5276,2773.40,500.07,4999.98
Reebok,Large Malls / Complexes,Manager,7395550.53,2717,2721.95,503.56,4999.34
Reebok,Large Malls / Complexes,Sales Associate,7974844.41,2897,2752.79,502.11,4996.62
Reebok,Large Malls / Complexes,Salesperson,7853563.23,2840,2765.34,500.30,4996.59
Reebok,Large Malls / Complexes,Senior Salesperson,6801798.37,2439,2788.77,500.26,4996.40
Reebok,Small Stores / Shops,Manager,7813289.94,2828,2762.83,500.50,4999.30
Reebok,Small Stores / Shops,Sales Associate,8064208.60,2894,2786.53,500.37,4996.75
Reebok,Small Stores / Shops,Salesperson,8006053.70,2921,2740.86,501.32,4999.65
Reebok,Small Stores / Shops,Senior Salesperson,6996862.40,2565,2727.82,501.12,4998.61
Reebok,Supermarkets ,Manager,7867290.69,2871,2740.26,500.04,4998.53
Reebok,Supermarkets ,Sales Associate,8536777.43,3093,2760.03,504.14,4999.33
Reebok,Supermarkets ,Salesperson,8154887.93,2945,2769.06,502.16,4999.55
Reebok,Supermarkets ,Senior Salesperson,7222531.24,2638,2737.88,502.81,4999.53
Samsung,Large Malls / Complexes,Manager,14781949.47,5336,2770.23,500.13,4998.26
Samsung,Large Malls / Complexes,Sales Associate,15456905.32,5625,2747.89,501.53,4997.52
Samsung,Large Malls / Complexes,Salesperson,14859916.96,5418,2742.69,501.27,4999.90
Samsung,Large Malls / Complexes,Senior Salesperson,13185843.32,4780,2758.54,501.48,4999.94
Samsung,Small Stores / Shops,Manager,15797222.42,5738,2753.09,500.15,4998.39
Samsung,Small Stores / Shops,Sales Associate,16347642.39,5925,2759.10,500.21,4999.98
Samsung,Small Stores / Shops,Salesperson,16119326.61,5897,2733.48,500.09,4999.87
Samsung,Small Stores / Shops,Senior Salesperson,14172473.51,5138,2758.36,500.17,4999.69
Samsung,Supermarkets ,Manager,16140160.90,5869,2750.07,500.13,4998.97
Samsung,Supermarkets ,Sales Associate,16669522.71,6044,2758.03,500.68,4999.63
Samsung,Supermarkets ,Salesperson,16299364.86,5878,2772.94,500.93,4999.71
Samsung,Supermarkets ,Senior Salesperson,14601466.24,5302,2753.95,500.36,4999.21
Sony,Large Malls / Complexes,Manager,7352616.46,2709,2714.14,500.55,4998.89
Sony,Large Malls / Complexes,Sales Associate,7923690.90,2846,2784.15,502.69,4999.95
Sony,Large Malls / Complexes,Salesperson,7477272.54,2763,2706.22,502.59,4998.62
Sony,Large Malls / Complexes,Senior Salesperson,6524372.75,2386,2734.44,500.80,4997.33
Sony,Small Stores / Shops,Manager,7668263.72,2796,2742.58,500.08,4998.52
Sony,Small Stores / Shops,Sales Associate,7793893.15,2853,2731.82,500.72,4999.82
Sony,Small Stores / Shops,Salesperson,7707293.88,2812,2740.86,501.33,4997.06
Sony,Small Stores / Shops,Senior Salesperson,6915277.47,2538,2724.70,501.00,4997.03
Sony,Supermarkets ,Manager,7841107.73,2833,2767.78,500.05,4999.15
Sony,Supermarkets ,Sales Associate,8523106.82,3081,2766.34,500.19,4999.96
Sony,Supermarkets ,Salesperson,8169752.85,2968,2752.61,505.16,4998.47
Sony,Supermarkets ,Senior Salesperson,7019295.43,2564,2737.63,500.69,4998.40
Tata,Large Malls / Complexes,Manager,7263525.90,2647,2744.06,501.54,4999.13
Tata,Large Malls / Complexes,Sales Associate,7533437.05,2723,2766.59,503.77,4998.03
Tata,Large Malls / Complexes,Salesperson,7491268.42,2653,2823.70,505.51,4999.97
Tata,Large Malls / Complexes,Senior Salesperson,7002806.14,2521,2777.79,500.32,4999.90
Tata,Small Stores / Shops,Manager,7772625.90,2818,2758.21,500.83,4998.73
Tata,Small Stores / Shops,Sales Associate,8356609.92,3049,2740.77,500.01,4999.35
Tata,Small Stores / Shops,Salesperson,7899470.73,2917,2708.08,500.47,4997.51
Tata,Small Stores / Shops,Senior Salesperson,7080237.22,2568,2757.10,502.02,4995.88
Tata,Supermarkets ,Manager,8148763.08,2929,2782.10,500.97,4998.75
Tata,Supermarkets ,Sales Associate,8433173.06,3070,2746.96,504.05,4996.14
Tata,Supermarkets ,Salesperson,8033550.88,2942,2730.64,505.16,4999.34
Tata,Supermarkets ,Senior Salesperson,7000476.48,2543,2752.84,500.33,4993.94
Urban Ladder,Large Malls / Complexes,Manager,7377411.43,2723,2709.30,500.56,4999.11
Urban Ladder,Large Malls / Complexes,Sales Associate,7595668.75,2782,2730.29,502.02,4998.17
Urban Ladder,Large Malls / Complexes,Salesperson,8134419.21,2882,2822.49,502.15,4999.62
Urban Ladder,Large Malls / Complexes,Senior Salesperson,6630180.40,2414,2746.55,500.29,4999.88
Urban Ladder,Small Stores / Shops,Manager,7352498.78,2655,2769.30,500.07,4999.31
Urban Ladder,Small Stores / Shops,Sales Associate,8289621.53,2990,2772.45,501.28,4998.26
Urban Ladder,Small Stores / Shops,Salesperson,7822185.57,2819,2774.81,500.34,4997.58
Urban Ladder,Small Stores / Shops,Senior Salesperson,6634501.17,2410,2752.91,501.29,4995.72
Urban Ladder,Supermarkets ,Manager,8075100.11,2961,2727.15,502.39,4996.26
Urban Ladder,Supermarkets ,Sales Associate,8300040.06,3002,2764.84,502.37,4999.59
Urban Ladder,Supermarkets ,Salesperson,8293658.07,2995,2769.17,502.65,4999.22
Urban Ladder,Supermarkets ,Senior Salesperson,7303012.60,2645,2761.06,503.33,4997.23
Whirlpool,Large Malls / Complexes,Manager,7520794.76,2710,2775.20,501.18,4999.74
Whirlpool,Large Malls / Complexes,Sales Associate,7806036.55,2857,2732.25,502.08,4998.47
Whirlpool,Large Malls / Complexes,Salesperson,7393668.42,2675,2763.99,500.61,4995.61
Whirlpool,Large Malls / Complexes,Senior Salesperson,6617684.73,2453,2697.79,502.82,4998.83
Whirlpool,Small Stores / Shops,Manager,7964066.91,2904,2742.45,502.22,4998.46
Whirlpool,Small Stores / Shops,Sales Associate,8086543.73,2955,2736.56,501.49,4999.78
Whirlpool,Small Stores / Shops,Salesperson,7883440.97,2897,2721.24,500.69,4999.73
Whirlpool,Small Stores / Shops,Senior Salesperson,6966605.95,2506,2779.97,500.21,4998.33
Whirlpool,Supermarkets ,Manager,7876677.24,2863,2751.20,505.46,4999.93
Whirlpool,Supermarkets ,Sales Associate,8182761.00,2978,2747.74,501.35,4999.38
Whirlpool,Supermarkets ,Salesperson,8223134.98,3014,2728.31,501.53,4999.48
Whirlpool,Supermarkets ,Senior Salesperson,7448222.99,2671,2788.55,501.55,4999.12
Zara,Large Malls / Complexes,Manager,7039849.48,2580,2728.62,500.46,4998.58
Zara,Large Malls / Complexes,Sales Associate,7686966.04,2778,2767.09,501.59,4999.91
Zara,Large Malls / Complexes,Salesperson,7456282.50,2704,2757.50,500.93,4999.80
Zara,Large Malls / Complexes,Senior Salesperson,6670110.79,2381,2801.39,502.52,4999.71
Zara,Small Stores / Shops,Manager,7656642.25,2791,2743.33,500.32,4997.51
Zara,Small Stores / Shops,Sales Associate,8034961.00,2914,2757.36,502.03,4995.99
Zara,Small Stores / Shops,Salesperson,7752474.46,2827,2742.30,500.50,4999.82
Zara,Small Stores / Shops,Senior Salesperson,6847710.60,2479,2762.29,501.24,4999.81
Zara,Supermarkets ,Manager,8077279.08,2923,2763.35,501.71,4997.44
Zara,Supermarkets ,Sales Associate,8326195.64,3020,2757.02,502.48,4993.90
Zara,Supermarkets ,Salesperson,8056598.11,2956,2725.51,503.25,4998.98
Zara,Supermarkets ,Senior Salesperson,6977073.84,2540,2746.88,501.28,4997.44
