category,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Large Malls / Complexes,Sales Associate,Cart Crasher Campaign,760614.02,270,2817.09,513.28,4994.25
Clothing,Large Malls / Complexes,Sales Associate,Cashback Carnival,786682.96,289,2722.09,500.72,4971.77
Clothing,Large Malls / Complexes,Sales Associate,Clearance Countdown,805555.45,303,2658.60,503.83,4995.95
Clothing,Large Malls / Complexes,Sales Associate,Countdown to Savings,718496.70,263,2731.93,504.03,4929.06
Clothing,Large Malls / Complexes,Sales Associate,Customer Appreciation Week,700644.06,254,2758.44,505.57,4977.34
Clothing,Large Malls / Complexes,Sales Associate,Cyber Monday Mania,809075.44,290,2789.92,524.25,4975.65
Clothing,Large Malls / Complexes,Sales Associate,Deal of the Month,793492.95,287,2764.78,509.66,4999.45
Clothing,Large Malls / Complexes,Sales Associate,Double Points Bonanza,757110.33,287,2638.02,501.38,4995.71
Clothing,Large Malls / Complexes,Sales Associate,Early Bird Specials,902419.47,332,2718.13,526.24,4993.12
Clothing,Large Malls / Complexes,Sales Associate,End of Season Sale,776493.63,285,2724.54,518.66,4927.23
Clothing,Large Malls / Complexes,Sales Associate,Exclusive Insider Offers,747268.21,276,2707.49,501.18,4975.61
Clothing,Large Malls / Complexes,Sales Associate,Festive Fever Promo,814347.85,286,2847.37,587.34,4988.75
Clothing,Large Malls / Complexes,Sales Associate,Final Call Frenzy,770660.18,280,2752.36,505.58,4996.06
Clothing,Large Malls / Complexes,Sales Associate,Flash Frenzy Friday,781736.57,289,2704.97,518.09,4983.04
Clothing,Large Malls / Complexes,Sales Associate,"Gift More, Spend Less",765243.32,266,2876.85,506.74,4979.95
Clothing,Large Malls / Complexes,Sales Associate,Golden Hour Bargains,776518.56,268,2897.46,501.59,4999.76
Clothing,Large Malls / Complexes,Sales Associate,Green Weekend Deals,782897.16,281,2786.11,513.09,4999.76
Clothing,Large Malls / Complexes,Sales Associate,Happy Hour Discounts,774344.22,287,2698.06,538.74,4977.27
Clothing,Large Malls / Complexes,Sales Associate,Holiday Shopping Rush,807811.07,288,2804.90,510.74,4992.50
Clothing,Large Malls / Complexes,Sales Associate,Hot Picks Promo,751694.29,268,2804.83,521.54,4988.19
Clothing,Large Malls / Complexes,Sales Associate,Instant Gratification Sale,786816.45,286,2751.11,514.98,4997.63
Clothing,Large Malls / Complexes,Sales Associate,Limited Time Treasures,727016.73,272,2672.86,509.27,4948.35
Clothing,Large Malls / Complexes,Sales Associate,Loyalty Rewards Blast,867102.63,311,2788.11,505.10,4972.66
Clothing,Large Malls / Complexes,Sales Associate,Mega Weekend Bonanza,737382.23,257,2869.19,500.60,4955.40
Clothing,Large Malls / Complexes,Sales Associate,Mid-Year Madness,758847.88,270,2810.55,511.04,4997.54
Clothing,Large Malls / Complexes,Sales Associate,Midnight Madness,746712.98,271,2755.40,512.27,4943.81
Clothing,Large Malls / Complexes,Sales Associate,Mystery Discount Days,681915.23,262,2602.73,525.17,4992.01
Clothing,Large Malls / Complexes,Sales Associate,New Arrival Showcase,718719.91,264,2722.42,554.15,4956.65
Clothing,Large Malls / Complexes,Sales Associate,New Product Launch Promo,702676.71,258,2723.55,500.83,4997.47
Clothing,Large Malls / Complexes,Sales Associate,New Year Kickoff,732336.44,279,2624.86,559.40,4991.46
Clothing,Large Malls / Complexes,Sales Associate,Price Drop Parade,702366.10,252,2787.17,508.09,4995.75
Clothing,Large Malls / Complexes,Sales Associate,Red Tag Clearance,828898.03,292,2838.69,502.58,4998.76
Clothing,Large Malls / Complexes,Sales Associate,Seasonal Surprise Box,739685.62,272,2719.43,508.05,4973.71
Clothing,Large Malls / Complexes,Sales Associate,Shop & Save Spectacular,809328.40,285,2839.75,500.18,4999.91
Clothing,Large Malls / Complexes,Sales Associate,Smart Shopper Week,736415.98,281,2620.70,533.56,4930.59
Clothing,Large Malls / Complexes,Sales Associate,Spring Refresh Event,773421.59,265,2918.57,506.20,4989.71
Clothing,Large Malls / Complexes,Sales Associate,Spring Splash Discounts,718685.28,276,2603.93,529.02,4983.92
Clothing,Large Malls / Complexes,Sales Associate,Summer Sizzle Promo,696608.51,254,2742.55,506.00,4982.52
Clothing,Large Malls / Complexes,Sales Associate,Super Savings Week,698806.48,247,2829.18,518.08,4964.89
Clothing,Large Malls / Complexes,Sales Associate,Ultimate Value Event,736204.79,268,2747.03,506.31,4948.39
Clothing,Large Malls / Complexes,Sales Associate,VIP Access Sale,716237.23,259,2765.39,501.68,4996.77
Clothing,Large Malls / Complexes,Sales Associate,Weekend Warrior Specials,777837.98,291,2672.98,503.41,4995.92
Clothing,Large Malls / Complexes,Sales Associate,Winter Clearance Carnival,805225.50,293,2748.21,508.47,4991.29
Clothing,Large Malls / Complexes,Sales Associate,Winter Wonders Sale,719798.67,274,2627.00,508.14,4968.46
Clothing,Large Malls / Complexes,Salesperson,12 Days of Deals,681840.01,262,2602.44,502.32,4954.87
Clothing,Large Malls / Complexes,Salesperson,Autumn Deals Drive,771429.85,274,2815.44,520.26,4986.62
Clothing,Large Malls / Complexes,Salesperson,BOGO Blitz,805370.56,288,2796.43,502.29,4985.85
Clothing,Large Malls / Complexes,Salesperson,Back to School Boost,773057.55,288,2684.23,522.55,4998.12
Clothing,Large Malls / Complexes,Salesperson,Birthday Bash Sale,749603.16,272,2755.89,501.83,4997.95
Clothing,Large Malls / Complexes,Salesperson,Black Friday Blowout,694164.27,249,2787.81,600.29,4926.59
Clothing,Large Malls / Complexes,Salesperson,Cart Crasher Campaign,718934.58,265,2712.96,514.42,4956.82
Clothing,Large Malls / Complexes,Salesperson,Cashback Carnival,755057.95,271,2786.19,516.03,4964.30
Clothing,Large Malls / Complexes,Salesperson,Clearance Countdown,797412.48,289,2759.21,504.91,4999.80
Clothing,Large Malls / Complexes,Salesperson,Countdown to Savings,765726.51,281,2725.01,526.44,4976.47
Clothing,Large Malls / Complexes,Salesperson,Customer Appreciation Week,782692.85,289,2708.28,510.73,4971.29
Clothing,Large Malls / Complexes,Salesperson,Cyber Monday Mania,767047.02,280,2739.45,543.93,4986.44
Clothing,Large Malls / Complexes,Salesperson,Deal of the Month,625553.90,227,2755.74,527.00,4958.53
Clothing,Large Malls / Complexes,Salesperson,Double Points Bonanza,781436.56,284,2751.54,513.51,4999.44
Clothing,Large Malls / Complexes,Salesperson,Early Bird Specials,780228.32,282,2766.77,519.84,4999.19
Clothing,Large Malls / Complexes,Salesperson,End of Season Sale,714152.32,274,2606.40,505.96,4997.48
Clothing,Large Malls / Complexes,Salesperson,Exclusive Insider Offers,759598.43,269,2823.79,518.66,4970.64
Clothing,Large Malls / Complexes,Salesperson,Festive Fever Promo,666525.80,257,2593.49,532.59,4987.90
Clothing,Large Malls / Complexes,Salesperson,Final Call Frenzy,675875.88,246,2747.46,501.00,4972.71
Clothing,Large Malls / Complexes,Salesperson,Flash Frenzy Friday,787515.00,267,2949.49,528.55,4993.36
Clothing,Large Malls / Complexes,Salesperson,"Gift More, Spend Less",718406.60,258,2784.52,518.98,4973.16
Clothing,Large Malls / Complexes,Salesperson,Golden Hour Bargains,715926.35,268,2671.37,504.67,4979.47
Clothing,Large Malls / Complexes,Salesperson,Green Weekend Deals,740331.15,267,2772.78,519.01,4973.04
Clothing,Large Malls / Complexes,Salesperson,Happy Hour Discounts,769841.93,286,2691.76,510.62,4939.94
Clothing,Large Malls / Complexes,Salesperson,Holiday Shopping Rush,761787.57,274,2780.25,514.04,4992.48
Clothing,Large Malls / Complexes,Salesperson,Hot Picks Promo,769859.34,280,2749.50,502.01,4997.81
Clothing,Large Malls / Complexes,Salesperson,Instant Gratification Sale,794407.63,296,2683.81,518.87,4982.70
Clothing,Large Malls / Complexes,Salesperson,Limited Time Treasures,775705.64,280,2770.38,504.55,4982.15
Clothing,Large Malls / Complexes,Salesperson,Loyalty Rewards Blast,772794.25,269,2872.84,500.82,4971.34
Clothing,Large Malls / Complexes,Salesperson,Mega Weekend Bonanza,707417.81,257,2752.60,510.92,4997.25
Clothing,Large Malls / Complexes,Salesperson,Mid-Year Madness,780582.85,282,2768.02,523.94,4998.11
Clothing,Large Malls / Complexes,Salesperson,Midnight Madness,818448.66,296,2765.03,515.18,4982.68
Clothing,Large Malls / Complexes,Salesperson,Mystery Discount Days,792756.77,294,2696.45,500.93,4971.08
Clothing,Large Malls / Complexes,Salesperson,New Arrival Showcase,812043.46,289,2809.84,513.68,4991.01
Clothing,Large Malls / Complexes,Salesperson,New Product Launch Promo,759138.00,281,2701.56,519.61,4999.95
Clothing,Large Malls / Complexes,Salesperson,New Year Kickoff,829373.68,283,2930.65,529.76,4991.55
Clothing,Large Malls / Complexes,Salesperson,Price Drop Parade,725403.16,288,2518.76,506.30,4974.79
Clothing,Large Malls / Complexes,Salesperson,Red Tag Clearance,723973.35,272,2661.67,517.61,4991.99
Clothing,Large Malls / Complexes,Salesperson,Seasonal Surprise Box,735509.25,268,2744.44,505.81,4996.71
Clothing,Large Malls / Complexes,Salesperson,Shop & Save Spectacular,644995.57,244,2643.42,506.29,4998.75
Clothing,Large Malls / Complexes,Salesperson,Smart Shopper Week,808637.85,280,2887.99,564.06,4998.23
Clothing,Large Malls / Complexes,Salesperson,Spring Refresh Event,741838.01,269,2757.76,521.71,4985.65
Clothing,Large Malls / Complexes,Salesperson,Spring Splash Discounts,757998.82,269,2817.84,500.66,4982.46
Clothing,Large Malls / Complexes,Salesperson,Summer Sizzle Promo,759276.40,275,2761.01,508.62,4978.19
Clothing,Large Malls / Complexes,Salesperson,Super Savings Week,803450.28,280,2869.47,502.63,4992.52
Clothing,Large Malls / Complexes,Salesperson,Ultimate Value Event,732103.25,262,2794.29,510.86,4982.94
Clothing,Large Malls / Complexes,Salesperson,VIP Access Sale,657906.44,247,2663.59,514.81,4999.97
Clothing,Large Malls / Complexes,Salesperson,Weekend Warrior Specials,737766.47,276,2673.07,515.36,4998.79
Clothing,Large Malls / Complexes,Salesperson,Winter Clearance Carnival,755739.97,268,2819.93,506.16,4999.04
Clothing,Large Malls / Complexes,Salesperson,Winter Wonders Sale,768450.10,289,2659.00,527.74,4944.51
Clothing,Large Malls / Complexes,Senior Salesperson,12 Days of Deals,672437.73,249,2700.55,501.08,4972.86
Clothing,Large Malls / Complexes,Senior Salesperson,Autumn Deals Drive,650120.27,235,2766.47,514.57,4973.92
Clothing,Large Malls / Complexes,Senior Salesperson,BOGO Blitz,760562.42,262,2902.91,523.98,4989.26
Clothing,Large Malls / Complexes,Senior Salesperson,Back to School Boost,712027.56,261,2728.07,501.92,4991.50
Clothing,Large Malls / Complexes,Senior Salesperson,Birthday Bash Sale,677245.36,249,2719.86,509.63,4993.83
Clothing,Large Malls / Complexes,Senior Salesperson,Black Friday Blowout,623326.56,226,2758.08,510.23,4989.01
Clothing,Large Malls / Complexes,Senior Salesperson,Cart Crasher Campaign,618616.67,231,2677.99,535.31,4993.73
Clothing,Large Malls / Complexes,Senior Salesperson,Cashback Carnival,614879.25,233,2638.97,502.29,4962.54
Clothing,Large Malls / Complexes,Senior Salesperson,Clearance Countdown,533793.38,193,2765.77,586.02,4977.80
Clothing,Large Malls / Complexes,Senior Salesperson,Countdown to Savings,682922.90,249,2742.66,519.80,4945.94
Clothing,Large Malls / Complexes,Senior Salesperson,Customer Appreciation Week,674349.92,232,2906.68,535.52,4994.47
Clothing,Large Malls / Complexes,Senior Salesperson,Cyber Monday Mania,661769.82,251,2636.53,502.02,4991.94
Clothing,Large Malls / Complexes,Senior Salesperson,Deal of the Month,628319.75,233,2696.65,520.26,4979.75
Clothing,Large Malls / Complexes,Senior Salesperson,Double Points Bonanza,691830.67,238,2906.85,511.19,4970.84
Clothing,Large Malls / Complexes,Senior Salesperson,Early Bird Specials,676079.32,248,2726.13,505.07,4983.02
Clothing,Large Malls / Complexes,Senior Salesperson,End of Season Sale,631272.45,226,2793.24,511.79,4930.05
Clothing,Large Malls / Complexes,Senior Salesperson,Exclusive Insider Offers,676275.62,241,2806.12,500.29,4984.33
Clothing,Large Malls / Complexes,Senior Salesperson,Festive Fever Promo,606961.36,222,2734.06,519.19,4991.64
Clothing,Large Malls / Complexes,Senior Salesperson,Final Call Frenzy,615059.09,229,2685.85,516.31,4950.32
Clothing,Large Malls / Complexes,Senior Salesperson,Flash Frenzy Friday,577510.24,226,2555.36,519.52,4977.49
Clothing,Large Malls / Complexes,Senior Salesperson,"Gift More, Spend Less",584807.91,201,2909.49,504.71,4971.64
Clothing,Large Malls / Complexes,Senior Salesperson,Golden Hour Bargains,660116.35,231,2857.65,509.20,4993.74
Clothing,Large Malls / Complexes,Senior Salesperson,Green Weekend Deals,583754.55,221,2641.42,529.73,4999.01
Clothing,Large Malls / Complexes,Senior Salesperson,Happy Hour Discounts,703263.32,247,2847.22,507.81,4997.02
Clothing,Large Malls / Complexes,Senior Salesperson,Holiday Shopping Rush,662756.57,235,2820.24,503.29,4996.42
Clothing,Large Malls / Complexes,Senior Salesperson,Hot Picks Promo,733455.03,256,2865.06,537.00,4999.60
Clothing,Large Malls / Complexes,Senior Salesperson,Instant Gratification Sale,665208.37,230,2892.21,506.92,4993.08
Clothing,Large Malls / Complexes,Senior Salesperson,Limited Time Treasures,682244.43,262,2603.99,509.56,4982.10
Clothing,Large Malls / Complexes,Senior Salesperson,Loyalty Rewards Blast,612018.88,231,2649.43,508.40,4941.01
Clothing,Large Malls / Complexes,Senior Salesperson,Mega Weekend Bonanza,545576.78,208,2622.97,518.98,4966.53
Clothing,Large Malls / Complexes,Senior Salesperson,Mid-Year Madness,704827.01,262,2690.18,502.00,4965.92
Clothing,Large Malls / Complexes,Senior Salesperson,Midnight Madness,664475.82,235,2827.56,522.91,4997.93
Clothing,Large Malls / Complexes,Senior Salesperson,Mystery Discount Days,710200.03,249,2852.21,571.48,4988.51
Clothing,Large Malls / Complexes,Senior Salesperson,New Arrival Showcase,614728.50,224,2744.32,512.99,4899.81
Clothing,Large Malls / Complexes,Senior Salesperson,New Product Launch Promo,607544.17,227,2676.41,548.90,4970.41
Clothing,Large Malls / Complexes,Senior Salesperson,New Year Kickoff,597151.62,215,2777.45,526.94,4982.88
Clothing,Large Malls / Complexes,Senior Salesperson,Price Drop Parade,717475.23,262,2738.46,521.85,4997.22
Clothing,Large Malls / Complexes,Senior Salesperson,Red Tag Clearance,597252.81,215,2777.92,518.03,4999.45
Clothing,Large Malls / Complexes,Senior Salesperson,Seasonal Surprise Box,662589.02,246,2693.45,500.11,4996.55
Clothing,Large Malls / Complexes,Senior Salesperson,Shop & Save Spectacular,679987.31,246,2764.18,501.58,4973.68
Clothing,Large Malls / Complexes,Senior Salesperson,Smart Shopper Week,593019.27,212,2797.26,504.15,4999.86
Clothing,Large Malls / Complexes,Senior Salesperson,Spring Refresh Event,651291.99,235,2771.46,524.53,4935.75
Clothing,Large Malls / Complexes,Senior Salesperson,Spring Splash Discounts,641013.98,229,2799.19,530.07,4975.22
Clothing,Large Malls / Complexes,Senior Salesperson,Summer Sizzle Promo,659202.28,237,2781.44,511.51,4995.74
Clothing,Large Malls / Complexes,Senior Salesperson,Super Savings Week,669940.42,237,2826.75,517.15,4986.46
Clothing,Large Malls / Complexes,Senior Salesperson,Ultimate Value Event,682868.94,259,2636.56,504.23,4992.22
Clothing,Large Malls / Complexes,Senior Salesperson,VIP Access Sale,729838.69,279,2615.91,505.21,4999.71
Clothing,Large Malls / Complexes,Senior Salesperson,Weekend Warrior Specials,643482.59,239,2692.40,508.77,4936.89
Clothing,Large Malls / Complexes,Senior Salesperson,Winter Clearance Carnival,660569.38,245,2696.20,526.71,4994.53
Clothing,Large Malls / Complexes,Senior Salesperson,Winter Wonders Sale,618203.51,229,2699.58,526.45,4969.49
Clothing,Small Stores / Shops,Manager,12 Days of Deals,770167.26,268,2873.76,523.27,4999.40
Clothing,Small Stores / Shops,Manager,Autumn Deals Drive,865594.34,318,2721.99,518.04,4992.48
Clothing,Small Stores / Shops,Manager,BOGO Blitz,866733.44,309,2804.96,500.64,4991.38
Clothing,Small Stores / Shops,Manager,Back to School Boost,670629.04,255,2629.92,509.16,4969.60
Clothing,Small Stores / Shops,Manager,Birthday Bash Sale,756935.23,277,2732.62,510.00,4983.87
Clothing,Small Stores / Shops,Manager,Black Friday Blowout,841834.90,302,2787.53,568.13,4982.21
Clothing,Small Stores / Shops,Manager,Cart Crasher Campaign,757152.51,276,2743.31,530.26,4988.17
Clothing,Small Stores / Shops,Manager,Cashback Carnival,757435.39,278,2724.59,538.21,4982.95
Clothing,Small Stores / Shops,Manager,Clearance Countdown,729745.36,269,2712.81,519.76,4995.21
Clothing,Small Stores / Shops,Manager,Countdown to Savings,724086.92,261,2774.28,524.25,4992.78
Clothing,Small Stores / Shops,Manager,Customer Appreciation Week,753460.42,269,2800.97,503.51,4995.61
Clothing,Small Stores / Shops,Manager,Cyber Monday Mania,749988.78,284,2640.81,521.44,4990.88
Clothing,Small Stores / Shops,Manager,Deal of the Month,721149.64,274,2631.93,506.49,4994.30
Clothing,Small Stores / Shops,Manager,Double Points Bonanza,813587.77,292,2786.26,514.48,4992.59
Clothing,Small Stores / Shops,Manager,Early Bird Specials,735685.21,271,2714.71,509.37,4995.32
Clothing,Small Stores / Shops,Manager,End of Season Sale,781550.13,282,2771.45,517.69,4980.78
Clothing,Small Stores / Shops,Manager,Exclusive Insider Offers,771598.05,285,2707.36,500.32,4992.82
Clothing,Small Stores / Shops,Manager,Festive Fever Promo,713922.24,261,2735.33,509.13,4918.36
Clothing,Small Stores / Shops,Manager,Final Call Frenzy,696983.27,261,2670.43,530.47,4960.70
Clothing,Small Stores / Shops,Manager,Flash Frenzy Friday,760010.13,270,2814.85,518.61,4985.75
Clothing,Small Stores / Shops,Manager,"Gift More, Spend Less",733922.53,260,2822.78,505.29,4995.93
Clothing,Small Stores / Shops,Manager,Golden Hour Bargains,764628.27,280,2730.82,578.37,4994.72
Clothing,Small Stores / Shops,Manager,Green Weekend Deals,828221.28,301,2751.57,505.56,4987.56
Clothing,Small Stores / Shops,Manager,Happy Hour Discounts,852304.37,292,2918.85,515.80,4990.80
Clothing,Small Stores / Shops,Manager,Holiday Shopping Rush,724889.15,264,2745.79,509.96,4997.57
Clothing,Small Stores / Shops,Manager,Hot Picks Promo,716230.99,260,2754.73,519.39,4984.66
Clothing,Small Stores / Shops,Manager,Instant Gratification Sale,676439.26,255,2652.70,556.76,4963.10
Clothing,Small Stores / Shops,Manager,Limited Time Treasures,873205.87,301,2901.02,504.90,4970.06
Clothing,Small Stores / Shops,Manager,Loyalty Rewards Blast,825022.99,285,2894.82,511.31,4966.89
Clothing,Small Stores / Shops,Manager,Mega Weekend Bonanza,707615.00,258,2742.69,527.25,4996.59
Clothing,Small Stores / Shops,Manager,Mid-Year Madness,903129.29,314,2876.21,524.10,4997.09
Clothing,Small Stores / Shops,Manager,Midnight Madness,763409.85,288,2650.73,501.63,4998.11
Clothing,Small Stores / Shops,Manager,Mystery Discount Days,722850.45,271,2667.34,500.17,4993.54
Clothing,Small Stores / Shops,Manager,New Arrival Showcase,727450.93,265,2745.10,501.06,4978.87
Clothing,Small Stores / Shops,Manager,New Product Launch Promo,766536.22,276,2777.31,507.38,4979.03
Clothing,Small Stores / Shops,Manager,New Year Kickoff,765502.26,274,2793.80,511.03,4992.69
Clothing,Small Stores / Shops,Manager,Price Drop Parade,762234.89,278,2741.85,510.90,4996.80
Clothing,Small Stores / Shops,Manager,Red Tag Clearance,802215.56,287,2795.18,501.14,4995.28
Clothing,Small Stores / Shops,Manager,Seasonal Surprise Box,726548.23,267,2721.15,506.76,4990.98
Clothing,Small Stores / Shops,Manager,Shop & Save Spectacular,809535.58,289,2801.16,572.84,4997.51
Clothing,Small Stores / Shops,Manager,Smart Shopper Week,736327.65,267,2757.78,516.12,4976.73
Clothing,Small Stores / Shops,Manager,Spring Refresh Event,725123.06,262,2767.65,500.55,4995.47
Clothing,Small Stores / Shops,Manager,Spring Splash Discounts,742266.42,272,2728.92,503.97,4993.32
Clothing,Small Stores / Shops,Manager,Summer Sizzle Promo,765483.72,273,2803.97,511.59,4995.97
Clothing,Small Stores / Shops,Manager,Super Savings Week,735838.92,266,2766.31,507.31,4959.75
Clothing,Small Stores / Shops,Manager,Ultimate Value Event,735571.55,258,2851.05,500.17,4997.25
Clothing,Small Stores / Shops,Manager,VIP Access Sale,879186.77,304,2892.06,506.38,4952.43
Clothing,Small Stores / Shops,Manager,Weekend Warrior Specials,745635.47,286,2607.12,502.44,4992.45
Clothing,Small Stores / Shops,Manager,Winter Clearance Carnival,815735.46,284,2872.31,522.80,4989.85
Clothing,Small Stores / Shops,Manager,Winter Wonders Sale,828559.91,308,2690.13,523.98,4999.21
Clothing,Small Stores / Shops,Sales Associate,12 Days of Deals,830800.03,304,2732.89,512.27,4999.26
Clothing,Small Stores / Shops,Sales Associate,Autumn Deals Drive,919365.67,331,2777.54,514.37,4992.31
Clothing,Small Stores / Shops,Sales Associate,BOGO Blitz,756005.96,279,2709.70,510.84,4989.16
Clothing,Small Stores / Shops,Sales Associate,Back to School Boost,682424.67,256,2665.72,501.04,4994.39
Clothing,Small Stores / Shops,Sales Associate,Birthday Bash Sale,772119.22,277,2787.43,500.58,4996.78
Clothing,Small Stores / Shops,Sales Associate,Black Friday Blowout,811832.88,300,2706.11,512.94,4977.85
Clothing,Small Stores / Shops,Sales Associate,Cart Crasher Campaign,731807.29,273,2680.61,515.65,4996.24
Clothing,Small Stores / Shops,Sales Associate,Cashback Carnival,787647.41,284,2773.41,509.31,4982.94
Clothing,Small Stores / Shops,Sales Associate,Clearance Countdown,831123.38,303,2742.98,529.76,4996.24
Clothing,Small Stores / Shops,Sales Associate,Countdown to Savings,784463.81,297,2641.29,504.95,4995.55
Clothing,Small Stores / Shops,Sales Associate,Customer Appreciation Week,860293.75,303,2839.25,534.61,4996.89
