category,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Furniture,Large Malls / Complexes,Senior Salesperson,32981933.09,11973,2754.69,500.29,4999.88
Furniture,Small Stores / Shops,Manager,38753640.69,14005,2767.13,500.07,4999.89
Furniture,Small Stores / Shops,Sales Associate,40737348.21,14702,2770.87,500.31,4999.44
Furniture,Small Stores / Shops,Salesperson,39880699.90,14396,2770.26,500.34,4999.64
Furniture,Small Stores / Shops,Senior Salesperson,34783112.93,12726,2733.23,500.06,4999.40
Furniture,Supermarkets ,Manager,40148143.81,14693,2732.47,500.89,4999.90
Furniture,Supermarkets ,Sales Associate,41932661.69,15235,2752.39,501.50,4999.68
Furniture,Supermarkets ,Salesperson,41417844.08,15107,2741.63,500.23,4999.22
Furniture,Supermarkets ,Senior Salesperson,35863974.50,13061,2745.88,500.58,4999.39
Groceries,Large Malls / Complexes,Manager,35394881.69,12968,2729.40,500.47,4999.40
Groceries,Large Malls / Complexes,Sales Associate,37926252.01,13812,2745.89,501.31,4999.95
Groceries,Large Malls / Complexes,Salesperson,37297981.20,13425,2778.25,500.26,4999.97
Groceries,Large Malls / Complexes,Senior Salesperson,32897623.46,11954,2752.02,500.32,4999.96
Groceries,Small Stores / Shops,Manager,38520816.32,13914,2768.49,500.31,4999.83
Groceries,Small Stores / Shops,Sales Associate,40833859.90,14857,2748.46,500.01,4999.35
Groceries,Small Stores / Shops,Salesperson,40059411.62,14663,2732.01,500.43,4999.20
Groceries,Small Stores / Shops,Senior Salesperson,35001124.03,12711,2753.61,500.73,4999.89
Groceries,Supermarkets ,Manager,39855648.02,14461,2756.08,500.12,4999.58
Groceries,Supermarkets ,Sales Associate,41860645.70,15285,2738.67,500.74,4999.73
Groceries,Supermarkets ,Salesperson,41156931.57,15003,2743.25,500.16,4999.85
Groceries,Supermarkets ,Senior Salesperson,35810007.01,13031,2748.06,500.03,4999.88
Home Appliances,Large Malls / Complexes,Manager,36791775.94,13390,2747.71,500.13,4999.91
Home Appliances,Large Malls / Complexes,Sales Associate,38296905.65,13977,2739.99,500.36,4999.74
Home Appliances,Large Malls / Complexes,Salesperson,37854519.19,13733,2756.46,500.27,4999.90
Home Appliances,Large Malls / Complexes,Senior Salesperson,32951942.06,12025,2740.29,500.33,4999.94
Home Appliances,Small Stores / Shops,Manager,39021283.03,14282,2732.20,500.15,4999.15
Home Appliances,Small Stores / Shops,Sales Associate,40621197.18,14718,2759.97,500.21,4999.98
Home Appliances,Small Stores / Shops,Salesperson,39442478.10,14555,2709.89,500.09,4999.87
Home Appliances,Small Stores / Shops,Senior Salesperson,34576945.72,12633,2737.03,500.05,4999.22
Home Appliances,Supermarkets ,Manager,39979669.76,14507,2755.89,500.00,4999.93
Home Appliances,Supermarkets ,Sales Associate,41607481.07,15155,2745.46,500.10,4999.38
Home Appliances,Supermarkets ,Salesperson,40770255.58,14812,2752.52,500.13,4999.91
Home Appliances,Supermarkets ,Senior Salesperson,36066421.43,13142,2744.36,500.36,4999.84
Sports & Outdoors,Large Malls / Complexes,Manager,36910593.70,13358,2763.18,500.07,4999.34
Sports & Outdoors,Large Malls / Complexes,Sales Associate,38541775.64,13988,2755.35,500.10,4999.78
Sports & Outdoors,Large Malls / Complexes,Salesperson,38018835.42,13781,2758.79,500.30,4999.02
Sports & Outdoors,Large Malls / Complexes,Senior Salesperson,33052751.62,12038,2745.70,500.23,4999.61
Sports & Outdoors,Small Stores / Shops,Manager,38947146.50,14091,2763.97,500.04,4999.83
Sports & Outdoors,Small Stores / Shops,Sales Associate,40851460.45,14766,2766.59,500.23,4999.78
Sports & Outdoors,Small Stores / Shops,Salesperson,40368054.42,14724,2741.65,500.01,4999.65
Sports & Outdoors,Small Stores / Shops,Senior Salesperson,35768735.93,12987,2754.20,500.03,4999.44
Sports & Outdoors,Supermarkets ,Manager,39660894.96,14421,2750.22,500.04,4999.97
Sports & Outdoors,Supermarkets ,Sales Associate,41991208.30,15295,2745.42,500.09,4999.33
Sports & Outdoors,Supermarkets ,Salesperson,40783979.42,14823,2751.40,500.60,4999.89
Sports & Outdoors,Supermarkets ,Senior Salesperson,36807966.48,13370,2753.03,500.31,4999.53
