customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Manager,Limited Time Treasures,1401775.47,492,2849.14,500.43,4992.37
Budget Shopper,Manager,Loyalty Rewards Blast,1296799.43,485,2673.81,503.05,4985.06
Budget Shopper,Manager,Mega Weekend Bonanza,1475926.14,541,2728.14,511.55,4996.39
Budget Shopper,Manager,Mid-Year Madness,1504360.54,543,2770.46,525.19,4993.34
Budget Shopper,Manager,Midnight Madness,1421959.73,491,2896.05,509.57,4980.61
Budget Shopper,Manager,Mystery Discount Days,1415796.96,521,2717.46,503.19,4996.71
Budget Shopper,Manager,New Arrival Showcase,1233490.13,472,2613.33,506.53,4989.50
Budget Shopper,Manager,New Product Launch Promo,1426826.20,529,2697.21,507.38,4998.61
Budget Shopper,Manager,New Year Kickoff,1272199.06,464,2741.81,509.51,4987.36
Budget Shopper,Manager,Price Drop Parade,1237612.10,454,2726.02,500.55,4983.61
Budget Shopper,Manager,Red Tag Clearance,1409476.11,500,2818.95,501.68,4984.96
Budget Shopper,Manager,Seasonal Surprise Box,1378622.87,499,2762.77,501.93,4984.25
Budget Shopper,Manager,Shop & Save Spectacular,1368049.65,507,2698.32,503.57,4997.51
Budget Shopper,Manager,Smart Shopper Week,1340983.35,478,2805.40,500.78,4985.85
Budget Shopper,Manager,Spring Refresh Event,1448323.46,526,2753.47,512.12,4997.69
Budget Shopper,Manager,Spring Splash Discounts,1288766.06,466,2765.59,500.68,4999.80
Budget Shopper,Manager,Summer Sizzle Promo,1429740.33,519,2754.80,500.92,4996.11
Budget Shopper,Manager,Super Savings Week,1309982.01,488,2684.39,507.88,4993.57
Budget Shopper,Manager,Ultimate Value Event,1347831.80,493,2733.94,516.38,4999.12
Budget Shopper,Manager,VIP Access Sale,1425823.15,527,2705.55,512.62,4991.92
Budget Shopper,Manager,Weekend Warrior Specials,1304894.88,470,2776.37,501.67,4979.11
Budget Shopper,Manager,Winter Clearance Carnival,1455533.38,516,2820.80,506.66,4998.44
Budget Shopper,Manager,Winter Wonders Sale,1369504.69,494,2772.28,506.23,4977.07
Budget Shopper,Sales Associate,12 Days of Deals,1330093.56,475,2800.20,512.05,4991.58
Budget Shopper,Sales Associate,Autumn Deals Drive,1382364.98,498,2775.83,502.24,4990.58
Budget Shopper,Sales Associate,BOGO Blitz,1429616.35,523,2733.49,505.02,4981.18
Budget Shopper,Sales Associate,Back to School Boost,1556970.64,564,2760.59,508.79,4995.75
Budget Shopper,Sales Associate,Birthday Bash Sale,1449916.41,541,2680.07,504.53,4992.91
Budget Shopper,Sales Associate,Black Friday Blowout,1433174.81,503,2849.25,508.22,4993.47
Budget Shopper,Sales Associate,Cart Crasher Campaign,1595077.26,570,2798.38,557.26,4996.24
Budget Shopper,Sales Associate,Cashback Carnival,1553823.01,555,2799.68,500.42,4990.45
Budget Shopper,Sales Associate,Clearance Countdown,1470443.20,540,2723.04,507.62,4998.92
Budget Shopper,Sales Associate,Countdown to Savings,1387147.59,519,2672.73,517.81,4989.61
Budget Shopper,Sales Associate,Customer Appreciation Week,1404519.53,509,2759.37,504.71,4995.70
Budget Shopper,Sales Associate,Cyber Monday Mania,1357565.84,499,2720.57,504.93,4993.83
Budget Shopper,Sales Associate,Deal of the Month,1435712.34,510,2815.12,503.94,4991.80
Budget Shopper,Sales Associate,Double Points Bonanza,1418217.93,524,2706.52,502.69,4997.47
Budget Shopper,Sales Associate,Early Bird Specials,1446972.26,528,2740.48,505.34,4995.21
Budget Shopper,Sales Associate,End of Season Sale,1395871.94,490,2848.72,522.30,4999.78
Budget Shopper,Sales Associate,Exclusive Insider Offers,1398309.36,520,2689.06,503.94,4996.14
Budget Shopper,Sales Associate,Festive Fever Promo,1384770.93,504,2747.56,506.57,4967.69
Budget Shopper,Sales Associate,Final Call Frenzy,1563501.23,552,2832.43,507.00,4997.52
Budget Shopper,Sales Associate,Flash Frenzy Friday,1405014.81,509,2760.34,507.52,4989.37
Budget Shopper,Sales Associate,"Gift More, Spend Less",1280962.39,473,2708.17,514.71,4991.44
Budget Shopper,Sales Associate,Golden Hour Bargains,1344742.63,511,2631.59,506.68,4999.85
Budget Shopper,Sales Associate,Green Weekend Deals,1345153.06,490,2745.21,506.53,4991.30
Budget Shopper,Sales Associate,Happy Hour Discounts,1507167.11,555,2715.62,500.42,4998.71
Budget Shopper,Sales Associate,Holiday Shopping Rush,1598137.00,573,2789.07,506.38,4989.87
Budget Shopper,Sales Associate,Hot Picks Promo,1504036.44,538,2795.61,510.10,4990.00
Budget Shopper,Sales Associate,Instant Gratification Sale,1443598.06,522,2765.51,501.38,4984.14
Budget Shopper,Sales Associate,Limited Time Treasures,1422678.01,528,2694.47,507.40,4997.38
Budget Shopper,Sales Associate,Loyalty Rewards Blast,1463770.72,536,2730.92,525.09,4995.73
Budget Shopper,Sales Associate,Mega Weekend Bonanza,1505513.11,537,2803.56,512.13,4995.42
Budget Shopper,Sales Associate,Mid-Year Madness,1428240.65,514,2778.68,536.81,4992.54
Budget Shopper,Sales Associate,Midnight Madness,1392310.73,529,2631.97,500.72,4999.95
Budget Shopper,Sales Associate,Mystery Discount Days,1382723.70,500,2765.45,511.16,4999.16
Budget Shopper,Sales Associate,New Arrival Showcase,1388111.78,504,2754.19,508.56,4995.28
Budget Shopper,Sales Associate,New Product Launch Promo,1513425.91,546,2771.84,502.18,4986.13
Budget Shopper,Sales Associate,New Year Kickoff,1509391.52,534,2826.58,500.10,4995.24
Budget Shopper,Sales Associate,Price Drop Parade,1421916.49,521,2729.21,507.21,4996.70
Budget Shopper,Sales Associate,Red Tag Clearance,1440778.73,523,2754.84,511.82,4993.50
Budget Shopper,Sales Associate,Seasonal Surprise Box,1523167.19,533,2857.72,504.53,4997.98
Budget Shopper,Sales Associate,Shop & Save Spectacular,1389863.85,509,2730.58,511.64,4995.39
Budget Shopper,Sales Associate,Smart Shopper Week,1353746.90,500,2707.49,502.36,4995.84
Budget Shopper,Sales Associate,Spring Refresh Event,1530705.61,556,2753.07,501.09,4993.59
Budget Shopper,Sales Associate,Spring Splash Discounts,1379444.49,510,2704.79,508.67,4994.40
Budget Shopper,Sales Associate,Summer Sizzle Promo,1420989.19,512,2775.37,510.83,4986.41
Budget Shopper,Sales Associate,Super Savings Week,1428943.72,509,2807.36,509.07,4995.51
Budget Shopper,Sales Associate,Ultimate Value Event,1429902.17,516,2771.13,526.43,4998.36
Budget Shopper,Sales Associate,VIP Access Sale,1506280.51,533,2826.04,516.56,4994.17
Budget Shopper,Sales Associate,Weekend Warrior Specials,1412870.53,532,2655.77,502.76,4994.74
Budget Shopper,Sales Associate,Winter Clearance Carnival,1470835.18,537,2738.99,526.61,4992.46
Budget Shopper,Sales Associate,Winter Wonders Sale,1388764.37,533,2605.56,505.33,4991.51
Budget Shopper,Salesperson,12 Days of Deals,1451606.40,526,2759.71,502.32,4998.61
Budget Shopper,Salesperson,Autumn Deals Drive,1346219.32,494,2725.14,506.50,4993.37
Budget Shopper,Salesperson,BOGO Blitz,1356900.28,520,2609.42,505.45,4993.22
Budget Shopper,Salesperson,Back to School Boost,1302062.53,471,2764.46,510.39,4985.68
Budget Shopper,Salesperson,Birthday Bash Sale,1362706.60,498,2736.36,511.57,4992.00
Budget Shopper,Salesperson,Black Friday Blowout,1455670.20,522,2788.64,500.99,4987.21
Budget Shopper,Salesperson,Cart Crasher Campaign,1271739.86,477,2666.12,504.62,4988.86
Budget Shopper,Salesperson,Cashback Carnival,1546747.58,538,2875.00,529.22,4988.47
Budget Shopper,Salesperson,Clearance Countdown,1368684.70,492,2781.88,503.09,4995.77
Budget Shopper,Salesperson,Countdown to Savings,1429139.11,528,2706.70,506.50,4979.42
Budget Shopper,Salesperson,Customer Appreciation Week,1319910.70,482,2738.40,518.89,4999.25
Budget Shopper,Salesperson,Cyber Monday Mania,1406271.70,515,2730.62,510.17,4993.46
Budget Shopper,Salesperson,Deal of the Month,1337548.05,494,2707.59,502.25,4997.58
Budget Shopper,Salesperson,Double Points Bonanza,1486740.65,524,2837.29,509.49,4998.12
Budget Shopper,Salesperson,Early Bird Specials,1365959.52,494,2765.10,509.77,4977.91
Budget Shopper,Salesperson,End of Season Sale,1519762.53,553,2748.21,515.67,4999.17
Budget Shopper,Salesperson,Exclusive Insider Offers,1401670.56,519,2700.71,506.05,4999.90
Budget Shopper,Salesperson,Festive Fever Promo,1317594.20,486,2711.10,508.66,4996.31
Budget Shopper,Salesperson,Final Call Frenzy,1484485.20,528,2811.53,509.79,4995.87
Budget Shopper,Salesperson,Flash Frenzy Friday,1467907.92,514,2855.85,501.20,4998.41
Budget Shopper,Salesperson,"Gift More, Spend Less",1403979.41,513,2736.80,516.29,4982.73
Budget Shopper,Salesperson,Golden Hour Bargains,1388032.78,516,2689.99,506.49,4997.22
Budget Shopper,Salesperson,Green Weekend Deals,1507888.91,541,2787.23,504.78,4989.20
Budget Shopper,Salesperson,Happy Hour Discounts,1497998.78,534,2805.24,505.03,4986.24
Budget Shopper,Salesperson,Holiday Shopping Rush,1451344.15,511,2840.20,504.65,4999.40
Budget Shopper,Salesperson,Hot Picks Promo,1408603.64,510,2761.97,514.13,4989.53
Budget Shopper,Salesperson,Instant Gratification Sale,1344408.36,487,2760.59,504.58,4983.48
Budget Shopper,Salesperson,Limited Time Treasures,1364098.58,520,2623.27,509.07,4997.33
Budget Shopper,Salesperson,Loyalty Rewards Blast,1535919.89,544,2823.38,523.08,4998.98
Budget Shopper,Salesperson,Mega Weekend Bonanza,1411508.69,504,2800.61,510.23,4987.19
Budget Shopper,Salesperson,Mid-Year Madness,1388655.88,516,2691.19,502.59,4992.45
Budget Shopper,Salesperson,Midnight Madness,1403645.73,513,2736.15,508.29,4986.24
Budget Shopper,Salesperson,Mystery Discount Days,1397710.79,510,2740.61,500.80,4999.42
Budget Shopper,Salesperson,New Arrival Showcase,1404585.46,495,2837.55,510.89,4991.08
Budget Shopper,Salesperson,New Product Launch Promo,1420311.67,535,2654.79,500.73,4999.95
Budget Shopper,Salesperson,New Year Kickoff,1500763.16,540,2779.19,501.31,4983.89
Budget Shopper,Salesperson,Price Drop Parade,1364026.00,501,2722.61,506.30,4992.73
Budget Shopper,Salesperson,Red Tag Clearance,1427745.30,530,2693.86,503.77,4983.87
Budget Shopper,Salesperson,Seasonal Surprise Box,1430315.15,517,2766.57,525.43,4973.56
Budget Shopper,Salesperson,Shop & Save Spectacular,1523814.92,559,2725.97,509.04,4985.88
Budget Shopper,Salesperson,Smart Shopper Week,1540220.86,551,2795.32,516.91,4999.66
Budget Shopper,Salesperson,Spring Refresh Event,1497588.10,532,2815.02,501.41,4989.96
Budget Shopper,Salesperson,Spring Splash Discounts,1476473.55,522,2828.49,504.57,4991.74
Budget Shopper,Salesperson,Summer Sizzle Promo,1458640.83,519,2810.48,510.56,4994.55
Budget Shopper,Salesperson,Super Savings Week,1463357.51,529,2766.27,532.71,4983.99
Budget Shopper,Salesperson,Ultimate Value Event,1399980.83,518,2702.67,506.99,4990.23
Budget Shopper,Salesperson,VIP Access Sale,1360989.12,501,2716.55,500.51,4991.26
Budget Shopper,Salesperson,Weekend Warrior Specials,1500648.49,541,2773.84,510.29,4956.07
Budget Shopper,Salesperson,Winter Clearance Carnival,1393824.91,497,2804.48,505.98,4999.97
Budget Shopper,Salesperson,Winter Wonders Sale,1491983.92,536,2783.55,502.26,4999.56
Budget Shopper,Senior Salesperson,12 Days of Deals,1268120.83,460,2756.78,505.54,4988.99
Budget Shopper,Senior Salesperson,Autumn Deals Drive,1162094.83,429,2708.85,525.01,4998.35
Budget Shopper,Senior Salesperson,BOGO Blitz,1271098.01,450,2824.66,503.27,4996.27
Budget Shopper,Senior Salesperson,Back to School Boost,1291605.16,462,2795.68,516.87,4984.77
Budget Shopper,Senior Salesperson,Birthday Bash Sale,1237286.53,449,2755.65,505.39,4992.29
Budget Shopper,Senior Salesperson,Black Friday Blowout,1228086.21,451,2723.03,505.61,4997.46
Budget Shopper,Senior Salesperson,Cart Crasher Campaign,1219665.01,436,2797.40,510.88,4972.80
Budget Shopper,Senior Salesperson,Cashback Carnival,1246841.57,455,2740.31,509.18,4999.12
Budget Shopper,Senior Salesperson,Clearance Countdown,1209357.72,446,2711.56,510.91,4991.96
Budget Shopper,Senior Salesperson,Countdown to Savings,1293963.77,471,2747.27,503.90,4961.52
Budget Shopper,Senior Salesperson,Customer Appreciation Week,1195931.95,447,2675.46,531.10,4986.48
Budget Shopper,Senior Salesperson,Cyber Monday Mania,1190569.80,444,2681.46,502.75,4999.28
Budget Shopper,Senior Salesperson,Deal of the Month,1253472.43,446,2810.48,507.09,4967.22
Budget Shopper,Senior Salesperson,Double Points Bonanza,1286889.58,468,2749.76,500.59,4986.99
Budget Shopper,Senior Salesperson,Early Bird Specials,1231384.23,459,2682.75,506.63,4974.01
Budget Shopper,Senior Salesperson,End of Season Sale,1294775.07,464,2790.46,503.49,4979.32
Budget Shopper,Senior Salesperson,Exclusive Insider Offers,1168207.24,445,2625.18,507.80,4994.95
Budget Shopper,Senior Salesperson,Festive Fever Promo,1263973.85,473,2672.25,500.98,4994.55
Budget Shopper,Senior Salesperson,Final Call Frenzy,1213572.33,443,2739.44,519.16,4995.76
Budget Shopper,Senior Salesperson,Flash Frenzy Friday,1226251.15,455,2695.06,521.21,4979.00
Budget Shopper,Senior Salesperson,"Gift More, Spend Less",1258231.81,443,2840.25,507.15,4998.35
Budget Shopper,Senior Salesperson,Golden Hour Bargains,1268416.79,451,2812.45,500.71,4983.42
Budget Shopper,Senior Salesperson,Green Weekend Deals,1349524.40,494,2731.83,500.26,4999.01
Budget Shopper,Senior Salesperson,Happy Hour Discounts,1171295.19,426,2749.52,511.52,4995.84
Budget Shopper,Senior Salesperson,Holiday Shopping Rush,1321011.45,474,2786.94,514.69,4999.39
Budget Shopper,Senior Salesperson,Hot Picks Promo,1185155.41,434,2730.77,505.64,4997.89
Budget Shopper,Senior Salesperson,Instant Gratification Sale,1165316.55,425,2741.92,503.39,4994.90
Budget Shopper,Senior Salesperson,Limited Time Treasures,1316562.93,473,2783.43,504.94,4994.02
Budget Shopper,Senior Salesperson,Loyalty Rewards Blast,1148387.20,425,2702.09,500.80,4998.29
Budget Shopper,Senior Salesperson,Mega Weekend Bonanza,1281408.70,476,2692.04,504.49,4972.66
Budget Shopper,Senior Salesperson,Mid-Year Madness,1245883.50,461,2702.57,507.87,4999.77
Budget Shopper,Senior Salesperson,Midnight Madness,1252565.45,461,2717.06,518.16,4995.31
Budget Shopper,Senior Salesperson,Mystery Discount Days,1289237.01,457,2821.09,508.84,4970.10
Budget Shopper,Senior Salesperson,New Arrival Showcase,1255107.20,454,2764.55,511.49,4993.31
Budget Shopper,Senior Salesperson,New Product Launch Promo,1245579.22,459,2713.68,501.09,4991.97
Budget Shopper,Senior Salesperson,New Year Kickoff,1227176.08,448,2739.23,501.48,4996.08
Budget Shopper,Senior Salesperson,Price Drop Parade,1143012.88,421,2714.99,521.85,4987.47
Budget Shopper,Senior Salesperson,Red Tag Clearance,1147809.38,431,2663.13,504.16,4996.92
Budget Shopper,Senior Salesperson,Seasonal Surprise Box,1385703.41,484,2863.02,501.12,4998.54
Budget Shopper,Senior Salesperson,Shop & Save Spectacular,1198947.68,427,2807.84,516.22,4991.10
Budget Shopper,Senior Salesperson,Smart Shopper Week,1167199.63,443,2634.76,513.67,4968.50
Budget Shopper,Senior Salesperson,Spring Refresh Event,1216033.71,438,2776.33,506.77,4991.42
Budget Shopper,Senior Salesperson,Spring Splash Discounts,1295560.37,450,2879.02,509.08,4998.53
Budget Shopper,Senior Salesperson,Summer Sizzle Promo,1082391.89,393,2754.18,515.15,4994.68
Budget Shopper,Senior Salesperson,Super Savings Week,1304475.49,454,2873.29,525.78,4999.08
Budget Shopper,Senior Salesperson,Ultimate Value Event,1275817.80,468,2726.11,502.47,4998.56
Budget Shopper,Senior Salesperson,VIP Access Sale,1226504.96,458,2677.96,507.99,4974.69
Budget Shopper,Senior Salesperson,Weekend Warrior Specials,1254020.37,458,2738.04,503.89,4999.39
Budget Shopper,Senior Salesperson,Winter Clearance Carnival,1246192.59,445,2800.43,507.50,4985.99
Budget Shopper,Senior Salesperson,Winter Wonders Sale,1219677.69,450,2710.39,523.21,4969.49
Churn Risk,Manager,12 Days of Deals,1325312.77,473,2801.93,502.31,4995.63
Churn Risk,Manager,Autumn Deals Drive,1477246.27,525,2813.80,501.18,4999.13
Churn Risk,Manager,BOGO Blitz,1393282.60,507,2748.09,519.12,4991.38
Churn Risk,Manager,Back to School Boost,1491010.04,553,2696.22,503.12,4995.60
Churn Risk,Manager,Birthday Bash Sale,1437845.59,516,2786.52,500.37,4983.87
Churn Risk,Manager,Black Friday Blowout,1364608.68,501,2723.77,503.75,4997.94
Churn Risk,Manager,Cart Crasher Campaign,1384786.08,500,2769.57,508.04,4998.46
Churn Risk,Manager,Cashback Carnival,1344369.18,469,2866.46,524.39,4994.40
Churn Risk,Manager,Clearance Countdown,1337150.69,499,2679.66,502.94,4995.43
Churn Risk,Manager,Countdown to Savings,1346746.84,488,2759.73,502.49,4990.06
Churn Risk,Manager,Customer Appreciation Week,1352161.83,498,2715.18,512.13,4988.73
Churn Risk,Manager,Cyber Monday Mania,1468941.98,520,2824.89,513.45,4990.19
Churn Risk,Manager,Deal of the Month,1405145.55,515,2728.44,510.85,4990.78
Churn Risk,Manager,Double Points Bonanza,1340901.07,476,2817.02,523.83,4984.63
Churn Risk,Manager,Early Bird Specials,1356747.26,475,2856.31,550.01,4995.32
Churn Risk,Manager,End of Season Sale,1510581.66,555,2721.77,503.81,4985.42
Churn Risk,Manager,Exclusive Insider Offers,1358721.24,489,2778.57,511.95,4989.13
Churn Risk,Manager,Festive Fever Promo,1327399.82,498,2665.46,502.30,4982.26
Churn Risk,Manager,Final Call Frenzy,1370636.13,496,2763.38,505.76,4981.71
Churn Risk,Manager,Flash Frenzy Friday,1454137.61,513,2834.58,522.32,4995.77
Churn Risk,Manager,"Gift More, Spend Less",1324825.76,505,2623.42,535.13,4988.75
Churn Risk,Manager,Golden Hour Bargains,1453628.69,513,2833.58,515.45,4992.88
Churn Risk,Manager,Green Weekend Deals,1460185.65,507,2880.05,504.20,4996.07
Churn Risk,Manager,Happy Hour Discounts,1367668.09,496,2757.40,505.67,4995.06
Churn Risk,Manager,Holiday Shopping Rush,1355157.27,511,2651.97,500.17,4979.26
Churn Risk,Manager,Hot Picks Promo,1495899.42,529,2827.79,506.70,4988.80
Churn Risk,Manager,Instant Gratification Sale,1289991.59,482,2676.33,514.89,4998.35
Churn Risk,Manager,Limited Time Treasures,1398931.31,493,2837.59,501.18,4997.24
Churn Risk,Manager,Loyalty Rewards Blast,1420320.91,506,2806.96,509.96,4998.22
Churn Risk,Manager,Mega Weekend Bonanza,1398682.83,535,2614.36,503.48,4996.67
Churn Risk,Manager,Mid-Year Madness,1335302.10,494,2703.04,505.35,4995.57
Churn Risk,Manager,Midnight Madness,1363472.77,498,2737.90,508.22,4995.95
Churn Risk,Manager,Mystery Discount Days,1409438.57,526,2679.54,501.23,4995.76
Churn Risk,Manager,New Arrival Showcase,1340004.93,493,2718.06,500.17,4992.15
Churn Risk,Manager,New Product Launch Promo,1463863.14,535,2736.19,509.60,4991.85
Churn Risk,Manager,New Year Kickoff,1402329.89,510,2749.67,560.75,4988.93
Churn Risk,Manager,Price Drop Parade,1389866.82,519,2677.97,530.33,4997.34
Churn Risk,Manager,Red Tag Clearance,1253236.12,481,2605.48,501.05,4977.15
Churn Risk,Manager,Seasonal Surprise Box,1430340.84,511,2799.10,501.54,4996.49
Churn Risk,Manager,Shop & Save Spectacular,1386706.14,494,2807.10,511.32,4998.60
Churn Risk,Manager,Smart Shopper Week,1398206.13,503,2779.73,523.85,4992.28
Churn Risk,Manager,Spring Refresh Event,1403138.77,514,2729.84,524.73,4980.06
Churn Risk,Manager,Spring Splash Discounts,1378554.98,503,2740.67,505.77,4995.14
Churn Risk,Manager,Summer Sizzle Promo,1249273.10,455,2745.66,527.21,4998.58
Churn Risk,Manager,Super Savings Week,1360428.90,506,2688.59,500.70,4992.27
Churn Risk,Manager,Ultimate Value Event,1527699.34,551,2772.59,503.99,4997.13
Churn Risk,Manager,VIP Access Sale,1425200.42,517,2756.67,502.11,4999.15
Churn Risk,Manager,Weekend Warrior Specials,1338003.34,473,2828.76,504.09,4999.21
Churn Risk,Manager,Winter Clearance Carnival,1446941.96,519,2787.94,503.94,4995.61
Churn Risk,Manager,Winter Wonders Sale,1414504.24,519,2725.44,510.86,4980.40
Churn Risk,Sales Associate,12 Days of Deals,1483861.75,532,2789.21,504.11,4996.82
Churn Risk,Sales Associate,Autumn Deals Drive,1442887.25,532,2712.19,501.19,4996.09
Churn Risk,Sales Associate,BOGO Blitz,1446487.77,518,2792.45,508.02,4992.34
Churn Risk,Sales Associate,Back to School Boost,1623431.56,574,2828.28,520.12,4987.32
Churn Risk,Sales Associate,Birthday Bash Sale,1529885.04,543,2817.47,509.57,4985.32
Churn Risk,Sales Associate,Black Friday Blowout,1354339.52,490,2763.96,503.18,4995.99
Churn Risk,Sales Associate,Cart Crasher Campaign,1370454.90,507,2703.07,502.87,4996.45
Churn Risk,Sales Associate,Cashback Carnival,1321922.19,502,2633.31,510.20,4986.49
Churn Risk,Sales Associate,Clearance Countdown,1470032.89,526,2794.74,526.48,4998.56
Churn Risk,Sales Associate,Countdown to Savings,1473225.11,529,2784.92,500.60,4996.16
Churn Risk,Sales Associate,Customer Appreciation Week,1303801.40,502,2597.21,502.48,4997.68
Churn Risk,Sales Associate,Cyber Monday Mania,1456773.80,519,2806.89,509.47,4998.93
Churn Risk,Sales Associate,Deal of the Month,1438364.61,539,2668.58,501.02,4978.58
Churn Risk,Sales Associate,Double Points Bonanza,1446201.71,539,2683.12,500.48,4991.43
Churn Risk,Sales Associate,Early Bird Specials,1501714.59,538,2791.29,508.69,4975.86
Churn Risk,Sales Associate,End of Season Sale,1493089.41,558,2675.79,520.33,4996.48
Churn Risk,Sales Associate,Exclusive Insider Offers,1391118.01,499,2787.81,524.48,4995.02
Churn Risk,Sales Associate,Festive Fever Promo,1375743.61,495,2779.28,500.36,4990.21
Churn Risk,Sales Associate,Final Call Frenzy,1423564.26,520,2737.62,501.57,4993.58
Churn Risk,Sales Associate,Flash Frenzy Friday,1399877.97,512,2734.14,507.64,4997.51
Churn Risk,Sales Associate,"Gift More, Spend Less",1474983.14,535,2756.98,509.81,4987.76
Churn Risk,Sales Associate,Golden Hour Bargains,1356745.90,491,2763.23,500.57,4981.94
Churn Risk,Sales Associate,Green Weekend Deals,1717908.42,614,2797.90,517.77,4997.22
Churn Risk,Sales Associate,Happy Hour Discounts,1509244.17,546,2764.18,503.04,4993.28
Churn Risk,Sales Associate,Holiday Shopping Rush,1552033.45,552,2811.65,507.19,4993.89
Churn Risk,Sales Associate,Hot Picks Promo,1460558.28,531,2750.58,508.91,4985.45
Churn Risk,Sales Associate,Instant Gratification Sale,1436597.56,513,2800.39,546.73,4999.03
Churn Risk,Sales Associate,Limited Time Treasures,1465307.56,532,2754.34,513.33,4965.73
Churn Risk,Sales Associate,Loyalty Rewards Blast,1304684.28,489,2668.07,506.55,4981.19
Churn Risk,Sales Associate,Mega Weekend Bonanza,1442127.54,518,2784.03,502.08,4998.00
Churn Risk,Sales Associate,Mid-Year Madness,1462214.44,508,2878.37,516.51,4993.47
Churn Risk,Sales Associate,Midnight Madness,1463280.06,543,2694.81,502.72,4990.79
Churn Risk,Sales Associate,Mystery Discount Days,1484930.07,548,2709.73,528.84,4958.82
Churn Risk,Sales Associate,New Arrival Showcase,1537343.39,561,2740.36,504.98,4999.20
Churn Risk,Sales Associate,New Product Launch Promo,1406682.97,519,2710.37,509.22,4999.22
Churn Risk,Sales Associate,New Year Kickoff,1351755.00,489,2764.33,519.86,4990.26
Churn Risk,Sales Associate,Price Drop Parade,1407949.25,519,2712.81,508.52,4975.36
Churn Risk,Sales Associate,Red Tag Clearance,1317490.20,483,2727.72,501.03,4982.81
Churn Risk,Sales Associate,Seasonal Surprise Box,1444022.80,535,2699.11,505.59,4998.82
Churn Risk,Sales Associate,Shop & Save Spectacular,1482935.83,533,2782.24,500.21,4999.91
Churn Risk,Sales Associate,Smart Shopper Week,1503545.59,548,2743.70,509.77,4995.40
Churn Risk,Sales Associate,Spring Refresh Event,1412580.23,517,2732.26,500.56,4998.26
Churn Risk,Sales Associate,Spring Splash Discounts,1465541.56,554,2645.38,502.55,4943.31
Churn Risk,Sales Associate,Summer Sizzle Promo,1366406.39,496,2754.85,500.57,4970.66
Churn Risk,Sales Associate,Super Savings Week,1476373.27,539,2739.10,505.75,4997.19
Churn Risk,Sales Associate,Ultimate Value Event,1456300.16,530,2747.74,531.19,4991.35
Churn Risk,Sales Associate,VIP Access Sale,1466172.58,545,2690.22,521.06,4990.46
Churn Risk,Sales Associate,Weekend Warrior Specials,1417652.40,523,2710.62,503.77,4995.92
Churn Risk,Sales Associate,Winter Clearance Carnival,1599008.94,582,2747.44,501.40,4997.18
Churn Risk,Sales Associate,Winter Wonders Sale,1398744.95,512,2731.92,515.88,4991.74
Churn Risk,Salesperson,12 Days of Deals,1320947.98,486,2718.00,509.59,4989.39
