store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Large Malls / Complexes,Mega Weekend Bonanza,17315775.66,6285,2755.10,500.60,4998.42
Large Malls / Complexes,Mid-Year Madness,17095636.97,6225,2746.29,500.32,4999.77
Large Malls / Complexes,Midnight Madness,17206014.08,6310,2726.79,500.23,4999.95
Large Malls / Complexes,Mystery Discount Days,17300090.79,6314,2739.96,500.77,4999.42
Large Malls / Complexes,New Arrival Showcase,17814049.34,6387,2789.11,500.37,4999.86
Large Malls / Complexes,New Product Launch Promo,17524108.52,6395,2740.28,500.59,4999.95
Large Malls / Complexes,New Year Kickoff,17545542.86,6320,2776.19,501.48,4998.10
Large Malls / Complexes,Price Drop Parade,16996503.04,6214,2735.20,500.07,4999.83
Large Malls / Complexes,Red Tag Clearance,17042046.01,6217,2741.20,500.88,4999.64
Large Malls / Complexes,Seasonal Surprise Box,17387151.22,6343,2741.16,500.11,4998.58
Large Malls / Complexes,Shop & Save Spectacular,17853520.01,6388,2794.85,500.18,4999.91
Large Malls / Complexes,Smart Shopper Week,17194752.99,6259,2747.20,500.54,4999.94
Large Malls / Complexes,Spring Refresh Event,17643364.08,6346,2780.23,500.36,4999.83
Large Malls / Complexes,Spring Splash Discounts,17379615.48,6353,2735.65,500.35,4999.02
Large Malls / Complexes,Summer Sizzle Promo,17163271.18,6232,2754.06,500.10,4998.58
Large Malls / Complexes,Super Savings Week,17639151.77,6384,2763.03,500.28,4998.97
Large Malls / Complexes,Ultimate Value Event,17343165.77,6277,2762.97,500.47,4999.91
Large Malls / Complexes,VIP Access Sale,17167310.30,6276,2735.39,500.61,4999.97
Large Malls / Complexes,Weekend Warrior Specials,17847233.95,6461,2762.30,501.07,4999.65
Large Malls / Complexes,Winter Clearance Carnival,17794213.56,6383,2787.75,501.55,4999.97
Large Malls / Complexes,Winter Wonders Sale,17093840.03,6264,2728.90,500.27,4999.74
Small Stores / Shops,12 Days of Deals,18523153.21,6733,2751.10,502.11,4999.82
Small Stores / Shops,Autumn Deals Drive,18629517.72,6796,2741.25,500.20,4998.96
Small Stores / Shops,BOGO Blitz,18681159.68,6755,2765.53,500.64,4999.45
Small Stores / Shops,Back to School Boost,18123200.43,6649,2725.70,500.09,4996.70
Small Stores / Shops,Birthday Bash Sale,18386335.25,6686,2749.98,500.14,4998.00
Small Stores / Shops,Black Friday Blowout,18684446.28,6756,2765.61,500.74,4999.65
Small Stores / Shops,Cart Crasher Campaign,18322089.03,6650,2755.20,500.78,4999.98
Small Stores / Shops,Cashback Carnival,18006239.84,6583,2735.26,500.39,4999.14
Small Stores / Shops,Clearance Countdown,18410491.70,6709,2744.15,500.08,4999.80
Small Stores / Shops,Countdown to Savings,18721658.30,6799,2753.59,500.23,4998.01
Small Stores / Shops,Customer Appreciation Week,18977593.40,6848,2771.26,500.64,4998.61
Small Stores / Shops,Cyber Monday Mania,18758064.41,6799,2758.94,502.42,4999.83
Small Stores / Shops,Deal of the Month,18270284.87,6720,2718.79,500.38,4999.41
Small Stores / Shops,Double Points Bonanza,18617885.87,6764,2752.50,500.57,4998.97
Small Stores / Shops,Early Bird Specials,18828347.13,6817,2761.97,503.37,4999.70
Small Stores / Shops,End of Season Sale,18516007.91,6724,2753.72,500.37,4999.78
Small Stores / Shops,Exclusive Insider Offers,18487726.77,6727,2748.29,500.07,4999.96
Small Stores / Shops,Festive Fever Promo,18474566.30,6728,2745.92,500.07,4998.24
Small Stores / Shops,Final Call Frenzy,18855235.19,6834,2759.03,500.03,4998.78
Small Stores / Shops,Flash Frenzy Friday,18593255.34,6773,2745.20,503.50,4999.30
Small Stores / Shops,"Gift More, Spend Less",18698532.78,6797,2751.00,501.32,4998.23
Small Stores / Shops,Golden Hour Bargains,18295043.35,6625,2761.52,500.01,4999.31
Small Stores / Shops,Green Weekend Deals,18607168.52,6785,2742.40,500.21,4998.39
Small Stores / Shops,Happy Hour Discounts,18325674.42,6662,2750.78,500.31,4998.88
Small Stores / Shops,Holiday Shopping Rush,18300773.01,6704,2729.83,500.26,4998.79
Small Stores / Shops,Hot Picks Promo,18500065.39,6695,2763.27,500.04,4998.48
Small Stores / Shops,Instant Gratification Sale,18720873.23,6791,2756.72,500.07,4999.03
Small Stores / Shops,Limited Time Treasures,18449355.94,6737,2738.51,500.34,4999.81
Small Stores / Shops,Loyalty Rewards Blast,18503109.08,6697,2762.90,500.22,4998.50
Small Stores / Shops,Mega Weekend Bonanza,18736853.04,6760,2771.72,500.15,4999.69
Small Stores / Shops,Mid-Year Madness,18845210.80,6856,2748.72,500.34,4999.10
Small Stores / Shops,Midnight Madness,18372919.38,6702,2741.41,500.01,4998.66
Small Stores / Shops,Mystery Discount Days,18586596.15,6709,2770.40,500.15,4996.44
Small Stores / Shops,New Arrival Showcase,18702171.94,6757,2767.82,500.17,4999.20
Small Stores / Shops,New Product Launch Promo,18365785.35,6661,2757.21,500.73,4999.40
Small Stores / Shops,New Year Kickoff,18716493.10,6827,2741.54,501.02,4999.87
Small Stores / Shops,Price Drop Parade,18451354.17,6707,2751.06,500.06,4999.68
Small Stores / Shops,Red Tag Clearance,18456708.57,6690,2758.85,501.05,4997.86
Small Stores / Shops,Seasonal Surprise Box,19061180.51,6944,2744.99,501.12,4997.91
Small Stores / Shops,Shop & Save Spectacular,18825179.98,6783,2775.35,500.14,4999.95
Small Stores / Shops,Smart Shopper Week,18757565.46,6836,2743.94,500.78,4999.73
Small Stores / Shops,Spring Refresh Event,18227209.19,6582,2769.25,500.55,4999.78
Small Stores / Shops,Spring Splash Discounts,18629789.71,6720,2772.29,500.68,4999.83
Small Stores / Shops,Summer Sizzle Promo,18626452.85,6778,2748.08,500.57,4999.26
Small Stores / Shops,Super Savings Week,18282144.04,6610,2765.83,500.70,4999.89
Small Stores / Shops,Ultimate Value Event,18314443.29,6645,2756.12,500.17,4999.82
Small Stores / Shops,VIP Access Sale,18570883.59,6719,2763.94,500.31,4999.89
Small Stores / Shops,Weekend Warrior Specials,18164988.95,6725,2701.11,500.62,4999.21
Small Stores / Shops,Winter Clearance Carnival,18569487.25,6704,2769.91,501.06,4998.44
Small Stores / Shops,Winter Wonders Sale,18745228.94,6831,2744.14,502.50,4999.21
Supermarkets ,12 Days of Deals,19105936.25,6950,2749.06,501.44,4999.60
Supermarkets ,Autumn Deals Drive,19068679.12,6954,2742.12,500.04,4999.75
Supermarkets ,BOGO Blitz,18553249.04,6847,2709.69,500.97,4999.75
Supermarkets ,Back to School Boost,19270687.71,7054,2731.88,500.13,4999.86
Supermarkets ,Birthday Bash Sale,18724548.26,6803,2752.40,500.20,4999.93
Supermarkets ,Black Friday Blowout,19013752.09,6905,2753.62,500.60,4999.91
Supermarkets ,Cart Crasher Campaign,19363994.91,7000,2766.28,501.15,4999.82
Supermarkets ,Cashback Carnival,19107839.41,6964,2743.80,500.13,4999.22
Supermarkets ,Clearance Countdown,19221805.99,7022,2737.37,500.53,4998.92
Supermarkets ,Countdown to Savings,19241366.70,7027,2738.21,500.09,4998.86
Supermarkets ,Customer Appreciation Week,19183064.03,6984,2746.72,502.24,4999.25
Supermarkets ,Cyber Monday Mania,18864442.51,6857,2751.12,502.07,4998.69
Supermarkets ,Deal of the Month,18999160.19,6913,2748.32,501.29,4999.96
Supermarkets ,Double Points Bonanza,18971479.76,6893,2752.28,500.48,4999.34
Supermarkets ,Early Bird Specials,18520425.67,6768,2736.47,500.89,4997.79
Supermarkets ,End of Season Sale,18968352.28,6907,2746.25,500.31,4999.19
Supermarkets ,Exclusive Insider Offers,18815062.84,6801,2766.51,501.83,4999.97
Supermarkets ,Festive Fever Promo,19141509.05,7054,2713.57,501.00,4999.21
Supermarkets ,Final Call Frenzy,18925158.13,6862,2757.97,501.90,4999.96
Supermarkets ,Flash Frenzy Friday,19025390.03,6904,2755.71,500.97,4998.23
Supermarkets ,"Gift More, Spend Less",18846794.44,6925,2721.56,500.46,4998.06
Supermarkets ,Golden Hour Bargains,18929640.41,6884,2749.80,500.16,4999.85
Supermarkets ,Green Weekend Deals,19369935.20,7018,2760.04,500.74,4999.98
Supermarkets ,Happy Hour Discounts,18908719.40,6815,2774.57,500.42,4998.47
Supermarkets ,Holiday Shopping Rush,18745282.00,6855,2734.54,500.17,4999.67
Supermarkets ,Hot Picks Promo,19093715.23,6936,2752.84,500.12,4999.88
Supermarkets ,Instant Gratification Sale,18748253.28,6838,2741.77,500.03,4999.70
Supermarkets ,Limited Time Treasures,18960743.93,6936,2733.67,500.36,4999.73
Supermarkets ,Loyalty Rewards Blast,19082754.12,6960,2741.78,500.58,4999.26
Supermarkets ,Mega Weekend Bonanza,18945353.57,6917,2738.96,501.48,4999.15
Supermarkets ,Mid-Year Madness,19138868.76,6966,2747.47,500.82,4999.49
Supermarkets ,Midnight Madness,19253647.64,6954,2768.72,500.45,4998.75
Supermarkets ,Mystery Discount Days,18993917.78,6896,2754.34,500.04,4999.85
Supermarkets ,New Arrival Showcase,18939433.27,6921,2736.52,500.17,4999.95
Supermarkets ,New Product Launch Promo,19054568.19,6965,2735.76,500.19,4999.22
Supermarkets ,New Year Kickoff,18942661.56,6892,2748.50,500.10,4999.63
Supermarkets ,Price Drop Parade,18891530.05,6856,2755.47,503.25,4999.58
Supermarkets ,Red Tag Clearance,19026597.92,6857,2774.77,500.15,4999.05
Supermarkets ,Seasonal Surprise Box,18972946.30,6875,2759.70,500.31,4998.82
Supermarkets ,Shop & Save Spectacular,18728949.48,6813,2749.00,500.09,4997.78
Supermarkets ,Smart Shopper Week,19120444.05,6934,2757.49,502.89,4999.77
Supermarkets ,Spring Refresh Event,19490484.62,7057,2761.87,500.05,4999.58
Supermarkets ,Spring Splash Discounts,18992293.01,6889,2756.90,500.46,4999.80
Supermarkets ,Summer Sizzle Promo,19053076.70,6912,2756.52,500.81,4998.80
Supermarkets ,Super Savings Week,19274530.07,6931,2780.92,500.00,4999.88
Supermarkets ,Ultimate Value Event,19229193.68,7001,2746.64,500.07,4999.84
Supermarkets ,VIP Access Sale,19508539.67,7098,2748.46,500.23,4999.48
Supermarkets ,Weekend Warrior Specials,19029257.26,6933,2744.74,501.39,4999.71
Supermarkets ,Winter Clearance Carnival,19298911.35,7011,2752.66,502.13,4999.77
Supermarkets ,Winter Wonders Sale,19379749.11,7098,2730.31,501.94,4999.85
