brand,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Large Malls / Complexes,Loyalty Rewards Blast,1155374.13,415,2784.03,503.10,4993.88
Adidas,Large Malls / Complexes,Mega Weekend Bonanza,1123025.48,400,2807.56,537.88,4969.18
Adidas,Large Malls / Complexes,Mid-Year Madness,1134849.50,420,2702.02,501.32,4989.23
Adidas,Large Malls / Complexes,Midnight Madness,1167457.45,424,2753.44,500.23,4994.43
Adidas,Large Malls / Complexes,Mystery Discount Days,1188016.36,426,2788.77,528.21,4976.22
Adidas,Large Malls / Complexes,New Arrival Showcase,1194822.41,430,2778.66,513.56,4987.87
Adidas,Large Malls / Complexes,New Product Launch Promo,1109338.49,401,2766.43,500.83,4999.95
Adidas,Large Malls / Complexes,New Year Kickoff,1162661.64,439,2648.43,502.81,4991.46
Adidas,Large Malls / Complexes,Price Drop Parade,1114572.72,420,2653.74,507.14,4989.39
Adidas,Large Malls / Complexes,Red Tag Clearance,1156858.68,422,2741.37,509.09,4989.71
Adidas,Large Malls / Complexes,Seasonal Surprise Box,1175670.20,428,2746.89,500.11,4976.23
Adidas,Large Malls / Complexes,Shop & Save Spectacular,1154759.92,411,2809.63,507.72,4995.87
Adidas,Large Malls / Complexes,Smart Shopper Week,1170835.90,437,2679.26,518.23,4999.86
Adidas,Large Malls / Complexes,Spring Refresh Event,1192452.80,413,2887.29,508.72,4985.65
Adidas,Large Malls / Complexes,Spring Splash Discounts,1094518.32,399,2743.15,525.43,4998.18
Adidas,Large Malls / Complexes,Summer Sizzle Promo,1221116.33,442,2762.71,506.00,4984.71
Adidas,Large Malls / Complexes,Super Savings Week,1225443.36,441,2778.78,502.34,4986.46
Adidas,Large Malls / Complexes,Ultimate Value Event,1167431.31,432,2702.39,513.09,4998.24
Adidas,Large Malls / Complexes,VIP Access Sale,1145015.68,406,2820.24,521.88,4987.83
Adidas,Large Malls / Complexes,Weekend Warrior Specials,1266979.85,453,2796.87,528.63,4992.44
Adidas,Large Malls / Complexes,Winter Clearance Carnival,1226086.48,445,2755.25,526.71,4997.18
Adidas,Large Malls / Complexes,Winter Wonders Sale,1148407.51,431,2664.52,504.80,4983.97
Adidas,Small Stores / Shops,12 Days of Deals,1334145.18,490,2722.75,511.33,4987.39
Adidas,Small Stores / Shops,Autumn Deals Drive,1272530.22,465,2736.62,518.04,4998.38
Adidas,Small Stores / Shops,BOGO Blitz,1200221.01,434,2765.49,500.64,4997.05
Adidas,Small Stores / Shops,Back to School Boost,1268740.69,463,2740.26,501.04,4994.39
Adidas,Small Stores / Shops,Birthday Bash Sale,1322755.77,466,2838.53,500.58,4998.00
Adidas,Small Stores / Shops,Black Friday Blowout,1235007.74,460,2684.80,562.65,4994.34
Adidas,Small Stores / Shops,Cart Crasher Campaign,1216675.99,437,2784.16,512.46,4983.68
Adidas,Small Stores / Shops,Cashback Carnival,1156630.89,436,2652.82,531.51,4994.16
Adidas,Small Stores / Shops,Clearance Countdown,1116244.36,414,2696.24,511.56,4996.24
Adidas,Small Stores / Shops,Countdown to Savings,1260953.73,447,2820.93,509.94,4992.78
Adidas,Small Stores / Shops,Customer Appreciation Week,1228486.67,433,2837.15,503.78,4988.63
Adidas,Small Stores / Shops,Cyber Monday Mania,1157721.38,418,2769.67,508.76,4999.05
Adidas,Small Stores / Shops,Deal of the Month,1101160.69,401,2746.04,524.49,4999.41
Adidas,Small Stores / Shops,Double Points Bonanza,1185659.03,436,2719.40,504.72,4992.41
Adidas,Small Stores / Shops,Early Bird Specials,1255517.93,453,2771.56,505.00,4995.32
Adidas,Small Stores / Shops,End of Season Sale,1203477.94,441,2728.97,515.55,4980.34
Adidas,Small Stores / Shops,Exclusive Insider Offers,1137044.84,413,2753.14,507.80,4982.41
Adidas,Small Stores / Shops,Festive Fever Promo,1213671.06,430,2822.49,513.73,4955.04
Adidas,Small Stores / Shops,Final Call Frenzy,1246453.11,448,2782.26,514.83,4992.84
Adidas,Small Stores / Shops,Flash Frenzy Friday,1101423.80,410,2686.40,538.03,4942.19
Adidas,Small Stores / Shops,"Gift More, Spend Less",1236925.53,443,2792.16,510.65,4988.68
Adidas,Small Stores / Shops,Golden Hour Bargains,1258719.35,462,2724.50,505.89,4987.94
Adidas,Small Stores / Shops,Green Weekend Deals,1171981.09,427,2744.69,522.76,4996.09
Adidas,Small Stores / Shops,Happy Hour Discounts,1195980.20,444,2693.65,515.80,4969.85
Adidas,Small Stores / Shops,Holiday Shopping Rush,1156225.80,433,2670.27,516.60,4998.34
Adidas,Small Stores / Shops,Hot Picks Promo,1289434.50,448,2878.20,520.65,4982.85
Adidas,Small Stores / Shops,Instant Gratification Sale,1267196.01,441,2873.46,535.85,4994.90
Adidas,Small Stores / Shops,Limited Time Treasures,1133031.61,419,2704.13,511.13,4961.50
Adidas,Small Stores / Shops,Loyalty Rewards Blast,1265302.04,450,2811.78,502.35,4989.94
Adidas,Small Stores / Shops,Mega Weekend Bonanza,1262311.45,447,2823.96,515.58,4996.59
Adidas,Small Stores / Shops,Mid-Year Madness,1192226.08,446,2673.15,503.20,4949.66
Adidas,Small Stores / Shops,Midnight Madness,1137766.48,421,2702.53,518.16,4986.14
Adidas,Small Stores / Shops,Mystery Discount Days,1208709.00,444,2722.32,500.17,4983.78
Adidas,Small Stores / Shops,New Arrival Showcase,1297717.48,458,2833.44,501.06,4995.28
Adidas,Small Stores / Shops,New Product Launch Promo,1272945.59,458,2779.36,500.73,4984.79
Adidas,Small Stores / Shops,New Year Kickoff,1153767.88,430,2683.18,503.31,4995.24
Adidas,Small Stores / Shops,Price Drop Parade,1185801.51,432,2744.91,503.07,4987.71
Adidas,Small Stores / Shops,Red Tag Clearance,1281186.19,451,2840.77,506.04,4995.28
Adidas,Small Stores / Shops,Seasonal Surprise Box,1189413.25,447,2660.88,531.49,4992.17
Adidas,Small Stores / Shops,Shop & Save Spectacular,1323540.50,483,2740.25,503.19,4974.46
Adidas,Small Stores / Shops,Smart Shopper Week,1271235.90,464,2739.73,507.17,4991.97
Adidas,Small Stores / Shops,Spring Refresh Event,1153706.71,431,2676.81,506.81,4999.78
Adidas,Small Stores / Shops,Spring Splash Discounts,1270399.02,464,2737.93,503.97,4995.14
Adidas,Small Stores / Shops,Summer Sizzle Promo,1252899.40,459,2729.63,501.65,4983.81
Adidas,Small Stores / Shops,Super Savings Week,1171402.11,423,2769.27,513.59,4998.86
Adidas,Small Stores / Shops,Ultimate Value Event,1205060.14,443,2720.23,502.59,4998.36
Adidas,Small Stores / Shops,VIP Access Sale,1184935.41,418,2834.77,506.38,4991.92
Adidas,Small Stores / Shops,Weekend Warrior Specials,1220752.18,459,2659.59,502.44,4989.77
Adidas,Small Stores / Shops,Winter Clearance Carnival,1261062.77,448,2814.87,510.29,4992.09
Adidas,Small Stores / Shops,Winter Wonders Sale,1160097.15,436,2660.77,513.20,4995.17
Adidas,Supermarkets ,12 Days of Deals,1296564.37,458,2830.93,501.44,4998.46
Adidas,Supermarkets ,Autumn Deals Drive,1280219.78,466,2747.25,500.33,4997.38
Adidas,Supermarkets ,BOGO Blitz,1294601.29,466,2778.11,509.20,4990.14
Adidas,Supermarkets ,Back to School Boost,1306041.59,478,2732.30,501.52,4999.86
Adidas,Supermarkets ,Birthday Bash Sale,1151554.99,438,2629.12,506.71,4978.32
Adidas,Supermarkets ,Black Friday Blowout,1358357.01,485,2800.74,503.18,4991.94
Adidas,Supermarkets ,Cart Crasher Campaign,1303687.76,466,2797.61,520.56,4950.61
Adidas,Supermarkets ,Cashback Carnival,1276286.38,462,2762.52,502.87,4982.89
Adidas,Supermarkets ,Clearance Countdown,1181983.84,444,2662.13,500.53,4998.56
Adidas,Supermarkets ,Countdown to Savings,1289563.96,473,2726.35,501.16,4996.97
Adidas,Supermarkets ,Customer Appreciation Week,1291989.45,471,2743.08,520.41,4988.05
Adidas,Supermarkets ,Cyber Monday Mania,1319854.33,475,2778.64,516.07,4996.37
Adidas,Supermarkets ,Deal of the Month,1201143.86,453,2651.53,518.06,4995.45
Adidas,Supermarkets ,Double Points Bonanza,1131847.40,410,2760.60,502.14,4985.88
Adidas,Supermarkets ,Early Bird Specials,1238678.12,436,2841.00,504.93,4996.74
Adidas,Supermarkets ,End of Season Sale,1184610.54,432,2742.15,532.31,4990.21
Adidas,Supermarkets ,Exclusive Insider Offers,1286933.74,474,2715.05,508.78,4991.28
Adidas,Supermarkets ,Festive Fever Promo,1299745.63,484,2685.42,504.43,4984.89
Adidas,Supermarkets ,Final Call Frenzy,1248440.75,444,2811.80,501.90,4999.33
Adidas,Supermarkets ,Flash Frenzy Friday,1169318.35,446,2621.79,501.20,4997.00
Adidas,Supermarkets ,"Gift More, Spend Less",1255224.73,464,2705.23,510.97,4993.87
Adidas,Supermarkets ,Golden Hour Bargains,1190620.41,454,2622.51,515.84,4991.51
Adidas,Supermarkets ,Green Weekend Deals,1271870.99,455,2795.32,501.10,4977.75
Adidas,Supermarkets ,Happy Hour Discounts,1195627.44,430,2780.53,502.86,4981.47
Adidas,Supermarkets ,Holiday Shopping Rush,1131327.51,426,2655.70,507.47,4971.68
Adidas,Supermarkets ,Hot Picks Promo,1330082.21,492,2703.42,507.34,4990.00
Adidas,Supermarkets ,Instant Gratification Sale,1205463.74,441,2733.48,500.89,4998.40
Adidas,Supermarkets ,Limited Time Treasures,1272578.85,461,2760.47,501.46,4999.38
Adidas,Supermarkets ,Loyalty Rewards Blast,1132245.59,420,2695.82,507.26,4976.27
Adidas,Supermarkets ,Mega Weekend Bonanza,1273754.89,483,2637.17,508.93,4981.52
Adidas,Supermarkets ,Mid-Year Madness,1215749.50,451,2695.68,502.53,4991.43
Adidas,Supermarkets ,Midnight Madness,1359736.03,469,2899.22,500.45,4990.39
Adidas,Supermarkets ,Mystery Discount Days,1160272.88,431,2692.05,506.53,4998.07
Adidas,Supermarkets ,New Arrival Showcase,1229876.54,441,2788.84,526.98,4997.59
Adidas,Supermarkets ,New Product Launch Promo,1236328.36,445,2778.27,501.61,4988.14
Adidas,Supermarkets ,New Year Kickoff,1186287.52,422,2811.11,503.72,4986.87
Adidas,Supermarkets ,Price Drop Parade,1271416.49,453,2806.66,506.80,4992.13
Adidas,Supermarkets ,Red Tag Clearance,1365263.73,473,2886.39,504.13,4964.81
Adidas,Supermarkets ,Seasonal Surprise Box,1274224.45,455,2800.49,500.52,4982.93
Adidas,Supermarkets ,Shop & Save Spectacular,1191185.79,434,2744.67,516.93,4992.80
Adidas,Supermarkets ,Smart Shopper Week,1304621.38,472,2764.03,507.97,4983.10
Adidas,Supermarkets ,Spring Refresh Event,1302614.92,484,2691.35,508.56,4997.20
Adidas,Supermarkets ,Spring Splash Discounts,1220047.64,463,2635.09,500.46,4996.95
Adidas,Supermarkets ,Summer Sizzle Promo,1259698.50,444,2837.16,516.21,4998.80
Adidas,Supermarkets ,Super Savings Week,1233158.16,462,2669.17,501.26,4992.84
Adidas,Supermarkets ,Ultimate Value Event,1307518.43,474,2758.48,501.61,4995.70
Adidas,Supermarkets ,VIP Access Sale,1313556.27,486,2702.79,506.71,4996.65
Adidas,Supermarkets ,Weekend Warrior Specials,1316098.33,487,2702.46,501.48,4998.83
Adidas,Supermarkets ,Winter Clearance Carnival,1364675.03,490,2785.05,509.53,4988.66
Adidas,Supermarkets ,Winter Wonders Sale,1177558.34,429,2744.89,506.23,4996.30
Amul,Large Malls / Complexes,12 Days of Deals,657295.49,236,2785.15,549.22,4998.30
Amul,Large Malls / Complexes,Autumn Deals Drive,531036.44,195,2723.26,502.75,4999.80
Amul,Large Malls / Complexes,BOGO Blitz,535116.60,190,2816.40,540.75,4961.20
Amul,Large Malls / Complexes,Back to School Boost,593702.17,208,2854.34,510.22,4998.07
Amul,Large Malls / Complexes,Birthday Bash Sale,565973.44,211,2682.34,508.14,4991.73
Amul,Large Malls / Complexes,Black Friday Blowout,468017.45,185,2529.82,528.01,4987.21
Amul,Large Malls / Complexes,Cart Crasher Campaign,560096.37,205,2732.18,504.65,4955.63
Amul,Large Malls / Complexes,Cashback Carnival,588926.20,217,2713.95,548.41,4981.24
Amul,Large Malls / Complexes,Clearance Countdown,647030.99,219,2954.48,512.75,4988.53
Amul,Large Malls / Complexes,Countdown to Savings,637707.95,217,2938.75,514.73,4978.89
Amul,Large Malls / Complexes,Customer Appreciation Week,603378.08,217,2780.54,529.76,4985.65
Amul,Large Malls / Complexes,Cyber Monday Mania,617743.59,235,2628.70,505.34,4988.32
Amul,Large Malls / Complexes,Deal of the Month,538849.91,203,2654.43,507.49,4994.21
Amul,Large Malls / Complexes,Double Points Bonanza,623571.79,230,2711.18,514.40,4996.36
Amul,Large Malls / Complexes,Early Bird Specials,523357.48,195,2683.88,506.59,4998.19
Amul,Large Malls / Complexes,End of Season Sale,546802.05,194,2818.57,559.12,4992.97
Amul,Large Malls / Complexes,Exclusive Insider Offers,550251.70,206,2671.12,524.48,4976.87
Amul,Large Malls / Complexes,Festive Fever Promo,608557.55,224,2716.77,550.28,4969.11
Amul,Large Malls / Complexes,Final Call Frenzy,495035.66,194,2551.73,509.79,4981.71
Amul,Large Malls / Complexes,Flash Frenzy Friday,633736.96,217,2920.45,519.03,4990.59
Amul,Large Malls / Complexes,"Gift More, Spend Less",584023.51,214,2729.08,521.08,4946.94
Amul,Large Malls / Complexes,Golden Hour Bargains,588937.43,233,2527.63,504.10,4984.09
Amul,Large Malls / Complexes,Green Weekend Deals,548760.39,206,2663.89,500.26,4990.34
Amul,Large Malls / Complexes,Happy Hour Discounts,584619.92,216,2706.57,555.07,4857.71
Amul,Large Malls / Complexes,Holiday Shopping Rush,559862.47,210,2666.01,534.66,4971.82
Amul,Large Malls / Complexes,Hot Picks Promo,515301.67,194,2656.19,547.81,4970.14
Amul,Large Malls / Complexes,Instant Gratification Sale,551468.93,206,2677.03,501.41,4990.30
Amul,Large Malls / Complexes,Limited Time Treasures,561511.24,185,3035.20,543.56,4986.97
Amul,Large Malls / Complexes,Loyalty Rewards Blast,598344.44,214,2796.00,539.74,4995.73
Amul,Large Malls / Complexes,Mega Weekend Bonanza,526981.92,191,2759.07,501.33,4955.85
Amul,Large Malls / Complexes,Mid-Year Madness,599808.46,210,2856.23,506.46,4964.05
Amul,Large Malls / Complexes,Midnight Madness,567989.10,215,2641.81,500.95,4998.10
Amul,Large Malls / Complexes,Mystery Discount Days,517241.27,178,2905.85,523.06,4954.08
Amul,Large Malls / Complexes,New Arrival Showcase,605579.35,221,2740.18,510.88,4991.21
Amul,Large Malls / Complexes,New Product Launch Promo,577029.93,211,2734.74,512.57,4913.17
Amul,Large Malls / Complexes,New Year Kickoff,520620.07,202,2577.33,520.12,4971.84
Amul,Large Malls / Complexes,Price Drop Parade,565035.45,210,2690.64,508.09,4979.50
Amul,Large Malls / Complexes,Red Tag Clearance,573121.94,210,2729.15,508.01,4993.78
Amul,Large Malls / Complexes,Seasonal Surprise Box,531628.10,194,2740.35,527.19,4935.80
Amul,Large Malls / Complexes,Shop & Save Spectacular,550845.45,212,2598.33,515.39,4921.03
Amul,Large Malls / Complexes,Smart Shopper Week,629298.54,224,2809.37,539.28,4993.24
Amul,Large Malls / Complexes,Spring Refresh Event,564581.37,198,2851.42,517.80,4971.85
Amul,Large Malls / Complexes,Spring Splash Discounts,604388.76,210,2878.04,543.07,4973.26
Amul,Large Malls / Complexes,Summer Sizzle Promo,551521.99,209,2638.86,506.96,4988.04
Amul,Large Malls / Complexes,Super Savings Week,564068.85,198,2848.83,505.59,4993.57
Amul,Large Malls / Complexes,Ultimate Value Event,550209.31,185,2974.10,500.47,4928.90
Amul,Large Malls / Complexes,VIP Access Sale,551104.39,214,2575.25,503.17,4944.64
Amul,Large Malls / Complexes,Weekend Warrior Specials,577679.65,220,2625.82,532.14,4994.19
Amul,Large Malls / Complexes,Winter Clearance Carnival,618936.58,221,2800.62,520.29,4989.51
Amul,Large Malls / Complexes,Winter Wonders Sale,552156.97,200,2760.78,520.92,4975.59
Amul,Small Stores / Shops,12 Days of Deals,673514.84,243,2771.67,509.79,4983.63
Amul,Small Stores / Shops,Autumn Deals Drive,674481.67,247,2730.70,518.91,4974.01
Amul,Small Stores / Shops,BOGO Blitz,614807.52,223,2756.98,508.02,4986.67
Amul,Small Stores / Shops,Back to School Boost,551396.90,215,2564.64,515.54,4995.35
Amul,Small Stores / Shops,Birthday Bash Sale,628757.74,219,2871.04,504.89,4924.22
Amul,Small Stores / Shops,Black Friday Blowout,604812.82,223,2712.17,533.67,4950.07
Amul,Small Stores / Shops,Cart Crasher Campaign,593577.61,210,2826.56,557.83,4980.36
Amul,Small Stores / Shops,Cashback Carnival,594272.11,217,2738.58,504.64,4959.18
Amul,Small Stores / Shops,Clearance Countdown,643153.44,231,2784.21,521.65,4979.67
Amul,Small Stores / Shops,Countdown to Savings,648528.15,231,2807.48,523.08,4996.12
Amul,Small Stores / Shops,Customer Appreciation Week,588411.50,211,2788.68,501.25,4970.23
Amul,Small Stores / Shops,Cyber Monday Mania,605400.03,222,2727.03,539.54,4996.14
Amul,Small Stores / Shops,Deal of the Month,531069.55,198,2682.17,504.17,4972.05
Amul,Small Stores / Shops,Double Points Bonanza,591158.94,215,2749.58,528.86,4978.48
Amul,Small Stores / Shops,Early Bird Specials,569113.45,215,2647.04,526.82,4975.80
Amul,Small Stores / Shops,End of Season Sale,600316.77,214,2805.22,527.75,4962.52
Amul,Small Stores / Shops,Exclusive Insider Offers,573448.44,216,2654.85,519.26,4995.02
Amul,Small Stores / Shops,Festive Fever Promo,486702.01,182,2674.19,502.25,4975.21
Amul,Small Stores / Shops,Final Call Frenzy,613842.83,229,2680.54,530.48,4994.94
Amul,Small Stores / Shops,Flash Frenzy Friday,639958.62,232,2758.44,516.77,4976.96
Amul,Small Stores / Shops,"Gift More, Spend Less",659455.91,239,2759.23,509.81,4982.93
Amul,Small Stores / Shops,Golden Hour Bargains,565066.71,205,2756.42,530.53,4987.95
Amul,Small Stores / Shops,Green Weekend Deals,665566.24,239,2784.80,507.29,4985.16
Amul,Small Stores / Shops,Happy Hour Discounts,690624.80,257,2687.26,532.80,4984.58
Amul,Small Stores / Shops,Holiday Shopping Rush,645869.46,236,2736.74,504.65,4996.88
Amul,Small Stores / Shops,Hot Picks Promo,572504.01,214,2675.25,538.05,4991.62
Amul,Small Stores / Shops,Instant Gratification Sale,616266.33,228,2702.92,556.54,4994.91
Amul,Small Stores / Shops,Limited Time Treasures,585099.63,214,2734.11,587.15,4950.48
Amul,Small Stores / Shops,Loyalty Rewards Blast,684685.84,254,2695.61,559.26,4990.95
Amul,Small Stores / Shops,Mega Weekend Bonanza,634816.33,221,2872.47,523.21,4972.51
Amul,Small Stores / Shops,Mid-Year Madness,601074.61,226,2659.62,503.67,4966.74
Amul,Small Stores / Shops,Midnight Madness,621318.24,230,2701.38,526.06,4978.67
Amul,Small Stores / Shops,Mystery Discount Days,686710.24,248,2768.99,501.42,4991.87
Amul,Small Stores / Shops,New Arrival Showcase,641217.33,223,2875.41,517.40,4968.72
Amul,Small Stores / Shops,New Product Launch Promo,616516.37,220,2802.35,515.13,4998.84
Amul,Small Stores / Shops,New Year Kickoff,591382.35,217,2725.26,550.62,4996.25
Amul,Small Stores / Shops,Price Drop Parade,594321.18,214,2777.20,501.52,4984.55
Amul,Small Stores / Shops,Red Tag Clearance,644731.27,227,2840.23,549.23,4910.97
Amul,Small Stores / Shops,Seasonal Surprise Box,590362.12,224,2635.55,525.07,4989.05
Amul,Small Stores / Shops,Shop & Save Spectacular,651277.55,229,2844.01,516.27,4988.86
Amul,Small Stores / Shops,Smart Shopper Week,659890.72,246,2682.48,514.94,4993.62
Amul,Small Stores / Shops,Spring Refresh Event,705108.17,236,2987.75,512.88,4972.47
Amul,Small Stores / Shops,Spring Splash Discounts,596514.60,221,2699.16,531.96,4957.64
Amul,Small Stores / Shops,Summer Sizzle Promo,590188.42,222,2658.51,503.45,4962.57
Amul,Small Stores / Shops,Super Savings Week,569518.61,206,2764.65,514.94,4998.98
Amul,Small Stores / Shops,Ultimate Value Event,713840.24,247,2890.04,511.06,4990.23
Amul,Small Stores / Shops,VIP Access Sale,622646.51,230,2707.16,520.38,4982.39
Amul,Small Stores / Shops,Weekend Warrior Specials,598968.75,231,2592.94,500.62,4994.22
Amul,Small Stores / Shops,Winter Clearance Carnival,605070.05,224,2701.21,504.18,4964.39
Amul,Small Stores / Shops,Winter Wonders Sale,684065.83,244,2803.55,513.51,4995.64
Amul,Supermarkets ,12 Days of Deals,623967.78,222,2810.67,507.40,4998.04
Amul,Supermarkets ,Autumn Deals Drive,659630.29,230,2867.96,515.60,4997.96
Amul,Supermarkets ,BOGO Blitz,665252.72,231,2879.88,573.39,4976.91
Amul,Supermarkets ,Back to School Boost,565016.83,214,2640.27,531.01,4885.90
Amul,Supermarkets ,Birthday Bash Sale,589059.97,219,2689.77,528.97,4978.76
Amul,Supermarkets ,Black Friday Blowout,630684.08,237,2661.11,505.81,4976.63
Amul,Supermarkets ,Cart Crasher Campaign,633211.74,226,2801.82,503.17,4979.93
Amul,Supermarkets ,Cashback Carnival,668253.61,245,2727.57,507.41,4990.08
Amul,Supermarkets ,Clearance Countdown,709273.43,258,2749.12,527.22,4996.54
Amul,Supermarkets ,Countdown to Savings,658510.99,240,2743.80,595.41,4952.48
Amul,Supermarkets ,Customer Appreciation Week,641720.80,233,2754.17,514.47,4954.81
Amul,Supermarkets ,Cyber Monday Mania,614446.48,228,2694.94,504.57,4996.97
Amul,Supermarkets ,Deal of the Month,616478.65,221,2789.50,507.71,4953.50
Amul,Supermarkets ,Double Points Bonanza,648663.12,238,2725.48,501.88,4980.56
Amul,Supermarkets ,Early Bird Specials,564782.66,211,2676.70,506.38,4876.46
Amul,Supermarkets ,End of Season Sale,616314.69,233,2645.13,504.05,4996.71
Amul,Supermarkets ,Exclusive Insider Offers,666724.46,240,2778.02,540.66,4983.53
Amul,Supermarkets ,Festive Fever Promo,606148.33,224,2706.02,520.44,4980.61
Amul,Supermarkets ,Final Call Frenzy,648292.06,241,2690.01,554.01,4982.31
Amul,Supermarkets ,Flash Frenzy Friday,657155.56,233,2820.41,501.88,4990.00
Amul,Supermarkets ,"Gift More, Spend Less",684975.16,259,2644.69,504.23,4994.74
Amul,Supermarkets ,Golden Hour Bargains,576607.81,213,2707.08,506.22,4982.52
Amul,Supermarkets ,Green Weekend Deals,647232.74,227,2851.25,500.74,4994.70
Amul,Supermarkets ,Happy Hour Discounts,652442.50,236,2764.59,507.68,4995.48
Amul,Supermarkets ,Holiday Shopping Rush,697158.59,245,2845.55,509.06,4993.00
Amul,Supermarkets ,Hot Picks Promo,648746.52,240,2703.11,522.20,4969.56
Amul,Supermarkets ,Instant Gratification Sale,638063.20,245,2604.34,510.79,4957.47
Amul,Supermarkets ,Limited Time Treasures,636428.64,234,2719.78,500.84,4978.95
Amul,Supermarkets ,Loyalty Rewards Blast,646457.75,240,2693.57,504.51,4988.80
Amul,Supermarkets ,Mega Weekend Bonanza,721325.25,258,2795.83,522.84,4975.12
Amul,Supermarkets ,Mid-Year Madness,633965.81,228,2780.55,513.32,4970.79
Amul,Supermarkets ,Midnight Madness,583471.23,225,2593.21,539.56,4977.93
Amul,Supermarkets ,Mystery Discount Days,662727.79,240,2761.37,602.32,4986.29
Amul,Supermarkets ,New Arrival Showcase,657617.89,242,2717.43,505.84,4997.29
Amul,Supermarkets ,New Product Launch Promo,626581.30,236,2655.01,539.64,4967.82
Amul,Supermarkets ,New Year Kickoff,633724.74,229,2767.36,515.94,4995.56
Amul,Supermarkets ,Price Drop Parade,656774.55,229,2868.01,515.06,4981.26
Amul,Supermarkets ,Red Tag Clearance,620840.51,237,2619.58,506.29,4932.61
Amul,Supermarkets ,Seasonal Surprise Box,594212.47,220,2700.97,529.72,4980.43
Amul,Supermarkets ,Shop & Save Spectacular,662707.32,240,2761.28,524.89,4991.95
Amul,Supermarkets ,Smart Shopper Week,661270.15,233,2838.07,535.26,4990.50
Amul,Supermarkets ,Spring Refresh Event,612397.40,223,2746.18,566.46,4974.41
Amul,Supermarkets ,Spring Splash Discounts,702030.15,262,2679.50,509.39,4986.07
Amul,Supermarkets ,Summer Sizzle Promo,649987.91,235,2765.91,557.31,4976.48
Amul,Supermarkets ,Super Savings Week,736018.07,257,2863.88,521.03,4998.75
Amul,Supermarkets ,Ultimate Value Event,622134.91,228,2728.66,553.62,4993.94
Amul,Supermarkets ,VIP Access Sale,678572.04,246,2758.42,506.56,4956.97
Amul,Supermarkets ,Weekend Warrior Specials,604431.65,213,2837.71,555.11,4915.13
Amul,Supermarkets ,Winter Clearance Carnival,597170.11,216,2764.68,527.28,4993.64
Amul,Supermarkets ,Winter Wonders Sale,606876.14,234,2593.49,505.32,4971.26
Apple,Large Malls / Complexes,12 Days of Deals,532382.77,195,2730.17,597.06,4970.33
Apple,Large Malls / Complexes,Autumn Deals Drive,528397.00,188,2810.62,518.47,4985.10
