category,customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Sales Associate,Seasonal Surprise Box,260609.31,97,2686.69,530.59,4970.28
Clothing,Budget Shopper,Sales Associate,Shop & Save Spectacular,239973.08,86,2790.38,511.64,4992.75
Clothing,Budget Shopper,Sales Associate,Smart Shopper Week,235210.84,91,2584.73,538.77,4965.91
Clothing,Budget Shopper,Sales Associate,Spring Refresh Event,240939.13,89,2707.18,501.09,4987.97
Clothing,Budget Shopper,Sales Associate,Spring Splash Discounts,265365.87,100,2653.66,520.27,4990.13
Clothing,Budget Shopper,Sales Associate,Summer Sizzle Promo,210140.68,80,2626.76,642.85,4982.52
Clothing,Budget Shopper,Sales Associate,Super Savings Week,194640.55,74,2630.28,518.97,4880.87
Clothing,Budget Shopper,Sales Associate,Ultimate Value Event,291955.96,101,2890.65,526.43,4998.36
Clothing,Budget Shopper,Sales Associate,VIP Access Sale,272652.23,95,2870.02,693.40,4892.02
Clothing,Budget Shopper,Sales Associate,Weekend Warrior Specials,243246.65,96,2533.82,502.76,4907.90
Clothing,Budget Shopper,Sales Associate,Winter Clearance Carnival,234530.56,87,2695.75,623.37,4917.45
Clothing,Budget Shopper,Sales Associate,Winter Wonders Sale,261463.91,94,2781.53,596.83,4935.10
Clothing,Budget Shopper,Salesperson,12 Days of Deals,221038.00,86,2570.21,502.32,4979.14
Clothing,Budget Shopper,Salesperson,Autumn Deals Drive,205997.00,75,2746.63,526.61,4985.71
Clothing,Budget Shopper,Salesperson,BOGO Blitz,256308.49,96,2669.88,517.43,4993.22
Clothing,Budget Shopper,Salesperson,Back to School Boost,209975.21,78,2691.99,510.39,4910.61
Clothing,Budget Shopper,Salesperson,Birthday Bash Sale,197535.65,72,2743.55,651.03,4882.99
Clothing,Budget Shopper,Salesperson,Black Friday Blowout,279810.35,94,2976.71,605.85,4880.99
Clothing,Budget Shopper,Salesperson,Cart Crasher Campaign,198390.44,71,2794.23,571.88,4971.66
Clothing,Budget Shopper,Salesperson,Cashback Carnival,317626.32,110,2887.51,566.74,4978.17
Clothing,Budget Shopper,Salesperson,Clearance Countdown,255811.07,91,2811.11,511.56,4949.07
Clothing,Budget Shopper,Salesperson,Countdown to Savings,261584.98,92,2843.31,516.38,4966.52
Clothing,Budget Shopper,Salesperson,Customer Appreciation Week,184053.48,68,2706.67,523.17,4971.29
Clothing,Budget Shopper,Salesperson,Cyber Monday Mania,215649.56,83,2598.19,627.08,4993.46
Clothing,Budget Shopper,Salesperson,Deal of the Month,224134.11,79,2837.14,627.04,4923.29
Clothing,Budget Shopper,Salesperson,Double Points Bonanza,303401.27,101,3003.97,518.64,4969.70
Clothing,Budget Shopper,Salesperson,Early Bird Specials,231967.90,82,2828.88,627.93,4937.51
Clothing,Budget Shopper,Salesperson,End of Season Sale,289210.85,109,2653.31,530.68,4999.17
Clothing,Budget Shopper,Salesperson,Exclusive Insider Offers,231711.88,87,2663.35,545.22,4939.68
Clothing,Budget Shopper,Salesperson,Festive Fever Promo,188031.29,72,2611.55,639.05,4953.62
Clothing,Budget Shopper,Salesperson,Final Call Frenzy,281853.63,92,3063.63,528.82,4960.09
Clothing,Budget Shopper,Salesperson,Flash Frenzy Friday,279018.58,95,2937.04,501.20,4996.58
Clothing,Budget Shopper,Salesperson,"Gift More, Spend Less",256356.32,97,2642.85,518.98,4973.16
Clothing,Budget Shopper,Salesperson,Golden Hour Bargains,163671.08,62,2639.86,644.30,4992.28
Clothing,Budget Shopper,Salesperson,Green Weekend Deals,199765.96,74,2699.54,586.56,4943.70
Clothing,Budget Shopper,Salesperson,Happy Hour Discounts,242160.98,89,2720.91,534.50,4952.41
Clothing,Budget Shopper,Salesperson,Holiday Shopping Rush,242972.24,82,2963.08,507.94,4992.48
Clothing,Budget Shopper,Salesperson,Hot Picks Promo,235524.12,89,2646.34,549.39,4944.96
Clothing,Budget Shopper,Salesperson,Instant Gratification Sale,174039.82,67,2597.61,516.12,4973.14
Clothing,Budget Shopper,Salesperson,Limited Time Treasures,199460.79,77,2590.40,531.53,4971.40
Clothing,Budget Shopper,Salesperson,Loyalty Rewards Blast,237714.27,81,2934.74,588.99,4955.73
Clothing,Budget Shopper,Salesperson,Mega Weekend Bonanza,291359.17,104,2801.53,578.93,4915.82
Clothing,Budget Shopper,Salesperson,Mid-Year Madness,217726.04,77,2827.61,505.48,4956.91
Clothing,Budget Shopper,Salesperson,Midnight Madness,243736.75,93,2620.83,516.66,4870.06
Clothing,Budget Shopper,Salesperson,Mystery Discount Days,255330.60,90,2837.01,538.53,4975.27
Clothing,Budget Shopper,Salesperson,New Arrival Showcase,249812.00,86,2904.79,559.30,4991.08
Clothing,Budget Shopper,Salesperson,New Product Launch Promo,235138.13,85,2766.33,519.61,4999.95
Clothing,Budget Shopper,Salesperson,New Year Kickoff,245868.98,89,2762.57,519.85,4973.48
Clothing,Budget Shopper,Salesperson,Price Drop Parade,199195.73,85,2343.48,506.30,4959.54
Clothing,Budget Shopper,Salesperson,Red Tag Clearance,288061.69,107,2692.17,552.38,4964.81
Clothing,Budget Shopper,Salesperson,Seasonal Surprise Box,205091.59,77,2663.53,527.98,4961.02
Clothing,Budget Shopper,Salesperson,Shop & Save Spectacular,232537.02,85,2735.73,516.93,4843.28
Clothing,Budget Shopper,Salesperson,Smart Shopper Week,207157.94,78,2655.87,647.10,4950.47
Clothing,Budget Shopper,Salesperson,Spring Refresh Event,217592.70,78,2789.65,533.54,4930.65
Clothing,Budget Shopper,Salesperson,Spring Splash Discounts,268971.14,97,2772.90,523.19,4971.83
Clothing,Budget Shopper,Salesperson,Summer Sizzle Promo,240152.11,85,2825.32,663.88,4974.48
Clothing,Budget Shopper,Salesperson,Super Savings Week,215810.81,79,2731.78,532.71,4953.72
Clothing,Budget Shopper,Salesperson,Ultimate Value Event,227771.69,84,2711.57,659.50,4897.61
Clothing,Budget Shopper,Salesperson,VIP Access Sale,241828.42,85,2845.04,534.21,4986.57
Clothing,Budget Shopper,Salesperson,Weekend Warrior Specials,235861.19,85,2774.84,640.28,4951.04
Clothing,Budget Shopper,Salesperson,Winter Clearance Carnival,228643.04,81,2822.75,609.37,4978.73
Clothing,Budget Shopper,Salesperson,Winter Wonders Sale,240735.45,88,2735.63,577.90,4957.14
Clothing,Budget Shopper,Senior Salesperson,12 Days of Deals,244877.28,95,2577.66,520.90,4957.65
Clothing,Budget Shopper,Senior Salesperson,Autumn Deals Drive,204983.72,78,2628.00,525.01,4881.45
Clothing,Budget Shopper,Senior Salesperson,BOGO Blitz,219769.87,75,2930.26,527.44,4973.52
Clothing,Budget Shopper,Senior Salesperson,Back to School Boost,208342.31,72,2893.64,607.81,4972.30
Clothing,Budget Shopper,Senior Salesperson,Birthday Bash Sale,207716.11,84,2472.81,518.24,4937.77
Clothing,Budget Shopper,Senior Salesperson,Black Friday Blowout,206239.02,74,2787.01,743.96,4976.83
Clothing,Budget Shopper,Senior Salesperson,Cart Crasher Campaign,233140.71,82,2843.18,609.61,4860.89
Clothing,Budget Shopper,Senior Salesperson,Cashback Carnival,201144.03,72,2793.67,534.21,4785.40
Clothing,Budget Shopper,Senior Salesperson,Clearance Countdown,154406.86,57,2708.89,632.15,4988.20
Clothing,Budget Shopper,Senior Salesperson,Countdown to Savings,222539.65,80,2781.75,503.90,4957.97
Clothing,Budget Shopper,Senior Salesperson,Customer Appreciation Week,251420.90,88,2857.06,562.78,4983.91
Clothing,Budget Shopper,Senior Salesperson,Cyber Monday Mania,193626.00,80,2420.32,505.15,4981.01
Clothing,Budget Shopper,Senior Salesperson,Deal of the Month,252862.04,89,2841.15,691.87,4940.30
Clothing,Budget Shopper,Senior Salesperson,Double Points Bonanza,256575.47,97,2645.11,544.68,4761.49
Clothing,Budget Shopper,Senior Salesperson,Early Bird Specials,171008.89,70,2442.98,506.63,4944.17
Clothing,Budget Shopper,Senior Salesperson,End of Season Sale,210963.36,78,2704.66,578.83,4724.07
Clothing,Budget Shopper,Senior Salesperson,Exclusive Insider Offers,170950.38,66,2590.16,715.09,4952.64
Clothing,Budget Shopper,Senior Salesperson,Festive Fever Promo,221123.39,79,2799.03,561.77,4892.93
Clothing,Budget Shopper,Senior Salesperson,Final Call Frenzy,182589.82,64,2852.97,538.68,4858.44
Clothing,Budget Shopper,Senior Salesperson,Flash Frenzy Friday,194133.69,65,2986.67,599.80,4898.15
Clothing,Budget Shopper,Senior Salesperson,"Gift More, Spend Less",210120.33,65,3232.62,608.25,4916.47
Clothing,Budget Shopper,Senior Salesperson,Golden Hour Bargains,225511.49,76,2967.26,523.61,4906.25
Clothing,Budget Shopper,Senior Salesperson,Green Weekend Deals,253964.20,90,2821.82,539.17,4999.01
Clothing,Budget Shopper,Senior Salesperson,Happy Hour Discounts,170924.14,65,2629.60,529.17,4910.52
Clothing,Budget Shopper,Senior Salesperson,Holiday Shopping Rush,247987.40,81,3061.57,523.17,4978.35
Clothing,Budget Shopper,Senior Salesperson,Hot Picks Promo,228134.84,82,2782.13,548.20,4980.54
Clothing,Budget Shopper,Senior Salesperson,Instant Gratification Sale,164871.01,59,2794.42,522.75,4994.90
Clothing,Budget Shopper,Senior Salesperson,Limited Time Treasures,224468.98,86,2610.10,509.31,4961.11
Clothing,Budget Shopper,Senior Salesperson,Loyalty Rewards Blast,163290.70,62,2633.72,698.52,4971.65
Clothing,Budget Shopper,Senior Salesperson,Mega Weekend Bonanza,203807.33,75,2717.43,551.34,4961.17
Clothing,Budget Shopper,Senior Salesperson,Mid-Year Madness,202283.38,80,2528.54,509.13,4938.97
Clothing,Budget Shopper,Senior Salesperson,Midnight Madness,190234.61,71,2679.36,518.16,4920.45
Clothing,Budget Shopper,Senior Salesperson,Mystery Discount Days,237976.46,82,2902.15,643.43,4970.10
Clothing,Budget Shopper,Senior Salesperson,New Arrival Showcase,203501.55,69,2949.30,569.37,4966.36
Clothing,Budget Shopper,Senior Salesperson,New Product Launch Promo,197394.01,65,3036.83,534.01,4970.41
Clothing,Budget Shopper,Senior Salesperson,New Year Kickoff,230888.30,82,2815.71,560.55,4856.03
Clothing,Budget Shopper,Senior Salesperson,Price Drop Parade,198574.17,75,2647.66,521.85,4963.26
Clothing,Budget Shopper,Senior Salesperson,Red Tag Clearance,161475.23,63,2563.10,521.54,4996.92
Clothing,Budget Shopper,Senior Salesperson,Seasonal Surprise Box,261928.86,86,3045.68,550.71,4967.78
Clothing,Budget Shopper,Senior Salesperson,Shop & Save Spectacular,234249.53,80,2928.12,605.32,4897.42
Clothing,Budget Shopper,Senior Salesperson,Smart Shopper Week,205216.24,79,2597.67,616.08,4965.97
Clothing,Budget Shopper,Senior Salesperson,Spring Refresh Event,203478.68,74,2749.71,615.10,4971.60
Clothing,Budget Shopper,Senior Salesperson,Spring Splash Discounts,193188.35,75,2575.84,524.51,4989.56
Clothing,Budget Shopper,Senior Salesperson,Summer Sizzle Promo,140141.27,58,2416.23,515.95,4975.12
Clothing,Budget Shopper,Senior Salesperson,Super Savings Week,256977.75,88,2920.20,532.48,4999.08
Clothing,Budget Shopper,Senior Salesperson,Ultimate Value Event,211382.02,80,2642.28,538.71,4944.67
Clothing,Budget Shopper,Senior Salesperson,VIP Access Sale,201253.00,81,2484.60,507.99,4870.96
Clothing,Budget Shopper,Senior Salesperson,Weekend Warrior Specials,227750.23,80,2846.88,524.76,4924.49
Clothing,Budget Shopper,Senior Salesperson,Winter Clearance Carnival,213738.13,74,2888.35,575.33,4985.99
Clothing,Budget Shopper,Senior Salesperson,Winter Wonders Sale,222019.50,76,2921.31,587.71,4969.49
Clothing,Churn Risk,Manager,12 Days of Deals,268884.33,100,2688.84,524.45,4977.84
Clothing,Churn Risk,Manager,Autumn Deals Drive,230284.90,78,2952.37,624.93,4992.48
Clothing,Churn Risk,Manager,BOGO Blitz,256726.60,89,2884.57,567.09,4991.38
Clothing,Churn Risk,Manager,Back to School Boost,249923.58,92,2716.56,509.16,4914.05
Clothing,Churn Risk,Manager,Birthday Bash Sale,253083.62,96,2636.29,510.00,4983.87
Clothing,Churn Risk,Manager,Black Friday Blowout,240227.57,91,2639.86,566.12,4863.25
Clothing,Churn Risk,Manager,Cart Crasher Campaign,235426.19,89,2645.24,553.88,4988.17
Clothing,Churn Risk,Manager,Cashback Carnival,227974.65,84,2713.98,553.65,4994.40
Clothing,Churn Risk,Manager,Clearance Countdown,207145.85,80,2589.32,508.53,4995.43
Clothing,Churn Risk,Manager,Countdown to Savings,209577.71,77,2721.79,524.25,4990.06
Clothing,Churn Risk,Manager,Customer Appreciation Week,171540.67,63,2722.87,527.86,4937.49
Clothing,Churn Risk,Manager,Cyber Monday Mania,225244.44,78,2887.75,521.44,4981.82
Clothing,Churn Risk,Manager,Deal of the Month,185328.22,75,2471.04,510.85,4982.42
Clothing,Churn Risk,Manager,Double Points Bonanza,213362.42,75,2844.83,523.83,4884.35
Clothing,Churn Risk,Manager,Early Bird Specials,193163.19,71,2720.61,574.83,4995.32
Clothing,Churn Risk,Manager,End of Season Sale,288102.86,101,2852.50,503.81,4983.53
Clothing,Churn Risk,Manager,Exclusive Insider Offers,161822.16,65,2489.57,621.93,4906.68
Clothing,Churn Risk,Manager,Festive Fever Promo,239802.31,95,2524.23,513.43,4961.84
Clothing,Churn Risk,Manager,Final Call Frenzy,248552.12,94,2644.17,592.02,4960.83
Clothing,Churn Risk,Manager,Flash Frenzy Friday,238450.26,85,2805.30,599.53,4968.76
Clothing,Churn Risk,Manager,"Gift More, Spend Less",228159.83,84,2716.19,551.22,4945.55
Clothing,Churn Risk,Manager,Golden Hour Bargains,263608.75,97,2717.62,558.84,4949.52
Clothing,Churn Risk,Manager,Green Weekend Deals,243933.86,85,2869.81,516.31,4950.28
Clothing,Churn Risk,Manager,Happy Hour Discounts,215412.72,81,2659.42,505.67,4990.80
Clothing,Churn Risk,Manager,Holiday Shopping Rush,244081.70,88,2773.66,533.42,4936.80
Clothing,Churn Risk,Manager,Hot Picks Promo,207086.64,76,2724.82,554.41,4911.50
Clothing,Churn Risk,Manager,Instant Gratification Sale,219576.39,83,2645.50,514.89,4932.91
Clothing,Churn Risk,Manager,Limited Time Treasures,227333.81,77,2952.39,573.38,4825.26
Clothing,Churn Risk,Manager,Loyalty Rewards Blast,222689.85,74,3009.32,587.61,4998.22
Clothing,Churn Risk,Manager,Mega Weekend Bonanza,244781.52,86,2846.30,537.81,4996.67
Clothing,Churn Risk,Manager,Mid-Year Madness,252939.74,91,2779.56,505.35,4905.35
Clothing,Churn Risk,Manager,Midnight Madness,252652.93,90,2807.25,508.22,4976.33
Clothing,Churn Risk,Manager,Mystery Discount Days,258044.63,96,2687.96,521.58,4979.18
Clothing,Churn Risk,Manager,New Arrival Showcase,178182.95,77,2314.06,500.17,4837.05
Clothing,Churn Risk,Manager,New Product Launch Promo,227617.82,83,2742.38,509.60,4970.23
Clothing,Churn Risk,Manager,New Year Kickoff,232826.73,84,2771.75,619.16,4988.93
Clothing,Churn Risk,Manager,Price Drop Parade,198542.88,75,2647.24,540.63,4918.36
Clothing,Churn Risk,Manager,Red Tag Clearance,193206.52,77,2509.18,695.54,4952.58
Clothing,Churn Risk,Manager,Seasonal Surprise Box,223801.65,83,2696.41,547.86,4985.30
Clothing,Churn Risk,Manager,Shop & Save Spectacular,260167.20,87,2990.43,511.32,4998.56
Clothing,Churn Risk,Manager,Smart Shopper Week,216405.19,78,2774.43,577.31,4888.17
Clothing,Churn Risk,Manager,Spring Refresh Event,168235.30,64,2628.68,534.63,4980.06
Clothing,Churn Risk,Manager,Spring Splash Discounts,212467.92,81,2623.06,505.77,4956.96
Clothing,Churn Risk,Manager,Summer Sizzle Promo,247912.17,90,2754.58,548.06,4998.58
Clothing,Churn Risk,Manager,Super Savings Week,259317.03,86,3015.31,513.72,4886.69
Clothing,Churn Risk,Manager,Ultimate Value Event,243887.24,93,2622.44,522.48,4970.51
Clothing,Churn Risk,Manager,VIP Access Sale,241664.33,81,2983.51,513.77,4978.52
Clothing,Churn Risk,Manager,Weekend Warrior Specials,219402.11,83,2643.40,534.87,4993.94
Clothing,Churn Risk,Manager,Winter Clearance Carnival,244638.29,85,2878.10,535.31,4989.85
Clothing,Churn Risk,Manager,Winter Wonders Sale,262103.10,98,2674.52,510.86,4977.17
Clothing,Churn Risk,Sales Associate,12 Days of Deals,211865.75,78,2716.23,622.58,4949.61
Clothing,Churn Risk,Sales Associate,Autumn Deals Drive,264919.15,103,2572.03,615.82,4948.43
Clothing,Churn Risk,Sales Associate,BOGO Blitz,253361.61,87,2912.20,603.08,4958.62
Clothing,Churn Risk,Sales Associate,Back to School Boost,277209.09,99,2800.09,535.31,4968.38
Clothing,Churn Risk,Sales Associate,Birthday Bash Sale,253744.25,82,3094.44,764.86,4972.66
Clothing,Churn Risk,Sales Associate,Black Friday Blowout,192023.31,71,2704.55,503.18,4995.99
Clothing,Churn Risk,Sales Associate,Cart Crasher Campaign,233731.40,88,2656.04,519.47,4959.67
Clothing,Churn Risk,Sales Associate,Cashback Carnival,237832.64,92,2585.14,510.62,4912.03
Clothing,Churn Risk,Sales Associate,Clearance Countdown,231984.67,77,3012.79,539.86,4996.24
Clothing,Churn Risk,Sales Associate,Countdown to Savings,200798.71,80,2509.98,525.74,4710.42
Clothing,Churn Risk,Sales Associate,Customer Appreciation Week,177995.86,65,2738.40,605.52,4964.09
Clothing,Churn Risk,Sales Associate,Cyber Monday Mania,247647.05,86,2879.62,509.47,4987.56
Clothing,Churn Risk,Sales Associate,Deal of the Month,257229.63,96,2679.48,502.65,4885.72
Clothing,Churn Risk,Sales Associate,Double Points Bonanza,228643.64,86,2658.65,501.38,4981.32
Clothing,Churn Risk,Sales Associate,Early Bird Specials,275455.52,95,2899.53,552.09,4955.10
Clothing,Churn Risk,Sales Associate,End of Season Sale,284341.35,100,2843.41,560.40,4902.80
Clothing,Churn Risk,Sales Associate,Exclusive Insider Offers,255560.96,95,2690.12,590.62,4969.87
Clothing,Churn Risk,Sales Associate,Festive Fever Promo,207679.72,74,2806.48,547.68,4973.57
Clothing,Churn Risk,Sales Associate,Final Call Frenzy,266783.73,94,2838.12,541.76,4993.58
Clothing,Churn Risk,Sales Associate,Flash Frenzy Friday,189994.44,73,2602.66,511.20,4875.29
Clothing,Churn Risk,Sales Associate,"Gift More, Spend Less",276982.78,103,2689.15,548.68,4958.60
Clothing,Churn Risk,Sales Associate,Golden Hour Bargains,227377.25,75,3031.70,500.57,4971.94
Clothing,Churn Risk,Sales Associate,Green Weekend Deals,243000.21,91,2670.33,726.73,4968.92
Clothing,Churn Risk,Sales Associate,Happy Hour Discounts,243756.13,89,2738.83,503.04,4990.90
Clothing,Churn Risk,Sales Associate,Holiday Shopping Rush,265573.69,97,2737.87,526.90,4942.69
Clothing,Churn Risk,Sales Associate,Hot Picks Promo,259003.72,95,2726.35,518.58,4985.45
Clothing,Churn Risk,Sales Associate,Instant Gratification Sale,190782.44,77,2477.69,603.31,4998.40
