customer_segment,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Large Malls / Complexes,Happy Hour Discounts,1777733.87,660,2693.54,510.48,4989.33
Budget Shopper,Large Malls / Complexes,Holiday Shopping Rush,1870775.51,665,2813.20,511.58,4999.40
Budget Shopper,Large Malls / Complexes,Hot Picks Promo,1654385.80,616,2685.69,505.64,4994.45
Budget Shopper,Large Malls / Complexes,Instant Gratification Sale,1749817.52,626,2795.24,503.79,4984.14
Budget Shopper,Large Malls / Complexes,Limited Time Treasures,1789469.86,660,2711.32,500.43,4987.60
Budget Shopper,Large Malls / Complexes,Loyalty Rewards Blast,1874658.00,667,2810.58,523.08,4998.98
Budget Shopper,Large Malls / Complexes,Mega Weekend Bonanza,1729793.31,617,2803.55,508.38,4980.39
Budget Shopper,Large Malls / Complexes,Mid-Year Madness,1755780.01,646,2717.93,502.59,4999.77
Budget Shopper,Large Malls / Complexes,Midnight Madness,1732542.57,621,2789.92,510.68,4999.95
Budget Shopper,Large Malls / Complexes,Mystery Discount Days,1759747.93,637,2762.56,500.80,4999.42
Budget Shopper,Large Malls / Complexes,New Arrival Showcase,1620787.57,585,2770.58,507.37,4989.50
Budget Shopper,Large Malls / Complexes,New Product Launch Promo,1841303.41,683,2695.91,500.73,4999.95
Budget Shopper,Large Malls / Complexes,New Year Kickoff,1698004.47,605,2806.62,501.48,4990.71
Budget Shopper,Large Malls / Complexes,Price Drop Parade,1636998.82,601,2723.79,500.55,4994.92
Budget Shopper,Large Malls / Complexes,Red Tag Clearance,1658312.53,604,2745.55,504.16,4958.13
Budget Shopper,Large Malls / Complexes,Seasonal Surprise Box,1768094.70,632,2797.62,504.53,4984.25
Budget Shopper,Large Malls / Complexes,Shop & Save Spectacular,1796397.88,652,2755.21,518.11,4995.39
Budget Shopper,Large Malls / Complexes,Smart Shopper Week,1656370.49,602,2751.45,502.36,4985.85
Budget Shopper,Large Malls / Complexes,Spring Refresh Event,1725408.72,617,2796.45,501.41,4997.69
Budget Shopper,Large Malls / Complexes,Spring Splash Discounts,1699440.05,605,2808.99,504.57,4998.53
Budget Shopper,Large Malls / Complexes,Summer Sizzle Promo,1633110.66,590,2767.98,513.95,4996.11
Budget Shopper,Large Malls / Complexes,Super Savings Week,1696219.91,622,2727.04,517.65,4995.54
Budget Shopper,Large Malls / Complexes,Ultimate Value Event,1628563.51,590,2760.28,516.38,4999.12
Budget Shopper,Large Malls / Complexes,VIP Access Sale,1759088.44,638,2757.19,500.61,4991.26
Budget Shopper,Large Malls / Complexes,Weekend Warrior Specials,1664150.70,604,2755.22,505.78,4994.74
Budget Shopper,Large Malls / Complexes,Winter Clearance Carnival,2017988.19,704,2866.46,506.66,4999.97
Budget Shopper,Large Malls / Complexes,Winter Wonders Sale,1625963.90,617,2635.27,512.61,4999.56
Budget Shopper,Small Stores / Shops,12 Days of Deals,1860597.35,663,2806.33,505.54,4998.61
Budget Shopper,Small Stores / Shops,Autumn Deals Drive,1742141.50,644,2705.19,502.24,4998.35
Budget Shopper,Small Stores / Shops,BOGO Blitz,1789334.36,649,2757.06,505.02,4995.11
Budget Shopper,Small Stores / Shops,Back to School Boost,1928206.96,701,2750.65,511.72,4994.30
Budget Shopper,Small Stores / Shops,Birthday Bash Sale,1752920.78,648,2705.12,504.53,4992.91
Budget Shopper,Small Stores / Shops,Black Friday Blowout,1950873.68,694,2811.06,505.61,4988.09
Budget Shopper,Small Stores / Shops,Cart Crasher Campaign,1684396.81,614,2743.32,504.62,4996.24
Budget Shopper,Small Stores / Shops,Cashback Carnival,1816387.95,656,2768.88,505.90,4988.47
Budget Shopper,Small Stores / Shops,Clearance Countdown,1850488.72,667,2774.35,500.93,4991.96
Budget Shopper,Small Stores / Shops,Countdown to Savings,1899736.50,693,2741.32,516.38,4997.53
Budget Shopper,Small Stores / Shops,Customer Appreciation Week,1804111.44,646,2792.74,506.49,4991.30
Budget Shopper,Small Stores / Shops,Cyber Monday Mania,1818276.86,652,2788.77,502.75,4999.28
Budget Shopper,Small Stores / Shops,Deal of the Month,1648076.66,614,2684.16,503.94,4991.80
Budget Shopper,Small Stores / Shops,Double Points Bonanza,1811896.52,673,2692.27,500.59,4997.47
Budget Shopper,Small Stores / Shops,Early Bird Specials,1928121.36,686,2810.67,514.49,4981.93
Budget Shopper,Small Stores / Shops,End of Season Sale,1805445.89,663,2723.15,503.49,4999.78
Budget Shopper,Small Stores / Shops,Exclusive Insider Offers,1761483.92,655,2689.29,503.94,4986.50
Budget Shopper,Small Stores / Shops,Festive Fever Promo,1827135.77,674,2710.88,500.98,4961.29
Budget Shopper,Small Stores / Shops,Final Call Frenzy,1960164.25,706,2776.44,507.00,4993.72
Budget Shopper,Small Stores / Shops,Flash Frenzy Friday,1767820.59,648,2728.12,511.85,4998.41
Budget Shopper,Small Stores / Shops,"Gift More, Spend Less",1825500.71,669,2728.70,507.15,4998.23
Budget Shopper,Small Stores / Shops,Golden Hour Bargains,1765160.61,643,2745.20,503.86,4996.69
Budget Shopper,Small Stores / Shops,Green Weekend Deals,1876703.25,672,2792.71,503.08,4996.73
Budget Shopper,Small Stores / Shops,Happy Hour Discounts,1906172.07,692,2754.58,510.66,4998.71
Budget Shopper,Small Stores / Shops,Holiday Shopping Rush,1923654.16,687,2800.08,504.65,4989.06
Budget Shopper,Small Stores / Shops,Hot Picks Promo,1867908.53,662,2821.61,503.76,4991.62
Budget Shopper,Small Stores / Shops,Instant Gratification Sale,1752365.03,642,2729.54,503.39,4994.90
Budget Shopper,Small Stores / Shops,Limited Time Treasures,1923632.84,695,2767.82,504.90,4997.38
Budget Shopper,Small Stores / Shops,Loyalty Rewards Blast,1676679.42,633,2648.78,530.61,4998.29
Budget Shopper,Small Stores / Shops,Mega Weekend Bonanza,1919497.09,690,2781.88,506.20,4996.39
Budget Shopper,Small Stores / Shops,Mid-Year Madness,1875935.10,679,2762.79,505.48,4993.34
Budget Shopper,Small Stores / Shops,Midnight Madness,1825774.80,675,2704.85,509.57,4995.31
Budget Shopper,Small Stores / Shops,Mystery Discount Days,1833233.83,646,2837.82,507.78,4990.91
Budget Shopper,Small Stores / Shops,New Arrival Showcase,1824892.67,671,2719.66,510.89,4995.28
Budget Shopper,Small Stores / Shops,New Product Launch Promo,1827080.79,678,2694.81,501.09,4994.33
Budget Shopper,Small Stores / Shops,New Year Kickoff,1955127.17,702,2785.08,509.56,4996.08
Budget Shopper,Small Stores / Shops,Price Drop Parade,1660728.38,624,2661.42,505.58,4983.61
Budget Shopper,Small Stores / Shops,Red Tag Clearance,1819187.26,668,2723.33,501.68,4996.92
Budget Shopper,Small Stores / Shops,Seasonal Surprise Box,2044221.65,732,2792.65,501.12,4992.44
Budget Shopper,Small Stores / Shops,Shop & Save Spectacular,1899700.98,688,2761.19,503.57,4997.51
Budget Shopper,Small Stores / Shops,Smart Shopper Week,1953766.47,714,2736.37,500.78,4997.06
Budget Shopper,Small Stores / Shops,Spring Refresh Event,1833700.33,664,2761.60,512.88,4978.31
Budget Shopper,Small Stores / Shops,Spring Splash Discounts,1798784.73,658,2733.72,500.68,4989.56
Budget Shopper,Small Stores / Shops,Summer Sizzle Promo,1884123.66,695,2710.97,500.92,4994.68
Budget Shopper,Small Stores / Shops,Super Savings Week,1818684.51,651,2793.68,507.88,4999.08
Budget Shopper,Small Stores / Shops,Ultimate Value Event,1898357.79,699,2715.82,502.47,4998.56
Budget Shopper,Small Stores / Shops,VIP Access Sale,1823489.02,673,2709.49,500.51,4991.92
Budget Shopper,Small Stores / Shops,Weekend Warrior Specials,1815496.37,673,2697.62,504.80,4979.32
Budget Shopper,Small Stores / Shops,Winter Clearance Carnival,1762027.44,645,2731.83,519.09,4998.44
Budget Shopper,Small Stores / Shops,Winter Wonders Sale,1864180.52,675,2761.75,523.21,4984.41
Budget Shopper,Supermarkets ,12 Days of Deals,1887170.04,679,2779.34,505.04,4991.58
Budget Shopper,Supermarkets ,Autumn Deals Drive,1821003.95,658,2767.48,500.04,4996.10
Budget Shopper,Supermarkets ,BOGO Blitz,1842947.96,699,2636.55,503.27,4993.22
Budget Shopper,Supermarkets ,Back to School Boost,1986852.79,705,2818.23,501.48,4995.75
Budget Shopper,Supermarkets ,Birthday Bash Sale,1945148.58,702,2770.87,505.39,4999.93
Budget Shopper,Supermarkets ,Black Friday Blowout,1802539.24,665,2710.59,500.99,4997.46
Budget Shopper,Supermarkets ,Cart Crasher Campaign,1851849.12,667,2776.39,505.92,4979.93
Budget Shopper,Supermarkets ,Cashback Carnival,2040948.12,730,2795.82,511.49,4999.12
Budget Shopper,Supermarkets ,Clearance Countdown,1884699.29,689,2735.41,503.09,4998.92
Budget Shopper,Supermarkets ,Countdown to Savings,1939768.16,684,2835.92,503.90,4987.78
Budget Shopper,Supermarkets ,Customer Appreciation Week,1914397.01,684,2798.83,508.47,4999.25
Budget Shopper,Supermarkets ,Cyber Monday Mania,1910114.41,688,2776.33,502.91,4993.83
Budget Shopper,Supermarkets ,Deal of the Month,1847195.64,657,2811.56,505.51,4986.28
Budget Shopper,Supermarkets ,Double Points Bonanza,1816638.81,647,2807.79,502.14,4998.12
Budget Shopper,Supermarkets ,Early Bird Specials,1851602.18,695,2664.18,506.63,4996.74
Budget Shopper,Supermarkets ,End of Season Sale,1963317.16,701,2800.74,508.08,4999.19
Budget Shopper,Supermarkets ,Exclusive Insider Offers,1795797.98,680,2640.88,504.62,4996.14
Budget Shopper,Supermarkets ,Festive Fever Promo,1887234.38,686,2751.07,512.07,4996.31
Budget Shopper,Supermarkets ,Final Call Frenzy,1911416.25,698,2738.42,502.39,4995.87
Budget Shopper,Supermarkets ,Flash Frenzy Friday,1939989.21,696,2787.34,501.20,4996.39
Budget Shopper,Supermarkets ,"Gift More, Spend Less",1846859.48,676,2732.04,505.10,4985.87
Budget Shopper,Supermarkets ,Golden Hour Bargains,1847461.01,681,2712.86,506.49,4999.85
Budget Shopper,Supermarkets ,Green Weekend Deals,1940337.77,699,2775.88,506.97,4991.30
Budget Shopper,Supermarkets ,Happy Hour Discounts,1879491.34,673,2792.71,500.42,4995.84
Budget Shopper,Supermarkets ,Holiday Shopping Rush,1857566.13,674,2756.03,506.38,4994.25
Budget Shopper,Supermarkets ,Hot Picks Promo,2011761.10,716,2809.72,502.00,4997.89
Budget Shopper,Supermarkets ,Instant Gratification Sale,1746602.52,659,2650.38,501.38,4987.65
Budget Shopper,Supermarkets ,Limited Time Treasures,1792012.29,658,2723.42,504.94,4994.02
Budget Shopper,Supermarkets ,Loyalty Rewards Blast,1893539.82,690,2744.26,500.80,4989.13
Budget Shopper,Supermarkets ,Mega Weekend Bonanza,2025066.24,751,2696.49,504.49,4995.42
Budget Shopper,Supermarkets ,Mid-Year Madness,1935425.46,709,2729.80,507.87,4989.93
Budget Shopper,Supermarkets ,Midnight Madness,1912164.27,698,2739.49,500.72,4990.39
Budget Shopper,Supermarkets ,Mystery Discount Days,1892486.70,705,2684.38,503.19,4999.16
Budget Shopper,Supermarkets ,New Arrival Showcase,1835614.32,669,2743.82,506.53,4993.31
Budget Shopper,Supermarkets ,New Product Launch Promo,1937758.80,708,2736.95,501.61,4991.97
Budget Shopper,Supermarkets ,New Year Kickoff,1856398.18,679,2734.02,500.10,4995.20
Budget Shopper,Supermarkets ,Price Drop Parade,1868840.27,672,2781.01,525.60,4996.70
Budget Shopper,Supermarkets ,Red Tag Clearance,1948309.73,712,2736.39,511.82,4984.96
Budget Shopper,Supermarkets ,Seasonal Surprise Box,1905492.26,669,2848.27,501.93,4998.54
Budget Shopper,Supermarkets ,Shop & Save Spectacular,1784577.24,662,2695.74,509.04,4991.10
Budget Shopper,Supermarkets ,Smart Shopper Week,1792013.78,656,2731.73,516.91,4999.66
Budget Shopper,Supermarkets ,Spring Refresh Event,2133541.83,771,2767.24,501.09,4992.08
Budget Shopper,Supermarkets ,Spring Splash Discounts,1942019.69,685,2835.07,508.68,4999.80
Budget Shopper,Supermarkets ,Summer Sizzle Promo,1874527.92,658,2848.83,510.56,4984.84
Budget Shopper,Supermarkets ,Super Savings Week,1991854.31,707,2817.33,509.07,4989.93
Budget Shopper,Supermarkets ,Ultimate Value Event,1926611.30,706,2728.91,513.46,4993.94
Budget Shopper,Supermarkets ,VIP Access Sale,1937020.28,708,2735.90,513.58,4994.17
Budget Shopper,Supermarkets ,Weekend Warrior Specials,1992787.20,724,2752.47,501.67,4999.39
Budget Shopper,Supermarkets ,Winter Clearance Carnival,1786370.43,646,2765.28,505.98,4998.49
Budget Shopper,Supermarkets ,Winter Wonders Sale,1979786.25,721,2745.89,502.26,4969.95
Churn Risk,Large Malls / Complexes,12 Days of Deals,1749687.51,629,2781.70,518.82,4989.39
Churn Risk,Large Malls / Complexes,Autumn Deals Drive,1861925.08,668,2787.31,501.18,4999.13
Churn Risk,Large Malls / Complexes,BOGO Blitz,1690485.95,614,2753.23,507.32,4992.57
Churn Risk,Large Malls / Complexes,Back to School Boost,1875090.46,673,2786.17,501.92,4992.97
Churn Risk,Large Malls / Complexes,Birthday Bash Sale,1827012.75,650,2810.79,501.83,4985.02
Churn Risk,Large Malls / Complexes,Black Friday Blowout,1579173.74,583,2708.70,512.32,4997.94
Churn Risk,Large Malls / Complexes,Cart Crasher Campaign,1717669.06,626,2743.88,502.87,4995.47
Churn Risk,Large Malls / Complexes,Cashback Carnival,1778996.17,641,2775.35,510.20,4994.40
Churn Risk,Large Malls / Complexes,Clearance Countdown,1683025.95,610,2759.06,502.94,4995.19
Churn Risk,Large Malls / Complexes,Countdown to Savings,1669877.65,615,2715.25,500.60,4974.44
Churn Risk,Large Malls / Complexes,Customer Appreciation Week,1761283.03,657,2680.80,502.48,4990.07
Churn Risk,Large Malls / Complexes,Cyber Monday Mania,1702801.08,615,2768.78,515.57,4998.93
Churn Risk,Large Malls / Complexes,Deal of the Month,1657859.36,615,2695.71,501.02,4999.41
Churn Risk,Large Malls / Complexes,Double Points Bonanza,1723925.45,636,2710.57,501.38,4996.21
Churn Risk,Large Malls / Complexes,Early Bird Specials,1739963.57,624,2788.40,519.84,4991.60
Churn Risk,Large Malls / Complexes,End of Season Sale,1792513.32,672,2667.43,503.81,4987.50
Churn Risk,Large Malls / Complexes,Exclusive Insider Offers,1836846.46,642,2861.13,511.95,4989.63
Churn Risk,Large Malls / Complexes,Festive Fever Promo,1723735.90,620,2780.22,500.36,4990.21
Churn Risk,Large Malls / Complexes,Final Call Frenzy,1742680.93,660,2640.43,501.57,4981.71
Churn Risk,Large Malls / Complexes,Flash Frenzy Friday,1698012.44,616,2756.51,524.81,4997.51
Churn Risk,Large Malls / Complexes,"Gift More, Spend Less",1890423.54,687,2751.71,507.44,4988.75
Churn Risk,Large Malls / Complexes,Golden Hour Bargains,1745347.69,649,2689.29,502.72,4984.06
Churn Risk,Large Malls / Complexes,Green Weekend Deals,1902880.56,683,2786.06,504.20,4999.33
Churn Risk,Large Malls / Complexes,Happy Hour Discounts,1941118.94,705,2753.36,505.67,4994.51
Churn Risk,Large Malls / Complexes,Holiday Shopping Rush,1762767.10,635,2776.01,507.19,4976.09
Churn Risk,Large Malls / Complexes,Hot Picks Promo,1735392.98,623,2785.54,507.15,4987.66
Churn Risk,Large Malls / Complexes,Instant Gratification Sale,1664856.86,613,2715.92,514.89,4989.05
Churn Risk,Large Malls / Complexes,Limited Time Treasures,1844295.14,639,2886.22,530.36,4997.24
Churn Risk,Large Malls / Complexes,Loyalty Rewards Blast,1622113.92,601,2699.02,500.82,4998.22
Churn Risk,Large Malls / Complexes,Mega Weekend Bonanza,1710339.43,618,2767.54,514.29,4995.03
Churn Risk,Large Malls / Complexes,Mid-Year Madness,1771729.77,649,2729.94,504.33,4992.50
Churn Risk,Large Malls / Complexes,Midnight Madness,1732710.09,637,2720.11,513.66,4994.43
Churn Risk,Large Malls / Complexes,Mystery Discount Days,1637131.60,619,2644.80,502.96,4971.08
Churn Risk,Large Malls / Complexes,New Arrival Showcase,1765938.21,645,2737.89,504.98,4992.15
Churn Risk,Large Malls / Complexes,New Product Launch Promo,1731018.37,630,2747.65,509.60,4999.18
Churn Risk,Large Malls / Complexes,New Year Kickoff,1766035.83,652,2708.64,518.77,4988.93
Churn Risk,Large Malls / Complexes,Price Drop Parade,1701153.66,617,2757.14,511.58,4979.50
Churn Risk,Large Malls / Complexes,Red Tag Clearance,1533780.34,576,2662.81,517.10,4988.53
Churn Risk,Large Malls / Complexes,Seasonal Surprise Box,1711254.94,635,2694.89,501.95,4993.44
Churn Risk,Large Malls / Complexes,Shop & Save Spectacular,1653744.01,605,2733.46,506.24,4999.91
Churn Risk,Large Malls / Complexes,Smart Shopper Week,1715111.87,620,2766.31,504.15,4999.86
Churn Risk,Large Malls / Complexes,Spring Refresh Event,1676136.13,623,2690.43,500.56,4998.26
Churn Risk,Large Malls / Complexes,Spring Splash Discounts,1790253.71,654,2737.39,504.32,4982.39
Churn Risk,Large Malls / Complexes,Summer Sizzle Promo,1674224.60,619,2704.72,511.51,4998.58
Churn Risk,Large Malls / Complexes,Super Savings Week,1961531.91,688,2851.06,502.79,4992.52
Churn Risk,Large Malls / Complexes,Ultimate Value Event,1742147.54,645,2701.00,502.89,4997.13
Churn Risk,Large Malls / Complexes,VIP Access Sale,1636348.23,609,2686.94,510.68,4976.34
Churn Risk,Large Malls / Complexes,Weekend Warrior Specials,1740819.61,606,2872.64,524.53,4995.92
Churn Risk,Large Malls / Complexes,Winter Clearance Carnival,1772226.53,638,2777.78,507.62,4999.04
Churn Risk,Large Malls / Complexes,Winter Wonders Sale,1731876.92,644,2689.25,511.60,4995.39
Churn Risk,Small Stores / Shops,12 Days of Deals,1744889.17,642,2717.90,502.11,4996.82
Churn Risk,Small Stores / Shops,Autumn Deals Drive,1932383.90,700,2760.55,500.20,4998.38
Churn Risk,Small Stores / Shops,BOGO Blitz,1935359.66,698,2772.72,508.02,4999.45
Churn Risk,Small Stores / Shops,Back to School Boost,1759532.93,657,2678.13,503.12,4995.60
Churn Risk,Small Stores / Shops,Birthday Bash Sale,1913076.04,675,2834.19,507.97,4997.78
Churn Risk,Small Stores / Shops,Black Friday Blowout,1860408.44,680,2735.89,503.63,4989.77
Churn Risk,Small Stores / Shops,Cart Crasher Campaign,1787395.48,660,2708.17,508.04,4998.46
Churn Risk,Small Stores / Shops,Cashback Carnival,1728750.45,633,2731.04,502.35,4994.16
Churn Risk,Small Stores / Shops,Clearance Countdown,1763390.06,633,2785.77,509.31,4996.24
Churn Risk,Small Stores / Shops,Countdown to Savings,1973089.47,703,2806.67,502.49,4990.06
Churn Risk,Small Stores / Shops,Customer Appreciation Week,1865233.63,661,2821.84,502.07,4994.34
Churn Risk,Small Stores / Shops,Cyber Monday Mania,1929333.46,682,2828.93,505.17,4994.43
Churn Risk,Small Stores / Shops,Deal of the Month,1851422.49,674,2746.92,510.03,4964.44
Churn Risk,Small Stores / Shops,Double Points Bonanza,1797659.63,648,2774.17,504.72,4972.64
Churn Risk,Small Stores / Shops,Early Bird Specials,1966408.92,686,2866.49,508.69,4997.16
Churn Risk,Small Stores / Shops,End of Season Sale,1784148.61,669,2666.89,502.25,4996.88
Churn Risk,Small Stores / Shops,Exclusive Insider Offers,1853570.64,679,2729.85,514.75,4995.02
Churn Risk,Small Stores / Shops,Festive Fever Promo,1878699.05,665,2825.11,502.30,4998.24
Churn Risk,Small Stores / Shops,Final Call Frenzy,1803722.68,662,2724.66,501.06,4992.68
Churn Risk,Small Stores / Shops,Flash Frenzy Friday,1869367.36,702,2662.92,508.81,4983.73
Churn Risk,Small Stores / Shops,"Gift More, Spend Less",1796960.35,681,2638.71,506.35,4983.76
Churn Risk,Small Stores / Shops,Golden Hour Bargains,1826305.37,658,2775.54,500.57,4994.31
Churn Risk,Small Stores / Shops,Green Weekend Deals,1849764.99,669,2764.97,516.86,4996.70
Churn Risk,Small Stores / Shops,Happy Hour Discounts,1830831.91,666,2749.00,500.75,4990.80
Churn Risk,Small Stores / Shops,Holiday Shopping Rush,1874062.82,685,2735.86,509.01,4997.57
Churn Risk,Small Stores / Shops,Hot Picks Promo,1901174.58,685,2775.44,503.06,4990.76
Churn Risk,Small Stores / Shops,Instant Gratification Sale,1934562.54,705,2744.06,500.07,4999.03
Churn Risk,Small Stores / Shops,Limited Time Treasures,1841027.25,692,2660.44,501.60,4994.16
Churn Risk,Small Stores / Shops,Loyalty Rewards Blast,1827352.52,674,2711.21,501.61,4991.43
Churn Risk,Small Stores / Shops,Mega Weekend Bonanza,1907115.47,695,2744.05,502.77,4999.69
Churn Risk,Small Stores / Shops,Mid-Year Madness,1900964.35,691,2751.03,500.47,4997.94
Churn Risk,Small Stores / Shops,Midnight Madness,1858388.25,677,2745.03,502.72,4990.79
Churn Risk,Small Stores / Shops,Mystery Discount Days,1858789.95,692,2686.11,501.23,4993.56
Churn Risk,Small Stores / Shops,New Arrival Showcase,1896127.49,683,2776.17,525.62,4999.20
Churn Risk,Small Stores / Shops,New Product Launch Promo,1831123.77,671,2728.95,500.73,4988.32
Churn Risk,Small Stores / Shops,New Year Kickoff,1902632.56,690,2757.44,518.02,4981.27
Churn Risk,Small Stores / Shops,Price Drop Parade,1916550.15,715,2680.49,514.95,4997.34
Churn Risk,Small Stores / Shops,Red Tag Clearance,1839067.80,671,2740.79,501.05,4982.81
Churn Risk,Small Stores / Shops,Seasonal Surprise Box,1934242.03,704,2747.50,501.42,4996.49
Churn Risk,Small Stores / Shops,Shop & Save Spectacular,2013039.66,716,2811.51,500.21,4998.65
Churn Risk,Small Stores / Shops,Smart Shopper Week,1943234.18,704,2760.28,504.73,4999.64
Churn Risk,Small Stores / Shops,Spring Refresh Event,1801964.49,641,2811.18,522.47,4980.06
Churn Risk,Small Stores / Shops,Spring Splash Discounts,1874686.41,680,2756.89,502.11,4995.14
Churn Risk,Small Stores / Shops,Summer Sizzle Promo,1806864.23,660,2737.67,500.57,4995.97
Churn Risk,Small Stores / Shops,Super Savings Week,1819377.43,665,2735.91,500.70,4998.99
Churn Risk,Small Stores / Shops,Ultimate Value Event,1753007.06,625,2804.81,510.12,4997.03
Churn Risk,Small Stores / Shops,VIP Access Sale,1852598.59,669,2769.21,513.77,4999.15
Churn Risk,Small Stores / Shops,Weekend Warrior Specials,1846635.43,693,2664.70,501.99,4999.21
Churn Risk,Small Stores / Shops,Winter Clearance Carnival,1849122.38,682,2711.32,501.40,4989.85
Churn Risk,Small Stores / Shops,Winter Wonders Sale,1837434.28,678,2710.08,515.88,4987.55
Churn Risk,Supermarkets ,12 Days of Deals,1854320.17,680,2726.94,507.40,4995.63
Churn Risk,Supermarkets ,Autumn Deals Drive,1806832.36,646,2796.95,501.19,4997.38
Churn Risk,Supermarkets ,BOGO Blitz,1945047.84,711,2735.65,503.15,4996.75
Churn Risk,Supermarkets ,Back to School Boost,2083623.67,770,2706.00,518.77,4993.57
Churn Risk,Supermarkets ,Birthday Bash Sale,1990971.41,724,2749.96,500.37,4999.64
Churn Risk,Supermarkets ,Black Friday Blowout,1893852.32,672,2818.23,503.18,4996.57
Churn Risk,Supermarkets ,Cart Crasher Campaign,1857983.61,676,2748.50,511.88,4997.29
Churn Risk,Supermarkets ,Cashback Carnival,1887891.38,697,2708.60,505.92,4999.22
Churn Risk,Supermarkets ,Clearance Countdown,1882018.52,699,2692.44,505.32,4998.56
Churn Risk,Supermarkets ,Countdown to Savings,1794459.17,655,2739.63,500.39,4996.16
Churn Risk,Supermarkets ,Customer Appreciation Week,1857694.98,684,2715.93,503.77,4997.68
Churn Risk,Supermarkets ,Cyber Monday Mania,1869698.48,662,2824.32,509.47,4993.63
Churn Risk,Supermarkets ,Deal of the Month,2040174.58,732,2787.12,502.65,4995.45
Churn Risk,Supermarkets ,Double Points Bonanza,1800930.24,675,2668.04,500.48,4991.43
Churn Risk,Supermarkets ,Early Bird Specials,1792581.65,657,2728.43,524.31,4976.24
Churn Risk,Supermarkets ,End of Season Sale,1984326.03,708,2802.72,520.33,4995.12
Churn Risk,Supermarkets ,Exclusive Insider Offers,1775511.32,620,2863.73,508.78,4999.29
Churn Risk,Supermarkets ,Festive Fever Promo,2008699.83,752,2671.14,510.97,4982.26
Churn Risk,Supermarkets ,Final Call Frenzy,1965943.33,690,2849.19,505.76,4994.08
Churn Risk,Supermarkets ,Flash Frenzy Friday,1932529.70,690,2800.77,502.31,4997.00
Churn Risk,Supermarkets ,"Gift More, Spend Less",1957651.82,718,2726.53,500.71,4977.65
Churn Risk,Supermarkets ,Golden Hour Bargains,1929932.20,683,2825.67,506.95,4991.51
Churn Risk,Supermarkets ,Green Weekend Deals,2017357.85,724,2786.41,511.69,4997.22
Churn Risk,Supermarkets ,Happy Hour Discounts,1911603.01,682,2802.94,503.04,4995.06
Churn Risk,Supermarkets ,Holiday Shopping Rush,2020306.45,722,2798.21,500.17,4993.89
Churn Risk,Supermarkets ,Hot Picks Promo,2059458.13,738,2790.59,506.70,4988.80
Churn Risk,Supermarkets ,Instant Gratification Sale,1774716.50,645,2751.50,522.25,4998.40
Churn Risk,Supermarkets ,Limited Time Treasures,1960558.38,701,2796.80,501.18,4998.70
Churn Risk,Supermarkets ,Loyalty Rewards Blast,1899769.11,685,2773.39,503.22,4997.44
Churn Risk,Supermarkets ,Mega Weekend Bonanza,1796923.54,659,2726.74,502.08,4998.94
