category,brand,customer_segment,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Holiday Shopping Rush,57487.81,18,3193.77,1061.43,4906.00
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Hot Picks Promo,60849.60,23,2645.63,666.80,4942.51
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Instant Gratification Sale,61396.88,23,2669.43,522.75,4665.63
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Limited Time Treasures,59761.64,19,3145.35,1016.79,4983.53
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Loyalty Rewards Blast,60065.12,20,3003.26,813.91,4589.69
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Mega Weekend Bonanza,45288.37,15,3019.22,958.92,4915.82
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Mid-Year Madness,40287.57,16,2517.97,509.13,4741.75
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Midnight Madness,41056.83,16,2566.05,691.14,4737.68
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Mystery Discount Days,58202.34,19,3063.28,613.27,4943.34
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,New Arrival Showcase,65641.68,21,3125.79,836.76,4785.54
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,New Product Launch Promo,41023.81,15,2734.92,985.80,4999.95
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,New Year Kickoff,44821.87,21,2134.37,560.26,3981.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Price Drop Parade,48176.22,19,2535.59,511.21,4963.26
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Red Tag Clearance,38800.00,14,2771.43,547.87,4704.56
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Seasonal Surprise Box,43823.99,16,2739.00,937.69,4699.88
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Shop & Save Spectacular,87276.71,31,2815.38,783.02,4992.75
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Smart Shopper Week,63270.43,25,2530.82,684.11,4985.85
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Spring Refresh Event,39415.52,14,2815.39,728.01,4765.63
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Spring Splash Discounts,68568.70,24,2857.03,572.77,4790.69
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Summer Sizzle Promo,64106.45,23,2787.24,651.49,4982.52
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Super Savings Week,55013.71,19,2895.46,922.99,4849.86
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Ultimate Value Event,49916.93,18,2773.16,631.79,4540.39
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,VIP Access Sale,58005.29,21,2762.16,847.51,4797.32
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Weekend Warrior Specials,58671.47,24,2444.64,640.28,4449.81
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Winter Clearance Carnival,54596.47,21,2599.83,823.59,4585.63
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Winter Wonders Sale,76874.07,24,3203.09,665.58,4969.49
Clothing,Adidas,Budget Shopper,Small Stores / Shops,12 Days of Deals,77909.68,31,2513.22,585.70,4784.68
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Autumn Deals Drive,65751.55,28,2348.27,526.60,4846.31
Clothing,Adidas,Budget Shopper,Small Stores / Shops,BOGO Blitz,55054.57,22,2502.48,635.44,4833.26
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Back to School Boost,74296.12,25,2971.84,752.44,4701.84
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Birthday Bash Sale,59641.31,24,2485.05,590.96,4598.96
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Black Friday Blowout,64149.41,26,2467.29,628.88,4514.81
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Cart Crasher Campaign,81771.11,27,3028.56,964.78,4931.02
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Cashback Carnival,72281.90,28,2581.50,566.74,4950.22
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Clearance Countdown,51380.62,18,2854.48,511.56,4945.59
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Countdown to Savings,43647.48,19,2297.24,516.38,4745.43
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Customer Appreciation Week,52120.32,21,2481.92,523.17,4801.35
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Cyber Monday Mania,58269.08,20,2913.45,628.59,4993.46
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Deal of the Month,77850.20,27,2883.34,598.75,4907.31
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Double Points Bonanza,64254.62,25,2570.18,705.15,4737.65
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Early Bird Specials,73262.45,27,2713.42,790.93,4647.08
Clothing,Adidas,Budget Shopper,Small Stores / Shops,End of Season Sale,58681.21,21,2794.34,1039.14,4898.24
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Exclusive Insider Offers,55431.04,23,2410.05,598.29,4714.20
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Festive Fever Promo,44863.98,19,2361.26,735.97,4228.50
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Final Call Frenzy,78015.85,28,2786.28,746.29,4989.90
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Flash Frenzy Friday,56017.75,20,2800.89,585.75,4942.19
Clothing,Adidas,Budget Shopper,Small Stores / Shops,"Gift More, Spend Less",58470.52,17,3439.44,921.60,4988.68
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Golden Hour Bargains,48515.10,22,2205.23,722.18,4532.92
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Green Weekend Deals,34228.47,15,2281.90,647.53,4208.33
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Happy Hour Discounts,41544.40,19,2186.55,602.38,4796.34
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Holiday Shopping Rush,59860.28,20,2993.01,634.77,4738.44
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Hot Picks Promo,48371.65,17,2845.39,699.60,4757.41
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Instant Gratification Sale,45826.41,16,2864.15,626.74,4994.90
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Limited Time Treasures,61048.08,23,2654.26,1059.94,4901.98
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Loyalty Rewards Blast,43604.17,18,2422.45,805.27,4583.54
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Mega Weekend Bonanza,67129.13,23,2918.66,582.79,4845.90
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Mid-Year Madness,52003.19,24,2166.80,548.03,4664.03
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Midnight Madness,70912.03,28,2532.57,518.16,4556.49
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Mystery Discount Days,45570.69,17,2680.63,671.02,4356.68
Clothing,Adidas,Budget Shopper,Small Stores / Shops,New Arrival Showcase,62300.45,25,2492.02,605.41,4720.63
Clothing,Adidas,Budget Shopper,Small Stores / Shops,New Product Launch Promo,65139.23,25,2605.57,541.28,4834.31
Clothing,Adidas,Budget Shopper,Small Stores / Shops,New Year Kickoff,66502.92,24,2770.96,560.55,4545.36
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Price Drop Parade,45135.69,21,2149.32,537.35,4443.24
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Red Tag Clearance,45894.67,18,2549.70,639.83,4869.59
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Seasonal Surprise Box,71136.15,25,2845.45,578.21,4885.48
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Shop & Save Spectacular,50438.78,20,2521.94,572.84,4832.91
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Smart Shopper Week,39002.39,16,2437.65,554.36,4875.62
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Spring Refresh Event,44389.76,15,2959.32,899.23,4930.99
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Spring Splash Discounts,71157.25,28,2541.33,534.86,4682.37
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Summer Sizzle Promo,61175.68,22,2780.71,665.88,4917.17
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Super Savings Week,56118.56,22,2550.84,624.26,4859.11
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Ultimate Value Event,45172.01,17,2657.18,1029.05,4998.36
Clothing,Adidas,Budget Shopper,Small Stores / Shops,VIP Access Sale,57926.75,23,2518.55,534.21,4829.97
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Weekend Warrior Specials,86520.02,30,2884.00,891.49,4819.97
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Winter Clearance Carnival,69445.96,25,2777.84,871.46,4818.92
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Winter Wonders Sale,56590.65,21,2694.79,623.34,4771.84
Clothing,Adidas,Budget Shopper,Supermarkets ,12 Days of Deals,83622.06,31,2697.49,505.04,4794.38
Clothing,Adidas,Budget Shopper,Supermarkets ,Autumn Deals Drive,55317.67,22,2514.44,653.74,4703.77
Clothing,Adidas,Budget Shopper,Supermarkets ,BOGO Blitz,76966.92,30,2565.56,610.76,4866.64
Clothing,Adidas,Budget Shopper,Supermarkets ,Back to School Boost,50207.80,23,2182.95,510.39,3873.58
Clothing,Adidas,Budget Shopper,Supermarkets ,Birthday Bash Sale,79706.94,30,2656.90,518.24,4929.82
Clothing,Adidas,Budget Shopper,Supermarkets ,Black Friday Blowout,72972.22,25,2918.89,910.83,4939.70
Clothing,Adidas,Budget Shopper,Supermarkets ,Cart Crasher Campaign,56823.07,18,3156.84,571.88,4853.32
Clothing,Adidas,Budget Shopper,Supermarkets ,Cashback Carnival,65677.33,26,2526.05,587.98,4951.70
Clothing,Adidas,Budget Shopper,Supermarkets ,Clearance Countdown,46442.25,18,2580.12,503.98,4421.84
Clothing,Adidas,Budget Shopper,Supermarkets ,Countdown to Savings,81281.60,26,3126.22,709.63,4966.52
Clothing,Adidas,Budget Shopper,Supermarkets ,Customer Appreciation Week,58774.52,21,2798.79,625.03,4573.99
Clothing,Adidas,Budget Shopper,Supermarkets ,Cyber Monday Mania,71340.89,29,2460.03,551.31,4454.37
Clothing,Adidas,Budget Shopper,Supermarkets ,Deal of the Month,36744.42,14,2624.60,907.88,4668.47
Clothing,Adidas,Budget Shopper,Supermarkets ,Double Points Bonanza,50036.35,19,2633.49,846.26,4935.43
Clothing,Adidas,Budget Shopper,Supermarkets ,Early Bird Specials,40606.52,14,2900.47,958.79,4996.74
Clothing,Adidas,Budget Shopper,Supermarkets ,End of Season Sale,64459.35,21,3069.49,869.06,4866.08
Clothing,Adidas,Budget Shopper,Supermarkets ,Exclusive Insider Offers,45811.42,20,2290.57,545.22,4884.21
Clothing,Adidas,Budget Shopper,Supermarkets ,Festive Fever Promo,68099.26,25,2723.97,623.75,4892.93
Clothing,Adidas,Budget Shopper,Supermarkets ,Final Call Frenzy,100103.37,29,3451.84,724.11,4919.52
Clothing,Adidas,Budget Shopper,Supermarkets ,Flash Frenzy Friday,45879.58,17,2698.80,501.20,4809.39
Clothing,Adidas,Budget Shopper,Supermarkets ,"Gift More, Spend Less",47961.09,20,2398.05,561.37,4765.62
Clothing,Adidas,Budget Shopper,Supermarkets ,Golden Hour Bargains,43084.74,16,2692.80,539.02,4760.71
Clothing,Adidas,Budget Shopper,Supermarkets ,Green Weekend Deals,60654.75,22,2757.03,539.17,4749.43
Clothing,Adidas,Budget Shopper,Supermarkets ,Happy Hour Discounts,54619.10,21,2600.91,861.77,4842.63
Clothing,Adidas,Budget Shopper,Supermarkets ,Holiday Shopping Rush,76330.53,27,2827.06,568.36,4762.89
Clothing,Adidas,Budget Shopper,Supermarkets ,Hot Picks Promo,81953.44,30,2731.78,975.38,4980.54
Clothing,Adidas,Budget Shopper,Supermarkets ,Instant Gratification Sale,54993.29,21,2618.73,563.61,4973.14
Clothing,Adidas,Budget Shopper,Supermarkets ,Limited Time Treasures,63574.91,22,2889.77,618.48,4651.05
Clothing,Adidas,Budget Shopper,Supermarkets ,Loyalty Rewards Blast,43800.86,17,2576.52,672.31,4971.65
Clothing,Adidas,Budget Shopper,Supermarkets ,Mega Weekend Bonanza,54282.09,23,2360.09,574.73,4980.14
Clothing,Adidas,Budget Shopper,Supermarkets ,Mid-Year Madness,47281.62,19,2488.51,735.81,4587.97
Clothing,Adidas,Budget Shopper,Supermarkets ,Midnight Madness,55876.92,21,2660.81,1450.89,4204.79
Clothing,Adidas,Budget Shopper,Supermarkets ,Mystery Discount Days,67934.72,25,2717.39,635.57,4876.09
Clothing,Adidas,Budget Shopper,Supermarkets ,New Arrival Showcase,62437.56,24,2601.56,550.60,4927.48
Clothing,Adidas,Budget Shopper,Supermarkets ,New Product Launch Promo,49582.74,18,2754.60,622.17,4925.61
Clothing,Adidas,Budget Shopper,Supermarkets ,New Year Kickoff,41053.78,20,2052.69,519.85,4438.49
Clothing,Adidas,Budget Shopper,Supermarkets ,Price Drop Parade,65818.45,24,2742.44,902.69,4946.19
Clothing,Adidas,Budget Shopper,Supermarkets ,Red Tag Clearance,70497.06,25,2819.88,520.14,4964.81
Clothing,Adidas,Budget Shopper,Supermarkets ,Seasonal Surprise Box,63651.18,23,2767.44,527.98,4419.56
Clothing,Adidas,Budget Shopper,Supermarkets ,Shop & Save Spectacular,53215.46,19,2800.81,516.93,4843.28
Clothing,Adidas,Budget Shopper,Supermarkets ,Smart Shopper Week,51890.83,22,2358.67,634.92,4757.08
Clothing,Adidas,Budget Shopper,Supermarkets ,Spring Refresh Event,98730.57,33,2991.84,541.03,4987.97
Clothing,Adidas,Budget Shopper,Supermarkets ,Spring Splash Discounts,70246.12,29,2422.28,566.81,4990.13
Clothing,Adidas,Budget Shopper,Supermarkets ,Summer Sizzle Promo,65502.93,25,2620.12,761.15,4974.26
Clothing,Adidas,Budget Shopper,Supermarkets ,Super Savings Week,39551.22,18,2197.29,774.73,4524.45
Clothing,Adidas,Budget Shopper,Supermarkets ,Ultimate Value Event,68465.35,21,3260.25,1031.63,4878.14
Clothing,Adidas,Budget Shopper,Supermarkets ,VIP Access Sale,90752.22,32,2836.01,570.09,4848.12
Clothing,Adidas,Budget Shopper,Supermarkets ,Weekend Warrior Specials,64168.53,21,3055.64,675.90,4815.36
Clothing,Adidas,Budget Shopper,Supermarkets ,Winter Clearance Carnival,56559.30,20,2827.96,655.90,4971.08
Clothing,Adidas,Budget Shopper,Supermarkets ,Winter Wonders Sale,57120.36,19,3006.33,851.56,4897.47
Clothing,Adidas,Churn Risk,Large Malls / Complexes,12 Days of Deals,53163.30,20,2658.16,948.24,4506.15
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Autumn Deals Drive,37163.55,13,2858.73,861.26,4531.38
Clothing,Adidas,Churn Risk,Large Malls / Complexes,BOGO Blitz,50211.81,20,2510.59,774.21,4385.55
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Back to School Boost,53953.80,19,2839.67,1049.41,4835.44
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Birthday Bash Sale,72044.09,23,3132.35,573.64,4957.03
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Black Friday Blowout,67990.16,21,3237.63,1034.83,4964.85
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Cart Crasher Campaign,69387.42,22,3153.97,540.89,4942.50
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Cashback Carnival,75993.22,28,2714.04,548.04,4701.94
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Clearance Countdown,55041.23,20,2752.06,575.39,4882.74
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Countdown to Savings,31470.23,13,2420.79,780.30,4645.97
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Customer Appreciation Week,73081.27,28,2610.05,605.52,4937.49
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Cyber Monday Mania,59720.12,17,3512.95,1798.85,4974.49
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Deal of the Month,59771.69,19,3145.88,586.82,4845.59
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Double Points Bonanza,47080.78,23,2046.99,538.98,4023.90
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Early Bird Specials,60162.49,21,2864.88,628.80,4839.37
Clothing,Adidas,Churn Risk,Large Malls / Complexes,End of Season Sale,86089.20,30,2869.64,560.40,4983.53
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Exclusive Insider Offers,73669.67,29,2540.33,590.62,4984.33
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Festive Fever Promo,64373.14,24,2682.21,701.96,4915.21
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Final Call Frenzy,61081.01,24,2545.04,541.76,4897.76
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Flash Frenzy Friday,50943.89,22,2315.63,753.66,4650.29
Clothing,Adidas,Churn Risk,Large Malls / Complexes,"Gift More, Spend Less",56080.26,20,2804.01,647.25,4945.55
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Golden Hour Bargains,82581.97,26,3176.23,548.12,4791.61
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Green Weekend Deals,41044.25,16,2565.27,797.81,4184.15
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Happy Hour Discounts,67244.46,29,2318.77,505.67,4994.51
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Holiday Shopping Rush,81027.08,26,3116.43,1111.39,4826.87
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Hot Picks Promo,67163.56,24,2798.48,544.41,4892.47
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Instant Gratification Sale,76128.44,26,2928.02,925.46,4558.97
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Limited Time Treasures,48037.08,17,2825.71,945.46,4787.02
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Loyalty Rewards Blast,62586.72,21,2980.32,587.61,4952.85
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Mega Weekend Bonanza,41015.09,13,3155.01,890.16,4817.99
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Mid-Year Madness,63166.37,22,2871.20,595.88,4878.50
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Midnight Madness,51976.66,18,2887.59,833.13,4796.87
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Mystery Discount Days,68903.05,24,2870.96,903.54,4827.67
Clothing,Adidas,Churn Risk,Large Malls / Complexes,New Arrival Showcase,58882.56,22,2676.48,562.25,4618.33
Clothing,Adidas,Churn Risk,Large Malls / Complexes,New Product Launch Promo,59067.90,20,2953.40,871.50,4999.18
Clothing,Adidas,Churn Risk,Large Malls / Complexes,New Year Kickoff,81519.71,30,2717.32,619.16,4988.93
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Price Drop Parade,42623.21,15,2841.55,1025.58,4584.76
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Red Tag Clearance,40088.19,15,2672.55,620.15,4679.46
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Seasonal Surprise Box,69140.89,21,3292.42,1270.61,4907.35
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Shop & Save Spectacular,58876.28,23,2559.84,511.32,4948.15
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Smart Shopper Week,101305.31,37,2737.98,696.22,4999.86
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Spring Refresh Event,56784.29,22,2581.10,672.94,4881.13
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Spring Splash Discounts,45353.27,17,2667.84,535.63,4956.96
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Summer Sizzle Promo,52478.51,19,2762.03,548.06,4899.98
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Super Savings Week,58009.49,22,2636.80,705.08,4875.54
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Ultimate Value Event,42212.33,19,2221.70,522.48,4789.51
Clothing,Adidas,Churn Risk,Large Malls / Complexes,VIP Access Sale,62297.49,23,2708.59,835.20,4353.12
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Weekend Warrior Specials,44847.06,17,2638.06,973.98,4671.73
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Winter Clearance Carnival,88713.89,26,3412.07,846.46,4926.80
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Winter Wonders Sale,48002.10,18,2666.78,660.55,4599.05
Clothing,Adidas,Churn Risk,Small Stores / Shops,12 Days of Deals,66044.98,22,3002.04,1414.20,4948.61
Clothing,Adidas,Churn Risk,Small Stores / Shops,Autumn Deals Drive,87068.95,30,2902.30,960.26,4992.48
Clothing,Adidas,Churn Risk,Small Stores / Shops,BOGO Blitz,67412.90,22,3064.22,563.77,4991.38
Clothing,Adidas,Churn Risk,Small Stores / Shops,Back to School Boost,63480.83,22,2885.49,714.74,4801.93
Clothing,Adidas,Churn Risk,Small Stores / Shops,Birthday Bash Sale,72514.29,24,3021.43,528.52,4913.22
Clothing,Adidas,Churn Risk,Small Stores / Shops,Black Friday Blowout,53824.89,24,2242.70,567.65,4587.24
Clothing,Adidas,Churn Risk,Small Stores / Shops,Cart Crasher Campaign,47636.86,20,2381.84,624.20,4298.62
Clothing,Adidas,Churn Risk,Small Stores / Shops,Cashback Carnival,60080.73,21,2860.99,638.86,4729.57
Clothing,Adidas,Churn Risk,Small Stores / Shops,Clearance Countdown,50816.28,15,3387.75,563.58,4996.24
Clothing,Adidas,Churn Risk,Small Stores / Shops,Countdown to Savings,57798.07,21,2752.29,712.98,4746.78
Clothing,Adidas,Churn Risk,Small Stores / Shops,Customer Appreciation Week,51544.74,17,3032.04,1300.24,4863.56
Clothing,Adidas,Churn Risk,Small Stores / Shops,Cyber Monday Mania,65227.54,21,3106.07,949.93,4833.44
Clothing,Adidas,Churn Risk,Small Stores / Shops,Deal of the Month,43986.78,16,2749.17,567.68,4922.70
Clothing,Adidas,Churn Risk,Small Stores / Shops,Double Points Bonanza,39660.37,19,2087.39,583.85,4829.49
Clothing,Adidas,Churn Risk,Small Stores / Shops,Early Bird Specials,59684.85,18,3315.82,977.32,4995.32
Clothing,Adidas,Churn Risk,Small Stores / Shops,End of Season Sale,40053.70,17,2356.10,984.39,4893.43
Clothing,Adidas,Churn Risk,Small Stores / Shops,Exclusive Insider Offers,45232.54,17,2660.74,589.74,4879.64
Clothing,Adidas,Churn Risk,Small Stores / Shops,Festive Fever Promo,65360.98,19,3440.05,1215.09,4848.85
Clothing,Adidas,Churn Risk,Small Stores / Shops,Final Call Frenzy,47345.18,15,3156.35,837.14,4792.71
Clothing,Adidas,Churn Risk,Small Stores / Shops,Flash Frenzy Friday,48752.30,18,2708.46,1220.46,4875.29
Clothing,Adidas,Churn Risk,Small Stores / Shops,"Gift More, Spend Less",59051.21,25,2362.05,510.65,4958.60
Clothing,Adidas,Churn Risk,Small Stores / Shops,Golden Hour Bargains,56328.56,22,2560.39,657.59,4818.88
Clothing,Adidas,Churn Risk,Small Stores / Shops,Green Weekend Deals,46678.22,16,2917.39,656.92,4948.82
Clothing,Adidas,Churn Risk,Small Stores / Shops,Happy Hour Discounts,59575.32,19,3135.54,1346.36,4892.98
Clothing,Adidas,Churn Risk,Small Stores / Shops,Holiday Shopping Rush,64334.60,28,2297.66,593.19,4878.77
Clothing,Adidas,Churn Risk,Small Stores / Shops,Hot Picks Promo,76519.86,27,2834.07,577.89,4806.70
Clothing,Adidas,Churn Risk,Small Stores / Shops,Instant Gratification Sale,56616.34,22,2573.47,631.32,4727.47
Clothing,Adidas,Churn Risk,Small Stores / Shops,Limited Time Treasures,57726.26,24,2405.26,629.29,4646.50
Clothing,Adidas,Churn Risk,Small Stores / Shops,Loyalty Rewards Blast,58676.86,19,3088.26,657.16,4699.26
Clothing,Adidas,Churn Risk,Small Stores / Shops,Mega Weekend Bonanza,64145.84,21,3054.56,537.81,4992.14
Clothing,Adidas,Churn Risk,Small Stores / Shops,Mid-Year Madness,71655.58,23,3115.46,914.83,4799.45
Clothing,Adidas,Churn Risk,Small Stores / Shops,Midnight Madness,38491.00,14,2749.36,571.70,4836.35
Clothing,Adidas,Churn Risk,Small Stores / Shops,Mystery Discount Days,80384.24,26,3091.70,1054.39,4674.41
Clothing,Adidas,Churn Risk,Small Stores / Shops,New Arrival Showcase,63729.72,21,3034.75,805.13,4992.69
Clothing,Adidas,Churn Risk,Small Stores / Shops,New Product Launch Promo,76232.24,26,2932.01,583.59,4815.75
