category,brand,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Mystery Discount Days,1793225.64,647,2771.60,500.17,4979.18
Clothing,Adidas,New Arrival Showcase,1849769.11,670,2760.85,501.06,4996.95
Clothing,Adidas,New Product Launch Promo,1776283.40,650,2732.74,500.83,4999.95
Clothing,Adidas,New Year Kickoff,1671290.90,638,2619.58,502.81,4991.46
Clothing,Adidas,Price Drop Parade,1770157.00,659,2686.13,503.07,4989.39
Clothing,Adidas,Red Tag Clearance,1867874.60,672,2779.58,517.61,4995.28
Clothing,Adidas,Seasonal Surprise Box,1796097.57,657,2733.79,500.11,4990.98
Clothing,Adidas,Shop & Save Spectacular,1812562.71,666,2721.57,511.32,4992.80
Clothing,Adidas,Smart Shopper Week,1790387.26,664,2696.37,507.97,4999.86
Clothing,Adidas,Spring Refresh Event,1886822.58,678,2782.92,515.97,4997.20
Clothing,Adidas,Spring Splash Discounts,1789271.59,666,2686.59,500.46,4996.95
Clothing,Adidas,Summer Sizzle Promo,1865051.23,682,2734.68,506.00,4998.80
Clothing,Adidas,Super Savings Week,1767859.31,648,2728.18,501.26,4998.86
Clothing,Adidas,Ultimate Value Event,1838925.21,664,2769.47,513.09,4998.36
Clothing,Adidas,VIP Access Sale,1874844.29,671,2794.10,506.38,4996.65
Clothing,Adidas,Weekend Warrior Specials,1882613.63,701,2685.61,501.72,4993.94
Clothing,Adidas,Winter Clearance Carnival,1827808.49,653,2799.09,510.29,4971.08
Clothing,Adidas,Winter Wonders Sale,1700351.37,643,2644.40,520.80,4996.30
Clothing,Levi's,12 Days of Deals,1844987.76,670,2753.71,500.37,4999.26
Clothing,Levi's,Autumn Deals Drive,1884870.27,688,2739.64,509.47,4992.45
Clothing,Levi's,BOGO Blitz,1936808.85,696,2782.77,503.91,4996.75
Clothing,Levi's,Back to School Boost,1648323.82,636,2591.70,502.44,4991.50
Clothing,Levi's,Birthday Bash Sale,1914174.05,696,2750.25,503.70,4997.36
Clothing,Levi's,Black Friday Blowout,1874363.84,676,2772.73,513.13,4997.07
Clothing,Levi's,Cart Crasher Campaign,1861269.59,663,2807.34,508.66,4996.24
Clothing,Levi's,Cashback Carnival,1908746.16,680,2806.98,508.75,4994.40
Clothing,Levi's,Clearance Countdown,1753372.43,649,2701.65,504.91,4995.43
Clothing,Levi's,Countdown to Savings,1822506.68,677,2692.03,504.03,4995.55
Clothing,Levi's,Customer Appreciation Week,1912301.60,675,2833.04,510.73,4984.88
Clothing,Levi's,Cyber Monday Mania,1978547.21,700,2826.50,502.02,4992.60
Clothing,Levi's,Deal of the Month,1826893.58,666,2743.08,502.13,4973.22
Clothing,Levi's,Double Points Bonanza,1796089.81,629,2855.47,500.63,4992.87
Clothing,Levi's,Early Bird Specials,1824149.58,677,2694.46,501.24,4988.14
Clothing,Levi's,End of Season Sale,1884512.29,682,2763.21,506.45,4984.90
Clothing,Levi's,Exclusive Insider Offers,1708966.11,640,2670.26,501.18,4997.63
Clothing,Levi's,Festive Fever Promo,1842713.84,679,2713.86,505.36,4981.97
Clothing,Levi's,Final Call Frenzy,1875729.64,683,2746.31,513.55,4994.06
Clothing,Levi's,Flash Frenzy Friday,1940506.28,700,2772.15,516.34,4989.81
Clothing,Levi's,"Gift More, Spend Less",1812865.88,666,2722.02,501.94,4985.89
Clothing,Levi's,Golden Hour Bargains,1836270.76,652,2816.37,508.91,4998.56
Clothing,Levi's,Green Weekend Deals,1770584.08,660,2682.70,527.72,4996.15
Clothing,Levi's,Happy Hour Discounts,1773929.49,638,2780.45,507.81,4994.57
Clothing,Levi's,Holiday Shopping Rush,1879528.23,681,2759.95,506.38,4992.50
Clothing,Levi's,Hot Picks Promo,1854742.43,681,2723.56,500.12,4999.60
Clothing,Levi's,Instant Gratification Sale,1858728.31,661,2811.99,501.81,4993.22
Clothing,Levi's,Limited Time Treasures,1798516.54,674,2668.42,504.55,4987.04
Clothing,Levi's,Loyalty Rewards Blast,2004565.26,701,2859.58,524.75,4996.42
Clothing,Levi's,Mega Weekend Bonanza,1776385.27,655,2712.04,500.60,4997.25
Clothing,Levi's,Mid-Year Madness,1845752.40,675,2734.45,506.96,4989.93
Clothing,Levi's,Midnight Madness,1808774.60,671,2695.64,508.22,4998.11
Clothing,Levi's,Mystery Discount Days,1747100.22,649,2691.99,502.13,4999.85
Clothing,Levi's,New Arrival Showcase,1837141.67,675,2721.69,500.17,4991.01
Clothing,Levi's,New Product Launch Promo,1795203.82,651,2757.61,500.27,4991.07
Clothing,Levi's,New Year Kickoff,1853260.15,674,2749.64,518.02,4991.55
Clothing,Levi's,Price Drop Parade,1769617.33,653,2709.98,506.33,4999.49
Clothing,Levi's,Red Tag Clearance,1969173.19,701,2809.09,501.14,4996.92
Clothing,Levi's,Seasonal Surprise Box,1860099.61,672,2768.01,505.81,4985.30
Clothing,Levi's,Shop & Save Spectacular,1941549.31,682,2846.85,500.33,4995.64
Clothing,Levi's,Smart Shopper Week,1754978.02,630,2785.68,501.31,4996.33
Clothing,Levi's,Spring Refresh Event,1809205.04,663,2728.82,501.02,4996.53
Clothing,Levi's,Spring Splash Discounts,1926751.89,684,2816.89,513.20,4998.97
Clothing,Levi's,Summer Sizzle Promo,1861820.22,682,2729.94,508.47,4995.49
Clothing,Levi's,Super Savings Week,1923048.51,669,2874.51,502.63,4987.82
Clothing,Levi's,Ultimate Value Event,1910953.78,689,2773.52,500.17,4987.96
Clothing,Levi's,VIP Access Sale,1892170.64,685,2762.29,507.92,4999.97
Clothing,Levi's,Weekend Warrior Specials,1721520.97,647,2660.77,503.41,4953.54
Clothing,Levi's,Winter Clearance Carnival,1767866.24,658,2686.73,505.16,4989.85
Clothing,Levi's,Winter Wonders Sale,1944919.72,725,2682.65,508.14,4999.21
Clothing,Nike,12 Days of Deals,1824766.85,665,2744.01,506.25,4996.81
Clothing,Nike,Autumn Deals Drive,1983224.54,707,2805.13,500.77,4999.75
Clothing,Nike,BOGO Blitz,1975423.99,687,2875.44,511.49,4998.67
Clothing,Nike,Back to School Boost,1932166.12,678,2849.80,500.65,4988.01
Clothing,Nike,Birthday Bash Sale,1805181.55,648,2785.77,501.20,4997.78
Clothing,Nike,Black Friday Blowout,1654476.35,604,2739.20,510.23,4992.36
Clothing,Nike,Cart Crasher Campaign,1899436.63,705,2694.24,501.15,4992.50
Clothing,Nike,Cashback Carnival,1804135.83,660,2733.54,500.72,4998.40
Clothing,Nike,Clearance Countdown,1884946.11,681,2767.91,508.53,4994.91
Clothing,Nike,Countdown to Savings,1876855.16,680,2760.08,501.71,4998.86
Clothing,Nike,Customer Appreciation Week,1877380.77,677,2773.09,504.64,4996.89
Clothing,Nike,Cyber Monday Mania,1858940.95,698,2663.24,502.07,4994.22
Clothing,Nike,Deal of the Month,1783197.82,658,2710.03,508.62,4992.66
Clothing,Nike,Double Points Bonanza,1926316.15,699,2755.82,511.97,4990.29
Clothing,Nike,Early Bird Specials,1886055.21,683,2761.43,501.20,4999.19
Clothing,Nike,End of Season Sale,1775137.74,674,2633.74,508.79,4995.12
Clothing,Nike,Exclusive Insider Offers,1855243.23,684,2712.34,500.29,4992.82
Clothing,Nike,Festive Fever Promo,1872509.20,675,2774.09,501.90,4995.75
Clothing,Nike,Final Call Frenzy,1912576.62,691,2767.84,501.48,4996.06
Clothing,Nike,Flash Frenzy Friday,1901126.14,681,2791.67,509.25,4998.23
Clothing,Nike,"Gift More, Spend Less",1613679.30,601,2684.99,505.29,4986.56
Clothing,Nike,Golden Hour Bargains,1900930.90,684,2779.14,506.14,4997.10
Clothing,Nike,Green Weekend Deals,1980157.39,708,2796.83,516.26,4999.01
Clothing,Nike,Happy Hour Discounts,1970602.18,696,2831.32,532.60,4997.02
Clothing,Nike,Holiday Shopping Rush,1747018.62,639,2733.99,501.97,4999.33
Clothing,Nike,Hot Picks Promo,1825716.65,662,2757.88,510.06,4997.81
Clothing,Nike,Instant Gratification Sale,1678367.50,607,2765.02,503.83,4998.85
Clothing,Nike,Limited Time Treasures,1978804.82,720,2748.34,513.15,4982.10
Clothing,Nike,Loyalty Rewards Blast,1840210.82,667,2758.94,500.82,4998.22
Clothing,Nike,Mega Weekend Bonanza,1913589.12,678,2822.40,504.47,4996.67
Clothing,Nike,Mid-Year Madness,1883885.56,681,2766.35,500.89,4994.34
Clothing,Nike,Midnight Madness,1933765.26,692,2794.46,501.63,4982.68
Clothing,Nike,Mystery Discount Days,1933054.28,686,2817.86,503.54,4993.88
Clothing,Nike,New Arrival Showcase,1842255.52,659,2795.53,508.18,4994.65
Clothing,Nike,New Product Launch Promo,1771673.34,622,2848.35,507.38,4997.47
Clothing,Nike,New Year Kickoff,1826315.35,655,2788.27,516.64,4987.30
Clothing,Nike,Price Drop Parade,1778848.52,661,2691.15,504.45,4998.25
Clothing,Nike,Red Tag Clearance,1679261.63,630,2665.49,502.58,4998.76
Clothing,Nike,Seasonal Surprise Box,1972140.77,710,2777.66,506.76,4996.55
Clothing,Nike,Shop & Save Spectacular,1902603.63,691,2753.41,500.14,4999.95
Clothing,Nike,Smart Shopper Week,1755786.66,630,2786.96,511.44,4993.60
Clothing,Nike,Spring Refresh Event,1837688.76,659,2788.60,500.43,4996.02
Clothing,Nike,Spring Splash Discounts,1754666.09,641,2737.39,505.94,4997.44
Clothing,Nike,Summer Sizzle Promo,1723500.50,650,2651.54,502.32,4997.93
Clothing,Nike,Super Savings Week,1791977.79,639,2804.35,518.08,4999.08
Clothing,Nike,Ultimate Value Event,1831771.37,662,2767.03,502.13,4999.12
Clothing,Nike,VIP Access Sale,1803762.20,665,2712.42,513.77,4990.46
Clothing,Nike,Weekend Warrior Specials,1790976.70,671,2669.12,508.00,4998.79
Clothing,Nike,Winter Clearance Carnival,1867279.08,665,2807.94,501.25,4999.04
Clothing,Nike,Winter Wonders Sale,1918195.99,696,2756.03,502.80,4991.55
Clothing,Puma,12 Days of Deals,1862225.63,670,2779.44,502.32,4999.40
Clothing,Puma,Autumn Deals Drive,1816820.73,641,2834.35,504.68,4977.29
Clothing,Puma,BOGO Blitz,1908864.48,696,2742.62,500.97,4991.71
Clothing,Puma,Back to School Boost,1705159.32,645,2643.66,507.03,4998.12
Clothing,Puma,Birthday Bash Sale,1870852.42,658,2843.24,505.09,4997.95
Clothing,Puma,Black Friday Blowout,1831544.39,673,2721.46,500.74,4996.19
Clothing,Puma,Cart Crasher Campaign,1768245.43,641,2758.57,513.28,4996.89
Clothing,Puma,Cashback Carnival,1758311.50,629,2795.41,509.31,4997.64
Clothing,Puma,Clearance Countdown,1916165.86,706,2714.12,513.63,4990.06
Clothing,Puma,Countdown to Savings,1790947.45,672,2665.10,504.64,4991.40
Clothing,Puma,Customer Appreciation Week,1805076.03,660,2734.96,503.51,4998.60
Clothing,Puma,Cyber Monday Mania,1778708.01,627,2836.85,527.15,4990.14
Clothing,Puma,Deal of the Month,1797329.81,659,2727.36,502.57,4999.45
Clothing,Puma,Double Points Bonanza,1924948.57,704,2734.30,503.93,4996.75
Clothing,Puma,Early Bird Specials,1846367.14,668,2764.02,505.07,4997.16
Clothing,Puma,End of Season Sale,1808744.20,638,2835.02,503.81,4999.17
Clothing,Puma,Exclusive Insider Offers,1765024.08,630,2801.63,500.07,4998.51
Clothing,Puma,Festive Fever Promo,1757678.84,656,2679.39,506.40,4998.89
Clothing,Puma,Final Call Frenzy,1903988.74,684,2783.61,505.58,4993.58
Clothing,Puma,Flash Frenzy Friday,1682788.94,633,2658.43,513.91,4996.58
Clothing,Puma,"Gift More, Spend Less",1955180.37,690,2833.59,504.71,4997.42
Clothing,Puma,Golden Hour Bargains,1893561.58,681,2780.56,500.57,4999.85
Clothing,Puma,Green Weekend Deals,1837234.85,656,2800.66,516.31,4999.98
Clothing,Puma,Happy Hour Discounts,1835427.50,680,2699.16,503.04,4990.90
Clothing,Puma,Holiday Shopping Rush,1907628.66,692,2756.69,505.46,4997.57
Clothing,Puma,Hot Picks Promo,1785410.32,635,2811.67,519.39,4984.66
Clothing,Puma,Instant Gratification Sale,1755725.18,647,2713.64,518.33,4969.22
Clothing,Puma,Limited Time Treasures,1844350.81,671,2748.66,504.90,4997.38
Clothing,Puma,Loyalty Rewards Blast,1707728.23,618,2763.31,508.40,4995.86
Clothing,Puma,Mega Weekend Bonanza,1969012.95,686,2870.28,503.43,4995.44
Clothing,Puma,Mid-Year Madness,1868400.36,685,2727.59,500.82,4998.11
Clothing,Puma,Midnight Madness,1882790.14,684,2752.62,503.57,4997.93
Clothing,Puma,Mystery Discount Days,1702461.72,647,2631.32,504.07,4980.68
Clothing,Puma,New Arrival Showcase,1701963.12,633,2688.73,506.85,4998.00
Clothing,Puma,New Product Launch Promo,1855739.42,666,2786.40,509.60,4988.38
Clothing,Puma,New Year Kickoff,1966160.03,699,2812.82,500.45,4994.72
Clothing,Puma,Price Drop Parade,1812445.57,671,2701.11,506.95,4999.68
Clothing,Puma,Red Tag Clearance,1783857.20,663,2690.58,502.12,4997.50
Clothing,Puma,Seasonal Surprise Box,1779952.54,631,2820.84,505.17,4996.71
Clothing,Puma,Shop & Save Spectacular,1942171.66,675,2877.29,500.18,4998.56
Clothing,Puma,Smart Shopper Week,1804433.11,661,2729.85,516.12,4997.07
Clothing,Puma,Spring Refresh Event,1854099.02,683,2714.64,517.03,4987.17
Clothing,Puma,Spring Splash Discounts,1785712.68,668,2673.22,500.66,4999.01
Clothing,Puma,Summer Sizzle Promo,1710869.04,606,2823.22,506.24,4998.14
Clothing,Puma,Super Savings Week,1803069.27,651,2769.69,505.75,4998.97
Clothing,Puma,Ultimate Value Event,1741883.54,641,2717.45,500.07,4994.01
Clothing,Puma,VIP Access Sale,1909391.38,705,2708.36,501.68,4996.77
Clothing,Puma,Weekend Warrior Specials,1925332.83,697,2762.31,508.77,4998.52
Clothing,Puma,Winter Clearance Carnival,1693078.57,618,2739.61,504.78,4993.54
Clothing,Puma,Winter Wonders Sale,1727400.81,650,2657.54,505.91,4977.17
Clothing,Zara,12 Days of Deals,1699255.33,637,2667.59,513.52,4958.04
Clothing,Zara,Autumn Deals Drive,1863759.99,689,2705.02,501.28,4992.31
Clothing,Zara,BOGO Blitz,1894983.21,686,2762.37,513.67,4999.45
Clothing,Zara,Back to School Boost,1726613.21,622,2775.91,506.82,4986.50
Clothing,Zara,Birthday Bash Sale,1721847.56,624,2759.37,506.06,4992.91
Clothing,Zara,Black Friday Blowout,1841164.36,653,2819.55,502.21,4989.75
Clothing,Zara,Cart Crasher Campaign,1777178.46,638,2785.55,512.62,4997.29
Clothing,Zara,Cashback Carnival,1702504.69,623,2732.75,505.92,4968.31
Clothing,Zara,Clearance Countdown,1887603.87,691,2731.70,500.46,4999.80
Clothing,Zara,Countdown to Savings,1807150.21,649,2784.51,503.90,4990.06
Clothing,Zara,Customer Appreciation Week,1902251.73,684,2781.07,505.57,4978.37
Clothing,Zara,Cyber Monday Mania,1709986.14,632,2705.67,521.44,4995.44
Clothing,Zara,Deal of the Month,1832402.71,667,2747.23,505.18,4994.87
Clothing,Zara,Double Points Bonanza,1870991.26,675,2771.84,504.72,4999.44
Clothing,Zara,Early Bird Specials,1898601.53,683,2779.80,506.63,4991.60
Clothing,Zara,End of Season Sale,1680453.29,627,2680.15,504.46,4993.28
Clothing,Zara,Exclusive Insider Offers,1879417.78,679,2767.92,500.32,4991.57
Clothing,Zara,Festive Fever Promo,1787723.22,666,2684.27,513.89,4991.64
Clothing,Zara,Final Call Frenzy,1683505.68,616,2732.96,501.00,4993.90
Clothing,Zara,Flash Frenzy Friday,1856792.38,672,2763.08,506.08,4993.36
Clothing,Zara,"Gift More, Spend Less",1901576.71,657,2894.33,503.15,4989.04
Clothing,Zara,Golden Hour Bargains,1811216.95,653,2773.69,501.59,4994.31
Clothing,Zara,Green Weekend Deals,1894396.92,692,2737.57,502.55,4992.17
Clothing,Zara,Happy Hour Discounts,1935354.95,695,2784.68,517.05,4990.80
Clothing,Zara,Holiday Shopping Rush,1645681.03,607,2711.17,503.29,4996.42
Clothing,Zara,Hot Picks Promo,1782031.71,644,2767.13,502.01,4989.52
Clothing,Zara,Instant Gratification Sale,1726377.75,637,2710.17,503.90,4997.44
Clothing,Zara,Limited Time Treasures,1815075.11,647,2805.37,506.89,4999.81
Clothing,Zara,Loyalty Rewards Blast,1929410.97,696,2772.14,525.22,4997.44
Clothing,Zara,Mega Weekend Bonanza,1767252.31,647,2731.46,512.13,4995.03
Clothing,Zara,Mid-Year Madness,1896387.12,692,2740.44,502.44,4997.54
Clothing,Zara,Midnight Madness,1842336.84,674,2733.44,500.50,4988.44
Clothing,Zara,Mystery Discount Days,1750471.21,645,2713.91,500.93,4998.98
Clothing,Zara,New Arrival Showcase,1898706.32,688,2759.75,506.65,4996.20
Clothing,Zara,New Product Launch Promo,1721145.70,659,2611.75,501.71,4992.60
Clothing,Zara,New Year Kickoff,1676395.62,615,2725.85,522.02,4992.69
Clothing,Zara,Price Drop Parade,1871057.41,681,2747.51,503.25,4995.75
Clothing,Zara,Red Tag Clearance,1928239.68,676,2852.43,516.38,4999.45
Clothing,Zara,Seasonal Surprise Box,1892635.60,691,2738.98,502.82,4988.87
Clothing,Zara,Shop & Save Spectacular,1826761.36,652,2801.78,501.24,4999.91
Clothing,Zara,Smart Shopper Week,1828121.71,648,2821.18,505.75,4999.73
Clothing,Zara,Spring Refresh Event,1764123.89,636,2773.78,506.20,4995.99
Clothing,Zara,Spring Splash Discounts,1729807.85,631,2741.38,505.77,4989.56
Clothing,Zara,Summer Sizzle Promo,1841007.06,665,2768.43,510.41,4998.58
Clothing,Zara,Super Savings Week,1627635.05,611,2663.89,505.22,4998.42
Clothing,Zara,Ultimate Value Event,1824738.12,664,2748.10,504.23,4999.82
Clothing,Zara,VIP Access Sale,1885633.76,667,2827.04,522.66,4999.71
Clothing,Zara,Weekend Warrior Specials,1877139.87,690,2720.49,502.76,4991.98
Clothing,Zara,Winter Clearance Carnival,1834317.66,648,2830.74,502.03,4994.24
Clothing,Zara,Winter Wonders Sale,1832920.92,672,2727.56,502.39,4971.63
Electronics,Apple,12 Days of Deals,1735598.19,647,2682.53,510.31,4987.59
Electronics,Apple,Autumn Deals Drive,1762668.52,634,2780.23,518.47,4985.10
Electronics,Apple,BOGO Blitz,1605914.19,607,2645.66,507.85,4998.43
Electronics,Apple,Back to School Boost,1779453.31,657,2708.45,501.01,4991.54
Electronics,Apple,Birthday Bash Sale,1844300.39,665,2773.38,504.53,4995.40
Electronics,Apple,Black Friday Blowout,1895043.16,699,2711.08,511.49,4994.08
Electronics,Apple,Cart Crasher Campaign,1872074.84,679,2757.11,508.39,4998.84
Electronics,Apple,Cashback Carnival,1800529.14,644,2795.85,500.55,4992.85
Electronics,Apple,Clearance Countdown,1819836.50,649,2804.06,510.87,4982.48
Electronics,Apple,Countdown to Savings,1815241.32,683,2657.75,500.60,4989.61
Electronics,Apple,Customer Appreciation Week,1871761.80,676,2768.88,507.42,4998.63
Electronics,Apple,Cyber Monday Mania,1803359.09,663,2720.00,518.12,4990.26
Electronics,Apple,Deal of the Month,1856866.23,661,2809.18,507.33,4999.96
Electronics,Apple,Double Points Bonanza,1642719.90,603,2724.25,500.80,4999.96
Electronics,Apple,Early Bird Specials,1709490.02,644,2654.49,503.12,4982.24
Electronics,Apple,End of Season Sale,1838754.05,665,2765.04,504.05,4997.96
Electronics,Apple,Exclusive Insider Offers,1901157.42,694,2739.42,526.79,4997.92
Electronics,Apple,Festive Fever Promo,1793902.21,653,2747.17,500.64,4994.26
Electronics,Apple,Final Call Frenzy,1829661.44,672,2722.71,500.25,4992.74
Electronics,Apple,Flash Frenzy Friday,1657452.68,615,2695.05,505.17,4990.29
Electronics,Apple,"Gift More, Spend Less",1693251.00,632,2679.19,508.46,4993.33
Electronics,Apple,Golden Hour Bargains,1755075.18,640,2742.30,502.34,4996.32
Electronics,Apple,Green Weekend Deals,1782631.89,640,2785.36,508.03,4999.77
Electronics,Apple,Happy Hour Discounts,1858785.90,665,2795.17,521.65,4993.94
Electronics,Apple,Holiday Shopping Rush,1790178.81,646,2771.17,500.26,4991.74
Electronics,Apple,Hot Picks Promo,1842840.73,661,2787.96,505.53,4995.24
Electronics,Apple,Instant Gratification Sale,1866136.68,696,2681.23,501.85,4996.98
Electronics,Apple,Limited Time Treasures,1840906.10,677,2719.21,502.69,4977.48
Electronics,Apple,Loyalty Rewards Blast,1875819.15,679,2762.62,508.20,4996.70
Electronics,Apple,Mega Weekend Bonanza,1829229.46,661,2767.37,504.97,4977.51
Electronics,Apple,Mid-Year Madness,1734590.46,626,2770.91,505.44,4993.10
Electronics,Apple,Midnight Madness,1846578.46,670,2756.09,514.32,4999.83
Electronics,Apple,Mystery Discount Days,1855722.40,649,2859.36,500.77,4996.73
Electronics,Apple,New Arrival Showcase,1892884.22,682,2775.49,508.74,4999.20
Electronics,Apple,New Product Launch Promo,1950268.70,730,2671.60,511.01,4989.38
Electronics,Apple,New Year Kickoff,1942070.89,700,2774.39,503.50,4996.42
Electronics,Apple,Price Drop Parade,1833918.10,657,2791.35,511.56,4996.99
Electronics,Apple,Red Tag Clearance,1825491.21,663,2753.38,501.68,4991.96
Electronics,Apple,Seasonal Surprise Box,1930084.49,703,2745.50,500.70,4997.26
Electronics,Apple,Shop & Save Spectacular,1852773.27,676,2740.79,503.16,4994.26
Electronics,Apple,Smart Shopper Week,1956030.42,706,2770.58,504.91,4999.52
Electronics,Apple,Spring Refresh Event,1960118.62,687,2853.16,509.24,4998.88
Electronics,Apple,Spring Splash Discounts,1841204.32,654,2815.30,508.55,4998.48
Electronics,Apple,Summer Sizzle Promo,1681496.25,614,2738.59,501.20,4995.70
Electronics,Apple,Super Savings Week,1814788.12,660,2749.68,527.66,4996.76
Electronics,Apple,Ultimate Value Event,1808430.69,644,2808.12,519.49,4999.80
Electronics,Apple,VIP Access Sale,1912329.92,695,2751.55,503.41,4994.23
Electronics,Apple,Weekend Warrior Specials,1813828.26,674,2691.14,506.54,4986.26
Electronics,Apple,Winter Clearance Carnival,1885940.05,708,2663.76,511.37,4995.16
Electronics,Apple,Winter Wonders Sale,1798998.19,653,2754.97,533.84,4991.72
Electronics,LG,12 Days of Deals,1669939.34,611,2733.12,513.13,4995.63
Electronics,LG,Autumn Deals Drive,1824323.85,660,2764.13,508.14,4999.09
Electronics,LG,BOGO Blitz,1855590.07,671,2765.41,501.56,4997.66
Electronics,LG,Back to School Boost,1842069.41,679,2712.92,502.18,4994.40
Electronics,LG,Birthday Bash Sale,1780801.51,663,2685.98,507.40,4977.64
Electronics,LG,Black Friday Blowout,1769218.42,649,2726.07,500.70,4994.38
Electronics,LG,Cart Crasher Campaign,1901138.10,700,2715.91,521.71,4988.50
Electronics,LG,Cashback Carnival,1829275.60,649,2818.61,509.88,4994.18
Electronics,LG,Clearance Countdown,1794239.56,671,2673.98,502.94,4998.50
Electronics,LG,Countdown to Savings,1815112.13,649,2796.78,500.75,4994.14
Electronics,LG,Customer Appreciation Week,1816303.35,674,2694.81,506.65,4992.17
Electronics,LG,Cyber Monday Mania,1878238.17,671,2799.16,507.37,4993.63
Electronics,LG,Deal of the Month,1762539.07,645,2732.62,504.72,4995.33
Electronics,LG,Double Points Bonanza,1832987.23,663,2764.69,514.43,4983.61
Electronics,LG,Early Bird Specials,1722750.50,626,2752.00,502.05,4992.90
Electronics,LG,End of Season Sale,1762425.97,634,2779.85,501.39,4997.26
Electronics,LG,Exclusive Insider Offers,1908237.63,681,2802.11,503.81,4994.95
Electronics,LG,Festive Fever Promo,1800871.96,655,2749.42,509.31,4996.41
Electronics,LG,Final Call Frenzy,1873542.06,676,2771.51,501.74,4995.31
Electronics,LG,Flash Frenzy Friday,1908977.00,685,2786.83,508.02,4994.20
Electronics,LG,"Gift More, Spend Less",1944501.58,690,2818.12,502.74,4993.14
Electronics,LG,Golden Hour Bargains,1843048.42,672,2742.63,506.54,4997.22
Electronics,LG,Green Weekend Deals,1739745.09,638,2726.87,502.12,4996.70
Electronics,LG,Happy Hour Discounts,1673116.24,597,2802.54,533.79,4997.26
Electronics,LG,Holiday Shopping Rush,1822524.59,661,2757.22,500.17,4995.77
Electronics,LG,Hot Picks Promo,1601379.05,591,2709.61,530.65,4996.56
Electronics,LG,Instant Gratification Sale,1867410.60,687,2718.21,508.23,4985.75
Electronics,LG,Limited Time Treasures,1794735.60,660,2719.30,507.04,4999.20
Electronics,LG,Loyalty Rewards Blast,1863797.44,678,2748.96,521.89,4992.76
Electronics,LG,Mega Weekend Bonanza,1864074.22,673,2769.80,505.91,4997.14
Electronics,LG,Mid-Year Madness,1833665.73,663,2765.71,501.40,4999.11
Electronics,LG,Midnight Madness,1747542.73,622,2809.55,505.99,4998.66
Electronics,LG,Mystery Discount Days,1919571.78,685,2802.29,501.23,4990.97
Electronics,LG,New Arrival Showcase,1912954.69,656,2916.09,507.24,4998.70
Electronics,LG,New Product Launch Promo,1889674.65,693,2726.80,501.76,4995.58
