category,brand,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Large Malls / Complexes,Manager,Smart Shopper Week,107293.87,43,2495.21,544.05,4985.85
Clothing,Adidas,Large Malls / Complexes,Manager,Spring Refresh Event,163979.56,57,2876.83,628.23,4985.02
Clothing,Adidas,Large Malls / Complexes,Manager,Spring Splash Discounts,139126.05,44,3161.96,541.50,4956.96
Clothing,Adidas,Large Malls / Complexes,Manager,Summer Sizzle Promo,185991.72,65,2861.41,544.24,4886.96
Clothing,Adidas,Large Malls / Complexes,Manager,Super Savings Week,169768.73,62,2738.21,528.70,4868.29
Clothing,Adidas,Large Malls / Complexes,Manager,Ultimate Value Event,121367.44,45,2697.05,513.09,4989.43
Clothing,Adidas,Large Malls / Complexes,Manager,VIP Access Sale,158776.71,55,2886.85,670.37,4863.14
Clothing,Adidas,Large Malls / Complexes,Manager,Weekend Warrior Specials,159025.56,61,2606.98,597.05,4861.83
Clothing,Adidas,Large Malls / Complexes,Manager,Winter Clearance Carnival,138144.59,49,2819.28,846.46,4846.08
Clothing,Adidas,Large Malls / Complexes,Manager,Winter Wonders Sale,117273.82,48,2443.20,609.64,4858.00
Clothing,Adidas,Large Malls / Complexes,Sales Associate,12 Days of Deals,151720.36,53,2862.65,600.40,4881.59
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Autumn Deals Drive,135097.24,47,2874.41,566.12,4982.16
Clothing,Adidas,Large Malls / Complexes,Sales Associate,BOGO Blitz,160574.27,56,2867.40,533.73,4998.71
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Back to School Boost,145406.95,54,2692.72,553.71,4833.06
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Birthday Bash Sale,170910.93,57,2998.44,709.52,4962.71
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Black Friday Blowout,171585.11,57,3010.27,507.51,4964.85
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Cart Crasher Campaign,141491.41,47,3010.46,555.02,4994.25
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Cashback Carnival,171153.71,63,2716.73,515.77,4971.77
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Clearance Countdown,193575.48,77,2513.97,503.83,4949.25
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Countdown to Savings,150331.23,54,2783.91,588.51,4877.45
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Customer Appreciation Week,145522.32,56,2598.61,510.44,4850.58
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Cyber Monday Mania,151409.58,52,2911.72,730.59,4923.88
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Deal of the Month,143792.15,52,2765.23,598.12,4950.00
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Double Points Bonanza,145290.85,59,2462.56,506.41,4995.71
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Early Bird Specials,154453.72,60,2574.23,564.44,4993.12
Clothing,Adidas,Large Malls / Complexes,Sales Associate,End of Season Sale,180934.23,60,3015.57,560.40,4765.37
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Exclusive Insider Offers,174437.25,58,3007.54,590.62,4975.61
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Festive Fever Promo,156921.24,56,2802.16,587.34,4951.48
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Final Call Frenzy,125517.96,48,2614.96,541.76,4978.28
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Flash Frenzy Friday,188352.44,64,2943.01,751.59,4938.82
Clothing,Adidas,Large Malls / Complexes,Sales Associate,"Gift More, Spend Less",116426.59,41,2839.67,712.70,4916.33
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Golden Hour Bargains,149102.28,53,2813.25,809.74,4999.76
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Green Weekend Deals,146859.29,57,2576.48,513.09,4999.76
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Happy Hour Discounts,127158.02,46,2764.30,538.74,4880.55
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Holiday Shopping Rush,164185.40,50,3283.71,737.90,4923.92
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Hot Picks Promo,146934.02,54,2721.00,763.55,4968.49
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Instant Gratification Sale,152430.97,52,2931.36,700.52,4997.63
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Limited Time Treasures,126229.53,49,2576.11,556.42,4815.62
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Loyalty Rewards Blast,129316.02,52,2486.85,505.10,4608.75
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Mega Weekend Bonanza,136533.89,51,2677.14,710.25,4880.72
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Mid-Year Madness,122658.75,46,2666.49,867.90,4725.46
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Midnight Madness,121981.69,47,2595.36,512.27,4913.45
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Mystery Discount Days,180103.03,59,3052.59,836.88,4976.22
Clothing,Adidas,Large Malls / Complexes,Sales Associate,New Arrival Showcase,120570.78,48,2511.89,562.25,4692.50
Clothing,Adidas,Large Malls / Complexes,Sales Associate,New Product Launch Promo,148184.20,54,2744.15,500.83,4916.75
Clothing,Adidas,Large Malls / Complexes,Sales Associate,New Year Kickoff,135697.51,58,2339.61,559.40,4991.46
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Price Drop Parade,109540.38,41,2671.72,595.28,4813.57
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Red Tag Clearance,145723.72,51,2857.33,536.59,4935.44
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Seasonal Surprise Box,151891.79,55,2761.67,633.45,4973.71
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Shop & Save Spectacular,180422.46,66,2733.67,554.78,4992.75
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Smart Shopper Week,195736.91,72,2718.57,588.12,4925.47
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Spring Refresh Event,139836.72,47,2975.25,647.98,4944.47
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Spring Splash Discounts,138376.98,57,2427.67,535.63,4933.73
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Summer Sizzle Promo,159674.48,54,2956.93,506.00,4982.52
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Super Savings Week,133128.69,48,2773.51,522.46,4947.53
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Ultimate Value Event,139743.56,54,2587.84,604.40,4948.39
Clothing,Adidas,Large Malls / Complexes,Sales Associate,VIP Access Sale,122978.16,41,2999.47,690.46,4942.86
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Weekend Warrior Specials,185386.75,67,2766.97,556.93,4872.44
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Winter Clearance Carnival,152910.83,57,2682.65,640.45,4910.99
Clothing,Adidas,Large Malls / Complexes,Sales Associate,Winter Wonders Sale,157317.06,61,2578.97,573.86,4828.82
Clothing,Adidas,Large Malls / Complexes,Salesperson,12 Days of Deals,145340.77,58,2505.88,611.16,4954.87
Clothing,Adidas,Large Malls / Complexes,Salesperson,Autumn Deals Drive,135793.11,48,2829.02,560.46,4981.81
Clothing,Adidas,Large Malls / Complexes,Salesperson,BOGO Blitz,190339.13,69,2758.54,565.98,4914.72
Clothing,Adidas,Large Malls / Complexes,Salesperson,Back to School Boost,152251.85,57,2671.09,551.27,4933.66
Clothing,Adidas,Large Malls / Complexes,Salesperson,Birthday Bash Sale,164477.46,57,2885.57,526.11,4957.03
Clothing,Adidas,Large Malls / Complexes,Salesperson,Black Friday Blowout,148658.14,54,2752.93,643.44,4880.99
Clothing,Adidas,Large Malls / Complexes,Salesperson,Cart Crasher Campaign,157445.95,61,2581.08,555.57,4942.50
Clothing,Adidas,Large Malls / Complexes,Salesperson,Cashback Carnival,158925.01,57,2788.16,531.84,4944.52
Clothing,Adidas,Large Malls / Complexes,Salesperson,Clearance Countdown,149620.77,58,2579.67,505.52,4995.33
Clothing,Adidas,Large Malls / Complexes,Salesperson,Countdown to Savings,161042.58,57,2825.31,681.12,4823.19
Clothing,Adidas,Large Malls / Complexes,Salesperson,Customer Appreciation Week,166147.16,65,2556.11,548.99,4923.75
Clothing,Adidas,Large Malls / Complexes,Salesperson,Cyber Monday Mania,147327.13,49,3006.68,770.58,4986.44
Clothing,Adidas,Large Malls / Complexes,Salesperson,Deal of the Month,147103.88,54,2724.15,586.82,4845.59
Clothing,Adidas,Large Malls / Complexes,Salesperson,Double Points Bonanza,129190.54,45,2870.90,530.30,4951.31
Clothing,Adidas,Large Malls / Complexes,Salesperson,Early Bird Specials,194139.05,68,2854.99,567.13,4884.01
Clothing,Adidas,Large Malls / Complexes,Salesperson,End of Season Sale,147201.68,55,2676.39,553.90,4997.48
Clothing,Adidas,Large Malls / Complexes,Salesperson,Exclusive Insider Offers,157618.79,56,2814.62,645.09,4850.81
Clothing,Adidas,Large Malls / Complexes,Salesperson,Festive Fever Promo,150158.76,59,2545.06,532.59,4945.80
Clothing,Adidas,Large Malls / Complexes,Salesperson,Final Call Frenzy,152705.71,55,2776.47,549.65,4972.71
Clothing,Adidas,Large Malls / Complexes,Salesperson,Flash Frenzy Friday,172711.80,61,2831.34,742.62,4866.55
Clothing,Adidas,Large Malls / Complexes,Salesperson,"Gift More, Spend Less",140320.07,52,2698.46,532.59,4932.16
Clothing,Adidas,Large Malls / Complexes,Salesperson,Golden Hour Bargains,151263.46,54,2801.18,548.12,4903.76
Clothing,Adidas,Large Malls / Complexes,Salesperson,Green Weekend Deals,169889.11,60,2831.49,560.33,4926.07
Clothing,Adidas,Large Malls / Complexes,Salesperson,Happy Hour Discounts,130610.42,45,2902.45,510.62,4929.09
Clothing,Adidas,Large Malls / Complexes,Salesperson,Holiday Shopping Rush,131531.30,47,2798.54,548.15,4952.54
Clothing,Adidas,Large Malls / Complexes,Salesperson,Hot Picks Promo,157706.31,58,2719.07,544.41,4964.05
Clothing,Adidas,Large Malls / Complexes,Salesperson,Instant Gratification Sale,189618.86,67,2830.13,542.57,4966.50
Clothing,Adidas,Large Malls / Complexes,Salesperson,Limited Time Treasures,110419.35,40,2760.48,664.85,4856.99
Clothing,Adidas,Large Malls / Complexes,Salesperson,Loyalty Rewards Blast,150442.67,55,2735.32,635.75,4971.34
Clothing,Adidas,Large Malls / Complexes,Salesperson,Mega Weekend Bonanza,130218.34,47,2770.60,722.03,4915.82
Clothing,Adidas,Large Malls / Complexes,Salesperson,Mid-Year Madness,125456.57,47,2669.29,524.32,4989.23
Clothing,Adidas,Large Malls / Complexes,Salesperson,Midnight Madness,194762.54,71,2743.13,752.44,4952.37
Clothing,Adidas,Large Malls / Complexes,Salesperson,Mystery Discount Days,157542.04,62,2541.00,530.68,4922.26
Clothing,Adidas,Large Malls / Complexes,Salesperson,New Arrival Showcase,176285.03,65,2712.08,513.68,4835.49
Clothing,Adidas,Large Malls / Complexes,Salesperson,New Product Launch Promo,120496.00,45,2677.69,604.73,4999.95
Clothing,Adidas,Large Malls / Complexes,Salesperson,New Year Kickoff,174778.74,66,2648.16,529.76,4944.43
Clothing,Adidas,Large Malls / Complexes,Salesperson,Price Drop Parade,136211.20,57,2389.67,511.21,4952.76
Clothing,Adidas,Large Malls / Complexes,Salesperson,Red Tag Clearance,131651.23,50,2633.02,517.61,4965.93
Clothing,Adidas,Large Malls / Complexes,Salesperson,Seasonal Surprise Box,114126.01,43,2654.09,558.77,4919.41
Clothing,Adidas,Large Malls / Complexes,Salesperson,Shop & Save Spectacular,123208.67,47,2621.46,547.57,4948.15
Clothing,Adidas,Large Malls / Complexes,Salesperson,Smart Shopper Week,176618.15,64,2759.66,684.11,4998.23
Clothing,Adidas,Large Malls / Complexes,Salesperson,Spring Refresh Event,190642.90,61,3125.29,567.95,4985.65
Clothing,Adidas,Large Malls / Complexes,Salesperson,Spring Splash Discounts,126498.28,46,2749.96,659.72,4911.84
Clothing,Adidas,Large Malls / Complexes,Salesperson,Summer Sizzle Promo,165613.24,62,2671.18,508.62,4958.89
Clothing,Adidas,Large Malls / Complexes,Salesperson,Super Savings Week,168706.83,59,2859.44,813.91,4949.70
Clothing,Adidas,Large Malls / Complexes,Salesperson,Ultimate Value Event,205708.88,71,2897.31,593.54,4924.78
Clothing,Adidas,Large Malls / Complexes,Salesperson,VIP Access Sale,130907.93,45,2909.07,647.10,4878.93
Clothing,Adidas,Large Malls / Complexes,Salesperson,Weekend Warrior Specials,154190.12,56,2753.39,606.68,4986.59
Clothing,Adidas,Large Malls / Complexes,Salesperson,Winter Clearance Carnival,122704.31,44,2788.73,709.73,4926.80
Clothing,Adidas,Large Malls / Complexes,Salesperson,Winter Wonders Sale,165811.61,58,2858.82,592.93,4680.71
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,12 Days of Deals,127368.08,50,2547.36,501.08,4972.86
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Autumn Deals Drive,142348.65,51,2791.15,644.22,4973.92
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,BOGO Blitz,147363.34,54,2728.95,523.98,4973.52
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Back to School Boost,167605.04,58,2889.74,518.87,4831.00
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Birthday Bash Sale,126929.71,47,2700.63,551.32,4876.32
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Black Friday Blowout,136469.16,52,2624.41,557.08,4927.04
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Cart Crasher Campaign,110673.09,39,2837.77,540.89,4875.30
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Cashback Carnival,99640.61,42,2372.40,502.29,4648.21
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Clearance Countdown,113190.23,40,2829.76,632.15,4946.32
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Countdown to Savings,87851.21,31,2833.91,643.83,4863.05
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Customer Appreciation Week,123031.32,39,3154.65,1146.52,4994.47
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Cyber Monday Mania,123810.93,49,2526.75,595.60,4974.49
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Deal of the Month,135981.66,47,2893.23,1104.62,4843.72
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Double Points Bonanza,162873.42,54,3016.17,544.68,4970.84
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Early Bird Specials,129718.79,45,2882.64,705.18,4974.35
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,End of Season Sale,153139.48,54,2835.92,511.79,4917.49
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Exclusive Insider Offers,169264.91,56,3022.59,632.86,4984.33
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Festive Fever Promo,136680.26,42,3254.29,948.31,4866.12
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Final Call Frenzy,104588.39,38,2752.33,541.65,4878.43
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Flash Frenzy Friday,98293.90,42,2340.33,519.52,4847.04
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,"Gift More, Spend Less",108776.84,39,2789.15,592.28,4887.62
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Golden Hour Bargains,129525.05,44,2943.75,523.61,4823.68
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Green Weekend Deals,87744.78,36,2437.36,579.31,4981.60
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Happy Hour Discounts,133284.28,48,2776.76,535.53,4994.51
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Holiday Shopping Rush,150426.71,55,2735.03,562.80,4973.96
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Hot Picks Promo,125575.94,41,3062.83,916.49,4906.93
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Instant Gratification Sale,157962.32,56,2820.76,522.75,4914.08
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Limited Time Treasures,133584.61,50,2671.69,528.37,4974.22
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Loyalty Rewards Blast,127594.27,47,2714.77,665.25,4941.01
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Mega Weekend Bonanza,112041.94,39,2872.87,537.88,4966.53
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Mid-Year Madness,144058.94,53,2718.09,502.00,4665.77
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Midnight Madness,119747.65,41,2920.67,622.45,4895.08
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Mystery Discount Days,146168.26,49,2983.03,571.48,4974.10
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,New Arrival Showcase,116544.24,42,2774.86,518.13,4899.81
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,New Product Launch Promo,108144.21,45,2403.20,579.48,4664.69
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,New Year Kickoff,100758.43,40,2518.96,580.07,4879.97
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Price Drop Parade,127446.40,48,2655.13,551.97,4989.39
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Red Tag Clearance,126684.38,46,2754.01,613.52,4905.92
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Seasonal Surprise Box,137216.60,53,2588.99,500.11,4758.56
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Shop & Save Spectacular,119251.89,42,2839.33,567.82,4922.04
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Smart Shopper Week,94680.29,41,2309.28,582.62,4999.86
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Spring Refresh Event,130629.45,50,2612.59,593.67,4917.83
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Spring Splash Discounts,133026.30,46,2891.88,765.36,4944.52
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Summer Sizzle Promo,168285.29,58,2901.47,604.71,4984.71
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Super Savings Week,150554.92,56,2688.48,705.08,4986.46
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Ultimate Value Event,126527.32,51,2480.93,517.57,4760.39
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,VIP Access Sale,128792.53,47,2740.27,720.41,4920.58
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Weekend Warrior Specials,157510.66,57,2763.34,542.70,4936.89
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Winter Clearance Carnival,132878.71,48,2768.31,526.71,4863.15
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,Winter Wonders Sale,123829.33,47,2634.67,528.79,4969.49
Clothing,Adidas,Small Stores / Shops,Manager,12 Days of Deals,158966.38,52,3057.05,585.70,4987.39
Clothing,Adidas,Small Stores / Shops,Manager,Autumn Deals Drive,175390.23,69,2541.89,518.04,4992.48
Clothing,Adidas,Small Stores / Shops,Manager,BOGO Blitz,161697.96,58,2787.90,500.64,4991.38
Clothing,Adidas,Small Stores / Shops,Manager,Back to School Boost,168133.54,62,2711.83,593.48,4815.76
Clothing,Adidas,Small Stores / Shops,Manager,Birthday Bash Sale,135839.71,47,2890.21,556.02,4893.86
Clothing,Adidas,Small Stores / Shops,Manager,Black Friday Blowout,136456.76,55,2481.03,574.29,4833.73
Clothing,Adidas,Small Stores / Shops,Manager,Cart Crasher Campaign,130377.42,53,2459.95,530.26,4782.45
Clothing,Adidas,Small Stores / Shops,Manager,Cashback Carnival,169408.05,60,2823.47,638.86,4924.41
Clothing,Adidas,Small Stores / Shops,Manager,Clearance Countdown,112700.77,43,2620.95,563.58,4981.95
Clothing,Adidas,Small Stores / Shops,Manager,Countdown to Savings,152237.12,51,2985.04,633.76,4992.78
Clothing,Adidas,Small Stores / Shops,Manager,Customer Appreciation Week,155618.81,55,2829.43,628.66,4970.25
Clothing,Adidas,Small Stores / Shops,Manager,Cyber Monday Mania,141475.42,51,2774.03,676.18,4990.88
Clothing,Adidas,Small Stores / Shops,Manager,Deal of the Month,144022.49,50,2880.45,598.75,4749.08
Clothing,Adidas,Small Stores / Shops,Manager,Double Points Bonanza,170740.66,66,2586.98,514.48,4943.69
Clothing,Adidas,Small Stores / Shops,Manager,Early Bird Specials,160872.66,60,2681.21,556.33,4995.32
Clothing,Adidas,Small Stores / Shops,Manager,End of Season Sale,186144.28,64,2908.50,543.01,4893.43
Clothing,Adidas,Small Stores / Shops,Manager,Exclusive Insider Offers,126583.65,41,3087.41,537.01,4941.12
Clothing,Adidas,Small Stores / Shops,Manager,Festive Fever Promo,150640.44,49,3074.29,516.42,4884.78
Clothing,Adidas,Small Stores / Shops,Manager,Final Call Frenzy,136351.89,53,2572.68,550.77,4792.71
Clothing,Adidas,Small Stores / Shops,Manager,Flash Frenzy Friday,156587.10,57,2747.14,584.15,4901.30
Clothing,Adidas,Small Stores / Shops,Manager,"Gift More, Spend Less",140867.56,49,2874.85,546.51,4988.68
Clothing,Adidas,Small Stores / Shops,Manager,Golden Hour Bargains,158842.76,62,2561.98,578.37,4972.07
Clothing,Adidas,Small Stores / Shops,Manager,Green Weekend Deals,164067.92,60,2734.47,522.76,4973.68
Clothing,Adidas,Small Stores / Shops,Manager,Happy Hour Discounts,127896.02,48,2664.50,515.80,4830.20
Clothing,Adidas,Small Stores / Shops,Manager,Holiday Shopping Rush,164934.30,58,2843.69,622.51,4749.64
Clothing,Adidas,Small Stores / Shops,Manager,Hot Picks Promo,141669.49,52,2724.41,523.47,4982.12
Clothing,Adidas,Small Stores / Shops,Manager,Instant Gratification Sale,115487.93,43,2685.77,564.93,4963.10
Clothing,Adidas,Small Stores / Shops,Manager,Limited Time Treasures,174365.53,62,2812.35,571.04,4901.98
Clothing,Adidas,Small Stores / Shops,Manager,Loyalty Rewards Blast,185563.07,65,2854.82,534.09,4872.86
Clothing,Adidas,Small Stores / Shops,Manager,Mega Weekend Bonanza,168784.22,59,2860.75,537.81,4996.59
Clothing,Adidas,Small Stores / Shops,Manager,Mid-Year Madness,162757.53,59,2758.60,548.03,4896.51
Clothing,Adidas,Small Stores / Shops,Manager,Midnight Madness,123682.70,48,2576.72,571.70,4640.95
Clothing,Adidas,Small Stores / Shops,Manager,Mystery Discount Days,116352.06,48,2424.00,500.17,4967.22
Clothing,Adidas,Small Stores / Shops,Manager,New Arrival Showcase,154045.47,54,2852.69,501.06,4978.03
Clothing,Adidas,Small Stores / Shops,Manager,New Product Launch Promo,203867.32,73,2792.70,541.28,4979.03
Clothing,Adidas,Small Stores / Shops,Manager,New Year Kickoff,116770.23,46,2538.48,699.16,4860.73
Clothing,Adidas,Small Stores / Shops,Manager,Price Drop Parade,170892.33,59,2896.48,536.82,4852.15
Clothing,Adidas,Small Stores / Shops,Manager,Red Tag Clearance,156537.40,56,2795.31,534.18,4995.28
