brand,customer_segment,store_type,sum_amount,count,avg_amount,min_amount,max_amount
Bosch,In-Store Regular,Large Malls / Complexes,2765288.42,1004,2754.27,503.66,4998.96
Bosch,In-Store Regular,Small Stores / Shops,3048157.05,1113,2738.69,506.06,4994.91
Bosch,In-Store Regular,Supermarkets ,3191371.23,1177,2711.45,501.78,4992.03
Bosch,Loyal Customer,Large Malls / Complexes,2562355.09,980,2614.65,504.89,4998.58
Bosch,Loyal Customer,Small Stores / Shops,2975054.77,1091,2726.91,504.44,4995.11
Bosch,Loyal Customer,Supermarkets ,3145560.86,1142,2754.43,502.78,4999.32
Bosch,Occasional Shopper,Large Malls / Complexes,2982978.55,1085,2749.29,505.55,4998.02
Bosch,Occasional Shopper,Small Stores / Shops,3097162.38,1127,2748.15,502.76,4986.82
Bosch,Occasional Shopper,Supermarkets ,2975283.45,1104,2695.00,500.65,4995.57
Bosch,Online Shopper,Large Malls / Complexes,2979847.23,1093,2726.30,503.05,4996.64
Bosch,Online Shopper,Small Stores / Shops,3078386.66,1150,2676.86,504.93,4991.17
Bosch,Online Shopper,Supermarkets ,3381650.23,1239,2729.34,501.02,4991.75
Bosch,Premium Shopper,Large Malls / Complexes,2784864.48,1021,2727.59,501.60,4999.74
Bosch,Premium Shopper,Small Stores / Shops,2940337.26,1074,2737.74,506.17,4998.02
Bosch,Premium Shopper,Supermarkets ,3212516.66,1173,2738.72,503.29,4994.98
Britannia,Budget Shopper,Large Malls / Complexes,2839360.95,1047,2711.90,502.18,4999.95
Britannia,Budget Shopper,Small Stores / Shops,2958010.91,1108,2669.68,503.39,4995.11
Britannia,Budget Shopper,Supermarkets ,3120469.20,1124,2776.22,508.29,4999.16
Britannia,Churn Risk,Large Malls / Complexes,2808849.75,1062,2644.87,502.48,4996.21
Britannia,Churn Risk,Small Stores / Shops,3134188.73,1130,2773.62,500.75,4996.15
Britannia,Churn Risk,Supermarkets ,3055858.59,1105,2765.48,503.77,4991.20
Britannia,Deal Seeker,Large Malls / Complexes,2866548.09,1049,2732.65,504.74,4994.32
Britannia,Deal Seeker,Small Stores / Shops,2993104.38,1077,2779.11,501.28,4978.21
Britannia,Deal Seeker,Supermarkets ,2990710.47,1123,2663.14,507.70,4991.55
Britannia,First-time Buyer,Large Malls / Complexes,2912199.44,1043,2792.14,510.46,4997.76
Britannia,First-time Buyer,Small Stores / Shops,3001577.45,1087,2761.34,500.94,4999.83
Britannia,First-time Buyer,Supermarkets ,3081720.58,1118,2756.46,510.77,4997.17
Britannia,High Value,Large Malls / Complexes,2825550.80,1040,2716.88,504.57,4998.87
Britannia,High Value,Small Stores / Shops,3240853.44,1153,2810.80,504.09,4998.29
Britannia,High Value,Supermarkets ,3439353.99,1259,2731.81,504.60,4994.27
Britannia,In-Store Regular,Large Malls / Complexes,2846858.84,1036,2747.93,504.42,4999.35
Britannia,In-Store Regular,Small Stores / Shops,3066038.96,1127,2720.53,514.06,4994.43
Britannia,In-Store Regular,Supermarkets ,3256662.13,1194,2727.52,504.64,4995.93
Britannia,Loyal Customer,Large Malls / Complexes,2774262.89,1004,2763.21,503.85,4999.40
Britannia,Loyal Customer,Small Stores / Shops,2928643.35,1064,2752.48,503.24,4994.82
Britannia,Loyal Customer,Supermarkets ,3357081.62,1181,2842.58,505.29,4995.73
Britannia,Occasional Shopper,Large Malls / Complexes,2637981.79,979,2694.57,509.45,4999.21
Britannia,Occasional Shopper,Small Stores / Shops,3150627.51,1123,2805.55,500.43,4996.56
Britannia,Occasional Shopper,Supermarkets ,3180916.71,1175,2707.16,500.56,4981.10
Britannia,Online Shopper,Large Malls / Complexes,2733243.49,990,2760.85,505.12,4996.20
Britannia,Online Shopper,Small Stores / Shops,3182000.83,1154,2757.37,500.65,4997.84
Britannia,Online Shopper,Supermarkets ,3122373.28,1157,2698.68,503.33,4993.28
Britannia,Premium Shopper,Large Malls / Complexes,2902716.61,1049,2767.13,500.98,4998.94
Britannia,Premium Shopper,Small Stores / Shops,2981219.95,1115,2673.74,500.31,4996.87
Britannia,Premium Shopper,Supermarkets ,2996409.99,1113,2692.19,518.95,4992.34
Decathlon,Budget Shopper,Large Malls / Complexes,2905482.89,1057,2748.80,500.42,4995.72
Decathlon,Budget Shopper,Small Stores / Shops,2982495.79,1113,2679.69,500.51,4990.77
Decathlon,Budget Shopper,Supermarkets ,3211470.51,1176,2730.84,500.42,4995.51
Decathlon,Churn Risk,Large Malls / Complexes,2889497.04,1027,2813.53,500.56,4995.47
Decathlon,Churn Risk,Small Stores / Shops,3138603.23,1133,2770.17,503.63,4997.07
Decathlon,Churn Risk,Supermarkets ,3200191.27,1166,2744.59,504.21,4992.77
Decathlon,Deal Seeker,Large Malls / Complexes,2814743.58,1040,2706.48,501.01,4995.74
Decathlon,Deal Seeker,Small Stores / Shops,3081608.82,1126,2736.78,502.58,4991.22
Decathlon,Deal Seeker,Supermarkets ,3015282.20,1104,2731.23,500.46,4999.49
Decathlon,First-time Buyer,Large Malls / Complexes,2746086.53,1007,2727.00,501.68,4997.18
Decathlon,First-time Buyer,Small Stores / Shops,3059418.37,1103,2773.72,502.80,4999.25
Decathlon,First-time Buyer,Supermarkets ,3251267.72,1184,2746.00,500.09,4990.55
Decathlon,High Value,Large Malls / Complexes,2848792.41,1032,2760.46,514.08,4985.56
Decathlon,High Value,Small Stores / Shops,3220853.70,1154,2791.03,500.22,4998.94
Decathlon,High Value,Supermarkets ,3409971.14,1240,2749.98,500.15,4999.05
Decathlon,In-Store Regular,Large Malls / Complexes,2859193.42,1026,2786.74,501.50,4997.59
Decathlon,In-Store Regular,Small Stores / Shops,3218798.59,1133,2840.95,504.84,4997.58
Decathlon,In-Store Regular,Supermarkets ,3074564.35,1118,2750.06,509.28,4999.77
Decathlon,Loyal Customer,Large Malls / Complexes,2869884.14,1051,2730.62,501.43,4996.95
Decathlon,Loyal Customer,Small Stores / Shops,3186363.52,1143,2787.72,507.87,4993.65
Decathlon,Loyal Customer,Supermarkets ,3094916.28,1127,2746.15,506.01,4988.23
Decathlon,Occasional Shopper,Large Malls / Complexes,2847449.71,1046,2722.23,500.07,4986.55
Decathlon,Occasional Shopper,Small Stores / Shops,3097248.17,1127,2748.22,500.39,4997.17
Decathlon,Occasional Shopper,Supermarkets ,3346194.31,1223,2736.05,501.49,4996.60
Decathlon,Online Shopper,Large Malls / Complexes,3091902.38,1112,2780.49,502.34,4998.97
Decathlon,Online Shopper,Small Stores / Shops,3058059.80,1128,2711.05,500.15,4997.16
Decathlon,Online Shopper,Supermarkets ,3127886.91,1135,2755.85,501.48,4999.97
Decathlon,Premium Shopper,Large Malls / Complexes,2720363.75,1004,2709.53,516.63,4994.28
Decathlon,Premium Shopper,Small Stores / Shops,3152080.59,1147,2748.11,500.23,4995.64
Decathlon,Premium Shopper,Supermarkets ,3130747.92,1167,2682.73,500.60,4997.72
Godrej Interio,Budget Shopper,Large Malls / Complexes,2880349.31,1064,2707.10,508.66,4999.77
Godrej Interio,Budget Shopper,Small Stores / Shops,3071639.85,1140,2694.42,502.47,4987.15
Godrej Interio,Budget Shopper,Supermarkets ,3158868.20,1133,2788.06,501.67,4999.39
Godrej Interio,Churn Risk,Large Malls / Complexes,2790122.96,1048,2662.33,516.15,4997.24
Godrej Interio,Churn Risk,Small Stores / Shops,3084463.05,1136,2715.20,503.75,4999.20
Godrej Interio,Churn Risk,Supermarkets ,3142001.43,1146,2741.71,503.48,4996.09
Godrej Interio,Deal Seeker,Large Malls / Complexes,2966690.91,1081,2744.39,505.24,4998.98
Godrej Interio,Deal Seeker,Small Stores / Shops,3042357.60,1131,2689.97,501.02,4999.40
Godrej Interio,Deal Seeker,Supermarkets ,3163310.75,1160,2726.99,503.19,4995.00
Godrej Interio,First-time Buyer,Large Malls / Complexes,2832812.17,1027,2758.34,500.38,4999.65
Godrej Interio,First-time Buyer,Small Stores / Shops,3150762.35,1145,2751.76,504.88,4991.93
Godrej Interio,First-time Buyer,Supermarkets ,3142130.53,1165,2697.11,503.30,4999.17
Godrej Interio,High Value,Large Malls / Complexes,2915668.94,1060,2750.63,505.18,4998.10
Godrej Interio,High Value,Small Stores / Shops,3094486.71,1130,2738.48,531.93,4994.56
Godrej Interio,High Value,Supermarkets ,3151492.87,1147,2747.60,504.51,4998.80
Godrej Interio,In-Store Regular,Large Malls / Complexes,2850976.20,1017,2803.32,500.68,4994.01
Godrej Interio,In-Store Regular,Small Stores / Shops,3021212.08,1116,2707.18,500.57,4989.70
Godrej Interio,In-Store Regular,Supermarkets ,3195924.08,1191,2683.40,505.38,4995.77
Godrej Interio,Loyal Customer,Large Malls / Complexes,2863803.21,1029,2783.09,502.50,4994.08
Godrej Interio,Loyal Customer,Small Stores / Shops,3198210.06,1165,2745.24,503.81,4997.34
Godrej Interio,Loyal Customer,Supermarkets ,3172613.26,1144,2773.26,508.28,4996.61
Godrej Interio,Occasional Shopper,Large Malls / Complexes,2842652.78,1047,2715.05,501.14,4994.03
Godrej Interio,Occasional Shopper,Small Stores / Shops,2937974.87,1075,2733.00,504.08,4999.44
Godrej Interio,Occasional Shopper,Supermarkets ,3162217.88,1160,2726.05,503.68,4997.96
Godrej Interio,Online Shopper,Large Malls / Complexes,3004838.64,1054,2850.89,500.23,4996.98
Godrej Interio,Online Shopper,Small Stores / Shops,3100587.61,1151,2693.82,502.89,4998.57
Godrej Interio,Online Shopper,Supermarkets ,3415926.85,1243,2748.13,502.59,4995.74
Godrej Interio,Premium Shopper,Large Malls / Complexes,2855419.62,1021,2796.69,502.26,4999.01
Godrej Interio,Premium Shopper,Small Stores / Shops,3033945.21,1088,2788.55,501.02,4992.08
Godrej Interio,Premium Shopper,Supermarkets ,3032486.53,1116,2717.28,503.67,4990.23
Haier,Budget Shopper,Large Malls / Complexes,2824719.00,1031,2739.79,504.57,4997.58
Haier,Budget Shopper,Small Stores / Shops,3172006.91,1154,2748.71,500.92,4993.37
Haier,Budget Shopper,Supermarkets ,3072837.46,1104,2783.37,509.77,4998.49
Haier,Churn Risk,Large Malls / Complexes,2853256.61,1027,2778.24,500.36,4991.85
Haier,Churn Risk,Small Stores / Shops,3128648.32,1141,2742.02,500.57,4998.05
Haier,Churn Risk,Supermarkets ,3169424.36,1164,2722.87,500.39,4998.82
Haier,Deal Seeker,Large Malls / Complexes,2806372.25,1046,2682.96,503.14,4996.75
Haier,Deal Seeker,Small Stores / Shops,2999191.59,1104,2716.66,500.05,4985.81
Haier,Deal Seeker,Supermarkets ,3401552.57,1245,2732.17,510.03,4999.84
Haier,First-time Buyer,Large Malls / Complexes,2852836.97,1032,2764.38,508.15,4997.95
Haier,First-time Buyer,Small Stores / Shops,3139326.96,1113,2820.60,501.03,4996.58
Haier,First-time Buyer,Supermarkets ,3075180.93,1133,2714.19,500.00,4996.89
Haier,High Value,Large Malls / Complexes,2994924.22,1078,2778.22,500.33,4995.52
Haier,High Value,Small Stores / Shops,3110580.51,1179,2638.32,504.75,4997.95
Haier,High Value,Supermarkets ,3091097.12,1133,2728.24,501.47,4993.02
Haier,In-Store Regular,Large Malls / Complexes,2893121.31,1036,2792.59,501.45,4994.72
Haier,In-Store Regular,Small Stores / Shops,2936739.84,1095,2681.95,502.48,4999.06
Haier,In-Store Regular,Supermarkets ,3295963.74,1157,2848.72,509.50,4989.10
Haier,Loyal Customer,Large Malls / Complexes,3042861.17,1089,2794.18,500.27,4998.01
Haier,Loyal Customer,Small Stores / Shops,3124975.69,1145,2729.24,503.37,4993.77
Haier,Loyal Customer,Supermarkets ,3123499.19,1131,2761.71,510.98,4999.91
Haier,Occasional Shopper,Large Malls / Complexes,2710851.35,997,2719.01,518.36,4992.76
Haier,Occasional Shopper,Small Stores / Shops,3286624.20,1199,2741.14,500.66,4992.55
Haier,Occasional Shopper,Supermarkets ,3273650.97,1189,2753.28,500.69,4994.82
Haier,Online Shopper,Large Malls / Complexes,2975392.87,1082,2749.90,501.55,4996.85
Haier,Online Shopper,Small Stores / Shops,3147092.96,1162,2708.34,506.15,4990.20
Haier,Online Shopper,Supermarkets ,3174243.72,1162,2731.71,503.46,4986.96
Haier,Premium Shopper,Large Malls / Complexes,2850564.48,1037,2748.86,502.30,4998.92
Haier,Premium Shopper,Small Stores / Shops,3040087.19,1086,2799.34,505.85,4995.04
Haier,Premium Shopper,Supermarkets ,3151534.84,1165,2705.18,501.43,4998.06
Home Centre,Budget Shopper,Large Malls / Complexes,2895586.61,1054,2747.24,501.41,4995.52
Home Centre,Budget Shopper,Small Stores / Shops,3142781.68,1139,2759.25,500.93,4992.32
Home Centre,Budget Shopper,Supermarkets ,3056245.32,1143,2673.88,504.75,4999.90
Home Centre,Churn Risk,Large Malls / Complexes,3057075.00,1108,2759.09,502.72,4999.33
Home Centre,Churn Risk,Small Stores / Shops,2976573.97,1068,2787.05,501.40,4999.64
Home Centre,Churn Risk,Supermarkets ,3217753.52,1173,2743.18,502.08,4996.16
Home Centre,Deal Seeker,Large Malls / Complexes,2771544.37,1018,2722.54,503.37,4996.96
Home Centre,Deal Seeker,Small Stores / Shops,3232369.64,1166,2772.19,510.18,4999.30
Home Centre,Deal Seeker,Supermarkets ,3233616.95,1185,2728.79,502.25,4998.55
Home Centre,First-time Buyer,Large Malls / Complexes,2912094.72,1042,2794.72,500.56,4998.93
Home Centre,First-time Buyer,Small Stores / Shops,3084278.15,1107,2786.16,502.68,4999.10
Home Centre,First-time Buyer,Supermarkets ,3075308.36,1139,2700.01,500.58,4992.41
Home Centre,High Value,Large Malls / Complexes,2983846.19,1084,2752.63,512.14,4998.34
Home Centre,High Value,Small Stores / Shops,3247421.35,1159,2801.92,506.50,4999.89
Home Centre,High Value,Supermarkets ,3026990.11,1113,2719.67,504.04,4999.68
Home Centre,In-Store Regular,Large Malls / Complexes,2931465.35,1052,2786.56,501.98,4998.42
Home Centre,In-Store Regular,Small Stores / Shops,3174625.02,1131,2806.92,506.27,4996.39
Home Centre,In-Store Regular,Supermarkets ,2932497.74,1082,2710.26,503.22,4998.45
Home Centre,Loyal Customer,Large Malls / Complexes,3032176.30,1088,2786.93,501.07,4986.42
Home Centre,Loyal Customer,Small Stores / Shops,3227973.75,1154,2797.20,508.05,4997.86
Home Centre,Loyal Customer,Supermarkets ,3248769.74,1175,2764.91,510.64,4997.65
Home Centre,Occasional Shopper,Large Malls / Complexes,3066015.26,1118,2742.41,500.92,4999.60
Home Centre,Occasional Shopper,Small Stores / Shops,3037977.95,1102,2756.79,503.09,4995.33
Home Centre,Occasional Shopper,Supermarkets ,3263479.98,1181,2763.32,501.75,4994.28
Home Centre,Online Shopper,Large Malls / Complexes,2841727.83,1023,2777.84,500.35,4998.52
Home Centre,Online Shopper,Small Stores / Shops,3298702.50,1166,2829.08,511.57,4995.61
Home Centre,Online Shopper,Supermarkets ,3282814.21,1183,2774.99,508.03,4997.78
Home Centre,Premium Shopper,Large Malls / Complexes,2899114.46,1056,2745.37,501.66,4997.47
Home Centre,Premium Shopper,Small Stores / Shops,3086239.19,1111,2777.89,515.69,4996.95
Home Centre,Premium Shopper,Supermarkets ,3253600.29,1158,2809.67,500.23,4991.70
IKEA,Budget Shopper,Large Malls / Complexes,2971441.18,1099,2703.77,507.09,4991.69
IKEA,Budget Shopper,Small Stores / Shops,2962839.66,1092,2713.22,505.02,4997.53
IKEA,Budget Shopper,Supermarkets ,3191104.10,1155,2762.86,503.05,4995.21
IKEA,Churn Risk,Large Malls / Complexes,2817031.58,1031,2732.33,501.95,4995.19
IKEA,Churn Risk,Small Stores / Shops,3053600.07,1143,2671.57,507.97,4999.21
IKEA,Churn Risk,Supermarkets ,3291286.06,1169,2815.47,500.71,4991.43
IKEA,Deal Seeker,Large Malls / Complexes,2783725.48,1036,2686.99,508.91,4995.57
IKEA,Deal Seeker,Small Stores / Shops,3063592.55,1103,2777.51,502.50,4996.37
IKEA,Deal Seeker,Supermarkets ,3143775.20,1154,2724.24,514.18,4999.12
IKEA,First-time Buyer,Large Malls / Complexes,3093753.04,1129,2740.26,507.32,4995.04
IKEA,First-time Buyer,Small Stores / Shops,3246875.84,1154,2813.58,507.46,4998.02
IKEA,First-time Buyer,Supermarkets ,3307089.76,1195,2767.44,503.76,4998.36
IKEA,High Value,Large Malls / Complexes,2704169.60,1003,2696.08,510.39,4995.87
IKEA,High Value,Small Stores / Shops,3295884.60,1202,2742.00,502.33,4992.67
IKEA,High Value,Supermarkets ,3095410.45,1133,2732.05,501.39,4990.19
IKEA,In-Store Regular,Large Malls / Complexes,2934605.18,1044,2810.92,505.82,4981.62
IKEA,In-Store Regular,Small Stores / Shops,2933775.13,1048,2799.40,500.06,4998.78
IKEA,In-Store Regular,Supermarkets ,3200461.18,1158,2763.78,510.86,4996.77
IKEA,Loyal Customer,Large Malls / Complexes,2817949.28,1024,2751.90,502.21,4999.69
IKEA,Loyal Customer,Small Stores / Shops,3132055.34,1135,2759.52,501.83,4998.66
IKEA,Loyal Customer,Supermarkets ,3487792.50,1282,2720.59,503.86,4998.56
IKEA,Occasional Shopper,Large Malls / Complexes,2981602.98,1079,2763.30,502.30,4993.62
IKEA,Occasional Shopper,Small Stores / Shops,2969395.99,1077,2757.10,504.36,4996.79
IKEA,Occasional Shopper,Supermarkets ,3211958.40,1187,2705.95,501.43,4996.87
IKEA,Online Shopper,Large Malls / Complexes,3027164.84,1065,2842.41,503.67,4997.00
IKEA,Online Shopper,Small Stores / Shops,3209538.75,1179,2722.26,504.38,4996.82
IKEA,Online Shopper,Supermarkets ,3059335.27,1148,2664.93,501.50,4994.05
IKEA,Premium Shopper,Large Malls / Complexes,2855782.01,1046,2730.19,504.41,4996.34
IKEA,Premium Shopper,Small Stores / Shops,3084052.03,1095,2816.49,520.68,4998.88
IKEA,Premium Shopper,Supermarkets ,3310825.79,1196,2768.25,500.31,4998.49
Kellogg's,Budget Shopper,Large Malls / Complexes,2902478.28,1055,2751.16,500.73,4994.74
Kellogg's,Budget Shopper,Small Stores / Shops,3143718.81,1144,2748.01,500.68,4998.35
Kellogg's,Budget Shopper,Supermarkets ,3084385.44,1101,2801.44,508.08,4993.66
Kellogg's,Churn Risk,Large Malls / Complexes,3170503.29,1156,2742.65,501.42,4998.93
Kellogg's,Churn Risk,Small Stores / Shops,3109307.75,1126,2761.37,503.77,4998.35
Kellogg's,Churn Risk,Supermarkets ,3068351.81,1115,2751.89,507.64,4999.85
