store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Large Malls / Complexes,Manager,Winter Wonders Sale,4290579.32,1570,2732.85,502.50,4996.58
Large Malls / Complexes,Sales Associate,12 Days of Deals,4496141.66,1651,2723.28,514.86,4997.68
Large Malls / Complexes,Sales Associate,Autumn Deals Drive,4862834.06,1755,2770.85,500.56,4995.33
Large Malls / Complexes,Sales Associate,BOGO Blitz,4852107.36,1740,2788.57,503.66,4998.71
Large Malls / Complexes,Sales Associate,Back to School Boost,4584104.76,1671,2743.33,507.03,4999.06
Large Malls / Complexes,Sales Associate,Birthday Bash Sale,4602719.39,1673,2751.18,503.09,4996.94
Large Malls / Complexes,Sales Associate,Black Friday Blowout,4517176.55,1637,2759.42,500.23,4999.69
Large Malls / Complexes,Sales Associate,Cart Crasher Campaign,4394646.56,1616,2719.46,502.87,4995.09
Large Malls / Complexes,Sales Associate,Cashback Carnival,4729187.62,1699,2783.51,500.42,4997.15
Large Malls / Complexes,Sales Associate,Clearance Countdown,4551292.59,1692,2689.89,502.39,4995.95
Large Malls / Complexes,Sales Associate,Countdown to Savings,4424109.89,1602,2761.62,500.60,4999.16
Large Malls / Complexes,Sales Associate,Customer Appreciation Week,4465158.35,1635,2730.98,502.48,4996.86
Large Malls / Complexes,Sales Associate,Cyber Monday Mania,4494823.44,1646,2730.76,504.93,4998.93
Large Malls / Complexes,Sales Associate,Deal of the Month,4640725.83,1709,2715.46,501.02,4999.45
Large Malls / Complexes,Sales Associate,Double Points Bonanza,4518283.58,1642,2751.70,501.38,4996.08
Large Malls / Complexes,Sales Associate,Early Bird Specials,4878848.68,1776,2747.10,503.83,4993.12
Large Malls / Complexes,Sales Associate,End of Season Sale,4409085.55,1612,2735.16,510.32,4987.09
Large Malls / Complexes,Sales Associate,Exclusive Insider Offers,4578256.44,1664,2751.36,501.18,4999.92
Large Malls / Complexes,Sales Associate,Festive Fever Promo,4476968.57,1627,2751.67,500.36,4996.92
Large Malls / Complexes,Sales Associate,Final Call Frenzy,4776721.74,1723,2772.33,501.57,4997.60
Large Malls / Complexes,Sales Associate,Flash Frenzy Friday,4609984.49,1682,2740.78,504.09,4999.95
Large Malls / Complexes,Sales Associate,"Gift More, Spend Less",4563134.06,1634,2792.62,506.74,4994.67
Large Malls / Complexes,Sales Associate,Golden Hour Bargains,4695097.19,1705,2753.72,501.59,4999.76
Large Malls / Complexes,Sales Associate,Green Weekend Deals,4686580.45,1725,2716.86,502.66,4999.77
Large Malls / Complexes,Sales Associate,Happy Hour Discounts,4746430.98,1742,2724.70,504.73,4999.78
Large Malls / Complexes,Sales Associate,Holiday Shopping Rush,4636121.73,1652,2806.37,502.02,4998.03
Large Malls / Complexes,Sales Associate,Hot Picks Promo,4421729.16,1635,2704.42,502.73,4996.34
Large Malls / Complexes,Sales Associate,Instant Gratification Sale,4821025.53,1730,2786.72,501.41,4998.49
Large Malls / Complexes,Sales Associate,Limited Time Treasures,4552840.93,1671,2724.62,502.11,4991.05
Large Malls / Complexes,Sales Associate,Loyalty Rewards Blast,4574158.90,1682,2719.48,504.89,4998.17
Large Malls / Complexes,Sales Associate,Mega Weekend Bonanza,4576718.25,1637,2795.80,500.60,4996.99
Large Malls / Complexes,Sales Associate,Mid-Year Madness,4363889.20,1590,2744.58,503.37,4997.54
Large Malls / Complexes,Sales Associate,Midnight Madness,4646630.35,1715,2709.41,501.59,4999.95
Large Malls / Complexes,Sales Associate,Mystery Discount Days,4570336.37,1695,2696.36,500.77,4999.19
Large Malls / Complexes,Sales Associate,New Arrival Showcase,4635473.46,1652,2805.98,504.98,4997.71
Large Malls / Complexes,Sales Associate,New Product Launch Promo,4545822.86,1656,2745.06,500.83,4999.48
Large Malls / Complexes,Sales Associate,New Year Kickoff,4640267.25,1678,2765.36,503.01,4998.10
Large Malls / Complexes,Sales Associate,Price Drop Parade,4515509.47,1637,2758.41,508.09,4996.32
Large Malls / Complexes,Sales Associate,Red Tag Clearance,4654935.10,1676,2777.41,502.58,4998.76
Large Malls / Complexes,Sales Associate,Seasonal Surprise Box,4430902.95,1617,2740.20,504.42,4998.58
Large Malls / Complexes,Sales Associate,Shop & Save Spectacular,4579868.17,1648,2779.05,500.18,4999.91
Large Malls / Complexes,Sales Associate,Smart Shopper Week,4490213.46,1636,2744.63,502.36,4998.48
Large Malls / Complexes,Sales Associate,Spring Refresh Event,4709799.45,1707,2759.11,500.56,4999.83
Large Malls / Complexes,Sales Associate,Spring Splash Discounts,4525439.05,1685,2685.72,504.23,4996.52
Large Malls / Complexes,Sales Associate,Summer Sizzle Promo,4385791.72,1599,2742.83,500.10,4990.62
Large Malls / Complexes,Sales Associate,Super Savings Week,4720213.23,1699,2778.23,502.78,4998.97
Large Malls / Complexes,Sales Associate,Ultimate Value Event,4656483.67,1668,2791.66,506.31,4997.27
Large Malls / Complexes,Sales Associate,VIP Access Sale,4417479.15,1620,2726.84,500.93,4996.77
Large Malls / Complexes,Sales Associate,Weekend Warrior Specials,4889098.03,1783,2742.06,503.41,4995.92
Large Malls / Complexes,Sales Associate,Winter Clearance Carnival,4817940.02,1729,2786.55,501.55,4997.18
Large Malls / Complexes,Sales Associate,Winter Wonders Sale,4451204.15,1635,2722.45,501.34,4999.74
Large Malls / Complexes,Salesperson,12 Days of Deals,4621727.98,1702,2715.47,502.32,4999.02
Large Malls / Complexes,Salesperson,Autumn Deals Drive,4509192.86,1641,2747.83,500.76,4999.01
Large Malls / Complexes,Salesperson,BOGO Blitz,4668033.50,1649,2830.83,502.29,4996.45
Large Malls / Complexes,Salesperson,Back to School Boost,4536827.56,1659,2734.68,502.98,4998.12
Large Malls / Complexes,Salesperson,Birthday Bash Sale,4455211.16,1600,2784.51,501.83,4997.95
Large Malls / Complexes,Salesperson,Black Friday Blowout,4493046.55,1659,2708.29,503.37,4987.21
Large Malls / Complexes,Salesperson,Cart Crasher Campaign,4342142.61,1620,2680.33,510.35,4998.52
Large Malls / Complexes,Salesperson,Cashback Carnival,4549871.44,1647,2762.52,500.92,4999.62
Large Malls / Complexes,Salesperson,Clearance Countdown,4604881.90,1636,2814.72,502.34,4999.80
Large Malls / Complexes,Salesperson,Countdown to Savings,4439124.15,1644,2700.20,501.91,4998.03
Large Malls / Complexes,Salesperson,Customer Appreciation Week,4401980.70,1626,2707.25,506.29,4998.63
Large Malls / Complexes,Salesperson,Cyber Monday Mania,4609125.90,1667,2764.92,506.44,4999.50
Large Malls / Complexes,Salesperson,Deal of the Month,4328622.96,1570,2757.08,502.14,4997.58
Large Malls / Complexes,Salesperson,Double Points Bonanza,4409980.28,1616,2728.95,503.00,4999.44
Large Malls / Complexes,Salesperson,Early Bird Specials,4568694.76,1626,2809.78,500.92,4999.19
Large Malls / Complexes,Salesperson,End of Season Sale,4410108.56,1582,2787.68,500.36,4997.48
Large Malls / Complexes,Salesperson,Exclusive Insider Offers,4735861.31,1684,2812.27,503.60,4999.90
Large Malls / Complexes,Salesperson,Festive Fever Promo,4467603.90,1637,2729.14,508.66,4997.00
Large Malls / Complexes,Salesperson,Final Call Frenzy,4268045.19,1572,2715.04,500.25,4999.75
Large Malls / Complexes,Salesperson,Flash Frenzy Friday,4694597.63,1658,2831.48,505.20,4998.72
Large Malls / Complexes,Salesperson,"Gift More, Spend Less",4530756.09,1637,2767.72,502.35,4994.22
Large Malls / Complexes,Salesperson,Golden Hour Bargains,4519593.71,1639,2757.53,504.67,4999.35
Large Malls / Complexes,Salesperson,Green Weekend Deals,4525225.57,1642,2755.92,500.26,4999.33
Large Malls / Complexes,Salesperson,Happy Hour Discounts,4580715.83,1665,2751.18,501.14,4998.95
Large Malls / Complexes,Salesperson,Holiday Shopping Rush,4517309.84,1641,2752.78,501.27,4999.40
Large Malls / Complexes,Salesperson,Hot Picks Promo,4362349.52,1580,2760.98,502.01,4997.81
Large Malls / Complexes,Salesperson,Instant Gratification Sale,4609250.33,1667,2765.00,504.24,4998.62
Large Malls / Complexes,Salesperson,Limited Time Treasures,4734371.81,1693,2796.44,504.55,4997.70
Large Malls / Complexes,Salesperson,Loyalty Rewards Blast,4690043.14,1662,2821.93,500.38,4998.98
Large Malls / Complexes,Salesperson,Mega Weekend Bonanza,4325488.10,1583,2732.46,503.23,4998.42
Large Malls / Complexes,Salesperson,Mid-Year Madness,4628466.48,1673,2766.57,502.59,4998.11
Large Malls / Complexes,Salesperson,Midnight Madness,4622650.85,1707,2708.06,500.95,4999.83
Large Malls / Complexes,Salesperson,Mystery Discount Days,4354990.39,1611,2703.28,500.80,4999.42
Large Malls / Complexes,Salesperson,New Arrival Showcase,4569524.86,1632,2799.95,500.37,4999.86
Large Malls / Complexes,Salesperson,New Product Launch Promo,4871143.36,1770,2752.06,500.73,4999.95
Large Malls / Complexes,Salesperson,New Year Kickoff,4732654.34,1671,2832.23,515.37,4994.88
Large Malls / Complexes,Salesperson,Price Drop Parade,4482885.27,1636,2740.15,504.82,4999.10
Large Malls / Complexes,Salesperson,Red Tag Clearance,4407194.60,1629,2705.46,509.09,4996.34
Large Malls / Complexes,Salesperson,Seasonal Surprise Box,4521184.30,1660,2723.60,501.08,4998.13
Large Malls / Complexes,Salesperson,Shop & Save Spectacular,4721414.08,1702,2774.04,502.57,4998.75
Large Malls / Complexes,Salesperson,Smart Shopper Week,4520174.30,1630,2773.11,508.76,4998.23
Large Malls / Complexes,Salesperson,Spring Refresh Event,4474962.98,1583,2826.89,501.41,4998.88
Large Malls / Complexes,Salesperson,Spring Splash Discounts,4675706.01,1672,2796.47,500.35,4996.37
Large Malls / Complexes,Salesperson,Summer Sizzle Promo,4787117.31,1715,2791.32,501.06,4998.36
Large Malls / Complexes,Salesperson,Super Savings Week,4619751.44,1662,2779.63,501.50,4998.49
Large Malls / Complexes,Salesperson,Ultimate Value Event,4458155.64,1586,2810.94,510.86,4995.58
Large Malls / Complexes,Salesperson,VIP Access Sale,4447720.44,1607,2767.72,500.61,4999.97
Large Malls / Complexes,Salesperson,Weekend Warrior Specials,4552760.92,1639,2777.77,503.52,4998.93
Large Malls / Complexes,Salesperson,Winter Clearance Carnival,4457531.23,1584,2814.10,502.95,4999.97
Large Malls / Complexes,Salesperson,Winter Wonders Sale,4401563.22,1614,2727.11,500.27,4999.56
Large Malls / Complexes,Senior Salesperson,12 Days of Deals,3988336.45,1439,2771.60,501.08,4992.13
Large Malls / Complexes,Senior Salesperson,Autumn Deals Drive,3832877.47,1421,2697.31,501.93,4999.80
Large Malls / Complexes,Senior Salesperson,BOGO Blitz,3941146.95,1416,2783.30,504.25,4996.27
Large Malls / Complexes,Senior Salesperson,Back to School Boost,3981781.90,1483,2684.95,501.92,4997.33
Large Malls / Complexes,Senior Salesperson,Birthday Bash Sale,3908933.54,1419,2754.71,501.68,4993.83
Large Malls / Complexes,Senior Salesperson,Black Friday Blowout,4011927.72,1446,2774.50,508.66,4999.88
Large Malls / Complexes,Senior Salesperson,Cart Crasher Campaign,3962481.77,1420,2790.48,510.50,4998.24
Large Malls / Complexes,Senior Salesperson,Cashback Carnival,3913414.17,1419,2757.87,502.29,4992.51
Large Malls / Complexes,Senior Salesperson,Clearance Countdown,3737203.88,1368,2731.87,510.13,4998.50
Large Malls / Complexes,Senior Salesperson,Countdown to Savings,4023438.00,1480,2718.54,502.00,4999.61
Large Malls / Complexes,Senior Salesperson,Customer Appreciation Week,3841654.87,1393,2757.83,506.65,4997.57
Large Malls / Complexes,Senior Salesperson,Cyber Monday Mania,3880856.27,1440,2695.04,500.56,4996.08
Large Malls / Complexes,Senior Salesperson,Deal of the Month,3790042.25,1367,2772.53,502.44,4999.41
Large Malls / Complexes,Senior Salesperson,Double Points Bonanza,4196958.79,1497,2803.58,502.33,4999.96
Large Malls / Complexes,Senior Salesperson,Early Bird Specials,4045283.42,1479,2735.15,505.07,4998.24
Large Malls / Complexes,Senior Salesperson,End of Season Sale,3970869.28,1423,2790.49,502.83,4987.50
Large Malls / Complexes,Senior Salesperson,Exclusive Insider Offers,3897621.23,1424,2737.09,500.29,4994.72
Large Malls / Complexes,Senior Salesperson,Festive Fever Promo,3894120.86,1420,2742.34,503.27,4997.98
Large Malls / Complexes,Senior Salesperson,Final Call Frenzy,3899723.57,1443,2702.51,510.98,4998.16
Large Malls / Complexes,Senior Salesperson,Flash Frenzy Friday,3976860.76,1471,2703.51,502.44,4997.57
Large Malls / Complexes,Senior Salesperson,"Gift More, Spend Less",3966853.18,1457,2722.62,504.71,4998.35
Large Malls / Complexes,Senior Salesperson,Golden Hour Bargains,3962881.51,1447,2738.69,500.71,4999.90
Large Malls / Complexes,Senior Salesperson,Green Weekend Deals,3858599.45,1427,2703.99,500.26,4999.01
Large Malls / Complexes,Senior Salesperson,Happy Hour Discounts,4067131.43,1460,2785.71,507.81,4997.56
Large Malls / Complexes,Senior Salesperson,Holiday Shopping Rush,3922622.10,1414,2774.13,503.29,4999.39
Large Malls / Complexes,Senior Salesperson,Hot Picks Promo,4197659.03,1512,2776.23,500.98,4999.96
Large Malls / Complexes,Senior Salesperson,Instant Gratification Sale,3838945.16,1380,2781.84,502.13,4995.76
Large Malls / Complexes,Senior Salesperson,Limited Time Treasures,4031425.81,1468,2746.20,507.53,4999.73
Large Malls / Complexes,Senior Salesperson,Loyalty Rewards Blast,3815556.07,1403,2719.57,501.80,4988.95
Large Malls / Complexes,Senior Salesperson,Mega Weekend Bonanza,3837760.52,1412,2717.96,501.33,4996.49
Large Malls / Complexes,Senior Salesperson,Mid-Year Madness,3785473.97,1363,2777.31,500.32,4999.77
Large Malls / Complexes,Senior Salesperson,Midnight Madness,3786006.07,1353,2798.23,500.23,4997.93
Large Malls / Complexes,Senior Salesperson,Mystery Discount Days,4172702.35,1476,2827.03,504.53,4994.16
Large Malls / Complexes,Senior Salesperson,New Arrival Showcase,4191000.76,1508,2779.18,509.29,4995.95
Large Malls / Complexes,Senior Salesperson,New Product Launch Promo,3851954.83,1414,2724.15,500.59,4997.06
Large Malls / Complexes,Senior Salesperson,New Year Kickoff,3915067.39,1428,2741.64,501.48,4996.40
Large Malls / Complexes,Senior Salesperson,Price Drop Parade,3816307.90,1398,2729.83,503.08,4999.83
Large Malls / Complexes,Senior Salesperson,Red Tag Clearance,3758599.32,1367,2749.52,504.16,4999.64
Large Malls / Complexes,Senior Salesperson,Seasonal Surprise Box,4054782.81,1467,2764.00,500.11,4997.26
Large Malls / Complexes,Senior Salesperson,Shop & Save Spectacular,3993393.67,1430,2792.58,501.58,4986.00
Large Malls / Complexes,Senior Salesperson,Smart Shopper Week,3974022.44,1448,2744.49,500.54,4999.94
Large Malls / Complexes,Senior Salesperson,Spring Refresh Event,3855013.42,1410,2734.05,500.36,4999.45
Large Malls / Complexes,Senior Salesperson,Spring Splash Discounts,3977072.29,1442,2758.03,502.30,4999.02
Large Malls / Complexes,Senior Salesperson,Summer Sizzle Promo,3947839.15,1424,2772.36,501.39,4997.66
Large Malls / Complexes,Senior Salesperson,Super Savings Week,4011256.27,1444,2777.88,503.67,4996.76
Large Malls / Complexes,Senior Salesperson,Ultimate Value Event,4019100.44,1462,2749.04,502.89,4998.24
Large Malls / Complexes,Senior Salesperson,VIP Access Sale,4039001.96,1492,2707.11,501.55,4999.71
Large Malls / Complexes,Senior Salesperson,Weekend Warrior Specials,4015422.29,1482,2709.46,508.27,4995.52
Large Malls / Complexes,Senior Salesperson,Winter Clearance Carnival,4057503.12,1476,2748.99,507.62,4994.53
Large Malls / Complexes,Senior Salesperson,Winter Wonders Sale,3950493.35,1445,2733.91,500.29,4995.39
Small Stores / Shops,Manager,12 Days of Deals,4379778.55,1607,2725.44,502.31,4999.67
Small Stores / Shops,Manager,Autumn Deals Drive,4687121.98,1739,2695.30,500.76,4998.38
Small Stores / Shops,Manager,BOGO Blitz,4803363.84,1710,2808.98,500.64,4998.43
Small Stores / Shops,Manager,Back to School Boost,4395622.51,1640,2680.26,500.60,4995.60
Small Stores / Shops,Manager,Birthday Bash Sale,4710786.54,1727,2727.73,500.14,4993.71
Small Stores / Shops,Manager,Black Friday Blowout,4780148.90,1729,2764.69,500.83,4996.79
Small Stores / Shops,Manager,Cart Crasher Campaign,4503933.73,1614,2790.54,508.04,4998.46
Small Stores / Shops,Manager,Cashback Carnival,4487900.99,1636,2743.22,504.64,4999.14
Small Stores / Shops,Manager,Clearance Countdown,4575808.13,1656,2763.17,500.08,4998.45
Small Stores / Shops,Manager,Countdown to Savings,4774644.75,1715,2784.05,502.49,4997.53
Small Stores / Shops,Manager,Customer Appreciation Week,4560224.21,1628,2801.12,503.51,4995.61
Small Stores / Shops,Manager,Cyber Monday Mania,4949178.74,1782,2777.32,502.42,4999.83
Small Stores / Shops,Manager,Deal of the Month,4508594.71,1662,2712.75,506.49,4994.30
Small Stores / Shops,Manager,Double Points Bonanza,4583952.12,1681,2726.92,500.57,4998.02
Small Stores / Shops,Manager,Early Bird Specials,4644678.37,1666,2787.92,509.37,4999.70
Small Stores / Shops,Manager,End of Season Sale,4711450.84,1708,2758.46,500.37,4997.14
Small Stores / Shops,Manager,Exclusive Insider Offers,4674768.39,1696,2756.35,500.32,4996.02
Small Stores / Shops,Manager,Festive Fever Promo,4469996.40,1641,2723.95,500.07,4979.17
Small Stores / Shops,Manager,Final Call Frenzy,4562825.81,1664,2742.08,501.47,4987.28
Small Stores / Shops,Manager,Flash Frenzy Friday,4550759.02,1659,2743.07,504.30,4996.92
Small Stores / Shops,Manager,"Gift More, Spend Less",4589657.29,1690,2715.77,505.29,4998.23
Small Stores / Shops,Manager,Golden Hour Bargains,4694344.59,1685,2785.96,503.86,4999.31
Small Stores / Shops,Manager,Green Weekend Deals,4694615.93,1695,2769.68,503.08,4998.39
Small Stores / Shops,Manager,Happy Hour Discounts,4552298.55,1641,2774.10,503.25,4990.80
Small Stores / Shops,Manager,Holiday Shopping Rush,4525032.33,1639,2760.85,504.36,4997.57
Small Stores / Shops,Manager,Hot Picks Promo,4575258.24,1673,2734.76,500.04,4997.69
Small Stores / Shops,Manager,Instant Gratification Sale,4669573.51,1702,2743.58,516.85,4998.35
Small Stores / Shops,Manager,Limited Time Treasures,4706693.29,1681,2799.94,504.90,4992.37
Small Stores / Shops,Manager,Loyalty Rewards Blast,4829175.06,1712,2820.78,500.22,4996.70
Small Stores / Shops,Manager,Mega Weekend Bonanza,4585978.64,1676,2736.26,504.00,4996.59
Small Stores / Shops,Manager,Mid-Year Madness,4740382.59,1726,2746.46,501.40,4999.10
Small Stores / Shops,Manager,Midnight Madness,4750460.03,1723,2757.09,501.63,4998.66
Small Stores / Shops,Manager,Mystery Discount Days,4672401.71,1691,2763.10,500.15,4995.72
Small Stores / Shops,Manager,New Arrival Showcase,4903292.17,1748,2805.09,501.06,4998.70
Small Stores / Shops,Manager,New Product Launch Promo,4736724.54,1729,2739.57,502.89,4999.30
Small Stores / Shops,Manager,New Year Kickoff,4573395.44,1665,2746.78,501.02,4996.56
Small Stores / Shops,Manager,Price Drop Parade,4583562.45,1670,2744.65,500.50,4997.34
Small Stores / Shops,Manager,Red Tag Clearance,4692950.60,1708,2747.63,501.05,4995.28
Small Stores / Shops,Manager,Seasonal Surprise Box,4751871.72,1755,2707.62,501.30,4997.91
Small Stores / Shops,Manager,Shop & Save Spectacular,4832764.27,1736,2783.85,503.57,4997.51
Small Stores / Shops,Manager,Smart Shopper Week,4660270.55,1685,2765.74,500.78,4991.23
Small Stores / Shops,Manager,Spring Refresh Event,4519205.32,1612,2803.48,500.55,4997.36
Small Stores / Shops,Manager,Spring Splash Discounts,4568549.99,1635,2794.22,500.68,4999.83
Small Stores / Shops,Manager,Summer Sizzle Promo,4710805.75,1699,2772.69,500.92,4998.67
Small Stores / Shops,Manager,Super Savings Week,4588395.76,1679,2732.81,500.70,4999.89
Small Stores / Shops,Manager,Ultimate Value Event,4774794.57,1711,2790.65,500.17,4999.80
Small Stores / Shops,Manager,VIP Access Sale,4730070.35,1684,2808.83,500.31,4999.15
Small Stores / Shops,Manager,Weekend Warrior Specials,4615206.05,1703,2710.04,501.32,4999.21
Small Stores / Shops,Manager,Winter Clearance Carnival,4702300.00,1706,2756.33,502.18,4998.44
Small Stores / Shops,Manager,Winter Wonders Sale,4666553.57,1694,2754.75,507.39,4999.21
Small Stores / Shops,Sales Associate,12 Days of Deals,4978892.62,1787,2786.17,502.99,4999.82
Small Stores / Shops,Sales Associate,Autumn Deals Drive,5106275.72,1854,2754.19,502.24,4996.48
Small Stores / Shops,Sales Associate,BOGO Blitz,4751275.03,1736,2736.91,501.85,4997.66
Small Stores / Shops,Sales Associate,Back to School Boost,4835978.76,1769,2733.74,501.01,4994.39
Small Stores / Shops,Sales Associate,Birthday Bash Sale,4773386.51,1738,2746.48,500.58,4998.00
Small Stores / Shops,Sales Associate,Black Friday Blowout,4866498.74,1762,2761.92,506.58,4990.79
Small Stores / Shops,Sales Associate,Cart Crasher Campaign,4726802.32,1732,2729.10,500.78,4999.98
Small Stores / Shops,Sales Associate,Cashback Carnival,4773277.60,1738,2746.42,500.39,4994.18
Small Stores / Shops,Sales Associate,Clearance Countdown,4997728.33,1767,2828.37,500.37,4996.24
Small Stores / Shops,Sales Associate,Countdown to Savings,4906275.11,1780,2756.33,500.23,4998.01
Small Stores / Shops,Sales Associate,Customer Appreciation Week,4996882.43,1827,2735.02,501.28,4997.84
Small Stores / Shops,Sales Associate,Cyber Monday Mania,4861227.09,1729,2811.58,503.24,4995.64
Small Stores / Shops,Sales Associate,Deal of the Month,4854896.34,1787,2716.79,500.38,4999.41
Small Stores / Shops,Sales Associate,Double Points Bonanza,4799178.14,1748,2745.53,504.72,4998.97
Small Stores / Shops,Sales Associate,Early Bird Specials,5040407.37,1797,2804.90,503.37,4997.80
Small Stores / Shops,Sales Associate,End of Season Sale,4907865.51,1784,2751.05,504.34,4999.78
Small Stores / Shops,Sales Associate,Exclusive Insider Offers,5066680.55,1839,2755.13,503.94,4999.35
Small Stores / Shops,Sales Associate,Festive Fever Promo,4904172.41,1772,2767.59,502.53,4996.22
Small Stores / Shops,Sales Associate,Final Call Frenzy,4883083.33,1769,2760.36,501.74,4998.78
Small Stores / Shops,Sales Associate,Flash Frenzy Friday,4864401.20,1768,2751.36,506.15,4993.42
Small Stores / Shops,Sales Associate,"Gift More, Spend Less",4967144.43,1763,2817.44,506.16,4997.34
Small Stores / Shops,Sales Associate,Golden Hour Bargains,4848755.99,1755,2762.82,500.57,4997.61
Small Stores / Shops,Sales Associate,Green Weekend Deals,4669826.16,1728,2702.45,502.55,4996.70
Small Stores / Shops,Sales Associate,Happy Hour Discounts,4758643.08,1748,2722.34,500.31,4998.88
Small Stores / Shops,Sales Associate,Holiday Shopping Rush,4846928.48,1785,2715.37,501.74,4998.79
Small Stores / Shops,Sales Associate,Hot Picks Promo,4789834.99,1750,2737.05,501.36,4998.48
Small Stores / Shops,Sales Associate,Instant Gratification Sale,4849966.37,1741,2785.74,501.81,4999.03
