brand,customer_segment,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Smart Shopper Week,47324.26,14,3380.30,764.50,4985.85
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Spring Refresh Event,22874.22,9,2541.58,775.45,4138.81
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Spring Splash Discounts,16997.39,5,3399.48,2318.02,4690.81
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Summer Sizzle Promo,10665.63,6,1777.61,651.49,3969.86
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Super Savings Week,17871.47,7,2553.07,1158.19,4025.96
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Ultimate Value Event,13691.02,6,2281.84,1011.96,3632.61
Adidas,Budget Shopper,Large Malls / Complexes,Manager,VIP Access Sale,44510.81,15,2967.39,847.51,4900.21
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Weekend Warrior Specials,24563.75,9,2729.31,877.78,4029.89
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Winter Clearance Carnival,39246.65,15,2616.44,668.33,4956.75
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Winter Wonders Sale,30111.96,9,3345.77,2607.61,4542.37
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,12 Days of Deals,19860.65,6,3310.11,1488.81,4747.83
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Autumn Deals Drive,40343.81,13,3103.37,518.04,4982.16
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,BOGO Blitz,22537.24,7,3219.61,556.73,4863.46
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Back to School Boost,22704.53,10,2270.45,508.79,4811.57
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Birthday Bash Sale,26224.90,11,2384.08,680.40,4109.99
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Black Friday Blowout,13792.51,7,1970.36,576.66,3549.27
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Cart Crasher Campaign,40700.11,12,3391.68,953.47,4917.92
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Cashback Carnival,41105.64,14,2936.12,1044.32,4783.27
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Clearance Countdown,31892.58,13,2453.28,750.90,4949.25
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Countdown to Savings,21789.08,9,2421.01,1271.56,4769.97
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Customer Appreciation Week,27274.70,9,3030.52,1546.90,4230.93
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Cyber Monday Mania,46452.62,15,3096.84,666.88,4899.92
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Deal of the Month,46428.15,14,3316.30,1566.76,4631.54
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Double Points Bonanza,52096.68,18,2894.26,902.92,4882.02
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Early Bird Specials,20005.63,8,2500.70,505.34,4059.81
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,End of Season Sale,37438.75,11,3403.52,671.30,4828.73
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Exclusive Insider Offers,23896.35,9,2655.15,644.85,4253.63
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Festive Fever Promo,27439.58,10,2743.96,825.21,3964.89
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Final Call Frenzy,34197.13,12,2849.76,1002.52,4784.72
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Flash Frenzy Friday,25606.37,10,2560.64,1062.18,4781.40
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,"Gift More, Spend Less",7172.40,3,2390.80,947.51,3197.44
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Golden Hour Bargains,38879.46,14,2777.10,510.81,4994.32
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Green Weekend Deals,34127.52,14,2437.68,698.96,4778.33
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Happy Hour Discounts,22977.75,9,2553.08,1229.03,4082.78
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Holiday Shopping Rush,33657.74,11,3059.79,540.22,4981.68
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Hot Picks Promo,38280.97,13,2944.69,904.58,4933.67
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Instant Gratification Sale,18290.42,6,3048.40,1897.44,3816.86
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Limited Time Treasures,39812.99,14,2843.79,773.92,4672.10
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Loyalty Rewards Blast,44169.83,14,3154.99,659.08,4589.69
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Mega Weekend Bonanza,19913.47,7,2844.78,899.60,4877.27
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Mid-Year Madness,20913.64,7,2987.66,1168.07,4342.22
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Midnight Madness,8137.31,4,2034.33,691.14,2891.28
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Mystery Discount Days,41555.66,13,3196.59,1090.01,4943.34
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,New Arrival Showcase,32912.89,10,3291.29,1216.66,4986.33
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,New Product Launch Promo,46401.16,16,2900.07,985.80,4680.05
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,New Year Kickoff,21697.57,10,2169.76,560.26,4463.53
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Price Drop Parade,10446.28,5,2089.26,911.16,3378.46
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Red Tag Clearance,21493.62,7,3070.52,711.80,4324.83
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Seasonal Surprise Box,32582.28,11,2962.03,666.59,4799.00
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Shop & Save Spectacular,39945.97,15,2663.06,783.02,4992.75
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Smart Shopper Week,41616.22,15,2774.41,744.43,4800.61
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Spring Refresh Event,21136.00,8,2642.00,887.19,4769.76
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Spring Splash Discounts,32504.36,12,2708.70,572.77,4725.28
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Summer Sizzle Promo,31569.64,11,2869.97,1093.79,4982.52
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Super Savings Week,23219.24,6,3869.87,2752.02,4731.13
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Ultimate Value Event,31521.31,11,2865.57,1346.34,4889.17
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,VIP Access Sale,28088.70,11,2553.52,576.87,4730.10
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Weekend Warrior Specials,21769.03,11,1979.00,684.46,4263.54
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Winter Clearance Carnival,46165.89,17,2715.64,628.77,4351.10
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Winter Wonders Sale,41476.16,15,2765.08,665.58,4699.12
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,12 Days of Deals,51793.72,17,3046.69,825.86,4954.87
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Autumn Deals Drive,26138.03,9,2904.23,703.23,4717.92
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,BOGO Blitz,35386.15,12,2948.85,550.36,4409.49
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Back to School Boost,19088.15,9,2120.91,551.27,4910.61
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Birthday Bash Sale,25700.28,9,2855.59,1576.67,4845.41
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Black Friday Blowout,38342.43,11,3485.68,1029.49,4880.99
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Cart Crasher Campaign,22765.69,9,2529.52,589.99,4750.68
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Cashback Carnival,20685.06,8,2585.63,623.51,4139.51
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Clearance Countdown,25357.66,9,2817.52,515.41,4696.51
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Countdown to Savings,26278.74,9,2919.86,1015.99,4747.75
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Customer Appreciation Week,13053.58,7,1864.80,665.63,3684.61
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Cyber Monday Mania,9213.44,4,2303.36,790.42,3752.35
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Deal of the Month,30530.90,11,2775.54,752.66,4832.34
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Double Points Bonanza,19487.86,10,1948.79,703.09,3450.54
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Early Bird Specials,50990.03,16,3186.88,753.22,4820.54
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,End of Season Sale,36433.47,14,2602.39,597.99,4959.83
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Exclusive Insider Offers,31259.69,12,2604.97,979.73,4399.23
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Festive Fever Promo,47857.62,15,3190.51,839.92,4813.09
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Final Call Frenzy,24518.98,10,2451.90,1098.94,4738.14
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Flash Frenzy Friday,32693.22,11,2972.11,773.47,4558.03
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,"Gift More, Spend Less",26642.13,8,3330.27,1579.37,4932.16
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Golden Hour Bargains,26153.17,11,2377.56,581.20,3722.90
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Green Weekend Deals,25189.13,8,3148.64,930.56,4926.07
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Happy Hour Discounts,31900.80,10,3190.08,1337.05,4346.10
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Holiday Shopping Rush,20337.25,6,3389.54,1554.05,4906.00
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Hot Picks Promo,30461.97,11,2769.27,1008.28,4942.51
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Instant Gratification Sale,39405.26,14,2814.66,577.08,4470.48
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Limited Time Treasures,36047.91,11,3277.08,599.38,4411.07
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Loyalty Rewards Blast,22654.07,11,2059.46,705.45,3843.06
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Mega Weekend Bonanza,41828.99,13,3217.61,1128.20,4915.82
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Mid-Year Madness,27642.80,10,2764.28,898.62,4221.91
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Midnight Madness,20477.94,9,2275.33,564.97,4737.68
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Mystery Discount Days,32273.20,14,2305.23,528.21,4370.57
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,New Arrival Showcase,20826.74,8,2603.34,836.76,4631.65
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,New Product Launch Promo,34662.46,10,3466.25,1044.12,4999.95
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,New Year Kickoff,37310.55,13,2870.04,820.87,4944.12
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Price Drop Parade,19728.08,9,2192.01,511.21,3867.86
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Red Tag Clearance,28811.82,10,2881.18,649.19,4228.38
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Seasonal Surprise Box,19974.25,8,2496.78,687.16,4087.17
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Shop & Save Spectacular,38783.99,16,2424.00,540.24,4778.61
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Smart Shopper Week,38500.36,16,2406.27,684.11,4714.45
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Spring Refresh Event,54408.77,19,2863.62,728.01,4765.63
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Spring Splash Discounts,40526.01,13,3117.39,981.66,4790.69
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Summer Sizzle Promo,46093.13,15,3072.88,663.88,4930.56
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Super Savings Week,22510.22,9,2501.14,640.66,4572.61
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Ultimate Value Event,28840.07,9,3204.45,2304.67,4540.39
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,VIP Access Sale,23832.03,7,3404.58,2343.85,4584.54
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Weekend Warrior Specials,18801.93,9,2089.10,640.28,3437.41
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Winter Clearance Carnival,28803.38,9,3200.38,823.59,4993.51
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Winter Wonders Sale,26720.84,9,2968.98,1358.99,4582.07
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,12 Days of Deals,28788.64,12,2399.05,888.20,4603.68
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Autumn Deals Drive,17495.30,8,2186.91,784.65,4221.54
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,BOGO Blitz,33568.76,10,3356.88,2188.10,4973.52
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Back to School Boost,22452.51,7,3207.50,744.95,4514.09
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Birthday Bash Sale,16625.14,8,2078.14,718.31,3419.04
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Black Friday Blowout,29329.20,10,2932.92,1084.12,4864.28
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cart Crasher Campaign,34350.29,10,3435.03,896.50,4895.14
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cashback Carnival,25841.09,13,1987.78,534.21,3814.43
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Clearance Countdown,22616.17,9,2512.91,632.15,3990.71
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Countdown to Savings,15104.52,6,2517.42,1099.94,4674.28
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Customer Appreciation Week,13135.96,5,2627.19,644.72,4902.82
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cyber Monday Mania,15804.18,7,2257.74,603.35,3589.93
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Deal of the Month,27298.33,11,2481.67,838.91,4599.58
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Double Points Bonanza,33903.32,14,2421.67,544.68,4743.17
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Early Bird Specials,30001.18,9,3333.46,1477.38,4930.21
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,End of Season Sale,44173.47,13,3397.96,611.80,4940.53
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Exclusive Insider Offers,21720.72,8,2715.09,731.97,4881.15
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Festive Fever Promo,20881.96,6,3480.33,1344.19,4825.66
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Final Call Frenzy,41311.56,13,3177.81,673.62,4832.59
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Flash Frenzy Friday,26573.62,9,2952.62,1247.29,4212.70
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,"Gift More, Spend Less",30218.78,10,3021.88,614.54,4761.09
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Golden Hour Bargains,9406.15,5,1881.23,523.61,3749.59
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Green Weekend Deals,24480.89,9,2720.10,856.78,4686.22
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Happy Hour Discounts,18640.49,6,3106.75,1248.20,4886.54
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Holiday Shopping Rush,36807.82,14,2629.13,604.03,4867.73
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Hot Picks Promo,28970.55,8,3621.32,1151.97,4704.91
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Instant Gratification Sale,45649.61,15,3043.31,522.75,4847.44
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Limited Time Treasures,31814.31,10,3181.43,1012.36,4520.33
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Loyalty Rewards Blast,32723.95,12,2727.00,1148.25,4181.17
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mega Weekend Bonanza,16438.99,6,2739.83,1174.51,4075.70
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mid-Year Madness,36564.88,13,2812.68,509.13,4846.39
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Midnight Madness,23538.29,8,2942.29,1026.36,4917.42
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mystery Discount Days,8049.95,3,2683.32,1211.77,4720.94
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Arrival Showcase,12936.91,4,3234.23,1458.57,4785.54
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Product Launch Promo,18362.16,9,2040.24,546.91,4326.82
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Year Kickoff,22069.77,9,2452.20,788.30,4872.47
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Price Drop Parade,23239.94,9,2582.22,596.32,4963.26
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Red Tag Clearance,31903.22,12,2658.60,627.52,4704.56
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Seasonal Surprise Box,20672.94,9,2296.99,686.59,4727.69
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Shop & Save Spectacular,29335.81,10,2933.58,816.43,4732.17
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Smart Shopper Week,16226.06,7,2318.01,1052.06,4256.21
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Spring Splash Discounts,21504.38,8,2688.05,1660.92,4863.07
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Summer Sizzle Promo,10424.93,4,2606.23,957.96,4975.12
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Super Savings Week,30171.27,10,3017.13,922.99,4849.86
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Ultimate Value Event,17440.53,8,2180.07,631.79,4635.03
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,VIP Access Sale,34353.94,10,3435.39,937.91,4797.32
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Weekend Warrior Specials,41839.73,14,2988.55,825.66,4729.55
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Winter Clearance Carnival,29625.09,10,2962.51,1343.05,4893.53
Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Winter Wonders Sale,36191.62,12,3015.97,1463.17,4969.49
Adidas,Budget Shopper,Small Stores / Shops,Manager,12 Days of Deals,28961.33,13,2227.79,585.70,4666.81
Adidas,Budget Shopper,Small Stores / Shops,Manager,Autumn Deals Drive,41050.59,16,2565.66,741.41,4404.38
Adidas,Budget Shopper,Small Stores / Shops,Manager,BOGO Blitz,36299.44,18,2016.64,646.46,4833.26
Adidas,Budget Shopper,Small Stores / Shops,Manager,Back to School Boost,56527.57,20,2826.38,624.80,4627.93
Adidas,Budget Shopper,Small Stores / Shops,Manager,Birthday Bash Sale,34277.25,12,2856.44,576.60,4834.91
Adidas,Budget Shopper,Small Stores / Shops,Manager,Black Friday Blowout,40704.90,14,2907.49,910.89,4375.25
Adidas,Budget Shopper,Small Stores / Shops,Manager,Cart Crasher Campaign,25543.01,10,2554.30,964.78,4677.64
Adidas,Budget Shopper,Small Stores / Shops,Manager,Cashback Carnival,27244.74,11,2476.79,1182.49,4137.47
Adidas,Budget Shopper,Small Stores / Shops,Manager,Clearance Countdown,45480.16,15,3032.01,1675.59,4945.59
Adidas,Budget Shopper,Small Stores / Shops,Manager,Countdown to Savings,42301.73,14,3021.55,751.27,4745.43
Adidas,Budget Shopper,Small Stores / Shops,Manager,Customer Appreciation Week,21647.24,8,2705.90,901.97,4925.34
Adidas,Budget Shopper,Small Stores / Shops,Manager,Cyber Monday Mania,20087.19,7,2869.60,733.74,4252.28
Adidas,Budget Shopper,Small Stores / Shops,Manager,Deal of the Month,50823.36,17,2989.61,598.75,4536.30
Adidas,Budget Shopper,Small Stores / Shops,Manager,Double Points Bonanza,14643.20,7,2091.89,812.89,4158.18
Adidas,Budget Shopper,Small Stores / Shops,Manager,Early Bird Specials,25356.49,9,2817.39,873.36,4504.48
Adidas,Budget Shopper,Small Stores / Shops,Manager,End of Season Sale,37275.15,12,3106.26,726.32,4788.39
Adidas,Budget Shopper,Small Stores / Shops,Manager,Exclusive Insider Offers,22561.93,11,2051.08,572.08,3428.42
Adidas,Budget Shopper,Small Stores / Shops,Manager,Festive Fever Promo,45537.37,22,2069.88,581.00,4620.93
Adidas,Budget Shopper,Small Stores / Shops,Manager,Final Call Frenzy,25302.87,11,2300.26,746.29,4164.98
Adidas,Budget Shopper,Small Stores / Shops,Manager,Flash Frenzy Friday,44126.57,19,2322.45,680.16,4467.65
Adidas,Budget Shopper,Small Stores / Shops,Manager,"Gift More, Spend Less",57973.82,19,3051.25,561.88,4988.68
Adidas,Budget Shopper,Small Stores / Shops,Manager,Golden Hour Bargains,27518.24,11,2501.66,929.60,4219.80
Adidas,Budget Shopper,Small Stores / Shops,Manager,Green Weekend Deals,28031.51,11,2548.32,1472.17,4713.21
Adidas,Budget Shopper,Small Stores / Shops,Manager,Happy Hour Discounts,20612.66,9,2290.30,592.45,3638.95
Adidas,Budget Shopper,Small Stores / Shops,Manager,Holiday Shopping Rush,17575.38,6,2929.23,1714.14,4146.95
Adidas,Budget Shopper,Small Stores / Shops,Manager,Hot Picks Promo,33457.59,12,2788.13,954.41,4942.40
