category,brand,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Supermarkets ,Festive Fever Promo,719927.63,266,2706.49,504.43,4977.68
Clothing,Adidas,Supermarkets ,Final Call Frenzy,612123.30,209,2928.82,509.40,4971.11
Clothing,Adidas,Supermarkets ,Flash Frenzy Friday,532244.94,210,2534.50,501.20,4994.26
Clothing,Adidas,Supermarkets ,"Gift More, Spend Less",549210.77,214,2566.41,510.97,4972.49
Clothing,Adidas,Supermarkets ,Golden Hour Bargains,618132.96,233,2652.93,531.04,4991.51
Clothing,Adidas,Supermarkets ,Green Weekend Deals,621658.84,232,2679.56,501.10,4960.82
Clothing,Adidas,Supermarkets ,Happy Hour Discounts,576294.23,209,2757.39,548.47,4971.52
Clothing,Adidas,Supermarkets ,Holiday Shopping Rush,573857.06,207,2772.26,507.47,4942.38
Clothing,Adidas,Supermarkets ,Hot Picks Promo,637416.12,234,2724.00,540.99,4989.96
Clothing,Adidas,Supermarkets ,Instant Gratification Sale,575869.96,214,2690.98,500.95,4998.40
Clothing,Adidas,Supermarkets ,Limited Time Treasures,638484.93,221,2889.07,501.46,4999.38
Clothing,Adidas,Supermarkets ,Loyalty Rewards Blast,546059.73,205,2663.71,507.26,4976.27
Clothing,Adidas,Supermarkets ,Mega Weekend Bonanza,577954.58,231,2501.97,508.93,4980.14
Clothing,Adidas,Supermarkets ,Mid-Year Madness,614771.68,230,2672.92,511.18,4991.43
Clothing,Adidas,Supermarkets ,Midnight Madness,633696.97,223,2841.69,504.20,4935.43
Clothing,Adidas,Supermarkets ,Mystery Discount Days,583481.26,218,2676.52,508.03,4979.18
Clothing,Adidas,Supermarkets ,New Arrival Showcase,614174.01,222,2766.55,533.03,4996.95
Clothing,Adidas,Supermarkets ,New Product Launch Promo,607699.72,222,2737.39,541.18,4973.89
Clothing,Adidas,Supermarkets ,New Year Kickoff,575867.87,214,2690.97,503.72,4986.87
Clothing,Adidas,Supermarkets ,Price Drop Parade,648646.98,233,2783.89,506.80,4970.18
Clothing,Adidas,Supermarkets ,Red Tag Clearance,657404.53,235,2797.47,519.86,4964.81
Clothing,Adidas,Supermarkets ,Seasonal Surprise Box,691322.63,240,2880.51,500.52,4970.50
Clothing,Adidas,Supermarkets ,Shop & Save Spectacular,613063.49,220,2786.65,516.93,4992.80
Clothing,Adidas,Supermarkets ,Smart Shopper Week,618108.54,222,2784.27,507.97,4983.10
Clothing,Adidas,Supermarkets ,Spring Refresh Event,706826.58,257,2750.30,529.10,4997.20
Clothing,Adidas,Supermarkets ,Spring Splash Discounts,621874.96,244,2548.67,500.46,4996.95
Clothing,Adidas,Supermarkets ,Summer Sizzle Promo,586713.41,217,2703.75,527.09,4998.80
Clothing,Adidas,Supermarkets ,Super Savings Week,566501.31,218,2598.63,501.26,4992.84
Clothing,Adidas,Supermarkets ,Ultimate Value Event,671493.71,234,2869.63,522.61,4995.70
Clothing,Adidas,Supermarkets ,VIP Access Sale,711717.49,265,2685.73,506.71,4996.65
Clothing,Adidas,Supermarkets ,Weekend Warrior Specials,674947.37,250,2699.79,501.72,4993.94
Clothing,Adidas,Supermarkets ,Winter Clearance Carnival,663556.07,236,2811.68,517.38,4971.08
Clothing,Adidas,Supermarkets ,Winter Wonders Sale,544333.10,204,2668.30,520.80,4996.30
Clothing,Levi's,Large Malls / Complexes,12 Days of Deals,622474.65,223,2791.37,500.37,4991.32
Clothing,Levi's,Large Malls / Complexes,Autumn Deals Drive,597504.35,222,2691.46,527.50,4956.37
Clothing,Levi's,Large Malls / Complexes,BOGO Blitz,582406.66,211,2760.22,508.84,4989.26
Clothing,Levi's,Large Malls / Complexes,Back to School Boost,532671.02,205,2598.40,517.32,4991.50
Clothing,Levi's,Large Malls / Complexes,Birthday Bash Sale,646632.89,237,2728.41,507.09,4993.83
Clothing,Levi's,Large Malls / Complexes,Black Friday Blowout,553896.16,199,2783.40,529.54,4997.07
Clothing,Levi's,Large Malls / Complexes,Cart Crasher Campaign,604443.86,213,2837.76,522.15,4964.09
Clothing,Levi's,Large Malls / Complexes,Cashback Carnival,633472.31,222,2853.48,508.75,4994.40
Clothing,Levi's,Large Malls / Complexes,Clearance Countdown,556900.92,205,2716.59,504.91,4983.18
Clothing,Levi's,Large Malls / Complexes,Countdown to Savings,602828.30,226,2667.38,504.03,4976.47
Clothing,Levi's,Large Malls / Complexes,Customer Appreciation Week,555443.59,201,2763.40,510.73,4955.92
Clothing,Levi's,Large Malls / Complexes,Cyber Monday Mania,667064.73,230,2900.28,502.02,4964.53
Clothing,Levi's,Large Malls / Complexes,Deal of the Month,542329.55,201,2698.16,540.60,4958.53
Clothing,Levi's,Large Malls / Complexes,Double Points Bonanza,573942.22,193,2973.79,501.38,4992.87
Clothing,Levi's,Large Malls / Complexes,Early Bird Specials,588572.13,214,2750.34,502.97,4952.26
Clothing,Levi's,Large Malls / Complexes,End of Season Sale,617504.40,229,2696.53,522.44,4976.06
Clothing,Levi's,Large Malls / Complexes,Exclusive Insider Offers,493501.08,191,2583.78,501.18,4988.97
Clothing,Levi's,Large Malls / Complexes,Festive Fever Promo,588229.29,223,2637.80,513.43,4973.57
Clothing,Levi's,Large Malls / Complexes,Final Call Frenzy,542532.58,198,2740.06,536.34,4943.99
Clothing,Levi's,Large Malls / Complexes,Flash Frenzy Friday,604005.71,217,2783.44,561.83,4977.49
Clothing,Levi's,Large Malls / Complexes,"Gift More, Spend Less",530832.47,187,2838.68,506.74,4973.12
Clothing,Levi's,Large Malls / Complexes,Golden Hour Bargains,602752.01,213,2829.82,521.34,4993.74
Clothing,Levi's,Large Malls / Complexes,Green Weekend Deals,529512.19,194,2729.44,527.72,4980.12
Clothing,Levi's,Large Malls / Complexes,Happy Hour Discounts,566808.33,204,2778.47,507.81,4977.27
Clothing,Levi's,Large Malls / Complexes,Holiday Shopping Rush,621154.63,226,2748.47,510.74,4992.50
Clothing,Levi's,Large Malls / Complexes,Hot Picks Promo,668580.60,242,2762.73,520.35,4999.60
Clothing,Levi's,Large Malls / Complexes,Instant Gratification Sale,600857.14,213,2820.93,507.90,4993.22
Clothing,Levi's,Large Malls / Complexes,Limited Time Treasures,578635.86,216,2678.87,504.55,4928.90
Clothing,Levi's,Large Malls / Complexes,Loyalty Rewards Blast,650815.03,232,2805.24,524.75,4982.90
Clothing,Levi's,Large Malls / Complexes,Mega Weekend Bonanza,545275.50,201,2712.81,500.60,4997.25
Clothing,Levi's,Large Malls / Complexes,Mid-Year Madness,606527.17,219,2769.53,510.73,4965.92
Clothing,Levi's,Large Malls / Complexes,Midnight Madness,557384.34,202,2759.33,528.90,4956.09
Clothing,Levi's,Large Malls / Complexes,Mystery Discount Days,485310.80,183,2651.97,512.99,4970.10
Clothing,Levi's,Large Malls / Complexes,New Arrival Showcase,609405.51,221,2757.49,512.99,4991.01
Clothing,Levi's,Large Malls / Complexes,New Product Launch Promo,520833.42,195,2670.94,519.61,4991.07
Clothing,Levi's,Large Malls / Complexes,New Year Kickoff,567743.15,210,2703.54,527.88,4991.55
Clothing,Levi's,Large Malls / Complexes,Price Drop Parade,577760.50,216,2674.82,508.09,4953.83
Clothing,Levi's,Large Malls / Complexes,Red Tag Clearance,655452.03,232,2825.22,514.92,4991.99
Clothing,Levi's,Large Malls / Complexes,Seasonal Surprise Box,637385.31,224,2845.47,505.81,4985.30
Clothing,Levi's,Large Malls / Complexes,Shop & Save Spectacular,553009.32,196,2821.48,534.84,4990.21
Clothing,Levi's,Large Malls / Complexes,Smart Shopper Week,506900.95,182,2785.17,504.15,4965.97
Clothing,Levi's,Large Malls / Complexes,Spring Refresh Event,538512.41,198,2719.76,552.12,4996.53
Clothing,Levi's,Large Malls / Complexes,Spring Splash Discounts,616593.91,222,2777.45,513.20,4975.22
Clothing,Levi's,Large Malls / Complexes,Summer Sizzle Promo,578384.63,207,2794.13,515.95,4937.40
Clothing,Levi's,Large Malls / Complexes,Super Savings Week,612664.87,207,2959.73,502.63,4987.82
Clothing,Levi's,Large Malls / Complexes,Ultimate Value Event,566418.70,206,2749.61,515.27,4940.86
Clothing,Levi's,Large Malls / Complexes,VIP Access Sale,562399.84,210,2678.09,507.99,4999.97
Clothing,Levi's,Large Malls / Complexes,Weekend Warrior Specials,516783.94,194,2663.83,503.41,4906.38
Clothing,Levi's,Large Malls / Complexes,Winter Clearance Carnival,627899.32,238,2638.23,508.47,4988.01
Clothing,Levi's,Large Malls / Complexes,Winter Wonders Sale,643638.80,241,2670.70,508.14,4996.58
Clothing,Levi's,Small Stores / Shops,12 Days of Deals,575327.05,212,2713.81,603.48,4999.26
Clothing,Levi's,Small Stores / Shops,Autumn Deals Drive,606910.69,219,2771.28,521.51,4991.37
Clothing,Levi's,Small Stores / Shops,BOGO Blitz,670372.92,243,2758.74,503.91,4981.27
Clothing,Levi's,Small Stores / Shops,Back to School Boost,546120.16,204,2677.06,530.38,4912.94
Clothing,Levi's,Small Stores / Shops,Birthday Bash Sale,626907.10,224,2798.69,503.70,4997.36
Clothing,Levi's,Small Stores / Shops,Black Friday Blowout,673356.81,231,2914.96,513.13,4996.66
Clothing,Levi's,Small Stores / Shops,Cart Crasher Campaign,624299.03,221,2824.88,508.66,4996.24
Clothing,Levi's,Small Stores / Shops,Cashback Carnival,583736.91,215,2715.06,518.52,4992.74
Clothing,Levi's,Small Stores / Shops,Clearance Countdown,612057.77,228,2684.46,529.76,4995.21
Clothing,Levi's,Small Stores / Shops,Countdown to Savings,623884.88,227,2748.39,504.95,4995.55
Clothing,Levi's,Small Stores / Shops,Customer Appreciation Week,699620.97,237,2951.99,538.43,4984.88
Clothing,Levi's,Small Stores / Shops,Cyber Monday Mania,619014.19,228,2714.97,505.15,4992.60
Clothing,Levi's,Small Stores / Shops,Deal of the Month,613037.94,233,2631.06,503.19,4947.27
Clothing,Levi's,Small Stores / Shops,Double Points Bonanza,629226.22,225,2796.56,538.27,4985.08
Clothing,Levi's,Small Stores / Shops,Early Bird Specials,639536.13,241,2653.68,509.91,4988.14
Clothing,Levi's,Small Stores / Shops,End of Season Sale,586187.62,205,2859.45,506.45,4984.90
Clothing,Levi's,Small Stores / Shops,Exclusive Insider Offers,580643.47,216,2688.16,538.69,4997.63
Clothing,Levi's,Small Stores / Shops,Festive Fever Promo,596515.11,219,2723.81,505.36,4981.97
Clothing,Levi's,Small Stores / Shops,Final Call Frenzy,681453.52,247,2758.92,513.55,4994.06
Clothing,Levi's,Small Stores / Shops,Flash Frenzy Friday,667909.04,247,2704.09,516.34,4989.81
Clothing,Levi's,Small Stores / Shops,"Gift More, Spend Less",679680.42,249,2729.64,527.69,4985.89
Clothing,Levi's,Small Stores / Shops,Golden Hour Bargains,577821.98,207,2791.41,508.91,4998.56
Clothing,Levi's,Small Stores / Shops,Green Weekend Deals,645672.57,244,2646.20,528.50,4996.15
Clothing,Levi's,Small Stores / Shops,Happy Hour Discounts,620846.01,223,2784.06,542.50,4945.83
Clothing,Levi's,Small Stores / Shops,Holiday Shopping Rush,633157.92,231,2740.94,507.23,4987.85
Clothing,Levi's,Small Stores / Shops,Hot Picks Promo,549126.62,206,2665.66,531.76,4911.50
Clothing,Levi's,Small Stores / Shops,Instant Gratification Sale,665897.35,240,2774.57,501.81,4961.77
Clothing,Levi's,Small Stores / Shops,Limited Time Treasures,603331.13,227,2657.85,511.06,4970.06
Clothing,Levi's,Small Stores / Shops,Loyalty Rewards Blast,745419.29,257,2900.46,557.86,4996.42
Clothing,Levi's,Small Stores / Shops,Mega Weekend Bonanza,590148.49,218,2707.10,527.25,4983.37
Clothing,Levi's,Small Stores / Shops,Mid-Year Madness,627349.13,223,2813.22,512.43,4962.31
Clothing,Levi's,Small Stores / Shops,Midnight Madness,591569.97,223,2652.78,508.22,4998.11
Clothing,Levi's,Small Stores / Shops,Mystery Discount Days,636738.72,241,2642.07,509.78,4975.30
Clothing,Levi's,Small Stores / Shops,New Arrival Showcase,631011.87,225,2804.50,526.27,4989.84
Clothing,Levi's,Small Stores / Shops,New Product Launch Promo,602765.86,216,2790.58,521.39,4975.69
Clothing,Levi's,Small Stores / Shops,New Year Kickoff,677452.87,234,2895.10,518.02,4976.14
Clothing,Levi's,Small Stores / Shops,Price Drop Parade,595038.10,227,2621.31,510.90,4999.49
Clothing,Levi's,Small Stores / Shops,Red Tag Clearance,632578.31,228,2774.47,501.14,4996.92
Clothing,Levi's,Small Stores / Shops,Seasonal Surprise Box,622650.16,226,2755.09,507.72,4975.63
Clothing,Levi's,Small Stores / Shops,Shop & Save Spectacular,743718.24,252,2951.26,502.23,4995.64
Clothing,Levi's,Small Stores / Shops,Smart Shopper Week,614099.02,222,2766.21,501.31,4978.12
Clothing,Levi's,Small Stores / Shops,Spring Refresh Event,563369.73,212,2657.40,526.82,4966.14
Clothing,Levi's,Small Stores / Shops,Spring Splash Discounts,646419.32,228,2835.17,561.35,4998.97
Clothing,Levi's,Small Stores / Shops,Summer Sizzle Promo,667605.48,250,2670.42,558.77,4995.49
Clothing,Levi's,Small Stores / Shops,Super Savings Week,623198.95,224,2782.14,506.81,4947.59
Clothing,Levi's,Small Stores / Shops,Ultimate Value Event,679942.71,243,2798.12,500.17,4944.67
Clothing,Levi's,Small Stores / Shops,VIP Access Sale,744608.12,262,2842.02,519.78,4949.01
Clothing,Levi's,Small Stores / Shops,Weekend Warrior Specials,636490.66,246,2587.36,517.69,4934.98
Clothing,Levi's,Small Stores / Shops,Winter Clearance Carnival,550086.60,207,2657.42,516.12,4989.85
Clothing,Levi's,Small Stores / Shops,Winter Wonders Sale,620462.55,234,2651.55,538.73,4999.21
Clothing,Levi's,Supermarkets ,12 Days of Deals,647186.06,235,2753.98,567.71,4994.45
Clothing,Levi's,Supermarkets ,Autumn Deals Drive,680455.23,247,2754.88,509.47,4992.45
Clothing,Levi's,Supermarkets ,BOGO Blitz,684029.27,242,2826.57,526.73,4996.75
Clothing,Levi's,Supermarkets ,Back to School Boost,569532.64,227,2508.95,502.44,4989.26
Clothing,Levi's,Supermarkets ,Birthday Bash Sale,640634.06,235,2726.10,529.73,4972.66
Clothing,Levi's,Supermarkets ,Black Friday Blowout,647110.87,246,2630.53,536.29,4976.83
Clothing,Levi's,Supermarkets ,Cart Crasher Campaign,632526.70,229,2762.13,519.54,4953.00
Clothing,Levi's,Supermarkets ,Cashback Carnival,691536.94,243,2845.83,533.54,4973.33
Clothing,Levi's,Supermarkets ,Clearance Countdown,584413.74,216,2705.62,530.24,4995.43
Clothing,Levi's,Supermarkets ,Countdown to Savings,595793.50,224,2659.79,518.08,4990.95
Clothing,Levi's,Supermarkets ,Customer Appreciation Week,657237.04,237,2773.15,519.21,4983.91
Clothing,Levi's,Supermarkets ,Cyber Monday Mania,692468.29,242,2861.44,504.42,4987.49
Clothing,Levi's,Supermarkets ,Deal of the Month,671526.09,232,2894.51,502.13,4973.22
Clothing,Levi's,Supermarkets ,Double Points Bonanza,592921.37,211,2810.05,500.63,4989.35
Clothing,Levi's,Supermarkets ,Early Bird Specials,596041.32,222,2684.87,501.24,4969.72
Clothing,Levi's,Supermarkets ,End of Season Sale,680820.27,248,2745.24,517.03,4912.84
Clothing,Levi's,Supermarkets ,Exclusive Insider Offers,634821.56,233,2724.56,504.62,4961.69
Clothing,Levi's,Supermarkets ,Festive Fever Promo,657969.44,237,2776.24,524.93,4961.84
Clothing,Levi's,Supermarkets ,Final Call Frenzy,651743.54,238,2738.42,514.60,4964.33
Clothing,Levi's,Supermarkets ,Flash Frenzy Friday,668591.53,236,2833.01,579.34,4977.77
Clothing,Levi's,Supermarkets ,"Gift More, Spend Less",602352.99,230,2618.93,501.94,4961.55
Clothing,Levi's,Supermarkets ,Golden Hour Bargains,655696.77,232,2826.28,517.13,4969.80
