category,brand,customer_segment,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Festive Fever Promo,8197.00,3,2732.33,1508.76,3480.55
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Final Call Frenzy,19649.63,6,3274.94,2138.02,4862.72
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Flash Frenzy Friday,15537.89,5,3107.58,612.03,4829.29
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,"Gift More, Spend Less",19654.74,5,3930.95,3161.59,4799.21
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Golden Hour Bargains,11861.50,4,2965.38,2384.86,4431.20
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Green Weekend Deals,24694.94,7,3527.85,1647.76,4782.62
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Happy Hour Discounts,5609.87,2,2804.93,1496.91,4112.96
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Holiday Shopping Rush,15454.90,5,3090.98,1061.43,4513.82
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Hot Picks Promo,11169.15,5,2233.83,666.80,3551.62
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Instant Gratification Sale,10047.26,5,2009.45,779.07,3431.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Limited Time Treasures,12531.65,4,3132.91,1066.78,4983.53
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Loyalty Rewards Blast,12320.59,4,3080.15,1851.55,4421.66
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Mid-Year Madness,16621.60,6,2770.27,1123.24,4741.75
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Midnight Madness,15316.25,6,2552.71,1667.72,3655.82
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Mystery Discount Days,6694.62,2,3347.31,2472.53,4222.09
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,New Arrival Showcase,22620.14,7,3231.45,918.57,4517.57
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,New Year Kickoff,8802.15,3,2934.05,2020.14,3547.11
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Price Drop Parade,13442.79,5,2688.56,1207.55,4375.53
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Seasonal Surprise Box,14081.50,5,2816.30,1375.89,4475.90
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Shop & Save Spectacular,21535.84,7,3076.55,1555.55,4711.06
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Smart Shopper Week,17166.15,5,3433.23,1364.79,4985.85
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Spring Refresh Event,14745.45,5,2949.09,1485.44,4138.81
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Spring Splash Discounts,14679.37,4,3669.84,3112.74,4690.81
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Super Savings Week,6769.24,3,2256.41,1158.19,3111.56
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Ultimate Value Event,11267.46,4,2816.86,2473.89,3632.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,VIP Access Sale,12027.97,5,2405.59,847.51,4138.10
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Weekend Warrior Specials,14542.89,6,2423.81,877.78,4028.22
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Winter Clearance Carnival,10526.98,5,2105.40,932.64,4280.31
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Winter Wonders Sale,17719.49,5,3543.90,2635.69,4542.37
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,12 Days of Deals,12390.61,4,3097.65,1488.81,4747.83
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Autumn Deals Drive,15935.78,4,3983.95,2384.02,4982.16
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,BOGO Blitz,13472.10,5,2694.42,556.73,4863.46
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Back to School Boost,15394.77,7,2199.25,760.99,4811.57
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Birthday Bash Sale,7911.20,4,1977.80,1226.11,2494.46
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Black Friday Blowout,12837.77,6,2139.63,576.66,3549.27
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Cart Crasher Campaign,17627.55,5,3525.51,1051.00,4917.92
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Cashback Carnival,15760.04,4,3940.01,2579.57,4783.27
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Clearance Countdown,14840.90,5,2968.18,750.90,4949.25
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Countdown to Savings,8899.05,3,2966.35,2054.33,4769.97
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Customer Appreciation Week,13400.28,4,3350.07,1546.90,4230.93
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Cyber Monday Mania,34652.41,11,3150.22,1132.80,4798.87
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Deal of the Month,13224.04,4,3306.01,2111.98,4238.25
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Double Points Bonanza,27189.64,10,2718.96,1141.35,4475.21
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Early Bird Specials,13429.04,5,2685.81,812.33,4059.81
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,End of Season Sale,21939.19,6,3656.53,671.30,4765.37
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Exclusive Insider Offers,14788.91,5,2957.78,644.85,4081.05
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Festive Fever Promo,13337.60,5,2667.52,825.21,3964.89
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Final Call Frenzy,17994.21,6,2999.04,1401.80,4784.72
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Flash Frenzy Friday,18931.13,7,2704.45,1062.18,4781.40
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Golden Hour Bargains,15522.34,5,3104.47,1525.15,4795.87
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Green Weekend Deals,28550.86,12,2379.24,698.96,4778.33
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Happy Hour Discounts,9482.33,4,2370.58,1229.03,4082.78
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Holiday Shopping Rush,14671.08,4,3667.77,2364.36,4618.44
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Hot Picks Promo,18327.86,8,2290.98,904.58,4092.97
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Instant Gratification Sale,9118.39,3,3039.46,2757.60,3349.80
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Limited Time Treasures,19787.79,7,2826.83,1016.79,4076.57
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Loyalty Rewards Blast,24858.62,6,4143.10,3577.65,4589.69
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Mega Weekend Bonanza,11845.19,4,2961.30,958.92,4877.27
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Mystery Discount Days,26099.81,7,3728.54,1615.23,4943.34
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,New Arrival Showcase,18611.62,6,3101.94,1216.66,4688.55
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,New Product Launch Promo,10410.48,5,2082.10,985.80,3878.16
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,New Year Kickoff,7272.67,5,1454.53,560.26,2339.53
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Price Drop Parade,6536.06,3,2178.69,1546.84,3378.46
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Red Tag Clearance,13490.29,4,3372.57,2428.74,4324.83
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Seasonal Surprise Box,17339.80,6,2889.97,1402.88,4699.88
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Shop & Save Spectacular,22422.57,8,2802.82,783.02,4992.75
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Smart Shopper Week,18390.64,7,2627.23,744.43,3906.97
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Spring Splash Discounts,13016.37,6,2169.39,572.77,4543.53
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Summer Sizzle Promo,27455.22,8,3431.90,1244.28,4982.52
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Super Savings Week,12591.49,3,4197.16,3715.02,4731.13
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Ultimate Value Event,15858.29,6,2643.05,1346.34,4491.14
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,VIP Access Sale,15184.39,6,2530.73,1012.42,4730.10
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Weekend Warrior Specials,10293.74,5,2058.75,684.46,4263.54
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Winter Clearance Carnival,20474.29,8,2559.29,1019.43,4253.60
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,Winter Wonders Sale,21379.84,8,2672.48,665.58,4699.12
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,12 Days of Deals,26110.59,9,2901.18,825.86,4954.87
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,BOGO Blitz,33043.20,10,3304.32,2053.81,4409.49
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Back to School Boost,12729.60,6,2121.60,551.27,4910.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Birthday Bash Sale,13107.71,3,4369.24,3717.65,4845.41
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Black Friday Blowout,26517.59,8,3314.70,1029.49,4880.99
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Cart Crasher Campaign,10599.57,4,2649.89,589.99,4071.43
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Cashback Carnival,8965.63,4,2241.41,623.51,4139.51
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Clearance Countdown,8267.54,3,2755.85,515.41,4360.37
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Countdown to Savings,16368.50,5,3273.70,1015.99,4747.75
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Customer Appreciation Week,6374.17,3,2124.72,681.15,3684.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Deal of the Month,26599.06,8,3324.88,1402.02,4832.34
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Double Points Bonanza,8820.99,5,1764.20,863.40,2808.93
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Early Bird Specials,37929.64,11,3448.15,753.22,4820.54
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,End of Season Sale,21403.51,8,2675.44,597.99,4494.85
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Exclusive Insider Offers,18192.86,6,3032.14,2037.23,4399.23
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Festive Fever Promo,17500.92,5,3500.18,2306.63,4252.29
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Final Call Frenzy,15745.41,5,3149.08,1658.67,4738.14
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Flash Frenzy Friday,17762.09,5,3552.42,1662.35,4558.03
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,"Gift More, Spend Less",10376.50,3,3458.83,1579.37,4932.16
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Golden Hour Bargains,6636.60,2,3318.30,2953.05,3683.55
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Green Weekend Deals,10156.18,4,2539.04,930.56,4926.07
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Happy Hour Discounts,8600.40,3,2866.80,1337.05,4310.99
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Holiday Shopping Rush,10198.71,3,3399.57,1585.75,4906.00
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Hot Picks Promo,18273.82,6,3045.64,1638.30,4942.51
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Instant Gratification Sale,20081.92,7,2868.85,577.08,4470.48
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Limited Time Treasures,13771.97,4,3442.99,1777.07,4411.07
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Loyalty Rewards Blast,17803.76,8,2225.47,813.91,3843.06
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Mega Weekend Bonanza,23223.15,7,3317.59,1128.20,4915.82
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Mid-Year Madness,15251.94,5,3050.39,1224.36,4207.74
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Midnight Madness,17436.63,6,2906.11,1248.43,4737.68
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Mystery Discount Days,17357.96,7,2479.71,613.27,3667.68
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,New Arrival Showcase,13597.89,5,2719.58,836.76,4631.65
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,New Product Launch Promo,13674.38,4,3418.60,1044.12,4999.95
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,New Year Kickoff,16968.85,7,2424.12,820.87,3981.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Price Drop Parade,11044.95,5,2208.99,511.21,3867.86
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Red Tag Clearance,8268.90,4,2067.23,649.19,4162.66
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Seasonal Surprise Box,5520.43,2,2760.21,2021.49,3498.94
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Shop & Save Spectacular,26822.45,10,2682.24,905.55,4778.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Smart Shopper Week,22335.29,10,2233.53,684.11,3642.04
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Spring Refresh Event,23252.66,8,2906.58,728.01,4765.63
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Spring Splash Discounts,28082.72,9,3120.30,981.66,4790.69
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Summer Sizzle Promo,24428.14,9,2714.24,663.88,4930.56
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Super Savings Week,17572.99,7,2510.43,936.80,4572.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Ultimate Value Event,13131.16,4,3282.79,2331.44,4540.39
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,VIP Access Sale,13401.88,4,3350.47,2343.85,4584.54
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Weekend Warrior Specials,8603.23,4,2150.81,640.28,3314.84
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Winter Clearance Carnival,8605.44,4,2151.36,823.59,3505.27
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,Winter Wonders Sale,17351.43,5,3470.29,1414.55,4582.07
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,12 Days of Deals,16965.47,8,2120.68,888.20,3459.04
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Autumn Deals Drive,7872.01,4,1968.00,784.65,4221.54
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,BOGO Blitz,19940.32,6,3323.39,2188.10,4973.52
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Back to School Boost,15628.82,4,3907.20,3520.90,4514.09
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Birthday Bash Sale,7835.95,4,1958.99,718.31,3419.04
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Black Friday Blowout,12608.18,5,2521.64,1583.40,3859.59
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cart Crasher Campaign,17009.48,5,3401.90,896.50,4719.93
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cashback Carnival,7654.05,6,1275.67,534.21,2810.94
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Clearance Countdown,14641.81,7,2091.69,632.15,3521.32
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Countdown to Savings,5774.22,2,2887.11,1099.94,4674.28
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Customer Appreciation Week,5187.24,2,2593.62,2116.55,3070.69
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Deal of the Month,18823.54,7,2689.08,1248.50,4599.58
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Double Points Bonanza,7769.88,4,1942.47,544.68,3864.57
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Early Bird Specials,6407.59,2,3203.79,1477.38,4930.21
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,End of Season Sale,27418.11,8,3427.26,938.73,4461.83
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Exclusive Insider Offers,7592.50,4,1898.12,731.97,2876.39
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Festive Fever Promo,12689.23,4,3172.31,1344.19,4825.66
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Final Call Frenzy,16692.34,5,3338.47,673.62,4832.59
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Flash Frenzy Friday,16660.84,5,3332.17,1247.29,4212.70
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,"Gift More, Spend Less",13978.39,3,4659.46,4565.05,4761.09
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Green Weekend Deals,15544.27,5,3108.85,1620.32,4686.22
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Holiday Shopping Rush,17163.12,6,2860.52,1123.37,4867.73
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Hot Picks Promo,13078.77,4,3269.69,1151.97,4630.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Instant Gratification Sale,22149.31,8,2768.66,522.75,4665.63
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Limited Time Treasures,13670.23,4,3417.56,1155.65,4520.33
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Loyalty Rewards Blast,5082.15,2,2541.08,1772.78,3309.37
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mega Weekend Bonanza,7997.35,2,3998.67,3921.65,4075.70
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mid-Year Madness,6887.02,4,1721.76,509.13,3320.86
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mystery Discount Days,8049.95,3,2683.32,1211.77,4720.94
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Arrival Showcase,10812.03,3,3604.01,1458.57,4785.54
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Product Launch Promo,12706.76,5,2541.35,1104.19,4326.82
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Year Kickoff,11778.20,6,1963.03,788.30,3906.46
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Price Drop Parade,17152.42,6,2858.74,790.62,4963.26
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Red Tag Clearance,12079.11,4,3019.78,908.35,4704.56
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Seasonal Surprise Box,6882.26,3,2294.09,937.69,3430.36
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Shop & Save Spectacular,16495.85,6,2749.31,816.43,4604.84
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Smart Shopper Week,5378.35,3,1792.78,1052.06,2172.92
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Spring Splash Discounts,12790.24,5,2558.05,1751.41,3268.67
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Summer Sizzle Promo,9466.97,3,3155.66,1142.50,4975.12
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Super Savings Week,18079.99,6,3013.33,922.99,4849.86
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Ultimate Value Event,9660.02,4,2415.01,631.79,4105.43
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,VIP Access Sale,17391.05,6,2898.51,937.91,4797.32
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Weekend Warrior Specials,25231.61,9,2803.51,825.66,4449.81
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Winter Clearance Carnival,14989.76,4,3747.44,2373.80,4585.63
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Winter Wonders Sale,20423.31,6,3403.89,1712.77,4969.49
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,12 Days of Deals,14921.99,6,2487.00,585.70,4666.81
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Autumn Deals Drive,18661.62,9,2073.51,741.41,3571.17
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,BOGO Blitz,14722.62,7,2103.23,884.39,4833.26
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Back to School Boost,42849.36,13,3296.10,2034.64,4627.93
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Birthday Bash Sale,7582.77,3,2527.59,1765.58,3935.58
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Black Friday Blowout,18681.85,7,2668.84,910.89,4183.02
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Cart Crasher Campaign,17310.08,8,2163.76,964.78,3337.46
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Cashback Carnival,10692.34,5,2138.47,1182.49,3174.79
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Clearance Countdown,27289.00,8,3411.12,1675.59,4945.59
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Countdown to Savings,17509.46,5,3501.89,849.95,4745.43
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Customer Appreciation Week,5282.11,2,2641.06,901.97,4380.14
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Cyber Monday Mania,11510.21,3,3836.74,3485.80,4252.28
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Deal of the Month,20533.08,8,2566.63,598.75,4252.13
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Double Points Bonanza,12071.92,6,2011.99,812.89,4158.18
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Early Bird Specials,10444.88,5,2088.98,873.36,4504.48
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,End of Season Sale,19312.37,6,3218.73,2335.13,4788.39
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Exclusive Insider Offers,13196.26,5,2639.25,987.93,3428.42
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Festive Fever Promo,12536.17,7,1790.88,898.04,3985.76
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Final Call Frenzy,22776.25,10,2277.63,746.29,4164.98
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Flash Frenzy Friday,20817.41,8,2602.18,733.19,4467.65
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,"Gift More, Spend Less",21255.59,6,3542.60,2016.81,4988.68
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,Golden Hour Bargains,17027.65,7,2432.52,929.60,4219.80
