brand,customer_segment,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,Large Malls / Complexes,New Year Kickoff,95879.34,38,2523.14,560.26,4944.12
Adidas,Budget Shopper,Large Malls / Complexes,Price Drop Parade,84230.21,34,2477.36,511.21,4963.26
Adidas,Budget Shopper,Large Malls / Complexes,Red Tag Clearance,101251.76,36,2812.55,547.87,4704.56
Adidas,Budget Shopper,Large Malls / Complexes,Seasonal Surprise Box,111787.61,40,2794.69,666.59,4836.04
Adidas,Budget Shopper,Large Malls / Complexes,Shop & Save Spectacular,144881.26,52,2786.18,540.24,4992.75
Adidas,Budget Shopper,Large Malls / Complexes,Smart Shopper Week,143666.90,52,2762.82,684.11,4985.85
Adidas,Budget Shopper,Large Malls / Complexes,Spring Refresh Event,103201.01,37,2789.22,728.01,4782.02
Adidas,Budget Shopper,Large Malls / Complexes,Spring Splash Discounts,111532.14,38,2935.06,572.77,4863.07
Adidas,Budget Shopper,Large Malls / Complexes,Summer Sizzle Promo,98753.33,36,2743.15,651.49,4982.52
Adidas,Budget Shopper,Large Malls / Complexes,Super Savings Week,93772.20,32,2930.38,640.66,4849.86
Adidas,Budget Shopper,Large Malls / Complexes,Ultimate Value Event,91492.93,34,2690.97,631.79,4889.17
Adidas,Budget Shopper,Large Malls / Complexes,VIP Access Sale,130785.48,43,3041.52,576.87,4900.21
Adidas,Budget Shopper,Large Malls / Complexes,Weekend Warrior Specials,106974.44,43,2487.78,640.28,4729.55
Adidas,Budget Shopper,Large Malls / Complexes,Winter Clearance Carnival,143841.01,51,2820.41,628.77,4993.51
Adidas,Budget Shopper,Large Malls / Complexes,Winter Wonders Sale,134500.58,45,2988.90,665.58,4969.49
Adidas,Budget Shopper,Small Stores / Shops,12 Days of Deals,147794.14,60,2463.24,512.05,4784.68
Adidas,Budget Shopper,Small Stores / Shops,Autumn Deals Drive,113591.11,43,2641.65,526.60,4846.31
Adidas,Budget Shopper,Small Stores / Shops,BOGO Blitz,126343.99,50,2526.88,635.44,4833.26
Adidas,Budget Shopper,Small Stores / Shops,Back to School Boost,124650.90,46,2709.80,624.80,4701.84
Adidas,Budget Shopper,Small Stores / Shops,Birthday Bash Sale,124632.76,47,2651.76,576.60,4879.79
Adidas,Budget Shopper,Small Stores / Shops,Black Friday Blowout,114152.24,43,2654.70,628.88,4514.81
Adidas,Budget Shopper,Small Stores / Shops,Cart Crasher Campaign,108831.19,38,2863.98,635.49,4931.02
Adidas,Budget Shopper,Small Stores / Shops,Cashback Carnival,119106.98,47,2534.19,566.74,4950.22
Adidas,Budget Shopper,Small Stores / Shops,Clearance Countdown,124780.12,46,2712.61,511.56,4964.25
Adidas,Budget Shopper,Small Stores / Shops,Countdown to Savings,107847.45,41,2630.43,516.38,4757.11
Adidas,Budget Shopper,Small Stores / Shops,Customer Appreciation Week,137338.94,50,2746.78,523.17,4925.34
Adidas,Budget Shopper,Small Stores / Shops,Cyber Monday Mania,108817.71,38,2863.62,628.59,4993.46
Adidas,Budget Shopper,Small Stores / Shops,Deal of the Month,138745.06,46,3016.20,598.75,4907.31
Adidas,Budget Shopper,Small Stores / Shops,Double Points Bonanza,108222.72,40,2705.57,705.15,4859.34
Adidas,Budget Shopper,Small Stores / Shops,Early Bird Specials,152774.19,52,2937.97,790.93,4911.81
Adidas,Budget Shopper,Small Stores / Shops,End of Season Sale,135849.93,46,2953.26,549.70,4898.24
Adidas,Budget Shopper,Small Stores / Shops,Exclusive Insider Offers,110985.13,48,2312.19,507.80,4714.20
Adidas,Budget Shopper,Small Stores / Shops,Festive Fever Promo,131180.57,51,2572.17,581.00,4924.03
Adidas,Budget Shopper,Small Stores / Shops,Final Call Frenzy,119093.24,43,2769.61,720.42,4989.90
Adidas,Budget Shopper,Small Stores / Shops,Flash Frenzy Friday,113487.59,45,2521.95,585.75,4942.19
Adidas,Budget Shopper,Small Stores / Shops,"Gift More, Spend Less",120276.24,43,2797.12,524.46,4988.68
Adidas,Budget Shopper,Small Stores / Shops,Golden Hour Bargains,133154.65,48,2774.06,722.18,4913.24
Adidas,Budget Shopper,Small Stores / Shops,Green Weekend Deals,95952.93,37,2593.32,647.53,4864.28
Adidas,Budget Shopper,Small Stores / Shops,Happy Hour Discounts,127813.22,50,2556.26,570.89,4796.34
Adidas,Budget Shopper,Small Stores / Shops,Holiday Shopping Rush,131481.80,49,2683.30,599.68,4738.44
Adidas,Budget Shopper,Small Stores / Shops,Hot Picks Promo,114557.62,40,2863.94,631.23,4942.40
Adidas,Budget Shopper,Small Stores / Shops,Instant Gratification Sale,86882.33,30,2896.08,626.74,4994.90
Adidas,Budget Shopper,Small Stores / Shops,Limited Time Treasures,118481.08,45,2632.91,811.64,4901.98
Adidas,Budget Shopper,Small Stores / Shops,Loyalty Rewards Blast,98274.97,39,2519.87,545.47,4583.54
Adidas,Budget Shopper,Small Stores / Shops,Mega Weekend Bonanza,126720.29,46,2754.79,582.79,4845.90
Adidas,Budget Shopper,Small Stores / Shops,Mid-Year Madness,118518.13,45,2633.74,548.03,4949.66
Adidas,Budget Shopper,Small Stores / Shops,Midnight Madness,119208.61,46,2591.49,518.16,4556.49
Adidas,Budget Shopper,Small Stores / Shops,Mystery Discount Days,92876.11,35,2653.60,603.30,4913.05
Adidas,Budget Shopper,Small Stores / Shops,New Arrival Showcase,106657.19,38,2806.77,605.41,4727.85
Adidas,Budget Shopper,Small Stores / Shops,New Product Launch Promo,128793.36,48,2683.19,541.28,4834.31
Adidas,Budget Shopper,Small Stores / Shops,New Year Kickoff,143192.18,49,2922.29,553.61,4995.24
Adidas,Budget Shopper,Small Stores / Shops,Price Drop Parade,74051.28,33,2243.98,537.35,4976.80
Adidas,Budget Shopper,Small Stores / Shops,Red Tag Clearance,98392.84,33,2981.60,639.83,4954.02
Adidas,Budget Shopper,Small Stores / Shops,Seasonal Surprise Box,111767.91,39,2865.84,578.21,4963.96
Adidas,Budget Shopper,Small Stores / Shops,Shop & Save Spectacular,150560.75,49,3072.67,572.84,4966.83
Adidas,Budget Shopper,Small Stores / Shops,Smart Shopper Week,126300.61,46,2745.67,554.36,4946.40
Adidas,Budget Shopper,Small Stores / Shops,Spring Refresh Event,106674.24,37,2883.09,608.36,4930.99
Adidas,Budget Shopper,Small Stores / Shops,Spring Splash Discounts,139202.07,52,2676.96,534.86,4960.87
Adidas,Budget Shopper,Small Stores / Shops,Summer Sizzle Promo,134690.64,48,2806.06,581.51,4983.81
Adidas,Budget Shopper,Small Stores / Shops,Super Savings Week,107305.71,41,2617.21,624.26,4859.11
Adidas,Budget Shopper,Small Stores / Shops,Ultimate Value Event,126900.15,45,2820.00,577.95,4998.36
Adidas,Budget Shopper,Small Stores / Shops,VIP Access Sale,135215.29,46,2939.46,534.21,4991.92
Adidas,Budget Shopper,Small Stores / Shops,Weekend Warrior Specials,121845.59,45,2707.68,561.75,4819.97
Adidas,Budget Shopper,Small Stores / Shops,Winter Clearance Carnival,149387.10,54,2766.43,610.80,4823.60
Adidas,Budget Shopper,Small Stores / Shops,Winter Wonders Sale,123851.69,47,2635.14,618.03,4771.84
Adidas,Budget Shopper,Supermarkets ,12 Days of Deals,133289.79,48,2776.87,505.04,4835.28
Adidas,Budget Shopper,Supermarkets ,Autumn Deals Drive,103323.39,43,2402.87,549.62,4752.15
Adidas,Budget Shopper,Supermarkets ,BOGO Blitz,127020.36,50,2540.41,599.07,4969.91
Adidas,Budget Shopper,Supermarkets ,Back to School Boost,112106.70,44,2547.88,510.39,4939.84
Adidas,Budget Shopper,Supermarkets ,Birthday Bash Sale,130175.88,49,2656.65,518.24,4929.82
Adidas,Budget Shopper,Supermarkets ,Black Friday Blowout,139679.24,47,2971.90,910.83,4965.74
Adidas,Budget Shopper,Supermarkets ,Cart Crasher Campaign,139318.07,46,3028.65,571.88,4903.52
Adidas,Budget Shopper,Supermarkets ,Cashback Carnival,149050.34,54,2760.19,587.98,4951.70
Adidas,Budget Shopper,Supermarkets ,Clearance Countdown,89670.36,39,2299.24,503.98,4580.75
Adidas,Budget Shopper,Supermarkets ,Countdown to Savings,126794.78,42,3018.92,709.63,4966.52
Adidas,Budget Shopper,Supermarkets ,Customer Appreciation Week,113227.52,39,2903.27,625.03,4771.79
Adidas,Budget Shopper,Supermarkets ,Cyber Monday Mania,140765.17,53,2655.95,551.31,4679.00
Adidas,Budget Shopper,Supermarkets ,Deal of the Month,75153.39,28,2684.05,802.43,4848.05
Adidas,Budget Shopper,Supermarkets ,Double Points Bonanza,120911.55,44,2747.99,502.14,4935.43
Adidas,Budget Shopper,Supermarkets ,Early Bird Specials,104146.78,35,2975.62,958.79,4996.74
Adidas,Budget Shopper,Supermarkets ,End of Season Sale,108339.20,37,2928.09,630.34,4971.31
Adidas,Budget Shopper,Supermarkets ,Exclusive Insider Offers,86642.95,38,2280.08,545.22,4884.21
Adidas,Budget Shopper,Supermarkets ,Festive Fever Promo,121107.59,48,2523.07,553.16,4892.93
Adidas,Budget Shopper,Supermarkets ,Final Call Frenzy,172255.45,56,3075.99,575.48,4995.87
Adidas,Budget Shopper,Supermarkets ,Flash Frenzy Friday,116901.80,43,2718.65,501.20,4990.62
Adidas,Budget Shopper,Supermarkets ,"Gift More, Spend Less",99124.35,38,2608.54,561.37,4971.08
Adidas,Budget Shopper,Supermarkets ,Golden Hour Bargains,128424.67,46,2791.84,539.02,4979.97
Adidas,Budget Shopper,Supermarkets ,Green Weekend Deals,129353.28,46,2812.03,539.17,4749.43
Adidas,Budget Shopper,Supermarkets ,Happy Hour Discounts,140670.58,53,2654.16,505.03,4919.71
Adidas,Budget Shopper,Supermarkets ,Holiday Shopping Rush,134666.57,53,2540.88,568.36,4894.76
Adidas,Budget Shopper,Supermarkets ,Hot Picks Promo,164672.62,60,2744.54,610.78,4990.00
Adidas,Budget Shopper,Supermarkets ,Instant Gratification Sale,107592.60,41,2624.21,563.61,4973.14
Adidas,Budget Shopper,Supermarkets ,Limited Time Treasures,136094.19,48,2835.30,532.31,4797.34
Adidas,Budget Shopper,Supermarkets ,Loyalty Rewards Blast,103515.61,37,2797.72,672.31,4971.65
Adidas,Budget Shopper,Supermarkets ,Mega Weekend Bonanza,120825.39,48,2517.20,574.73,4980.14
Adidas,Budget Shopper,Supermarkets ,Mid-Year Madness,111688.52,40,2792.21,678.52,4883.34
Adidas,Budget Shopper,Supermarkets ,Midnight Madness,131306.47,45,2917.92,548.00,4990.39
Adidas,Budget Shopper,Supermarkets ,Mystery Discount Days,155750.95,58,2685.36,635.57,4876.22
Adidas,Budget Shopper,Supermarkets ,New Arrival Showcase,135237.51,48,2817.45,550.60,4974.28
Adidas,Budget Shopper,Supermarkets ,New Product Launch Promo,108499.31,40,2712.48,501.61,4925.61
Adidas,Budget Shopper,Supermarkets ,New Year Kickoff,108382.80,42,2580.54,519.85,4881.31
Adidas,Budget Shopper,Supermarkets ,Price Drop Parade,124712.68,47,2653.46,574.65,4946.19
Adidas,Budget Shopper,Supermarkets ,Red Tag Clearance,134649.02,49,2747.94,520.14,4964.81
Adidas,Budget Shopper,Supermarkets ,Seasonal Surprise Box,125578.26,41,3062.88,527.98,4982.93
Adidas,Budget Shopper,Supermarkets ,Shop & Save Spectacular,110901.69,43,2579.11,516.93,4954.44
Adidas,Budget Shopper,Supermarkets ,Smart Shopper Week,99463.04,39,2550.33,634.92,4757.08
Adidas,Budget Shopper,Supermarkets ,Spring Refresh Event,155497.30,58,2680.99,541.03,4987.97
Adidas,Budget Shopper,Supermarkets ,Spring Splash Discounts,150402.37,56,2685.76,566.81,4990.13
Adidas,Budget Shopper,Supermarkets ,Summer Sizzle Promo,108036.74,40,2700.92,651.51,4974.26
Adidas,Budget Shopper,Supermarkets ,Super Savings Week,96830.09,41,2361.71,622.39,4734.18
Adidas,Budget Shopper,Supermarkets ,Ultimate Value Event,139159.49,46,3025.21,548.08,4878.14
Adidas,Budget Shopper,Supermarkets ,VIP Access Sale,188257.09,67,2809.81,570.09,4848.12
Adidas,Budget Shopper,Supermarkets ,Weekend Warrior Specials,164753.80,56,2942.03,675.90,4935.09
Adidas,Budget Shopper,Supermarkets ,Winter Clearance Carnival,121648.96,44,2764.75,542.82,4971.08
Adidas,Budget Shopper,Supermarkets ,Winter Wonders Sale,146636.83,50,2932.74,506.23,4932.73
Adidas,Churn Risk,Large Malls / Complexes,12 Days of Deals,104531.40,39,2680.29,679.11,4506.15
Adidas,Churn Risk,Large Malls / Complexes,Autumn Deals Drive,69755.29,25,2790.21,861.26,4531.38
Adidas,Churn Risk,Large Malls / Complexes,BOGO Blitz,122876.65,43,2857.60,774.21,4905.72
Adidas,Churn Risk,Large Malls / Complexes,Back to School Boost,108962.44,38,2867.43,757.94,4981.81
Adidas,Churn Risk,Large Malls / Complexes,Birthday Bash Sale,116373.25,41,2838.37,573.64,4957.03
Adidas,Churn Risk,Large Malls / Complexes,Black Friday Blowout,109683.65,37,2964.42,574.45,4964.85
Adidas,Churn Risk,Large Malls / Complexes,Cart Crasher Campaign,112856.69,37,3050.18,540.89,4979.31
Adidas,Churn Risk,Large Malls / Complexes,Cashback Carnival,128165.92,47,2726.93,526.46,4877.37
Adidas,Churn Risk,Large Malls / Complexes,Clearance Countdown,118753.10,40,2968.83,575.39,4973.84
Adidas,Churn Risk,Large Malls / Complexes,Countdown to Savings,96167.64,34,2828.46,553.26,4806.75
Adidas,Churn Risk,Large Malls / Complexes,Customer Appreciation Week,144099.28,53,2718.85,605.52,4937.49
Adidas,Churn Risk,Large Malls / Complexes,Cyber Monday Mania,119817.94,37,3238.32,834.60,4974.49
Adidas,Churn Risk,Large Malls / Complexes,Deal of the Month,114221.93,41,2785.90,511.14,4845.59
Adidas,Churn Risk,Large Malls / Complexes,Double Points Bonanza,124801.33,49,2546.97,538.98,4701.52
Adidas,Churn Risk,Large Malls / Complexes,Early Bird Specials,124079.59,44,2819.99,628.80,4839.37
Adidas,Churn Risk,Large Malls / Complexes,End of Season Sale,138520.36,50,2770.41,560.40,4983.53
Adidas,Churn Risk,Large Malls / Complexes,Exclusive Insider Offers,147263.83,53,2778.56,590.62,4984.33
Adidas,Churn Risk,Large Malls / Complexes,Festive Fever Promo,107417.79,39,2754.30,701.96,4986.10
Adidas,Churn Risk,Large Malls / Complexes,Final Call Frenzy,144073.23,51,2824.97,541.76,4897.76
Adidas,Churn Risk,Large Malls / Complexes,Flash Frenzy Friday,126755.15,48,2640.73,580.40,4858.64
Adidas,Churn Risk,Large Malls / Complexes,"Gift More, Spend Less",108382.01,41,2643.46,647.25,4945.55
Adidas,Churn Risk,Large Malls / Complexes,Golden Hour Bargains,141787.53,48,2953.91,508.67,4791.61
Adidas,Churn Risk,Large Malls / Complexes,Green Weekend Deals,103842.48,41,2532.74,602.01,4910.87
Adidas,Churn Risk,Large Malls / Complexes,Happy Hour Discounts,128767.88,53,2429.58,505.67,4994.51
Adidas,Churn Risk,Large Malls / Complexes,Holiday Shopping Rush,149625.59,50,2992.51,655.08,4826.87
Adidas,Churn Risk,Large Malls / Complexes,Hot Picks Promo,150260.11,52,2889.62,544.41,4927.71
Adidas,Churn Risk,Large Malls / Complexes,Instant Gratification Sale,137891.24,50,2757.82,568.56,4914.64
Adidas,Churn Risk,Large Malls / Complexes,Limited Time Treasures,73005.26,24,3041.89,847.74,4831.16
Adidas,Churn Risk,Large Malls / Complexes,Loyalty Rewards Blast,110417.72,37,2984.26,587.61,4990.36
Adidas,Churn Risk,Large Malls / Complexes,Mega Weekend Bonanza,80749.17,25,3229.97,802.41,4817.99
Adidas,Churn Risk,Large Malls / Complexes,Mid-Year Madness,140371.62,48,2924.41,545.41,4878.50
Adidas,Churn Risk,Large Malls / Complexes,Midnight Madness,152889.87,53,2884.71,621.78,4994.43
Adidas,Churn Risk,Large Malls / Complexes,Mystery Discount Days,132915.18,47,2827.98,582.64,4880.77
Adidas,Churn Risk,Large Malls / Complexes,New Arrival Showcase,145870.11,52,2805.19,562.25,4732.06
Adidas,Churn Risk,Large Malls / Complexes,New Product Launch Promo,122202.74,40,3055.07,682.54,4999.18
Adidas,Churn Risk,Large Malls / Complexes,New Year Kickoff,138760.83,52,2668.48,619.16,4988.93
Adidas,Churn Risk,Large Malls / Complexes,Price Drop Parade,93948.68,32,2935.90,731.95,4584.76
Adidas,Churn Risk,Large Malls / Complexes,Red Tag Clearance,89262.23,32,2789.44,620.15,4890.57
Adidas,Churn Risk,Large Malls / Complexes,Seasonal Surprise Box,141437.83,46,3074.74,830.10,4907.35
Adidas,Churn Risk,Large Malls / Complexes,Shop & Save Spectacular,112384.23,40,2809.61,511.32,4948.15
Adidas,Churn Risk,Large Malls / Complexes,Smart Shopper Week,158998.99,58,2741.36,624.91,4999.86
Adidas,Churn Risk,Large Malls / Complexes,Spring Refresh Event,97514.34,35,2786.12,672.94,4881.13
Adidas,Churn Risk,Large Malls / Complexes,Spring Splash Discounts,98866.09,37,2672.06,535.63,4956.96
Adidas,Churn Risk,Large Malls / Complexes,Summer Sizzle Promo,104280.33,39,2673.85,548.06,4899.98
Adidas,Churn Risk,Large Malls / Complexes,Super Savings Week,127903.87,45,2842.31,514.34,4962.64
Adidas,Churn Risk,Large Malls / Complexes,Ultimate Value Event,98589.48,39,2527.94,522.48,4979.03
Adidas,Churn Risk,Large Malls / Complexes,VIP Access Sale,139121.45,51,2727.87,831.17,4976.34
Adidas,Churn Risk,Large Malls / Complexes,Weekend Warrior Specials,90715.65,34,2668.11,559.71,4769.30
Adidas,Churn Risk,Large Malls / Complexes,Winter Clearance Carnival,147663.96,47,3141.79,656.39,4997.18
Adidas,Churn Risk,Large Malls / Complexes,Winter Wonders Sale,98379.67,37,2658.91,511.60,4599.05
Adidas,Churn Risk,Small Stores / Shops,12 Days of Deals,128524.18,43,2988.93,538.90,4975.94
Adidas,Churn Risk,Small Stores / Shops,Autumn Deals Drive,136558.50,48,2844.97,913.40,4998.38
Adidas,Churn Risk,Small Stores / Shops,BOGO Blitz,130137.51,44,2957.67,540.74,4991.38
Adidas,Churn Risk,Small Stores / Shops,Back to School Boost,122587.37,43,2850.87,714.74,4987.32
Adidas,Churn Risk,Small Stores / Shops,Birthday Bash Sale,140439.06,51,2753.71,528.52,4993.81
Adidas,Churn Risk,Small Stores / Shops,Black Friday Blowout,118506.01,45,2633.47,567.65,4931.98
Adidas,Churn Risk,Small Stores / Shops,Cart Crasher Campaign,114622.21,46,2491.79,601.34,4772.30
Adidas,Churn Risk,Small Stores / Shops,Cashback Carnival,107366.35,40,2684.16,549.29,4994.16
Adidas,Churn Risk,Small Stores / Shops,Clearance Countdown,119411.35,42,2843.13,563.58,4996.24
Adidas,Churn Risk,Small Stores / Shops,Countdown to Savings,136535.27,49,2786.43,633.90,4746.78
Adidas,Churn Risk,Small Stores / Shops,Customer Appreciation Week,113046.94,40,2826.17,625.16,4891.04
Adidas,Churn Risk,Small Stores / Shops,Cyber Monday Mania,102839.89,36,2856.66,949.93,4919.32
Adidas,Churn Risk,Small Stores / Shops,Deal of the Month,78365.24,30,2612.17,567.68,4922.70
Adidas,Churn Risk,Small Stores / Shops,Double Points Bonanza,83789.65,35,2393.99,504.72,4829.49
Adidas,Churn Risk,Small Stores / Shops,Early Bird Specials,116484.05,40,2912.10,845.90,4995.32
Adidas,Churn Risk,Small Stores / Shops,End of Season Sale,100728.83,40,2518.22,741.21,4893.43
Adidas,Churn Risk,Small Stores / Shops,Exclusive Insider Offers,110300.14,42,2626.19,589.74,4982.41
Adidas,Churn Risk,Small Stores / Shops,Festive Fever Promo,110392.06,37,2983.57,782.36,4848.85
Adidas,Churn Risk,Small Stores / Shops,Final Call Frenzy,128687.36,45,2859.72,527.47,4910.75
Adidas,Churn Risk,Small Stores / Shops,Flash Frenzy Friday,86310.60,34,2538.55,592.66,4875.29
Adidas,Churn Risk,Small Stores / Shops,"Gift More, Spend Less",107222.74,47,2281.33,510.65,4958.60
Adidas,Churn Risk,Small Stores / Shops,Golden Hour Bargains,122232.45,48,2546.51,567.72,4934.70
Adidas,Churn Risk,Small Stores / Shops,Green Weekend Deals,115244.20,40,2881.10,656.92,4948.82
Adidas,Churn Risk,Small Stores / Shops,Happy Hour Discounts,93020.25,32,2906.88,695.02,4892.98
Adidas,Churn Risk,Small Stores / Shops,Holiday Shopping Rush,130923.41,52,2517.76,578.57,4952.40
Adidas,Churn Risk,Small Stores / Shops,Hot Picks Promo,134667.46,51,2640.54,569.35,4806.70
Adidas,Churn Risk,Small Stores / Shops,Instant Gratification Sale,130388.79,49,2661.00,631.32,4882.76
Adidas,Churn Risk,Small Stores / Shops,Limited Time Treasures,108211.64,44,2459.36,624.56,4646.50
Adidas,Churn Risk,Small Stores / Shops,Loyalty Rewards Blast,110460.73,35,3156.02,657.16,4940.38
Adidas,Churn Risk,Small Stores / Shops,Mega Weekend Bonanza,113696.51,40,2842.41,515.58,4992.14
Adidas,Churn Risk,Small Stores / Shops,Mid-Year Madness,168450.78,58,2904.32,619.56,4799.45
Adidas,Churn Risk,Small Stores / Shops,Midnight Madness,89947.25,37,2431.01,571.70,4836.35
Adidas,Churn Risk,Small Stores / Shops,Mystery Discount Days,149519.65,53,2821.13,751.99,4695.46
Adidas,Churn Risk,Small Stores / Shops,New Arrival Showcase,151013.33,52,2904.10,566.44,4993.32
Adidas,Churn Risk,Small Stores / Shops,New Product Launch Promo,115214.99,42,2743.21,500.73,4815.75
Adidas,Churn Risk,Small Stores / Shops,New Year Kickoff,86493.68,37,2337.67,611.19,4860.73
Adidas,Churn Risk,Small Stores / Shops,Price Drop Parade,129373.15,52,2487.95,560.63,4848.90
Adidas,Churn Risk,Small Stores / Shops,Red Tag Clearance,122558.97,50,2451.18,618.81,4982.81
Adidas,Churn Risk,Small Stores / Shops,Seasonal Surprise Box,157296.60,56,2808.87,632.67,4992.17
Adidas,Churn Risk,Small Stores / Shops,Shop & Save Spectacular,141644.70,53,2672.54,533.19,4726.94
Adidas,Churn Risk,Small Stores / Shops,Smart Shopper Week,132099.57,48,2752.07,594.66,4893.78
Adidas,Churn Risk,Small Stores / Shops,Spring Refresh Event,122300.89,46,2658.71,534.63,4865.15
Adidas,Churn Risk,Small Stores / Shops,Spring Splash Discounts,136194.09,49,2779.47,577.56,4995.14
Adidas,Churn Risk,Small Stores / Shops,Summer Sizzle Promo,122575.00,42,2918.45,513.04,4831.03
Adidas,Churn Risk,Small Stores / Shops,Super Savings Week,94336.02,31,3043.10,513.59,4837.76
Adidas,Churn Risk,Small Stores / Shops,Ultimate Value Event,90516.10,37,2446.38,530.29,4861.16
Adidas,Churn Risk,Small Stores / Shops,VIP Access Sale,84712.82,35,2420.37,558.18,4921.28
Adidas,Churn Risk,Small Stores / Shops,Weekend Warrior Specials,92880.62,33,2814.56,502.77,4989.77
Adidas,Churn Risk,Small Stores / Shops,Winter Clearance Carnival,122966.75,47,2616.31,532.03,4723.85
Adidas,Churn Risk,Small Stores / Shops,Winter Wonders Sale,107757.67,45,2394.61,625.46,4827.83
Adidas,Churn Risk,Supermarkets ,12 Days of Deals,124799.25,48,2599.98,680.11,4976.56
Adidas,Churn Risk,Supermarkets ,Autumn Deals Drive,129178.86,47,2748.49,592.30,4997.38
Adidas,Churn Risk,Supermarkets ,BOGO Blitz,109330.92,38,2877.13,587.18,4924.76
Adidas,Churn Risk,Supermarkets ,Back to School Boost,134202.16,54,2485.23,605.49,4974.32
Adidas,Churn Risk,Supermarkets ,Birthday Bash Sale,124029.39,50,2480.59,506.71,4955.64
Adidas,Churn Risk,Supermarkets ,Black Friday Blowout,150849.92,49,3078.57,503.18,4977.09
Adidas,Churn Risk,Supermarkets ,Cart Crasher Campaign,112897.84,39,2894.82,566.45,4950.61
Adidas,Churn Risk,Supermarkets ,Cashback Carnival,143490.92,50,2869.82,569.49,4978.45
