category,customer_segment,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Festive Fever Promo,61247.09,23,2662.92,531.23,4575.21
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Final Call Frenzy,79521.71,25,3180.87,727.08,4862.72
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Flash Frenzy Friday,63473.76,25,2538.95,612.03,4829.29
Clothing,Budget Shopper,Large Malls / Complexes,Manager,"Gift More, Spend Less",53516.37,22,2432.56,871.09,4799.21
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Golden Hour Bargains,54440.94,20,2722.05,1248.98,4431.20
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Green Weekend Deals,83647.33,30,2788.24,716.72,4842.81
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Happy Hour Discounts,62448.55,25,2497.94,550.72,4701.16
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Holiday Shopping Rush,77536.68,29,2673.68,538.71,4656.79
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Hot Picks Promo,82679.60,31,2667.08,528.76,4969.03
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Instant Gratification Sale,76326.36,28,2725.94,541.23,4950.20
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Limited Time Treasures,61189.29,22,2781.33,641.73,4983.53
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Loyalty Rewards Blast,90753.87,32,2836.06,787.87,4896.35
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Mega Weekend Bonanza,54631.59,22,2483.25,616.78,4956.76
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Mid-Year Madness,100228.40,34,2947.89,621.54,4915.02
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Midnight Madness,65578.53,24,2732.44,683.18,4932.76
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Mystery Discount Days,54809.19,22,2491.33,700.87,4940.19
Clothing,Budget Shopper,Large Malls / Complexes,Manager,New Arrival Showcase,65364.42,27,2420.90,813.52,4517.57
Clothing,Budget Shopper,Large Malls / Complexes,Manager,New Product Launch Promo,81143.84,27,3005.33,648.65,4876.20
Clothing,Budget Shopper,Large Malls / Complexes,Manager,New Year Kickoff,51059.55,18,2836.64,693.88,4730.33
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Price Drop Parade,39262.23,15,2617.48,646.69,4717.77
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Red Tag Clearance,79784.12,24,3324.34,547.87,4826.07
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Seasonal Surprise Box,60216.96,19,3169.31,1030.11,4984.25
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Shop & Save Spectacular,102065.09,35,2916.15,740.78,4914.27
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Smart Shopper Week,49548.24,17,2914.60,1034.78,4985.85
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Spring Refresh Event,59560.55,22,2707.30,784.02,4921.19
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Spring Splash Discounts,68026.12,26,2616.39,615.13,4993.20
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Summer Sizzle Promo,54583.72,23,2373.21,513.95,4814.70
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Super Savings Week,52892.48,22,2404.20,600.27,4752.60
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Ultimate Value Event,87141.36,30,2904.71,537.39,4999.12
Clothing,Budget Shopper,Large Malls / Complexes,Manager,VIP Access Sale,71646.89,26,2755.65,532.48,4818.59
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Weekend Warrior Specials,66381.17,25,2655.25,587.48,4371.97
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Winter Clearance Carnival,80222.21,26,3085.47,562.28,4803.44
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Winter Wonders Sale,66152.39,28,2362.59,688.96,4619.71
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,12 Days of Deals,75421.93,29,2600.76,548.08,4747.83
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Autumn Deals Drive,85247.47,28,3044.55,720.43,4982.16
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,BOGO Blitz,106357.03,34,3128.15,556.73,4947.66
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Back to School Boost,68134.32,29,2349.46,522.75,4811.57
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Birthday Bash Sale,91016.45,37,2459.90,553.64,4669.49
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Black Friday Blowout,113765.17,37,3074.73,512.39,4878.09
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Cart Crasher Campaign,98491.63,31,3177.15,766.47,4917.92
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Cashback Carnival,77413.64,26,2977.45,502.91,4783.27
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Clearance Countdown,79195.53,27,2933.17,750.90,4949.25
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Countdown to Savings,68070.41,29,2347.26,595.78,4891.07
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Customer Appreciation Week,60754.90,19,3197.63,808.25,4599.56
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Cyber Monday Mania,94072.26,34,2766.83,593.32,4798.87
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Deal of the Month,67900.58,21,3233.36,1104.15,4808.10
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Double Points Bonanza,102841.25,38,2706.35,583.72,4901.55
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Early Bird Specials,51803.65,23,2252.33,811.41,4460.00
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,End of Season Sale,85365.21,27,3161.67,533.52,4819.72
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Exclusive Insider Offers,72719.70,26,2796.91,608.60,4968.06
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Festive Fever Promo,73947.77,27,2738.81,715.89,4938.87
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Final Call Frenzy,95262.44,33,2886.74,584.64,4984.47
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Flash Frenzy Friday,76145.47,27,2820.20,578.82,4855.23
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,"Gift More, Spend Less",66170.47,22,3007.75,817.30,4646.43
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Golden Hour Bargains,51733.90,19,2722.84,1020.73,4795.87
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Green Weekend Deals,93000.00,37,2513.51,689.01,4778.33
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Happy Hour Discounts,72711.02,32,2272.22,676.22,4838.14
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Holiday Shopping Rush,85459.52,28,3052.13,665.55,4969.15
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Hot Picks Promo,72489.68,28,2588.92,589.43,4681.13
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Instant Gratification Sale,67158.28,22,3052.65,862.17,4984.14
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Limited Time Treasures,70840.89,29,2442.79,584.41,4697.32
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Loyalty Rewards Blast,112170.77,37,3031.64,668.92,4932.50
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Mega Weekend Bonanza,70726.40,25,2829.06,624.65,4895.70
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Mid-Year Madness,85173.67,34,2505.11,672.03,4894.04
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Midnight Madness,69666.50,22,3166.66,643.75,4943.81
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Mystery Discount Days,76185.65,31,2457.60,633.56,4943.34
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,New Arrival Showcase,61459.33,20,3072.97,1184.34,4947.99
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,New Product Launch Promo,73616.33,30,2453.88,723.37,4842.80
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,New Year Kickoff,53611.79,24,2233.82,560.26,4817.93
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Price Drop Parade,79616.95,25,3184.68,1306.11,4972.82
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Red Tag Clearance,95036.61,35,2715.33,535.29,4660.90
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Seasonal Surprise Box,72402.71,24,3016.78,1402.88,4970.28
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Shop & Save Spectacular,97570.19,34,2869.71,617.81,4992.75
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Smart Shopper Week,89308.64,34,2626.72,538.77,4857.95
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Spring Refresh Event,56226.99,19,2959.32,797.17,4963.59
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Spring Splash Discounts,63436.89,28,2265.60,529.02,4952.12
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Summer Sizzle Promo,78312.05,25,3132.48,783.43,4982.52
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Super Savings Week,60256.62,22,2738.94,744.94,4880.87
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Ultimate Value Event,110629.40,39,2836.65,821.82,4788.50
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,VIP Access Sale,68364.81,26,2629.42,1012.42,4730.10
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Weekend Warrior Specials,64888.75,28,2317.46,529.00,4315.18
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Winter Clearance Carnival,86048.27,32,2689.01,772.16,4777.74
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,Winter Wonders Sale,56208.24,24,2342.01,665.58,4882.35
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,12 Days of Deals,69303.82,29,2389.79,502.32,4954.87
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Autumn Deals Drive,49486.67,20,2474.33,526.61,4852.62
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,BOGO Blitz,82728.42,27,3064.02,1206.87,4967.08
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Back to School Boost,44536.27,19,2344.01,551.27,4910.61
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Birthday Bash Sale,83292.36,28,2974.73,651.03,4882.99
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Black Friday Blowout,105416.10,30,3513.87,605.85,4880.99
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Cart Crasher Campaign,56910.67,22,2586.85,589.99,4956.82
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Cashback Carnival,91642.95,34,2695.38,623.51,4904.95
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Clearance Countdown,93715.89,33,2839.88,515.41,4780.04
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Countdown to Savings,91459.14,31,2950.29,533.20,4747.75
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Customer Appreciation Week,77245.10,27,2860.93,530.75,4971.29
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Cyber Monday Mania,65297.18,27,2418.41,646.36,4874.60
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Deal of the Month,64516.06,22,2932.55,1402.02,4923.29
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Double Points Bonanza,111748.39,39,2865.34,518.64,4953.09
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Early Bird Specials,74595.43,25,2983.82,645.79,4820.54
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,End of Season Sale,111659.95,42,2658.57,530.68,4812.27
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Exclusive Insider Offers,84086.56,28,3003.09,811.55,4926.45
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Festive Fever Promo,77619.03,27,2874.78,639.05,4953.62
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Final Call Frenzy,56395.70,17,3317.39,528.82,4738.14
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Flash Frenzy Friday,108590.36,33,3290.62,1005.11,4758.80
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,"Gift More, Spend Less",77459.31,33,2347.25,518.98,4973.16
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Golden Hour Bargains,35828.27,13,2756.02,1127.42,4842.19
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Green Weekend Deals,67306.73,23,2926.38,586.56,4926.07
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Happy Hour Discounts,73564.42,29,2536.70,534.50,4555.62
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Holiday Shopping Rush,86086.94,27,3188.41,1208.87,4992.48
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Hot Picks Promo,69723.68,27,2582.36,770.30,4942.51
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Instant Gratification Sale,73441.57,27,2720.06,577.08,4484.07
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Limited Time Treasures,79216.95,28,2829.18,610.47,4917.39
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Loyalty Rewards Blast,82417.66,27,3052.51,813.91,4955.73
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Mega Weekend Bonanza,85370.78,29,2943.82,578.93,4915.82
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Mid-Year Madness,90997.84,29,3137.86,685.95,4956.91
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Midnight Madness,98110.80,33,2973.05,516.66,4842.91
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Mystery Discount Days,85038.23,29,2932.35,613.27,4932.89
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,New Arrival Showcase,78850.16,25,3154.01,750.48,4838.48
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,New Product Launch Promo,78094.63,28,2789.09,519.61,4999.95
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,New Year Kickoff,72878.87,24,3036.62,618.38,4956.68
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Price Drop Parade,60937.91,29,2101.31,506.30,4532.71
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Red Tag Clearance,89076.89,32,2783.65,649.19,4929.84
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Seasonal Surprise Box,72222.68,26,2777.80,954.27,4862.62
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Shop & Save Spectacular,63337.74,23,2753.81,618.74,4820.38
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Smart Shopper Week,87992.21,34,2588.01,684.11,4783.20
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Spring Refresh Event,63514.39,24,2646.43,635.15,4765.63
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Spring Splash Discounts,80887.77,31,2609.28,523.19,4971.83
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Summer Sizzle Promo,85694.76,29,2954.99,663.88,4930.56
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Super Savings Week,55471.79,20,2773.59,532.71,4572.61
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Ultimate Value Event,57409.29,19,3021.54,1359.21,4612.13
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,VIP Access Sale,83048.80,31,2678.99,659.50,4986.57
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Weekend Warrior Specials,52976.20,20,2648.81,640.28,4951.04
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Winter Clearance Carnival,70756.35,25,2830.25,823.59,4882.02
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,Winter Wonders Sale,63240.65,23,2749.59,663.93,4582.07
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,12 Days of Deals,67632.29,28,2415.44,742.21,4903.57
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Autumn Deals Drive,57109.06,21,2719.48,716.68,4841.62
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,BOGO Blitz,80772.20,28,2884.72,582.73,4973.52
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Back to School Boost,67199.65,22,3054.53,691.91,4972.30
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Birthday Bash Sale,61562.89,26,2367.80,718.31,4356.88
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Black Friday Blowout,70151.10,26,2698.12,834.72,4766.76
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cart Crasher Campaign,70703.71,26,2719.37,735.89,4860.89
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cashback Carnival,73831.63,29,2545.92,534.21,4558.64
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Clearance Countdown,52832.71,20,2641.64,632.15,4692.75
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Countdown to Savings,62732.87,22,2851.49,797.36,4743.44
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Customer Appreciation Week,80504.00,25,3220.16,654.81,4859.07
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Cyber Monday Mania,58447.17,25,2337.89,556.86,4778.37
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Deal of the Month,88095.03,31,2841.78,726.45,4886.08
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Double Points Bonanza,84925.87,34,2497.82,544.68,4669.78
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Early Bird Specials,34662.64,16,2166.41,559.75,4930.21
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,End of Season Sale,78010.20,27,2889.27,578.83,4516.54
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Exclusive Insider Offers,43433.55,18,2412.97,715.09,4572.76
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Festive Fever Promo,49825.54,21,2372.64,614.61,4825.66
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Final Call Frenzy,50460.98,19,2655.84,575.78,4832.59
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Flash Frenzy Friday,69032.74,22,3137.85,1209.61,4682.04
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,"Gift More, Spend Less",54232.09,15,3615.47,1110.30,4881.28
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Golden Hour Bargains,74657.71,24,3110.74,523.61,4867.32
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Green Weekend Deals,86307.09,29,2976.11,941.10,4999.01
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Happy Hour Discounts,76985.23,27,2851.30,529.17,4910.52
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Holiday Shopping Rush,90925.27,29,3135.35,523.17,4977.33
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Hot Picks Promo,61041.34,24,2543.39,1007.09,4630.61
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Instant Gratification Sale,69575.48,25,2783.02,522.75,4920.45
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Limited Time Treasures,93823.23,36,2606.20,545.66,4961.11
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Loyalty Rewards Blast,47912.86,19,2521.73,1058.59,4699.67
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mega Weekend Bonanza,66849.84,23,2906.51,985.81,4961.17
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mid-Year Madness,59973.41,27,2221.24,509.13,3730.18
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Midnight Madness,40276.87,16,2517.30,614.41,4883.13
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Mystery Discount Days,93788.63,31,3025.44,1081.41,4970.10
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Arrival Showcase,59127.90,21,2815.61,569.37,4785.54
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Product Launch Promo,67977.43,22,3089.88,1104.19,4970.41
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,New Year Kickoff,75355.67,26,2898.29,788.30,4747.01
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Price Drop Parade,65625.91,23,2853.30,521.85,4963.26
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Red Tag Clearance,47487.79,17,2793.40,592.64,4718.39
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Seasonal Surprise Box,72607.38,24,3025.31,550.71,4967.78
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Shop & Save Spectacular,57310.55,22,2605.02,695.68,4604.84
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Smart Shopper Week,52785.90,19,2778.21,689.13,4965.97
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Spring Refresh Event,38536.65,12,3211.39,849.00,4875.41
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Spring Splash Discounts,65670.59,23,2855.24,974.44,4278.90
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Summer Sizzle Promo,34107.20,15,2273.81,515.95,4975.12
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Super Savings Week,89129.61,31,2875.15,691.63,4849.86
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Ultimate Value Event,57954.62,25,2318.18,631.79,4496.04
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,VIP Access Sale,51389.34,22,2335.88,507.99,4797.32
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Weekend Warrior Specials,78150.16,27,2894.45,553.38,4804.71
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Winter Clearance Carnival,76082.70,26,2926.26,575.33,4899.53
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,Winter Wonders Sale,77267.86,26,2971.84,587.71,4969.49
Clothing,Budget Shopper,Small Stores / Shops,Manager,12 Days of Deals,57643.70,22,2620.17,585.70,4836.63
Clothing,Budget Shopper,Small Stores / Shops,Manager,Autumn Deals Drive,94647.25,39,2426.85,590.23,4910.30
Clothing,Budget Shopper,Small Stores / Shops,Manager,BOGO Blitz,102456.14,36,2846.00,759.80,4884.46
Clothing,Budget Shopper,Small Stores / Shops,Manager,Back to School Boost,116247.88,41,2835.31,623.10,4969.60
Clothing,Budget Shopper,Small Stores / Shops,Manager,Birthday Bash Sale,44061.39,17,2591.85,676.67,4839.46
Clothing,Budget Shopper,Small Stores / Shops,Manager,Black Friday Blowout,106482.59,41,2597.14,568.13,4894.40
Clothing,Budget Shopper,Small Stores / Shops,Manager,Cart Crasher Campaign,78325.91,30,2610.86,670.35,4843.70
Clothing,Budget Shopper,Small Stores / Shops,Manager,Cashback Carnival,85787.41,31,2767.34,538.21,4982.95
Clothing,Budget Shopper,Small Stores / Shops,Manager,Clearance Countdown,70347.02,28,2512.39,666.75,4945.59
Clothing,Budget Shopper,Small Stores / Shops,Manager,Countdown to Savings,77532.14,22,3524.19,849.95,4836.39
Clothing,Budget Shopper,Small Stores / Shops,Manager,Customer Appreciation Week,36652.06,16,2290.75,804.36,4380.14
Clothing,Budget Shopper,Small Stores / Shops,Manager,Cyber Monday Mania,79263.76,24,3302.66,567.13,4890.36
Clothing,Budget Shopper,Small Stores / Shops,Manager,Deal of the Month,91637.53,36,2545.49,598.75,4988.69
Clothing,Budget Shopper,Small Stores / Shops,Manager,Double Points Bonanza,70826.23,28,2529.51,745.33,4847.82
Clothing,Budget Shopper,Small Stores / Shops,Manager,Early Bird Specials,48004.87,20,2400.24,514.49,4852.26
Clothing,Budget Shopper,Small Stores / Shops,Manager,End of Season Sale,79801.39,30,2660.05,732.36,4788.39
Clothing,Budget Shopper,Small Stores / Shops,Manager,Exclusive Insider Offers,85495.63,30,2849.85,662.26,4924.37
Clothing,Budget Shopper,Small Stores / Shops,Manager,Festive Fever Promo,71100.72,29,2451.75,683.07,4451.84
Clothing,Budget Shopper,Small Stores / Shops,Manager,Final Call Frenzy,71261.18,31,2298.75,530.47,4296.47
Clothing,Budget Shopper,Small Stores / Shops,Manager,Flash Frenzy Friday,90056.04,33,2728.97,622.33,4960.83
Clothing,Budget Shopper,Small Stores / Shops,Manager,"Gift More, Spend Less",65163.58,23,2833.20,772.49,4988.68
Clothing,Budget Shopper,Small Stores / Shops,Manager,Golden Hour Bargains,64390.86,25,2575.63,776.53,4691.59
Clothing,Budget Shopper,Small Stores / Shops,Manager,Green Weekend Deals,90669.37,29,3126.53,1275.47,4987.56
Clothing,Budget Shopper,Small Stores / Shops,Manager,Happy Hour Discounts,94740.06,35,2706.86,806.09,4657.02
Clothing,Budget Shopper,Small Stores / Shops,Manager,Holiday Shopping Rush,101541.38,33,3077.01,1078.12,4967.70
Clothing,Budget Shopper,Small Stores / Shops,Manager,Hot Picks Promo,64328.17,25,2573.13,526.96,4984.66
