category,brand,customer_segment,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,Midnight Madness,167845.78,65,2582.24,518.16,4737.68
Clothing,Adidas,Budget Shopper,Mystery Discount Days,171707.75,61,2814.88,613.27,4943.34
Clothing,Adidas,Budget Shopper,New Arrival Showcase,190379.69,70,2719.71,550.60,4927.48
Clothing,Adidas,Budget Shopper,New Product Launch Promo,155745.78,58,2685.27,541.28,4999.95
Clothing,Adidas,Budget Shopper,New Year Kickoff,152378.57,65,2344.29,519.85,4545.36
Clothing,Adidas,Budget Shopper,Price Drop Parade,159130.36,64,2486.41,511.21,4963.26
Clothing,Adidas,Budget Shopper,Red Tag Clearance,155191.73,57,2722.66,520.14,4964.81
Clothing,Adidas,Budget Shopper,Seasonal Surprise Box,178611.32,64,2790.80,527.98,4885.48
Clothing,Adidas,Budget Shopper,Shop & Save Spectacular,190930.95,70,2727.58,516.93,4992.75
Clothing,Adidas,Budget Shopper,Smart Shopper Week,154163.65,63,2447.04,554.36,4985.85
Clothing,Adidas,Budget Shopper,Spring Refresh Event,182535.85,62,2944.13,541.03,4987.97
Clothing,Adidas,Budget Shopper,Spring Splash Discounts,209972.07,81,2592.25,534.86,4990.13
Clothing,Adidas,Budget Shopper,Summer Sizzle Promo,190785.06,70,2725.50,651.49,4982.52
Clothing,Adidas,Budget Shopper,Super Savings Week,150683.49,59,2553.96,624.26,4859.11
Clothing,Adidas,Budget Shopper,Ultimate Value Event,163554.29,56,2920.61,631.79,4998.36
Clothing,Adidas,Budget Shopper,VIP Access Sale,206684.26,76,2719.53,534.21,4848.12
Clothing,Adidas,Budget Shopper,Weekend Warrior Specials,209360.02,75,2791.47,640.28,4819.97
Clothing,Adidas,Budget Shopper,Winter Clearance Carnival,180601.73,66,2736.39,655.90,4971.08
Clothing,Adidas,Budget Shopper,Winter Wonders Sale,190585.08,64,2977.89,623.34,4969.49
Clothing,Adidas,Churn Risk,12 Days of Deals,193819.38,71,2729.85,680.11,4976.56
Clothing,Adidas,Churn Risk,Autumn Deals Drive,190817.50,67,2848.02,861.26,4992.48
Clothing,Adidas,Churn Risk,BOGO Blitz,191210.24,67,2853.88,563.77,4991.38
Clothing,Adidas,Churn Risk,Back to School Boost,207370.23,75,2764.94,605.49,4974.32
Clothing,Adidas,Churn Risk,Birthday Bash Sale,203283.10,70,2904.04,528.52,4957.03
Clothing,Adidas,Churn Risk,Black Friday Blowout,206370.03,74,2788.78,503.18,4977.09
Clothing,Adidas,Churn Risk,Cart Crasher Campaign,183101.33,65,2816.94,540.89,4950.61
Clothing,Adidas,Churn Risk,Cashback Carnival,211315.09,77,2744.35,548.04,4869.06
Clothing,Adidas,Churn Risk,Clearance Countdown,144658.61,52,2781.90,563.58,4996.24
Clothing,Adidas,Churn Risk,Countdown to Savings,158360.41,58,2730.35,529.00,4749.50
Clothing,Adidas,Churn Risk,Customer Appreciation Week,166379.44,62,2683.54,605.52,4937.49
Clothing,Adidas,Churn Risk,Cyber Monday Mania,193527.17,60,3225.45,949.93,4974.49
Clothing,Adidas,Churn Risk,Deal of the Month,182632.14,62,2945.68,540.95,4982.42
Clothing,Adidas,Churn Risk,Double Points Bonanza,155275.92,64,2426.19,538.98,4829.49
Clothing,Adidas,Churn Risk,Early Bird Specials,178991.80,61,2934.29,628.80,4995.32
Clothing,Adidas,Churn Risk,End of Season Sale,198168.90,72,2752.35,560.40,4983.53
Clothing,Adidas,Churn Risk,Exclusive Insider Offers,186198.01,69,2698.52,508.78,4984.33
Clothing,Adidas,Churn Risk,Festive Fever Promo,220027.53,80,2750.34,510.97,4915.21
Clothing,Adidas,Churn Risk,Final Call Frenzy,172904.81,61,2834.51,541.76,4897.76
Clothing,Adidas,Churn Risk,Flash Frenzy Friday,166914.46,64,2608.04,511.20,4875.29
Clothing,Adidas,Churn Risk,"Gift More, Spend Less",177842.87,71,2504.83,510.65,4958.60
Clothing,Adidas,Churn Risk,Golden Hour Bargains,200908.46,68,2954.54,548.12,4991.51
Clothing,Adidas,Churn Risk,Green Weekend Deals,157804.91,59,2674.66,631.26,4948.82
Clothing,Adidas,Churn Risk,Happy Hour Discounts,178307.54,68,2622.17,505.67,4994.51
Clothing,Adidas,Churn Risk,Holiday Shopping Rush,213635.55,77,2774.49,593.19,4940.32
Clothing,Adidas,Churn Risk,Hot Picks Promo,211235.54,77,2743.32,544.41,4923.72
Clothing,Adidas,Churn Risk,Instant Gratification Sale,182718.30,67,2727.14,631.32,4998.40
Clothing,Adidas,Churn Risk,Limited Time Treasures,173589.35,65,2670.61,629.29,4787.02
Clothing,Adidas,Churn Risk,Loyalty Rewards Blast,178202.24,58,3072.45,587.61,4952.85
Clothing,Adidas,Churn Risk,Mega Weekend Bonanza,153625.65,57,2695.19,537.81,4992.14
Clothing,Adidas,Churn Risk,Mid-Year Madness,204128.52,67,3046.69,595.88,4935.87
Clothing,Adidas,Churn Risk,Midnight Madness,150553.91,54,2788.04,512.42,4865.84
Clothing,Adidas,Churn Risk,Mystery Discount Days,221423.35,73,3033.20,758.48,4979.18
Clothing,Adidas,Churn Risk,New Arrival Showcase,199424.38,68,2932.71,541.17,4992.69
Clothing,Adidas,Churn Risk,New Product Launch Promo,198311.89,68,2916.35,583.59,4999.18
Clothing,Adidas,Churn Risk,New Year Kickoff,186921.24,70,2670.30,543.84,4988.93
Clothing,Adidas,Churn Risk,Price Drop Parade,149183.27,57,2617.25,560.63,4710.85
Clothing,Adidas,Churn Risk,Red Tag Clearance,139982.38,56,2499.69,618.81,4982.81
Clothing,Adidas,Churn Risk,Seasonal Surprise Box,200583.16,70,2865.47,632.67,4914.78
Clothing,Adidas,Churn Risk,Shop & Save Spectacular,188231.48,68,2768.11,511.32,4948.15
Clothing,Adidas,Churn Risk,Smart Shopper Week,234647.81,86,2728.46,594.66,4999.86
Clothing,Adidas,Churn Risk,Spring Refresh Event,145699.01,55,2649.07,534.63,4997.20
Clothing,Adidas,Churn Risk,Spring Splash Discounts,156277.79,62,2520.61,535.63,4960.86
Clothing,Adidas,Churn Risk,Summer Sizzle Promo,148528.28,61,2434.89,548.06,4899.98
Clothing,Adidas,Churn Risk,Super Savings Week,188706.44,65,2903.18,513.59,4875.54
Clothing,Adidas,Churn Risk,Ultimate Value Event,164100.41,64,2564.07,522.48,4861.16
Clothing,Adidas,Churn Risk,VIP Access Sale,150361.13,55,2733.84,591.93,4894.06
Clothing,Adidas,Churn Risk,Weekend Warrior Specials,155809.20,59,2640.83,534.87,4993.94
Clothing,Adidas,Churn Risk,Winter Clearance Carnival,215176.96,71,3030.66,535.31,4926.80
Clothing,Adidas,Churn Risk,Winter Wonders Sale,172064.35,66,2607.04,625.46,4929.83
Clothing,Adidas,Deal Seeker,12 Days of Deals,194813.21,71,2743.85,601.55,4970.14
Clothing,Adidas,Deal Seeker,Autumn Deals Drive,228540.34,76,3007.11,518.04,4991.85
Clothing,Adidas,Deal Seeker,BOGO Blitz,200656.09,72,2786.89,518.34,4914.72
Clothing,Adidas,Deal Seeker,Back to School Boost,210732.48,72,2926.84,518.87,4989.82
Clothing,Adidas,Deal Seeker,Birthday Bash Sale,185763.32,68,2731.81,529.74,4994.20
Clothing,Adidas,Deal Seeker,Black Friday Blowout,184625.86,63,2930.57,663.80,4947.74
Clothing,Adidas,Deal Seeker,Cart Crasher Campaign,189375.00,70,2705.36,528.70,4875.30
Clothing,Adidas,Deal Seeker,Cashback Carnival,185851.10,67,2773.90,515.77,4857.73
Clothing,Adidas,Deal Seeker,Clearance Countdown,168721.53,67,2518.23,505.52,4871.41
Clothing,Adidas,Deal Seeker,Countdown to Savings,170866.37,60,2847.77,509.94,4963.31
Clothing,Adidas,Deal Seeker,Customer Appreciation Week,205099.11,67,3061.18,661.57,4971.64
Clothing,Adidas,Deal Seeker,Cyber Monday Mania,176662.78,70,2523.75,576.58,4990.88
Clothing,Adidas,Deal Seeker,Deal of the Month,205042.95,73,2808.81,577.97,4950.00
Clothing,Adidas,Deal Seeker,Double Points Bonanza,143832.54,56,2568.44,513.04,4740.14
Clothing,Adidas,Deal Seeker,Early Bird Specials,219310.88,76,2885.67,567.13,4944.70
Clothing,Adidas,Deal Seeker,End of Season Sale,175310.54,62,2827.59,515.55,4933.50
Clothing,Adidas,Deal Seeker,Exclusive Insider Offers,176137.05,57,3090.12,534.77,4968.64
Clothing,Adidas,Deal Seeker,Festive Fever Promo,236808.55,76,3115.90,594.75,4958.43
Clothing,Adidas,Deal Seeker,Final Call Frenzy,187850.26,65,2890.00,509.40,4992.84
Clothing,Adidas,Deal Seeker,Flash Frenzy Friday,124561.67,47,2650.25,566.96,4994.26
Clothing,Adidas,Deal Seeker,"Gift More, Spend Less",182201.61,67,2719.43,510.97,4834.46
Clothing,Adidas,Deal Seeker,Golden Hour Bargains,182684.68,70,2609.78,585.11,4823.68
Clothing,Adidas,Deal Seeker,Green Weekend Deals,210526.16,74,2844.95,501.10,4953.96
Clothing,Adidas,Deal Seeker,Happy Hour Discounts,151243.99,61,2479.41,597.27,4633.35
Clothing,Adidas,Deal Seeker,Holiday Shopping Rush,169076.01,62,2727.03,553.86,4934.17
Clothing,Adidas,Deal Seeker,Hot Picks Promo,162556.83,61,2664.87,520.65,4968.49
Clothing,Adidas,Deal Seeker,Instant Gratification Sale,189716.14,73,2598.85,509.42,4985.30
Clothing,Adidas,Deal Seeker,Limited Time Treasures,186027.25,72,2583.71,501.46,4886.81
Clothing,Adidas,Deal Seeker,Loyalty Rewards Blast,210031.11,74,2838.26,505.10,4882.37
Clothing,Adidas,Deal Seeker,Mega Weekend Bonanza,171216.63,61,2806.83,649.03,4957.09
Clothing,Adidas,Deal Seeker,Mid-Year Madness,179051.59,72,2486.83,501.32,4853.56
Clothing,Adidas,Deal Seeker,Midnight Madness,198617.04,70,2837.39,512.27,4952.37
Clothing,Adidas,Deal Seeker,Mystery Discount Days,190407.06,68,2800.10,561.96,4976.22
Clothing,Adidas,Deal Seeker,New Arrival Showcase,165619.87,55,3011.27,599.07,4978.03
Clothing,Adidas,Deal Seeker,New Product Launch Promo,139445.09,53,2631.04,541.18,4793.11
Clothing,Adidas,Deal Seeker,New Year Kickoff,169072.01,61,2771.67,687.97,4926.79
Clothing,Adidas,Deal Seeker,Price Drop Parade,223618.19,78,2866.90,682.49,4852.15
Clothing,Adidas,Deal Seeker,Red Tag Clearance,194581.38,68,2861.49,517.61,4914.16
Clothing,Adidas,Deal Seeker,Seasonal Surprise Box,204035.53,76,2684.68,500.52,4978.73
Clothing,Adidas,Deal Seeker,Shop & Save Spectacular,184598.83,67,2755.21,528.50,4900.34
Clothing,Adidas,Deal Seeker,Smart Shopper Week,187233.28,65,2880.51,619.61,4983.10
Clothing,Adidas,Deal Seeker,Spring Refresh Event,181807.62,65,2797.04,535.22,4917.83
Clothing,Adidas,Deal Seeker,Spring Splash Discounts,178645.17,70,2552.07,500.46,4996.95
Clothing,Adidas,Deal Seeker,Summer Sizzle Promo,210868.44,77,2738.55,513.93,4975.17
Clothing,Adidas,Deal Seeker,Super Savings Week,193988.90,70,2771.27,515.33,4983.09
Clothing,Adidas,Deal Seeker,Ultimate Value Event,167700.81,63,2661.92,592.15,4851.34
Clothing,Adidas,Deal Seeker,VIP Access Sale,184387.96,63,2926.79,560.93,4952.43
Clothing,Adidas,Deal Seeker,Weekend Warrior Specials,210247.20,71,2961.23,651.82,4976.61
Clothing,Adidas,Deal Seeker,Winter Clearance Carnival,179558.33,65,2762.44,614.61,4909.08
Clothing,Adidas,Deal Seeker,Winter Wonders Sale,197060.12,74,2662.97,528.79,4996.30
Clothing,Adidas,First-time Buyer,12 Days of Deals,207361.16,75,2764.82,512.27,4978.94
Clothing,Adidas,First-time Buyer,Autumn Deals Drive,192377.42,76,2531.28,534.57,4922.91
Clothing,Adidas,First-time Buyer,BOGO Blitz,182954.51,61,2999.25,523.98,4962.62
Clothing,Adidas,First-time Buyer,Back to School Boost,200499.81,74,2709.46,551.20,4999.86
Clothing,Adidas,First-time Buyer,Birthday Bash Sale,188616.29,68,2773.77,526.11,4967.07
Clothing,Adidas,First-time Buyer,Black Friday Blowout,175868.97,65,2705.68,556.22,4987.67
Clothing,Adidas,First-time Buyer,Cart Crasher Campaign,155319.75,57,2724.91,677.74,4840.61
Clothing,Adidas,First-time Buyer,Cashback Carnival,181136.80,65,2786.72,536.91,4972.53
Clothing,Adidas,First-time Buyer,Clearance Countdown,155633.82,52,2992.96,553.93,4993.67
Clothing,Adidas,First-time Buyer,Countdown to Savings,161219.97,72,2239.17,633.76,4805.49
Clothing,Adidas,First-time Buyer,Customer Appreciation Week,205260.34,82,2503.17,510.44,4947.90
Clothing,Adidas,First-time Buyer,Cyber Monday Mania,155103.12,57,2721.11,609.90,4938.46
Clothing,Adidas,First-time Buyer,Deal of the Month,225122.22,80,2814.03,520.13,4989.69
Clothing,Adidas,First-time Buyer,Double Points Bonanza,169860.90,59,2879.00,704.94,4958.93
Clothing,Adidas,First-time Buyer,Early Bird Specials,216655.56,73,2967.88,571.76,4978.03
Clothing,Adidas,First-time Buyer,End of Season Sale,181087.26,72,2515.10,656.60,4934.78
Clothing,Adidas,First-time Buyer,Exclusive Insider Offers,201901.04,69,2926.10,512.76,4926.65
Clothing,Adidas,First-time Buyer,Festive Fever Promo,180634.65,64,2822.42,504.43,4949.75
Clothing,Adidas,First-time Buyer,Final Call Frenzy,207281.94,73,2839.48,741.99,4978.28
Clothing,Adidas,First-time Buyer,Flash Frenzy Friday,143618.26,52,2761.89,658.91,4957.05
Clothing,Adidas,First-time Buyer,"Gift More, Spend Less",190390.62,70,2719.87,530.30,4963.20
Clothing,Adidas,First-time Buyer,Golden Hour Bargains,182855.69,67,2729.19,649.85,4856.92
Clothing,Adidas,First-time Buyer,Green Weekend Deals,200618.85,78,2572.04,566.98,4939.51
Clothing,Adidas,First-time Buyer,Happy Hour Discounts,145036.72,55,2637.03,510.62,4946.48
Clothing,Adidas,First-time Buyer,Holiday Shopping Rush,189864.22,73,2600.88,542.11,4942.38
Clothing,Adidas,First-time Buyer,Hot Picks Promo,151597.16,56,2707.09,612.29,4968.97
Clothing,Adidas,First-time Buyer,Instant Gratification Sale,165008.06,65,2538.59,501.99,4997.63
Clothing,Adidas,First-time Buyer,Limited Time Treasures,140261.96,50,2805.24,571.04,4924.81
Clothing,Adidas,First-time Buyer,Loyalty Rewards Blast,207959.31,73,2848.76,580.81,4989.59
Clothing,Adidas,First-time Buyer,Mega Weekend Bonanza,156995.64,57,2754.31,518.73,4931.29
Clothing,Adidas,First-time Buyer,Mid-Year Madness,165348.52,57,2900.85,702.43,4759.60
Clothing,Adidas,First-time Buyer,Midnight Madness,204835.27,70,2926.22,522.78,4966.98
Clothing,Adidas,First-time Buyer,Mystery Discount Days,160205.90,60,2670.10,549.38,4940.71
Clothing,Adidas,First-time Buyer,New Arrival Showcase,197896.04,70,2827.09,501.06,4996.95
Clothing,Adidas,First-time Buyer,New Product Launch Promo,200792.94,70,2868.47,604.73,4973.32
Clothing,Adidas,First-time Buyer,New Year Kickoff,137261.12,55,2495.66,572.62,4669.46
Clothing,Adidas,First-time Buyer,Price Drop Parade,180481.45,65,2776.64,547.25,4813.57
Clothing,Adidas,First-time Buyer,Red Tag Clearance,211559.97,80,2644.50,585.66,4989.71
Clothing,Adidas,First-time Buyer,Seasonal Surprise Box,149624.83,55,2720.45,519.58,4898.96
Clothing,Adidas,First-time Buyer,Shop & Save Spectacular,164928.96,64,2577.01,513.48,4805.71
Clothing,Adidas,First-time Buyer,Smart Shopper Week,192677.84,66,2919.36,575.11,4901.29
Clothing,Adidas,First-time Buyer,Spring Refresh Event,176578.69,64,2759.04,627.26,4979.80
Clothing,Adidas,First-time Buyer,Spring Splash Discounts,186026.13,69,2696.03,648.35,4819.39
Clothing,Adidas,First-time Buyer,Summer Sizzle Promo,182925.04,72,2540.63,527.09,4923.81
Clothing,Adidas,First-time Buyer,Super Savings Week,152091.76,56,2715.92,511.09,4990.11
Clothing,Adidas,First-time Buyer,Ultimate Value Event,191478.19,69,2775.05,622.16,4921.36
Clothing,Adidas,First-time Buyer,VIP Access Sale,179678.97,61,2945.56,559.22,4996.65
Clothing,Adidas,First-time Buyer,Weekend Warrior Specials,213193.70,85,2508.16,511.44,4974.91
Clothing,Adidas,First-time Buyer,Winter Clearance Carnival,174680.09,58,3011.73,548.74,4958.23
Clothing,Adidas,First-time Buyer,Winter Wonders Sale,143035.48,56,2554.21,592.93,4961.97
Clothing,Adidas,High Value,12 Days of Deals,190450.43,67,2842.54,510.93,4998.46
Clothing,Adidas,High Value,Autumn Deals Drive,168895.47,60,2814.92,620.99,4943.25
Clothing,Adidas,High Value,BOGO Blitz,199770.81,67,2981.65,631.23,4969.00
Clothing,Adidas,High Value,Back to School Boost,126951.06,51,2489.24,501.04,4761.97
Clothing,Adidas,High Value,Birthday Bash Sale,199934.36,68,2940.21,502.17,4882.99
Clothing,Adidas,High Value,Black Friday Blowout,197989.94,74,2675.54,802.10,4847.02
Clothing,Adidas,High Value,Cart Crasher Campaign,180054.25,75,2400.72,639.40,4828.59
Clothing,Adidas,High Value,Cashback Carnival,199865.97,73,2737.89,527.96,4921.19
Clothing,Adidas,High Value,Clearance Countdown,202370.57,77,2628.19,500.53,4995.33
Clothing,Adidas,High Value,Countdown to Savings,175559.12,60,2925.99,643.83,4932.95
Clothing,Adidas,High Value,Customer Appreciation Week,174054.53,65,2677.76,658.49,4891.57
Clothing,Adidas,High Value,Cyber Monday Mania,213620.96,82,2605.13,508.76,4779.39
Clothing,Adidas,High Value,Deal of the Month,154937.16,59,2626.05,504.75,4869.24
Clothing,Adidas,High Value,Double Points Bonanza,211292.97,75,2817.24,514.48,4985.94
Clothing,Adidas,High Value,Early Bird Specials,213196.53,77,2768.79,504.93,4993.12
Clothing,Adidas,High Value,End of Season Sale,156399.65,59,2650.84,511.79,4917.49
Clothing,Adidas,High Value,Exclusive Insider Offers,218688.41,81,2699.86,535.92,4969.33
Clothing,Adidas,High Value,Festive Fever Promo,191341.32,71,2694.95,587.34,4977.68
Clothing,Adidas,High Value,Final Call Frenzy,164623.26,56,2939.70,624.97,4972.71
Clothing,Adidas,High Value,Flash Frenzy Friday,143648.78,55,2611.80,519.52,4938.82
Clothing,Adidas,High Value,"Gift More, Spend Less",148445.92,62,2394.29,523.26,4908.17
Clothing,Adidas,High Value,Golden Hour Bargains,162144.91,63,2573.73,511.16,4987.66
Clothing,Adidas,High Value,Green Weekend Deals,145779.05,55,2650.53,513.01,4981.60
Clothing,Adidas,High Value,Happy Hour Discounts,201364.57,71,2836.12,543.74,4987.27
Clothing,Adidas,High Value,Holiday Shopping Rush,196524.78,71,2767.95,506.77,4998.34
Clothing,Adidas,High Value,Hot Picks Promo,157708.49,54,2920.53,658.26,4794.28
Clothing,Adidas,High Value,Instant Gratification Sale,182670.82,69,2647.40,500.95,4993.28
Clothing,Adidas,High Value,Limited Time Treasures,213469.50,70,3049.56,614.53,4999.38
Clothing,Adidas,High Value,Loyalty Rewards Blast,193475.54,69,2803.99,569.19,4896.46
Clothing,Adidas,High Value,Mega Weekend Bonanza,178510.82,65,2746.32,728.06,4996.59
Clothing,Adidas,High Value,Mid-Year Madness,165467.86,61,2712.59,635.49,4901.66
Clothing,Adidas,High Value,Midnight Madness,157946.72,58,2723.22,598.02,4895.08
Clothing,Adidas,High Value,Mystery Discount Days,176765.64,65,2719.47,500.17,4967.22
Clothing,Adidas,High Value,New Arrival Showcase,194194.38,67,2898.42,533.03,4910.75
Clothing,Adidas,High Value,New Product Launch Promo,192558.56,71,2712.09,539.45,4951.78
Clothing,Adidas,High Value,New Year Kickoff,200587.63,77,2605.03,518.88,4863.71
Clothing,Adidas,High Value,Price Drop Parade,198527.77,71,2796.17,503.07,4970.18
Clothing,Adidas,High Value,Red Tag Clearance,186756.82,63,2964.39,601.39,4908.80
Clothing,Adidas,High Value,Seasonal Surprise Box,165813.21,63,2631.96,558.77,4826.54
Clothing,Adidas,High Value,Shop & Save Spectacular,154510.45,59,2618.82,514.88,4922.04
Clothing,Adidas,High Value,Smart Shopper Week,152339.67,57,2672.63,507.97,4907.38
Clothing,Adidas,High Value,Spring Refresh Event,131464.74,56,2347.58,603.49,4874.93
Clothing,Adidas,High Value,Spring Splash Discounts,186768.36,75,2490.24,535.84,4879.95
Clothing,Adidas,High Value,Summer Sizzle Promo,156107.99,59,2645.90,826.98,4998.80
Clothing,Adidas,High Value,Super Savings Week,225430.91,80,2817.89,515.26,4959.27
Clothing,Adidas,High Value,Ultimate Value Event,208013.26,71,2929.76,604.40,4974.76
Clothing,Adidas,High Value,VIP Access Sale,183889.17,68,2704.25,506.38,4942.86
Clothing,Adidas,High Value,Weekend Warrior Specials,192457.73,72,2673.02,648.68,4868.91
Clothing,Adidas,High Value,Winter Clearance Carnival,180228.94,67,2689.98,640.45,4958.83
Clothing,Adidas,High Value,Winter Wonders Sale,168853.91,67,2520.21,601.78,4525.78
Clothing,Adidas,In-Store Regular,12 Days of Deals,212333.91,76,2793.87,501.08,4945.87
Clothing,Adidas,In-Store Regular,Autumn Deals Drive,191423.05,72,2658.65,538.66,4980.77
Clothing,Adidas,In-Store Regular,BOGO Blitz,207404.91,75,2765.40,500.64,4988.61
Clothing,Adidas,In-Store Regular,Back to School Boost,192882.90,70,2755.47,588.22,4945.79
Clothing,Adidas,In-Store Regular,Birthday Bash Sale,154143.99,59,2612.61,504.16,4824.72
Clothing,Adidas,In-Store Regular,Black Friday Blowout,173850.32,67,2594.78,502.05,4837.45
Clothing,Adidas,In-Store Regular,Cart Crasher Campaign,169495.59,68,2492.58,521.26,4875.27
Clothing,Adidas,In-Store Regular,Cashback Carnival,112455.60,45,2499.01,558.08,4918.90
Clothing,Adidas,In-Store Regular,Clearance Countdown,158199.86,65,2433.84,532.69,4993.56
Clothing,Adidas,In-Store Regular,Countdown to Savings,156278.36,60,2604.64,501.16,4996.97
Clothing,Adidas,In-Store Regular,Customer Appreciation Week,185057.77,75,2467.44,527.58,4973.71
Clothing,Adidas,In-Store Regular,Cyber Monday Mania,169144.54,64,2642.88,676.18,4887.70
Clothing,Adidas,In-Store Regular,Deal of the Month,165189.54,60,2753.16,572.89,4968.10
Clothing,Adidas,In-Store Regular,Double Points Bonanza,145058.97,54,2686.28,510.59,4954.81
Clothing,Adidas,In-Store Regular,Early Bird Specials,167307.43,63,2655.67,624.43,4884.50
Clothing,Adidas,In-Store Regular,End of Season Sale,220781.21,77,2867.29,574.87,4997.48
Clothing,Adidas,In-Store Regular,Exclusive Insider Offers,165929.95,62,2676.29,532.79,4942.84
Clothing,Adidas,In-Store Regular,Festive Fever Promo,194329.44,67,2900.44,518.22,4945.80
Clothing,Adidas,In-Store Regular,Final Call Frenzy,151167.73,56,2699.42,608.86,4845.67
Clothing,Adidas,In-Store Regular,Flash Frenzy Friday,197115.27,71,2776.27,545.78,4901.30
Clothing,Adidas,In-Store Regular,"Gift More, Spend Less",154228.96,52,2965.94,712.70,4969.33
Clothing,Adidas,In-Store Regular,Golden Hour Bargains,174493.92,61,2860.56,531.04,4999.76
Clothing,Adidas,In-Store Regular,Green Weekend Deals,157140.03,58,2709.31,674.11,4914.51
Clothing,Adidas,In-Store Regular,Happy Hour Discounts,176522.09,57,3096.88,538.74,4969.85
Clothing,Adidas,In-Store Regular,Holiday Shopping Rush,164522.03,53,3104.19,737.32,4896.59
Clothing,Adidas,In-Store Regular,Hot Picks Promo,212590.38,75,2834.54,569.59,4989.96
Clothing,Adidas,In-Store Regular,Instant Gratification Sale,196541.71,60,3275.70,612.20,4976.89
Clothing,Adidas,In-Store Regular,Limited Time Treasures,167199.95,60,2786.67,528.37,4891.99
Clothing,Adidas,In-Store Regular,Loyalty Rewards Blast,136891.57,64,2138.93,507.26,4927.54
Clothing,Adidas,In-Store Regular,Mega Weekend Bonanza,236121.78,82,2879.53,537.88,4966.53
Clothing,Adidas,In-Store Regular,Mid-Year Madness,172177.97,68,2532.03,550.59,4989.23
Clothing,Adidas,In-Store Regular,Midnight Madness,176006.95,61,2885.36,622.45,4913.45
Clothing,Adidas,In-Store Regular,Mystery Discount Days,204033.79,77,2649.79,513.37,4954.34
Clothing,Adidas,In-Store Regular,New Arrival Showcase,202091.18,69,2928.86,518.13,4951.47
Clothing,Adidas,In-Store Regular,New Product Launch Promo,192938.23,75,2572.51,564.95,4907.78
Clothing,Adidas,In-Store Regular,New Year Kickoff,190650.94,69,2763.06,502.81,4664.18
Clothing,Adidas,In-Store Regular,Price Drop Parade,151935.39,59,2575.18,604.27,4791.14
