brand,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Mega Weekend Bonanza,3659091.82,1330,2751.20,508.93,4996.59
Adidas,Mid-Year Madness,3542825.09,1317,2690.07,501.32,4991.43
Adidas,Midnight Madness,3664959.96,1314,2789.16,500.23,4994.43
Adidas,Mystery Discount Days,3556998.24,1301,2734.05,500.17,4998.07
Adidas,New Arrival Showcase,3722416.43,1329,2800.92,501.06,4997.59
Adidas,New Product Launch Promo,3618612.44,1304,2775.01,500.73,4999.95
Adidas,New Year Kickoff,3502717.04,1291,2713.18,502.81,4995.24
Adidas,Price Drop Parade,3571790.72,1305,2737.00,503.07,4992.13
Adidas,Red Tag Clearance,3803308.60,1346,2825.64,504.13,4995.28
Adidas,Seasonal Surprise Box,3639307.90,1330,2736.32,500.11,4992.17
Adidas,Shop & Save Spectacular,3669486.21,1328,2763.17,503.19,4995.87
Adidas,Smart Shopper Week,3746693.18,1373,2728.84,507.17,4999.86
Adidas,Spring Refresh Event,3648774.43,1328,2747.57,506.81,4999.78
Adidas,Spring Splash Discounts,3584964.98,1326,2703.59,500.46,4998.18
Adidas,Summer Sizzle Promo,3733714.23,1345,2776.00,501.65,4998.80
Adidas,Super Savings Week,3630003.63,1326,2737.56,501.26,4998.86
Adidas,Ultimate Value Event,3680009.88,1349,2727.95,501.61,4998.36
Adidas,VIP Access Sale,3643507.36,1310,2781.30,506.38,4996.65
Adidas,Weekend Warrior Specials,3803830.35,1399,2718.96,501.48,4998.83
Adidas,Winter Clearance Carnival,3851824.29,1383,2785.12,509.53,4997.18
Adidas,Winter Wonders Sale,3486063.00,1296,2689.86,504.80,4996.30
Amul,12 Days of Deals,1954778.11,701,2788.56,507.40,4998.30
Amul,Autumn Deals Drive,1865148.40,672,2775.52,502.75,4999.80
Amul,BOGO Blitz,1815176.84,644,2818.60,508.02,4986.67
Amul,Back to School Boost,1710115.90,637,2684.64,510.22,4998.07
Amul,Birthday Bash Sale,1783791.15,649,2748.52,504.89,4991.73
Amul,Black Friday Blowout,1703514.35,645,2641.11,505.81,4987.21
Amul,Cart Crasher Campaign,1786885.72,641,2787.65,503.17,4980.36
Amul,Cashback Carnival,1851451.92,679,2726.73,504.64,4990.08
Amul,Clearance Countdown,1999457.86,708,2824.09,512.75,4996.54
Amul,Countdown to Savings,1944747.09,688,2826.67,514.73,4996.12
Amul,Customer Appreciation Week,1833510.38,661,2773.84,501.25,4985.65
Amul,Cyber Monday Mania,1837590.10,685,2682.61,504.57,4996.97
Amul,Deal of the Month,1686398.11,622,2711.25,504.17,4994.21
Amul,Double Points Bonanza,1863393.85,683,2728.25,501.88,4996.36
Amul,Early Bird Specials,1657253.59,621,2668.69,506.38,4998.19
Amul,End of Season Sale,1763433.51,641,2751.07,504.05,4996.71
Amul,Exclusive Insider Offers,1790424.60,662,2704.57,519.26,4995.02
Amul,Festive Fever Promo,1701407.89,630,2700.65,502.25,4980.61
Amul,Final Call Frenzy,1757170.55,664,2646.34,509.79,4994.94
Amul,Flash Frenzy Friday,1930851.14,682,2831.16,501.88,4990.59
Amul,"Gift More, Spend Less",1928454.58,712,2708.50,504.23,4994.74
Amul,Golden Hour Bargains,1730611.95,651,2658.39,504.10,4987.95
Amul,Green Weekend Deals,1861559.37,672,2770.18,500.26,4994.70
Amul,Happy Hour Discounts,1927687.22,709,2718.88,507.68,4995.48
Amul,Holiday Shopping Rush,1902890.52,691,2753.82,504.65,4996.88
Amul,Hot Picks Promo,1736552.20,648,2679.86,522.20,4991.62
Amul,Instant Gratification Sale,1805798.46,679,2659.50,501.41,4994.91
Amul,Limited Time Treasures,1783039.51,633,2816.81,500.84,4986.97
Amul,Loyalty Rewards Blast,1929488.03,708,2725.27,504.51,4995.73
Amul,Mega Weekend Bonanza,1883123.50,670,2810.63,501.33,4975.12
Amul,Mid-Year Madness,1834848.88,664,2763.33,503.67,4970.79
Amul,Midnight Madness,1772778.57,670,2645.94,500.95,4998.10
Amul,Mystery Discount Days,1866679.30,666,2802.82,501.42,4991.87
Amul,New Arrival Showcase,1904414.57,686,2776.11,505.84,4997.29
Amul,New Product Launch Promo,1820127.60,667,2728.83,512.57,4998.84
Amul,New Year Kickoff,1745727.16,648,2694.02,515.94,4996.25
Amul,Price Drop Parade,1816131.18,653,2781.21,501.52,4984.55
Amul,Red Tag Clearance,1838693.72,674,2728.03,506.29,4993.78
Amul,Seasonal Surprise Box,1716202.69,638,2689.97,525.07,4989.05
Amul,Shop & Save Spectacular,1864830.32,681,2738.37,515.39,4991.95
Amul,Smart Shopper Week,1950459.41,703,2774.48,514.94,4993.62
Amul,Spring Refresh Event,1882086.94,657,2864.67,512.88,4974.41
Amul,Spring Splash Discounts,1902933.51,693,2745.94,509.39,4986.07
Amul,Summer Sizzle Promo,1791698.32,666,2690.24,503.45,4988.04
Amul,Super Savings Week,1869605.53,661,2828.45,505.59,4998.98
Amul,Ultimate Value Event,1886184.46,660,2857.86,500.47,4993.94
Amul,VIP Access Sale,1852322.94,690,2684.53,503.17,4982.39
Amul,Weekend Warrior Specials,1781080.05,664,2682.35,500.62,4994.22
Amul,Winter Clearance Carnival,1821176.74,661,2755.18,504.18,4993.64
Amul,Winter Wonders Sale,1843098.94,678,2718.44,505.32,4995.64
Apple,12 Days of Deals,1735598.19,647,2682.53,510.31,4987.59
Apple,Autumn Deals Drive,1762668.52,634,2780.23,518.47,4985.10
Apple,BOGO Blitz,1605914.19,607,2645.66,507.85,4998.43
Apple,Back to School Boost,1779453.31,657,2708.45,501.01,4991.54
Apple,Birthday Bash Sale,1844300.39,665,2773.38,504.53,4995.40
Apple,Black Friday Blowout,1895043.16,699,2711.08,511.49,4994.08
Apple,Cart Crasher Campaign,1872074.84,679,2757.11,508.39,4998.84
Apple,Cashback Carnival,1800529.14,644,2795.85,500.55,4992.85
Apple,Clearance Countdown,1819836.50,649,2804.06,510.87,4982.48
Apple,Countdown to Savings,1815241.32,683,2657.75,500.60,4989.61
Apple,Customer Appreciation Week,1871761.80,676,2768.88,507.42,4998.63
Apple,Cyber Monday Mania,1803359.09,663,2720.00,518.12,4990.26
Apple,Deal of the Month,1856866.23,661,2809.18,507.33,4999.96
Apple,Double Points Bonanza,1642719.90,603,2724.25,500.80,4999.96
Apple,Early Bird Specials,1709490.02,644,2654.49,503.12,4982.24
Apple,End of Season Sale,1838754.05,665,2765.04,504.05,4997.96
Apple,Exclusive Insider Offers,1901157.42,694,2739.42,526.79,4997.92
Apple,Festive Fever Promo,1793902.21,653,2747.17,500.64,4994.26
Apple,Final Call Frenzy,1829661.44,672,2722.71,500.25,4992.74
Apple,Flash Frenzy Friday,1657452.68,615,2695.05,505.17,4990.29
Apple,"Gift More, Spend Less",1693251.00,632,2679.19,508.46,4993.33
Apple,Golden Hour Bargains,1755075.18,640,2742.30,502.34,4996.32
Apple,Green Weekend Deals,1782631.89,640,2785.36,508.03,4999.77
Apple,Happy Hour Discounts,1858785.90,665,2795.17,521.65,4993.94
Apple,Holiday Shopping Rush,1790178.81,646,2771.17,500.26,4991.74
Apple,Hot Picks Promo,1842840.73,661,2787.96,505.53,4995.24
Apple,Instant Gratification Sale,1866136.68,696,2681.23,501.85,4996.98
Apple,Limited Time Treasures,1840906.10,677,2719.21,502.69,4977.48
Apple,Loyalty Rewards Blast,1875819.15,679,2762.62,508.20,4996.70
Apple,Mega Weekend Bonanza,1829229.46,661,2767.37,504.97,4977.51
Apple,Mid-Year Madness,1734590.46,626,2770.91,505.44,4993.10
Apple,Midnight Madness,1846578.46,670,2756.09,514.32,4999.83
Apple,Mystery Discount Days,1855722.40,649,2859.36,500.77,4996.73
Apple,New Arrival Showcase,1892884.22,682,2775.49,508.74,4999.20
Apple,New Product Launch Promo,1950268.70,730,2671.60,511.01,4989.38
Apple,New Year Kickoff,1942070.89,700,2774.39,503.50,4996.42
Apple,Price Drop Parade,1833918.10,657,2791.35,511.56,4996.99
Apple,Red Tag Clearance,1825491.21,663,2753.38,501.68,4991.96
Apple,Seasonal Surprise Box,1930084.49,703,2745.50,500.70,4997.26
Apple,Shop & Save Spectacular,1852773.27,676,2740.79,503.16,4994.26
Apple,Smart Shopper Week,1956030.42,706,2770.58,504.91,4999.52
Apple,Spring Refresh Event,1960118.62,687,2853.16,509.24,4998.88
Apple,Spring Splash Discounts,1841204.32,654,2815.30,508.55,4998.48
Apple,Summer Sizzle Promo,1681496.25,614,2738.59,501.20,4995.70
Apple,Super Savings Week,1814788.12,660,2749.68,527.66,4996.76
Apple,Ultimate Value Event,1808430.69,644,2808.12,519.49,4999.80
Apple,VIP Access Sale,1912329.92,695,2751.55,503.41,4994.23
Apple,Weekend Warrior Specials,1813828.26,674,2691.14,506.54,4986.26
Apple,Winter Clearance Carnival,1885940.05,708,2663.76,511.37,4995.16
Apple,Winter Wonders Sale,1798998.19,653,2754.97,533.84,4991.72
Bosch,12 Days of Deals,1693270.12,660,2565.56,504.11,4999.32
Bosch,Autumn Deals Drive,1766554.13,663,2664.49,506.50,4997.76
Bosch,BOGO Blitz,1729938.86,639,2707.26,503.66,4997.47
Bosch,Back to School Boost,1770863.87,651,2720.22,500.13,4992.97
Bosch,Birthday Bash Sale,1736387.03,657,2642.90,526.70,4996.94
Bosch,Black Friday Blowout,1713121.89,641,2672.58,508.64,4973.40
Bosch,Cart Crasher Campaign,1758629.36,634,2773.86,507.03,4994.64
Bosch,Cashback Carnival,1787415.85,651,2745.65,513.18,4991.33
Bosch,Clearance Countdown,1818310.55,675,2693.79,501.02,4995.95
Bosch,Countdown to Savings,1705201.46,619,2754.77,502.22,4999.30
Bosch,Customer Appreciation Week,1793689.40,662,2709.50,502.07,4990.07
Bosch,Cyber Monday Mania,1837223.62,672,2733.96,502.91,4994.48
Bosch,Deal of the Month,1788475.77,654,2734.67,501.60,4986.31
Bosch,Double Points Bonanza,1905328.65,699,2725.79,503.85,4998.02
Bosch,Early Bird Specials,1917294.97,702,2731.19,502.49,4995.57
Bosch,End of Season Sale,1863336.95,690,2700.49,512.22,4999.19
Bosch,Exclusive Insider Offers,1791857.28,641,2795.41,503.97,4998.02
Bosch,Festive Fever Promo,1846397.03,682,2707.33,500.98,4991.17
Bosch,Final Call Frenzy,1959362.26,703,2787.14,516.35,4989.24
Bosch,Flash Frenzy Friday,1868150.68,687,2719.29,504.30,4988.13
Bosch,"Gift More, Spend Less",1813663.91,674,2690.90,515.29,4961.67
Bosch,Golden Hour Bargains,1727999.39,622,2778.13,500.65,4990.85
Bosch,Green Weekend Deals,1893873.86,692,2736.81,503.05,4996.73
Bosch,Happy Hour Discounts,1886368.39,684,2757.85,504.73,4994.66
Bosch,Holiday Shopping Rush,1700310.67,618,2751.31,512.78,4986.26
Bosch,Hot Picks Promo,1843928.41,689,2676.24,503.76,4994.98
Bosch,Instant Gratification Sale,1849587.25,680,2719.98,508.53,4979.59
Bosch,Limited Time Treasures,1880323.74,713,2637.20,503.29,4986.23
Bosch,Loyalty Rewards Blast,1672552.72,611,2737.40,502.39,4998.98
Bosch,Mega Weekend Bonanza,1758951.93,665,2645.04,508.82,4995.11
Bosch,Mid-Year Madness,1871274.21,672,2784.63,504.23,4992.45
Bosch,Midnight Madness,1746265.87,637,2741.39,502.75,4995.31
Bosch,Mystery Discount Days,1715874.69,623,2754.21,503.19,4994.86
Bosch,New Arrival Showcase,1837889.79,683,2690.91,524.04,4998.09
Bosch,New Product Launch Promo,1961612.12,709,2766.73,500.80,4978.16
Bosch,New Year Kickoff,1647317.86,617,2669.88,500.10,4989.14
Bosch,Price Drop Parade,2012713.14,712,2826.84,507.80,4992.73
Bosch,Red Tag Clearance,1813235.79,662,2739.03,500.88,4998.91
Bosch,Seasonal Surprise Box,1816632.36,672,2703.32,505.59,4998.61
Bosch,Shop & Save Spectacular,1781830.14,645,2762.53,516.11,4993.98
Bosch,Smart Shopper Week,1775219.02,648,2739.54,510.10,4991.04
Bosch,Spring Refresh Event,1800652.50,674,2671.59,501.78,4981.60
Bosch,Spring Splash Discounts,1858432.04,670,2773.78,503.39,4999.80
Bosch,Summer Sizzle Promo,1903368.80,672,2832.39,505.55,4998.36
Bosch,Super Savings Week,1922719.03,704,2731.13,501.99,4985.30
Bosch,Ultimate Value Event,1853542.44,682,2717.80,501.78,4998.56
Bosch,VIP Access Sale,1876813.17,678,2768.16,500.66,4983.36
Bosch,Weekend Warrior Specials,1761448.12,646,2726.70,505.78,4987.65
Bosch,Winter Clearance Carnival,1811641.75,635,2852.98,502.95,4991.75
Bosch,Winter Wonders Sale,1767636.47,655,2698.68,513.89,4999.74
Britannia,12 Days of Deals,1890049.44,690,2739.20,502.31,4998.87
Britannia,Autumn Deals Drive,1926406.80,688,2800.01,521.41,4996.15
Britannia,BOGO Blitz,1825045.59,653,2794.86,527.21,4995.11
Britannia,Back to School Boost,1870581.26,674,2775.34,500.43,4996.41
Britannia,Birthday Bash Sale,1813480.81,646,2807.25,505.10,4997.17
Britannia,Black Friday Blowout,1714298.77,618,2773.95,511.36,4997.76
Britannia,Cart Crasher Campaign,1786344.90,652,2739.79,514.48,4993.97
Britannia,Cashback Carnival,1818119.99,673,2701.52,510.20,4995.88
Britannia,Clearance Countdown,1920665.98,674,2849.65,509.31,4995.69
Britannia,Countdown to Savings,1771893.21,657,2696.95,500.65,4993.99
Britannia,Customer Appreciation Week,1744300.74,630,2768.73,502.48,4997.84
Britannia,Cyber Monday Mania,1780163.71,659,2701.31,504.09,4999.83
Britannia,Deal of the Month,1803072.12,680,2651.58,503.27,4990.87
Britannia,Double Points Bonanza,1786009.36,664,2689.77,509.38,4996.21
Britannia,Early Bird Specials,1827547.37,676,2703.47,508.69,4998.24
Britannia,End of Season Sale,1831291.50,667,2745.56,503.49,4992.46
Britannia,Exclusive Insider Offers,1822262.83,669,2723.86,504.77,4998.29
Britannia,Festive Fever Promo,1723921.17,658,2619.94,507.70,4995.96
Britannia,Final Call Frenzy,1721301.39,639,2693.74,509.45,4987.51
Britannia,Flash Frenzy Friday,1777010.89,648,2742.30,511.49,4971.18
Britannia,"Gift More, Spend Less",1779126.93,658,2703.84,511.37,4988.51
Britannia,Golden Hour Bargains,1880387.66,676,2781.64,504.64,4999.35
Britannia,Green Weekend Deals,1800100.91,654,2752.45,503.85,4986.11
Britannia,Happy Hour Discounts,1736280.66,608,2855.72,500.75,4998.94
Britannia,Holiday Shopping Rush,1808404.09,672,2691.08,531.37,4996.87
Britannia,Hot Picks Promo,1819726.87,679,2680.01,500.98,4992.31
Britannia,Instant Gratification Sale,1935382.50,678,2854.55,503.24,4988.57
Britannia,Limited Time Treasures,1844478.29,678,2720.47,508.03,4985.97
Britannia,Loyalty Rewards Blast,1763700.38,647,2725.97,547.44,4993.48
Britannia,Mega Weekend Bonanza,1632563.03,607,2689.56,507.42,4994.82
Britannia,Mid-Year Madness,1775602.37,649,2735.91,512.41,4982.61
Britannia,Midnight Madness,1825714.18,684,2669.17,502.72,4999.95
Britannia,Mystery Discount Days,1749052.66,659,2654.10,500.94,4999.16
Britannia,New Arrival Showcase,1932225.89,697,2772.20,502.57,4996.06
Britannia,New Product Launch Promo,1795015.67,667,2691.18,502.18,4996.19
Britannia,New Year Kickoff,1715726.21,649,2643.65,508.27,4996.56
Britannia,Price Drop Parade,1776923.91,641,2772.11,509.15,4996.09
Britannia,Red Tag Clearance,1690136.86,625,2704.22,504.16,4995.93
Britannia,Seasonal Surprise Box,1865491.33,655,2848.08,500.56,4991.34
Britannia,Shop & Save Spectacular,1810304.09,646,2802.33,523.23,4973.31
Britannia,Smart Shopper Week,1787208.19,654,2732.73,511.85,4999.40
Britannia,Spring Refresh Event,1933242.23,675,2864.06,521.49,4995.73
Britannia,Spring Splash Discounts,1764861.79,644,2740.47,506.84,4988.22
Britannia,Summer Sizzle Promo,1886971.80,679,2779.05,516.31,4998.54
Britannia,Super Savings Week,1804034.99,653,2762.69,507.93,4990.76
Britannia,Ultimate Value Event,1738971.37,636,2734.23,509.73,4987.11
Britannia,VIP Access Sale,1903024.91,705,2699.33,500.31,4993.43
Britannia,Weekend Warrior Specials,1844001.85,682,2703.82,522.41,4993.10
Britannia,Winter Clearance Carnival,1824676.00,649,2811.52,503.43,4996.82
Britannia,Winter Wonders Sale,1808289.27,665,2719.23,505.12,4999.56
Decathlon,12 Days of Deals,1726240.52,647,2668.07,508.37,4985.06
Decathlon,Autumn Deals Drive,1726676.75,633,2727.77,503.74,4990.55
Decathlon,BOGO Blitz,1774679.10,647,2742.94,514.68,4997.17
Decathlon,Back to School Boost,1908742.65,687,2778.37,515.62,4988.23
Decathlon,Birthday Bash Sale,1865872.58,661,2822.80,501.68,4990.77
Decathlon,Black Friday Blowout,1792471.75,658,2724.12,500.60,4990.38
Decathlon,Cart Crasher Campaign,1867153.67,690,2706.02,504.84,4997.58
Decathlon,Cashback Carnival,1747639.94,649,2692.82,500.39,4996.22
Decathlon,Clearance Countdown,1806206.23,664,2720.19,501.31,4995.72
Decathlon,Countdown to Savings,1848563.37,687,2690.78,500.09,4994.28
Decathlon,Customer Appreciation Week,1980304.43,706,2804.96,531.10,4994.09
Decathlon,Cyber Monday Mania,1752173.57,644,2720.77,501.43,4995.64
Decathlon,Deal of the Month,1845019.11,659,2799.73,503.70,4999.17
Decathlon,Double Points Bonanza,1805937.12,660,2736.27,502.80,4996.95
Decathlon,Early Bird Specials,1855813.05,677,2741.23,524.55,4997.07
Decathlon,End of Season Sale,1792828.06,666,2691.93,509.18,4999.05
Decathlon,Exclusive Insider Offers,1881532.26,662,2842.19,524.76,4999.97
Decathlon,Festive Fever Promo,1833586.80,662,2769.77,506.01,4997.72
Decathlon,Final Call Frenzy,1861150.98,660,2819.93,510.70,4998.08
Decathlon,Flash Frenzy Friday,1849030.57,695,2660.48,501.01,4996.10
Decathlon,"Gift More, Spend Less",1917745.48,728,2634.27,500.46,4996.60
Decathlon,Golden Hour Bargains,2045958.16,741,2761.08,506.18,4995.64
Decathlon,Green Weekend Deals,1777466.11,646,2751.50,521.12,4985.58
Decathlon,Happy Hour Discounts,1914953.97,672,2849.63,500.42,4989.33
Decathlon,Holiday Shopping Rush,1869435.31,680,2749.17,514.08,4997.18
Decathlon,Hot Picks Promo,1662771.89,628,2647.73,504.54,4994.34
Decathlon,Instant Gratification Sale,1831863.91,654,2801.02,523.68,4998.94
Decathlon,Limited Time Treasures,1805670.58,677,2667.16,513.55,4983.80
Decathlon,Loyalty Rewards Blast,1806642.52,662,2729.07,500.22,4985.62
Decathlon,Mega Weekend Bonanza,1860211.43,672,2768.17,500.15,4995.42
Decathlon,Mid-Year Madness,1963871.00,711,2762.13,509.74,4999.49
Decathlon,Midnight Madness,1753746.08,637,2753.13,501.16,4994.22
Decathlon,Mystery Discount Days,1782572.18,632,2820.53,508.52,4979.54
Decathlon,New Arrival Showcase,1921724.12,675,2847.00,506.47,4991.35
Decathlon,New Product Launch Promo,1730696.06,638,2712.69,503.51,4989.97
Decathlon,New Year Kickoff,1782509.15,653,2729.72,501.31,4997.16
Decathlon,Price Drop Parade,1693675.66,634,2671.41,500.07,4991.46
Decathlon,Red Tag Clearance,1858833.63,667,2786.86,500.15,4981.94
Decathlon,Seasonal Surprise Box,1804484.95,661,2729.93,539.15,4992.97
Decathlon,Shop & Save Spectacular,1816129.37,666,2726.92,502.57,4996.23
Decathlon,Smart Shopper Week,1900653.53,693,2742.65,505.62,4995.51
Decathlon,Spring Refresh Event,1922340.39,680,2826.97,500.56,4992.08
Decathlon,Spring Splash Discounts,1927665.58,693,2781.62,508.67,4991.41
Decathlon,Summer Sizzle Promo,1886138.71,706,2671.58,502.21,4991.16
Decathlon,Super Savings Week,1902534.16,665,2860.95,501.50,4999.25
Decathlon,Ultimate Value Event,1877596.22,680,2761.17,510.52,4996.78
Decathlon,VIP Access Sale,1703757.47,616,2765.84,500.51,4993.65
Decathlon,Weekend Warrior Specials,1722696.38,635,2712.91,514.80,4989.44
Decathlon,Winter Clearance Carnival,1979211.75,713,2775.89,506.66,4999.77
Decathlon,Winter Wonders Sale,1706240.77,620,2752.00,503.85,4993.77
Godrej Interio,12 Days of Deals,1761838.20,641,2748.58,513.03,4998.57
Godrej Interio,Autumn Deals Drive,1724303.07,648,2660.96,503.92,4999.01
Godrej Interio,BOGO Blitz,1937218.75,701,2763.51,503.27,4993.32
Godrej Interio,Back to School Boost,1836433.15,680,2700.64,503.95,4985.54
Godrej Interio,Birthday Bash Sale,1761958.41,643,2740.22,504.51,4991.81
Godrej Interio,Black Friday Blowout,1873317.19,691,2711.02,500.23,4995.43
Godrej Interio,Cart Crasher Campaign,1857070.97,679,2735.01,508.04,4992.17
Godrej Interio,Cashback Carnival,1965192.96,693,2835.78,503.47,4994.56
Godrej Interio,Clearance Countdown,1851274.91,665,2783.87,500.68,4992.67
Godrej Interio,Countdown to Savings,1853056.97,659,2811.92,505.04,4997.06
Godrej Interio,Customer Appreciation Week,1767180.75,673,2625.83,504.82,4994.87
Godrej Interio,Cyber Monday Mania,1674406.29,606,2763.05,518.33,4994.23
Godrej Interio,Deal of the Month,1817816.30,663,2741.80,518.45,4999.17
Godrej Interio,Double Points Bonanza,1863992.41,666,2798.79,521.42,4973.00
Godrej Interio,Early Bird Specials,1820839.73,675,2697.54,509.67,4996.61
Godrej Interio,End of Season Sale,1838505.65,670,2744.04,504.42,4986.81
Godrej Interio,Exclusive Insider Offers,1739875.99,636,2735.65,501.18,4996.56
Godrej Interio,Festive Fever Promo,1917206.12,697,2750.65,501.32,4992.74
Godrej Interio,Final Call Frenzy,1740634.95,625,2785.02,507.44,4991.12
Godrej Interio,Flash Frenzy Friday,1900456.24,686,2770.34,504.49,4995.77
Godrej Interio,"Gift More, Spend Less",1652770.81,625,2644.43,510.42,4997.34
Godrej Interio,Golden Hour Bargains,1779319.54,642,2771.53,503.86,4994.26
Godrej Interio,Green Weekend Deals,1668306.01,640,2606.73,533.15,4982.78
Godrej Interio,Happy Hour Discounts,1763592.90,651,2709.05,501.14,4989.55
Godrej Interio,Holiday Shopping Rush,1772625.77,649,2731.32,508.47,4996.98
Godrej Interio,Hot Picks Promo,1970451.59,697,2827.05,503.85,4992.57
Godrej Interio,Instant Gratification Sale,1818311.30,662,2746.69,506.86,4992.46
Godrej Interio,Limited Time Treasures,1964610.69,741,2651.30,509.42,4997.24
Godrej Interio,Loyalty Rewards Blast,1840464.61,693,2655.79,500.38,4979.86
Godrej Interio,Mega Weekend Bonanza,1865810.96,690,2704.07,503.48,4979.63
Godrej Interio,Mid-Year Madness,1760705.13,646,2725.55,516.15,4999.77
Godrej Interio,Midnight Madness,1904564.26,682,2792.62,504.76,4994.08
Godrej Interio,Mystery Discount Days,1915820.03,699,2740.80,502.26,4995.76
Godrej Interio,New Arrival Showcase,1959067.72,703,2786.73,510.39,4999.20
Godrej Interio,New Product Launch Promo,1900511.03,708,2684.34,501.02,4999.40
Godrej Interio,New Year Kickoff,2030129.73,722,2811.81,501.02,4998.10
Godrej Interio,Price Drop Parade,1760787.64,617,2853.79,506.58,4997.34
Godrej Interio,Red Tag Clearance,1850062.60,657,2815.92,503.77,4992.46
Godrej Interio,Seasonal Surprise Box,1813642.84,669,2710.98,503.81,4998.58
Godrej Interio,Shop & Save Spectacular,1859955.32,667,2788.54,507.30,4998.08
Godrej Interio,Smart Shopper Week,1672507.83,625,2676.01,502.89,4994.01
Godrej Interio,Spring Refresh Event,1764894.02,658,2682.21,505.77,4997.69
Godrej Interio,Spring Splash Discounts,1911150.04,683,2798.17,511.71,4999.44
Godrej Interio,Summer Sizzle Promo,1729764.76,638,2711.23,507.16,4985.90
Godrej Interio,Super Savings Week,1904995.52,696,2737.06,508.26,4995.00
Godrej Interio,Ultimate Value Event,1739565.88,640,2718.07,502.47,4998.80
Godrej Interio,VIP Access Sale,1702286.75,622,2736.80,511.16,4990.62
Godrej Interio,Weekend Warrior Specials,1814096.47,665,2727.96,501.67,4999.65
Godrej Interio,Winter Clearance Carnival,1779645.77,655,2717.02,502.61,4996.65
Godrej Interio,Winter Wonders Sale,1902949.97,691,2753.91,502.50,4989.40
Haier,12 Days of Deals,1854071.51,662,2800.71,509.06,4997.95
Haier,Autumn Deals Drive,1828160.86,696,2626.67,501.18,4997.36
Haier,BOGO Blitz,1891220.52,681,2777.12,502.46,4993.38
Haier,Back to School Boost,1803221.68,640,2817.53,512.31,4995.75
Haier,Birthday Bash Sale,1900772.77,697,2727.08,503.22,4992.41
Haier,Black Friday Blowout,1789798.93,653,2740.89,519.94,4999.91
Haier,Cart Crasher Campaign,1857148.27,666,2788.51,503.85,4998.05
Haier,Cashback Carnival,1830574.38,670,2732.20,505.90,4985.94
Haier,Clearance Countdown,1777941.67,639,2782.38,522.18,4989.53
Haier,Countdown to Savings,1825982.84,675,2705.16,500.39,4996.58
Haier,Customer Appreciation Week,1883641.67,687,2741.84,507.64,4988.67
Haier,Cyber Monday Mania,1727533.20,631,2737.77,504.75,4983.64
Haier,Deal of the Month,1830779.74,650,2816.58,501.47,4997.58
Haier,Double Points Bonanza,1835040.37,666,2755.32,522.00,4989.32
Haier,Early Bird Specials,2054582.57,737,2787.76,503.37,4999.06
Haier,End of Season Sale,1968752.11,706,2788.60,512.52,4983.83
Haier,Exclusive Insider Offers,1760327.33,635,2772.17,502.55,4998.93
Haier,Festive Fever Promo,1899397.09,696,2729.02,500.36,4996.92
Haier,Final Call Frenzy,1917217.04,683,2807.05,510.19,4991.35
Haier,Flash Frenzy Friday,1987753.59,706,2815.52,506.15,4996.85
