brand,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Large Malls / Complexes,Manager,New Product Launch Promo,284998.31,99,2878.77,693.47,4912.50
Adidas,Large Malls / Complexes,Manager,New Year Kickoff,286606.83,107,2678.57,502.81,4988.93
Adidas,Large Malls / Complexes,Manager,Price Drop Parade,329604.44,120,2746.70,507.14,4984.37
Adidas,Large Malls / Complexes,Manager,Red Tag Clearance,267833.57,102,2625.82,547.87,4989.71
Adidas,Large Malls / Complexes,Manager,Seasonal Surprise Box,297676.30,98,3037.51,614.40,4968.37
Adidas,Large Malls / Complexes,Manager,Shop & Save Spectacular,300984.48,100,3009.84,511.32,4960.40
Adidas,Large Malls / Complexes,Manager,Smart Shopper Week,274321.67,102,2689.43,544.05,4985.85
Adidas,Large Malls / Complexes,Manager,Spring Refresh Event,304333.43,104,2926.28,565.27,4985.02
Adidas,Large Malls / Complexes,Manager,Spring Splash Discounts,247528.66,89,2781.22,541.50,4998.18
Adidas,Large Malls / Complexes,Manager,Summer Sizzle Promo,306540.95,108,2838.34,544.24,4886.96
Adidas,Large Malls / Complexes,Manager,Super Savings Week,311039.65,119,2613.78,528.70,4962.64
Adidas,Large Malls / Complexes,Manager,Ultimate Value Event,272797.41,101,2700.96,513.09,4989.43
Adidas,Large Malls / Complexes,Manager,VIP Access Sale,329612.75,118,2793.33,552.68,4976.34
Adidas,Large Malls / Complexes,Manager,Weekend Warrior Specials,320816.48,117,2742.02,545.88,4861.83
Adidas,Large Malls / Complexes,Manager,Winter Clearance Carnival,286464.23,102,2808.47,655.52,4956.75
Adidas,Large Malls / Complexes,Manager,Winter Wonders Sale,287320.98,106,2710.58,504.80,4869.74
Adidas,Large Malls / Complexes,Sales Associate,12 Days of Deals,306858.15,106,2894.89,600.10,4929.55
Adidas,Large Malls / Complexes,Sales Associate,Autumn Deals Drive,312769.02,108,2896.01,518.04,4982.16
Adidas,Large Malls / Complexes,Sales Associate,BOGO Blitz,341840.28,123,2779.19,533.73,4998.71
Adidas,Large Malls / Complexes,Sales Associate,Back to School Boost,284693.39,109,2611.87,508.79,4893.41
Adidas,Large Malls / Complexes,Sales Associate,Birthday Bash Sale,278001.40,98,2836.75,526.70,4962.71
Adidas,Large Malls / Complexes,Sales Associate,Black Friday Blowout,325950.21,114,2859.21,507.51,4964.85
Adidas,Large Malls / Complexes,Sales Associate,Cart Crasher Campaign,304651.94,104,2929.35,555.02,4994.25
Adidas,Large Malls / Complexes,Sales Associate,Cashback Carnival,377190.85,133,2836.02,515.77,4971.77
Adidas,Large Malls / Complexes,Sales Associate,Clearance Countdown,342296.90,132,2593.16,503.83,4949.25
Adidas,Large Malls / Complexes,Sales Associate,Countdown to Savings,279963.99,107,2616.49,553.26,4877.45
Adidas,Large Malls / Complexes,Sales Associate,Customer Appreciation Week,318042.83,119,2672.63,510.44,4928.12
Adidas,Large Malls / Complexes,Sales Associate,Cyber Monday Mania,315827.53,109,2897.50,666.88,4923.88
Adidas,Large Malls / Complexes,Sales Associate,Deal of the Month,304362.85,108,2818.17,540.57,4950.00
Adidas,Large Malls / Complexes,Sales Associate,Double Points Bonanza,268445.67,106,2532.51,506.41,4995.71
Adidas,Large Malls / Complexes,Sales Associate,Early Bird Specials,270125.15,110,2455.68,505.34,4993.12
Adidas,Large Malls / Complexes,Sales Associate,End of Season Sale,304663.09,106,2874.18,560.40,4828.73
Adidas,Large Malls / Complexes,Sales Associate,Exclusive Insider Offers,320778.83,112,2864.10,503.34,4975.61
Adidas,Large Malls / Complexes,Sales Associate,Festive Fever Promo,280205.05,106,2643.44,519.49,4991.54
Adidas,Large Malls / Complexes,Sales Associate,Final Call Frenzy,310416.20,117,2653.13,541.76,4978.28
Adidas,Large Malls / Complexes,Sales Associate,Flash Frenzy Friday,341081.16,119,2866.23,591.95,4943.55
Adidas,Large Malls / Complexes,Sales Associate,"Gift More, Spend Less",266847.14,91,2932.39,535.98,4946.78
Adidas,Large Malls / Complexes,Sales Associate,Golden Hour Bargains,337332.41,124,2720.42,503.10,4999.76
Adidas,Large Malls / Complexes,Sales Associate,Green Weekend Deals,271526.66,100,2715.27,513.09,4999.76
Adidas,Large Malls / Complexes,Sales Associate,Happy Hour Discounts,262626.22,99,2652.79,538.74,4975.40
Adidas,Large Malls / Complexes,Sales Associate,Holiday Shopping Rush,381850.53,128,2983.21,506.26,4981.68
Adidas,Large Malls / Complexes,Sales Associate,Hot Picks Promo,298251.79,110,2711.38,539.33,4968.49
Adidas,Large Malls / Complexes,Sales Associate,Instant Gratification Sale,327884.34,115,2851.17,517.51,4997.63
Adidas,Large Malls / Complexes,Sales Associate,Limited Time Treasures,265759.62,97,2739.79,556.42,4991.05
Adidas,Large Malls / Complexes,Sales Associate,Loyalty Rewards Blast,282761.83,107,2642.63,505.10,4875.07
Adidas,Large Malls / Complexes,Sales Associate,Mega Weekend Bonanza,281293.69,105,2678.99,547.14,4936.93
Adidas,Large Malls / Complexes,Sales Associate,Mid-Year Madness,291872.83,108,2702.53,545.41,4925.56
Adidas,Large Malls / Complexes,Sales Associate,Midnight Madness,301560.17,109,2766.61,512.27,4950.57
Adidas,Large Malls / Complexes,Sales Associate,Mystery Discount Days,314417.93,115,2734.07,579.44,4976.22
Adidas,Large Malls / Complexes,Sales Associate,New Arrival Showcase,285632.49,105,2720.31,531.11,4986.33
Adidas,Large Malls / Complexes,Sales Associate,New Product Launch Promo,287073.45,104,2760.32,500.83,4969.91
Adidas,Large Malls / Complexes,Sales Associate,New Year Kickoff,290262.29,114,2546.16,503.01,4991.46
Adidas,Large Malls / Complexes,Sales Associate,Price Drop Parade,237847.78,90,2642.75,595.28,4943.31
Adidas,Large Malls / Complexes,Sales Associate,Red Tag Clearance,321496.55,110,2922.70,521.17,4935.44
Adidas,Large Malls / Complexes,Sales Associate,Seasonal Surprise Box,347519.28,126,2758.09,551.05,4973.71
Adidas,Large Malls / Complexes,Sales Associate,Shop & Save Spectacular,332888.38,122,2728.59,507.72,4992.75
Adidas,Large Malls / Complexes,Sales Associate,Smart Shopper Week,359592.62,128,2809.32,518.23,4972.34
Adidas,Large Malls / Complexes,Sales Associate,Spring Refresh Event,289532.84,99,2924.57,647.98,4954.06
Adidas,Large Malls / Complexes,Sales Associate,Spring Splash Discounts,333851.41,124,2692.35,535.63,4933.73
Adidas,Large Malls / Complexes,Sales Associate,Summer Sizzle Promo,303475.74,113,2685.63,506.00,4982.52
Adidas,Large Malls / Complexes,Sales Associate,Super Savings Week,313015.02,110,2845.59,522.46,4947.53
Adidas,Large Malls / Complexes,Sales Associate,Ultimate Value Event,242118.23,94,2575.73,529.57,4948.39
Adidas,Large Malls / Complexes,Sales Associate,VIP Access Sale,277845.20,96,2894.22,576.87,4942.86
Adidas,Large Malls / Complexes,Sales Associate,Weekend Warrior Specials,352059.94,129,2729.15,556.93,4872.44
Adidas,Large Malls / Complexes,Sales Associate,Winter Clearance Carnival,355766.26,129,2757.88,628.77,4997.18
Adidas,Large Malls / Complexes,Sales Associate,Winter Wonders Sale,315812.94,120,2631.77,573.86,4983.97
Adidas,Large Malls / Complexes,Salesperson,12 Days of Deals,321637.89,122,2636.38,523.07,4954.87
Adidas,Large Malls / Complexes,Salesperson,Autumn Deals Drive,313424.06,111,2823.64,519.22,4981.81
Adidas,Large Malls / Complexes,Salesperson,BOGO Blitz,350017.14,125,2800.14,550.36,4938.39
Adidas,Large Malls / Complexes,Salesperson,Back to School Boost,290287.65,115,2524.24,536.25,4933.66
Adidas,Large Malls / Complexes,Salesperson,Birthday Bash Sale,293670.62,110,2669.73,526.11,4957.03
Adidas,Large Malls / Complexes,Salesperson,Black Friday Blowout,264829.88,98,2702.35,643.44,4880.99
Adidas,Large Malls / Complexes,Salesperson,Cart Crasher Campaign,270651.55,105,2577.63,555.57,4942.50
Adidas,Large Malls / Complexes,Salesperson,Cashback Carnival,336838.91,112,3007.49,531.84,4944.52
Adidas,Large Malls / Complexes,Salesperson,Clearance Countdown,317446.82,114,2784.62,505.52,4995.33
Adidas,Large Malls / Complexes,Salesperson,Countdown to Savings,324559.58,112,2897.85,681.12,4872.73
Adidas,Large Malls / Complexes,Salesperson,Customer Appreciation Week,321960.12,123,2617.56,548.99,4957.35
Adidas,Large Malls / Complexes,Salesperson,Cyber Monday Mania,301369.89,114,2643.60,538.62,4986.44
Adidas,Large Malls / Complexes,Salesperson,Deal of the Month,271764.58,100,2717.65,524.61,4863.72
Adidas,Large Malls / Complexes,Salesperson,Double Points Bonanza,253302.57,94,2694.71,530.30,4951.31
Adidas,Large Malls / Complexes,Salesperson,Early Bird Specials,357067.70,129,2767.97,567.13,4982.97
Adidas,Large Malls / Complexes,Salesperson,End of Season Sale,296230.07,110,2693.00,553.90,4997.48
Adidas,Large Malls / Complexes,Salesperson,Exclusive Insider Offers,347226.55,121,2869.64,521.53,4987.28
Adidas,Large Malls / Complexes,Salesperson,Festive Fever Promo,347970.37,129,2697.44,532.59,4945.80
Adidas,Large Malls / Complexes,Salesperson,Final Call Frenzy,264332.76,99,2670.03,549.65,4972.71
Adidas,Large Malls / Complexes,Salesperson,Flash Frenzy Friday,371910.95,128,2905.55,514.40,4981.24
Adidas,Large Malls / Complexes,Salesperson,"Gift More, Spend Less",300530.66,108,2782.69,504.14,4994.22
Adidas,Large Malls / Complexes,Salesperson,Golden Hour Bargains,300626.43,106,2836.10,508.67,4952.14
Adidas,Large Malls / Complexes,Salesperson,Green Weekend Deals,303858.99,108,2813.51,560.33,4956.83
Adidas,Large Malls / Complexes,Salesperson,Happy Hour Discounts,320893.06,106,3027.29,510.62,4933.42
Adidas,Large Malls / Complexes,Salesperson,Holiday Shopping Rush,267639.59,97,2759.17,548.15,4963.18
Adidas,Large Malls / Complexes,Salesperson,Hot Picks Promo,296263.89,110,2693.31,526.98,4964.05
Adidas,Large Malls / Complexes,Salesperson,Instant Gratification Sale,337505.08,119,2836.18,542.57,4966.50
Adidas,Large Malls / Complexes,Salesperson,Limited Time Treasures,238272.02,85,2803.20,547.64,4856.99
Adidas,Large Malls / Complexes,Salesperson,Loyalty Rewards Blast,278096.27,99,2809.05,635.75,4993.88
Adidas,Large Malls / Complexes,Salesperson,Mega Weekend Bonanza,304498.09,105,2899.98,575.16,4915.82
Adidas,Large Malls / Complexes,Salesperson,Mid-Year Madness,267647.22,95,2817.34,524.32,4989.23
Adidas,Large Malls / Complexes,Salesperson,Midnight Madness,314112.46,120,2617.60,564.97,4952.37
Adidas,Large Malls / Complexes,Salesperson,Mystery Discount Days,316308.41,121,2614.12,528.21,4922.26
Adidas,Large Malls / Complexes,Salesperson,New Arrival Showcase,349956.82,122,2868.50,513.68,4892.63
Adidas,Large Malls / Complexes,Salesperson,New Product Launch Promo,333540.05,115,2900.35,520.95,4999.95
Adidas,Large Malls / Complexes,Salesperson,New Year Kickoff,381423.33,137,2784.11,522.48,4957.93
Adidas,Large Malls / Complexes,Salesperson,Price Drop Parade,281716.15,113,2493.06,511.21,4952.76
Adidas,Large Malls / Complexes,Salesperson,Red Tag Clearance,293613.90,113,2598.35,509.09,4965.93
Adidas,Large Malls / Complexes,Salesperson,Seasonal Surprise Box,256528.09,96,2672.17,501.08,4919.41
Adidas,Large Malls / Complexes,Salesperson,Shop & Save Spectacular,279729.93,103,2715.82,531.24,4995.87
Adidas,Large Malls / Complexes,Salesperson,Smart Shopper Week,314684.32,122,2579.38,540.58,4998.23
Adidas,Large Malls / Complexes,Salesperson,Spring Refresh Event,325404.31,108,3013.00,543.53,4985.65
Adidas,Large Malls / Complexes,Salesperson,Spring Splash Discounts,249888.95,94,2658.39,525.43,4959.63
Adidas,Large Malls / Complexes,Salesperson,Summer Sizzle Promo,328895.24,120,2740.79,508.62,4958.89
Adidas,Large Malls / Complexes,Salesperson,Super Savings Week,315695.21,110,2869.96,502.34,4949.70
Adidas,Large Malls / Complexes,Salesperson,Ultimate Value Event,360451.06,130,2772.70,593.54,4979.03
Adidas,Large Malls / Complexes,Salesperson,VIP Access Sale,284056.71,100,2840.57,521.88,4987.83
Adidas,Large Malls / Complexes,Salesperson,Weekend Warrior Specials,295522.74,100,2955.23,528.63,4992.44
Adidas,Large Malls / Complexes,Salesperson,Winter Clearance Carnival,330102.83,117,2821.39,612.49,4993.51
Adidas,Large Malls / Complexes,Salesperson,Winter Wonders Sale,312994.60,113,2769.86,512.88,4927.28
Adidas,Large Malls / Complexes,Senior Salesperson,12 Days of Deals,253692.20,100,2536.92,501.08,4972.86
Adidas,Large Malls / Complexes,Senior Salesperson,Autumn Deals Drive,286297.19,103,2779.58,511.09,4995.60
Adidas,Large Malls / Complexes,Senior Salesperson,BOGO Blitz,283808.94,105,2702.94,523.98,4973.52
Adidas,Large Malls / Complexes,Senior Salesperson,Back to School Boost,336454.74,119,2827.35,518.87,4981.81
Adidas,Large Malls / Complexes,Senior Salesperson,Birthday Bash Sale,220345.20,79,2789.18,551.32,4974.29
Adidas,Large Malls / Complexes,Senior Salesperson,Black Friday Blowout,307036.81,104,2952.28,557.08,4967.45
Adidas,Large Malls / Complexes,Senior Salesperson,Cart Crasher Campaign,250240.91,87,2876.33,540.89,4919.18
Adidas,Large Malls / Complexes,Senior Salesperson,Cashback Carnival,224992.87,89,2528.01,502.29,4792.14
Adidas,Large Malls / Complexes,Senior Salesperson,Clearance Countdown,241640.31,89,2715.06,566.49,4946.32
Adidas,Large Malls / Complexes,Senior Salesperson,Countdown to Savings,211897.14,82,2584.11,527.75,4882.28
Adidas,Large Malls / Complexes,Senior Salesperson,Customer Appreciation Week,270639.11,96,2819.16,581.82,4994.47
Adidas,Large Malls / Complexes,Senior Salesperson,Cyber Monday Mania,249321.41,92,2710.02,525.26,4977.18
Adidas,Large Malls / Complexes,Senior Salesperson,Deal of the Month,266743.07,96,2778.57,511.14,4910.57
Adidas,Large Malls / Complexes,Senior Salesperson,Double Points Bonanza,331715.46,109,3043.26,544.68,4984.67
Adidas,Large Malls / Complexes,Senior Salesperson,Early Bird Specials,271346.27,98,2768.84,705.18,4974.35
Adidas,Large Malls / Complexes,Senior Salesperson,End of Season Sale,286185.09,104,2751.78,507.77,4968.15
Adidas,Large Malls / Complexes,Senior Salesperson,Exclusive Insider Offers,292172.85,96,3043.47,583.71,4984.33
Adidas,Large Malls / Complexes,Senior Salesperson,Festive Fever Promo,264690.97,84,3151.08,553.01,4988.63
Adidas,Large Malls / Complexes,Senior Salesperson,Final Call Frenzy,290662.92,104,2794.84,541.65,4878.43
Adidas,Large Malls / Complexes,Senior Salesperson,Flash Frenzy Friday,242781.22,98,2477.36,519.52,4995.53
Adidas,Large Malls / Complexes,Senior Salesperson,"Gift More, Spend Less",245911.34,91,2702.32,591.29,4930.55
Adidas,Large Malls / Complexes,Senior Salesperson,Golden Hour Bargains,263718.42,90,2930.20,523.61,4943.89
Adidas,Large Malls / Complexes,Senior Salesperson,Green Weekend Deals,206180.23,79,2609.88,506.43,4981.60
Adidas,Large Malls / Complexes,Senior Salesperson,Happy Hour Discounts,305179.75,103,2962.91,535.53,4994.51
Adidas,Large Malls / Complexes,Senior Salesperson,Holiday Shopping Rush,307009.28,117,2624.01,545.23,4973.96
Adidas,Large Malls / Complexes,Senior Salesperson,Hot Picks Promo,258846.34,90,2876.07,553.60,4906.93
Adidas,Large Malls / Complexes,Senior Salesperson,Instant Gratification Sale,298431.74,104,2869.54,522.75,4932.63
Adidas,Large Malls / Complexes,Senior Salesperson,Limited Time Treasures,266515.92,99,2692.08,528.37,4974.22
Adidas,Large Malls / Complexes,Senior Salesperson,Loyalty Rewards Blast,302223.13,104,2905.99,665.25,4979.35
Adidas,Large Malls / Complexes,Senior Salesperson,Mega Weekend Bonanza,243008.17,86,2825.68,537.88,4969.18
Adidas,Large Malls / Complexes,Senior Salesperson,Mid-Year Madness,283793.14,108,2627.71,502.00,4846.39
Adidas,Large Malls / Complexes,Senior Salesperson,Midnight Madness,229418.43,80,2867.73,500.23,4994.43
Adidas,Large Malls / Complexes,Senior Salesperson,Mystery Discount Days,260132.78,90,2890.36,571.48,4974.10
Adidas,Large Malls / Complexes,Senior Salesperson,New Arrival Showcase,285544.14,101,2827.17,518.13,4987.87
Adidas,Large Malls / Complexes,Senior Salesperson,New Product Launch Promo,203726.68,83,2454.54,510.20,4984.64
Adidas,Large Malls / Complexes,Senior Salesperson,New Year Kickoff,204369.19,81,2523.08,507.74,4879.97
Adidas,Large Malls / Complexes,Senior Salesperson,Price Drop Parade,265404.35,97,2736.13,551.97,4989.39
Adidas,Large Malls / Complexes,Senior Salesperson,Red Tag Clearance,273914.66,97,2823.86,613.52,4933.11
Adidas,Large Malls / Complexes,Senior Salesperson,Seasonal Surprise Box,273946.53,108,2536.54,500.11,4976.23
Adidas,Large Malls / Complexes,Senior Salesperson,Shop & Save Spectacular,241157.13,86,2804.15,567.82,4956.96
Adidas,Large Malls / Complexes,Senior Salesperson,Smart Shopper Week,222237.29,85,2614.56,548.41,4999.86
Adidas,Large Malls / Complexes,Senior Salesperson,Spring Refresh Event,273182.22,102,2678.26,508.72,4917.83
Adidas,Large Malls / Complexes,Senior Salesperson,Spring Splash Discounts,263249.30,92,2861.41,679.06,4944.52
Adidas,Large Malls / Complexes,Senior Salesperson,Summer Sizzle Promo,282204.40,101,2794.10,603.08,4984.71
Adidas,Large Malls / Complexes,Senior Salesperson,Super Savings Week,285693.48,102,2800.92,705.08,4986.46
Adidas,Large Malls / Complexes,Senior Salesperson,Ultimate Value Event,292064.61,107,2729.58,517.57,4998.24
Adidas,Large Malls / Complexes,Senior Salesperson,VIP Access Sale,253501.02,92,2755.45,631.30,4920.58
Adidas,Large Malls / Complexes,Senior Salesperson,Weekend Warrior Specials,298580.69,107,2790.47,542.70,4970.87
Adidas,Large Malls / Complexes,Senior Salesperson,Winter Clearance Carnival,253753.16,97,2616.01,526.71,4893.53
Adidas,Large Malls / Complexes,Senior Salesperson,Winter Wonders Sale,232278.99,92,2524.77,528.79,4969.49
Adidas,Small Stores / Shops,Manager,12 Days of Deals,364717.59,125,2917.74,585.70,4987.39
Adidas,Small Stores / Shops,Manager,Autumn Deals Drive,302091.71,118,2560.10,518.04,4998.38
Adidas,Small Stores / Shops,Manager,BOGO Blitz,284907.47,106,2687.81,500.64,4993.50
Adidas,Small Stores / Shops,Manager,Back to School Boost,340557.05,123,2768.76,593.48,4953.86
Adidas,Small Stores / Shops,Manager,Birthday Bash Sale,309872.47,109,2842.87,509.00,4893.86
Adidas,Small Stores / Shops,Manager,Black Friday Blowout,321978.30,119,2705.70,574.29,4926.91
Adidas,Small Stores / Shops,Manager,Cart Crasher Campaign,299049.43,110,2718.63,512.46,4894.50
Adidas,Small Stores / Shops,Manager,Cashback Carnival,291036.21,108,2694.78,595.59,4994.16
Adidas,Small Stores / Shops,Manager,Clearance Countdown,253586.18,92,2756.37,563.58,4981.95
Adidas,Small Stores / Shops,Manager,Countdown to Savings,337631.86,118,2861.29,633.76,4992.78
Adidas,Small Stores / Shops,Manager,Customer Appreciation Week,286794.73,97,2956.65,628.66,4988.63
Adidas,Small Stores / Shops,Manager,Cyber Monday Mania,267554.74,97,2758.30,527.56,4999.05
Adidas,Small Stores / Shops,Manager,Deal of the Month,295190.45,101,2922.68,545.36,4853.81
Adidas,Small Stores / Shops,Manager,Double Points Bonanza,271713.05,113,2404.54,507.68,4943.69
Adidas,Small Stores / Shops,Manager,Early Bird Specials,308785.20,113,2732.61,556.33,4995.32
Adidas,Small Stores / Shops,Manager,End of Season Sale,336929.83,122,2761.72,521.54,4893.43
Adidas,Small Stores / Shops,Manager,Exclusive Insider Offers,260784.64,91,2865.77,537.01,4941.12
Adidas,Small Stores / Shops,Manager,Festive Fever Promo,297563.97,108,2755.22,516.42,4884.78
Adidas,Small Stores / Shops,Manager,Final Call Frenzy,276541.81,102,2711.19,514.83,4986.38
Adidas,Small Stores / Shops,Manager,Flash Frenzy Friday,333091.20,122,2730.26,584.15,4937.84
Adidas,Small Stores / Shops,Manager,"Gift More, Spend Less",335033.65,120,2791.95,546.51,4988.68
Adidas,Small Stores / Shops,Manager,Golden Hour Bargains,329970.09,119,2772.86,567.72,4976.21
Adidas,Small Stores / Shops,Manager,Green Weekend Deals,340033.42,129,2635.92,522.76,4973.68
Adidas,Small Stores / Shops,Manager,Happy Hour Discounts,268920.90,101,2662.58,515.80,4862.94
Adidas,Small Stores / Shops,Manager,Holiday Shopping Rush,294815.69,107,2755.29,520.18,4931.20
Adidas,Small Stores / Shops,Manager,Hot Picks Promo,302659.98,108,2802.41,523.47,4982.12
Adidas,Small Stores / Shops,Manager,Instant Gratification Sale,290419.36,101,2875.44,547.30,4977.77
Adidas,Small Stores / Shops,Manager,Limited Time Treasures,329194.29,114,2887.67,571.04,4901.98
Adidas,Small Stores / Shops,Manager,Loyalty Rewards Blast,344415.66,124,2777.55,532.86,4909.87
Adidas,Small Stores / Shops,Manager,Mega Weekend Bonanza,374995.99,130,2884.58,537.81,4996.59
Adidas,Small Stores / Shops,Manager,Mid-Year Madness,293658.95,118,2488.64,548.03,4896.51
Adidas,Small Stores / Shops,Manager,Midnight Madness,266457.05,100,2664.57,571.70,4868.11
Adidas,Small Stores / Shops,Manager,Mystery Discount Days,243512.06,103,2364.19,500.17,4967.22
Adidas,Small Stores / Shops,Manager,New Arrival Showcase,291193.27,102,2854.84,501.06,4978.03
Adidas,Small Stores / Shops,Manager,New Product Launch Promo,347736.20,123,2827.12,541.28,4979.03
Adidas,Small Stores / Shops,Manager,New Year Kickoff,299770.01,109,2750.18,568.36,4984.10
Adidas,Small Stores / Shops,Manager,Price Drop Parade,346898.62,116,2990.51,536.82,4979.30
Adidas,Small Stores / Shops,Manager,Red Tag Clearance,336307.18,118,2850.06,534.18,4995.28
Adidas,Small Stores / Shops,Manager,Seasonal Surprise Box,252256.17,95,2655.33,565.28,4992.17
Adidas,Small Stores / Shops,Manager,Shop & Save Spectacular,348410.67,122,2855.83,536.53,4974.46
Adidas,Small Stores / Shops,Manager,Smart Shopper Week,293263.32,112,2618.42,518.72,4893.78
Adidas,Small Stores / Shops,Manager,Spring Refresh Event,282517.94,108,2615.91,534.63,4995.47
Adidas,Small Stores / Shops,Manager,Spring Splash Discounts,327994.20,115,2852.12,503.97,4995.14
Adidas,Small Stores / Shops,Manager,Summer Sizzle Promo,297840.21,112,2659.29,513.93,4975.17
Adidas,Small Stores / Shops,Manager,Super Savings Week,307469.89,110,2795.18,528.38,4959.27
Adidas,Small Stores / Shops,Manager,Ultimate Value Event,261647.69,91,2875.25,530.29,4956.51
Adidas,Small Stores / Shops,Manager,VIP Access Sale,263784.76,87,3032.01,506.38,4991.92
Adidas,Small Stores / Shops,Manager,Weekend Warrior Specials,305286.77,114,2677.95,502.44,4989.77
Adidas,Small Stores / Shops,Manager,Winter Clearance Carnival,308532.56,106,2910.68,524.08,4909.08
Adidas,Small Stores / Shops,Manager,Winter Wonders Sale,285406.24,104,2744.29,531.71,4988.65
Adidas,Small Stores / Shops,Sales Associate,12 Days of Deals,299461.94,109,2747.36,511.33,4970.14
Adidas,Small Stores / Shops,Sales Associate,Autumn Deals Drive,369229.20,130,2840.22,652.27,4965.27
Adidas,Small Stores / Shops,Sales Associate,BOGO Blitz,310264.46,111,2795.18,509.05,4988.61
Adidas,Small Stores / Shops,Sales Associate,Back to School Boost,301175.27,118,2552.33,501.04,4994.39
Adidas,Small Stores / Shops,Sales Associate,Birthday Bash Sale,316008.84,114,2772.01,500.58,4998.00
Adidas,Small Stores / Shops,Sales Associate,Black Friday Blowout,327096.19,121,2703.27,562.65,4954.24
Adidas,Small Stores / Shops,Sales Associate,Cart Crasher Campaign,266588.57,101,2639.49,541.70,4967.90
Adidas,Small Stores / Shops,Sales Associate,Cashback Carnival,334917.32,127,2637.14,532.95,4981.92
Adidas,Small Stores / Shops,Sales Associate,Clearance Countdown,331509.95,121,2739.75,605.70,4996.24
Adidas,Small Stores / Shops,Sales Associate,Countdown to Savings,316488.03,117,2705.03,531.85,4955.79
Adidas,Small Stores / Shops,Sales Associate,Customer Appreciation Week,332385.03,112,2967.72,528.34,4977.50
