brand,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Salesperson,"Gift More, Spend Less",920482.78,332,2772.54,504.14,4994.22
Adidas,Salesperson,Golden Hour Bargains,960769.55,365,2632.25,505.89,4991.51
Adidas,Salesperson,Green Weekend Deals,899871.87,318,2829.79,512.50,4956.83
Adidas,Salesperson,Happy Hour Discounts,952639.08,335,2843.70,505.03,4981.47
Adidas,Salesperson,Holiday Shopping Rush,864357.52,315,2743.99,516.60,4998.34
Adidas,Salesperson,Hot Picks Promo,1011284.85,375,2696.76,520.65,4987.14
Adidas,Salesperson,Instant Gratification Sale,895491.82,326,2746.91,500.89,4985.30
Adidas,Salesperson,Limited Time Treasures,846028.55,313,2702.97,501.46,4916.16
Adidas,Salesperson,Loyalty Rewards Blast,941202.49,339,2776.41,503.40,4993.88
Adidas,Salesperson,Mega Weekend Bonanza,938535.74,332,2826.91,508.93,4951.30
Adidas,Salesperson,Mid-Year Madness,923613.37,331,2790.37,524.32,4989.23
Adidas,Salesperson,Midnight Madness,1059761.37,386,2745.50,504.20,4986.14
Adidas,Salesperson,Mystery Discount Days,904059.54,341,2651.20,508.03,4983.78
Adidas,Salesperson,New Arrival Showcase,992961.91,349,2845.16,513.68,4995.28
Adidas,Salesperson,New Product Launch Promo,968848.46,351,2760.25,501.61,4999.95
Adidas,Salesperson,New Year Kickoff,1027765.00,370,2777.74,503.31,4957.93
Adidas,Salesperson,Price Drop Parade,837578.19,320,2617.43,506.80,4952.76
Adidas,Salesperson,Red Tag Clearance,941694.82,333,2827.91,506.04,4965.93
Adidas,Salesperson,Seasonal Surprise Box,856827.74,311,2755.07,501.08,4970.50
Adidas,Salesperson,Shop & Save Spectacular,927233.96,350,2649.24,516.93,4995.87
Adidas,Salesperson,Smart Shopper Week,960627.75,357,2690.83,507.17,4998.23
Adidas,Salesperson,Spring Refresh Event,980190.30,343,2857.70,508.56,4997.20
Adidas,Salesperson,Spring Splash Discounts,839670.38,314,2674.11,525.43,4963.37
Adidas,Salesperson,Summer Sizzle Promo,938311.94,333,2817.75,508.62,4998.80
Adidas,Salesperson,Super Savings Week,935646.05,338,2768.18,502.34,4949.70
Adidas,Salesperson,Ultimate Value Event,1024519.63,364,2814.61,521.06,4995.70
Adidas,Salesperson,VIP Access Sale,941289.61,340,2768.50,513.12,4992.01
Adidas,Salesperson,Weekend Warrior Specials,1012964.42,375,2701.24,528.63,4992.44
Adidas,Salesperson,Winter Clearance Carnival,1024103.58,361,2836.85,517.38,4993.51
Adidas,Salesperson,Winter Wonders Sale,954276.43,345,2766.02,512.88,4993.56
Adidas,Senior Salesperson,12 Days of Deals,888691.66,339,2621.51,501.08,4984.11
Adidas,Senior Salesperson,Autumn Deals Drive,852177.56,302,2821.78,511.09,4995.60
Adidas,Senior Salesperson,BOGO Blitz,837334.89,305,2745.36,509.59,4973.52
Adidas,Senior Salesperson,Back to School Boost,964968.87,344,2805.14,518.87,4999.86
Adidas,Senior Salesperson,Birthday Bash Sale,796374.80,292,2727.31,518.24,4974.29
Adidas,Senior Salesperson,Black Friday Blowout,911305.70,332,2744.90,557.08,4990.51
Adidas,Senior Salesperson,Cart Crasher Campaign,885803.98,306,2894.78,520.56,4983.68
Adidas,Senior Salesperson,Cashback Carnival,773925.22,289,2677.94,502.29,4992.80
Adidas,Senior Salesperson,Clearance Countdown,721688.17,275,2624.32,543.14,4993.56
Adidas,Senior Salesperson,Countdown to Savings,801340.48,289,2772.80,510.44,4950.52
Adidas,Senior Salesperson,Customer Appreciation Week,887081.54,316,2807.22,503.78,4994.47
Adidas,Senior Salesperson,Cyber Monday Mania,792307.64,292,2713.38,508.76,4996.37
Adidas,Senior Salesperson,Deal of the Month,785517.07,291,2699.37,511.14,4989.69
Adidas,Senior Salesperson,Double Points Bonanza,863551.08,305,2831.32,502.14,4984.67
Adidas,Senior Salesperson,Early Bird Specials,836444.04,299,2797.47,505.26,4994.73
Adidas,Senior Salesperson,End of Season Sale,878013.38,319,2752.39,507.77,4990.21
Adidas,Senior Salesperson,Exclusive Insider Offers,771471.40,276,2795.19,507.80,4984.33
Adidas,Senior Salesperson,Festive Fever Promo,886510.53,303,2925.78,522.18,4988.63
Adidas,Senior Salesperson,Final Call Frenzy,850526.85,306,2779.50,514.15,4985.81
Adidas,Senior Salesperson,Flash Frenzy Friday,748153.24,293,2553.42,503.51,4995.53
Adidas,Senior Salesperson,"Gift More, Spend Less",761608.61,274,2779.59,519.95,4986.03
Adidas,Senior Salesperson,Golden Hour Bargains,769772.43,282,2729.69,523.61,4987.94
Adidas,Senior Salesperson,Green Weekend Deals,762426.75,284,2684.60,501.10,4990.27
Adidas,Senior Salesperson,Happy Hour Discounts,888149.26,312,2846.63,502.86,4994.51
Adidas,Senior Salesperson,Holiday Shopping Rush,838750.48,318,2637.58,545.23,4973.96
Adidas,Senior Salesperson,Hot Picks Promo,824104.06,290,2841.74,507.34,4989.96
Adidas,Senior Salesperson,Instant Gratification Sale,878220.55,304,2888.88,522.75,4994.90
Adidas,Senior Salesperson,Limited Time Treasures,842674.79,302,2790.31,509.09,4987.77
Adidas,Senior Salesperson,Loyalty Rewards Blast,915679.98,329,2783.22,502.35,4979.35
Adidas,Senior Salesperson,Mega Weekend Bonanza,891542.64,321,2777.39,515.58,4981.52
Adidas,Senior Salesperson,Mid-Year Madness,808393.10,307,2633.20,502.00,4975.75
Adidas,Senior Salesperson,Midnight Madness,726660.64,262,2773.51,500.23,4994.43
Adidas,Senior Salesperson,Mystery Discount Days,805339.32,291,2767.49,507.22,4974.81
Adidas,Senior Salesperson,New Arrival Showcase,889256.06,312,2850.18,518.13,4996.95
Adidas,Senior Salesperson,New Product Launch Promo,693793.60,261,2658.21,500.73,4984.64
Adidas,Senior Salesperson,New Year Kickoff,697134.13,265,2630.69,507.74,4906.61
Adidas,Senior Salesperson,Price Drop Parade,746930.41,276,2706.27,503.07,4992.13
Adidas,Senior Salesperson,Red Tag Clearance,949821.07,338,2810.12,518.26,4963.71
Adidas,Senior Salesperson,Seasonal Surprise Box,832717.74,324,2570.12,500.11,4976.23
Adidas,Senior Salesperson,Shop & Save Spectacular,802527.00,291,2757.82,503.19,4992.80
Adidas,Senior Salesperson,Smart Shopper Week,853105.34,312,2734.31,507.97,4999.86
Adidas,Senior Salesperson,Spring Refresh Event,840767.71,322,2611.08,506.81,4979.80
Adidas,Senior Salesperson,Spring Splash Discounts,882820.04,324,2724.75,500.46,4996.95
Adidas,Senior Salesperson,Summer Sizzle Promo,837646.49,316,2650.78,501.65,4984.71
Adidas,Senior Salesperson,Super Savings Week,851001.76,309,2754.05,511.09,4986.46
Adidas,Senior Salesperson,Ultimate Value Event,847515.59,320,2648.49,502.50,4998.24
Adidas,Senior Salesperson,VIP Access Sale,825887.00,300,2752.96,560.93,4974.51
Adidas,Senior Salesperson,Weekend Warrior Specials,860002.09,315,2730.17,501.48,4971.28
Adidas,Senior Salesperson,Winter Clearance Carnival,859019.29,311,2762.12,526.27,4984.27
Adidas,Senior Salesperson,Winter Wonders Sale,719509.40,278,2588.16,520.80,4995.17
Amul,Manager,12 Days of Deals,416637.25,153,2723.12,509.79,4979.03
Amul,Manager,Autumn Deals Drive,412219.14,158,2608.98,515.60,4945.68
Amul,Manager,BOGO Blitz,484563.37,173,2800.94,540.75,4976.91
Amul,Manager,Back to School Boost,440673.54,166,2654.66,510.22,4903.52
Amul,Manager,Birthday Bash Sale,410276.18,157,2613.22,504.89,4991.73
Amul,Manager,Black Friday Blowout,400926.49,160,2505.79,573.19,4866.15
Amul,Manager,Cart Crasher Campaign,434359.47,153,2838.95,511.33,4979.93
Amul,Manager,Cashback Carnival,481329.49,170,2831.35,504.64,4990.08
Amul,Manager,Clearance Countdown,406042.49,152,2671.33,512.75,4988.53
Amul,Manager,Countdown to Savings,504849.85,176,2868.47,613.95,4996.12
Amul,Manager,Customer Appreciation Week,467572.18,169,2766.70,523.23,4961.65
Amul,Manager,Cyber Monday Mania,458495.61,176,2605.09,524.94,4964.74
Amul,Manager,Deal of the Month,384495.97,151,2546.33,531.31,4993.79
Amul,Manager,Double Points Bonanza,454691.01,162,2806.73,535.24,4978.48
Amul,Manager,Early Bird Specials,484048.18,173,2797.97,506.59,4998.19
Amul,Manager,End of Season Sale,400293.85,152,2633.51,523.20,4992.97
Amul,Manager,Exclusive Insider Offers,391395.81,146,2680.79,551.99,4955.25
Amul,Manager,Festive Fever Promo,405165.40,153,2648.14,502.30,4958.72
Amul,Manager,Final Call Frenzy,484437.54,182,2661.74,530.48,4981.71
Amul,Manager,Flash Frenzy Friday,449091.21,159,2824.47,505.72,4965.48
Amul,Manager,"Gift More, Spend Less",486255.37,188,2586.46,513.65,4948.57
Amul,Manager,Golden Hour Bargains,410864.44,159,2584.05,547.43,4987.95
Amul,Manager,Green Weekend Deals,518380.68,173,2996.42,523.59,4990.34
Amul,Manager,Happy Hour Discounts,542580.76,188,2886.07,515.77,4994.07
Amul,Manager,Holiday Shopping Rush,504303.53,180,2801.69,519.79,4940.74
Amul,Manager,Hot Picks Promo,476077.44,171,2784.08,594.17,4970.14
Amul,Manager,Instant Gratification Sale,453789.58,174,2607.99,538.21,4994.91
Amul,Manager,Limited Time Treasures,487787.45,162,3011.03,538.99,4950.48
Amul,Manager,Loyalty Rewards Blast,498645.70,181,2754.95,542.92,4983.94
Amul,Manager,Mega Weekend Bonanza,504150.47,181,2785.36,536.58,4937.05
Amul,Manager,Mid-Year Madness,457597.44,166,2756.61,517.69,4935.73
Amul,Manager,Midnight Madness,457441.43,169,2706.75,514.61,4925.03
Amul,Manager,Mystery Discount Days,489066.83,175,2794.67,501.42,4987.59
Amul,Manager,New Arrival Showcase,462996.40,165,2806.04,514.01,4991.21
Amul,Manager,New Product Launch Promo,436014.29,163,2674.93,515.13,4998.84
Amul,Manager,New Year Kickoff,456279.98,168,2715.95,515.94,4995.56
Amul,Manager,Price Drop Parade,441305.92,162,2724.11,501.52,4961.06
Amul,Manager,Red Tag Clearance,456847.44,175,2610.56,538.57,4977.83
Amul,Manager,Seasonal Surprise Box,419524.94,147,2853.91,608.98,4989.05
Amul,Manager,Shop & Save Spectacular,446081.39,169,2639.53,571.28,4965.46
Amul,Manager,Smart Shopper Week,487239.66,174,2800.23,539.28,4993.24
Amul,Manager,Spring Refresh Event,489839.98,171,2864.56,557.26,4926.83
Amul,Manager,Spring Splash Discounts,492295.67,181,2719.87,531.39,4952.07
Amul,Manager,Summer Sizzle Promo,477538.51,177,2697.96,503.45,4958.77
Amul,Manager,Super Savings Week,460415.45,167,2756.98,505.59,4998.98
Amul,Manager,Ultimate Value Event,474766.55,163,2912.68,500.47,4976.08
Amul,Manager,VIP Access Sale,482310.32,180,2679.50,506.56,4972.70
Amul,Manager,Weekend Warrior Specials,422619.53,160,2641.37,514.24,4983.71
Amul,Manager,Winter Clearance Carnival,423191.40,155,2730.27,504.18,4959.55
Amul,Manager,Winter Wonders Sale,466955.91,177,2638.17,530.70,4970.36
Amul,Sales Associate,12 Days of Deals,517657.72,186,2783.11,512.19,4998.04
Amul,Sales Associate,Autumn Deals Drive,551054.10,194,2840.49,528.74,4988.50
Amul,Sales Associate,BOGO Blitz,442501.69,160,2765.64,508.02,4914.64
Amul,Sales Associate,Back to School Boost,464019.52,176,2636.47,626.08,4971.31
Amul,Sales Associate,Birthday Bash Sale,444017.86,159,2792.57,508.14,4929.63
Amul,Sales Associate,Black Friday Blowout,483087.71,179,2698.81,528.01,4976.63
Amul,Sales Associate,Cart Crasher Campaign,525265.94,185,2839.28,503.17,4973.11
Amul,Sales Associate,Cashback Carnival,492595.70,180,2736.64,507.41,4981.24
Amul,Sales Associate,Clearance Countdown,601903.16,210,2866.21,521.65,4996.54
Amul,Sales Associate,Countdown to Savings,478800.85,165,2901.82,525.99,4972.19
Amul,Sales Associate,Customer Appreciation Week,463155.63,166,2790.09,536.15,4950.72
Amul,Sales Associate,Cyber Monday Mania,510162.88,192,2657.10,504.57,4984.13
Amul,Sales Associate,Deal of the Month,456145.36,166,2747.86,507.49,4951.40
Amul,Sales Associate,Double Points Bonanza,443668.63,163,2721.89,501.88,4971.99
Amul,Sales Associate,Early Bird Specials,464557.08,178,2609.87,526.82,4975.80
Amul,Sales Associate,End of Season Sale,456399.42,158,2888.60,533.82,4996.71
Amul,Sales Associate,Exclusive Insider Offers,459818.33,167,2753.40,524.48,4995.02
Amul,Sales Associate,Festive Fever Promo,451929.00,164,2755.66,586.22,4975.21
Amul,Sales Associate,Final Call Frenzy,465124.68,171,2720.03,536.95,4957.28
Amul,Sales Associate,Flash Frenzy Friday,483263.17,170,2842.72,501.88,4990.59
Amul,Sales Associate,"Gift More, Spend Less",510842.30,187,2731.78,509.81,4994.74
Amul,Sales Associate,Golden Hour Bargains,504026.56,178,2831.61,518.50,4982.52
Amul,Sales Associate,Green Weekend Deals,433099.52,164,2640.85,500.74,4990.44
Amul,Sales Associate,Happy Hour Discounts,424787.42,164,2590.17,532.80,4957.25
Amul,Sales Associate,Holiday Shopping Rush,545366.58,199,2740.54,562.81,4993.00
Amul,Sales Associate,Hot Picks Promo,452648.41,180,2514.71,538.05,4950.51
Amul,Sales Associate,Instant Gratification Sale,490178.34,183,2678.57,501.41,4990.30
Amul,Sales Associate,Limited Time Treasures,453716.82,168,2700.70,544.66,4922.52
Amul,Sales Associate,Loyalty Rewards Blast,442279.32,175,2527.31,504.51,4995.73
Amul,Sales Associate,Mega Weekend Bonanza,455857.29,160,2849.11,522.84,4955.85
Amul,Sales Associate,Mid-Year Madness,457604.30,167,2740.15,503.67,4970.79
Amul,Sales Associate,Midnight Madness,451880.07,168,2689.76,505.68,4978.67
Amul,Sales Associate,Mystery Discount Days,525604.97,189,2780.98,528.84,4991.87
Amul,Sales Associate,New Arrival Showcase,535796.55,197,2719.78,505.84,4997.29
Amul,Sales Associate,New Product Launch Promo,495467.50,175,2831.24,660.68,4921.89
Amul,Sales Associate,New Year Kickoff,447771.44,170,2633.95,520.12,4964.10
Amul,Sales Associate,Price Drop Parade,416820.34,162,2572.97,508.09,4979.50
Amul,Sales Associate,Red Tag Clearance,537566.53,191,2814.48,555.52,4932.61
Amul,Sales Associate,Seasonal Surprise Box,449074.32,168,2673.06,529.72,4980.43
Amul,Sales Associate,Shop & Save Spectacular,545202.49,194,2810.32,515.39,4991.95
Amul,Sales Associate,Smart Shopper Week,501841.63,176,2851.37,535.26,4972.33
Amul,Sales Associate,Spring Refresh Event,472861.77,164,2883.30,517.80,4974.41
Amul,Sales Associate,Spring Splash Discounts,457730.17,163,2808.16,561.76,4986.07
Amul,Sales Associate,Summer Sizzle Promo,427188.61,160,2669.93,506.96,4983.08
Amul,Sales Associate,Super Savings Week,479297.50,162,2958.63,515.67,4998.75
Amul,Sales Associate,Ultimate Value Event,504545.32,176,2866.73,550.15,4993.94
Amul,Sales Associate,VIP Access Sale,499194.25,186,2683.84,503.17,4981.87
Amul,Sales Associate,Weekend Warrior Specials,483175.71,182,2654.81,528.50,4994.22
Amul,Sales Associate,Winter Clearance Carnival,547750.93,196,2794.65,520.29,4989.51
Amul,Sales Associate,Winter Wonders Sale,465576.10,171,2722.67,538.51,4954.73
Amul,Salesperson,12 Days of Deals,609950.39,214,2850.24,509.59,4998.30
Amul,Salesperson,Autumn Deals Drive,435580.50,151,2884.64,502.75,4997.96
Amul,Salesperson,BOGO Blitz,461268.55,164,2812.61,509.11,4961.20
Amul,Salesperson,Back to School Boost,438487.96,163,2690.11,515.54,4998.07
Amul,Salesperson,Birthday Bash Sale,488025.50,172,2837.36,557.52,4962.77
Amul,Salesperson,Black Friday Blowout,412116.29,153,2693.57,533.67,4987.21
Amul,Salesperson,Cart Crasher Campaign,439469.60,164,2679.69,506.65,4980.36
Amul,Salesperson,Cashback Carnival,475360.52,182,2611.87,554.79,4959.52
Amul,Salesperson,Clearance Countdown,538996.05,196,2749.98,527.22,4986.78
Amul,Salesperson,Countdown to Savings,481369.14,170,2831.58,541.49,4938.26
Amul,Salesperson,Customer Appreciation Week,425580.29,160,2659.88,501.25,4968.10
Amul,Salesperson,Cyber Monday Mania,452321.65,164,2758.06,539.69,4996.97
Amul,Salesperson,Deal of the Month,432461.02,158,2737.10,521.26,4987.90
Amul,Salesperson,Double Points Bonanza,540718.08,196,2758.77,528.86,4996.36
Amul,Salesperson,Early Bird Specials,373544.18,143,2612.20,506.38,4977.90
Amul,Salesperson,End of Season Sale,500668.31,183,2735.89,504.05,4985.03
Amul,Salesperson,Exclusive Insider Offers,458097.16,170,2694.69,536.96,4989.15
Amul,Salesperson,Festive Fever Promo,454978.03,174,2614.82,520.21,4971.41
Amul,Salesperson,Final Call Frenzy,442478.97,172,2572.55,509.79,4982.31
Amul,Salesperson,Flash Frenzy Friday,531721.49,187,2843.43,516.77,4980.53
Amul,Salesperson,"Gift More, Spend Less",506778.13,186,2724.61,504.23,4957.59
Amul,Salesperson,Golden Hour Bargains,411666.30,163,2525.56,523.29,4972.31
Amul,Salesperson,Green Weekend Deals,442160.17,165,2679.76,500.26,4985.16
Amul,Salesperson,Happy Hour Discounts,533431.75,209,2552.31,523.44,4987.29
Amul,Salesperson,Holiday Shopping Rush,437149.10,160,2732.18,504.65,4971.82
Amul,Salesperson,Hot Picks Promo,407262.63,149,2733.31,547.81,4909.20
Amul,Salesperson,Instant Gratification Sale,458159.10,173,2648.32,510.79,4953.85
Amul,Salesperson,Limited Time Treasures,459347.31,165,2783.92,533.33,4986.97
Amul,Salesperson,Loyalty Rewards Blast,543887.31,190,2862.56,555.45,4990.95
Amul,Salesperson,Mega Weekend Bonanza,467440.25,161,2903.36,510.23,4968.25
