category,customer_segment,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,High Value,Large Malls / Complexes,Salesperson,3708236.43,1342,2763.22,501.00,4998.75
Clothing,High Value,Large Malls / Complexes,Senior Salesperson,3156471.17,1164,2711.74,504.71,4999.71
Clothing,High Value,Small Stores / Shops,Manager,3748944.20,1365,2746.48,500.17,4996.59
Clothing,High Value,Small Stores / Shops,Sales Associate,4007775.93,1465,2735.68,501.04,4999.95
Clothing,High Value,Small Stores / Shops,Salesperson,4053032.40,1438,2818.52,502.17,4999.73
Clothing,High Value,Small Stores / Shops,Senior Salesperson,3470954.87,1264,2746.01,502.52,4992.67
Clothing,High Value,Supermarkets ,Manager,4084107.69,1520,2686.91,500.53,4999.38
Clothing,High Value,Supermarkets ,Sales Associate,4181776.98,1524,2743.95,500.77,4994.34
Clothing,High Value,Supermarkets ,Salesperson,3929566.09,1451,2708.18,506.40,4998.80
Clothing,High Value,Supermarkets ,Senior Salesperson,3524753.71,1284,2745.14,500.45,4997.27
Clothing,In-Store Regular,Large Malls / Complexes,Manager,3515103.58,1286,2733.36,502.05,4996.58
Clothing,In-Store Regular,Large Malls / Complexes,Sales Associate,3770024.05,1358,2776.16,500.60,4999.76
Clothing,In-Store Regular,Large Malls / Complexes,Salesperson,3559178.52,1295,2748.40,502.29,4999.80
Clothing,In-Store Regular,Large Malls / Complexes,Senior Salesperson,3053921.35,1122,2721.86,501.08,4995.16
Clothing,In-Store Regular,Small Stores / Shops,Manager,3807305.35,1387,2744.99,500.64,4999.21
Clothing,In-Store Regular,Small Stores / Shops,Sales Associate,4045794.56,1468,2755.99,504.16,4999.49
Clothing,In-Store Regular,Small Stores / Shops,Salesperson,3966712.00,1453,2730.02,504.23,4986.87
Clothing,In-Store Regular,Small Stores / Shops,Senior Salesperson,3575711.27,1297,2756.91,500.74,4998.73
Clothing,In-Store Regular,Supermarkets ,Manager,3907627.11,1404,2783.21,501.02,4998.51
Clothing,In-Store Regular,Supermarkets ,Sales Associate,4251504.12,1543,2755.35,502.32,4992.45
Clothing,In-Store Regular,Supermarkets ,Salesperson,3841945.49,1430,2686.68,501.80,4999.33
Clothing,In-Store Regular,Supermarkets ,Senior Salesperson,3666651.58,1315,2788.33,503.23,4998.89
Clothing,Loyal Customer,Large Malls / Complexes,Manager,3610799.64,1316,2743.77,502.97,4997.89
Clothing,Loyal Customer,Large Malls / Complexes,Sales Associate,3691464.02,1342,2750.72,500.18,4998.71
Clothing,Loyal Customer,Large Malls / Complexes,Salesperson,3833790.30,1382,2774.09,508.62,4999.97
Clothing,Loyal Customer,Large Malls / Complexes,Senior Salesperson,3546664.48,1282,2766.51,501.58,4996.42
Clothing,Loyal Customer,Small Stores / Shops,Manager,3699559.97,1342,2756.75,516.12,4996.20
Clothing,Loyal Customer,Small Stores / Shops,Sales Associate,3975733.86,1451,2740.00,500.58,4997.63
Clothing,Loyal Customer,Small Stores / Shops,Salesperson,4122890.89,1499,2750.43,500.50,4998.67
Clothing,Loyal Customer,Small Stores / Shops,Senior Salesperson,3526503.22,1284,2746.50,503.78,4999.68
Clothing,Loyal Customer,Supermarkets ,Manager,3971102.93,1440,2757.71,503.15,4997.42
Clothing,Loyal Customer,Supermarkets ,Sales Associate,4491334.07,1619,2774.14,504.07,4999.85
Clothing,Loyal Customer,Supermarkets ,Salesperson,4104635.07,1530,2682.77,501.94,4998.23
Clothing,Loyal Customer,Supermarkets ,Senior Salesperson,3344155.78,1211,2761.48,504.72,4992.80
Clothing,Occasional Shopper,Large Malls / Complexes,Manager,3474662.60,1300,2672.82,501.20,4985.44
Clothing,Occasional Shopper,Large Malls / Complexes,Sales Associate,3945187.09,1430,2758.87,501.94,4992.01
Clothing,Occasional Shopper,Large Malls / Complexes,Salesperson,3824746.77,1381,2769.55,502.01,4999.19
Clothing,Occasional Shopper,Large Malls / Complexes,Senior Salesperson,3216461.11,1180,2725.81,502.00,4997.93
Clothing,Occasional Shopper,Small Stores / Shops,Manager,3996068.34,1433,2788.60,511.31,4995.28
Clothing,Occasional Shopper,Small Stores / Shops,Sales Associate,4230463.34,1515,2792.39,501.25,4998.86
Clothing,Occasional Shopper,Small Stores / Shops,Salesperson,4102149.67,1489,2754.97,502.13,4997.50
Clothing,Occasional Shopper,Small Stores / Shops,Senior Salesperson,3321957.03,1188,2796.26,500.65,4999.06
Clothing,Occasional Shopper,Supermarkets ,Manager,3928852.91,1431,2745.53,501.26,4999.75
Clothing,Occasional Shopper,Supermarkets ,Sales Associate,4260925.73,1553,2743.67,502.82,4993.90
Clothing,Occasional Shopper,Supermarkets ,Salesperson,4145030.06,1485,2791.27,501.52,4996.26
Clothing,Occasional Shopper,Supermarkets ,Senior Salesperson,3713060.59,1364,2722.19,501.28,4997.44
Clothing,Online Shopper,Large Malls / Complexes,Manager,3515671.08,1284,2738.06,503.90,4985.02
Clothing,Online Shopper,Large Malls / Complexes,Sales Associate,4036391.66,1427,2828.59,506.00,4999.45
Clothing,Online Shopper,Large Malls / Complexes,Salesperson,3683923.00,1343,2743.06,500.66,4996.67
Clothing,Online Shopper,Large Malls / Complexes,Senior Salesperson,3355864.62,1215,2762.03,500.11,4999.60
Clothing,Online Shopper,Small Stores / Shops,Manager,3892262.46,1409,2762.43,501.14,4993.54
Clothing,Online Shopper,Small Stores / Shops,Sales Associate,3989903.82,1442,2766.92,501.81,4999.41
Clothing,Online Shopper,Small Stores / Shops,Salesperson,4099965.24,1469,2790.99,504.12,4993.01
Clothing,Online Shopper,Small Stores / Shops,Senior Salesperson,3521344.04,1269,2774.90,503.50,4998.41
Clothing,Online Shopper,Supermarkets ,Manager,4088168.53,1493,2738.22,501.71,4996.33
Clothing,Online Shopper,Supermarkets ,Sales Associate,4137244.52,1514,2732.66,500.12,4992.25
Clothing,Online Shopper,Supermarkets ,Salesperson,4038288.91,1461,2764.06,500.43,4995.81
Clothing,Online Shopper,Supermarkets ,Senior Salesperson,3640806.84,1314,2770.78,503.75,4998.52
Clothing,Premium Shopper,Large Malls / Complexes,Manager,3566371.44,1318,2705.90,503.34,4976.40
Clothing,Premium Shopper,Large Malls / Complexes,Sales Associate,3617347.46,1338,2703.55,500.72,4999.76
Clothing,Premium Shopper,Large Malls / Complexes,Salesperson,3745453.78,1406,2663.91,507.09,4999.44
Clothing,Premium Shopper,Large Malls / Complexes,Senior Salesperson,2993589.24,1092,2741.38,502.29,4993.60
Clothing,Premium Shopper,Small Stores / Shops,Manager,3839148.04,1371,2800.25,500.17,4997.57
Clothing,Premium Shopper,Small Stores / Shops,Sales Associate,3948271.19,1410,2800.19,506.24,4997.07
Clothing,Premium Shopper,Small Stores / Shops,Salesperson,3925626.81,1416,2772.34,505.48,4998.56
Clothing,Premium Shopper,Small Stores / Shops,Senior Salesperson,3395841.84,1238,2743.01,500.07,4996.42
Clothing,Premium Shopper,Supermarkets ,Manager,3998331.62,1431,2794.08,502.77,4996.89
Clothing,Premium Shopper,Supermarkets ,Sales Associate,4105065.10,1489,2756.93,508.91,4997.08
Clothing,Premium Shopper,Supermarkets ,Salesperson,4029284.54,1463,2754.12,506.18,4998.60
Clothing,Premium Shopper,Supermarkets ,Senior Salesperson,3580958.49,1298,2758.83,503.54,4991.40
Electronics,Budget Shopper,Large Malls / Complexes,Manager,3602862.10,1290,2792.92,500.55,4998.61
Electronics,Budget Shopper,Large Malls / Complexes,Sales Associate,3900706.54,1424,2739.26,502.69,4989.61
Electronics,Budget Shopper,Large Malls / Complexes,Salesperson,3689816.10,1328,2778.48,500.80,4999.40
Electronics,Budget Shopper,Large Malls / Complexes,Senior Salesperson,3231328.96,1168,2766.55,501.48,4998.35
Electronics,Budget Shopper,Small Stores / Shops,Manager,3884902.04,1385,2804.98,501.68,4996.39
Electronics,Budget Shopper,Small Stores / Shops,Sales Associate,3980469.48,1419,2805.12,502.24,4997.47
Electronics,Budget Shopper,Small Stores / Shops,Salesperson,4070253.60,1468,2772.65,504.62,4997.06
Electronics,Budget Shopper,Small Stores / Shops,Senior Salesperson,3389927.53,1228,2760.53,500.59,4999.28
Electronics,Budget Shopper,Supermarkets ,Manager,3886268.93,1421,2734.88,505.10,4992.13
Electronics,Budget Shopper,Supermarkets ,Sales Associate,4052837.13,1486,2727.35,510.10,4998.92
Electronics,Budget Shopper,Supermarkets ,Salesperson,4086502.11,1481,2759.29,501.31,4998.12
Electronics,Budget Shopper,Supermarkets ,Senior Salesperson,3637094.90,1299,2799.92,506.77,4994.95
Electronics,Churn Risk,Large Malls / Complexes,Manager,3585247.85,1323,2709.94,502.94,4997.94
Electronics,Churn Risk,Large Malls / Complexes,Sales Associate,3939292.69,1430,2754.75,500.60,4995.01
Electronics,Churn Risk,Large Malls / Complexes,Salesperson,3699321.95,1339,2762.75,504.33,4993.31
Electronics,Churn Risk,Large Malls / Complexes,Senior Salesperson,3154487.39,1146,2752.61,505.30,4989.63
Electronics,Churn Risk,Small Stores / Shops,Manager,3783875.71,1377,2747.91,501.05,4995.57
Electronics,Churn Risk,Small Stores / Shops,Sales Associate,4110414.96,1485,2767.96,509.01,4996.82
Electronics,Churn Risk,Small Stores / Shops,Salesperson,4085007.06,1506,2712.49,500.20,4998.99
Electronics,Churn Risk,Small Stores / Shops,Senior Salesperson,3335558.70,1247,2674.87,501.34,4999.69
Electronics,Churn Risk,Supermarkets ,Manager,4005025.77,1440,2781.27,500.17,4995.63
Electronics,Churn Risk,Supermarkets ,Sales Associate,4301787.27,1559,2759.32,500.48,4991.11
Electronics,Churn Risk,Supermarkets ,Salesperson,4218118.18,1532,2753.34,506.95,4999.64
Electronics,Churn Risk,Supermarkets ,Senior Salesperson,3706781.89,1354,2737.65,502.31,4994.23
Electronics,Deal Seeker,Large Malls / Complexes,Manager,3724979.94,1336,2788.16,501.76,4990.29
Electronics,Deal Seeker,Large Malls / Complexes,Sales Associate,3621102.48,1311,2762.09,502.34,4999.77
Electronics,Deal Seeker,Large Malls / Complexes,Salesperson,3696175.50,1360,2717.78,503.52,4994.86
Electronics,Deal Seeker,Large Malls / Complexes,Senior Salesperson,3352524.67,1230,2725.63,500.80,4997.31
Electronics,Deal Seeker,Small Stores / Shops,Manager,3875850.13,1394,2780.38,508.52,4998.39
Electronics,Deal Seeker,Small Stores / Shops,Sales Associate,4155812.17,1510,2752.19,501.85,4999.82
Electronics,Deal Seeker,Small Stores / Shops,Salesperson,4196402.17,1509,2780.92,500.49,4997.50
Electronics,Deal Seeker,Small Stores / Shops,Senior Salesperson,3503819.04,1275,2748.09,500.14,4998.59
Electronics,Deal Seeker,Supermarkets ,Manager,3965197.74,1429,2774.81,504.17,4999.75
Electronics,Deal Seeker,Supermarkets ,Sales Associate,4224323.06,1588,2660.15,505.19,4999.95
Electronics,Deal Seeker,Supermarkets ,Salesperson,4212732.86,1543,2730.22,505.23,4998.59
Electronics,Deal Seeker,Supermarkets ,Senior Salesperson,3477677.75,1276,2725.45,503.53,4998.40
Electronics,First-time Buyer,Large Malls / Complexes,Manager,3702460.83,1331,2781.71,503.56,4999.78
Electronics,First-time Buyer,Large Malls / Complexes,Sales Associate,3900206.63,1422,2742.76,502.39,4995.33
Electronics,First-time Buyer,Large Malls / Complexes,Salesperson,3854739.79,1395,2763.25,501.91,4999.10
Electronics,First-time Buyer,Large Malls / Complexes,Senior Salesperson,3308599.12,1203,2750.29,504.47,4999.02
Electronics,First-time Buyer,Small Stores / Shops,Manager,3745483.17,1374,2725.97,501.40,4996.99
Electronics,First-time Buyer,Small Stores / Shops,Sales Associate,4058812.85,1495,2714.92,500.72,4997.68
Electronics,First-time Buyer,Small Stores / Shops,Salesperson,3858092.14,1439,2681.09,505.11,4999.20
Electronics,First-time Buyer,Small Stores / Shops,Senior Salesperson,3454669.38,1238,2790.52,514.01,4991.72
Electronics,First-time Buyer,Supermarkets ,Manager,4067554.46,1444,2816.87,500.13,4999.11
Electronics,First-time Buyer,Supermarkets ,Sales Associate,3995091.11,1457,2742.00,500.19,4999.90
Electronics,First-time Buyer,Supermarkets ,Salesperson,4252564.44,1521,2795.90,506.54,4999.96
Electronics,First-time Buyer,Supermarkets ,Senior Salesperson,3496914.95,1273,2746.99,510.09,4993.22
Electronics,High Value,Large Malls / Complexes,Manager,3425033.88,1236,2771.06,500.64,4995.39
Electronics,High Value,Large Malls / Complexes,Sales Associate,3836654.27,1393,2754.24,500.70,4998.49
Electronics,High Value,Large Malls / Complexes,Salesperson,3786865.38,1371,2762.12,502.05,4998.62
Electronics,High Value,Large Malls / Complexes,Senior Salesperson,3335413.07,1207,2763.39,504.44,4999.45
Electronics,High Value,Small Stores / Shops,Manager,4008848.99,1451,2762.82,501.39,4992.17
Electronics,High Value,Small Stores / Shops,Sales Associate,4048367.65,1488,2720.68,502.18,4993.18
Electronics,High Value,Small Stores / Shops,Salesperson,4072718.08,1451,2806.84,504.17,4996.64
Electronics,High Value,Small Stores / Shops,Senior Salesperson,3642347.11,1319,2761.45,501.00,4998.48
Electronics,High Value,Supermarkets ,Manager,3878110.42,1432,2708.18,506.12,4996.53
Electronics,High Value,Supermarkets ,Sales Associate,4052921.77,1481,2736.61,504.69,4999.96
Electronics,High Value,Supermarkets ,Salesperson,3938653.64,1464,2690.34,505.63,4999.52
Electronics,High Value,Supermarkets ,Senior Salesperson,3580975.43,1303,2748.25,501.98,4998.89
Electronics,In-Store Regular,Large Malls / Complexes,Manager,3623424.54,1323,2738.79,501.20,4998.89
Electronics,In-Store Regular,Large Malls / Complexes,Sales Associate,3765268.35,1362,2764.51,504.09,4995.07
Electronics,In-Store Regular,Large Malls / Complexes,Salesperson,3720448.20,1365,2725.60,500.25,4998.63
Electronics,In-Store Regular,Large Malls / Complexes,Senior Salesperson,3358948.29,1230,2730.85,502.83,4999.96
Electronics,In-Store Regular,Small Stores / Shops,Manager,3742977.00,1365,2742.11,508.37,4998.70
Electronics,In-Store Regular,Small Stores / Shops,Sales Associate,4067248.24,1491,2727.87,501.01,4998.63
Electronics,In-Store Regular,Small Stores / Shops,Salesperson,4102205.14,1467,2796.32,500.80,4994.43
Electronics,In-Store Regular,Small Stores / Shops,Senior Salesperson,3560589.14,1313,2711.80,503.76,4999.96
Electronics,In-Store Regular,Supermarkets ,Manager,3682434.66,1355,2717.66,500.05,4991.97
Electronics,In-Store Regular,Supermarkets ,Sales Associate,4303855.58,1566,2748.31,503.16,4999.60
Electronics,In-Store Regular,Supermarkets ,Salesperson,4120214.74,1500,2746.81,507.31,4998.29
Electronics,In-Store Regular,Supermarkets ,Senior Salesperson,3776016.35,1358,2780.57,500.69,4999.09
Electronics,Loyal Customer,Large Malls / Complexes,Manager,3690905.64,1341,2752.35,503.19,4986.37
Electronics,Loyal Customer,Large Malls / Complexes,Sales Associate,3823439.82,1370,2790.83,508.73,4995.09
Electronics,Loyal Customer,Large Malls / Complexes,Salesperson,3651233.06,1338,2728.87,502.74,4999.83
Electronics,Loyal Customer,Large Malls / Complexes,Senior Salesperson,3274118.76,1201,2726.16,502.33,4997.33
Electronics,Loyal Customer,Small Stores / Shops,Manager,3996724.35,1471,2717.01,500.08,4999.80
Electronics,Loyal Customer,Small Stores / Shops,Sales Associate,4075687.92,1491,2733.53,504.23,4998.12
Electronics,Loyal Customer,Small Stores / Shops,Salesperson,3963386.65,1448,2737.15,502.12,4992.86
Electronics,Loyal Customer,Small Stores / Shops,Senior Salesperson,3299934.19,1184,2787.11,508.20,4997.09
Electronics,Loyal Customer,Supermarkets ,Manager,4077786.24,1480,2755.26,500.20,4999.15
Electronics,Loyal Customer,Supermarkets ,Sales Associate,4114418.78,1505,2733.83,501.94,4991.67
Electronics,Loyal Customer,Supermarkets ,Salesperson,4295151.53,1527,2812.80,504.46,4996.09
Electronics,Loyal Customer,Supermarkets ,Senior Salesperson,3408664.99,1238,2753.36,503.05,4995.40
Electronics,Occasional Shopper,Large Malls / Complexes,Manager,3640673.54,1330,2737.35,505.65,4998.42
Electronics,Occasional Shopper,Large Malls / Complexes,Sales Associate,3992979.85,1463,2729.31,501.55,4998.19
Electronics,Occasional Shopper,Large Malls / Complexes,Salesperson,3871457.94,1400,2765.33,507.71,4985.10
Electronics,Occasional Shopper,Large Malls / Complexes,Senior Salesperson,3373362.08,1183,2851.53,505.17,4997.57
Electronics,Occasional Shopper,Small Stores / Shops,Manager,4051263.10,1475,2746.62,510.21,4997.58
Electronics,Occasional Shopper,Small Stores / Shops,Sales Associate,4061766.31,1462,2778.23,500.55,4997.93
Electronics,Occasional Shopper,Small Stores / Shops,Salesperson,3988027.10,1434,2781.05,513.61,4991.03
Electronics,Occasional Shopper,Small Stores / Shops,Senior Salesperson,3728284.36,1333,2796.91,500.15,4996.56
Electronics,Occasional Shopper,Supermarkets ,Manager,4003375.78,1497,2674.27,503.77,4991.97
Electronics,Occasional Shopper,Supermarkets ,Sales Associate,4307536.29,1546,2786.25,501.39,4999.63
Electronics,Occasional Shopper,Supermarkets ,Salesperson,4198171.79,1501,2796.92,510.55,4996.32
Electronics,Occasional Shopper,Supermarkets ,Senior Salesperson,3302835.06,1206,2738.67,503.80,4997.14
Electronics,Online Shopper,Large Malls / Complexes,Manager,3704006.85,1355,2733.58,503.43,4998.93
Electronics,Online Shopper,Large Malls / Complexes,Sales Associate,3738715.12,1360,2749.06,500.77,4999.95
Electronics,Online Shopper,Large Malls / Complexes,Salesperson,3895594.92,1401,2780.58,502.74,4998.12
Electronics,Online Shopper,Large Malls / Complexes,Senior Salesperson,3284994.69,1197,2744.36,502.74,4995.33
Electronics,Online Shopper,Small Stores / Shops,Manager,3950455.08,1422,2778.10,502.18,4998.33
Electronics,Online Shopper,Small Stores / Shops,Sales Associate,3920981.30,1427,2747.71,501.02,4996.84
Electronics,Online Shopper,Small Stores / Shops,Salesperson,3978153.58,1478,2691.58,502.51,4990.57
Electronics,Online Shopper,Small Stores / Shops,Senior Salesperson,3682466.15,1301,2830.49,508.70,4996.28
Electronics,Online Shopper,Supermarkets ,Manager,4098136.74,1486,2757.83,503.58,4989.36
Electronics,Online Shopper,Supermarkets ,Sales Associate,4241247.27,1500,2827.50,500.70,4996.98
Electronics,Online Shopper,Supermarkets ,Salesperson,4081509.14,1475,2767.12,500.09,4998.84
Electronics,Online Shopper,Supermarkets ,Senior Salesperson,3526387.13,1291,2731.52,502.78,4998.72
Electronics,Premium Shopper,Large Malls / Complexes,Manager,3636975.45,1312,2772.08,504.05,4998.76
Electronics,Premium Shopper,Large Malls / Complexes,Sales Associate,3802095.42,1400,2715.78,501.34,4995.38
Electronics,Premium Shopper,Large Malls / Complexes,Salesperson,3858328.28,1387,2781.78,506.00,4986.11
Electronics,Premium Shopper,Large Malls / Complexes,Senior Salesperson,3284728.85,1184,2774.26,509.63,4996.76
Electronics,Premium Shopper,Small Stores / Shops,Manager,3828985.34,1400,2734.99,500.73,4997.71
Electronics,Premium Shopper,Small Stores / Shops,Sales Associate,3988101.31,1476,2701.97,503.82,4988.42
Electronics,Premium Shopper,Small Stores / Shops,Salesperson,4118327.20,1476,2790.19,500.34,4996.89
Electronics,Premium Shopper,Small Stores / Shops,Senior Salesperson,3408943.08,1234,2762.51,505.55,4997.81
Electronics,Premium Shopper,Supermarkets ,Manager,3834110.91,1386,2766.31,502.17,4999.87
Electronics,Premium Shopper,Supermarkets ,Sales Associate,4389247.99,1592,2757.07,502.69,4999.13
Electronics,Premium Shopper,Supermarkets ,Salesperson,4171153.06,1517,2749.61,513.00,4994.66
Electronics,Premium Shopper,Supermarkets ,Senior Salesperson,3650859.76,1324,2757.45,500.51,4997.92
Furniture,Budget Shopper,Large Malls / Complexes,Manager,3550770.35,1325,2679.83,503.79,4999.11
Furniture,Budget Shopper,Large Malls / Complexes,Sales Associate,3806307.57,1397,2724.63,502.36,4997.28
Furniture,Budget Shopper,Large Malls / Complexes,Salesperson,4073230.41,1436,2836.51,501.41,4995.52
Furniture,Budget Shopper,Large Malls / Complexes,Senior Salesperson,3206874.40,1178,2722.30,504.13,4999.77
Furniture,Budget Shopper,Small Stores / Shops,Manager,3942266.65,1419,2778.20,500.93,4997.53
Furniture,Budget Shopper,Small Stores / Shops,Sales Associate,3885835.59,1413,2750.06,505.02,4993.72
Furniture,Budget Shopper,Small Stores / Shops,Salesperson,4016501.89,1464,2743.51,503.77,4998.41
Furniture,Budget Shopper,Small Stores / Shops,Senior Salesperson,3442738.29,1284,2681.26,502.47,4990.61
Furniture,Budget Shopper,Supermarkets ,Manager,4103375.47,1494,2746.57,501.67,4999.90
Furniture,Budget Shopper,Supermarkets ,Sales Associate,4297529.32,1565,2746.03,504.75,4995.21
Furniture,Budget Shopper,Supermarkets ,Salesperson,4013143.86,1453,2761.97,503.79,4996.17
Furniture,Budget Shopper,Supermarkets ,Senior Salesperson,3546833.10,1291,2747.35,503.27,4999.39
Furniture,Churn Risk,Large Malls / Complexes,Manager,3693379.22,1360,2715.72,504.20,4997.24
Furniture,Churn Risk,Large Malls / Complexes,Sales Associate,3814430.17,1406,2712.97,501.02,4981.94
Furniture,Churn Risk,Large Malls / Complexes,Salesperson,3753365.68,1353,2774.11,503.27,4999.33
Furniture,Churn Risk,Large Malls / Complexes,Senior Salesperson,3309394.68,1213,2728.27,501.95,4995.39
Furniture,Churn Risk,Small Stores / Shops,Manager,3762394.23,1390,2706.76,500.70,4999.21
Furniture,Churn Risk,Small Stores / Shops,Sales Associate,4072209.62,1464,2781.56,501.40,4999.20
Furniture,Churn Risk,Small Stores / Shops,Salesperson,3993672.35,1452,2750.46,501.06,4999.64
Furniture,Churn Risk,Small Stores / Shops,Senior Salesperson,3395250.12,1240,2738.10,514.75,4998.89
Furniture,Churn Risk,Supermarkets ,Manager,3997256.28,1474,2711.84,503.48,4995.95
Furniture,Churn Risk,Supermarkets ,Sales Associate,4015578.50,1479,2715.06,502.08,4999.22
Furniture,Churn Risk,Supermarkets ,Salesperson,4249372.55,1521,2793.80,500.71,4999.22
Furniture,Churn Risk,Supermarkets ,Senior Salesperson,3761542.36,1348,2790.46,511.93,4994.87
Furniture,Deal Seeker,Large Malls / Complexes,Manager,3624060.29,1340,2704.52,502.44,4989.67
Furniture,Deal Seeker,Large Malls / Complexes,Sales Associate,3908576.01,1424,2744.79,500.56,4997.15
Furniture,Deal Seeker,Large Malls / Complexes,Salesperson,3740551.29,1348,2774.89,506.58,4995.57
Furniture,Deal Seeker,Large Malls / Complexes,Senior Salesperson,3251103.92,1199,2711.51,503.24,4998.98
Furniture,Deal Seeker,Small Stores / Shops,Manager,3816165.52,1391,2743.47,501.02,4995.20
