category,customer_segment,store_type,sum_amount,count,avg_amount,min_amount,max_amount
Electronics,Online Shopper,Large Malls / Complexes,14623311.58,5313,2752.36,500.77,4999.95
Electronics,Online Shopper,Small Stores / Shops,15532056.11,5628,2759.78,501.02,4998.33
Electronics,Online Shopper,Supermarkets ,15947280.28,5752,2772.48,500.09,4998.84
Electronics,Premium Shopper,Large Malls / Complexes,14582128.00,5283,2760.20,501.34,4998.76
Electronics,Premium Shopper,Small Stores / Shops,15344356.92,5586,2746.93,500.34,4997.81
Electronics,Premium Shopper,Supermarkets ,16045371.72,5819,2757.41,500.51,4999.87
Furniture,Budget Shopper,Large Malls / Complexes,14637182.72,5336,2743.10,501.41,4999.77
Furniture,Budget Shopper,Small Stores / Shops,15287342.42,5580,2739.67,500.93,4998.41
Furniture,Budget Shopper,Supermarkets ,15960881.75,5803,2750.45,501.67,4999.90
Furniture,Churn Risk,Large Malls / Complexes,14570569.75,5332,2732.66,501.02,4999.33
Furniture,Churn Risk,Small Stores / Shops,15223526.32,5546,2744.96,500.70,4999.64
Furniture,Churn Risk,Supermarkets ,16023749.70,5822,2752.28,500.71,4999.22
Furniture,Deal Seeker,Large Malls / Complexes,14524291.51,5311,2734.76,500.56,4998.98
Furniture,Deal Seeker,Small Stores / Shops,15625697.45,5668,2756.83,501.02,4999.40
Furniture,Deal Seeker,Supermarkets ,15798062.11,5768,2738.92,502.25,4999.12
Furniture,First-time Buyer,Large Malls / Complexes,14571363.87,5286,2756.60,500.38,4999.65
Furniture,First-time Buyer,Small Stores / Shops,15479466.98,5555,2786.58,501.27,4999.10
Furniture,First-time Buyer,Supermarkets ,15897070.22,5804,2738.99,500.58,4999.59
Furniture,High Value,Large Malls / Complexes,14471578.72,5279,2741.35,502.67,4999.64
Furniture,High Value,Small Stores / Shops,16075396.51,5799,2772.10,501.29,4999.89
Furniture,High Value,Supermarkets ,15834189.02,5778,2740.43,501.39,4999.68
Furniture,In-Store Regular,Large Malls / Complexes,14683429.11,5225,2810.23,500.68,4998.42
Furniture,In-Store Regular,Small Stores / Shops,15145734.70,5459,2774.45,500.06,4998.78
Furniture,In-Store Regular,Supermarkets ,15468303.46,5709,2709.46,503.22,4998.82
Furniture,Loyal Customer,Large Malls / Complexes,14596007.30,5283,2762.83,500.56,4999.69
Furniture,Loyal Customer,Small Stores / Shops,15562241.79,5602,2777.98,501.69,4998.96
Furniture,Loyal Customer,Supermarkets ,16218808.30,5920,2739.66,503.86,4998.56
Furniture,Occasional Shopper,Large Malls / Complexes,14706779.53,5391,2728.02,500.36,4999.60
Furniture,Occasional Shopper,Small Stores / Shops,14847388.57,5390,2754.62,500.57,4999.44
Furniture,Occasional Shopper,Supermarkets ,16008088.38,5794,2762.87,500.89,4997.96
Furniture,Online Shopper,Large Malls / Complexes,14784319.16,5299,2790.02,500.23,4999.88
Furniture,Online Shopper,Small Stores / Shops,15680233.99,5745,2729.37,500.34,4998.77
Furniture,Online Shopper,Supermarkets ,16317675.95,5953,2741.08,501.50,4999.14
Furniture,Premium Shopper,Large Malls / Complexes,14406455.54,5239,2749.85,500.29,4999.01
Furniture,Premium Shopper,Small Stores / Shops,15227773.02,5485,2776.26,501.02,4999.14
Furniture,Premium Shopper,Supermarkets ,15835795.21,5745,2756.45,500.23,4998.49
Groceries,Budget Shopper,Large Malls / Complexes,14309929.12,5211,2746.10,500.73,4999.97
Groceries,Budget Shopper,Small Stores / Shops,15281061.21,5596,2730.71,500.68,4998.44
Groceries,Budget Shopper,Supermarkets ,15624956.68,5662,2759.62,501.93,4999.16
Groceries,Churn Risk,Large Malls / Complexes,14352936.08,5299,2708.61,501.42,4999.13
Groceries,Churn Risk,Small Stores / Shops,15413773.86,5603,2750.99,500.47,4998.35
Groceries,Churn Risk,Supermarkets ,15793344.16,5697,2772.22,502.13,4999.85
Groceries,Deal Seeker,Large Malls / Complexes,14595682.61,5228,2791.83,501.79,4998.30
Groceries,Deal Seeker,Small Stores / Shops,15770996.85,5696,2768.78,500.60,4999.80
Groceries,Deal Seeker,Supermarkets ,15865331.58,5819,2726.47,500.33,4999.88
Groceries,First-time Buyer,Large Malls / Complexes,14637646.44,5297,2763.38,500.26,4999.90
Groceries,First-time Buyer,Small Stores / Shops,15230467.88,5522,2758.14,500.01,4999.83
Groceries,First-time Buyer,Supermarkets ,15697152.90,5761,2724.73,501.65,4999.88
Groceries,High Value,Large Malls / Complexes,14236331.36,5213,2730.93,500.47,4998.87
Groceries,High Value,Small Stores / Shops,15786240.65,5758,2741.62,500.83,4998.45
Groceries,High Value,Supermarkets ,16227589.18,5892,2754.17,502.46,4999.34
Groceries,In-Store Regular,Large Malls / Complexes,14355695.05,5191,2765.50,500.36,4999.92
Groceries,In-Store Regular,Small Stores / Shops,15521637.55,5629,2757.44,505.89,4998.37
Groceries,In-Store Regular,Supermarkets ,15807367.14,5792,2729.17,500.03,4999.70
Groceries,Loyal Customer,Large Malls / Complexes,14191944.78,5151,2755.18,500.32,4999.96
Groceries,Loyal Customer,Small Stores / Shops,15359969.10,5558,2763.58,500.37,4999.89
Groceries,Loyal Customer,Supermarkets ,16129682.69,5792,2784.82,500.84,4999.73
Groceries,Occasional Shopper,Large Malls / Complexes,14091621.56,5156,2733.05,502.78,4999.80
Groceries,Occasional Shopper,Small Stores / Shops,15332896.51,5590,2742.92,500.43,4998.84
Groceries,Occasional Shopper,Supermarkets ,16108947.68,5881,2739.15,500.56,4998.22
Groceries,Online Shopper,Large Malls / Complexes,14367521.71,5191,2767.78,501.06,4999.83
Groceries,Online Shopper,Small Stores / Shops,15571506.21,5654,2754.07,500.62,4999.26
Groceries,Online Shopper,Supermarkets ,15881717.22,5794,2741.06,500.12,4999.82
Groceries,Premium Shopper,Large Malls / Complexes,14377429.64,5222,2753.24,500.98,4999.86
Groceries,Premium Shopper,Small Stores / Shops,15146662.05,5539,2734.55,500.31,4999.35
Groceries,Premium Shopper,Supermarkets ,15547143.07,5690,2732.36,500.97,4997.29
Home Appliances,Budget Shopper,Large Malls / Complexes,14256703.43,5207,2737.99,500.61,4999.90
Home Appliances,Budget Shopper,Small Stores / Shops,15294949.54,5582,2740.05,500.92,4999.78
Home Appliances,Budget Shopper,Supermarkets ,15907571.43,5771,2756.47,500.10,4999.93
Home Appliances,Churn Risk,Large Malls / Complexes,14521576.82,5279,2750.82,500.36,4999.41
Home Appliances,Churn Risk,Small Stores / Shops,15542161.37,5613,2768.96,500.21,4999.15
Home Appliances,Churn Risk,Supermarkets ,15694247.05,5677,2764.53,500.39,4999.29
Home Appliances,Deal Seeker,Large Malls / Complexes,14613450.34,5369,2721.82,500.13,4999.30
Home Appliances,Deal Seeker,Small Stores / Shops,15267719.13,5591,2730.77,500.05,4998.54
Home Appliances,Deal Seeker,Supermarkets ,16343194.62,5929,2756.48,500.36,4999.84
Home Appliances,First-time Buyer,Large Malls / Complexes,14569626.29,5273,2763.06,502.14,4999.75
Home Appliances,First-time Buyer,Small Stores / Shops,15267500.76,5577,2737.58,500.15,4999.45
Home Appliances,First-time Buyer,Supermarkets ,15549926.70,5659,2747.82,500.00,4996.89
Home Appliances,High Value,Large Malls / Complexes,14610640.32,5332,2740.18,500.33,4999.91
Home Appliances,High Value,Small Stores / Shops,15420133.01,5733,2689.71,500.21,4999.98
Home Appliances,High Value,Supermarkets ,15593823.85,5711,2730.49,500.13,4998.56
Home Appliances,In-Store Regular,Large Malls / Complexes,14420356.16,5238,2753.03,500.93,4998.96
Home Appliances,In-Store Regular,Small Stores / Shops,15337359.60,5654,2712.66,502.48,4999.06
Home Appliances,In-Store Regular,Supermarkets ,15755355.24,5714,2757.33,501.78,4999.21
Home Appliances,Loyal Customer,Large Malls / Complexes,14277407.15,5228,2730.95,500.27,4998.58
Home Appliances,Loyal Customer,Small Stores / Shops,15375118.08,5638,2727.05,500.17,4999.22
Home Appliances,Loyal Customer,Supermarkets ,16124710.22,5810,2775.34,500.68,4999.91
Home Appliances,Occasional Shopper,Large Malls / Complexes,14935720.16,5429,2751.10,500.28,4998.47
Home Appliances,Occasional Shopper,Small Stores / Shops,15645278.95,5678,2755.42,500.09,4997.90
Home Appliances,Occasional Shopper,Supermarkets ,15579065.25,5728,2719.81,500.65,4999.48
Home Appliances,Online Shopper,Large Malls / Complexes,15084672.02,5502,2741.67,501.55,4999.94
Home Appliances,Online Shopper,Small Stores / Shops,15494668.14,5679,2728.41,503.09,4999.87
Home Appliances,Online Shopper,Supermarkets ,16183421.57,5875,2754.62,500.36,4998.62
Home Appliances,Premium Shopper,Large Malls / Complexes,14604990.17,5268,2772.40,501.60,4999.74
Home Appliances,Premium Shopper,Small Stores / Shops,15017015.43,5443,2758.96,501.06,4998.02
Home Appliances,Premium Shopper,Supermarkets ,15692511.92,5742,2732.93,501.43,4998.06
Sports & Outdoors,Budget Shopper,Large Malls / Complexes,14477604.73,5253,2756.06,500.26,4995.72
Sports & Outdoors,Budget Shopper,Small Stores / Shops,15158215.99,5508,2752.04,500.51,4998.61
Sports & Outdoors,Budget Shopper,Supermarkets ,16120490.15,5852,2754.70,500.04,4997.46
Sports & Outdoors,Churn Risk,Large Malls / Complexes,14921836.92,5322,2803.80,500.56,4998.73
Sports & Outdoors,Churn Risk,Small Stores / Shops,15725591.79,5737,2741.08,500.07,4998.38
Sports & Outdoors,Churn Risk,Supermarkets ,16050985.81,5847,2745.17,501.18,4999.05
Sports & Outdoors,Deal Seeker,Large Malls / Complexes,15057425.43,5452,2761.82,501.01,4999.02
Sports & Outdoors,Deal Seeker,Small Stores / Shops,15481899.59,5635,2747.45,501.05,4999.44
Sports & Outdoors,Deal Seeker,Supermarkets ,15908017.57,5757,2763.25,500.46,4999.49
Sports & Outdoors,First-time Buyer,Large Malls / Complexes,14601333.26,5272,2769.60,501.68,4997.70
Sports & Outdoors,First-time Buyer,Small Stores / Shops,15445350.24,5633,2741.94,500.01,4999.25
Sports & Outdoors,First-time Buyer,Supermarkets ,16044329.36,5839,2747.79,500.09,4999.02
Sports & Outdoors,High Value,Large Malls / Complexes,14795913.28,5370,2755.29,500.10,4999.61
Sports & Outdoors,High Value,Small Stores / Shops,15992421.55,5767,2773.09,500.03,4999.78
Sports & Outdoors,High Value,Supermarkets ,16010472.59,5823,2749.52,500.15,4999.05
Sports & Outdoors,In-Store Regular,Large Malls / Complexes,14774021.90,5351,2760.98,501.50,4998.24
Sports & Outdoors,In-Store Regular,Small Stores / Shops,15834455.49,5702,2777.00,502.42,4998.83
Sports & Outdoors,In-Store Regular,Supermarkets ,15559744.04,5622,2767.65,500.45,4999.89
Sports & Outdoors,Loyal Customer,Large Malls / Complexes,14454031.61,5307,2723.58,500.76,4999.34
Sports & Outdoors,Loyal Customer,Small Stores / Shops,15874074.36,5722,2774.22,500.50,4999.83
Sports & Outdoors,Loyal Customer,Supermarkets ,15692919.17,5741,2733.48,501.50,4998.83
Sports & Outdoors,Occasional Shopper,Large Malls / Complexes,14536535.90,5292,2746.89,500.07,4998.87
Sports & Outdoors,Occasional Shopper,Small Stores / Shops,15787931.70,5718,2761.09,500.39,4999.65
Sports & Outdoors,Occasional Shopper,Supermarkets ,16181349.89,5932,2727.81,500.33,4998.21
Sports & Outdoors,Online Shopper,Large Malls / Complexes,14781282.66,5399,2737.78,500.23,4999.78
Sports & Outdoors,Online Shopper,Small Stores / Shops,15200138.28,5526,2750.66,500.15,4998.38
Sports & Outdoors,Online Shopper,Supermarkets ,16204178.49,5869,2760.98,500.04,4999.97
Sports & Outdoors,Premium Shopper,Large Malls / Complexes,14123970.69,5147,2744.12,500.30,4999.19
Sports & Outdoors,Premium Shopper,Small Stores / Shops,15435318.30,5620,2746.50,500.23,4999.67
Sports & Outdoors,Premium Shopper,Supermarkets ,15471562.08,5627,2749.52,500.31,4999.55
