brand,customer_segment,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,In-Store Regular,Large Malls / Complexes,Sales Associate,1569246.74,566,2772.52,507.51,4999.76
Adidas,In-Store Regular,Large Malls / Complexes,Salesperson,1491251.70,544,2741.27,521.88,4997.48
Adidas,In-Store Regular,Large Malls / Complexes,Senior Salesperson,1168857.67,437,2674.73,501.08,4998.24
Adidas,In-Store Regular,Small Stores / Shops,Manager,1502970.99,539,2788.44,500.64,4978.27
Adidas,In-Store Regular,Small Stores / Shops,Sales Associate,1528162.45,548,2788.62,504.16,4988.61
Adidas,In-Store Regular,Small Stores / Shops,Salesperson,1518983.61,559,2717.32,506.04,4992.09
Adidas,In-Store Regular,Small Stores / Shops,Senior Salesperson,1449764.93,527,2750.98,519.60,4984.56
Adidas,In-Store Regular,Supermarkets ,Manager,1618599.04,580,2790.69,500.45,4996.97
Adidas,In-Store Regular,Supermarkets ,Sales Associate,1650899.55,593,2783.98,503.76,4999.33
Adidas,In-Store Regular,Supermarkets ,Salesperson,1388287.62,513,2706.21,503.94,4995.70
Adidas,In-Store Regular,Supermarkets ,Senior Salesperson,1547318.11,561,2758.14,501.44,4993.56
Adidas,Loyal Customer,Large Malls / Complexes,Manager,1392583.87,514,2709.31,504.41,4996.96
Adidas,Loyal Customer,Large Malls / Complexes,Sales Associate,1531046.05,546,2804.11,503.34,4998.71
Adidas,Loyal Customer,Large Malls / Complexes,Salesperson,1421537.25,525,2707.69,508.62,4957.13
Adidas,Loyal Customer,Large Malls / Complexes,Senior Salesperson,1461520.10,527,2773.28,536.61,4995.53
Adidas,Loyal Customer,Small Stores / Shops,Manager,1526888.35,539,2832.82,514.83,4995.47
Adidas,Loyal Customer,Small Stores / Shops,Sales Associate,1543322.88,568,2717.12,500.58,4998.00
Adidas,Loyal Customer,Small Stores / Shops,Salesperson,1792433.08,638,2809.46,503.40,4991.84
Adidas,Loyal Customer,Small Stores / Shops,Senior Salesperson,1538421.20,547,2812.47,501.65,4987.94
Adidas,Loyal Customer,Supermarkets ,Manager,1544520.68,566,2728.84,501.61,4998.83
Adidas,Loyal Customer,Supermarkets ,Sales Associate,1751463.78,623,2811.34,507.47,4992.84
Adidas,Loyal Customer,Supermarkets ,Salesperson,1735294.47,646,2686.21,512.50,4987.68
Adidas,Loyal Customer,Supermarkets ,Senior Salesperson,1365122.79,503,2713.96,510.44,4992.80
Adidas,Occasional Shopper,Large Malls / Complexes,Manager,1529619.47,544,2811.80,512.09,4980.69
Adidas,Occasional Shopper,Large Malls / Complexes,Sales Associate,1580262.16,566,2791.98,503.83,4991.46
Adidas,Occasional Shopper,Large Malls / Complexes,Salesperson,1478842.15,535,2764.19,501.08,4994.22
Adidas,Occasional Shopper,Large Malls / Complexes,Senior Salesperson,1412938.01,504,2803.45,502.00,4994.47
Adidas,Occasional Shopper,Small Stores / Shops,Manager,1651529.99,580,2847.47,530.26,4999.05
Adidas,Occasional Shopper,Small Stores / Shops,Sales Associate,1676306.41,608,2757.08,502.59,4998.86
Adidas,Occasional Shopper,Small Stores / Shops,Salesperson,1590064.43,567,2804.35,505.00,4994.34
Adidas,Occasional Shopper,Small Stores / Shops,Senior Salesperson,1414716.94,492,2875.44,503.46,4994.73
Adidas,Occasional Shopper,Supermarkets ,Manager,1570517.81,583,2693.86,500.33,4988.66
Adidas,Occasional Shopper,Supermarkets ,Sales Associate,1506176.48,563,2675.27,506.71,4991.94
Adidas,Occasional Shopper,Supermarkets ,Salesperson,1677868.90,615,2728.24,501.52,4995.70
Adidas,Occasional Shopper,Supermarkets ,Senior Salesperson,1596234.50,565,2825.19,502.86,4981.52
Adidas,Online Shopper,Large Malls / Complexes,Manager,1506719.43,531,2837.51,529.01,4985.02
Adidas,Online Shopper,Large Malls / Complexes,Sales Associate,1478681.97,552,2678.77,506.00,4985.37
Adidas,Online Shopper,Large Malls / Complexes,Salesperson,1410066.56,525,2685.84,524.61,4993.50
Adidas,Online Shopper,Large Malls / Complexes,Senior Salesperson,1293840.23,478,2706.78,500.11,4987.87
Adidas,Online Shopper,Small Stores / Shops,Manager,1577072.37,570,2766.79,528.38,4984.10
Adidas,Online Shopper,Small Stores / Shops,Sales Associate,1592108.25,575,2768.88,509.05,4999.41
Adidas,Online Shopper,Small Stores / Shops,Salesperson,1581532.59,560,2824.17,516.00,4991.97
Adidas,Online Shopper,Small Stores / Shops,Senior Salesperson,1293863.23,483,2678.81,531.51,4990.27
Adidas,Online Shopper,Supermarkets ,Manager,1589412.63,575,2764.20,502.26,4990.14
Adidas,Online Shopper,Supermarkets ,Sales Associate,1683513.53,617,2728.55,503.72,4997.59
Adidas,Online Shopper,Supermarkets ,Salesperson,1460097.37,558,2616.66,500.89,4991.47
Adidas,Online Shopper,Supermarkets ,Senior Salesperson,1495584.31,551,2714.31,509.59,4990.37
Adidas,Premium Shopper,Large Malls / Complexes,Manager,1427633.80,517,2761.38,526.99,4987.84
Adidas,Premium Shopper,Large Malls / Complexes,Sales Associate,1495182.66,547,2733.42,500.83,4999.76
Adidas,Premium Shopper,Large Malls / Complexes,Salesperson,1607985.10,590,2725.40,509.31,4985.65
Adidas,Premium Shopper,Large Malls / Complexes,Senior Salesperson,1286096.27,465,2765.80,502.29,4995.60
Adidas,Premium Shopper,Small Stores / Shops,Manager,1406934.43,516,2726.62,518.72,4993.50
Adidas,Premium Shopper,Small Stores / Shops,Sales Associate,1544249.91,560,2757.59,506.24,4987.71
Adidas,Premium Shopper,Small Stores / Shops,Salesperson,1596272.23,565,2825.26,507.17,4980.59
Adidas,Premium Shopper,Small Stores / Shops,Senior Salesperson,1349005.23,507,2660.76,508.98,4974.51
Adidas,Premium Shopper,Supermarkets ,Manager,1521119.34,552,2755.65,502.53,4998.07
Adidas,Premium Shopper,Supermarkets ,Sales Associate,1629818.96,607,2685.04,509.03,4970.33
Adidas,Premium Shopper,Supermarkets ,Salesperson,1628613.26,588,2769.75,502.87,4993.87
Adidas,Premium Shopper,Supermarkets ,Senior Salesperson,1334727.78,504,2648.27,505.42,4973.62
Amul,Budget Shopper,Large Malls / Complexes,Manager,666022.70,253,2632.50,531.31,4998.19
Amul,Budget Shopper,Large Malls / Complexes,Sales Associate,815854.01,289,2823.02,505.34,4995.73
Amul,Budget Shopper,Large Malls / Complexes,Salesperson,775396.51,282,2749.63,509.79,4988.32
Amul,Budget Shopper,Large Malls / Complexes,Senior Salesperson,632170.37,230,2748.57,531.00,4912.53
Amul,Budget Shopper,Small Stores / Shops,Manager,805373.63,285,2825.87,504.89,4967.85
Amul,Budget Shopper,Small Stores / Shops,Sales Associate,747595.20,261,2864.35,516.27,4935.90
Amul,Budget Shopper,Small Stores / Shops,Salesperson,845850.23,302,2800.83,504.65,4994.33
Amul,Budget Shopper,Small Stores / Shops,Senior Salesperson,698055.13,252,2770.06,561.15,4991.62
Amul,Budget Shopper,Supermarkets ,Manager,804073.25,296,2716.46,511.33,4987.34
Amul,Budget Shopper,Supermarkets ,Sales Associate,852324.81,307,2776.30,529.28,4993.94
Amul,Budget Shopper,Supermarkets ,Salesperson,883122.40,312,2830.52,526.69,4961.05
Amul,Budget Shopper,Supermarkets ,Senior Salesperson,752729.93,281,2678.75,533.92,4954.90
Amul,Churn Risk,Large Malls / Complexes,Manager,780473.53,278,2807.46,510.22,4989.76
Amul,Churn Risk,Large Malls / Complexes,Sales Associate,739688.65,269,2749.77,511.89,4987.09
Amul,Churn Risk,Large Malls / Complexes,Salesperson,692500.71,265,2613.21,516.92,4986.97
Amul,Churn Risk,Large Malls / Complexes,Senior Salesperson,626949.46,239,2623.22,510.88,4993.47
Amul,Churn Risk,Small Stores / Shops,Manager,783936.96,298,2630.66,502.30,4993.73
Amul,Churn Risk,Small Stores / Shops,Sales Associate,796253.53,288,2764.77,508.02,4995.02
Amul,Churn Risk,Small Stores / Shops,Salesperson,687175.65,258,2663.47,527.75,4986.22
Amul,Churn Risk,Small Stores / Shops,Senior Salesperson,774699.05,281,2756.94,519.35,4972.51
Amul,Churn Risk,Supermarkets ,Manager,834171.79,293,2847.00,506.56,4994.07
Amul,Churn Risk,Supermarkets ,Sales Associate,944360.73,333,2835.92,515.06,4996.54
Amul,Churn Risk,Supermarkets ,Salesperson,750246.70,273,2748.16,509.59,4991.33
Amul,Churn Risk,Supermarkets ,Senior Salesperson,709287.90,269,2636.76,507.40,4977.87
Amul,Deal Seeker,Large Malls / Complexes,Manager,706702.82,258,2739.16,530.70,4991.73
Amul,Deal Seeker,Large Malls / Complexes,Sales Associate,777645.39,269,2890.88,503.17,4990.30
Amul,Deal Seeker,Large Malls / Complexes,Salesperson,666859.57,245,2721.88,513.57,4998.30
Amul,Deal Seeker,Large Malls / Complexes,Senior Salesperson,639296.07,221,2892.74,514.73,4994.21
Amul,Deal Seeker,Small Stores / Shops,Manager,776883.82,283,2745.17,514.24,4978.48
Amul,Deal Seeker,Small Stores / Shops,Sales Associate,921165.40,324,2843.10,521.65,4978.67
Amul,Deal Seeker,Small Stores / Shops,Salesperson,877949.94,310,2832.10,515.54,4993.91
Amul,Deal Seeker,Small Stores / Shops,Senior Salesperson,671860.28,248,2709.11,523.08,4996.45
Amul,Deal Seeker,Supermarkets ,Manager,776221.50,295,2631.26,515.60,4976.91
Amul,Deal Seeker,Supermarkets ,Sales Associate,807317.78,298,2709.12,501.88,4988.80
Amul,Deal Seeker,Supermarkets ,Salesperson,832113.37,318,2616.71,505.32,4876.16
Amul,Deal Seeker,Supermarkets ,Senior Salesperson,658088.14,233,2824.41,506.22,4995.48
Amul,First-time Buyer,Large Malls / Complexes,Manager,782614.12,272,2877.26,523.59,4990.34
Amul,First-time Buyer,Large Malls / Complexes,Sales Associate,816986.13,303,2696.32,505.99,4989.51
Amul,First-time Buyer,Large Malls / Complexes,Salesperson,714042.07,261,2735.79,500.26,4987.90
Amul,First-time Buyer,Large Malls / Complexes,Senior Salesperson,626753.31,221,2835.99,559.27,4997.33
Amul,First-time Buyer,Small Stores / Shops,Manager,729415.65,281,2595.79,503.45,4998.98
Amul,First-time Buyer,Small Stores / Shops,Sales Associate,726187.68,281,2584.30,526.84,4976.96
Amul,First-time Buyer,Small Stores / Shops,Salesperson,884444.94,318,2781.27,541.49,4995.35
Amul,First-time Buyer,Small Stores / Shops,Senior Salesperson,692615.79,251,2759.43,502.25,4904.08
Amul,First-time Buyer,Supermarkets ,Manager,789988.33,293,2696.21,554.52,4995.56
Amul,First-time Buyer,Supermarkets ,Sales Associate,797208.86,296,2693.27,504.35,4980.43
Amul,First-time Buyer,Supermarkets ,Salesperson,851148.48,320,2659.84,512.89,4982.31
Amul,First-time Buyer,Supermarkets ,Senior Salesperson,692819.04,253,2738.42,513.32,4967.82
Amul,High Value,Large Malls / Complexes,Manager,691765.41,254,2723.49,500.47,4959.55
Amul,High Value,Large Malls / Complexes,Sales Associate,697086.58,265,2630.52,546.55,4997.68
Amul,High Value,Large Malls / Complexes,Salesperson,722230.23,262,2756.60,500.95,4998.10
Amul,High Value,Large Malls / Complexes,Senior Salesperson,644083.72,253,2545.79,501.33,4977.46
Amul,High Value,Small Stores / Shops,Manager,771540.58,295,2615.39,516.37,4989.05
Amul,High Value,Small Stores / Shops,Sales Associate,811057.26,290,2796.75,517.40,4991.87
Amul,High Value,Small Stores / Shops,Salesperson,841127.93,305,2757.80,562.94,4978.61
Amul,High Value,Small Stores / Shops,Senior Salesperson,773974.80,277,2794.13,514.94,4994.94
Amul,High Value,Supermarkets ,Manager,855687.17,298,2871.43,523.20,4969.63
Amul,High Value,Supermarkets ,Sales Associate,809639.86,305,2654.56,515.42,4990.44
Amul,High Value,Supermarkets ,Salesperson,900326.28,317,2840.15,504.05,4997.96
Amul,High Value,Supermarkets ,Senior Salesperson,755839.46,277,2728.66,509.39,4982.69
Amul,In-Store Regular,Large Malls / Complexes,Manager,709655.56,248,2861.51,527.77,4993.79
Amul,In-Store Regular,Large Malls / Complexes,Sales Associate,843159.01,315,2676.70,508.09,4990.59
Amul,In-Store Regular,Large Malls / Complexes,Salesperson,688466.37,251,2742.89,552.86,4996.36
Amul,In-Store Regular,Large Malls / Complexes,Senior Salesperson,707356.53,253,2795.88,512.60,4984.38
Amul,In-Store Regular,Small Stores / Shops,Manager,787188.20,283,2781.58,509.79,4930.66
Amul,In-Store Regular,Small Stores / Shops,Sales Associate,797774.58,294,2713.52,523.73,4982.93
Amul,In-Store Regular,Small Stores / Shops,Salesperson,793864.44,280,2835.23,527.33,4985.16
Amul,In-Store Regular,Small Stores / Shops,Senior Salesperson,706010.38,268,2634.37,513.51,4967.29
Amul,In-Store Regular,Supermarkets ,Manager,787322.02,297,2650.92,524.94,4983.94
Amul,In-Store Regular,Supermarkets ,Sales Associate,799708.81,297,2692.62,504.51,4994.74
Amul,In-Store Regular,Supermarkets ,Salesperson,856125.47,307,2788.68,506.38,4987.29
Amul,In-Store Regular,Supermarkets ,Senior Salesperson,742019.53,263,2821.37,505.81,4996.48
Amul,Loyal Customer,Large Malls / Complexes,Manager,673069.35,257,2618.95,506.59,4993.24
Amul,Loyal Customer,Large Malls / Complexes,Sales Associate,746636.99,271,2755.12,501.41,4972.19
Amul,Loyal Customer,Large Malls / Complexes,Salesperson,752406.61,279,2696.80,523.61,4980.53
Amul,Loyal Customer,Large Malls / Complexes,Senior Salesperson,649529.35,240,2706.37,517.72,4988.04
Amul,Loyal Customer,Small Stores / Shops,Manager,792990.41,289,2743.91,501.52,4994.91
Amul,Loyal Customer,Small Stores / Shops,Sales Associate,806256.47,289,2789.81,512.19,4983.63
Amul,Loyal Customer,Small Stores / Shops,Salesperson,780166.24,301,2591.91,524.88,4986.30
Amul,Loyal Customer,Small Stores / Shops,Senior Salesperson,697710.86,247,2824.74,504.17,4970.23
Amul,Loyal Customer,Supermarkets ,Manager,815068.28,299,2725.98,539.70,4990.08
Amul,Loyal Customer,Supermarkets ,Sales Associate,830716.56,308,2697.13,504.57,4998.75
Amul,Loyal Customer,Supermarkets ,Salesperson,743536.66,282,2636.65,527.22,4984.86
Amul,Loyal Customer,Supermarkets ,Senior Salesperson,771350.42,278,2774.64,500.84,4965.52
Amul,Occasional Shopper,Large Malls / Complexes,Manager,722957.41,271,2667.74,512.75,4992.97
Amul,Occasional Shopper,Large Malls / Complexes,Sales Associate,759808.08,282,2694.35,518.50,4971.85
Amul,Occasional Shopper,Large Malls / Complexes,Salesperson,662997.85,239,2774.05,512.57,4990.89
Amul,Occasional Shopper,Large Malls / Complexes,Senior Salesperson,697674.71,250,2790.70,510.36,4999.80
Amul,Occasional Shopper,Small Stores / Shops,Manager,676339.02,259,2611.35,504.64,4998.84
Amul,Occasional Shopper,Small Stores / Shops,Sales Associate,827575.01,311,2661.01,526.82,4940.07
Amul,Occasional Shopper,Small Stores / Shops,Salesperson,788281.45,287,2746.63,514.02,4996.14
Amul,Occasional Shopper,Small Stores / Shops,Senior Salesperson,720977.78,252,2861.02,511.06,4986.67
Amul,Occasional Shopper,Supermarkets ,Manager,881635.81,314,2807.76,505.72,4990.50
Amul,Occasional Shopper,Supermarkets ,Sales Associate,878109.27,316,2778.83,503.17,4990.00
Amul,Occasional Shopper,Supermarkets ,Salesperson,843911.18,309,2731.10,504.23,4996.97
Amul,Occasional Shopper,Supermarkets ,Senior Salesperson,682948.41,242,2822.10,521.68,4982.60
Amul,Online Shopper,Large Malls / Complexes,Manager,778214.21,289,2692.78,505.59,4991.21
Amul,Online Shopper,Large Malls / Complexes,Sales Associate,711249.23,249,2856.42,515.39,4936.48
Amul,Online Shopper,Large Malls / Complexes,Salesperson,902623.63,311,2902.33,506.46,4984.77
Amul,Online Shopper,Large Malls / Complexes,Senior Salesperson,609714.39,221,2758.89,506.04,4988.78
Amul,Online Shopper,Small Stores / Shops,Manager,767489.75,278,2760.75,501.42,4985.40
Amul,Online Shopper,Small Stores / Shops,Sales Associate,802006.05,288,2784.74,503.67,4994.22
Amul,Online Shopper,Small Stores / Shops,Salesperson,771923.85,298,2590.35,500.62,4993.62
Amul,Online Shopper,Small Stores / Shops,Senior Salesperson,769103.70,279,2756.64,523.21,4984.55
Amul,Online Shopper,Supermarkets ,Manager,784458.86,290,2705.03,515.77,4977.29
Amul,Online Shopper,Supermarkets ,Sales Associate,851855.91,307,2774.77,500.74,4996.71
Amul,Online Shopper,Supermarkets ,Salesperson,923449.05,327,2824.00,531.01,4993.64
Amul,Online Shopper,Supermarkets ,Senior Salesperson,730819.59,268,2726.94,524.42,4990.08
Amul,Premium Shopper,Large Malls / Complexes,Manager,630249.80,231,2728.35,513.13,4958.77
Amul,Premium Shopper,Large Malls / Complexes,Sales Associate,794669.97,288,2759.27,504.65,4979.50
Amul,Premium Shopper,Large Malls / Complexes,Salesperson,687707.37,261,2634.89,502.75,4986.78
Amul,Premium Shopper,Large Malls / Complexes,Senior Salesperson,575577.54,214,2689.61,504.10,4984.09
Amul,Premium Shopper,Small Stores / Shops,Manager,732683.11,254,2884.58,515.13,4972.70
Amul,Premium Shopper,Small Stores / Shops,Sales Associate,837356.98,293,2857.87,507.29,4960.70
Amul,Premium Shopper,Small Stores / Shops,Salesperson,765943.96,279,2745.32,501.25,4982.89
Amul,Premium Shopper,Small Stores / Shops,Senior Salesperson,692597.67,248,2792.73,523.81,4996.88
Amul,Premium Shopper,Supermarkets ,Manager,760535.44,271,2806.40,514.01,4976.08
Amul,Premium Shopper,Supermarkets ,Sales Associate,722626.70,278,2599.38,507.19,4997.29
Amul,Premium Shopper,Supermarkets ,Salesperson,796999.84,294,2710.88,520.44,4995.23
Amul,Premium Shopper,Supermarkets ,Senior Salesperson,776624.96,280,2773.66,506.29,4994.70
Apple,Budget Shopper,Large Malls / Complexes,Manager,711064.99,265,2683.26,508.39,4942.39
Apple,Budget Shopper,Large Malls / Complexes,Sales Associate,799333.91,292,2737.44,511.56,4989.61
Apple,Budget Shopper,Large Malls / Complexes,Salesperson,817074.28,284,2877.02,540.20,4979.75
Apple,Budget Shopper,Large Malls / Complexes,Senior Salesperson,638100.19,241,2647.72,504.78,4991.42
Apple,Budget Shopper,Small Stores / Shops,Manager,800912.57,293,2733.49,501.68,4986.36
Apple,Budget Shopper,Small Stores / Shops,Sales Associate,885406.57,305,2902.97,504.53,4995.51
Apple,Budget Shopper,Small Stores / Shops,Salesperson,773097.82,293,2638.56,518.31,4961.59
Apple,Budget Shopper,Small Stores / Shops,Senior Salesperson,651021.05,237,2746.92,525.85,4959.32
Apple,Budget Shopper,Supermarkets ,Manager,812336.62,285,2850.30,553.73,4977.00
Apple,Budget Shopper,Supermarkets ,Sales Associate,782454.04,288,2716.85,514.94,4991.30
Apple,Budget Shopper,Supermarkets ,Salesperson,846189.16,311,2720.87,525.44,4976.47
Apple,Budget Shopper,Supermarkets ,Senior Salesperson,703824.67,250,2815.30,539.70,4987.47
Apple,Churn Risk,Large Malls / Complexes,Manager,723583.81,262,2761.77,514.59,4971.35
Apple,Churn Risk,Large Malls / Complexes,Sales Associate,728395.72,257,2834.22,500.60,4942.89
Apple,Churn Risk,Large Malls / Complexes,Salesperson,727876.68,264,2757.11,548.03,4965.76
Apple,Churn Risk,Large Malls / Complexes,Senior Salesperson,565269.57,217,2604.93,531.26,4968.69
Apple,Churn Risk,Small Stores / Shops,Manager,732611.06,268,2733.62,619.98,4985.90
Apple,Churn Risk,Small Stores / Shops,Sales Associate,755094.53,277,2725.97,525.65,4989.77
Apple,Churn Risk,Small Stores / Shops,Salesperson,796248.21,293,2717.57,536.16,4980.20
Apple,Churn Risk,Small Stores / Shops,Senior Salesperson,657972.49,247,2663.86,515.83,4986.02
Apple,Churn Risk,Supermarkets ,Manager,859391.98,308,2790.23,516.58,4994.08
Apple,Churn Risk,Supermarkets ,Sales Associate,891450.31,327,2726.15,508.74,4991.11
Apple,Churn Risk,Supermarkets ,Salesperson,912614.53,340,2684.16,511.88,4972.57
Apple,Churn Risk,Supermarkets ,Senior Salesperson,721283.97,269,2681.35,502.32,4994.23
Apple,Deal Seeker,Large Malls / Complexes,Manager,753608.63,263,2865.43,536.75,4990.29
Apple,Deal Seeker,Large Malls / Complexes,Sales Associate,748671.45,279,2683.41,502.34,4999.77
Apple,Deal Seeker,Large Malls / Complexes,Salesperson,742454.99,269,2760.06,515.92,4968.06
Apple,Deal Seeker,Large Malls / Complexes,Senior Salesperson,672776.69,248,2712.81,513.31,4994.22
Apple,Deal Seeker,Small Stores / Shops,Manager,840092.81,304,2763.46,511.39,4997.32
Apple,Deal Seeker,Small Stores / Shops,Sales Associate,796894.10,298,2674.14,525.85,4998.11
Apple,Deal Seeker,Small Stores / Shops,Salesperson,841760.75,296,2843.79,531.64,4997.50
Apple,Deal Seeker,Small Stores / Shops,Senior Salesperson,682670.00,250,2730.68,536.90,4987.71
Apple,Deal Seeker,Supermarkets ,Manager,817769.53,276,2962.93,521.49,4970.79
Apple,Deal Seeker,Supermarkets ,Sales Associate,805995.08,306,2633.97,511.73,4974.40
Apple,Deal Seeker,Supermarkets ,Salesperson,847375.88,315,2690.08,509.00,4981.04
Apple,Deal Seeker,Supermarkets ,Senior Salesperson,629350.10,241,2611.41,559.29,4983.25
Apple,First-time Buyer,Large Malls / Complexes,Manager,790386.93,277,2853.38,506.67,4999.20
Apple,First-time Buyer,Large Malls / Complexes,Sales Associate,699274.14,267,2619.00,511.37,4945.05
Apple,First-time Buyer,Large Malls / Complexes,Salesperson,806516.13,290,2781.09,505.51,4993.94
Apple,First-time Buyer,Large Malls / Complexes,Senior Salesperson,592791.80,222,2670.23,509.94,4956.92
