customer_segment,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Churn Risk,Red Tag Clearance,5136687.14,1897,2707.80,501.03,4999.05
Churn Risk,Seasonal Surprise Box,5519117.06,2012,2743.10,501.42,4998.82
Churn Risk,Shop & Save Spectacular,5561999.66,2008,2769.92,500.21,4999.91
Churn Risk,Smart Shopper Week,5544824.16,2020,2744.96,504.15,4999.86
Churn Risk,Spring Refresh Event,5457844.48,1977,2760.67,500.56,4998.26
Churn Risk,Spring Splash Discounts,5544402.61,2037,2721.85,502.11,4995.14
Churn Risk,Summer Sizzle Promo,5348751.94,1972,2712.35,500.57,4998.58
Churn Risk,Super Savings Week,5758664.33,2077,2772.59,500.70,4998.99
Churn Risk,Ultimate Value Event,5418578.83,1977,2740.81,502.89,4998.67
Churn Risk,VIP Access Sale,5536722.31,2022,2738.24,502.11,4999.15
Churn Risk,Weekend Warrior Specials,5433713.93,1977,2748.46,501.99,4999.21
Churn Risk,Winter Clearance Carnival,5666963.88,2059,2752.29,501.40,4999.04
Churn Risk,Winter Wonders Sale,5441999.74,1993,2730.56,510.86,4999.85
Deal Seeker,12 Days of Deals,5758952.24,2105,2735.84,502.44,4999.82
Deal Seeker,Autumn Deals Drive,5631314.38,2073,2716.50,500.56,4996.48
Deal Seeker,BOGO Blitz,5577246.96,2007,2778.90,500.97,4998.59
Deal Seeker,Back to School Boost,5712430.25,2074,2754.31,500.14,4999.33
Deal Seeker,Birthday Bash Sale,5414973.08,2020,2680.68,501.20,4996.94
Deal Seeker,Black Friday Blowout,5501065.51,1991,2762.97,504.18,4998.59
Deal Seeker,Cart Crasher Campaign,5446072.75,1984,2745.00,501.15,4996.42
Deal Seeker,Cashback Carnival,5284633.66,1925,2745.26,502.58,4999.12
Deal Seeker,Clearance Countdown,5704142.87,2093,2725.34,501.45,4999.80
Deal Seeker,Countdown to Savings,5623593.87,2048,2745.90,500.66,4999.30
Deal Seeker,Customer Appreciation Week,5431549.33,1992,2726.68,501.28,4997.50
Deal Seeker,Cyber Monday Mania,5619712.57,2051,2739.99,502.02,4998.54
Deal Seeker,Deal of the Month,5396725.62,1992,2709.20,501.29,4996.86
Deal Seeker,Double Points Bonanza,5746644.37,2040,2816.98,501.70,4998.55
Deal Seeker,Early Bird Specials,5530687.45,1996,2770.89,500.92,4999.70
Deal Seeker,End of Season Sale,5603288.67,2036,2752.11,504.46,4989.11
Deal Seeker,Exclusive Insider Offers,5442718.83,1960,2776.90,508.46,4999.75
Deal Seeker,Festive Fever Promo,5497644.58,2050,2681.78,507.70,4998.62
Deal Seeker,Final Call Frenzy,5511630.61,2000,2755.82,501.33,4998.16
Deal Seeker,Flash Frenzy Friday,5485853.97,2011,2727.92,500.13,4999.30
Deal Seeker,"Gift More, Spend Less",5643775.23,2071,2725.14,500.46,4995.74
Deal Seeker,Golden Hour Bargains,5563137.09,2016,2759.49,502.34,4998.10
Deal Seeker,Green Weekend Deals,5492242.65,2015,2725.68,501.10,4999.77
Deal Seeker,Happy Hour Discounts,5525916.26,1993,2772.66,505.31,4997.26
Deal Seeker,Holiday Shopping Rush,5398250.49,1987,2716.78,501.35,4996.07
Deal Seeker,Hot Picks Promo,5582823.60,2016,2769.26,500.05,4990.18
Deal Seeker,Instant Gratification Sale,5631857.93,2067,2724.65,500.33,4999.38
Deal Seeker,Limited Time Treasures,5436714.85,1979,2747.20,500.36,4999.81
Deal Seeker,Loyalty Rewards Blast,5658162.40,2055,2753.36,501.05,4998.50
Deal Seeker,Mega Weekend Bonanza,5412073.74,1936,2795.49,502.25,4992.05
Deal Seeker,Mid-Year Madness,5358677.14,1969,2721.52,500.89,4999.49
Deal Seeker,Midnight Madness,5635973.84,2035,2769.52,502.64,4998.11
Deal Seeker,Mystery Discount Days,5439516.60,1993,2729.31,501.05,4995.72
Deal Seeker,New Arrival Showcase,5596963.40,2021,2769.40,503.53,4999.95
Deal Seeker,New Product Launch Promo,5415327.03,1959,2764.33,500.80,4999.40
Deal Seeker,New Year Kickoff,5555836.66,2036,2728.80,501.02,4998.67
Deal Seeker,Price Drop Parade,5731577.59,2078,2758.22,503.08,4992.49
Deal Seeker,Red Tag Clearance,5416143.39,1940,2791.83,500.88,4998.91
Deal Seeker,Seasonal Surprise Box,5309330.95,1932,2748.10,500.52,4998.61
Deal Seeker,Shop & Save Spectacular,5651007.59,2032,2781.01,500.14,4998.08
Deal Seeker,Smart Shopper Week,5630183.88,2016,2792.75,501.79,4997.75
Deal Seeker,Spring Refresh Event,5536548.90,2028,2730.05,500.55,4995.22
Deal Seeker,Spring Splash Discounts,5380517.67,1963,2740.97,500.46,4999.01
Deal Seeker,Summer Sizzle Promo,5467489.20,2035,2686.73,502.08,4997.93
Deal Seeker,Super Savings Week,5442458.55,1978,2751.50,502.63,4999.88
Deal Seeker,Ultimate Value Event,5820785.22,2083,2794.42,500.07,4999.84
Deal Seeker,VIP Access Sale,5421631.06,1991,2723.07,502.77,4996.47
Deal Seeker,Weekend Warrior Specials,5610818.88,2055,2730.33,503.19,4998.33
Deal Seeker,Winter Clearance Carnival,5709463.48,2069,2759.53,502.61,4993.14
Deal Seeker,Winter Wonders Sale,5682651.25,2049,2773.38,502.50,4997.89
First-time Buyer,12 Days of Deals,5665024.02,2089,2711.84,500.37,4999.40
First-time Buyer,Autumn Deals Drive,5240846.93,1909,2745.34,504.53,4996.59
First-time Buyer,BOGO Blitz,5527499.59,1987,2781.83,501.56,4997.65
First-time Buyer,Back to School Boost,5410780.97,2003,2701.34,505.75,4999.86
First-time Buyer,Birthday Bash Sale,5328987.03,1923,2771.18,501.68,4999.90
First-time Buyer,Black Friday Blowout,5430400.88,1984,2737.10,504.45,4997.76
First-time Buyer,Cart Crasher Campaign,5423557.54,1988,2728.15,501.27,4994.01
First-time Buyer,Cashback Carnival,5397966.62,1947,2772.45,500.13,4998.40
First-time Buyer,Clearance Countdown,5405876.26,1952,2769.40,500.37,4998.17
First-time Buyer,Countdown to Savings,5516110.65,1999,2759.44,500.09,4998.86
First-time Buyer,Customer Appreciation Week,5690622.50,2056,2767.81,500.64,4999.02
First-time Buyer,Cyber Monday Mania,5623482.63,2044,2751.21,500.56,4999.83
First-time Buyer,Deal of the Month,5302084.36,1926,2752.90,500.56,4999.96
First-time Buyer,Double Points Bonanza,5610119.05,2015,2784.18,500.63,4997.02
First-time Buyer,Early Bird Specials,5418056.30,1962,2761.50,501.84,4996.80
First-time Buyer,End of Season Sale,5645042.15,2043,2763.11,502.75,4997.30
First-time Buyer,Exclusive Insider Offers,5623490.85,2017,2788.05,501.41,4998.36
First-time Buyer,Festive Fever Promo,5668529.38,2019,2807.59,501.65,4997.98
First-time Buyer,Final Call Frenzy,5622387.94,2043,2752.03,501.90,4999.75
First-time Buyer,Flash Frenzy Friday,5371958.77,1952,2752.03,502.44,4995.90
First-time Buyer,"Gift More, Spend Less",5345220.18,1944,2749.60,512.89,4998.02
First-time Buyer,Golden Hour Bargains,5594257.83,2010,2783.21,500.01,4999.90
First-time Buyer,Green Weekend Deals,5456697.92,2016,2706.70,500.26,4999.98
First-time Buyer,Happy Hour Discounts,5452052.51,1966,2773.17,503.25,4998.48
First-time Buyer,Holiday Shopping Rush,5486443.49,2018,2718.75,501.74,4999.67
First-time Buyer,Hot Picks Promo,5292521.91,1956,2705.79,500.04,4999.88
First-time Buyer,Instant Gratification Sale,5510149.64,2006,2746.83,501.99,4997.63
First-time Buyer,Limited Time Treasures,5504700.30,1982,2777.35,503.76,4999.73
First-time Buyer,Loyalty Rewards Blast,5535586.62,1999,2769.18,500.38,4999.26
First-time Buyer,Mega Weekend Bonanza,5620474.23,2030,2768.71,503.85,4994.32
First-time Buyer,Mid-Year Madness,5461374.14,1984,2752.71,500.72,4999.11
First-time Buyer,Midnight Madness,5363235.78,1972,2719.69,500.01,4998.75
First-time Buyer,Mystery Discount Days,5442606.77,1966,2768.37,500.15,4995.70
First-time Buyer,New Arrival Showcase,5560266.34,2027,2743.10,501.06,4999.20
First-time Buyer,New Product Launch Promo,5464477.81,1966,2779.49,500.19,4999.20
First-time Buyer,New Year Kickoff,5278927.38,1921,2748.01,503.01,4995.79
First-time Buyer,Price Drop Parade,5290264.43,1959,2700.49,504.47,4999.10
First-time Buyer,Red Tag Clearance,5513364.08,2005,2749.81,502.90,4999.45
First-time Buyer,Seasonal Surprise Box,5602338.46,2015,2780.32,506.26,4996.98
First-time Buyer,Shop & Save Spectacular,5341817.00,1948,2742.21,501.24,4997.09
First-time Buyer,Smart Shopper Week,5686490.19,2055,2767.15,504.88,4998.48
First-time Buyer,Spring Refresh Event,5454750.53,1969,2770.32,507.77,4996.53
First-time Buyer,Spring Splash Discounts,5579924.12,2023,2758.24,504.51,4999.02
First-time Buyer,Summer Sizzle Promo,5432453.82,1970,2757.59,502.21,4998.54
First-time Buyer,Super Savings Week,5412552.54,1927,2808.80,500.00,4999.25
First-time Buyer,Ultimate Value Event,5291443.74,1911,2768.94,505.35,4999.82
First-time Buyer,VIP Access Sale,5584389.49,2036,2742.82,502.59,4998.82
First-time Buyer,Weekend Warrior Specials,5564359.41,2051,2713.00,502.66,4999.71
First-time Buyer,Winter Clearance Carnival,5593146.79,2010,2782.66,502.03,4998.34
First-time Buyer,Winter Wonders Sale,5492022.16,1995,2752.89,517.04,4995.24
High Value,12 Days of Deals,5590608.70,2023,2763.52,502.40,4999.73
High Value,Autumn Deals Drive,5698147.67,2068,2755.39,500.77,4999.11
High Value,BOGO Blitz,5555696.21,2046,2715.39,511.25,4997.47
High Value,Back to School Boost,5424178.19,1981,2738.10,500.13,4998.07
High Value,Birthday Bash Sale,5393442.73,1970,2737.79,500.14,4999.68
High Value,Black Friday Blowout,5589739.80,2036,2745.45,500.70,4999.47
High Value,Cart Crasher Campaign,5591432.34,2026,2759.84,506.65,4999.98
High Value,Cashback Carnival,5574813.93,2045,2726.07,503.76,4994.56
High Value,Clearance Countdown,5548845.37,2007,2764.75,500.53,4998.78
High Value,Countdown to Savings,5717589.65,2066,2767.47,504.17,4999.61
High Value,Customer Appreciation Week,5708312.81,2084,2739.11,502.67,4996.51
High Value,Cyber Monday Mania,5821108.02,2121,2744.51,504.09,4997.19
High Value,Deal of the Month,5556111.93,2038,2726.26,501.47,4997.39
High Value,Double Points Bonanza,5570815.52,2058,2706.91,500.95,4999.34
High Value,Early Bird Specials,5531963.60,2040,2711.75,502.05,4996.35
High Value,End of Season Sale,5503738.68,2007,2742.27,500.69,4999.05
High Value,Exclusive Insider Offers,5442178.97,1985,2741.65,501.31,4998.78
High Value,Festive Fever Promo,5413209.76,1967,2752.01,500.64,4996.81
High Value,Final Call Frenzy,5384842.34,1992,2703.23,500.03,4999.96
High Value,Flash Frenzy Friday,5660955.95,2051,2760.10,503.50,4998.72
High Value,"Gift More, Spend Less",5413966.43,1980,2734.33,501.53,4998.32
High Value,Golden Hour Bargains,5314541.35,1953,2721.22,507.62,4995.50
High Value,Green Weekend Deals,5344013.35,1942,2751.81,500.21,4997.99
High Value,Happy Hour Discounts,5522871.45,1972,2800.64,504.99,4998.95
High Value,Holiday Shopping Rush,5279001.08,1909,2765.32,506.77,4998.34
High Value,Hot Picks Promo,5569675.66,2033,2739.63,505.94,4996.34
High Value,Instant Gratification Sale,5683163.98,2050,2772.28,500.95,4998.94
High Value,Limited Time Treasures,5565589.08,2054,2709.63,505.63,4999.38
High Value,Loyalty Rewards Blast,5472247.38,1999,2737.49,500.22,4998.17
High Value,Mega Weekend Bonanza,5428673.99,2011,2699.49,501.33,4996.59
High Value,Mid-Year Madness,5492222.93,2013,2728.38,500.33,4997.99
High Value,Midnight Madness,5448561.64,2010,2710.73,500.95,4998.34
High Value,Mystery Discount Days,5476449.94,1986,2757.53,500.17,4996.73
High Value,New Arrival Showcase,5564168.63,2026,2746.38,500.37,4995.42
High Value,New Product Launch Promo,5282838.10,1963,2691.21,501.71,4999.48
High Value,New Year Kickoff,5607998.08,2025,2769.38,500.45,4998.26
High Value,Price Drop Parade,5377947.80,1941,2770.71,501.39,4996.87
High Value,Red Tag Clearance,5612083.98,2012,2789.31,500.15,4999.64
High Value,Seasonal Surprise Box,5548509.78,2019,2748.15,504.60,4996.14
High Value,Shop & Save Spectacular,5519296.70,2005,2752.77,502.39,4999.95
High Value,Smart Shopper Week,5487306.10,2002,2740.91,500.54,4999.77
High Value,Spring Refresh Event,5396225.34,1983,2721.24,505.18,4999.78
High Value,Spring Splash Discounts,5382721.71,1989,2706.25,505.94,4999.08
High Value,Summer Sizzle Promo,5520578.82,1986,2779.75,500.10,4998.80
High Value,Super Savings Week,5506248.63,1973,2790.80,501.99,4999.89
High Value,Ultimate Value Event,5622161.61,2019,2784.63,500.47,4999.91
High Value,VIP Access Sale,5392714.24,1978,2726.35,502.41,4999.71
High Value,Weekend Warrior Specials,5630109.71,2083,2702.89,501.39,4995.52
High Value,Winter Clearance Carnival,5742308.09,2048,2803.86,506.45,4998.56
High Value,Winter Wonders Sale,5578858.91,2016,2767.29,505.46,4998.01
In-Store Regular,12 Days of Deals,5441297.31,1950,2790.41,501.08,4999.60
In-Store Regular,Autumn Deals Drive,5636072.34,2078,2712.26,502.40,4999.09
In-Store Regular,BOGO Blitz,5412347.50,1953,2771.30,500.64,4998.29
In-Store Regular,Back to School Boost,5286403.26,1949,2712.37,501.01,4998.12
In-Store Regular,Birthday Bash Sale,5374569.08,1946,2761.85,502.96,4997.95
In-Store Regular,Black Friday Blowout,5517453.95,1993,2768.42,500.74,4998.42
In-Store Regular,Cart Crasher Campaign,5547942.79,2003,2769.82,503.85,4997.58
In-Store Regular,Cashback Carnival,5375338.26,1965,2735.54,503.09,4996.22
In-Store Regular,Clearance Countdown,5309516.59,1969,2696.55,500.68,4999.80
In-Store Regular,Countdown to Savings,5170177.84,1931,2677.46,501.16,4998.01
In-Store Regular,Customer Appreciation Week,5317127.82,1983,2681.36,506.67,4998.63
In-Store Regular,Cyber Monday Mania,5225096.52,1931,2705.90,502.42,4990.68
In-Store Regular,Deal of the Month,5349950.55,1922,2783.53,502.82,4999.89
In-Store Regular,Double Points Bonanza,5330994.99,1941,2746.52,500.80,4999.96
In-Store Regular,Early Bird Specials,5637501.01,2029,2778.46,505.07,4999.11
In-Store Regular,End of Season Sale,5227739.99,1901,2749.99,500.36,4998.37
In-Store Regular,Exclusive Insider Offers,5516948.53,1999,2759.85,503.60,4999.96
In-Store Regular,Festive Fever Promo,5670137.17,2056,2757.85,500.07,4999.21
In-Store Regular,Final Call Frenzy,5532449.21,2014,2747.00,500.25,4999.33
In-Store Regular,Flash Frenzy Friday,5594610.83,2038,2745.15,504.09,4995.77
In-Store Regular,"Gift More, Spend Less",5540452.79,2005,2763.32,503.59,4994.74
In-Store Regular,Golden Hour Bargains,5378168.20,1971,2728.65,500.16,4999.76
In-Store Regular,Green Weekend Deals,5620478.68,2037,2759.19,507.12,4999.53
In-Store Regular,Happy Hour Discounts,5560463.38,2001,2778.84,500.31,4996.28
In-Store Regular,Holiday Shopping Rush,5227285.06,1937,2698.65,500.69,4999.33
In-Store Regular,Hot Picks Promo,5554117.94,1999,2778.45,502.61,4995.54
In-Store Regular,Instant Gratification Sale,5692813.99,2011,2830.84,500.03,4999.70
In-Store Regular,Limited Time Treasures,5361239.72,1983,2703.60,503.33,4993.71
In-Store Regular,Loyalty Rewards Blast,5559204.76,2012,2763.02,500.57,4992.46
In-Store Regular,Mega Weekend Bonanza,5580288.74,2032,2746.21,500.60,4998.42
In-Store Regular,Mid-Year Madness,5453757.47,1968,2771.22,505.91,4997.59
In-Store Regular,Midnight Madness,5600822.78,2012,2783.71,500.45,4998.66
In-Store Regular,Mystery Discount Days,5531358.50,1987,2783.77,502.59,4995.07
In-Store Regular,New Arrival Showcase,5346718.28,1895,2821.49,501.45,4998.83
In-Store Regular,New Product Launch Promo,5593485.36,2047,2732.53,501.76,4998.30
In-Store Regular,New Year Kickoff,5461772.37,1992,2741.85,502.81,4996.42
In-Store Regular,Price Drop Parade,5502644.07,1982,2776.31,500.06,4999.58
In-Store Regular,Red Tag Clearance,5515874.16,2010,2744.22,503.76,4998.76
In-Store Regular,Seasonal Surprise Box,5412086.76,2005,2699.30,504.42,4996.39
In-Store Regular,Shop & Save Spectacular,5582324.83,2013,2773.14,502.23,4991.97
In-Store Regular,Smart Shopper Week,5323275.36,1940,2743.96,508.73,4998.63
In-Store Regular,Spring Refresh Event,5582562.56,1978,2822.33,500.05,4998.45
In-Store Regular,Spring Splash Discounts,5455060.21,1940,2811.89,501.80,4998.18
In-Store Regular,Summer Sizzle Promo,5477033.37,1978,2768.98,501.20,4995.70
In-Store Regular,Super Savings Week,5492620.33,2013,2728.57,501.50,4996.48
In-Store Regular,Ultimate Value Event,5572435.23,2011,2770.98,501.78,4998.73
In-Store Regular,VIP Access Sale,5449915.56,1981,2751.09,500.93,4997.93
In-Store Regular,Weekend Warrior Specials,5488943.38,2003,2740.36,502.44,4997.30
In-Store Regular,Winter Clearance Carnival,5542480.23,1999,2772.63,504.68,4999.77
In-Store Regular,Winter Wonders Sale,5515209.05,2046,2695.61,510.35,4999.21
Loyal Customer,12 Days of Deals,5434189.87,2002,2714.38,504.41,4999.32
Loyal Customer,Autumn Deals Drive,5563526.44,2037,2731.24,500.76,4998.96
Loyal Customer,BOGO Blitz,5407138.61,1973,2740.57,503.91,4999.75
Loyal Customer,Back to School Boost,5431744.70,2036,2667.85,505.29,4996.96
Loyal Customer,Birthday Bash Sale,5567197.38,2005,2776.66,500.20,4999.34
Loyal Customer,Black Friday Blowout,5342383.10,1947,2743.91,505.39,4999.91
Loyal Customer,Cart Crasher Campaign,5358282.55,1957,2738.01,508.00,4998.01
Loyal Customer,Cashback Carnival,5263214.72,1919,2742.69,504.12,4997.90
Loyal Customer,Clearance Countdown,5756069.52,2105,2734.47,500.08,4993.94
Loyal Customer,Countdown to Savings,5620608.51,2042,2752.50,507.32,4999.16
Loyal Customer,Customer Appreciation Week,5565142.02,2027,2745.51,503.78,4997.65
Loyal Customer,Cyber Monday Mania,5578759.62,2008,2778.27,501.43,4999.50
Loyal Customer,Deal of the Month,5486505.13,2005,2736.41,500.38,4998.97
Loyal Customer,Double Points Bonanza,5484162.67,2005,2735.24,502.33,4998.97
Loyal Customer,Early Bird Specials,5524886.61,1998,2765.21,502.97,4997.79
Loyal Customer,End of Season Sale,5320050.08,1903,2795.61,500.37,4997.29
Loyal Customer,Exclusive Insider Offers,5682565.98,2046,2777.40,502.99,4998.93
Loyal Customer,Festive Fever Promo,5494934.08,2028,2709.53,502.80,4992.90
Loyal Customer,Final Call Frenzy,5519181.44,2008,2748.60,501.47,4992.74
Loyal Customer,Flash Frenzy Friday,5387279.12,1956,2754.23,503.14,4998.23
Loyal Customer,"Gift More, Spend Less",5410273.31,1970,2746.33,501.94,4997.42
Loyal Customer,Golden Hour Bargains,5513085.28,1971,2797.10,501.07,4995.77
Loyal Customer,Green Weekend Deals,5424444.69,1991,2724.48,503.53,4997.02
Loyal Customer,Happy Hour Discounts,5419258.23,1986,2728.73,501.29,4996.65
Loyal Customer,Holiday Shopping Rush,5404401.31,1967,2747.53,500.68,4996.42
Loyal Customer,Hot Picks Promo,5791966.56,2093,2767.30,501.49,4999.96
Loyal Customer,Instant Gratification Sale,5564583.99,2021,2753.38,501.41,4996.19
Loyal Customer,Limited Time Treasures,5460099.53,1986,2749.29,500.84,4999.73
Loyal Customer,Loyalty Rewards Blast,5586077.14,2028,2754.48,501.80,4994.77
Loyal Customer,Mega Weekend Bonanza,5497866.19,1975,2783.73,504.97,4999.15
Loyal Customer,Mid-Year Madness,5532152.80,1978,2796.84,500.32,4998.26
Loyal Customer,Midnight Madness,5639197.23,2048,2753.51,500.50,4999.83
Loyal Customer,Mystery Discount Days,5528038.16,2006,2755.75,503.05,4999.85
Loyal Customer,New Arrival Showcase,5566310.96,2023,2751.51,500.17,4998.09
Loyal Customer,New Product Launch Promo,5525045.34,2000,2762.52,507.93,4998.56
Loyal Customer,New Year Kickoff,5342888.06,1967,2716.26,504.68,4994.72
Loyal Customer,Price Drop Parade,5506009.10,2004,2747.51,500.50,4999.68
Loyal Customer,Red Tag Clearance,5395588.17,1946,2772.66,502.12,4997.86
Loyal Customer,Seasonal Surprise Box,5417711.08,1973,2745.93,501.30,4998.58
Loyal Customer,Shop & Save Spectacular,5566982.03,1978,2814.45,500.18,4997.54
Loyal Customer,Smart Shopper Week,5429122.54,1977,2746.14,500.56,4999.40
Loyal Customer,Spring Refresh Event,5629410.64,2022,2784.08,509.43,4998.88
Loyal Customer,Spring Splash Discounts,5674846.74,2051,2766.87,506.84,4999.83
